7932_93470_000004_000000	"I can spare an hour--I can spare the whole morning, Mr. Powlett.	"I can spare an hour-I can spare the whole morning, mr Powlett.
7932_93470_000083_000001	Besides, as this is the fourth that you have had since you have been here, it is not of such extreme importance."	Besides, as this is the fourth that you have had since you have been here, it is not of such extreme importance."
7932_93470_000085_000000	"What is it, my dear; has he changed his mind and married a Kaffir woman?	"What is it, my dear; has he changed his mind and married a Kaffir woman?
7932_93470_000087_000000	"Well, my dear, that would be serious; at least I should have thought you would consider it so."	"Well, my dear, that would be serious; at least I should have thought you would consider it so."
7932_93470_000090_000007	However, it cannot be helped.	However, it cannot be helped.
7932_93470_000092_000001	This complicates matters a good deal."	This complicates matters a good deal."
7932_93470_000094_000001	Anyhow, we must go cautiously to work.	Anyhow, we must go cautiously to work.
7932_93470_000096_000001	It is a grave question altogether, Mary, and at any rate we will wait.	It is a grave question altogether, Mary, and at any rate we will wait.
7932_93470_000097_000000	"I think so too, father.	"I think so too, father.
7932_93470_000103_000000	"I don't, my dear.	"I don't, my dear.
7932_93470_000106_000001	I came in an hour ago, expecting to find tea ready, and there are no signs of it visible.	I came in an hour ago, expecting to find tea ready, and there are no signs of it visible.
7932_93470_000108_000000	And so three days afterwards a full account of all that Ruth Powlett had said, and of the circumstances of the case, was despatched to "Sergeant Blunt, Cape Mounted Rifles, Kaffirland."	And so three days afterwards a full account of all that ruth Powlett had said, and of the circumstances of the case, was despatched to "Sergeant Blunt, Cape Mounted Rifles, Kaffirland."
