5723_43296_000000_000000	Mabel got up presently and came across to her husband.	Mabel got up presently and came across to her husband.	false	0	4.44	16.65887
5723_43296_000013_000001	She knew perfectly well that his popularity rested largely on his outspokenness: folks liked to be scolded and abused by a genial bold man who danced and gesticulated in a magnetic fury; she liked it herself.	She knew perfectly well that his popularity rested largely on his outspokenness: folks liked to be scolded and abused by a genial bold man who danced and gesticulated in a magnetic fury; she liked it herself.	true	156.56	168.82	12
5723_43296_000014_000000	"How shall you go?" she asked.	"How shall you go?" she asked.	true	169.28	171.31	18.74642
5723_43296_000015_000000	"Volor.	"Volor.	true	171.92	172.575	18.151613
5723_43296_000015_000001	I shall catch the eighteen o'clock at Blackfriars; the meeting is at nineteen, and I shall be back at twenty-one."	I shall catch the eighteen o'clock at Blackfriars; the meeting is at nineteen, and I shall be back at twenty one."	true	172.575	178.39	10
5723_43296_000016_000000	He addressed himself vigorously to his _entree_, and his mother looked up with a patient, old-woman smile.	He addressed himself vigorously to his underscore entree underscore, and his mother looked up with a patient, old woman smile.	false	179.24	185.08	13
5723_43296_000017_000000	Mabel began to drum her fingers softly on the damask.	Mabel began to drum her fingers softly on the damask.	true	185.87	189.34	12
5723_43296_000018_000000	"Please make haste, my dear," she said; "I have to be at Brighton at three."	"Please make haste, my dear," she said; "I have to be at Brighton at three."	false	189.44	193.6	14
5723_43296_000019_000000	Oliver gulped his last mouthful, pushed his plate over the line, glanced to see if all plates were there, and then put his hand beneath the table.	Oliver gulped his last mouthful, pushed his plate over the line, glanced to see if all plates were there, and then put his hand beneath the table.	true	194.24	201.67	13
5723_43296_000020_000000	Instantly, without a sound, the centre-piece vanished, and the three waited unconcernedly while the clink of dishes came from beneath.	Instantly, without a sound, the centre piece vanished, and the three waited unconcernedly while the clink of dishes came from beneath.	true	202.34	210.16	14
5723_43296_000021_000000	Old Mrs. Brand was a hale-looking old lady, rosy and wrinkled, with the mantilla head-dress of fifty years ago; but she, too, looked a little depressed this morning.	Old mrs Brand was a hale looking old lady, rosy and wrinkled, with the mantilla head dress of fifty years ago; but she, too, looked a little depressed this morning.	true	210.95	220.6	14
5723_43296_000021_000001	The _entree_ was not very successful, she thought; the new food-stuff was not up to the old, it was a trifle gritty: she would see about it afterwards.	The underscore entree underscore was not very successful, she thought; the new food stuff was not up to the old, it was a trifle gritty: she would see about it afterwards.	false	221.09	230.17	17
5723_43296_000021_000002	There was a clink, a soft sound like a push, and the centre-piece snapped into its place, bearing an admirable imitation of a roasted fowl.	There was a clink, a soft sound like a push, and the centre piece snapped into its place, bearing an admirable imitation of a roasted fowl.	false	230.84	239.32	17
5723_43296_000022_000000	Oliver and his wife were alone again for a minute or two after breakfast before Mabel started down the path to catch the 14-1/2 o'clock 4th grade sub-trunk line to the junction.	Oliver and his wife were alone again for a minute or two after breakfast before Mabel started down the path to catch the fourteen minus one half o'clock fourth grade sub trunk line to the junction.	false	240.53	250.09	9
5723_43296_000023_000000	"What's the matter with mother?" he said.	"What's the matter with mother?" he said.	true	251.27	253.42	15
5723_43296_000024_000000	"Oh! it's the food-stuff again: she's never got accustomed to it; she says it doesn't suit her."	"Oh! it's the food stuff again: she's never got accustomed to it; she says it doesn't suit her."	true	253.85	259.39	16
5723_43296_000025_000000	"Nothing else?"	"Nothing else?"	true	259.73	260.92	16
5723_43296_000026_000000	"No, my dear, I am sure of it.	"No, my dear, I am sure of it.	true	261.32	263.31	11
5723_43296_000026_000001	She hasn't said a word lately."	She hasn't said a word lately."	true	263.31	265.03	11
5723_43296_000027_000000	Oliver watched his wife go down the path, reassured.	Oliver watched his wife go down the path, reassured.	true	265.67	268.6	16
5723_43296_000027_000001	He had been a little troubled once or twice lately by an odd word or two that his mother had let fall.	He had been a little troubled once or twice lately by an odd word or two that his mother had let fall.	true	268.76	273.82	11
5723_43296_000027_000002	She had been brought up a Christian for a few years, and it seemed to him sometimes as if it had left a taint.	She had been brought up a Christian for a few years, and it seemed to him sometimes as if it had left a taint.	true	274.37	280.99	14
5723_43296_000027_000003	There was an old "Garden of the Soul" that she liked to keep by her, though she always protested with an appearance of scorn that it was nothing but nonsense.	There was an old "Garden of the Soul" that she liked to keep by her, though she always protested with an appearance of scorn that it was nothing but nonsense.	true	281.42	290.29	13
5723_43296_000027_000004	Still, Oliver would have preferred that she had burned it: superstition was a desperate thing for retaining life, and, as the brain weakened, might conceivably reassert itself.	Still, Oliver would have preferred that she had burned it: superstition was a desperate thing for retaining life, and, as the brain weakened, might conceivably reassert itself.	true	290.45	300.58	15
5723_43296_000027_000005	Christianity was both wild and dull, he told himself, wild because of its obvious grotesqueness and impossibility, and dull because it was so utterly apart from the exhilarating stream of human life; it crept dustily about still, he knew, in little dark churches here and there; it screamed with hysterical sentimentality in Westminster Cathedral which he had once entered and looked upon with a kind of disgusted fury; it gabbled strange, false words to the incompetent and the old and the half-witted. But it would be too dreadful if his own mother ever looked upon it again with favour.	Christianity was both wild and dull, he told himself, wild because of its obvious grotesqueness and impossibility, and dull because it was so utterly apart from the exhilarating stream of human life; it crept dustily about still, he knew, in little dark churches here and there; it screamed with hysterical sentimentality in Westminster Cathedral which he had once entered and looked upon with a kind of disgusted fury; it gabbled strange, false words to the incompetent and the old and the half witted. But it would be too dreadful if his own mother ever looked upon it again with favour.	false	300.98	336.88	13
5723_43296_000028_000000	Oliver himself, ever since he could remember, had been violently opposed to the concessions to Rome and Ireland.	Oliver himself, ever since he could remember, had been violently opposed to the concessions to Rome and Ireland.	false	337.43	343.53	15
5723_43296_000028_000001	It was intolerable that these two places should be definitely yielded up to this foolish, treacherous nonsense: they were hot-beds of sedition; plague-spots on the face of humanity.	It was intolerable that these two places should be definitely yielded up to this foolish, treacherous nonsense: they were hot beds of sedition; plague spots on the face of humanity.	true	343.53	354.16	11
5723_43296_000028_000002	He had never agreed with those who said that it was better that all the poison of the West should be gathered rather than dispersed.	He had never agreed with those who said that it was better that all the poison of the West should be gathered rather than dispersed.	true	354.29	360.64	12
5723_43296_000028_000003	But, at any rate, there it was.	But, at any rate, there it was.	true	360.86	362.74	18
5723_43296_000028_000004	Rome had been given up wholly to that old man in white in exchange for all the parish churches and cathedrals of Italy, and it was understood that mediaeval darkness reigned there supreme; and Ireland, after receiving Home Rule thirty years before, had declared for Catholicism, and opened her arms to Individualism in its most virulent form.	Rome had been given up wholly to that old man in white in exchange for all the parish churches and cathedrals of Italy, and it was understood that mediaeval darkness reigned there supreme; and Ireland, after receiving Home Rule thirty years before, had declared for Catholicism, and opened her arms to Individualism in its most virulent form.	false	363.05	383.08	12
5723_43296_000028_000005	England had laughed and assented, for she was saved from a quantity of agitation by the immediate departure of half her Catholic population for that island, and had, consistently with her Communist-colonial policy, granted every facility for Individualism to reduce itself there _ad absurdum_.	England had laughed and assented, for she was saved from a quantity of agitation by the immediate departure of half her Catholic population for that island, and had, consistently with her Communist colonial policy, granted every facility for Individualism to reduce itself there underscore ad absurdum underscore.	false	383.72	404.19	16.813251
5723_43296_000028_000006	All kinds of funny things were happening there: Oliver had read with a bitter amusement of new appearances there, of a Woman in Blue and shrines raised where her feet had rested; but he was scarcely amused at Rome, for the movement to Turin of the Italian Government had deprived the Republic of quite a quantity of sentimental prestige, and had haloed the old religious nonsense with all the meretriciousness of historical association.	All kinds of funny things were happening there: Oliver had read with a bitter amusement of new appearances there, of a Woman in Blue and shrines raised where her feet had rested; but he was scarcely amused at Rome, for the movement to Turin of the Italian Government had deprived the Republic of quite a quantity of sentimental prestige, and had haloed the old religious nonsense with all the meretriciousness of historical association.	true	404.19	429.61	14
5723_43296_000028_000007	However, it obviously could not last much longer: the world was beginning to understand at last.	However, it obviously could not last much longer: the world was beginning to understand at last.	true	429.68	436.15	16.60096
5723_43296_000029_000000	He stood a moment or two at the door after his wife had gone, drinking in reassurance from that glorious vision of solid sense that spread itself before his eyes: the endless house-roofs; the high glass vaults of the public baths and gymnasiums; the pinnacled schools where Citizenship was taught each morning; the spider-like cranes and scaffoldings that rose here and there; and even the few pricking spires did not disconcert him.	He stood a moment or two at the door after his wife had gone, drinking in reassurance from that glorious vision of solid sense that spread itself before his eyes: the endless house roofs; the high glass vaults of the public baths and gymnasiums; the pinnacled schools where Citizenship was taught each morning; the spider like cranes and scaffoldings that rose here and there; and even the few pricking spires did not disconcert him.	true	437.18	464.35	13
5723_43296_000029_000001	There it stretched away into the grey haze of London, really beautiful, this vast hive of men and women who had learned at least the primary lesson of the gospel that there was no God but man, no priest but the politician, no prophet but the schoolmaster.	There it stretched away into the grey haze of London, really beautiful, this vast hive of men and women who had learned at least the primary lesson of the gospel that there was no God but man, no priest but the politician, no prophet but the schoolmaster.	true	465.23	482.38	16
5723_43296_000030_000000	Then he went back once more to his speech-constructing.	Then he went back once more to his speech constructing.	true	484.01	487.12	13
5723_43296_000031_000000	Mabel, too, was a little thoughtful as she sat with her paper on her lap, spinning down the broad line to Brighton.	Mabel, too, was a little thoughtful as she sat with her paper on her lap, spinning down the broad line to Brighton.	true	487.7	494.17	10
5723_43296_000031_000001	This Eastern news was more disconcerting to her than she allowed her husband to see; yet it seemed incredible that there could be any real danger of invasion.	This Eastern news was more disconcerting to her than she allowed her husband to see; yet it seemed incredible that there could be any real danger of invasion.	true	494.51	502.6	10
5723_43296_000031_000002	This Western life was so sensible and peaceful; folks had their feet at last upon the rock, and it was unthinkable that they could ever be forced back on to the mud-flats: it was contrary to the whole law of development.	This Western life was so sensible and peaceful; folks had their feet at last upon the rock, and it was unthinkable that they could ever be forced back on to the mud flats: it was contrary to the whole law of development.	true	502.91	515.47	14
5723_43296_000031_000003	Yet she could not but recognise that catastrophe seemed one of nature's methods....	Yet she could not but recognise that catastrophe seemed one of nature's methods....	true	515.81	521.05	16
5723_43296_000032_000000	She sat very quiet, glancing once or twice at the meagre little scrap of news, and read the leading article upon it: that too seemed significant of dismay.	She sat very quiet, glancing once or twice at the meagre little scrap of news, and read the leading article upon it: that too seemed significant of dismay.	true	522.02	531.79	12
5723_43296_000032_000001	A couple of men were talking in the half-compartment beyond on the same subject; one described the Government engineering works that he had visited, the breathless haste that dominated them; the other put in interrogations and questions. There was not much comfort there.	A couple of men were talking in the half compartment beyond on the same subject; one described the Government engineering works that he had visited, the breathless haste that dominated them; the other put in interrogations and questions. There was not much comfort there.	true	532.19	548.14	14
5723_43296_000032_000002	There were no windows through which she could look; on the main lines the speed was too great for the eyes; the long compartment flooded with soft light bounded her horizon.	There were no windows through which she could look; on the main lines the speed was too great for the eyes; the long compartment flooded with soft light bounded her horizon.	true	548.57	557.71	14
5723_43296_000032_000003	She stared at the moulded white ceiling, the delicious oak-framed paintings, the deep spring-seats, the mellow globes overhead that poured out radiance, at a mother and child diagonally opposite her.	She stared at the moulded white ceiling, the delicious oak framed paintings, the deep spring seats, the mellow globes overhead that poured out radiance, at a mother and child diagonally opposite her.	true	558.05	570.94	12
5723_43296_000032_000004	Then the great chord sounded; the faint vibration increased ever so slightly; and an instant later the automatic doors ran back, and she stepped out on to the platform of Brighton station.	Then the great chord sounded; the faint vibration increased ever so slightly; and an instant later the automatic doors ran back, and she stepped out on to the platform of Brighton station.	false	572.09	583.51	15
5723_43296_000033_000000	As she went down the steps leading to the station square she noticed a priest going before her.	As she went down the steps leading to the station square she noticed a priest going before her.	true	584.51	590.29	18.800768
5723_43296_000033_000001	He seemed a very upright and sturdy old man, for though his hair was white he walked steadily and strongly.	He seemed a very upright and sturdy old man, for though his hair was white he walked steadily and strongly.	false	590.81	596.62	14
5723_43296_000033_000002	At the foot of the steps he stopped and half turned, and then, to her surprise, she saw that his face was that of a young man, fine-featured and strong, with black eyebrows and very bright grey eyes.	At the foot of the steps he stopped and half turned, and then, to her surprise, she saw that his face was that of a young man, fine featured and strong, with black eyebrows and very bright grey eyes.	true	596.84	608.86	12
5723_43296_000033_000003	Then she passed on and began to cross the square in the direction of her aunt's house.	Then she passed on and began to cross the square in the direction of her aunt's house.	true	609.23	614.2	14
5723_43296_000034_000000	Then without the slightest warning, except one shrill hoot from overhead, a number of things happened.	Then without the slightest warning, except one shrill hoot from overhead, a number of things happened.	true	615.05	621.55	13
5723_43296_000035_000000	A great shadow whirled across the sunlight at her feet, a sound of rending tore the air, and a noise like a giant's sigh; and, as she stopped bewildered, with a noise like ten thousand smashed kettles, a huge thing crashed on the rubber pavement before her, where it lay, filling half the square, writhing long wings on its upper side that beat and whirled like the flappers of some ghastly extinct monster, pouring out human screams, and beginning almost instantly to crawl with broken life.	A great shadow whirled across the sunlight at her feet, a sound of rending tore the air, and a noise like a giant's sigh; and, as she stopped bewildered, with a noise like ten thousand smashed kettles, a huge thing crashed on the rubber pavement before her, where it lay, filling half the square, writhing long wings on its upper side that beat and whirled like the flappers of some ghastly extinct monster, pouring out human screams, and beginning almost instantly to crawl with broken life.	true	622.22	653.11	13
5723_43296_000036_000000	Mabel scarcely knew what happened next; but she found herself a moment later forced forward by some violent pressure from behind, till she stood shaking from head to foot, with some kind of smashed body of a man moaning and stretching at her feet.	Mabel scarcely knew what happened next; but she found herself a moment later forced forward by some violent pressure from behind, till she stood shaking from head to foot, with some kind of smashed body of a man moaning and stretching at her feet.	false	654.8	669.54	12
5723_43296_000036_000001	There was a sort of articulate language coming from it; she caught distinctly the names of Jesus and Mary; then a voice hissed suddenly in her ears:	There was a sort of articulate language coming from it; she caught distinctly the names of Jesus and Mary; then a voice hissed suddenly in her ears:	true	669.54	679.66	14
5723_43296_000037_000000	"Let me through.	"Let me through.	true	679.91	680.925	14
5723_43296_000037_000001	I am a priest."	I am a priest."	true	680.925	682	19.842543
5723_43296_000038_000000	She stood there a moment longer, dazed by the suddenness of the whole affair, and watched almost unintelligently the grey-haired young priest on his knees, with his coat torn open, and a crucifix out; she saw him bend close, wave his hand in a swift sign, and heard a murmur of a language she did not know.	She stood there a moment longer, dazed by the suddenness of the whole affair, and watched almost unintelligently the grey haired young priest on his knees, with his coat torn open, and a crucifix out; she saw him bend close, wave his hand in a swift sign, and heard a murmur of a language she did not know.	false	682.16	700.93	12
5723_43296_000038_000001	Then he was up again, holding the crucifix before him, and she saw him begin to move forward into the midst of the red-flooded pavement, looking this way and that as if for a signal.	Then he was up again, holding the crucifix before him, and she saw him begin to move forward into the midst of the red flooded pavement, looking this way and that as if for a signal.	false	702.17	712.66	14
5723_43296_000038_000002	Down the steps of the great hospital on her right came figures running now, hatless, each carrying what looked like an old-fashioned camera.	Down the steps of the great hospital on her right came figures running now, hatless, each carrying what looked like an old-fashioned camera.	false	713.51	720.73	12
5723_43296_000038_000003	She knew what those men were, and her heart leaped in relief.	She knew what those men were, and her heart leaped in relief.	true	721.43	725.43	17.609137
5723_43296_000038_000004	They were the ministers of euthanasia.	They were the ministers of euthanasia.	true	725.43	727.75	14
5723_43296_000038_000005	Then she felt herself taken by the shoulder and pulled back, and immediately found herself in the front rank of a crowd that was swaying and crying out, and behind a line of police and civilians who had formed themselves into a cordon to keep the pressure back.	Then she felt herself taken by the shoulder and pulled back, and immediately found herself in the front rank of a crowd that was swaying and crying out, and behind a line of police and civilians who had formed themselves into a cordon to keep the pressure back.	false	728.63	759.33	15.611218
