667_158816_000000_000000	"Oh, Frank, dearest Frank, where should I be if it were not for you?"	"Oh, Frank, dearest Frank, where should I be if it were not for you?"	false	0	2.865	24.408398
667_158816_000003_000009	Lizzie also said some unpleasant things,--which, perhaps, were the more unpleasant because they were true.	Lizzie also said some unpleasant things,--which, perhaps, were the more unpleasant because they were true.	true	109.46	115.51	21.883455
667_158816_000003_000010	Mrs. Carbuncle had come pretty nearly to the end of her career, whereas Lizzie's income, in spite of her perjuries, was comparatively untouched.	mrs Carbuncle had come pretty nearly to the end of her career, whereas Lizzie's income, in spite of her perjuries, was comparatively untouched.	true	115.94	124.48	19
667_158816_000003_000011	The undoubted mistress of Portray Castle, and mother of the Sir Florian Eustace of the day, could still despise and look down upon Mrs. Carbuncle, although she were known to have told fibs about the family diamonds.	The undoubted mistress of Portray Castle, and mother of the Sir Florian Eustace of the day, could still despise and look down upon mrs Carbuncle, although she were known to have told fibs about the family diamonds.	false	124.88	137.83	20.799244
667_158816_000004_000000	Lord George always came to Hertford Street on a Sunday, and Lady Eustace left word for him with the servant that she would be glad to see him before her journey into Scotland.	Lord George always came to Hertford Street on a Sunday, and Lady Eustace left word for him with the servant that she would be glad to see him before her journey into Scotland.	false	139.61	148.21	19
667_158816_000004_000001	"Goes to-morrow, does she?" said Lord George to the servant.	"Goes to morrow, does she?" said Lord George to the servant.	true	148.61	151.66	23.258554
667_158816_000004_000002	"Well; I'll see her." And he was shown up to her room before he went to Mrs. Carbuncle.	"Well; I'll see her." And he was shown up to her room before he went to mrs Carbuncle.	false	151.79	156.52	21.469997
667_158816_000005_000000	Lizzie, in sending to him, had some half-formed idea of a romantic farewell.	Lizzie, in sending to him, had some half formed idea of a romantic farewell.	false	158.63	163.42	18.878094
667_158816_000005_000001	The man, she thought, had behaved very badly to her,--had accepted very much from her hands, and had refused to give her anything in return; had become the first depository of her great secret, and had placed no mutual confidence in her.	The man, she thought, had behaved very badly to her,--had accepted very much from her hands, and had refused to give her anything in return; had become the first depository of her great secret, and had placed no mutual confidence in her.	true	163.82	178.12	22
667_158816_000005_000002	He had been harsh to her, and unjust; and then, too, he had declined to be in love with her!	He had been harsh to her, and unjust; and then, too, he had declined to be in love with her!	true	178.46	184.45	22.622345
667_158816_000005_000003	She was full of spite against Lord George, and would have been glad to injure him.	She was full of spite against Lord George, and would have been glad to injure him.	true	184.73	188.74	20.897926
667_158816_000005_000004	But, nevertheless, there would be some excitement in a farewell in which some mock affection might be displayed, and she would have an opportunity of abusing Mrs. Carbuncle.	But, nevertheless, there would be some excitement in a farewell in which some mock affection might be displayed, and she would have an opportunity of abusing mrs Carbuncle.	true	189.2	198.82	20.095549
667_158816_000006_000000	"So you are off to-morrow?" said Lord George, taking his place on the rug before her fire, and looking down at her with his head a little on one side.	"So you are off to morrow?" said Lord George, taking his place on the rug before her fire, and looking down at her with his head a little on one side.	false	199.7	207.79	20
667_158816_000006_000001	Lizzie's anger against the man chiefly arose from a feeling that he treated her with all a Corsair's freedom without any of a Corsair's tenderness.	Lizzie's anger against the man chiefly arose from a feeling that he treated her with all a Corsair's freedom without any of a Corsair's tenderness.	true	208.28	216.25	18
667_158816_000006_000002	She could have forgiven the want of deferential manner, had there been any devotion;--but Lord George was both impudent and indifferent.	She could have forgiven the want of deferential manner, had there been any devotion;--but Lord George was both impudent and indifferent.	true	216.68	224.86	21.78202
667_158816_000007_000000	"Yes," she said.	"Yes," she said.	true	225.44	226.63	19.021223
667_158816_000007_000001	"Thank goodness, I shall get out of this frightful place to-morrow, and soon have once more a roof of my own over my head.	"Thank goodness, I shall get out of this frightful place to morrow, and soon have once more a roof of my own over my head.	true	226.91	233.35	16.516651
667_158816_000007_000002	What an experience I have had since I have been here!"	What an experience I have had since I have been here!"	true	233.6	235.93	21.090885
667_158816_000008_000000	"We have all had an experience," said Lord George, still looking at her with that half-comic turn of his face,--almost as though he were investigating some curious animal of which so remarkable a specimen had never before come under his notice.	"We have all had an experience," said Lord George, still looking at her with that half comic turn of his face,--almost as though he were investigating some curious animal of which so remarkable a specimen had never before come under his notice.	false	236.6	249.1	20
667_158816_000009_000000	"No woman ever intended to show a more disinterested friendship than I have done; and what has been my return?"	"No woman ever intended to show a more disinterested friendship than I have done; and what has been my return?"	true	250.19	256.63	24.361282
667_158816_000010_000000	"You mean to me?--disinterested friendship to me?" And Lord George tapped his breast lightly with his fingers.	"You mean to me?--disinterested friendship to me?" And Lord George tapped his breast lightly with his fingers.	true	257.36	264.19	24.379684
667_158816_000010_000001	His head was still a little on one side, and there was still the smile upon his face.	His head was still a little on one side, and there was still the smile upon his face.	false	264.5	269.65	21.123407
667_158816_000011_000000	"I was alluding particularly to Mrs. Carbuncle."	"I was alluding particularly to mrs Carbuncle."	true	270.62	273.58	20.102697
667_158816_000012_000000	"Lady Eustace, I cannot take charge of Mrs. Carbuncle's friendships. I have enough to do to look after my own.	"Lady Eustace, I cannot take charge of mrs Carbuncle's friendships. I have enough to do to look after my own.	true	274.46	280.9	21.796085
667_158816_000012_000001	If you have any complaint to make against me,--I will at least listen to it."	If you have any complaint to make against me,--I will at least listen to it."	true	281.15	285.07	20.636477
667_158816_000013_000000	"God knows I do not want to make complaints," said Lizzie, covering her face with her hands.	"God knows I do not want to make complaints," said Lizzie, covering her face with her hands.	true	285.89	290.86	23.009949
667_158816_000014_000000	"They don't do much good;--do they?	"They don't do much good;--do they?	true	291.32	292.93	25.51225
667_158816_000014_000001	It's better to take people as you find 'em, and then make the best of 'em.	It's better to take people as you find 'em, and then make the best of 'em.	false	293.27	297.6	26.546785
667_158816_000014_000002	They're a queer lot;--ain't they,--the sort of people one meets about in the world?"	They're a queer lot;--ain't they,--the sort of people one meets about in the world?"	true	297.6	301.57	20
667_158816_000015_000000	"I don't know what you mean by that, Lord George."	"I don't know what you mean by that, Lord George."	true	302.09	304.39	20.302454
667_158816_000016_000000	"Just what you were saying, when you talked of your experiences. These experiences do surprise one.	"Just what you were saying, when you talked of your experiences. These experiences do surprise one.	true	305.03	310.87	22.914972
667_158816_000016_000001	I have knocked about the world a great deal, and would have almost said that nothing would surprise me.	I have knocked about the world a great deal, and would have almost said that nothing would surprise me.	true	311	316.33	21.653078
667_158816_000016_000002	You are no more than a child to me, but you have surprised me."	You are no more than a child to me, but you have surprised me."	true	316.58	321.1	21.745415
667_158816_000017_000000	"I hope I have not injured you, Lord George."	"I hope I have not injured you, Lord George."	true	321.68	324.1	23.39711
667_158816_000018_000000	"Do you remember how you rode to hounds the day your cousin took that other man's horse?	"Do you remember how you rode to hounds the day your cousin took that other man's horse?	true	324.86	329.23	14
667_158816_000018_000001	That surprised me."	That surprised me."	true	329.54	330.97	29.381762
667_158816_000019_000000	"Oh, Lord George, that was the happiest day of my life.	"Oh, Lord George, that was the happiest day of my life.	true	331.82	334.69	23.006048
667_158816_000019_000001	How little happiness there is for people!"	How little happiness there is for people!"	true	334.85	337.03	27.15992
667_158816_000020_000000	"And when Tewett got that girl to say she'd marry him, the coolness with which you bore all the abomination of it in your house,--for people who were nothing to you;--that surprised me!"	"And when Tewett got that girl to say she'd marry him, the coolness with which you bore all the abomination of it in your house,--for people who were nothing to you;--that surprised me!"	true	337.73	349	20.469482
667_158816_000021_000000	"I meant to be so kind to you all."	"I meant to be so kind to you all."	true	349.55	351.49	23.167736
667_158816_000022_000000	"And when I found that you always travelled with ten thousand pounds' worth of diamonds in a box, that surprised me very much.	"And when I found that you always travelled with ten thousand pounds' worth of diamonds in a box, that surprised me very much.	true	352.28	360.13	20.893877
667_158816_000022_000001	I thought that you were a very dangerous companion."	I thought that you were a very dangerous companion."	true	360.38	363.1	21.756731
667_158816_000023_000000	"Pray don't talk about the horrid necklace."	"Pray don't talk about the horrid necklace."	true	363.56	366.16	25.05073
667_158816_000024_000000	"Then came the robbery, and you seemed to lose your diamonds without being at all unhappy about them.	"Then came the robbery, and you seemed to lose your diamonds without being at all unhappy about them.	true	366.74	372.07	14
667_158816_000024_000001	Of course, we understand that now." On hearing this, Lizzie smiled, but did not say a word.	Of course, we understand that now." On hearing this, Lizzie smiled, but did not say a word.	true	372.32	377.95	23.20299
667_158816_000024_000002	"Then I perceived that I--I was supposed to be the thief.	"Then I perceived that I-I was supposed to be the thief.	true	378.59	383.47	25.002724
667_158816_000024_000003	You--you yourself couldn't have suspected me of taking the diamonds, because--because you'd got them, you know, all safe in your pocket.	You-you yourself couldn't have suspected me of taking the diamonds, because-because you'd got them, you know, all safe in your pocket.	true	383.6	392.62	22.34303
667_158816_000024_000004	But you might as well own the truth now.	But you might as well own the truth now.	true	392.66	394.9	20.042933
667_158816_000024_000005	Didn't you think that it was I who stole the box?"	Didn't you think that it was I who stole the box?"	true	395.12	397.84	28
667_158816_000025_000000	"I wish it had been you," said Lizzie laughing.	"I wish it had been you," said Lizzie laughing.	true	398.51	400.87	18.702194
667_158816_000026_000000	"All that surprised me.	"All that surprised me.	true	401.36	403.18	28.129286
667_158816_000026_000001	The police were watching me every day as a cat watches a mouse, and thought that they surely had got the thief when they found that I had dealings with Benjamin.	The police were watching me every day as a cat watches a mouse, and thought that they surely had got the thief when they found that I had dealings with Benjamin.	true	403.58	411.43	17
667_158816_000026_000002	Well; you--you were laughing at me in your sleeve all the time."	Well; you-you were laughing at me in your sleeve all the time."	true	411.77	416.38	22
667_158816_000027_000000	"Not laughing, Lord George."	"Not laughing, Lord George."	true	416.66	418.72	22.081394
667_158816_000028_000000	"Yes, you were.	"Yes, you were.	true	419.12	420.37	22.192917
667_158816_000028_000001	You had got the kernel yourself, and thought that I had taken all the trouble to crack the nut and had found myself with nothing but the shell.	You had got the kernel yourself, and thought that I had taken all the trouble to crack the nut and had found myself with nothing but the shell.	true	420.56	427.69	23.523043
667_158816_000028_000002	Then, when you found you couldn't eat the kernel, that you couldn't get rid of the swag without assistance, you came to me to help you.	Then, when you found you couldn't eat the kernel, that you couldn't get rid of the swag without assistance, you came to me to help you.	true	428.03	434.95	21.75235
667_158816_000028_000003	I began to think then that you were too many for all of us.	I began to think then that you were too many for all of us.	false	435.65	438.915	21
667_158816_000028_000004	By Jove, I did!	By Jove, I did!	true	438.915	440.62	20.234127
667_158816_000028_000005	Then I heard of the second robbery, and, of course, I thought you had managed that too."	Then I heard of the second robbery, and, of course, I thought you had managed that too."	false	441.17	446.14	21.175528
667_158816_000029_000000	"Oh, no," said Lizzie	"Oh, no," said Lizzie	true	446.54	447.97	20.507719
667_158816_000030_000000	"Unfortunately you didn't; but I thought you did.	"Unfortunately you didn't; but I thought you did.	true	448.52	451.36	21.881924
667_158816_000030_000001	And you thought that I had done it!	And you thought that I had done it!	true	451.82	453.61	26.796022
667_158816_000030_000002	Mr. Benjamin was too clever for us both, and now he is going to have penal servitude for the rest of his life.	mr Benjamin was too clever for us both, and now he is going to have penal servitude for the rest of his life.	true	453.8	459.76	24.503498
667_158816_000030_000003	I wonder who will be the better of it all.	I wonder who will be the better of it all.	true	459.89	461.79	19.428417
667_158816_000030_000004	Who'll have the diamonds at last?"	Who'll have the diamonds at last?"	false	461.79	464.2	13.626196
667_158816_000031_000000	"I do not in the least care.	"I do not in the least care.	false	465.2	467.61	24.068472
667_158816_000031_000001	I hate the diamonds.	I hate the diamonds.	true	467.61	468.88	20.547132
667_158816_000031_000002	Of course I would not give them up, because they were my own."	Of course I would not give them up, because they were my own."	true	469.13	471.88	23.115578
667_158816_000032_000000	"The end of it seems to be that you have lost your property, and sworn ever so many false oaths, and have brought all your friends into trouble, and have got nothing by it.	"The end of it seems to be that you have lost your property, and sworn ever so many false oaths, and have brought all your friends into trouble, and have got nothing by it.	true	472.73	481.9	19
667_158816_000032_000001	What was the good of being so clever?"	What was the good of being so clever?"	true	482.33	484.18	23.558596
667_158816_000033_000000	"You need not come here to tease me, Lord George."	"You need not come here to tease me, Lord George."	true	484.67	487.21	23.543188
667_158816_000034_000000	"I came here because you sent for me.	"I came here because you sent for me.	true	487.73	489.73	19.646345
667_158816_000034_000001	There's my poor friend, Mrs. Carbuncle, declares that all her credit is destroyed, and her niece unable to marry, and her house taken away from her,--all because of her connexion with you."	There's my poor friend, mrs Carbuncle, declares that all her credit is destroyed, and her niece unable to marry, and her house taken away from her,--all because of her connexion with you."	true	490.22	500.47	21
667_158816_000035_000000	"Mrs. Carbuncle is--is--is-- Oh, Lord George, don't you know what she is?"	"mrs Carbuncle is-is-is- Oh, Lord George, don't you know what she is?"	true	501.23	507.97	21
667_158816_000036_000000	"I know that Mrs. Carbuncle is in a very bad way, and that that girl has gone crazy, and that poor Griff has taken himself off to Japan, and that I am so knocked about that I don't know where to go; and somehow it seems all to have come from your little manoeuvres.	"I know that mrs Carbuncle is in a very bad way, and that that girl has gone crazy, and that poor Griff has taken himself off to Japan, and that I am so knocked about that I don't know where to go; and somehow it seems all to have come from your little manoeuvres.	true	509.06	523.66	17
667_158816_000036_000001	You see, we have, all of us, been made remarkable; haven't we?"	You see, we have, all of us, been made remarkable; haven't we?"	false	524.06	528.3	18.013912
667_158816_000037_000000	"You are always remarkable, Lord George."	"You are always remarkable, Lord George."	false	528.3	531.37	18.458147
667_158816_000038_000000	"And it is all your doing.	"And it is all your doing.	false	532.04	533.59	19.435545
667_158816_000038_000001	To be sure you have lost your diamonds for your pains.	To be sure you have lost your diamonds for your pains.	true	534.2	536.98	17
667_158816_000038_000002	I wouldn't mind it so much if anybody were the better for it.	I wouldn't mind it so much if anybody were the better for it.	true	536.99	539.86	18.399607
667_158816_000038_000003	I shouldn't have begrudged even Benjamin the pull, if he'd got it."	I shouldn't have begrudged even Benjamin the pull, if he'd got it."	true	539.9	543.67	20
667_158816_000039_000000	He stood there, still looking down upon her, speaking with a sarcastic subrisive tone, and, as she felt, intending to be severe to her.	He stood there, still looking down upon her, speaking with a sarcastic subrisive tone, and, as she felt, intending to be severe to her.	true	544.19	552.31	22.590591
667_158816_000039_000001	She had sent for him, and now she didn't know what to say to him.	She had sent for him, and now she didn't know what to say to him.	true	552.68	556.06	22.612963
667_158816_000039_000002	Though she believed that she hated him, she would have liked to get up some show of an affectionate farewell, some scene in which there might have been tears, and tenderness, and poetry,--and, perhaps, a parting caress.	Though she believed that she hated him, she would have liked to get up some show of an affectionate farewell, some scene in which there might have been tears, and tenderness, and poetry,--and, perhaps, a parting caress.	true	556.52	567.52	19
667_158816_000039_000003	But with his jeering words, and sneering face, he was as hard to her as a rock.	But with his jeering words, and sneering face, he was as hard to her as a rock.	true	568.07	572.26	20.004847
667_158816_000039_000004	He was now silent, but still looking down upon her as he stood motionless upon the rug,--so that she was compelled to speak again.	He was now silent, but still looking down upon her as he stood motionless upon the rug,--so that she was compelled to speak again.	true	572.72	579.88	23.624788
667_158816_000039_000005	"I sent for you, Lord George, because I did not like the idea of parting with you for ever, without one word of adieu."	"I sent for you, Lord George, because I did not like the idea of parting with you for ever, without one word of adieu."	true	580.64	586.74	16
667_158816_000040_000000	"You are going to tear yourself away;--are you?"	"You are going to tear yourself away;--are you?"	false	586.74	589.72	25.868225
667_158816_000041_000000	"I am going to Portray on Monday."	"I am going to Portray on Monday."	true	590.3	592.03	23.260735
667_158816_000042_000000	"And never coming back any more?	"And never coming back any more?	true	592.88	594.7	23.565475
667_158816_000042_000001	You'll be up here before the season is over, with fifty more wonderful schemes in your little head.	You'll be up here before the season is over, with fifty more wonderful schemes in your little head.	true	594.95	600.22	20
667_158816_000042_000002	So Lord Fawn is done with, is he?"	So Lord Fawn is done with, is he?"	true	600.59	603.04	21
667_158816_000043_000000	"I have told Lord Fawn that nothing shall induce me ever to see him again."	"I have told Lord Fawn that nothing shall induce me ever to see him again."	true	603.77	607.84	19
667_158816_000044_000000	"And cousin Frank?"	"And cousin Frank?"	true	608.39	609.61	26.473616
667_158816_000045_000000	"My cousin attends me down to Scotland."	"My cousin attends me down to Scotland."	true	610.04	612.1	22.116903
667_158816_000046_000000	"Oh-h.	"Oh h.	false	612.41	613.53	21.790525
667_158816_000046_000001	That makes it altogether another thing.	That makes it altogether another thing.	true	613.53	615.46	20
667_158816_000046_000002	He attends you down to Scotland;--does he?	He attends you down to Scotland;--does he?	true	615.65	618.37	20.042572
667_158816_000046_000003	Does Mr. Emilius go too?"	Does mr Emilius go too?"	true	618.86	620.68	23.751791
667_158816_000047_000000	"I believe you are trying to insult me, sir."	"I believe you are trying to insult me, sir."	true	621.65	624.19	22
667_158816_000048_000000	"You can't expect but what a man should be a little jealous, when he has been so completely cut out himself.	"You can't expect but what a man should be a little jealous, when he has been so completely cut out himself.	true	624.92	630.52	19
667_158816_000048_000001	There was a time, you know, when even cousin Frank wasn't a better fellow than myself."	There was a time, you know, when even cousin Frank wasn't a better fellow than myself."	true	630.98	635.74	19.041693
667_158816_000049_000000	"Much you thought about it, Lord George."	"Much you thought about it, Lord George."	true	636.05	638.23	23.001366
667_158816_000050_000000	"Well;--I did.	"Well;--I did.	true	638.54	640.36	22.618755
667_158816_000050_000001	I thought about it a good deal, my lady.	I thought about it a good deal, my lady.	true	640.49	642.7	17
667_158816_000050_000002	And I liked the idea of it very much." Lizzie pricked up her ears.	And I liked the idea of it very much." Lizzie pricked up her ears.	true	643.04	647.38	25.03884
667_158816_000050_000003	In spite of all his harshness, could it be that he should be the Corsair still? "I am a rambling, uneasy, ill-to-do sort of man; but still I thought about it.	In spite of all his harshness, could it be that he should be the Corsair still? "I am a rambling, uneasy, ill to do sort of man; but still I thought about it.	false	647.78	658.81	23.698498
667_158816_000050_000004	You are pretty, you know,--uncommonly pretty."	You are pretty, you know,--uncommonly pretty."	true	659.45	662.74	24.820305
667_158816_000051_000000	"Don't, Lord George."	"Don't, Lord George."	true	663.56	665.32	27.972448
667_158816_000052_000000	"And I'll acknowledge that the income goes for much.	"And I'll acknowledge that the income goes for much.	false	666.23	668.865	18
667_158816_000052_000001	I suppose that's real at any rate?"	I suppose that's real at any rate?"	true	668.865	670.96	22.464947
667_158816_000053_000000	"Well;--I hope so.	"Well;--I hope so.	true	671.27	672.51	22.508192
667_158816_000053_000001	Of course it's real.	Of course it's real.	true	672.51	673.84	18.904222
667_158816_000053_000002	And so is the prettiness, Lord George;--if there is any."	And so is the prettiness, Lord George;--if there is any."	true	674.27	677.65	23.159853
667_158816_000054_000000	"I never doubted that, Lady Eustace.	"I never doubted that, Lady Eustace.	true	678.44	680.47	20.3531
667_158816_000054_000001	But when it came to my thinking that you had stolen the diamonds, and you thinking that I had stolen the box--!	But when it came to my thinking that you had stolen the diamonds, and you thinking that I had stolen the box-!	true	681.08	686.47	17
667_158816_000054_000002	I'm not a man to stand on trifles, but, by George, it wouldn't do then."	I'm not a man to stand on trifles, but, by George, it wouldn't do then."	false	686.66	691.36	19.83001
667_158816_000055_000000	"Who wanted it to do?" said Lizzie.	"Who wanted it to do?" said Lizzie.	true	691.85	694.12	22.717226
667_158816_000055_000001	"Go away.	"Go away.	true	694.52	695.31	19.906603
667_158816_000055_000002	You are very unkind to me.	You are very unkind to me.	false	695.31	696.73	17
667_158816_000055_000003	I hope I may never see you again.	I hope I may never see you again.	true	696.95	698.74	21.539637
667_158816_000055_000004	I believe you care more for that odious vulgar woman down-stairs than you do for anybody else in the world."	I believe you care more for that odious vulgar woman down stairs than you do for anybody else in the world."	true	699.08	704.56	21.512125
667_158816_000056_000000	"Ah, dear!	"Ah, dear!	true	704.78	705.78	31.124146
667_158816_000056_000001	I have known her for many years, Lizzie, and that both covers and discovers many faults.	I have known her for many years, Lizzie, and that both covers and discovers many faults.	false	705.78	710.73	21.44731
667_158816_000056_000002	One learns to know how bad one's old friends are, but then one forgives them, because they are old friends."	One learns to know how bad one's old friends are, but then one forgives them, because they are old friends."	true	710.73	716.83	17
667_158816_000057_000000	"You can't forgive me,--because I'm bad, and only a new friend."	"You can't forgive me,--because I'm bad, and only a new friend."	false	717.8	723.72	23.869896
667_158816_000058_000000	"Yes, I will.	"Yes, I will.	true	723.72	724.81	22.025164
667_158816_000058_000001	I forgive you all, and hope you may do well yet.	I forgive you all, and hope you may do well yet.	false	724.91	728.98	24.518541
667_158816_000058_000002	If I may give you one bit of advice at parting, it is to caution you against being clever when there is nothing to get by it."	If I may give you one bit of advice at parting, it is to caution you against being clever when there is nothing to get by it."	true	729.29	736.21	20.81971
667_158816_000059_000000	"I ain't clever at all," said Lizzie, beginning to whimper.	"I ain't clever at all," said Lizzie, beginning to whimper.	true	736.85	740.11	20.544535
667_158816_000060_000000	"Good-bye, my dear."	"Good bye, my dear."	true	740.81	742.03	24.36908
667_158816_000061_000000	"Good-bye," said Lizzie.	"Good bye," said Lizzie.	true	743.09	744.73	26.312796
667_158816_000061_000001	He took her hand in one of his; patted her on the head with the other, as though she had been a child, and then he left her.	He took her hand in one of his; patted her on the head with the other, as though she had been a child, and then he left her.	false	745.76	754.26	24.734928
667_158816_000062_000000	CHAPTER LXXVI	CHAPTER seventy six	false	754.26	756	24.13528
