667_158816_000001_000000	CHAPTER LXXV	CHAPTER seventy five
667_158816_000019_000000	"Oh, Lord George, that was the happiest day of my life.	"Oh, Lord George, that was the happiest day of my life.
667_158816_000019_000001	How little happiness there is for people!"	How little happiness there is for people!"
667_158816_000020_000000	"And when Tewett got that girl to say she'd marry him, the coolness with which you bore all the abomination of it in your house,--for people who were nothing to you;--that surprised me!"	"And when Tewett got that girl to say she'd marry him, the coolness with which you bore all the abomination of it in your house,--for people who were nothing to you;--that surprised me!"
667_158816_000021_000000	"I meant to be so kind to you all."	"I meant to be so kind to you all."
667_158816_000022_000000	"And when I found that you always travelled with ten thousand pounds' worth of diamonds in a box, that surprised me very much.	"And when I found that you always travelled with ten thousand pounds' worth of diamonds in a box, that surprised me very much.
667_158816_000022_000001	I thought that you were a very dangerous companion."	I thought that you were a very dangerous companion."
667_158816_000023_000000	"Pray don't talk about the horrid necklace."	"Pray don't talk about the horrid necklace."
667_158816_000024_000001	Of course, we understand that now." On hearing this, Lizzie smiled, but did not say a word.	Of course, we understand that now." On hearing this, Lizzie smiled, but did not say a word.
667_158816_000024_000002	"Then I perceived that I--I was supposed to be the thief.	"Then I perceived that I-I was supposed to be the thief.
667_158816_000024_000003	You--you yourself couldn't have suspected me of taking the diamonds, because--because you'd got them, you know, all safe in your pocket.	You-you yourself couldn't have suspected me of taking the diamonds, because-because you'd got them, you know, all safe in your pocket.
667_158816_000024_000004	But you might as well own the truth now.	But you might as well own the truth now.
667_158816_000024_000005	Didn't you think that it was I who stole the box?"	Didn't you think that it was I who stole the box?"
667_158816_000026_000000	"All that surprised me.	"All that surprised me.
667_158816_000026_000002	Well; you--you were laughing at me in your sleeve all the time."	Well; you-you were laughing at me in your sleeve all the time."
667_158816_000027_000000	"Not laughing, Lord George."	"Not laughing, Lord George."
667_158816_000028_000000	"Yes, you were.	"Yes, you were.
667_158816_000028_000001	You had got the kernel yourself, and thought that I had taken all the trouble to crack the nut and had found myself with nothing but the shell.	You had got the kernel yourself, and thought that I had taken all the trouble to crack the nut and had found myself with nothing but the shell.
667_158816_000028_000002	Then, when you found you couldn't eat the kernel, that you couldn't get rid of the swag without assistance, you came to me to help you.	Then, when you found you couldn't eat the kernel, that you couldn't get rid of the swag without assistance, you came to me to help you.
667_158816_000028_000004	By Jove, I did!	By Jove, I did!
667_158816_000029_000000	"Oh, no," said Lizzie	"Oh, no," said Lizzie
667_158816_000030_000000	"Unfortunately you didn't; but I thought you did.	"Unfortunately you didn't; but I thought you did.
667_158816_000030_000001	And you thought that I had done it!	And you thought that I had done it!
667_158816_000030_000002	Mr. Benjamin was too clever for us both, and now he is going to have penal servitude for the rest of his life.	mr Benjamin was too clever for us both, and now he is going to have penal servitude for the rest of his life.
667_158816_000031_000001	I hate the diamonds.	I hate the diamonds.
667_158816_000031_000002	Of course I would not give them up, because they were my own."	Of course I would not give them up, because they were my own."
667_158816_000032_000001	What was the good of being so clever?"	What was the good of being so clever?"
667_158816_000033_000000	"You need not come here to tease me, Lord George."	"You need not come here to tease me, Lord George."
667_158816_000034_000001	There's my poor friend, Mrs. Carbuncle, declares that all her credit is destroyed, and her niece unable to marry, and her house taken away from her,--all because of her connexion with you."	There's my poor friend, mrs Carbuncle, declares that all her credit is destroyed, and her niece unable to marry, and her house taken away from her,--all because of her connexion with you."
667_158816_000035_000000	"Mrs. Carbuncle is--is--is-- Oh, Lord George, don't you know what she is?"	"mrs Carbuncle is-is-is- Oh, Lord George, don't you know what she is?"
667_158816_000038_000003	I shouldn't have begrudged even Benjamin the pull, if he'd got it."	I shouldn't have begrudged even Benjamin the pull, if he'd got it."
667_158816_000039_000000	He stood there, still looking down upon her, speaking with a sarcastic subrisive tone, and, as she felt, intending to be severe to her.	He stood there, still looking down upon her, speaking with a sarcastic subrisive tone, and, as she felt, intending to be severe to her.
667_158816_000039_000001	She had sent for him, and now she didn't know what to say to him.	She had sent for him, and now she didn't know what to say to him.
667_158816_000039_000003	But with his jeering words, and sneering face, he was as hard to her as a rock.	But with his jeering words, and sneering face, he was as hard to her as a rock.
667_158816_000039_000004	He was now silent, but still looking down upon her as he stood motionless upon the rug,--so that she was compelled to speak again.	He was now silent, but still looking down upon her as he stood motionless upon the rug,--so that she was compelled to speak again.
667_158816_000041_000000	"I am going to Portray on Monday."	"I am going to Portray on Monday."
667_158816_000042_000000	"And never coming back any more?	"And never coming back any more?
667_158816_000042_000001	You'll be up here before the season is over, with fifty more wonderful schemes in your little head.	You'll be up here before the season is over, with fifty more wonderful schemes in your little head.
667_158816_000042_000002	So Lord Fawn is done with, is he?"	So Lord Fawn is done with, is he?"
667_158816_000044_000000	"And cousin Frank?"	"And cousin Frank?"
667_158816_000045_000000	"My cousin attends me down to Scotland."	"My cousin attends me down to Scotland."
667_158816_000046_000001	That makes it altogether another thing.	That makes it altogether another thing.
667_158816_000046_000002	He attends you down to Scotland;--does he?	He attends you down to Scotland;--does he?
667_158816_000046_000003	Does Mr. Emilius go too?"	Does mr Emilius go too?"
667_158816_000047_000000	"I believe you are trying to insult me, sir."	"I believe you are trying to insult me, sir."
667_158816_000049_000000	"Much you thought about it, Lord George."	"Much you thought about it, Lord George."
667_158816_000050_000000	"Well;--I did.	"Well;--I did.
667_158816_000050_000002	And I liked the idea of it very much." Lizzie pricked up her ears.	And I liked the idea of it very much." Lizzie pricked up her ears.
667_158816_000050_000004	You are pretty, you know,--uncommonly pretty."	You are pretty, you know,--uncommonly pretty."
667_158816_000051_000000	"Don't, Lord George."	"Don't, Lord George."
667_158816_000052_000001	I suppose that's real at any rate?"	I suppose that's real at any rate?"
667_158816_000053_000000	"Well;--I hope so.	"Well;--I hope so.
667_158816_000053_000002	And so is the prettiness, Lord George;--if there is any."	And so is the prettiness, Lord George;--if there is any."
667_158816_000054_000000	"I never doubted that, Lady Eustace.	"I never doubted that, Lady Eustace.
667_158816_000055_000000	"Who wanted it to do?" said Lizzie.	"Who wanted it to do?" said Lizzie.
667_158816_000055_000003	I hope I may never see you again.	I hope I may never see you again.
667_158816_000055_000004	I believe you care more for that odious vulgar woman down-stairs than you do for anybody else in the world."	I believe you care more for that odious vulgar woman down stairs than you do for anybody else in the world."
667_158816_000056_000000	"Ah, dear!	"Ah, dear!
667_158816_000058_000000	"Yes, I will.	"Yes, I will.
667_158816_000058_000002	If I may give you one bit of advice at parting, it is to caution you against being clever when there is nothing to get by it."	If I may give you one bit of advice at parting, it is to caution you against being clever when there is nothing to get by it."
667_158816_000059_000000	"I ain't clever at all," said Lizzie, beginning to whimper.	"I ain't clever at all," said Lizzie, beginning to whimper.
667_158816_000060_000000	"Good-bye, my dear."	"Good bye, my dear."
667_158816_000061_000000	"Good-bye," said Lizzie.	"Good bye," said Lizzie.
