5656_44576_000002_000000	CHAPTER II	CHAPTER two
5656_44576_000019_000000	Why did not the Children of Israel whirl through the desert in limousines, and why did not Noah have moving-picture entertainments and talking machines on the Ark?	Why did not the Children of Israel whirl through the desert in limousines, and why did not Noah have moving picture entertainments and talking machines on the Ark?
5656_44576_000019_000001	The laws that enable us to operate an automobile, produce moving-pictures, or music on the Victrola, would have worked just as well then as they do today.	The laws that enable us to operate an automobile, produce moving pictures, or music on the Victrola, would have worked just as well then as they do today.
5656_44576_000019_000002	It was ignorance of law that for ages deprived humanity of our modern conveniences.	It was ignorance of law that for ages deprived humanity of our modern conveniences.
5656_44576_000019_000003	Many speakers still use ox-cart methods in their speech instead of employing automobile or overland-express methods.	Many speakers still use ox cart methods in their speech instead of employing automobile or overland express methods.
5656_44576_000019_000004	They are ignorant of laws that make for efficiency in speaking.	They are ignorant of laws that make for efficiency in speaking.
5656_44576_000019_000006	We cannot impress too thoroughly upon you the necessity for a real working mastery of these principles.	We cannot impress too thoroughly upon you the necessity for a real working mastery of these principles.
5656_44576_000019_000007	They are the very foundations of successful speaking.	They are the very foundations of successful speaking.
5656_44576_000019_000008	"Get your principles right," said Napoleon, "and the rest is a matter of detail."	"Get your principles right," said Napoleon, "and the rest is a matter of detail."
5656_44576_000020_000000	It is useless to shoe a dead horse, and all the sound principles in Christendom will never make a live speech out of a dead one.	It is useless to shoe a dead horse, and all the sound principles in Christendom will never make a live speech out of a dead one.
5656_44576_000020_000001	So let it be understood that public speaking is not a matter of mastering a few dead rules; the most important law of public speech is the necessity for truth, force, feeling, and life.	So let it be understood that public speaking is not a matter of mastering a few dead rules; the most important law of public speech is the necessity for truth, force, feeling, and life.
5656_44576_000020_000002	Forget all else, but not this.	Forget all else, but not this.
5656_44576_000021_000000	When you have mastered the mechanics of speech outlined in the next few chapters you will no longer be troubled with monotony.	When you have mastered the mechanics of speech outlined in the next few chapters you will no longer be troubled with monotony.
5656_44576_000021_000001	The complete knowledge of these principles and the ability to apply them will give you great variety in your powers of expression.	The complete knowledge of these principles and the ability to apply them will give you great variety in your powers of expression.
5656_44576_000022_000000	The technical principles that we lay down in the following chapters are not arbitrary creations of our own.	The technical principles that we lay down in the following chapters are not arbitrary creations of our own.
5656_44576_000022_000001	They are all founded on the practices that good speakers and actors adopt--either naturally and unconsciously or under instruction--in getting their effects.	They are all founded on the practices that good speakers and actors adopt-either naturally and unconsciously or under instruction-in getting their effects.
5656_44576_000023_000000	It is useless to warn the student that he must be natural.	It is useless to warn the student that he must be natural.
5656_44576_000023_000001	To be natural may be to be monotonous.	To be natural may be to be monotonous.
5656_44576_000023_000002	The little strawberry up in the arctics with a few tiny seeds and an acid tang is a natural berry, but it is not to be compared with the improved variety that we enjoy here.	The little strawberry up in the arctics with a few tiny seeds and an acid tang is a natural berry, but it is not to be compared with the improved variety that we enjoy here.
5656_44576_000023_000003	The dwarfed oak on the rocky hillside is natural, but a poor thing compared with the beautiful tree found in the rich, moist bottom lands.	The dwarfed oak on the rocky hillside is natural, but a poor thing compared with the beautiful tree found in the rich, moist bottom lands.
5656_44576_000023_000004	Be natural--but improve your natural gifts until you have approached the ideal, for we must strive after idealized nature, in fruit, tree, and speech.	Be natural-but improve your natural gifts until you have approached the ideal, for we must strive after idealized nature, in fruit, tree, and speech.
5656_44576_000024_000000	QUESTIONS AND EXERCISES.	QUESTIONS AND EXERCISES.
5656_44576_000025_000000	1.	one.
5656_44576_000025_000001	What are the causes of monotony?	What are the causes of monotony?
5656_44576_000026_000001	Cite some instances in nature.	Cite some instances in nature.
5656_44576_000027_000000	3.	three.
5656_44576_000027_000001	Cite instances in man's daily life.	Cite instances in man's daily life.
5656_44576_000028_000001	Describe some of the effects of monotony in both cases.	Describe some of the effects of monotony in both cases.
5656_44576_000029_000000	5.	five.
5656_44576_000029_000001	Read aloud some speech without paying particular attention to its meaning or force.	Read aloud some speech without paying particular attention to its meaning or force.
5656_44576_000030_000000	6.	six.
5656_44576_000030_000001	Now repeat it after you have thoroughly assimilated its matter and spirit.	Now repeat it after you have thoroughly assimilated its matter and spirit.
5656_44576_000030_000002	What difference do you notice in its rendition?	What difference do you notice in its rendition?
5656_44576_000031_000000	7.	seven.
5656_44576_000031_000001	Why is monotony one of the worst as well as one of the most common faults of speakers?	Why is monotony one of the worst as well as one of the most common faults of speakers?
