7739_107483_000001_000000	VII	seven
7739_107483_000050_000002	Meanwhile Henriette and Mrs. Rockerbilt had gone above.	Meanwhile Henriette and mrs Rockerbilt had gone above.
7739_107483_000051_000000	"Isn't it a beauty, Bunny," said Henriette the next morning, as she held up the tiara to my admiring gaze, a flashing, coruscating bit of the jeweler's art that, I verily believe, would have tempted the soul of honor itself into rascally ways.	"Isn't it a beauty, Bunny," said Henriette the next morning, as she held up the tiara to my admiring gaze, a flashing, coruscating bit of the jeweler's art that, I verily believe, would have tempted the soul of honor itself into rascally ways.
7739_107483_000052_000000	"Magnificent!" I asserted.	"Magnificent!" I asserted.
7739_107483_000052_000001	"But--which is this, the forty-eight-dollar one or the original?"	"But-which is this, the forty eight dollar one or the original?"
7739_107483_000053_000000	"The original," said Henriette, caressing the bauble.	"The original," said Henriette, caressing the bauble.
7739_107483_000053_000002	The copy was in the table drawer, and while my right hand was apparently engaged in manipulating the refractory light, and my voice was laughingly calling down maledictions upon the electric lighting company for its wretched service, my left hand was occupied with the busiest effort of its career in substituting the spurious tiara for the other."	The copy was in the table drawer, and while my right hand was apparently engaged in manipulating the refractory light, and my voice was laughingly calling down maledictions upon the electric lighting company for its wretched service, my left hand was occupied with the busiest effort of its career in substituting the spurious tiara for the other."
7739_107483_000054_000000	"And Mrs. Rockerbilt never even suspected?"	"And mrs Rockerbilt never even suspected?"
7739_107483_000055_000000	"No," said Henriette.	"No," said Henriette.
7739_107483_000055_000001	"In fact, she placed the bogus affair in her hair herself.	"In fact, she placed the bogus affair in her hair herself.
7739_107483_000056_000000	"Well, you're a wonder, Henriette," said I, with a sigh.	"Well, you're a wonder, Henriette," said I, with a sigh.
7739_107483_000057_000000	"She won't, Bunny," said Henriette.	"She won't, Bunny," said Henriette.
7739_107483_000057_000001	"She'll never have occasion to test the genuineness of her tiara.	"She'll never have occasion to test the genuineness of her tiara.
7739_107483_000058_000000	But, alas! later on Henriette made a discovery herself that for the time being turned her eyes red with weeping.	But, alas! later on Henriette made a discovery herself that for the time being turned her eyes red with weeping.
7739_107483_000058_000001	The Rockerbilt tiara itself was as bogus as our own copy.	The Rockerbilt tiara itself was as bogus as our own copy.
7739_107483_000058_000002	There wasn't a real stone in the whole outfit, and the worst part of it was that under the circumstances Henriette could not tell anybody over the teacups that Mrs. Rockerbilt was, in vulgar parlance, "putting up a shine" on high society.	There wasn't a real stone in the whole outfit, and the worst part of it was that under the circumstances Henriette could not tell anybody over the teacups that mrs Rockerbilt was, in vulgar parlance, "putting up a shine" on high society.
