4010_10822_000000_000000	The only free man, then, is he who is a child of the Father.	The only free man, then, is he who is a child of the Father.	false	0	1.44	29.14779
4010_10822_000004_000004	Jesus is a king in virtue of no conquest, inheritance, or election, but in right of essential being; and he cares for no subjects but such as are his subjects in the same right.	Jesus is a king in virtue of no conquest, inheritance, or election, but in right of essential being; and he cares for no subjects but such as are his subjects in the same right.	true	168.35	179.71	19.991985
4010_10822_000004_000005	His subjects must be of his own kind, in their very nature and essence kings.	His subjects must be of his own kind, in their very nature and essence kings.	true	180.17	185.62	20
4010_10822_000004_000006	To understand his answer to Pilate, see wherein consists his kingship; what it is that makes him a king; what manifestation of his essential being gives him a claim to be king.	To understand his answer to Pilate, see wherein consists his kingship; what it is that makes him a king; what manifestation of his essential being gives him a claim to be king.	true	186.05	196.24	20
4010_10822_000004_000007	The Lord's is a kingdom in which no man seeks to be above another: ambition is of the dirt of this world's kingdoms.	The Lord's is a kingdom in which no man seeks to be above another: ambition is of the dirt of this world's kingdoms.	true	196.97	204.25	20.125654
4010_10822_000004_000008	He says, 'I am a king, for I was born for the purpose, I came into the world with the object of bearing witness to the truth.	He says, 'I am a king, for I was born for the purpose, I came into the world with the object of bearing witness to the truth.	true	204.62	213.3	19.709034
4010_10822_000004_000009	Everyone that is of my kind, that is of the truth, hears my voice.	Everyone that is of my kind, that is of the truth, hears my voice.	false	213.3	218.71	18.960526
4010_10822_000004_000010	He is a king like me, and makes one of my subjects.' Pilate thereupon--as would most Christians nowadays, instead of setting about being true--requests a definition of truth, a presentation to his intellect in set terms of what the word 'truth' means; but instantly, whether confident of the uselessness of the inquiry, or intending to resume it when he has set the Lord at liberty, goes out to the people to tell them he finds no fault in him.	He is a king like me, and makes one of my subjects.' Pilate thereupon-as would most Christians nowadays, instead of setting about being true-requests a definition of truth, a presentation to his intellect in set terms of what the word 'truth' means; but instantly, whether confident of the uselessness of the inquiry, or intending to resume it when he has set the Lord at liberty, goes out to the people to tell them he finds no fault in him.	true	219.02	246.82	20.035107
4010_10822_000004_000011	Whatever interpretation we put on his action here, he must be far less worthy of blame than those 'Christians' who, instead of setting themselves to be pure 'even as he is pure,' to be their brother and sister's keeper, and to serve God by being honourable in shop and counting-house and labour-market, proceed to 'serve' him, some by going to church or chapel, some by condemning the opinions of their neighbours, some by teaching others what they do not themselves heed.	Whatever interpretation we put on his action here, he must be far less worthy of blame than those 'Christians' who, instead of setting themselves to be pure 'even as he is pure,' to be their brother and sister's keeper, and to serve God by being honourable in shop and counting house and labour market, proceed to 'serve' him, some by going to church or chapel, some by condemning the opinions of their neighbours, some by teaching others what they do not themselves heed.	true	247.61	276.37	19.71274
4010_10822_000004_000012	Neither Pilate nor they ask the one true question, 'How am I to be a true man?	Neither Pilate nor they ask the one true question, 'How am I to be a true man?	true	276.68	283.24	21.63854
4010_10822_000004_000013	How am I to become a man worth being a man?' The Lord is a king because his life, the life of his thoughts, of his imagination, of his will, of every smallest action, is true--true first to God in that he is altogether his, true to himself in that he forgets himself altogether, and true to his fellows in that he will endure anything they do to him, nor cease declaring himself the son and messenger and likeness of God.	How am I to become a man worth being a man?' The Lord is a king because his life, the life of his thoughts, of his imagination, of his will, of every smallest action, is true-true first to God in that he is altogether his, true to himself in that he forgets himself altogether, and true to his fellows in that he will endure anything they do to him, nor cease declaring himself the son and messenger and likeness of God.	false	283.31	311.44	19.400578
4010_10822_000004_000014	They will kill him, but it matters not: the truth is as he says!	They will kill him, but it matters not: the truth is as he says!	true	311.81	316.48	20.775064
4010_10822_000005_000000	Jesus is a king because his business is to bear witness to the truth. What truth?	Jesus is a king because his business is to bear witness to the truth. What truth?	true	317.03	322.9	20.288591
4010_10822_000005_000001	All truth; all verity of relation throughout the universe--first of all, that his father is good, perfectly good; and that the crown and joy of life is to desire and do the will of the eternal source of will, and of all life.	All truth; all verity of relation throughout the universe-first of all, that his father is good, perfectly good; and that the crown and joy of life is to desire and do the will of the eternal source of will, and of all life.	false	323.3	337.75	19.932444
4010_10822_000005_000002	He deals thus the death-blow to the power of hell.	He deals thus the death blow to the power of hell.	true	338.3	341.65	17.812178
4010_10822_000005_000003	For the one principle of hell is--'I am my own.	For the one principle of hell is-'I am my own.	true	341.78	346.6	18.831501
4010_10822_000005_000004	I am my own king and my own subject.	I am my own king and my own subject.	false	347	351.03	15
4010_10822_000005_000005	_I_ am the centre from which go out my thoughts; _I_ am the object and end of my thoughts; back upon _me_ as the alpha and omega of life, my thoughts return.	underscore I underscore am the centre from which go out my thoughts; underscore I underscore am the object and end of my thoughts; back upon underscore me underscore as the alpha and omega of life, my thoughts return.	false	351.03	361.275	19
4010_10822_000005_000006	My own glory is, and ought to be, my chief care; my ambition, to gather the regards of men to the one centre, myself.	My own glory is, and ought to be, my chief care; my ambition, to gather the regards of men to the one centre, myself.	true	361.275	370.84	19.658249
4010_10822_000005_000007	My pleasure is _my_ pleasure.	My pleasure is underscore my underscore pleasure.	false	371.03	373.365	20
4010_10822_000005_000008	My kingdom is--as many as I can bring to acknowledge my greatness over them.	My kingdom is-as many as I can bring to acknowledge my greatness over them.	true	373.365	378.34	17.467438
4010_10822_000005_000009	My judgment is the faultless rule of things.	My judgment is the faultless rule of things.	true	378.35	382.065	20.025408
4010_10822_000005_000010	My right is--what I desire. The more I am all in all to myself, the greater I am.	My right is-what I desire. The more I am all in all to myself, the greater I am.	true	382.065	390.6	21.339685
4010_10822_000005_000011	The less I acknowledge debt or obligation to another; the more I close my eyes to the fact that I did not make myself; the more self-sufficing I feel or imagine myself--the greater I am.	The less I acknowledge debt or obligation to another; the more I close my eyes to the fact that I did not make myself; the more self sufficing I feel or imagine myself-the greater I am.	true	390.6	404.56	15
4010_10822_000005_000012	I will be free with the freedom that consists in doing whatever I am inclined to do, from whatever quarter may come the inclination.	I will be free with the freedom that consists in doing whatever I am inclined to do, from whatever quarter may come the inclination.	true	404.87	412.18	16
4010_10822_000005_000013	To do my own will so long as I feel anything to be my will, is to be free, is to live.	To do my own will so long as I feel anything to be my will, is to be free, is to live.	true	412.22	420.1	19
4010_10822_000005_000014	To all these principles of hell, or of this world--they are the same thing, and it matters nothing whether they are asserted or defended so long as they are acted upon--the Lord, the king, gives the direct lie.	To all these principles of hell, or of this world-they are the same thing, and it matters nothing whether they are asserted or defended so long as they are acted upon-the Lord, the king, gives the direct lie.	true	421.82	435.13	17
4010_10822_000005_000015	It is as if he said:--'I ought to know what I say, for I have been from all eternity the son of him from whom you issue, and whom you call your father, but whom you will not have your father: I know all he thinks and is; and I say this, that my perfect freedom, my pure individuality, rests on the fact that I have not another will than his.	It is as if he said:--'I ought to know what I say, for I have been from all eternity the son of him from whom you issue, and whom you call your father, but whom you will not have your father: I know all he thinks and is; and I say this, that my perfect freedom, my pure individuality, rests on the fact that I have not another will than his.	false	436.49	458.98	20.484636
4010_10822_000005_000016	My will is all for his will, for his will is right.	My will is all for his will, for his will is right.	true	459.44	463.66	20.559635
4010_10822_000005_000017	He is righteousness itself.	He is righteousness itself.	true	463.76	466.24	21.235079
4010_10822_000005_000018	His very being is love and equity and self-devotion, and he will have his children such as himself--creatures of love, of fairness, of self-devotion to him and their fellows.	His very being is love and equity and self devotion, and he will have his children such as himself-creatures of love, of fairness, of self devotion to him and their fellows.	true	466.34	478.48	19.67271
4010_10822_000005_000019	I was born to bear witness to the truth--in my own person to be the truth visible--the very likeness and manifestation of the God who is true.	I was born to bear witness to the truth-in my own person to be the truth visible-the very likeness and manifestation of the God who is true.	true	479.24	487.87	19
4010_10822_000005_000020	My very being is his witness.	My very being is his witness.	true	487.94	490.54	18.18618
4010_10822_000005_000021	Every fact of me witnesses him.	Every fact of me witnesses him.	true	490.67	493.24	19.758387
4010_10822_000005_000022	He is the truth, and I am the truth.	He is the truth, and I am the truth.	true	493.4	497.11	23.278261
4010_10822_000005_000023	Kill me, but while I live I say, Such as I am he is.	Kill me, but while I live I say, Such as I am he is.	true	497.42	502.42	18.730366
4010_10822_000005_000024	If I said I did not know him, I should be a liar.	If I said I did not know him, I should be a liar.	false	502.58	505.72	19
4010_10822_000005_000025	I fear nothing you can do to me.	I fear nothing you can do to me.	true	506	507.81	23.352997
4010_10822_000005_000026	Shall the king who comes to say what is true, turn his back for fear of men?	Shall the king who comes to say what is true, turn his back for fear of men?	false	507.81	512.38	18
4010_10822_000005_000027	My Father is like me; I know it, and I say it.	My Father is like me; I know it, and I say it.	true	512.87	516.91	19.34531
4010_10822_000005_000028	You do not like to hear it because you are not like him.	You do not like to hear it because you are not like him.	true	517.43	520.3	21
4010_10822_000005_000029	I am low in your eyes which measure things by their show; therefore you say I blaspheme.	I am low in your eyes which measure things by their show; therefore you say I blaspheme.	true	520.55	526.87	20.184063
4010_10822_000005_000030	I should blaspheme if I said he was such as anything you are capable of imagining him, for you love show, and power, and the praise of men.	I should blaspheme if I said he was such as anything you are capable of imagining him, for you love show, and power, and the praise of men.	true	527.09	536.11	18
4010_10822_000005_000031	I do not, and God is like me.	I do not, and God is like me.	true	536.6	539.95	19.454975
4010_10822_000005_000032	I came into the world to show him.	I came into the world to show him.	true	540.89	543.16	20.000488
4010_10822_000005_000033	I am a king because he sent me to bear witness to his truth, and I bear it.	I am a king because he sent me to bear witness to his truth, and I bear it.	true	543.53	548.08	18
4010_10822_000005_000034	Kill me, and I will rise again. You can kill me, but you cannot hold me dead.	Kill me, and I will rise again. You can kill me, but you cannot hold me dead.	true	548.78	554.08	19.5912
4010_10822_000005_000035	Death is my servant; you are the slaves of Death because you will not be true, and let the truth make you free.	Death is my servant; you are the slaves of Death because you will not be true, and let the truth make you free.	true	554.24	561.46	19
4010_10822_000005_000036	Bound, and in your hands, I am free as God, for God is my father.	Bound, and in your hands, I am free as God, for God is my father.	true	561.71	566.44	19
4010_10822_000005_000037	I know I shall suffer, suffer unto death, but if you knew my father, you would not wonder that I am ready; you would be ready too. He is my strength.	I know I shall suffer, suffer unto death, but if you knew my father, you would not wonder that I am ready; you would be ready too. He is my strength.	true	566.54	577.6	19.766876
4010_10822_000005_000038	My father is greater than I.'	My father is greater than i'	true	577.76	579.82	18
4010_10822_000006_000000	Remember, friends, I said, 'It is as if he said.' I am daring to present a shadow of the Lord's witnessing, a shadow surely cast by his deeds and his very words!	Remember, friends, I said, 'It is as if he said.' I am daring to present a shadow of the Lord's witnessing, a shadow surely cast by his deeds and his very words!	true	581.39	592.93	19.825872
4010_10822_000006_000001	If I mistake, he will forgive me.	If I mistake, he will forgive me.	true	593.42	595.84	21.605534
4010_10822_000006_000002	I do not fear him; I fear only lest, able to see and write these things, I should fail of witnessing, and myself be, after all, a castaway--no king, but a talker; no disciple of Jesus, ready to go with him to the death, but an arguer about the truth; a hater of the lies men speak for God, and myself a truth-speaking liar, not a doer of the word.	I do not fear him; I fear only lest, able to see and write these things, I should fail of witnessing, and myself be, after all, a castaway-no king, but a talker; no disciple of Jesus, ready to go with him to the death, but an arguer about the truth; a hater of the lies men speak for God, and myself a truth speaking liar, not a doer of the word.	false	596.21	620.32	20.082838
4010_10822_000007_000000	We see, then, that the Lord bore his witness to the Truth, to the one God, by standing just what he was, before the eyes and the lies of men. The true king is the man who stands up a true man and speaks the truth, and will die but not lie.	We see, then, that the Lord bore his witness to the Truth, to the one God, by standing just what he was, before the eyes and the lies of men. The true king is the man who stands up a true man and speaks the truth, and will die but not lie.	false	621.29	638.2	18
4010_10822_000007_000001	The robes of such a king may be rags or purple; it matters neither way.	The robes of such a king may be rags or purple; it matters neither way.	true	638.66	642.97	17.935213
4010_10822_000007_000002	The rags are the more likely, but neither better nor worse than the robes.	The rags are the more likely, but neither better nor worse than the robes.	true	643.01	647.02	15
4010_10822_000007_000003	Then was the Lord dressed most royally when his robes were a jest, a mockery, a laughter.	Then was the Lord dressed most royally when his robes were a jest, a mockery, a laughter.	true	647.33	653.59	19
4010_10822_000007_000004	Of the men who before Christ bare witness to the truth, some were sawn asunder, some subdued kingdoms; it mattered nothing which: they witnessed.	Of the men who before Christ bare witness to the truth, some were sawn asunder, some subdued kingdoms; it mattered nothing which: they witnessed.	true	654.62	665.14	20.968458
4010_10822_000008_000000	The truth is God; the witness to the truth is Jesus.	The truth is God; the witness to the truth is Jesus.	true	666.29	671.07	22.092785
4010_10822_000008_000001	The kingdom of the truth is the hearts of men.	The kingdom of the truth is the hearts of men.	true	671.07	673.65	18
4010_10822_000008_000002	The bliss of men is the true God.	The bliss of men is the true God.	true	673.65	676.065	12
4010_10822_000008_000003	The thought of God is the truth of everything.	The thought of God is the truth of everything.	true	676.065	679.27	20
4010_10822_000008_000004	All well-being lies in true relation to God.	All well-being lies in true relation to God.	true	679.52	682.96	17.294119
4010_10822_000008_000005	The man who responds to this with his whole being, is of the truth.	The man who responds to this with his whole being, is of the truth.	true	683.24	687.76	20.149593
4010_10822_000008_000006	The man who knows these things, and but knows them; the man who sees them to be true, and does not order life and action, judgment and love by them, is of the worst of lying; with hand, and foot, and face he casts scorn upon that which his tongue confesses.	The man who knows these things, and but knows them; the man who sees them to be true, and does not order life and action, judgment and love by them, is of the worst of lying; with hand, and foot, and face he casts scorn upon that which his tongue confesses.	false	687.8	705.19	19
4010_10822_000009_000000	Little thought the sons of Zebedee and their ambitious mother what the earthly throne of Christ's glory was which they and she begged they might share.	Little thought the sons of Zebedee and their ambitious mother what the earthly throne of Christ's glory was which they and she begged they might share.	true	705.8	713.89	15
4010_10822_000009_000001	For the king crowned by his witnessing, witnessed then to the height of his uttermost argument, when he hung upon the cross--like a sin, as Paul in his boldness expresses it.	For the king crowned by his witnessing, witnessed then to the height of his uttermost argument, when he hung upon the cross-like a sin, as Paul in his boldness expresses it.	true	714.17	725.71	17
4010_10822_000009_000002	When his witness is treated as a lie, then most he witnesses, for he gives it still.	When his witness is treated as a lie, then most he witnesses, for he gives it still.	true	726.32	732.6	20
4010_10822_000009_000003	High and lifted up on the throne of his witness, on the cross of his torture, he holds to it: 'I and the Father are one.' Every mockery borne in witnessing, is a witnessing afresh.	High and lifted up on the throne of his witness, on the cross of his torture, he holds to it: 'I and the Father are one.' Every mockery borne in witnessing, is a witnessing afresh.	false	732.6	746.44	21.614878
4010_10822_000009_000004	Infinitely more than had he sat on the throne of the whole earth, did Jesus witness to the truth when Pilate brought him out for the last time, and perhaps made him sit on the judgment-seat in his mockery of kingly garments and royal insignia, saying, 'Behold your king!' Just because of those robes and that crown, that sceptre and that throne of ridicule, he was the only real king that ever sat on any throne.	Infinitely more than had he sat on the throne of the whole earth, did Jesus witness to the truth when Pilate brought him out for the last time, and perhaps made him sit on the judgment seat in his mockery of kingly garments and royal insignia, saying, 'Behold your king!' Just because of those robes and that crown, that sceptre and that throne of ridicule, he was the only real king that ever sat on any throne.	false	746.75	774.28	18.534119
4010_10822_000010_000000	Is every Christian expected to bear witness?	Is every Christian expected to bear witness?	true	776.27	779.38	22
4010_10822_000010_000001	A man content to bear no witness to the truth is not in the kingdom of heaven.	A man content to bear no witness to the truth is not in the kingdom of heaven.	true	779.93	784.63	19
4010_10822_000010_000002	One who believes must bear witness.	One who believes must bear witness.	true	784.91	787.84	18.6316
4010_10822_000010_000003	One who sees the truth, must live witnessing to it. Is our life, then, a witnessing to the truth?	One who sees the truth, must live witnessing to it. Is our life, then, a witnessing to the truth?	true	787.88	794.74	18.644987
4010_10822_000010_000004	Do we carry ourselves in bank, on farm, in house or shop, in study or chamber or workshop, as the Lord would, or as the Lord would not?	Do we carry ourselves in bank, on farm, in house or shop, in study or chamber or workshop, as the Lord would, or as the Lord would not?	true	794.84	805	19
4010_10822_000010_000005	Are we careful to be true?	Are we careful to be true?	true	805.64	807.76	22.072546
4010_10822_000010_000006	Do we endeavour to live to the height of our ideas?	Do we endeavour to live to the height of our ideas?	true	807.8	810.67	18
4010_10822_000010_000007	Or are we mean, self-serving, world-flattering, fawning slaves?	Or are we mean, self serving, world flattering, fawning slaves?	true	810.92	816.61	18
4010_10822_000010_000008	When contempt is cast on the truth, do we smile?	When contempt is cast on the truth, do we smile?	true	817.19	821.26	20.283169
4010_10822_000010_000009	Wronged in our presence, do we make no sign that we hold by it?	Wronged in our presence, do we make no sign that we hold by it?	true	821.75	826.03	19.28858
4010_10822_000010_000010	I do not say we are called upon to dispute, and defend with logic and argument, but we are called upon to show that we are on the other side.	I do not say we are called upon to dispute, and defend with logic and argument, but we are called upon to show that we are on the other side.	false	826.52	835.24	18
4010_10822_000010_000011	But when I say _truth,_ I do not mean _opinion_: to treat opinion as if that were truth, is grievously to wrong the truth.	But when I say underscore truth,underscore I do not mean underscore opinion underscore: to treat opinion as if that were truth, is grievously to wrong the truth.	false	836.12	845.77	19.48428
4010_10822_000010_000012	The soul that loves the truth and tries to be true, will know when to speak and when to be silent; but the true man will never look as if he did not care.	The soul that loves the truth and tries to be true, will know when to speak and when to be silent; but the true man will never look as if he did not care.	true	845.87	855.19	19.802332
4010_10822_000010_000013	We are not bound to say all we think, but we are bound not even to look what we do not think.	We are not bound to say all we think, but we are bound not even to look what we do not think.	true	855.59	862.03	20.051884
4010_10822_000010_000014	The girl who said before a company of mocking companions, 'I believe in Jesus,' bore true witness to her Master, the Truth. David bore witness to God, the Truth, when he said, '_Unto thee, O Lord, belongeth mercy, for thou renderest to every man according to his work_.'	The girl who said before a company of mocking companions, 'I believe in Jesus,' bore true witness to her Master, the Truth. David bore witness to God, the Truth, when he said, 'underscore Unto thee, O Lord, belongeth mercy, for thou renderest to every man according to his work underscore.'	false	862.64	888.24	18.586594
