4945_29092_000005_000000	CHAPTER XI.	CHAPTER eleven.
4945_29092_000017_000007	I wouldn't have old McDowells know that I told about it for anything--he never would speak to me again.	I wouldn't have old McDowells know that I told about it for anything-he never would speak to me again.
4945_29092_000017_000008	Take some more water, Washington--the more water you drink, the better.	Take some more water, Washington-the more water you drink, the better.
4945_29092_000017_000011	There, now.	There, now.
4945_29092_000017_000012	Absorb those.	Absorb those.
4945_29092_000017_000013	They're, mighty sustaining--brim full of nutriment--all the medical books say so.	They're, mighty sustaining-brim full of nutriment-all the medical books say so.
4945_29092_000017_000015	You'll feel like a fighting cock next day."	You'll feel like a fighting cock next day."
4945_29092_000018_000001	One was, that he discovered, to his confusion and shame, that in allowing himself to be helped a second time to the turnips, he had robbed those hungry children.	One was, that he discovered, to his confusion and shame, that in allowing himself to be helped a second time to the turnips, he had robbed those hungry children.
4945_29092_000018_000002	He had not needed the dreadful "fruit," and had not wanted it; and when he saw the pathetic sorrow in their faces when they asked for more and there was no more to give them, he hated himself for his stupidity and pitied the famishing young things with all his heart.	He had not needed the dreadful "fruit," and had not wanted it; and when he saw the pathetic sorrow in their faces when they asked for more and there was no more to give them, he hated himself for his stupidity and pitied the famishing young things with all his heart.
4945_29092_000018_000003	The other matter that disturbed him was the dire inflation that had begun in his stomach.	The other matter that disturbed him was the dire inflation that had begun in his stomach.
4945_29092_000018_000004	It grew and grew, it became more and more insupportable.	It grew and grew, it became more and more insupportable.
4945_29092_000018_000005	Evidently the turnips were "fermenting." He forced himself to sit still as long as he could, but his anguish conquered him at last.	Evidently the turnips were "fermenting." He forced himself to sit still as long as he could, but his anguish conquered him at last.
4945_29092_000019_000000	He rose in the midst of the Colonel's talk and excused himself on the plea of a previous engagement.	He rose in the midst of the Colonel's talk and excused himself on the plea of a previous engagement.
4945_29092_000019_000003	He immediately bent his steps toward home.	He immediately bent his steps toward home.
4945_29092_000020_000000	In bed he passed an hour that threatened to turn his hair gray, and then a blessed calm settled down upon him that filled his heart with gratitude.	In bed he passed an hour that threatened to turn his hair gray, and then a blessed calm settled down upon him that filled his heart with gratitude.
