8879_300234_000000_000000	Barely two months previously Vancouver had explored and named these very waters and headlands.	Barely two months previously Vancouver had explored and named these very waters and headlands.	false	0	2.34	24.355787
8879_300234_000008_000001	Mackenzie had crossed overland from the Peace river to Bella Coola.	Mackenzie had crossed overland from the Peace river to Bella Coola.	true	87.65	91.96	21
8879_300234_000008_000002	Who was to own the great belt of {87} empire--a third larger than Germany--between Mackenzie's trail westward and Lewis and Clark's trail to the mouth of the Columbia?	Who was to own the great belt of {eighty seven} empire-a third larger than Germany-between Mackenzie's trail westward and Lewis and Clark's trail to the mouth of the Columbia?	false	92.39	102.1	20.686754
8879_300234_000008_000003	In 1805 Simon Fraser, who as a child had come from the United States to Canada with his widowed mother in the Loyalist migration, and now in his thirtieth year was a partner in the North-West Company of Montreal, had crossed the Rockies by way of the Peace river.	In eighteen o five Simon Fraser, who as a child had come from the United States to Canada with his widowed mother in the Loyalist migration, and now in his thirtieth year was a partner in the north-west Company of Montreal, had crossed the Rockies by way of the Peace river.	true	102.86	119.71	18
8879_300234_000008_000004	He had followed Mackenzie's trail over the terrible nine-mile carrying-place and had built there a fur-post--Rocky Mountain Portage.	He had followed Mackenzie's trail over the terrible nine mile carrying place and had built there a fur post-Rocky Mountain Portage.	true	120.26	128.86	19.793713
8879_300234_000008_000005	He had ascended that same Parsnip river, which Mackenzie had found so appalling, to a little emerald lake set like a jewel in the mountains.	He had ascended that same Parsnip river, which Mackenzie had found so appalling, to a little emerald lake set like a jewel in the mountains.	true	129.65	138.9	20
8879_300234_000008_000006	There he had built another fur-trading post, and named it after his friend, Archibald Norman M'Leod.	There he had built another fur trading post, and named it after his friend, Archibald Norman M'Leod.	false	138.9	147.69	17.257618
8879_300234_000008_000007	This was the first fur-post known to have been erected in the interior of New Caledonia, now British Columbia.	This was the first fur post known to have been erected in the interior of New Caledonia, now British Columbia.	true	147.69	154.21	16
8879_300234_000008_000008	The new fort had been left in charge of James M'Dougall; and during the winter of 1806 M'Dougall had crossed the heavily drifted carrying-place and descended the Bad River as far as the south fork of the Fraser, which all traders at that time mistook for the upper reaches of Gray's Columbia.	The new fort had been left in charge of james M'Dougall; and during the winter of eighteen o six M'Dougall had crossed the heavily drifted carrying place and descended the Bad River as far as the south fork of the Fraser, which all traders at that time mistook for the upper reaches of Gray's Columbia.	true	154.55	173.02	18
8879_300234_000008_000009	Instead of going down the main stream of the {88} Fraser, M'Dougall ascended both the Nechaco and the Stuart; and if he did not actually behold the beautiful alpine tarns since known as Fraser Lake and Stuart Lake, he was at least the first white man to hear of them.	Instead of going down the main stream of the {eighty eight} Fraser, M'Dougall ascended both the Nechaco and the Stuart; and if he did not actually behold the beautiful alpine tarns since known as Fraser Lake and Stuart Lake, he was at least the first white man to hear of them.	false	173.54	191.17	19.10658
8879_300234_000009_000000	In May of 1806, after sending the year's furs from Rocky Mountain Portage east to Fort Chipewyan, Simon Fraser set out to explore this inland empire concerning which M'Dougall had reported.	In May of eighteen o six, after sending the year's furs from Rocky Mountain Portage east to Fort Chipewyan, Simon Fraser set out to explore this inland empire concerning which M'Dougall had reported.	false	191.63	205.81	20.398766
8879_300234_000009_000001	John Stuart accompanied Fraser as lieutenant.	john Stuart accompanied Fraser as lieutenant.	true	206.27	209.35	23
8879_300234_000009_000002	They crossed from the head-waters of the Parsnip to the south fork of the Fraser, and on June 10 camped at the mouth of the Nechaco.	They crossed from the head waters of the Parsnip to the south fork of the Fraser, and on june tenth camped at the mouth of the Nechaco.	false	209.93	218.44	21.20265
8879_300234_000009_000003	Towards the end of July the Carriers camped on Stuart Lake were amazed to see advancing across the waters, with rhythmic gallop of paddles, two enormous birch canoes.	Towards the end of July the Carriers camped on Stuart Lake were amazed to see advancing across the waters, with rhythmic gallop of paddles, two enormous birch canoes.	true	218.99	230.44	19
8879_300234_000009_000004	When the canoes reached the land Fraser and Stuart stepped ashore, and a volley was fired to celebrate the formal taking possession of a new inland empire. What to do with the white men's offerings of tobacco the Carriers did not know.	When the canoes reached the land Fraser and Stuart stepped ashore, and a volley was fired to celebrate the formal taking possession of a new inland empire. What to do with the white men's offerings of tobacco the Carriers did not know.	false	230.9	245.86	21.527681
8879_300234_000009_000005	They thought the white men in smoking were emitting spirits with each breath.	They thought the white men in smoking were emitting spirits with each breath.	true	246.32	250.78	21.84362
8879_300234_000009_000006	When the traders offered soap to the squaws, the women at once began to devour it.	When the traders offered soap to the squaws, the women at once began to devour it.	true	251.12	256.27	20
8879_300234_000009_000007	The result was a frothing at the {89} mouth as amazing to them as the smoke from the men.	The result was a frothing at the {eighty nine} mouth as amazing to them as the smoke from the men.	false	256.61	261.61	19
8879_300234_000009_000008	History does not record whether the women became as addicted to soap as the men to the fragrant weed.	History does not record whether the women became as addicted to soap as the men to the fragrant weed.	true	262.4	269.38	20.87244
8879_300234_000010_000000	Active trading with the Indians began at once.	Active trading with the Indians began at once.	true	270.35	273.1	18
8879_300234_000010_000001	The lake was named Stuart in honour of Fraser's companion, and the ground was cleared for a palisaded fort, which, when erected, they named Fort St James.	The lake was named Stuart in honour of Fraser's companion, and the ground was cleared for a palisaded fort, which, when erected, they named Fort saint James.	false	273.41	283.6	21
8879_300234_000010_000002	The scene was enchanting.	The scene was enchanting.	true	284.81	286.63	18.398556
8879_300234_000010_000003	The lake wound for a distance of fifty miles amid the foot-hills of the mighty forested mountains.	The lake wound for a distance of fifty miles amid the foot hills of the mighty forested mountains.	true	286.97	292.96	16
8879_300234_000010_000004	It was four or five miles wide, and was gemmed with green islets; and all round, appearing through the clouds in jagged outline, were the opal summits of the snowy peaks.	It was four or five miles wide, and was gemmed with green islets; and all round, appearing through the clouds in jagged outline, were the opal summits of the snowy peaks.	true	293.36	304.75	21.60346
8879_300234_000010_000005	No wonder the two Scotsmen named the new inland empire New Caledonia--after their native land.	No wonder the two Scotsmen named the new inland empire New Caledonia-after their native land.	true	305.21	312.25	20.076324
8879_300234_000011_000000	It will be remembered that M'Dougall had heard of another mountain tarn.	It will be remembered that M'Dougall had heard of another mountain tarn.	false	313.82	318.66	20.037895
8879_300234_000011_000001	This was forty miles south of Stuart Lake, at the headwaters of the Nechaco, the north fork of the Fraser.	This was forty miles south of Stuart Lake, at the headwaters of the Nechaco, the north fork of the Fraser.	true	318.66	325.27	20
8879_300234_000011_000002	Stuart went overland south to spy out the southern lake; and his report was of such an entrancing region--heavily forested, with an abundance of game and fish--that Fraser glided down the Stuart river and poled up the Nechaco to the lake which Stuart had {90} already named after his chief.	Stuart went overland south to spy out the southern lake; and his report was of such an entrancing region-heavily forested, with an abundance of game and fish-that Fraser glided down the Stuart river and poled up the Nechaco to the lake which Stuart had {ninety} already named after his chief.	false	325.64	343.81	20
8879_300234_000011_000003	Again a fort was erected and named Fort Fraser, making three forts in the interior of New Caledonia.	Again a fort was erected and named Fort Fraser, making three forts in the interior of New Caledonia.	true	344.51	351.97	22
8879_300234_000012_000000	Fraser had sent a request to the directors of the North-West Company to be permitted to fit out an expedition down the great river, which he thought was the Columbia; and in the spring of 1807 two canoes under Jules Quesnel were sent out with goods.	Fraser had sent a request to the directors of the north-west Company to be permitted to fit out an expedition down the great river, which he thought was the Columbia; and in the spring of eighteen o seven two canoes under Jules Quesnel were sent out with goods.	true	353.93	372.31	20
8879_300234_000012_000001	Quesnel arrived at Fort St James in the autumn, bringing from the east the alarming word that Lewis and Clark had gone overland and taken possession of all the territory between the Missouri and the mouth of the Columbia.	Quesnel arrived at Fort saint James in the autumn, bringing from the east the alarming word that Lewis and Clark had gone overland and taken possession of all the territory between the Missouri and the mouth of the Columbia.	true	372.47	386.32	17
8879_300234_000012_000002	No time was to be lost by Fraser in establishing a claim to the region to the west of the Rockies between the Peace and the Columbia.	No time was to be lost by Fraser in establishing a claim to the region to the west of the Rockies between the Peace and the Columbia.	true	387.38	395.86	17
8879_300234_000012_000003	Fraser went down the river and strengthened British possession by building a fourth fort--Fort George at the mouth of the Nechaco.	Fraser went down the river and strengthened British possession by building a fourth fort-Fort George at the mouth of the Nechaco.	true	396.62	404.89	22
8879_300234_000012_000004	This was to be the starting-point of the expedition to the Pacific.	This was to be the starting point of the expedition to the Pacific.	false	405.5	409.48	21
8879_300234_000012_000005	Then, towards the end of May 1808, he set out down the great river with four canoes, nineteen voyageurs, and Stuart and Quesnel as first assistants.	Then, towards the end of may eighteen o eight, he set out down the great river with four canoes, nineteen voyageurs, and Stuart and Quesnel as first assistants.	true	409.85	421.14	19
8879_300234_000013_000000	[Illustration: Simon Fraser.	[Illustration: Simon Fraser.	false	421.14	421.65	3
8879_300234_000013_000001	After the portrait in the Parliament Buildings, Victoria, B.C.]	After the portrait in the Parliament Buildings, Victoria, b c]	false	421.65	423.405	-20
8879_300234_000014_000000	Fifteen miles below the fort the river walls narrowed and the canoes swept into the roaring cataract of Fort George canyon.	Fifteen miles below the fort the river walls narrowed and the canoes swept into the roaring cataract of Fort George canyon.	true	423.405	431.67	18
8879_300234_000014_000001	{91} The next day they shot through the Cottonwood canyon, and paused at the point thenceforth to be known as Quesnel.	{ninety one} The next day they shot through the Cottonwood canyon, and paused at the point thenceforth to be known as Quesnel.	false	431.67	439.33	21.18748
8879_300234_000014_000002	On the third day they passed Mackenzie's farthest south--the site of the present Alexandria.	On the third day they passed Mackenzie's farthest south-the site of the present Alexandria.	true	440.12	446.95	20.41989
8879_300234_000014_000003	Below this the river was unexplored and unknown.	Below this the river was unexplored and unknown.	true	447.35	450.58	20
8879_300234_000014_000004	Suddenly the enormous flood-waters swollen by melting mountain snows contracted to a width of only forty yards, and with a fearful roar swept into a rock-walled gorge.	Suddenly the enormous flood waters swollen by melting mountain snows contracted to a width of only forty yards, and with a fearful roar swept into a rock walled gorge.	true	450.83	462.52	15
8879_300234_000014_000005	In sublime unconsciousness of heroism Fraser records:	In sublime unconsciousness of heroism Fraser records:	true	463.13	467.68	20
8879_300234_000015_000000	As it was impossible to carry the canoes across the land owing to the height of the steep hills, we resolved to venture down.	As it was impossible to carry the canoes across the land owing to the height of the steep hills, we resolved to venture down.	true	468.62	475.84	19
8879_300234_000015_000001	I ordered the five best men of the crews into a canoe lightly loaded; and in a moment it was under way.	I ordered the five best men of the crews into a canoe lightly loaded; and in a moment it was under way.	true	476.42	482.98	20
8879_300234_000015_000002	After passing the first cascade she lost her head and was drawn into an eddy, where she was whirled about, in suspense whether to sink or swim.	After passing the first cascade she lost her head and was drawn into an eddy, where she was whirled about, in suspense whether to sink or swim.	true	483.59	494.02	19.861065
8879_300234_000015_000003	However, she took a turn from this vortex, flying from one danger to another; but, in spite of every effort, the whirlpool forced her against a low rock.	However, she took a turn from this vortex, flying from one danger to another; but, in spite of every effort, the whirlpool forced her against a low rock.	false	494.33	503.77	19
8879_300234_000015_000004	Upon this the men scrambled out, saving their lives; but the greatest difficulty was {92} still ahead.	Upon this the men scrambled out, saving their lives; but the greatest difficulty was {ninety two} still ahead.	false	503.96	510.19	23
8879_300234_000015_000005	To continue by water would be certain destruction.	To continue by water would be certain destruction.	true	510.59	513.88	21
8879_300234_000015_000006	During this distressing scene we were on shore looking on; but the situation rendered our approach perilous.	During this distressing scene we were on shore looking on; but the situation rendered our approach perilous.	true	514.31	521.23	18
8879_300234_000015_000007	The bank was high and steep.	The bank was high and steep.	true	521.69	524.02	22.058653
8879_300234_000015_000008	We had to plunge our daggers into the ground to avoid sliding into the river. We cut steps, fastened a line to the front of the canoe, and hauled it up.	We had to plunge our daggers into the ground to avoid sliding into the river. We cut steps, fastened a line to the front of the canoe, and hauled it up.	false	524.12	533.64	20.585728
8879_300234_000015_000009	Our lives hung upon a thread, as one false step might have hurled us into eternity.	Our lives hung upon a thread, as one false step might have hurled us into eternity.	false	533.64	539.08	21.305414
8879_300234_000015_000010	However, we cleared the bank before dark.	However, we cleared the bank before dark.	true	540.05	542.62	21.06951
8879_300234_000015_000011	The men had to ascend the immense hills with heavy loads on their backs.	The men had to ascend the immense hills with heavy loads on their backs.	true	543.08	547.06	17.417002
8879_300234_000016_000000	Indians warned the white men to desist from their undertaking.	Indians warned the white men to desist from their undertaking.	true	549.11	553	20.396479
8879_300234_000016_000001	Better, they advised, go overland eastward to a great peaceful river and descend that to the sea.	Better, they advised, go overland eastward to a great peaceful river and descend that to the sea.	true	553.34	559.75	20
8879_300234_000016_000002	Fraser, of course, did not know that the peaceful river they spoke of was really the Columbia.	Fraser, of course, did not know that the peaceful river they spoke of was really the Columbia.	true	560.21	566.05	21
8879_300234_000016_000003	He thought the river he was following was the Columbia.	He thought the river he was following was the Columbia.	true	566.39	569.56	22.101175
8879_300234_000016_000004	With the help of Indians the canoes were pulled up-hill, and horses were hired from them to carry the provisions overland.	With the help of Indians the canoes were pulled up hill, and horses were hired from them to carry the provisions overland.	true	570.14	577.48	18
8879_300234_000016_000005	Below this portage, as they continued the descent, an enormous crag spread {93} across the river, appearing at first to bar the passage ahead.	Below this portage, as they continued the descent, an enormous crag spread {ninety three} across the river, appearing at first to bar the passage ahead.	false	578.72	587.92	22.09171
8879_300234_000016_000006	This was Bar Rock.	This was Bar Rock.	false	588.2	590.2	24.584415
8879_300234_000016_000007	Beyond it several minor rapids were passed without difficulty; and then they came upon a series of great whirlpools which seemed impassable.	Beyond it several minor rapids were passed without difficulty; and then they came upon a series of great whirlpools which seemed impassable.	true	590.57	599.59	20.097363
8879_300234_000016_000008	But the men unloaded the canoes and--'a desperate undertaking'--ran them down the rapids with light ballast.	But the men unloaded the canoes and-'a desperate undertaking'--ran them down the rapids with light ballast.	true	600.05	607.33	20.989012
8879_300234_000016_000009	They then came back overland for the packs.	They then came back overland for the packs.	true	607.7	610.45	24
8879_300234_000017_000000	This task [says Fraser] was as dangerous as going by water.	This task [says Fraser] was as dangerous as going by water.	true	611.48	615.97	23
8879_300234_000017_000001	The men passed and repassed a declivity, on loose stones and gravel, which constantly gave way under foot.	The men passed and repassed a declivity, on loose stones and gravel, which constantly gave way under foot.	true	616.34	623.47	22
8879_300234_000017_000002	One man, who lost the path, got in a most intricate and perilous position.	One man, who lost the path, got in a most intricate and perilous position.	true	623.72	628.99	20
8879_300234_000017_000003	With a large package on his back, he got so wedged amid the rocks that he could move neither forward nor backward, nor yet unload himself.	With a large package on his back, he got so wedged amid the rocks that he could move neither forward nor backward, nor yet unload himself.	true	629.33	638.29	19
8879_300234_000017_000004	I crawled, not without great risk, to his assistance, and saved his life by cutting his pack so [that] it dropped back in the river.	I crawled, not without great risk, to his assistance, and saved his life by cutting his pack so [that] it dropped back in the river.	true	638.3	646.66	20
8879_300234_000017_000005	On this carrying-place, which was two miles long, our shoes became shattered.	On this carrying place, which was two miles long, our shoes became shattered.	true	646.94	651.93	19
8879_300234_000018_000000	For several days after this the advance was by a succession of rapids and portages.	For several days after this the advance was by a succession of rapids and portages.	false	651.93	659.44	20.388508
8879_300234_000018_000001	On June 9 the stream again narrowed to forty {94} yards and swept violently between two overhanging precipices.	On june ninth the stream again narrowed to forty {ninety four} yards and swept violently between two overhanging precipices.	false	660.11	667.99	18
8879_300234_000019_000000	The water, which rolls down this passage in tumultuous waves and with great velocity, had a frightful appearance.	The water, which rolls down this passage in tumultuous waves and with great velocity, had a frightful appearance.	true	669.08	676.63	18
8879_300234_000019_000001	However, it being absolutely impossible to carry canoes by land, all hands without hesitation embarked on the mercy of the awful tide.	However, it being absolutely impossible to carry canoes by land, all hands without hesitation embarked on the mercy of the awful tide.	true	676.76	686.41	17
8879_300234_000019_000002	Once on the water, the die was cast; and the difficulty consisted in keeping the canoes clear of the precipice on one side and clear of the gulfs formed by the waves on the other.	Once on the water, the die was cast; and the difficulty consisted in keeping the canoes clear of the precipice on one side and clear of the gulfs formed by the waves on the other.	true	686.93	697.84	18
8879_300234_000019_000003	Thus skimming along as fast as lightning, the crews, cool and determined, followed each other in awful silence; and when we arrived at the end, we stood gazing at each other in silent congratulation on our narrow escape from total destruction.	Thus skimming along as fast as lightning, the crews, cool and determined, followed each other in awful silence; and when we arrived at the end, we stood gazing at each other in silent congratulation on our narrow escape from total destruction.	true	698.33	714.1	20
8879_300234_000019_000004	After breathing a little, we continued our course to the point where the Indians camped.	After breathing a little, we continued our course to the point where the Indians camped.	true	714.59	719.71	19.970665
8879_300234_000020_000000	The natives here warned Fraser that it would be madness to go forward. At the same time they furnished him with a guide.	The natives here warned Fraser that it would be madness to go forward. At the same time they furnished him with a guide.	true	721.22	728.62	22.659796
8879_300234_000020_000001	The same evening the party reached the place described by Fraser as 'a continual series of cascades cut by rocks and bounded by precipices that {95} seemed to have no end.' Never had he seen 'anything so dreary and dangerous.' Towering above were 'mountains upon mountains whose summits are covered with eternal snow.' An examination of the river for some distance below convinced Fraser that it was impossible of navigation, and he decided to make the remainder of the journey on foot.	The same evening the party reached the place described by Fraser as 'a continual series of cascades cut by rocks and bounded by precipices that {ninety five} seemed to have no end.' Never had he seen 'anything so dreary and dangerous.' Towering above were 'mountains upon mountains whose summits are covered with eternal snow.' An examination of the river for some distance below convinced Fraser that it was impossible of navigation, and he decided to make the remainder of the journey on foot.	false	729.23	761.77	20.555668
8879_300234_000020_000002	After building a scaffold, on which the canoes and some provisions were placed and covered with underbrush and moss, the party, on June 11, began their tramp down the river-bank.	After building a scaffold, on which the canoes and some provisions were placed and covered with underbrush and moss, the party, on june eleventh, began their tramp down the river bank.	false	762.29	773.44	18
8879_300234_000020_000003	Each man carried on his back a ninety-pound pack, supported by a strap across the forehead.	Each man carried on his back a ninety pound pack, supported by a strap across the forehead.	false	774.77	781.53	21.068779
8879_300234_000020_000004	Again and again on the journey Indians confronted Fraser with hostile show of weapons, but the intrepid trader disarmed hostility by gifts.	Again and again on the journey Indians confronted Fraser with hostile show of weapons, but the intrepid trader disarmed hostility by gifts.	true	781.53	790.72	17
8879_300234_000020_000005	The Indians declared that the sea lay only ten 'sleeps' distant.	The Indians declared that the sea lay only ten 'sleeps' distant.	true	792.02	797.05	23.825243
8879_300234_000020_000006	One of the chiefs said that he had himself seen white men, who were great 'tyees,' because 'they were well dressed and very proud and went about this way'--clapping his hands to his hips and strutting about with an air of vast importance. The Indians told Fraser of another great river that came in from the east and joined this one some distance below.	One of the chiefs said that he had himself seen white men, who were great 'tyees,' because 'they were well dressed and very proud and went about this way'--clapping his hands to his hips and strutting about with an air of vast importance. The Indians told Fraser of another great river that came in from the east and joined this one some distance below.	true	797.72	820.84	21.70084
8879_300234_000020_000007	He had passed the site of the present Lillooet and was {96} approaching the confluence of the Thompson with the Fraser.	He had passed the site of the present Lillooet and was {ninety six} approaching the confluence of the Thompson with the Fraser.	false	821.15	828.16	20.858618
8879_300234_000020_000008	Farther down European articles were seen among the Indians.	Farther down European articles were seen among the Indians.	true	829.13	832.96	17
8879_300234_000020_000009	It was the fishing season, and the tribes had assembled in great hordes.	It was the fishing season, and the tribes had assembled in great hordes.	true	833.27	837.21	14
8879_300234_000020_000010	Here the river was navigable, and three wooden dug-outs were obtained from the natives for the descent to the sea.	Here the river was navigable, and three wooden dug outs were obtained from the natives for the descent to the sea.	false	837.21	844.45	20.711529
8879_300234_000020_000011	The voyageurs again embarked, and swept down the narrow bends of the turbulent floods at what are now Lytton, Yale, and Hope.	The voyageurs again embarked, and swept down the narrow bends of the turbulent floods at what are now Lytton, Yale, and Hope.	true	844.7	854.89	20.545734
8879_300234_000020_000012	There were passes where the river was such a raging torrent that the dug-outs had to be carried overland.	There were passes where the river was such a raging torrent that the dug outs had to be carried overland.	true	855.29	861.34	14
8879_300234_000020_000013	There were places where Fraser's voyageurs had to climb precipices by means of frail ladders, made of poles and withes, that swayed to their tread and threatened to precipitate them into the torrent beneath.	There were places where Fraser's voyageurs had to climb precipices by means of frail ladders, made of poles and withes, that swayed to their tread and threatened to precipitate them into the torrent beneath.	false	862.82	875.38	15
8879_300234_000021_000000	When the river turned sharply west, Fraser could not help noticing that the Indians became more violently hostile.	When the river turned sharply west, Fraser could not help noticing that the Indians became more violently hostile.	true	877.34	884.29	15
8879_300234_000021_000001	Far south could be seen the opal dome of Mount Baker, named by Vancouver after one of his lieutenants.	Far south could be seen the opal dome of Mount Baker, named by Vancouver after one of his lieutenants.	false	884.81	892.29	21.147429
8879_300234_000021_000002	As they advanced, the banks lowered to reedy swamps and mosquitoes appeared in clouds.	As they advanced, the banks lowered to reedy swamps and mosquitoes appeared in clouds.	false	892.29	897.76	16
8879_300234_000021_000003	What troubled Fraser most was the fact that the river lay many miles north of the known latitude of the Columbia.	What troubled Fraser most was the fact that the river lay many miles north of the known latitude of the Columbia.	true	898.49	905.5	17
8879_300234_000021_000004	It daily grew on {97} him that this could not possibly be the Columbia.	It daily grew on {ninety seven} him that this could not possibly be the Columbia.	false	905.81	909.97	20.506893
8879_300234_000021_000005	The tide rose and fell in the river.	The tide rose and fell in the river.	true	910.22	912.49	18.027508
8879_300234_000021_000006	The Indian guide begged the white men not to go on; he was afraid, he said, of the Indians of the sea-coast.	The Indian guide begged the white men not to go on; he was afraid, he said, of the Indians of the sea coast.	false	912.74	919.66	21.35156
8879_300234_000021_000007	The river channel divided.	The river channel divided.	true	920.57	922.24	19.60356
8879_300234_000021_000008	Natives along the shore began singing war-songs and beating the war-drum; then they circled out threateningly round the white men's boats.	Natives along the shore began singing war songs and beating the war drum; then they circled out threateningly round the white men's boats.	true	922.61	931.66	19.664278
8879_300234_000021_000009	Signs were seen of the sea ahead; but the Indians were 'howling like wolves and brandishing war-clubs,' and Fraser concluded that it would be unwise to delay longer amid such dangers.	Signs were seen of the sea ahead; but the Indians were 'howling like wolves and brandishing war clubs,' and Fraser concluded that it would be unwise to delay longer amid such dangers.	false	932.03	944.59	20
8879_300234_000021_000010	To his intense disappointment he had established the latitude as 49 deg., whereas the Columbia was in latitude 46 deg.	To his intense disappointment he had established the latitude as forty nine d e g., whereas the Columbia was in latitude forty six d e g.	false	945.89	955.23	16
8879_300234_000021_000011	20'. 'This river is therefore _not_ the Columbia,' he declared. 'If I had been convinced of this when I left my canoes, I would certainly have returned.'	twenty feet. 'This river is therefore underscore not underscore the Columbia,' he declared. 'If I had been convinced of this when I left my canoes, I would certainly have returned.'	false	955.23	966.07	19.861118
8879_300234_000022_000000	The return journey was fraught with danger.	The return journey was fraught with danger.	true	967.34	970.06	20.543722
8879_300234_000022_000001	Always one man stood guard while the others slept; and again and again the little party was surrounded by ferociously hostile bands.	Always one man stood guard while the others slept; and again and again the little party was surrounded by ferociously hostile bands.	true	970.49	979.06	18
8879_300234_000022_000002	Between apprehension of the dangers of the wild trail of the Fraser canyons and fear of hostile natives, the men became so panic-stricken that they threw down their paddles and declared their intention of trying to escape {98} overland through the mountains.	Between apprehension of the dangers of the wild trail of the Fraser canyons and fear of hostile natives, the men became so panic stricken that they threw down their paddles and declared their intention of trying to escape {ninety eight} overland through the mountains.	false	979.49	994.45	17
8879_300234_000022_000003	Fraser reasoned and remonstrated, and finally threatened.	Fraser reasoned and remonstrated, and finally threatened.	true	995.15	998.53	19
8879_300234_000022_000004	After so much heroism he would not permit cowardly desertion.	After so much heroism he would not permit cowardly desertion.	true	998.84	1002.97	19
