3989_182402_000001_000000	XV	fifteen
3989_182402_000017_000000	Peter was so surprised that he couldn't find his tongue.	peter was so surprised that he couldn't find his tongue.
3989_182402_000017_000001	He hadn't said a word to any one about Spotty, so how could Grandfather Frog know what he had come for?	He hadn't said a word to any one about Spotty, so how could Grandfather Frog know what he had come for?
3989_182402_000017_000002	For a long time he had had a great deal of respect for Grandfather Frog, who, as you know, is very old and very wise, but now Peter felt almost afraid of him.	For a long time he had had a great deal of respect for Grandfather Frog, who, as you know, is very old and very wise, but now peter felt almost afraid of him.
3989_182402_000017_000003	You see, it seemed to Peter as if Grandfather Frog had read his very thoughts.	You see, it seemed to peter as if Grandfather Frog had read his very thoughts.
3989_182402_000018_000000	"I--I didn't know you were waiting.	"I-I didn't know you were waiting.
3989_182402_000018_000001	Truly I didn't," stammered Peter. "If I had, I would have been here long ago.	Truly I didn't," stammered peter. "If I had, I would have been here long ago.
3989_182402_000018_000002	If you please, how did you know that I was coming and what I was coming for?"	If you please, how did you know that I was coming and what I was coming for?"
3989_182402_000019_000000	"Never mind how I knew.	"Never mind how I knew.
3989_182402_000019_000001	I know a great deal that I don't tell, which is more than some folks can say," replied Grandfather Frog.	I know a great deal that I don't tell, which is more than some folks can say," replied Grandfather Frog.
3989_182402_000020_000000	Peter wondered if he meant him, for you know Peter is a great gossip. But he didn't say anything, because he didn't know just what to say, and in a minute Grandfather Frog began the story Peter so much wanted.	peter wondered if he meant him, for you know peter is a great gossip. But he didn't say anything, because he didn't know just what to say, and in a minute Grandfather Frog began the story peter so much wanted.
3989_182402_000021_000001	And of course you know that that reason is because of something that happened a long time ago, way back in the days when the world was young.	And of course you know that that reason is because of something that happened a long time ago, way back in the days when the world was young.
3989_182402_000021_000002	Almost everything to-day is the result of things that happened in those long-ago days.	Almost everything to day is the result of things that happened in those long ago days.
3989_182402_000021_000003	The great-great-ever-so-great grandfather of Spotty the Turtle lived then, and unlike Spotty, whom you know, he had no house.	The great great ever so great grandfather of Spotty the Turtle lived then, and unlike Spotty, whom you know, he had no house.
3989_182402_000021_000004	He was very quiet and bashful, was Mr. Turtle, and he never meddled with any one's business, because he believed that the best way of keeping out of trouble was to attend strictly to his own affairs.	He was very quiet and bashful, was mr Turtle, and he never meddled with any one's business, because he believed that the best way of keeping out of trouble was to attend strictly to his own affairs.
3989_182402_000022_000001	If he had had, he would have been saved a great deal of trouble and worry. For a long time everybody lived at peace with everybody else.	If he had had, he would have been saved a great deal of trouble and worry. For a long time everybody lived at peace with everybody else.
3989_182402_000022_000002	Then came the trying time, of which you already know, when those who lived on the Green Meadows and in the Green Forest had the very hardest kind of work to find enough to eat, and were hungry most of the time.	Then came the trying time, of which you already know, when those who lived on the Green Meadows and in the Green Forest had the very hardest kind of work to find enough to eat, and were hungry most of the time.
3989_182402_000022_000003	Now Mr. Turtle, living in the Smiling Pool, had plenty to eat.	Now mr Turtle, living in the Smiling Pool, had plenty to eat.
3989_182402_000022_000004	He had nothing to worry about on that score.	He had nothing to worry about on that score.
3989_182402_000022_000005	Everybody who lives in the Smiling Pool knows that it is the best place in the world, anyway."	Everybody who lives in the Smiling Pool knows that it is the best place in the world, anyway."
3989_182402_000023_000000	Grandfather Frog winked at Jerry Muskrat, who was listening, and Jerry nodded his head.	Grandfather Frog winked at Jerry Muskrat, who was listening, and Jerry nodded his head.
3989_182402_000024_000000	"But presently Mr. Turtle discovered that the big people were eating the little people whenever they could catch them, and that he wasn't safe a minute when on shore, and not always safe in the water," continued Grandfather Frog.	"But presently mr Turtle discovered that the big people were eating the little people whenever they could catch them, and that he wasn't safe a minute when on shore, and not always safe in the water," continued Grandfather Frog.
3989_182402_000024_000001	"He had two or three very narrow escapes, and these set him to thinking.	"He had two or three very narrow escapes, and these set him to thinking.
3989_182402_000024_000002	He was too slow and awkward to run or to fight.	He was too slow and awkward to run or to fight.
3989_182402_000024_000003	The only thing he could do was to keep out of sight as much as possible.	The only thing he could do was to keep out of sight as much as possible.
3989_182402_000024_000004	So he learned to swim with only his head out of water, and sometimes with only the end of his nose out of water.	So he learned to swim with only his head out of water, and sometimes with only the end of his nose out of water.
3989_182402_000025_000002	At first he was annoyed and started to shake it off.	At first he was annoyed and started to shake it off.
3989_182402_000025_000004	It was Mr. Fisher, and he was very hungry and fierce.	It was mr Fisher, and he was very hungry and fierce.
3989_182402_000025_000005	He looked at the piece of bark under which Mr. Turtle was hiding, but all he saw was the bark, because, you know, Mr. Turtle had drawn himself wholly under.	He looked at the piece of bark under which mr Turtle was hiding, but all he saw was the bark, because, you know, mr Turtle had drawn himself wholly under.
3989_182402_000026_000000	"'I believe,' said Mr. Fisher, talking out loud to himself, 'that I'll have a look around the Smiling Pool and see if I can catch that slow-moving Turtle who lives there.	"'I believe,' said mr Fisher, talking out loud to himself, 'that I'll have a look around the Smiling Pool and see if I can catch that slow moving Turtle who lives there.
3989_182402_000026_000001	I believe he'll make me a good dinner.'	I believe he'll make me a good dinner.'
3989_182402_000027_000000	"Of course Mr. Turtle heard just what he said, and he blessed the piece of bark which had hidden him from Mr. Fisher's sight.	"Of course mr Turtle heard just what he said, and he blessed the piece of bark which had hidden him from mr Fisher's sight.
3989_182402_000027_000001	For a long time he lay very still.	For a long time he lay very still.
3989_182402_000027_000002	When he did go on, he took the greatest care not to shake off that piece of bark, for he didn't know but that any minute he might want to hide under it again.	When he did go on, he took the greatest care not to shake off that piece of bark, for he didn't know but that any minute he might want to hide under it again.
3989_182402_000027_000003	At last he reached the Smiling Pool and slipped into the water, leaving the piece of bark on the bank.	At last he reached the Smiling Pool and slipped into the water, leaving the piece of bark on the bank.
3989_182402_000027_000004	Thereafter, when he wanted to go on land, he would first make sure that no one was watching.	Thereafter, when he wanted to go on land, he would first make sure that no one was watching.
3989_182402_000027_000005	Then he would crawl under the piece of bark and get it on his back.	Then he would crawl under the piece of bark and get it on his back.
3989_182402_000027_000006	Wherever he went he carried the piece of bark so as to have it handy to hide under.	Wherever he went he carried the piece of bark so as to have it handy to hide under.
3989_182402_000028_000000	"Now all this time Old Mother Nature had been watching Mr. Turtle, and it pleased her to see that he was smart enough to think of such a clever way of fooling his enemies.	"Now all this time Old Mother Nature had been watching mr Turtle, and it pleased her to see that he was smart enough to think of such a clever way of fooling his enemies.
3989_182402_000028_000001	So she began to study how she could help Mr. Turtle.	So she began to study how she could help mr Turtle.
3989_182402_000028_000002	One day she came up behind him just as he sat down to rest.	One day she came up behind him just as he sat down to rest.
3989_182402_000028_000003	The piece of bark was uncomfortable and scratched his back, 'I wish,' said he, talking to himself, for he didn't know that any one else was near, 'I wish that I had a house of my own that I could carry on my back all the time and be perfectly safe when I was inside of it.'	The piece of bark was uncomfortable and scratched his back, 'I wish,' said he, talking to himself, for he didn't know that any one else was near, 'I wish that I had a house of my own that I could carry on my back all the time and be perfectly safe when I was inside of it.'
3989_182402_000029_000000	"'You shall have,' said Old Mother Nature, and reaching out, she touched his back and turned the skin into hard shell.	"'You shall have,' said Old Mother Nature, and reaching out, she touched his back and turned the skin into hard shell.
3989_182402_000029_000001	Then she touched the skin of his stomach and turned that into hard shell.	Then she touched the skin of his stomach and turned that into hard shell.
3989_182402_000029_000002	'Now draw in your head and your legs and your tail,' said she.	'Now draw in your head and your legs and your tail,' said she.
3989_182402_000030_000000	"Mr. Turtle did as he was told to do, and there he was in the very best and safest kind of a house, perfectly hidden from all his enemies!	"mr Turtle did as he was told to do, and there he was in the very best and safest kind of a house, perfectly hidden from all his enemies!
3989_182402_000031_000000	"'Oh, Mother Nature, how can I ever thank you?' he cried.	"'Oh, Mother Nature, how can I ever thank you?' he cried.
3989_182402_000032_000000	"'By doing as you always have done, attending wholly to your own affairs,' replied Old Mother Nature.	"'By doing as you always have done, attending wholly to your own affairs,' replied Old Mother Nature.
