1425_139290_000000_000000	God speed the day!	God speed the day!	false	0	1.05	-20
1425_139290_000011_000002	Whether this prophecy is ever fulfilled or not, it is nevertheless plain that a very different-looking class of people are springing up at the south, and are now held in slavery, from those originally brought to this country from Africa; and if their increase do no other good, it will do away the force of the argument, that God cursed Ham, and therefore American slavery is right.	Whether this prophecy is ever fulfilled or not, it is nevertheless plain that a very different looking class of people are springing up at the south, and are now held in slavery, from those originally brought to this country from Africa; and if their increase do no other good, it will do away the force of the argument, that God cursed Ham, and therefore American slavery is right.	false	377.72	400.12	18
1425_139290_000011_000003	If the lineal descendants of Ham are alone to be scripturally enslaved, it is certain that slavery at the south must soon become unscriptural; for thousands are ushered into the world, annually, who, like myself, owe their existence to white fathers, and those fathers most frequently their own masters.	If the lineal descendants of Ham are alone to be scripturally enslaved, it is certain that slavery at the south must soon become unscriptural; for thousands are ushered into the world, annually, who, like myself, owe their existence to white fathers, and those fathers most frequently their own masters.	true	401.24	419.98	17
1425_139290_000012_000000	I have had two masters.	I have had two masters.	true	420.92	422.59	21.188755
1425_139290_000012_000001	My first master's name was Anthony.	My first master's name was Anthony.	true	422.93	425.26	18.230955
1425_139290_000012_000002	I do not remember his first name.	I do not remember his first name.	true	425.66	427.54	17.490692
1425_139290_000012_000003	He was generally called Captain Anthony--a title which, I presume, he acquired by sailing a craft on the Chesapeake Bay. He was not considered a rich slaveholder.	He was generally called Captain Anthony-a title which, I presume, he acquired by sailing a craft on the Chesapeake Bay. He was not considered a rich slaveholder.	true	428.03	438.04	22
1425_139290_000012_000004	He owned two or three farms, and about thirty slaves.	He owned two or three farms, and about thirty slaves.	true	438.32	441.55	18
1425_139290_000012_000005	His farms and slaves were under the care of an overseer.	His farms and slaves were under the care of an overseer.	true	442.49	445.45	16.915512
1425_139290_000012_000006	The overseer's name was Plummer.	The overseer's name was Plummer.	true	445.76	447.73	16.926859
1425_139290_000012_000007	Mr. Plummer was a miserable drunkard, a profane swearer, and a savage monster.	mr Plummer was a miserable drunkard, a profane swearer, and a savage monster.	true	447.74	453.1	18
1425_139290_000012_000008	He always went armed with a cowskin and a heavy cudgel.	He always went armed with a cowskin and a heavy cudgel.	true	453.41	456.46	18
1425_139290_000012_000009	I have known him to cut and slash the women's heads so horribly, that even master would be enraged at his cruelty, and would threaten to whip him if he did not mind himself. Master, however, was not a humane slaveholder.	I have known him to cut and slash the women's heads so horribly, that even master would be enraged at his cruelty, and would threaten to whip him if he did not mind himself. Master, however, was not a humane slaveholder.	false	456.77	467.145	19
1425_139290_000012_000010	It required extraordinary barbarity on the part of an overseer to affect him.	It required extraordinary barbarity on the part of an overseer to affect him.	true	467.145	471.82	21
1425_139290_000012_000011	He was a cruel man, hardened by a long life of slaveholding.	He was a cruel man, hardened by a long life of slaveholding.	true	472.22	475.96	19.931198
1425_139290_000012_000012	He would at times seem to take great pleasure in whipping a slave.	He would at times seem to take great pleasure in whipping a slave.	true	476.09	479.41	22
1425_139290_000012_000013	I have often been awakened at the dawn of day by the most heart-rending shrieks of an own aunt of mine, whom he used to tie up to a joist, and whip upon her naked back till she was literally covered with blood.	I have often been awakened at the dawn of day by the most heart rending shrieks of an own aunt of mine, whom he used to tie up to a joist, and whip upon her naked back till she was literally covered with blood.	true	479.66	492.97	20
1425_139290_000012_000014	No words, no tears, no prayers, from his gory victim, seemed to move his iron heart from its bloody purpose. The louder she screamed, the harder he whipped; and where the blood ran fastest, there he whipped longest.	No words, no tears, no prayers, from his gory victim, seemed to move his iron heart from its bloody purpose. The louder she screamed, the harder he whipped; and where the blood ran fastest, there he whipped longest.	false	493.19	507.55	20
1425_139290_000012_000015	He would whip her to make her scream, and whip her to make her hush; and not until overcome by fatigue, would he cease to swing the blood-clotted cowskin.	He would whip her to make her scream, and whip her to make her hush; and not until overcome by fatigue, would he cease to swing the blood clotted cowskin.	true	508.1	517.39	17
1425_139290_000012_000016	I remember the first time I ever witnessed this horrible exhibition.	I remember the first time I ever witnessed this horrible exhibition.	true	518.15	521.535	17
1425_139290_000012_000017	I was quite a child, but I well remember it.	I was quite a child, but I well remember it.	true	521.535	524.26	22.87525
1425_139290_000012_000018	I never shall forget it whilst I remember any thing.	I never shall forget it whilst I remember any thing.	true	524.54	527.35	17.517948
1425_139290_000012_000019	It was the first of a long series of such outrages, of which I was doomed to be a witness and a participant.	It was the first of a long series of such outrages, of which I was doomed to be a witness and a participant.	false	527.69	533.86	15
1425_139290_000012_000020	It struck me with awful force.	It struck me with awful force.	true	534.35	536.35	21.23107
1425_139290_000012_000021	It was the blood-stained gate, the entrance to the hell of slavery, through which I was about to pass.	It was the blood stained gate, the entrance to the hell of slavery, through which I was about to pass.	false	536.57	542.62	20.835308
1425_139290_000012_000022	It was a most terrible spectacle.	It was a most terrible spectacle.	true	542.93	544.93	21
1425_139290_000012_000023	I wish I could commit to paper the feelings with which I beheld it.	I wish I could commit to paper the feelings with which I beheld it.	true	545.12	548.47	17
1425_139290_000013_000000	This occurrence took place very soon after I went to live with my old master, and under the following circumstances.	This occurrence took place very soon after I went to live with my old master, and under the following circumstances.	true	548.99	555.22	20
1425_139290_000013_000001	Aunt Hester went out one night,--where or for what I do not know,--and happened to be absent when my master desired her presence.	Aunt Hester went out one night,--where or for what I do not know,--and happened to be absent when my master desired her presence.	true	555.53	563.05	20
1425_139290_000013_000002	He had ordered her not to go out evenings, and warned her that she must never let him catch her in company with a young man, who was paying attention to her belonging to Colonel Lloyd.	He had ordered her not to go out evenings, and warned her that she must never let him catch her in company with a young man, who was paying attention to her belonging to Colonel Lloyd.	true	563.21	573.88	19
1425_139290_000013_000003	The young man's name was Ned Roberts, generally called Lloyd's Ned.	The young man's name was Ned Roberts, generally called Lloyd's Ned.	true	574.19	578.26	19
1425_139290_000013_000004	Why master was so careful of her, may be safely left to conjecture.	Why master was so careful of her, may be safely left to conjecture.	true	578.99	583.54	21.239721
1425_139290_000013_000005	She was a woman of noble form, and of graceful proportions, having very few equals, and fewer superiors, in personal appearance, among the colored or white women of our neighborhood.	She was a woman of noble form, and of graceful proportions, having very few equals, and fewer superiors, in personal appearance, among the colored or white women of our neighborhood.	true	583.67	594.87	19
1425_139290_000014_000000	Aunt Hester had not only disobeyed his orders in going out, but had been found in company with Lloyd's Ned; which circumstance, I found, from what he said while whipping her, was the chief offence.	Aunt Hester had not only disobeyed his orders in going out, but had been found in company with Lloyd's Ned; which circumstance, I found, from what he said while whipping her, was the chief offence.	false	594.87	606.465	20
1425_139290_000014_000001	Had he been a man of pure morals himself, he might have been thought interested in protecting the innocence of my aunt; but those who knew him will not suspect him of any such virtue.	Had he been a man of pure morals himself, he might have been thought interested in protecting the innocence of my aunt; but those who knew him will not suspect him of any such virtue.	true	606.465	616.09	19
1425_139290_000014_000002	Before he commenced whipping Aunt Hester, he took her into the kitchen, and stripped her from neck to waist, leaving her neck, shoulders, and back, entirely naked.	Before he commenced whipping Aunt Hester, he took her into the kitchen, and stripped her from neck to waist, leaving her neck, shoulders, and back, entirely naked.	false	616.58	625.78	20
1425_139290_000014_000003	He then told her to cross her hands, calling her at the same time a d----d b---h. After crossing her hands, he tied them with a strong rope, and led her to a stool under a large hook in the joist, put in for the purpose.	He then told her to cross her hands, calling her at the same time a d----d b---h. After crossing her hands, he tied them with a strong rope, and led her to a stool under a large hook in the joist, put in for the purpose.	false	626.3	638.95	20.705029
1425_139290_000014_000004	He made her get upon the stool, and tied her hands to the hook.	He made her get upon the stool, and tied her hands to the hook.	true	639.29	642.615	19.582956
1425_139290_000014_000005	She now stood fair for his infernal purpose.	She now stood fair for his infernal purpose.	true	642.615	645.31	20.288282
1425_139290_000014_000006	Her arms were stretched up at their full length, so that she stood upon the ends of her toes.	Her arms were stretched up at their full length, so that she stood upon the ends of her toes.	true	645.53	651.01	20
1425_139290_000014_000007	He then said to her, "Now, you d----d b---h, I'll learn you how to disobey my orders!" and after rolling up his sleeves, he commenced to lay on the heavy cowskin, and soon the warm, red blood (amid heart-rending shrieks from her, and horrid oaths from him) came dripping to the floor.	He then said to her, "Now, you d----d b---h, I'll learn you how to disobey my orders!" and after rolling up his sleeves, he commenced to lay on the heavy cowskin, and soon the warm, red blood (amid heart rending shrieks from her, and horrid oaths from him) came dripping to the floor.	false	651.11	667.69	18
1425_139290_000014_000008	I was so terrified and horror-stricken at the sight, that I hid myself in a closet, and dared not venture out till long after the bloody transaction was over.	I was so terrified and horror stricken at the sight, that I hid myself in a closet, and dared not venture out till long after the bloody transaction was over.	true	667.94	676.84	21
1425_139290_000014_000009	I expected it would be my turn next.	I expected it would be my turn next.	true	677.21	679.48	21
1425_139290_000014_000010	It was all new to me. I had never seen any thing like it before.	It was all new to me. I had never seen any thing like it before.	true	679.67	683.44	20.102083
1425_139290_000014_000011	I had always lived with my grandmother on the outskirts of the plantation, where she was put to raise the children of the younger women.	I had always lived with my grandmother on the outskirts of the plantation, where she was put to raise the children of the younger women.	true	683.69	690.22	18
1425_139290_000014_000012	I had therefore been, until now, out of the way of the bloody scenes that often occurred on the plantation.	I had therefore been, until now, out of the way of the bloody scenes that often occurred on the plantation.	false	690.71	711.84	18.436129
