3001_160952_000000_000000	He lived on and when the old King died he ascended the throne in his stead.	He lived on and when the old King died he ascended the throne in his stead.	false	6.15	20.49	18
3001_160952_000016_000002	In the evening, when she went home with the goat, she found an earthenware dish with some scraps which her sisters had left for her, but she did not touch them.	In the evening, when she went home with the goat, she found an earthenware dish with some scraps which her sisters had left for her, but she did not touch them.	true	265.88	275.35	14
3001_160952_000016_000003	The next morning she went away with the goat, leaving them behind where they had been placed for her.	The next morning she went away with the goat, leaving them behind where they had been placed for her.	true	275.66	281.26	13
3001_160952_000016_000004	The first and second times that she did so, the sisters did not notice it; but when they found it happened every day, they said one to the other, "There is something strange about little Two Eyes, she leaves her supper every day, and all that has been put for her has been wasted; she must get food somewhere else."	The first and second times that she did so, the sisters did not notice it; but when they found it happened every day, they said one to the other, "There is something strange about little Two Eyes, she leaves her supper every day, and all that has been put for her has been wasted; she must get food somewhere else."	true	281.87	304.69	19
3001_160952_000017_000000	So they determined to find out the truth, and they arranged that when Two Eyes took her goat to the field, One Eye should go with her to take particular notice of what she did, and discover if anything was brought for her to eat and drink.	So they determined to find out the truth, and they arranged that when Two Eyes took her goat to the field, One Eye should go with her to take particular notice of what she did, and discover if anything was brought for her to eat and drink.	true	305	319.36	17
3001_160952_000018_000000	So when Two Eyes started with her goat, One Eye said to her, "I am going with you to-day to see if the goat gets her food properly while you are watching the rest."	So when Two Eyes started with her goat, One Eye said to her, "I am going with you to day to see if the goat gets her food properly while you are watching the rest."	true	320.06	331.39	18
3001_160952_000019_000000	But Two Eyes knew what she had in her mind.	But Two Eyes knew what she had in her mind.	true	331.94	334.69	13
3001_160952_000019_000001	So she drove the goat into the long grass, and said, "Come, One Eye, let us sit down here and rest, and I will sing to you."	So she drove the goat into the long grass, and said, "Come, One Eye, let us sit down here and rest, and I will sing to you."	true	334.73	342.82	16
3001_160952_000020_000000	One Eye seated herself, and, not being accustomed to walk so far, or to be out in the heat of the sun, she began to feel tired, and as little Two Eyes kept on singing, she closed her one eye and fell fast asleep.	One Eye seated herself, and, not being accustomed to walk so far, or to be out in the heat of the sun, she began to feel tired, and as little Two Eyes kept on singing, she closed her one eye and fell fast asleep.	true	343.82	359.92	18
3001_160952_000021_000000	When Two Eyes saw this, she knew that One Eye could not betray her, so she said:	When Two Eyes saw this, she knew that One Eye could not betray her, so she said:	true	361.1	366.4	13
3001_160952_000022_000000	"Little goat, if you are able, Come and deck my pretty table."	"Little goat, if you are able, Come and deck my pretty table."	false	366.98	371.74	21.398737
3001_160952_000023_000000	She seated herself when it appeared, and ate and drank very quickly, and when she had finished she said:	She seated herself when it appeared, and ate and drank very quickly, and when she had finished she said:	true	372.59	379.57	19
3001_160952_000024_000000	"Little goat, when you are able, Come and clear away my table."	"Little goat, when you are able, Come and clear away my table."	true	380.48	385.18	20
3001_160952_000025_000000	It vanished in the twinkling of an eye; and then Two Eyes woke up One Eye, and said: "Little One Eye, you are a clever one to watch goats; for, while you are asleep, they might be running all over the world. Come, let us go home!"	It vanished in the twinkling of an eye; and then Two Eyes woke up One Eye, and said: "Little One Eye, you are a clever one to watch goats; for, while you are asleep, they might be running all over the world. Come, let us go home!"	true	386.06	403.035	16
3001_160952_000026_000000	So they went to the house, and little Two Eyes again left the scraps on the dish untouched, and One Eye could not tell her mother whether little Two Eyes had eaten anything in the field; for she said to excuse herself, "I was asleep."	So they went to the house, and little Two Eyes again left the scraps on the dish untouched, and One Eye could not tell her mother whether little Two Eyes had eaten anything in the field; for she said to excuse herself, "I was asleep."	true	403.035	418.18	16
3001_160952_000027_000000	The next day the mother said to Three Eyes, "You must go to the field this time, and find out whether there is anyone who brings food to little Two Eyes; for she must eat and drink secretly."	The next day the mother said to Three Eyes, "You must go to the field this time, and find out whether there is anyone who brings food to little Two Eyes; for she must eat and drink secretly."	false	419.09	430.9	16
3001_160952_000028_000000	So when little Two Eyes started with her goat, Three Eyes followed and said, "I am going with you to-day, to see if the goats are properly fed and watched."	So when little Two Eyes started with her goat, Three Eyes followed and said, "I am going with you to day, to see if the goats are properly fed and watched."	true	431.33	440.32	14
3001_160952_000029_000000	But Two Eyes knew her thoughts; so she led the goat through the long grass to tire Three Eyes, and at last she said, "Let us sit down here and rest, and I will sing to you, Three Eyes."	But Two Eyes knew her thoughts; so she led the goat through the long grass to tire Three Eyes, and at last she said, "Let us sit down here and rest, and I will sing to you, Three Eyes."	true	440.72	452.23	14
3001_160952_000030_000000	She was glad to sit down, for the walk and the heat of the sun had really tired her; and, as her sister continued her song, she was obliged to close two of her eyes, and they slept, but not the third. In fact, Three Eyes was wide awake with one eye, and heard and saw all that Two Eyes did; for poor little Two Eyes, thinking she was asleep, said her speech to the goat, and the table came with all the good things on it, and was carried away when Two Eyes had eaten enough; and the cunning Three Eyes saw it all with her one eye.	She was glad to sit down, for the walk and the heat of the sun had really tired her; and, as her sister continued her song, she was obliged to close two of her eyes, and they slept, but not the third. In fact, Three Eyes was wide awake with one eye, and heard and saw all that Two Eyes did; for poor little Two Eyes, thinking she was asleep, said her speech to the goat, and the table came with all the good things on it, and was carried away when Two Eyes had eaten enough; and the cunning Three Eyes saw it all with her one eye.	false	453.68	490.99	17
3001_160952_000030_000001	But she pretended to be asleep when her sister came to wake her and told her she was going home.	But she pretended to be asleep when her sister came to wake her and told her she was going home.	true	491.3	497.86	17
3001_160952_000031_000000	That evening, when little Two Eyes again left the supper they placed aside for her, Three Eyes said to her mother, "I know where the proud thing gets her good eating and drinking;" and then she described all she had seen in the field.	That evening, when little Two Eyes again left the supper they placed aside for her, Three Eyes said to her mother, "I know where the proud thing gets her good eating and drinking;" and then she described all she had seen in the field.	true	498.17	512.86	17
3001_160952_000031_000001	"I saw it all with one eye," she said; "for she had made my other two eyes close with her fine singing, but luckily the one in my forehead remained open."	"I saw it all with one eye," she said; "for she had made my other two eyes close with her fine singing, but luckily the one in my forehead remained open."	true	513.47	524.47	17
3001_160952_000032_000000	Then the envious mother cried out to poor little Two Eyes, "You wish to have better food than we, do you?	Then the envious mother cried out to poor little Two Eyes, "You wish to have better food than we, do you?	true	525.05	533.41	18
3001_160952_000032_000001	You shall lose your wish!" She took up a butcher's knife, went out, and stuck the good little goat in the heart, and it fell dead.	You shall lose your wish!" She took up a butcher's knife, went out, and stuck the good little goat in the heart, and it fell dead.	false	533.9	542.56	17.913975
3001_160952_000033_000000	When little Two Eyes saw this, she went out into the field, seated herself on a mound, and wept most bitter tears.	When little Two Eyes saw this, she went out into the field, seated herself on a mound, and wept most bitter tears.	true	543.89	552.7	17
3001_160952_000034_000000	Presently the wise woman stood again before her, and said, "Little Two Eyes, why do you weep?"	Presently the wise woman stood again before her, and said, "Little Two Eyes, why do you weep?"	false	553.43	560.61	20
3001_160952_000035_000000	"Ah!" she replied, "I must weep.	"Ah!" she replied, "I must weep.	false	560.61	563.44	19.895214
3001_160952_000035_000001	The goat, who every day spread my table so beautifully, has been killed by my mother, and I shall have again to suffer from hunger and sorrow."	The goat, who every day spread my table so beautifully, has been killed by my mother, and I shall have again to suffer from hunger and sorrow."	true	563.66	574.09	17
3001_160952_000036_000000	"Little Two Eyes," said the wise woman, "I will give you some good advice.	"Little Two Eyes," said the wise woman, "I will give you some good advice.	false	575.48	580.24	17
3001_160952_000036_000001	Go home, and ask your sister to give you the heart of the slaughtered goat, and then go and bury it in the ground in front of the house-door."	Go home, and ask your sister to give you the heart of the slaughtered goat, and then go and bury it in the ground in front of the house door."	true	580.46	588.85	15
3001_160952_000037_000000	On saying this the wise woman vanished.	On saying this the wise woman vanished.	true	589.73	594.46	20.017138
3001_160952_000038_000000	Little Two Eyes went home quickly, and said to her sister, "Dear sister, give me some part of my poor goat.	Little Two Eyes went home quickly, and said to her sister, "Dear sister, give me some part of my poor goat.	true	594.56	602.29	19
3001_160952_000038_000001	I don't want anything valuable; only give me the heart."	I don't want anything valuable; only give me the heart."	true	602.51	606.76	18
3001_160952_000039_000000	Her sister laughed, and said: "Of course you can have that if you don't want anything else."	Her sister laughed, and said: "Of course you can have that if you don't want anything else."	true	607.16	612.49	16
3001_160952_000040_000000	So little Two Eyes took the heart; and in the evening, when all was quiet, buried it in the ground outside the house-door, as the wise woman had told her to do.	So little Two Eyes took the heart; and in the evening, when all was quiet, buried it in the ground outside the house door, as the wise woman had told her to do.	true	612.74	621.61	13
3001_160952_000041_000000	The next morning, when they all rose and looked out of the window, there stood a most wonderful tree, with leaves of silver and apples of gold hanging between them.	The next morning, when they all rose and looked out of the window, there stood a most wonderful tree, with leaves of silver and apples of gold hanging between them.	true	622.88	633.01	13
3001_160952_000041_000001	Nothing in the wide world could be more beautiful or more costly.	Nothing in the wide world could be more beautiful or more costly.	true	633.53	637.78	14
3001_160952_000041_000002	They none of them knew how the tree could come there in one night, excepting little Two Eyes.	They none of them knew how the tree could come there in one night, excepting little Two Eyes.	true	638.3	644.32	14
3001_160952_000041_000003	She supposed it had grown up from the heart of the goat; for it stood over where she had buried it in the earth.	She supposed it had grown up from the heart of the goat; for it stood over where she had buried it in the earth.	true	644.9	651.64	19
3001_160952_000042_000000	Then said the mother to little One Eye, "Climb up, my child, and break off some of the fruit from the tree."	Then said the mother to little One Eye, "Climb up, my child, and break off some of the fruit from the tree."	true	652.43	659.92	17
3001_160952_000043_000000	One Eye climbed up, but when she tried to catch a branch and pluck one of the apples, it escaped from her hand, and so it happened every time she made the attempt, and, do what she would, she could not reach one.	One Eye climbed up, but when she tried to catch a branch and pluck one of the apples, it escaped from her hand, and so it happened every time she made the attempt, and, do what she would, she could not reach one.	true	660.98	674.5	17
3001_160952_000044_000000	"Three Eyes," said the mother, "climb up, and try what you can do; perhaps you will be able to see better with your three eyes than One Eye can."	"Three Eyes," said the mother, "climb up, and try what you can do; perhaps you will be able to see better with your three eyes than One Eye can."	true	675.35	686.74	20.307037
3001_160952_000045_000000	One Eye slid down from the tree, and Three Eyes climbed up.	One Eye slid down from the tree, and Three Eyes climbed up.	true	686.96	691.6	19
3001_160952_000045_000001	But Three Eyes was not more skilful; with all her efforts she could not draw the branches, nor the fruit, near enough to pluck even a leaf, for they sprang back as she put out her hand.	But Three Eyes was not more skilful; with all her efforts she could not draw the branches, nor the fruit, near enough to pluck even a leaf, for they sprang back as she put out her hand.	true	691.88	704.68	17
3001_160952_000046_000000	At last the mother was impatient, and climbed up herself, but with no more success, for, as she appeared to grasp a branch, or fruit, her hand closed upon thin air.	At last the mother was impatient, and climbed up herself, but with no more success, for, as she appeared to grasp a branch, or fruit, her hand closed upon thin air.	true	705.74	718.45	18
3001_160952_000047_000000	"May I try?" said little Two Eyes; "perhaps I may succeed."	"May I try?" said little Two Eyes; "perhaps I may succeed."	true	719.03	723.88	17
3001_160952_000048_000000	"You, indeed!" cried her sisters; "you, with your two eyes, what can you do?"	"You, indeed!" cried her sisters; "you, with your two eyes, what can you do?"	true	724.55	731.41	17
3001_160952_000049_000000	But Two Eyes climbed up, and the golden apples did not fly back from her when she touched them, but almost laid themselves on her hand, and she plucked them one after another, till she carried down her own little apron full.	But Two Eyes climbed up, and the golden apples did not fly back from her when she touched them, but almost laid themselves on her hand, and she plucked them one after another, till she carried down her own little apron full.	true	732.11	747.13	17
3001_160952_000050_000000	The mother took them from her, and gave them to her sisters, as she said little Two Eyes did not handle them properly, but this was only from jealousy, because little Two Eyes was the only one who could reach the fruit, and she went into the house feeling more spiteful to her than ever.	The mother took them from her, and gave them to her sisters, as she said little Two Eyes did not handle them properly, but this was only from jealousy, because little Two Eyes was the only one who could reach the fruit, and she went into the house feeling more spiteful to her than ever.	true	748.16	767.38	17
3001_160952_000051_000000	It happened that while all three sisters were standing under the tree together a young knight rode by.	It happened that while all three sisters were standing under the tree together a young knight rode by.	true	768.65	775.18	14
3001_160952_000051_000001	"Run away, quick, and hide yourself, little Two Eyes; hide yourself somewhere, for we shall be quite ashamed for you to be seen." Then they pushed the poor girl, in great haste, under an empty cask, which stood near the tree, and several of the golden apples that she had plucked along with her.	"Run away, quick, and hide yourself, little Two Eyes; hide yourself somewhere, for we shall be quite ashamed for you to be seen." Then they pushed the poor girl, in great haste, under an empty cask, which stood near the tree, and several of the golden apples that she had plucked along with her.	true	775.94	797.17	19.538828
3001_160952_000052_000000	As the knight came nearer they saw he was a handsome man; and presently he halted, and looked with wonder and pleasure at the beautiful tree with its silver leaves and golden fruit.	As the knight came nearer they saw he was a handsome man; and presently he halted, and looked with wonder and pleasure at the beautiful tree with its silver leaves and golden fruit.	true	798.59	810.04	15
3001_160952_000053_000000	At last he spoke to the sisters, and asked: "To whom does this beautiful tree belong?	At last he spoke to the sisters, and asked: "To whom does this beautiful tree belong?	true	811.52	817.48	17
3001_160952_000053_000001	If a man possessed only one branch he might obtain all he wished for in the world."	If a man possessed only one branch he might obtain all he wished for in the world."	true	817.94	823.78	13
3001_160952_000054_000000	"This tree belongs to us," said the two sisters, "and we will break off a branch for you if you like." They gave themselves a great deal of trouble in trying to do as they offered; but all to no purpose, for the branches and the fruit evaded their efforts, and sprung back at every touch.	"This tree belongs to us," said the two sisters, "and we will break off a branch for you if you like." They gave themselves a great deal of trouble in trying to do as they offered; but all to no purpose, for the branches and the fruit evaded their efforts, and sprung back at every touch.	true	824.6	843.43	18
3001_160952_000055_000000	"This is wonderful," exclaimed the knight, "that the tree should belong to you, and yet you are not able to gather even a branch."	"This is wonderful," exclaimed the knight, "that the tree should belong to you, and yet you are not able to gather even a branch."	true	844.46	851.8	15
3001_160952_000056_000000	They persisted, however, in declaring that the tree was their own property.	They persisted, however, in declaring that the tree was their own property.	true	852.95	857.14	16
3001_160952_000056_000001	At this moment little Two Eyes, who was angry because her sisters had not told the truth, caused two of the golden apples to slip out from under the cask, and they rolled on till they reached the feet of the knight's horse.	At this moment little Two Eyes, who was angry because her sisters had not told the truth, caused two of the golden apples to slip out from under the cask, and they rolled on till they reached the feet of the knight's horse.	true	857.9	871.54	16
3001_160952_000056_000002	When he saw them, he asked in astonishment where they came from.	When he saw them, he asked in astonishment where they came from.	true	871.94	875.56	14
3001_160952_000057_000000	The two ugly maidens replied that they had another sister, but they dared not let him see her, for she had only two eyes, like common people, and was named little Two Eyes.	The two ugly maidens replied that they had another sister, but they dared not let him see her, for she had only two eyes, like common people, and was named little Two Eyes.	true	876.23	888.16	17
3001_160952_000058_000000	But the knight felt very anxious to see her, and called out, "Little Two Eyes, come here." Then came Two Eyes, quite comforted, from the empty cask, and the knight was astonished to find her so beautiful.	But the knight felt very anxious to see her, and called out, "Little Two Eyes, come here." Then came Two Eyes, quite comforted, from the empty cask, and the knight was astonished to find her so beautiful.	true	888.86	903.55	18
3001_160952_000059_000000	Then he said: "Little Two Eyes, can you break off a branch of the tree for me?"	Then he said: "Little Two Eyes, can you break off a branch of the tree for me?"	true	903.74	908.32	15
3001_160952_000060_000000	"Oh yes," she replied, "I can, very easily, for the tree belongs to me." And she climbed up, and, without any trouble, broke off a branch with its silver leaves and golden fruit and gave it to the knight.	"Oh yes," she replied, "I can, very easily, for the tree belongs to me." And she climbed up, and, without any trouble, broke off a branch with its silver leaves and golden fruit and gave it to the knight.	true	909.11	923.14	19
3001_160952_000061_000000	He looked down at her as she stood by his horse, and said: "Little Two Eyes, what shall I give you for this?"	He looked down at her as she stood by his horse, and said: "Little Two Eyes, what shall I give you for this?"	true	923.96	931.3	17
3001_160952_000062_000000	"Ah!" she answered, "I suffer from hunger and thirst, and sorrow, and trouble, from early morning till late at night; if you would only take me with you, and release me, I should be so happy."	"Ah!" she answered, "I suffer from hunger and thirst, and sorrow, and trouble, from early morning till late at night; if you would only take me with you, and release me, I should be so happy."	true	931.85	947.23	19
3001_160952_000063_000000	Then the knight lifted the little maiden on his horse, and rode home with her to his father's castle.	Then the knight lifted the little maiden on his horse, and rode home with her to his father's castle.	true	948.23	953.86	12
3001_160952_000063_000001	There she was given beautiful clothes to wear, and as much to eat and drink as she wished, and as she grew up the young knight loved her so dearly that they were married with great rejoicings.	There she was given beautiful clothes to wear, and as much to eat and drink as she wished, and as she grew up the young knight loved her so dearly that they were married with great rejoicings.	true	954.32	966.85	16
3001_160952_000064_000000	Now, when the two sisters saw little Two Eyes carried away by the handsome young knight, they were overjoyed at their good fortune.	Now, when the two sisters saw little Two Eyes carried away by the handsome young knight, they were overjoyed at their good fortune.	true	968.36	976.575	15
3001_160952_000064_000001	"The wonderful tree belongs to us now," they said; "even if we cannot break off a branch, yet everybody who passes will stop to admire it, and make acquaintance with us, and, who knows?	"The wonderful tree belongs to us now," they said; "even if we cannot break off a branch, yet everybody who passes will stop to admire it, and make acquaintance with us, and, who knows?	true	976.575	988.77	17
3001_160952_000064_000002	we may get husbands after all."	we may get husbands after all."	true	988.77	990.85	13
3001_160952_000065_000000	But when they rose the next morning, lo! the tree had vanished, and with it all their hopes.	But when they rose the next morning, lo! the tree had vanished, and with it all their hopes.	true	992.12	998.62	17
3001_160952_000065_000001	And on this very morning, when little Two Eyes looked out of her chamber window of the castle, she saw, to her great joy, that the tree had followed her.	And on this very morning, when little Two Eyes looked out of her chamber window of the castle, she saw, to her great joy, that the tree had followed her.	true	999.65	1010.68	17
3001_160952_000066_000000	Little Two Eyes lived for a long time in great happiness; but she heard nothing of her sisters, till one day two poor women came to the castle, to beg for alms.	Little Two Eyes lived for a long time in great happiness; but she heard nothing of her sisters, till one day two poor women came to the castle, to beg for alms.	true	1011.38	1024.57	18.579437
3001_160952_000066_000001	Little Two Eyes saw them, and, looking earnestly in their faces, she recognized her two sisters, who had become so poor that they were obliged to beg their bread from door to door.	Little Two Eyes saw them, and, looking earnestly in their faces, she recognized her two sisters, who had become so poor that they were obliged to beg their bread from door to door.	false	1025.12	1036.81	16
3001_160952_000067_000000	But the good sister received them most kindly, and promised to take care of them and give them all they wanted.	But the good sister received them most kindly, and promised to take care of them and give them all they wanted.	true	1037.96	1045.42	17
3001_160952_000067_000001	And then they did indeed repent and feel sorry for having treated her so badly in their youthful days.	And then they did indeed repent and feel sorry for having treated her so badly in their youthful days.	false	1046.21	1064.22	18.849659
