5767_48579_000000_000000	When it was the Two Hundred and Fifty-fifth Night,	When it was the Two Hundred and Fifty fifth Night,	true	33.24	35.74	20.400986
5767_48579_000003_000000	But now, O my son, come down and fear no hurt." Thereupon he descended from the cistern-niche and Mahmud mounted him on a mule, and they fared on till they reached Baghdad, where he brought him to his own house and carried him to the bath, saying to him, "The goods and money were the ransom of thy life, O my son; but, if thou wilt hearken to me, I will give thee the worth of that thou hast lost, twice told." When he came out of the bath, Mahmud carried him into a saloon decorated with gold with four raised floors, and bade them bring a tray with all manner of meats.	But now, O my son, come down and fear no hurt." Thereupon he descended from the cistern niche and Mahmud mounted him on a mule, and they fared on till they reached Baghdad, where he brought him to his own house and carried him to the bath, saying to him, "The goods and money were the ransom of thy life, O my son; but, if thou wilt hearken to me, I will give thee the worth of that thou hast lost, twice told." When he came out of the bath, Mahmud carried him into a saloon decorated with gold with four raised floors, and bade them bring a tray with all manner of meats.	false	257.66	297.07	21.540413
5767_48579_000003_000001	So they ate and drank and Mahmud bent towards Ala al-Din to snatch a kiss from him; but he received it upon the palm of his hand and said, "What, dost thou persist in thy evil designs upon me?	So they ate and drank and Mahmud bent towards Ala al Din to snatch a kiss from him; but he received it upon the palm of his hand and said, "What, dost thou persist in thy evil designs upon me?	false	297.23	309.85	23.265903
5767_48579_000003_000002	Did I not tell thee that, were I wont to sell this merchandise to other than thee for gold, I would sell it thee for silver?" Quoth Mahmud, "I will give thee neither merchandise nor mule nor clothes save at this price; for I am gone mad for love of thee, and bless him who said,	Did I not tell thee that, were I wont to sell this merchandise to other than thee for gold, I would sell it thee for silver?" Quoth Mahmud, "I will give thee neither merchandise nor mule nor clothes save at this price; for I am gone mad for love of thee, and bless him who said,	false	309.92	328.69	21.7653
5767_48579_000004_000000	'Told us, ascribing to his Shaykhs, our Shaykh * Abu Bilal, these words they wont to utter:[FN#52] Unhealed the lover wones of love desire, * By kiss and clip, his only cure's to futter!'"	'Told us, ascribing to his Shaykhs, our Shaykh asterisk Abu Bilal, these words they wont to utter:[f n # fifty two] Unhealed the lover wones of love desire, asterisk By kiss and clip, his only cure's to futter!'"	false	328.73	341.35	21.686981
5767_48579_000005_000000	Ala al-Din replied, "Of a truth this may never be, take back thy dress and thy mule and open the door that I may go out." So he opened the door, and Ala al-Din fared forth and walked on, with the dogs barking at his heels, and he went forwards through the dark when behold, he saw the door of a mosque standing open and, entering the vestibule, there took shelter and concealment; and suddenly a light approached him and on examining it he saw that it came from a pair of lanthorns borne by two slaves before two merchants.	Ala al Din replied, "Of a truth this may never be, take back thy dress and thy mule and open the door that I may go out." So he opened the door, and Ala al Din fared forth and walked on, with the dogs barking at his heels, and he went forwards through the dark when behold, he saw the door of a mosque standing open and, entering the vestibule, there took shelter and concealment; and suddenly a light approached him and on examining it he saw that it came from a pair of lanthorns borne by two slaves before two merchants.	false	342.89	375.34	22.843002
5767_48579_000005_000001	Now one was an old man of comely face and the other a youth; and he heard the younger say to the elder, "O my uncle,, I conjure thee by Allah, give me back my cousin!"	Now one was an old man of comely face and the other a youth; and he heard the younger say to the elder, "O my uncle,, I conjure thee by Allah, give me back my cousin!"	true	375.98	387.96	21.40674
5767_48579_000005_000002	The old man replied, "Did I not forbid thee, many a time, when the oath of divorce was always in thy mouth, as it were Holy Writ?"	The old man replied, "Did I not forbid thee, many a time, when the oath of divorce was always in thy mouth, as it were Holy Writ?"	true	387.96	396.13	23.695297
5767_48579_000005_000003	Then he turned to his right and, seeing Ala al-Din as he were a slice of the full moon, said to him, "Peace be with thee! who art thou, O my son?" Quoth he, returning the salutation of peace, "I am Ala al-Din, son of Shams al-Din, Consul of the merchants for Egypt.	Then he turned to his right and, seeing Ala al Din as he were a slice of the full moon, said to him, "Peace be with thee! who art thou, O my son?" Quoth he, returning the salutation of peace, "I am Ala al Din, son of Shams al Din, Consul of the merchants for Egypt.	false	396.56	416.08	23.126648
5767_48579_000005_000004	I besought my father for merchandise; so he packed me fifty loads of stuffs and goods."--And Shahrazed perceived the dawn of day and ceased to say her permitted say.	I besought my father for merchandise; so he packed me fifty loads of stuffs and goods."--And Shahrazed perceived the dawn of day and ceased to say her permitted say.	false	416.21	426.19	22.197237
5767_48579_000006_000000	When it was the Two Hundred and Fifty-sixth Night,	When it was the Two Hundred and Fifty sixth Night,	false	426.47	429.39	19.256466
5767_48579_000007_000000	She said, It hath reached me, O auspicious King, that Ala al-Din continued, "So he packed me fifty loads of goods and gave me ten thousand dinars, wherewith I set out for Baghdad; but when I reached the Lion's Copse, the wild Arabs came out against me and took all my goods and monies.	She said, It hath reached me, O auspicious King, that Ala al Din continued, "So he packed me fifty loads of goods and gave me ten thousand dinars, wherewith I set out for Baghdad; but when I reached the Lion's Copse, the wild Arabs came out against me and took all my goods and monies.	true	429.39	447.31	21.793777
5767_48579_000007_000001	So I entered the city knowing not where to pass the night and, seeing this place, I took shelter here." Quoth the old man, "O my son, what sayest thou to my giving thee a thousand dinars and a suit of clothes and a mule worth other two thousand?" Ala al-Din asked, "To what end wilt thou give me these things, O my uncle?" and the other answered, 'This young man who accompanieth me is the son of my brother and an only son; and I have a daughter called Zubaydah[FN#53] the lutist, an only child who is a model of beauty and loveliness, so I married her to him.	So I entered the city knowing not where to pass the night and, seeing this place, I took shelter here." Quoth the old man, "O my son, what sayest thou to my giving thee a thousand dinars and a suit of clothes and a mule worth other two thousand?" Ala al Din asked, "To what end wilt thou give me these things, O my uncle?" and the other answered, 'This young man who accompanieth me is the son of my brother and an only son; and I have a daughter called Zubaydah[f n # fifty three] the lutist, an only child who is a model of beauty and loveliness, so I married her to him.	false	447.53	487.27	21.970716
5767_48579_000007_000002	Now he loveth her, but she loatheth him; and when he chanced to take an oath of triple divorcement and broke it, forthright she left him.	Now he loveth her, but she loatheth him; and when he chanced to take an oath of triple divorcement and broke it, forthright she left him.	true	488.03	497.26	22.89022
5767_48579_000007_000003	Whereupon he egged on all the folk to intercede with me to restore her to him; but I told him that this could not lawfully be save by an intermediate marriage, and we have agreed to make some stranger the intermediary[FN#54] in order that none may taunt and shame him with this affair.	Whereupon he egged on all the folk to intercede with me to restore her to him; but I told him that this could not lawfully be save by an intermediate marriage, and we have agreed to make some stranger the intermediary[f n # fifty four] in order that none may taunt and shame him with this affair.	false	497.33	515.535	22.829058
5767_48579_000007_000004	So, as thou art a stranger, come with us and we will marry thee to her; thou shalt lie with her to-night and on the morrow divorce her and we will give thee what I said." Quoth Ala al-Din to himself, "By Allah, to bide the night with a bride on a bed in a house is far better than sleeping in the streets and vestibules!" So he went with them to the Kazi whose heart, as soon as he saw Ala al-Din, was moved to love him, and who said to the old man, "What is your will?" He replied, "We wish to make this young man an intermediary husband for my daughter; but we will write a bond against him binding him to pay down by way of marriage-settlement ten thousand gold pieces.	So, as thou art a stranger, come with us and we will marry thee to her; thou shalt lie with her to night and on the morrow divorce her and we will give thee what I said." Quoth Ala al Din to himself, "By Allah, to bide the night with a bride on a bed in a house is far better than sleeping in the streets and vestibules!" So he went with them to the Kazi whose heart, as soon as he saw Ala al Din, was moved to love him, and who said to the old man, "What is your will?" He replied, "We wish to make this young man an intermediary husband for my daughter; but we will write a bond against him binding him to pay down by way of marriage settlement ten thousand gold pieces.	false	515.535	564.52	21.37319
5767_48579_000007_000005	Now if after passing the night with her he divorce her in the morning, we will give him a mule and dress each worth a thousand dinars, and a third thousand of ready money; but if he divorce her not, he shall pay down the ten thousand dinars according to contract." So they agreed to the agreement and the father of the bride-to-be received his bond for the marriage-settlement.	Now if after passing the night with her he divorce her in the morning, we will give him a mule and dress each worth a thousand dinars, and a third thousand of ready money; but if he divorce her not, he shall pay down the ten thousand dinars according to contract." So they agreed to the agreement and the father of the bride to be received his bond for the marriage settlement.	true	564.65	590.62	21.69865
5767_48579_000007_000006	Then he took Ala al-Din and, clothing him anew, carried him to his daughter's house and there he left him standing at the door, whilst he himself went in to the young lady and said, "Take the bond of thy marriage-settlement, for I have wedded thee to a handsome youth by name Ala al-Din Abu al-Shamat: so do thou use him with the best of usage." Then he put the bond into her hands and left her and went to his own lodging.	Then he took Ala al Din and, clothing him anew, carried him to his daughter's house and there he left him standing at the door, whilst he himself went in to the young lady and said, "Take the bond of thy marriage settlement, for I have wedded thee to a handsome youth by name Ala al Din Abu al Shamat: so do thou use him with the best of usage." Then he put the bond into her hands and left her and went to his own lodging.	false	591.5	624.25	20.620897
5767_48579_000007_000007	Now the lady's cousin had an old duenna who used to visit Zubaydah, and he had done many a kindness to this woman, so he said to her, "O my mother, if my cousin Zubaydah see this handsome young man, she will never after accept my offer; so I would fain have thee contrive some trick to keep her and him apart." She answered, "By the life of thy youth,[FN#55] I will not suffer him to approach her!"	Now the lady's cousin had an old duenna who used to visit Zubaydah, and he had done many a kindness to this woman, so he said to her, "O my mother, if my cousin Zubaydah see this handsome young man, she will never after accept my offer; so I would fain have thee contrive some trick to keep her and him apart." She answered, "By the life of thy youth,[f n # fifty five] I will not suffer him to approach her!"	false	624.53	654.79	21.514095
5767_48579_000007_000008	Then she went to Ala al-Din and said to him, "O my son, I have a word of advice to give thee, for the love of Almighty Allah and do thou accept my counsel, as I fear for thee from this young woman: better thou let her lie alone and feel not her person nor draw thee near to her." He asked, "Why so?"; and she answered, "Because her body is full of leprosy and I dread lest she infect thy fair and seemly youth." Quoth he, "I have no need of her." Thereupon she went to the lady and said the like to her of Ala al-Din, and she replied, "I have no need of him, but will let him lie alone, and on the morrow he shall gang his gait." Then she called a slave-girl and said to her, "Take the tray of food and set it before him that he may sup." So the handmaid carried him the tray of food and set it before him and he ate his fill: after which he sat down and raised his charming voice and fell to reciting the chapter called Y. S.[FN#56] The lady listened to him and found his voice as melodious as the psalms of David sung by David himself,[FN#57] which when she heard, she exclaimed, "Allah disappoint the old hag who told me that he was affected with leprosy!	Then she went to Ala al Din and said to him, "O my son, I have a word of advice to give thee, for the love of Almighty Allah and do thou accept my counsel, as I fear for thee from this young woman: better thou let her lie alone and feel not her person nor draw thee near to her." He asked, "Why so?"; and she answered, "Because her body is full of leprosy and I dread lest she infect thy fair and seemly youth." Quoth he, "I have no need of her." Thereupon she went to the lady and said the like to her of Ala al Din, and she replied, "I have no need of him, but will let him lie alone, and on the morrow he shall gang his gait." Then she called a slave girl and said to her, "Take the tray of food and set it before him that he may sup." So the handmaid carried him the tray of food and set it before him and he ate his fill: after which he sat down and raised his charming voice and fell to reciting the chapter called y s[f n # fifty six] The lady listened to him and found his voice as melodious as the psalms of David sung by David himself,[f n # fifty seven] which when she heard, she exclaimed, "Allah disappoint the old hag who told me that he was affected with leprosy!	false	654.92	737.71	21.218664
5767_48579_000007_000009	Surely this is not the voice of one who hath such a disease; and all was a lie against him."[FN#58] Then she took a lute of India-land workmanship and, tuning the strings, sang to it in a voice so sweet its music would stay the birds in the heart of heaven; and began these two couplets,	Surely this is not the voice of one who hath such a disease; and all was a lie against him."[f n # fifty eight] Then she took a lute of India land workmanship and, tuning the strings, sang to it in a voice so sweet its music would stay the birds in the heart of heaven; and began these two couplets,	false	738.47	757.48	21.673065
5767_48579_000008_000000	"I love a fawn with gentle white black eyes, * Whose walk the willow-wand with envy kills: Forbidding me he bids for rival-mine, * 'Tis Allah's grace who grants to whom He wills!"	"I love a fawn with gentle white black eyes, asterisk Whose walk the willow wand with envy kills: Forbidding me he bids for rival mine, asterisk 'tis Allah's grace who grants to whom He wills!"	false	759.08	772.6	21.678965
5767_48579_000009_000000	And when he heard her chant these lines he ended his recitation of the chapter, and began also to sing and repeated the following couplet,	And when he heard her chant these lines he ended his recitation of the chapter, and began also to sing and repeated the following couplet,	true	772.79	781.03	24
5767_48579_000010_000000	"My Salam to the Fawn in the garments concealed, * And to roses in gardens of cheek revealed."	"My Salam to the Fawn in the garments concealed, asterisk And to roses in gardens of cheek revealed."	false	781.58	788.38	20.304688
5767_48579_000011_000000	The lady rose up when she heard this, her inclination for him redoubled and she lifted the curtain; and Ala al-Din, seeing her, recited these two couplets,	The lady rose up when she heard this, her inclination for him redoubled and she lifted the curtain; and Ala al Din, seeing her, recited these two couplets,	false	789.59	799.81	22.99777
5767_48579_000012_000000	"She shineth forth, a moon, and bends, a willow wand, * And breathes out ambergris, and gazes, a gazelle. Meseems as if grief loved my heart and when from her * Estrangement I abide possession to it fell."[FN#59]	"She shineth forth, a moon, and bends, a willow wand, asterisk And breathes out ambergris, and gazes, a gazelle. Meseems as if grief loved my heart and when from her asterisk Estrangement I abide possession to it fell."[f n # fifty nine]	false	801.5	818.595	22.058834
5767_48579_000013_000000	Thereupon she came forward, swinging her haunches and gracefully swaying a shape the handiwork of Him whose boons are hidden; and each of them stole one glance of the eyes that cost them a thousand sighs.	Thereupon she came forward, swinging her haunches and gracefully swaying a shape the handiwork of Him whose boons are hidden; and each of them stole one glance of the eyes that cost them a thousand sighs.	true	818.595	831.04	21.102713
5767_48579_000013_000001	And when the shafts of the two regards which met rankled in his heart, he repeated these two couplets,	And when the shafts of the two regards which met rankled in his heart, he repeated these two couplets,	false	831.53	838.09	22.399748
5767_48579_000014_000000	"She 'spied the moon of Heaven, reminding me * Of nights when met we in the meadows li'en: True, both saw moons, but sooth to say, it was * Her very eyes I saw, and she my eyne."	"She 'spied the moon of Heaven, reminding me asterisk Of nights when met we in the meadows li'en: True, both saw moons, but sooth to say, it was asterisk Her very eyes I saw, and she my eyne."	false	838.37	851.05	20.429678
5767_48579_000015_000000	And when she drew near him, and there remained but two paces between them, he recited these two couplets,	And when she drew near him, and there remained but two paces between them, he recited these two couplets,	true	851.57	858.1	20.5954
5767_48579_000016_000000	"She spread three tresses of unplaited hair * One night, and showed me nights not one but four; And faced the moon of Heaven with her brow, * And showed me two- fold moons in single hour."	"She spread three tresses of unplaited hair asterisk One night, and showed me nights not one but four; And faced the moon of Heaven with her brow, asterisk And showed me two fold moons in single hour."	false	858.32	870.1	20.87616
5767_48579_000017_000000	And as she was hard by him he said to her, "Keep away from me, lest thou infect me." Whereupon she uncovered her wrist[FN#60] to him, and he saw that it was cleft, as it were in two halves, by its veins and sinews and its whiteness was as the whiteness of virgin silver.	And as she was hard by him he said to her, "Keep away from me, lest thou infect me." Whereupon she uncovered her wrist[f n # sixty] to him, and he saw that it was cleft, as it were in two halves, by its veins and sinews and its whiteness was as the whiteness of virgin silver.	false	870.8	889.63	20.361235
5767_48579_000017_000001	Then said she, "Keep away from me, thou! for thou art stricken with leprosy, and maybe thou wilt infect me." He asked, "Who told thee I was a leper?" and she answered, "The old woman so told me." Quoth he, "'Twas she told me also that thou wast afflicted with white scurvy;" and so saying, he bared his forearms and showed her that his skin was also like virgin silver.	Then said she, "Keep away from me, thou! for thou art stricken with leprosy, and maybe thou wilt infect me." He asked, "Who told thee I was a leper?" and she answered, "The old woman so told me." Quoth he, "'twas she told me also that thou wast afflicted with white scurvy;" and so saying, he bared his forearms and showed her that his skin was also like virgin silver.	false	890.39	917.41	20.80704
5767_48579_000017_000002	Thereupon she pressed him to her bosom and he pressed her to his bosom and the twain embraced with closest embrace, then she took him and, lying down on her back, let down her petticoat trousers, and in an instant that which his father had left him rose up in rebellion against him and he said, "Go it, O Shayth Zachary[FN#61] of shaggery, O father of veins!"; and putting both hands to her flanks, he set the sugar-stick[FN#62] to the mouth of the cleft and thrust on till he came to the wicket called "Pecten." His passage was by the Gate of Victories[FN#63] and therefrom he entered the Monday market, and those of Tuesday and Wednesday and Thursday,[FN#64] and, finding the carpet after the measure of the dais floor,[FN#65] he plied the box within its cover till he came to the end of it.	Thereupon she pressed him to her bosom and he pressed her to his bosom and the twain embraced with closest embrace, then she took him and, lying down on her back, let down her petticoat trousers, and in an instant that which his father had left him rose up in rebellion against him and he said, "Go it, O Shayth Zachary[f n # sixty one] of shaggery, O father of veins!"; and putting both hands to her flanks, he set the sugar stick[f n # sixty two] to the mouth of the cleft and thrust on till he came to the wicket called "Pecten." His passage was by the Gate of Victories[f n # sixty three] and therefrom he entered the Monday market, and those of Tuesday and Wednesday and Thursday,[f n # sixty four] and, finding the carpet after the measure of the dais floor,[f n # sixty five] he plied the box within its cover till he came to the end of it.	false	917.45	966.73	22.163383
5767_48579_000017_000003	And when morning dawned he cried to her, "Alas for delight which is not fulfilled!	And when morning dawned he cried to her, "Alas for delight which is not fulfilled!	false	967.94	973.9	20.280943
5767_48579_000017_000004	The raven[FN#66] taketh it and flieth away!" She asked, "What meaneth this saying?"; and he answered, "O my lady, I have but this hour to abide with thee." Quoth she "Who saith so?" and quoth he, "Thy father made me give him a written bond to pay ten thousand dinars to thy wedding-settlement; and, except I pay it this very day, they will imprison me for debt in the Kazi's house; and now my hand lacketh one-half dirham of the sum." She asked, "O my lord, is the marriage-bond in thy hand or in theirs?"; and he answered, "O my lady, in mine, but I have nothing." She rejoined, "The matter is easy; fear thou nothing.	The raven[f n # sixty six] taketh it and flieth away!" She asked, "What meaneth this saying?"; and he answered, "O my lady, I have but this hour to abide with thee." Quoth she "Who saith so?" and quoth he, "Thy father made me give him a written bond to pay ten thousand dinars to thy wedding settlement; and, except I pay it this very day, they will imprison me for debt in the Kazi's house; and now my hand lacketh one half dirham of the sum." She asked, "O my lord, is the marriage bond in thy hand or in theirs?"; and he answered, "O my lady, in mine, but I have nothing." She rejoined, "The matter is easy; fear thou nothing.	false	974.21	1018	20.897593
5767_48579_000017_000005	Take these hundred dinars: an I had more, I would give thee what thou lackest; but of a truth my father, of his love for my cousin, hath transported all his goods, even to my jewellery from my lodging to his.	Take these hundred dinars: an I had more, I would give thee what thou lackest; but of a truth my father, of his love for my cousin, hath transported all his goods, even to my jewellery from my lodging to his.	false	1018.19	1033	20.645546
5767_48579_000017_000006	But when they send thee a serjeant of the Ecclesiastical Court,"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	But when they send thee a serjeant of the Ecclesiastical Court,"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	1033.19	1042.21	19.882813
5767_48579_000018_000000	When it was the Two Hundred and Fifty-seventh Night,	When it was the Two Hundred and Fifty seventh Night,	true	1043.48	1046.08	20.871508
5767_48579_000019_000000	She said, It hath reached me, O auspicious King, that the young lady rejoined to Ala al-Din, "And when they send thee at an early hour a serjeant of the Ecclesiastical-Court, and the Kazi and my father bid thee divorce me, do thou reply, By what law is it lawful and right that I should marry at nightfall and divorce in the morning?	She said, It hath reached me, O auspicious King, that the young lady rejoined to Ala al Din, "And when they send thee at an early hour a serjeant of the Ecclesiastical Court, and the Kazi and my father bid thee divorce me, do thou reply, By what law is it lawful and right that I should marry at nightfall and divorce in the morning?	false	1046.42	1069.8	20.24742
5767_48579_000019_000001	Then kiss the Kazi's hand and give him a present, and in like manner kiss the Assessors' hands and give each of them ten gold pieces.	Then kiss the Kazi's hand and give him a present, and in like manner kiss the Assessors' hands and give each of them ten gold pieces.	false	1069.8	1079.08	20.344662
5767_48579_000019_000002	So they will all speak with thee, and if they ask thee, 'Why dost thou not divorce her and take the thousand dinars and the mule and suit of clothes, according to contract duly contracted?' do thou answer, 'Every hair of her head is worth a thousand ducats to me and I will never put her away, neither will I take a suit of clothes nor aught else.' And if the Kazi say to thee, 'Then pay down the marriage-settlement,' do thou reply, 'I am short of cash at this present;' whereupon he and the Assessors will deal in friendly fashion with thee and allow thee time to pay." Now whilst they were talking, behold, the Kazi's officer knocked at the door; so Ala al-Din went down and the man said to him, "Come, speak the Efendi,[FN#67] for thy fatherinlaw summoneth thee." So Ala al-Din gave him five dinars and said to him, "O Summoner, by what law am I bound to marry at nightfall and divorce next morning?"	So they will all speak with thee, and if they ask thee, 'Why dost thou not divorce her and take the thousand dinars and the mule and suit of clothes, according to contract duly contracted?' do thou answer, 'Every hair of her head is worth a thousand ducats to me and I will never put her away, neither will I take a suit of clothes nor aught else.' And if the Kazi say to thee, 'Then pay down the marriage settlement,' do thou reply, 'I am short of cash at this present;' whereupon he and the Assessors will deal in friendly fashion with thee and allow thee time to pay." Now whilst they were talking, behold, the Kazi's officer knocked at the door; so Ala al Din went down and the man said to him, "Come, speak the Efendi,[f n # sixty seven] for thy fatherinlaw summoneth thee." So Ala al Din gave him five dinars and said to him, "O Summoner, by what law am I bound to marry at nightfall and divorce next morning?"	false	1079.48	1139.02	21.360762
5767_48579_000019_000003	The serjeant answered, "By no law of ours at all, at all; and if thou be ignorant of the religious law, I will act as thine advocate." Then they went to the divorce court and the Kazi said to Ala al-Din, "Why dost thou not put away the woman and take what falleth to thee by the contract?" Hearing this he went up to the Kazi; and, kissing his hand, put fifty dinars in it and said, "O our lord the Kazi, by what law is it lawful and right that I should marry at nightfall and divorce in the morning in my own despite?"	The serjeant answered, "By no law of ours at all, at all; and if thou be ignorant of the religious law, I will act as thine advocate." Then they went to the divorce court and the Kazi said to Ala al Din, "Why dost thou not put away the woman and take what falleth to thee by the contract?" Hearing this he went up to the Kazi; and, kissing his hand, put fifty dinars in it and said, "O our lord the Kazi, by what law is it lawful and right that I should marry at nightfall and divorce in the morning in my own despite?"	false	1139.36	1172.65	21.757996
5767_48579_000019_000004	The Kazi, answered, "Divorce as a compulsion and by force is sanctioned by no school of the Moslems." Then said the young lady's father, "If thou wilt not divorce, pay me the ten thousand dinars, her marriage-settlement." Quoth Ala al-Din, "Give me a delay of three days;" but the Kazi, said, "Three days is not time enough; he shall give thee ten." So they agreed to this and bound him after ten days either to pay the dowry or to divorce her.	The Kazi, answered, "Divorce as a compulsion and by force is sanctioned by no school of the Moslems." Then said the young lady's father, "If thou wilt not divorce, pay me the ten thousand dinars, her marriage settlement." Quoth Ala al Din, "Give me a delay of three days;" but the Kazi, said, "Three days is not time enough; he shall give thee ten." So they agreed to this and bound him after ten days either to pay the dowry or to divorce her.	false	1172.75	1201.54	20.69055
5767_48579_000019_000005	And after consenting he left them and taking meat and rice and clarified butter[FN#68] and what else of food he needed, returned to the house and told the young woman all that had passed; whereupon she said, "'Twixt night and day, wonders may display; and Allah bless him for his say:--	And after consenting he left them and taking meat and rice and clarified butter[f n # sixty eight] and what else of food he needed, returned to the house and told the young woman all that had passed; whereupon she said, "'Twixt night and day, wonders may display; and Allah bless him for his say:--	false	1201.94	1220.14	20.049835
5767_48579_000020_000000	'Be mild when rage shall come to afflict thy soul; * Be patient when calamity breeds ire; Lookye, the Nights are big with child by Time, * Whose pregnancy bears wondrous things and dire.'"	'Be mild when rage shall come to afflict thy soul; asterisk Be patient when calamity breeds ire; Lookye, the Nights are big with child by Time, asterisk Whose pregnancy bears wondrous things and dire.'"	false	1220.69	1234.54	19.541632
