1337_10674_000000_000000	By this time it had grown late, and we did not know where to spend the night.	By this time it had grown late, and we did not know where to spend the night.	false	0	3.18	20.597252
1337_10674_000015_000001	"Take my advice, put on a short coat, and as you seem hardy and strong, go into the woods and cut firewood, which you will sell in the streets.	"Take my advice, put on a short coat, and as you seem hardy and strong, go into the woods and cut firewood, which you will sell in the streets.	true	291.045	298.51	19.537275
1337_10674_000015_000002	By this means you will earn your living, and be able to wait till better times come.	By this means you will earn your living, and be able to wait till better times come.	true	298.7	302.8	19
1337_10674_000015_000003	The hatchet and the cord shall be my present."	The hatchet and the cord shall be my present."	true	302.9	305.47	19.60734
1337_10674_000016_000000	This counsel was very distasteful to me, but I thought I could not do otherwise than adopt it.	This counsel was very distasteful to me, but I thought I could not do otherwise than adopt it.	true	306.32	311.53	21
1337_10674_000016_000001	So the next morning I set out with a company of poor wood-cutters, to whom the tailor had introduced me.	So the next morning I set out with a company of poor wood cutters, to whom the tailor had introduced me.	true	311.72	316.99	20
1337_10674_000016_000002	Even on the first day I cut enough wood to sell for a tolerable sum, and very soon I became more expert, and had made enough money to repay the tailor all he had lent me.	Even on the first day I cut enough wood to sell for a tolerable sum, and very soon I became more expert, and had made enough money to repay the tailor all he had lent me.	false	317.39	326.62	20.410276
1337_10674_000017_000000	I had been a wood-cutter for more than a year, when one day I wandered further into the forest than I had ever done before, and reached a delicious green glade, where I began to cut wood.	I had been a wood cutter for more than a year, when one day I wandered further into the forest than I had ever done before, and reached a delicious green glade, where I began to cut wood.	true	327.26	336.55	18
1337_10674_000017_000001	I was hacking at the root of a tree, when I beheld an iron ring fastened to a trapdoor of the same metal.	I was hacking at the root of a tree, when I beheld an iron ring fastened to a trapdoor of the same metal.	true	336.98	343.18	20
1337_10674_000017_000002	I soon cleared away the earth, and pulling up the door, found a staircase, which I hastily made up my mind to go down, carrying my hatchet with me by way of protection.	I soon cleared away the earth, and pulling up the door, found a staircase, which I hastily made up my mind to go down, carrying my hatchet with me by way of protection.	true	343.64	352.63	20.887505
1337_10674_000017_000003	When I reached the bottom I discovered that I was in a huge palace, as brilliantly lighted as any palace above ground that I had ever seen, with a long gallery supported by pillars of jasper, ornamented with capitals of gold.	When I reached the bottom I discovered that I was in a huge palace, as brilliantly lighted as any palace above ground that I had ever seen, with a long gallery supported by pillars of jasper, ornamented with capitals of gold.	true	353.3	366.49	20.47105
1337_10674_000017_000004	Down this gallery a lady came to meet me, of such beauty that I forgot everything else, and thought only of her.	Down this gallery a lady came to meet me, of such beauty that I forgot everything else, and thought only of her.	true	366.59	373.63	20.975658
1337_10674_000018_000000	To save her all the trouble possible, I hastened towards her, and bowed low.	To save her all the trouble possible, I hastened towards her, and bowed low.	true	373.97	378.16	22.26654
1337_10674_000019_000000	"Who are you?	"Who are you?	true	379.04	380.11	19.019562
1337_10674_000019_000001	Who are you?" she said.	Who are you?" she said.	true	380.51	382.51	18.18693
1337_10674_000019_000002	"A man or a genius?"	"A man or a genius?"	true	382.58	384.55	19.930214
1337_10674_000020_000000	"A man, madam," I replied; "I have nothing to do with genii."	"A man, madam," I replied; "I have nothing to do with genii."	true	385.04	390	20.64385
1337_10674_000021_000000	"By what accident do you come here?" she asked again with a sigh.	"By what accident do you come here?" she asked again with a sigh.	false	390	394.39	21.496433
1337_10674_000021_000001	"I have been in this place now for five and twenty years, and you are the first man who has visited me."	"I have been in this place now for five and twenty years, and you are the first man who has visited me."	true	394.58	399.52	13
1337_10674_000022_000000	Emboldened by her beauty and gentleness, I ventured to reply, "Before, madam, I answer your question, allow me to say how grateful I am for this meeting, which is not only a consolation to me in my own heavy sorrow, but may perhaps enable me to render your lot happier," and then I told her who I was, and how I had come there.	Emboldened by her beauty and gentleness, I ventured to reply, "Before, madam, I answer your question, allow me to say how grateful I am for this meeting, which is not only a consolation to me in my own heavy sorrow, but may perhaps enable me to render your lot happier," and then I told her who I was, and how I had come there.	true	400.01	420.1	19.744385
1337_10674_000023_000000	"Alas, prince," she said, with a deeper sigh than before, "you have guessed rightly in supposing me an unwilling prisoner in this gorgeous place.	"Alas, prince," she said, with a deeper sigh than before, "you have guessed rightly in supposing me an unwilling prisoner in this gorgeous place.	false	420.74	429.7	19.91023
1337_10674_000023_000001	I am the daughter of the king of the Ebony Isle, of whose fame you surely must have heard.	I am the daughter of the king of the Ebony Isle, of whose fame you surely must have heard.	false	430.22	434.68	15
1337_10674_000023_000002	At my father's desire I was married to a prince who was my own cousin; but on my very wedding day, I was snatched up by a genius, and brought here in a faint.	At my father's desire I was married to a prince who was my own cousin; but on my very wedding day, I was snatched up by a genius, and brought here in a faint.	true	434.75	444.1	18.526829
1337_10674_000023_000003	For a long while I did nothing but weep, and would not suffer the genius to come near me; but time teaches us submission, and I have now got accustomed to his presence, and if clothes and jewels could content me, I have them in plenty.	For a long while I did nothing but weep, and would not suffer the genius to come near me; but time teaches us submission, and I have now got accustomed to his presence, and if clothes and jewels could content me, I have them in plenty.	true	444.44	457.81	20
1337_10674_000023_000004	Every tenth day, for five and twenty years, I have received a visit from him, but in case I should need his help at any other time, I have only to touch a talisman that stands at the entrance of my chamber.	Every tenth day, for five and twenty years, I have received a visit from him, but in case I should need his help at any other time, I have only to touch a talisman that stands at the entrance of my chamber.	false	458.3	468.79	16
1337_10674_000023_000005	It wants still five days to his next visit, and I hope that during that time you will do me the honour to be my guest."	It wants still five days to his next visit, and I hope that during that time you will do me the honour to be my guest."	true	468.98	475.03	18
1337_10674_000024_000000	I was too much dazzled by her beauty to dream of refusing her offer, and accordingly the princess had me conducted to the bath, and a rich dress befitting my rank was provided for me.	I was too much dazzled by her beauty to dream of refusing her offer, and accordingly the princess had me conducted to the bath, and a rich dress befitting my rank was provided for me.	true	475.31	485.08	19
1337_10674_000024_000001	Then a feast of the most delicate dishes was served in a room hung with embroidered Indian fabrics.	Then a feast of the most delicate dishes was served in a room hung with embroidered Indian fabrics.	true	485.45	490.93	16
1337_10674_000025_000000	Next day, when we were at dinner, I could maintain my patience no longer, and implored the princess to break her bonds, and return with me to the world which was lighted by the sun.	Next day, when we were at dinner, I could maintain my patience no longer, and implored the princess to break her bonds, and return with me to the world which was lighted by the sun	true	491.78	500.8	16
1337_10674_000026_000000	"What you ask is impossible," she answered; "but stay here with me instead, and we can be happy, and all you will have to do is to betake yourself to the forest every tenth day, when I am expecting my master the genius.	"What you ask is impossible," she answered; "but stay here with me instead, and we can be happy, and all you will have to do is to betake yourself to the forest every tenth day, when I am expecting my master the genius.	true	501.68	514.09	22
1337_10674_000026_000001	He is very jealous, as you know, and will not suffer a man to come near me."	He is very jealous, as you know, and will not suffer a man to come near me."	true	514.37	518.62	19.155144
1337_10674_000027_000000	"Princess," I replied, "I see it is only fear of the genius that makes you act like this.	"Princess," I replied, "I see it is only fear of the genius that makes you act like this.	false	519.23	524.89	19.217161
1337_10674_000027_000001	For myself, I dread him so little that I mean to break his talisman in pieces!	For myself, I dread him so little that I mean to break his talisman in pieces!	true	524.96	529.51	18
1337_10674_000027_000002	Awful though you think him, he shall feel the weight of my arm, and I herewith take a solemn vow to stamp out the whole race."	Awful though you think him, he shall feel the weight of my arm, and I herewith take a solemn vow to stamp out the whole race."	true	529.55	536.53	21.455975
1337_10674_000028_000000	The princess, who realized the consequences of such audacity, entreated me not to touch the talisman.	The princess, who realized the consequences of such audacity, entreated me not to touch the talisman.	true	537.38	543.22	19
1337_10674_000028_000001	"If you do, it will be the ruin of both of us," said she; "I know genii much better than you." But the wine I had drunk had confused my brain; I gave one kick to the talisman, and it fell into a thousand pieces.	"If you do, it will be the ruin of both of us," said she; "I know genii much better than you." But the wine I had drunk had confused my brain; I gave one kick to the talisman, and it fell into a thousand pieces.	true	543.56	556.69	21.05012
1337_10674_000029_000000	Hardly had my foot touched the talisman when the air became as dark as night, a fearful noise was heard, and the palace shook to its very foundations.	Hardly had my foot touched the talisman when the air became as dark as night, a fearful noise was heard, and the palace shook to its very foundations.	false	556.97	564.85	18
1337_10674_000029_000001	In an instant I was sobered, and understood what I had done.	In an instant I was sobered, and understood what I had done.	false	565.04	568.33	19
1337_10674_000029_000002	"Princess!" I cried, "what is happening?"	"Princess!" I cried, "what is happening?"	true	568.64	571.54	22.712002
1337_10674_000030_000000	"Alas!" she exclaimed, forgetting all her own terrors in anxiety for me, "fly, or you are lost."	"Alas!" she exclaimed, forgetting all her own terrors in anxiety for me, "fly, or you are lost."	true	572.27	578.86	19.218204
1337_10674_000031_000000	I followed her advice and dashed up the staircase, leaving my hatchet behind me.	I followed her advice and dashed up the staircase, leaving my hatchet behind me.	true	579.26	583.66	18.296637
1337_10674_000031_000001	But I was too late.	But I was too late.	true	584.03	585.34	20.766602
1337_10674_000031_000002	The palace opened and the genius appeared, who, turning angrily to the princess, asked indignantly,	The palace opened and the genius appeared, who, turning angrily to the princess, asked indignantly,	true	585.47	592	21.170925
1337_10674_000032_000000	"What is the matter, that you have sent for me like this?"	"What is the matter, that you have sent for me like this?"	false	592.19	595.48	19
1337_10674_000033_000000	"A pain in my heart," she replied hastily, "obliged me to seek the aid of this little bottle.	"A pain in my heart," she replied hastily, "obliged me to seek the aid of this little bottle.	true	595.88	601.66	20.406868
1337_10674_000033_000001	Feeling faint, I slipped and fell against the talisman, which broke.	Feeling faint, I slipped and fell against the talisman, which broke.	true	601.85	605.76	21.64837
1337_10674_000033_000002	That is really all."	That is really all."	true	605.76	606.97	19.31888
1337_10674_000034_000000	"You are an impudent liar!" cried the genius.	"You are an impudent liar!" cried the genius.	true	607.58	610.665	22.249304
1337_10674_000034_000001	"How did this hatchet and those shoes get here?"	"How did this hatchet and those shoes get here?"	true	610.665	613.12	19.649181
1337_10674_000035_000000	"I never saw them before," she answered, "and you came in such a hurry that you may have picked them up on the road without knowing it." To this the genius only replied by insults and blows.	"I never saw them before," she answered, "and you came in such a hurry that you may have picked them up on the road without knowing it." To this the genius only replied by insults and blows.	true	613.31	623.38	22.37328
1337_10674_000035_000001	I could hear the shrieks and groans of the princess, and having by this time taken off my rich garments and put on those in which I had arrived the previous day, I lifted the trap, found myself once more in the forest, and returned to my friend the tailor, with a light load of wood and a heart full of shame and sorrow.	I could hear the shrieks and groans of the princess, and having by this time taken off my rich garments and put on those in which I had arrived the previous day, I lifted the trap, found myself once more in the forest, and returned to my friend the tailor, with a light load of wood and a heart full of shame and sorrow.	true	623.45	640.06	19.77639
1337_10674_000036_000000	The tailor, who had been uneasy at my long absence, was, delighted to see me; but I kept silence about my adventure, and as soon as possible retired to my room to lament in secret over my folly.	The tailor, who had been uneasy at my long absence, was, delighted to see me; but I kept silence about my adventure, and as soon as possible retired to my room to lament in secret over my folly.	true	640.67	651.7	18
1337_10674_000036_000001	While I was thus indulging my grief my host entered, and said, "There is an old man downstairs who has brought your hatchet and slippers, which he picked up on the road, and now restores to you, as he found out from one of your comrades where you lived.	While I was thus indulging my grief my host entered, and said, "There is an old man downstairs who has brought your hatchet and slippers, which he picked up on the road, and now restores to you, as he found out from one of your comrades where you lived.	true	652.28	665.11	20.742739
1337_10674_000036_000002	You had better come down and speak to him yourself." At this speech I changed colour, and my legs trembled under me.	You had better come down and speak to him yourself." At this speech I changed colour, and my legs trembled under me.	true	665.27	671.95	18
1337_10674_000036_000003	The tailor noticed my confusion, and was just going to inquire the reason when the door of the room opened, and the old man appeared, carrying with him my hatchet and shoes.	The tailor noticed my confusion, and was just going to inquire the reason when the door of the room opened, and the old man appeared, carrying with him my hatchet and shoes.	true	672.2	680.92	16
1337_10674_000037_000000	"I am a genius," he said, "the son of the daughter of Eblis, prince of the genii.	"I am a genius," he said, "the son of the daughter of Eblis, prince of the genii.	true	681.86	686.98	21.798712
1337_10674_000037_000001	Is not this hatchet yours, and these shoes?" Without waiting for an answer--which, indeed, I could hardly have given him, so great was my fright--he seized hold of me, and darted up into the air with the quickness of lightning, and then, with equal swiftness, dropped down towards the earth.	Is not this hatchet yours, and these shoes?" Without waiting for an answer-which, indeed, I could hardly have given him, so great was my fright-he seized hold of me, and darted up into the air with the quickness of lightning, and then, with equal swiftness, dropped down towards the earth.	false	687.05	702.61	20.83198
1337_10674_000037_000002	When he touched the ground, he rapped it with his foot; it opened, and we found ourselves in the enchanted palace, in the presence of the beautiful princess of the Ebony Isle. But how different she looked from what she was when I had last seen her, for she was lying stretched on the ground covered with blood, and weeping bitterly.	When he touched the ground, he rapped it with his foot; it opened, and we found ourselves in the enchanted palace, in the presence of the beautiful princess of the Ebony Isle. But how different she looked from what she was when I had last seen her, for she was lying stretched on the ground covered with blood, and weeping bitterly.	true	702.77	720.46	20.045404
1337_10674_000038_000000	"Traitress!" cried the genius, "is not this man your lover?"	"Traitress!" cried the genius, "is not this man your lover?"	true	720.95	725.02	19.67364
1337_10674_000039_000000	She lifted up her eyes slowly, and looked sadly at me.	She lifted up her eyes slowly, and looked sadly at me.	true	725.18	728.2	20.513922
1337_10674_000039_000001	"I never saw him before," she answered slowly.	"I never saw him before," she answered slowly.	true	728.6	731.5	18.734694
1337_10674_000039_000002	"I do not know who he is."	"I do not know who he is."	true	731.63	733.42	15
1337_10674_000040_000000	"What!" exclaimed the genius, "you owe all your sufferings to him, and yet you dare to say he is a stranger to you!"	"What!" exclaimed the genius, "you owe all your sufferings to him, and yet you dare to say he is a stranger to you!"	false	733.97	741.25	20.502293
1337_10674_000041_000000	"But if he really is a stranger to me," she replied, "why should I tell a lie and cause his death?"	"But if he really is a stranger to me," she replied, "why should I tell a lie and cause his death?"	false	741.53	747.22	21.162622
1337_10674_000042_000000	"Very well," said the genius, drawing his sword, "take this, and cut off his head."	"Very well," said the genius, drawing his sword, "take this, and cut off his head."	true	747.68	752.92	20.070858
1337_10674_000043_000000	"Alas," answered the princess, "I am too weak even to hold the sabre. And supposing that I had the strength, why should I put an innocent man to death?"	"Alas," answered the princess, "I am too weak even to hold the sabre. And supposing that I had the strength, why should I put an innocent man to death?"	true	753.53	761.65	19.568127
1337_10674_000044_000000	"You condemn yourself by your refusal," said the genius; then turning to me, he added, "and you, do you not know her?"	"You condemn yourself by your refusal," said the genius; then turning to me, he added, "and you, do you not know her?"	true	761.78	769.6	19.929882
1337_10674_000045_000000	"How should I?" I replied, resolved to imitate the princess in her fidelity.	"How should I?" I replied, resolved to imitate the princess in her fidelity.	false	770.09	774.25	22.176706
1337_10674_000045_000001	"How should I, when I never saw her before?"	"How should I, when I never saw her before?"	true	774.47	777.19	21.340187
1337_10674_000046_000000	"Cut her head off," then, "if she is a stranger to you, and I shall believe you are speaking the truth, and will set you at liberty."	"Cut her head off," then, "if she is a stranger to you, and I shall believe you are speaking the truth, and will set you at liberty."	true	777.62	783.82	21.286352
1337_10674_000047_000000	"Certainly," I answered, taking the sabre in my hands, and making a sign to the princess to fear nothing, as it was my own life that I was about to sacrifice, and not hers.	"Certainly," I answered, taking the sabre in my hands, and making a sign to the princess to fear nothing, as it was my own life that I was about to sacrifice, and not hers.	true	784.4	793.18	19
1337_10674_000047_000001	But the look of gratitude she gave me shook my courage, and I flung the sabre to the earth.	But the look of gratitude she gave me shook my courage, and I flung the sabre to the earth.	true	793.52	798.34	20
1337_10674_000048_000000	"I should not deserve to live," I said to the genius, "if I were such a coward as to slay a lady who is not only unknown to me, but who is at this moment half dead herself.	"I should not deserve to live," I said to the genius, "if I were such a coward as to slay a lady who is not only unknown to me, but who is at this moment half dead herself.	true	799.19	808.21	18.856968
1337_10674_000048_000001	Do with me as you will--I am in your power--but I refuse to obey your cruel command."	Do with me as you will-I am in your power-but I refuse to obey your cruel command."	true	808.31	812.68	18
1337_10674_000049_000000	"I see," said the genius, "that you have both made up your minds to brave me, but I will give you a sample of what you may expect." So saying, with one sweep of his sabre he cut off a hand of the princess, who was just able to lift the other to wave me an eternal farewell. Then I lost consciousness for several minutes.	"I see," said the genius, "that you have both made up your minds to brave me, but I will give you a sample of what you may expect." So saying, with one sweep of his sabre he cut off a hand of the princess, who was just able to lift the other to wave me an eternal farewell. Then I lost consciousness for several minutes.	false	813.44	832.21	18.58779
1337_10674_000050_000000	When I came to myself I implored the genius to keep me no longer in this state of suspense, but to lose no time in putting an end to my sufferings.	When I came to myself I implored the genius to keep me no longer in this state of suspense, but to lose no time in putting an end to my sufferings.	false	832.67	840.94	18
1337_10674_000050_000001	The genius, however, paid no attention to my prayers, but said sternly, "That is the way in which a genius treats the woman who has betrayed him.	The genius, however, paid no attention to my prayers, but said sternly, "That is the way in which a genius treats the woman who has betrayed him.	true	841.1	848.62	20
1337_10674_000050_000002	If I chose, I could kill you also; but I will be merciful, and content myself with changing you into a dog, an ass, a lion, or a bird--whichever you prefer."	If I chose, I could kill you also; but I will be merciful, and content myself with changing you into a dog, an ass, a lion, or a bird-whichever you prefer."	false	848.66	858.85	21.139137
1337_10674_000051_000000	I caught eagerly at these words, as giving me a faint hope of softening his wrath.	I caught eagerly at these words, as giving me a faint hope of softening his wrath.	false	859.22	863.89	19.827095
1337_10674_000051_000001	"O genius!" I cried, "as you wish to spare my life, be generous, and spare it altogether.	"O genius!" I cried, "as you wish to spare my life, be generous, and spare it altogether.	true	864.08	869.56	21.47746
1337_10674_000051_000002	Grant my prayer, and pardon my crime, as the best man in the whole world forgave his neighbour who was eaten up with envy of him." Contrary to my hopes, the genius seemed interested in my words, and said he would like to hear the story of the two neighbours; and as I think, madam, it may please you, I will tell it to you also.	Grant my prayer, and pardon my crime, as the best man in the whole world forgave his neighbour who was eaten up with envy of him." Contrary to my hopes, the genius seemed interested in my words, and said he would like to hear the story of the two neighbours; and as I think, madam, it may please you, I will tell it to you also.	false	869.66	892.68	20.840275
