5717_100145_000002_000001	Good.	Good.
5717_100145_000015_000001	"You didn't tell us about that article when we voted.	"You didn't tell us about that article when we voted.
5717_100145_000015_000002	Why, our whole society is based on slavery!"	Why, our whole society is based on slavery!"
5717_100145_000016_000000	Other voices joined in:	Other voices joined in:
5717_100145_000017_000000	"That's all right for you people, you have robots...."	"That's all right for you people, you have robots...."
5717_100145_000019_000000	"Look, you can't free slaves!	"Look, you can't free slaves!
5717_100145_000019_000001	That's ridiculous.	That's ridiculous.
5717_100145_000022_000001	It meant, the basic, fundamental, question.	It meant, the basic, fundamental, question.
5717_100145_000022_000002	Rovard Javasan, he suspected, had just asked the sixtifor.	Rovard Javasan, he suspected, had just asked the sixtifor.
5717_100145_000022_000003	Of course, Obray, Count Erskyll, Planetary Proconsul of Aditya, didn't realize that.	Of course, Obray, Count Erskyll, Planetary Proconsul of Aditya, didn't realize that.
5717_100145_000022_000004	He didn't even know what Javasan meant.	He didn't even know what Javasan meant.
5717_100145_000022_000005	Just free them. Commodore Vann Shatrak couldn't see much of a problem, either.	Just free them. Commodore Vann Shatrak couldn't see much of a problem, either.
5717_100145_000022_000006	He would have answered, Just free them, and then shoot down the first two or three thousand who took it seriously.	He would have answered, Just free them, and then shoot down the first two or three thousand who took it seriously.
5717_100145_000022_000007	Jurgen, Prince Trevannion, had no intention whatever of attempting to answer the sixtifor.	Jurgen, Prince Trevannion, had no intention whatever of attempting to answer the sixtifor.
5717_100145_000023_000000	"My dear Lord Javasan, that is the problem of the Adityan Mastership. They are your slaves; we have neither the intention nor the right to free them.	"My dear Lord Javasan, that is the problem of the Adityan Mastership. They are your slaves; we have neither the intention nor the right to free them.
5717_100145_000023_000001	But let me remind you that slavery is specifically prohibited by the Imperial Constitution; if you do not abolish it immediately, the Empire will be forced to intervene.	But let me remind you that slavery is specifically prohibited by the Imperial Constitution; if you do not abolish it immediately, the Empire will be forced to intervene.
5717_100145_000023_000002	I believe, toward the last of those audio-visuals, you saw some examples of Imperial intervention."	I believe, toward the last of those audio visuals, you saw some examples of Imperial intervention."
5717_100145_000024_000000	They had.	They had.
5717_100145_000026_000000	"Well, the first thing will have to be an Act of Convocation, outlawing the ownership of one being by another.	"Well, the first thing will have to be an Act of Convocation, outlawing the ownership of one being by another.
5717_100145_000026_000002	Then, I would suggest that you set up some agency to handle all the details. And, as soon as you have enacted the abolition of slavery, which should be this afternoon, appoint a committee, say a dozen of you, to confer with Count Erskyll and myself.	Then, I would suggest that you set up some agency to handle all the details. And, as soon as you have enacted the abolition of slavery, which should be this afternoon, appoint a committee, say a dozen of you, to confer with Count Erskyll and myself.
5717_100145_000026_000005	And let me point out, I hope for the last time, that we discuss matters directly, without intermediaries.	And let me point out, I hope for the last time, that we discuss matters directly, without intermediaries.
5717_100145_000026_000006	We don't want any more slaves, pardon, freedmen, coming aboard to talk for you, as happened yesterday."	We don't want any more slaves, pardon, freedmen, coming aboard to talk for you, as happened yesterday."
5717_100145_000027_000000	Obray, Count Erskyll, was unhappy about it.	Obray, Count Erskyll, was unhappy about it.
5717_100145_000027_000001	He did not think that the Lords-Master were to be trusted to abolish slavery; he said so, on the launch, returning to the ship.	He did not think that the Lords Master were to be trusted to abolish slavery; he said so, on the launch, returning to the ship.
5717_100145_000027_000002	Jurgen, Prince Trevannion was inclined to agree.	Jurgen, Prince Trevannion was inclined to agree.
5717_100145_000028_000000	Line-Commodore Vann Shatrak was also worried.	Line Commodore Vann Shatrak was also worried.
5717_100145_000028_000001	He was wondering how long it would take for Pyairr Ravney to make useful troops out of the newly-surrendered slave soldiers, and where he was going to find contragravity to shift them expeditiously from trouble-spot to trouble-spot.	He was wondering how long it would take for Pyairr Ravney to make useful troops out of the newly surrendered slave soldiers, and where he was going to find contragravity to shift them expeditiously from trouble spot to trouble spot.
5717_100145_000028_000002	Erskyll thought he was anticipating resistance on the part of the Masters, and for once he approved the use of force.	Erskyll thought he was anticipating resistance on the part of the Masters, and for once he approved the use of force.
5717_100145_000028_000003	Ordinarily, force was a Bad Thing, but this was a Good Cause, which justified any means.	Ordinarily, force was a Bad Thing, but this was a Good Cause, which justified any means.
5717_100145_000029_000000	They entertained the committee from the Convocation for dinner, that evening.	They entertained the committee from the Convocation for dinner, that evening.
5717_100145_000029_000001	They came aboard stiffly hostile--most understandably so, under the circumstances--and Prince Trevannion exerted all his copious charm to thaw them out, beginning with the pre-dinner cocktails and continuing through the meal.	They came aboard stiffly hostile-most understandably so, under the circumstances-and Prince Trevannion exerted all his copious charm to thaw them out, beginning with the pre dinner cocktails and continuing through the meal.
5717_100145_000029_000002	By the time they retired for coffee and brandy to the parlor where the conference was to be held, the Lords-ex-Masters were almost friendly.	By the time they retired for coffee and brandy to the parlor where the conference was to be held, the Lords ex Masters were almost friendly.
5717_100145_000030_000000	"We've enacted the Emancipation Act," Olvir Nikkolon, who was ex officio chairman of the committee, reported.	"We've enacted the Emancipation Act," Olvir Nikkolon, who was ex officio chairman of the committee, reported.
5717_100145_000031_000000	"And when will that be?"	"And when will that be?"
5717_100145_000032_000000	Aditya, he knew, had a three hundred and fifty-eight day year; even if the Midyear Feasts were just past, they were giving themselves very little time.	Aditya, he knew, had a three hundred and fifty eight day year; even if the Midyear Feasts were just past, they were giving themselves very little time.
5717_100145_000032_000001	In about a hundred and fifty days, Nikkolon said.	In about a hundred and fifty days, Nikkolon said.
5717_100145_000033_000000	"Good heavens!" Erskyll began, indignantly.	"Good heavens!" Erskyll began, indignantly.
5717_100145_000034_000000	"I should say so, myself," he put in, cutting off anything else the new Proconsul might have said.	"I should say so, myself," he put in, cutting off anything else the new Proconsul might have said.
5717_100145_000034_000002	A hundred and fifty days will pass quite rapidly, and you have twenty million slaves to deal with.	A hundred and fifty days will pass quite rapidly, and you have twenty million slaves to deal with.
5717_100145_000034_000003	If you start at this moment and work continuously, you'll have a little under a second apiece for each slave."	If you start at this moment and work continuously, you'll have a little under a second apiece for each slave."
5717_100145_000035_000000	The Lords-Master looked dismayed.	The Lords Master looked dismayed.
5717_100145_000035_000001	So, he was happy to observe, did Count Erskyll.	So, he was happy to observe, did Count Erskyll.
5717_100145_000037_000000	That was safe.	That was safe.
5717_100145_000037_000001	They had a bureaucracy, and bureaucracies tend to have registrations of practically everything.	They had a bureaucracy, and bureaucracies tend to have registrations of practically everything.
5717_100145_000038_000000	"Oh, yes, of course," Rovard Javasan assured him.	"Oh, yes, of course," Rovard Javasan assured him.
5717_100145_000038_000001	"That's your Management, isn't it, Sesar; Servile Affairs?"	"That's your Management, isn't it, Sesar; Servile Affairs?"
5717_100145_000039_000000	"Yes, we have complete data on every slave on the planet," Sesar Martwynn, the Chief of Servile Management, said.	"Yes, we have complete data on every slave on the planet," Sesar Martwynn, the Chief of Servile Management, said.
5717_100145_000042_000000	"Have you gentlemen informed your chief-slaves that they are free, yet?"	"Have you gentlemen informed your chief slaves that they are free, yet?"
5717_100145_000043_000000	Nikkolon and Javasan looked at each other.	Nikkolon and Javasan looked at each other.
5717_100145_000044_000000	"They know," Javasan said.	"They know," Javasan said.
5717_100145_000044_000001	"I must say they are much disturbed."	"I must say they are much disturbed."
5717_100145_000046_000000	"You mean, we can keep our chief-slaves?" somebody cried.	"You mean, we can keep our chief slaves?" somebody cried.
5717_100145_000047_000000	"Yes, of course--chief-freedmen, you'll have to call them, now.	"Yes, of course-chief freedmen, you'll have to call them, now.
5717_100145_000048_000000	"You mean, give them money?" Ranal Valdry, the Lord Provost-Marshal demanded, incredulously.	"You mean, give them money?" Ranal Valdry, the Lord Provost Marshal demanded, incredulously.
5717_100145_000048_000001	"Pay our own slaves?"	"Pay our own slaves?"
5717_100145_000049_000000	"You idiot," somebody told him, "they aren't our slaves any more.	"You idiot," somebody told him, "they aren't our slaves any more.
5717_100145_000049_000001	That's the whole point of this discussion."	That's the whole point of this discussion."
5717_100145_000050_000000	"But ... but how can we pay slaves?" one of the committeemen-at-large asked.	"But ... but how can we pay slaves?" one of the committeemen at large asked.
5717_100145_000050_000001	"Freedmen, I mean?"	"Freedmen, I mean?"
5717_100145_000051_000000	"With money.	"With money.
5717_100145_000051_000001	You do have money, haven't you?"	You do have money, haven't you?"
5717_100145_000052_000000	"Of course we have.	"Of course we have.
5717_100145_000053_000000	"What kind of money?"	"What kind of money?"
5717_100145_000054_000000	Why, money; what did he think?	Why, money; what did he think?
5717_100145_000054_000001	The unit was the star-piece, the stelly. When he asked to see some of it, they were indignant.	The unit was the star piece, the stelly. When he asked to see some of it, they were indignant.
5717_100145_000054_000002	Nobody carried money; wasn't Masterly.	Nobody carried money; wasn't Masterly.
5717_100145_000054_000003	A Master never even touched the stuff; that was what slaves were for.	A Master never even touched the stuff; that was what slaves were for.
5717_100145_000054_000004	He wanted to know how it was secured, and they didn't know what he meant, and when he tried to explain their incomprehension deepened.	He wanted to know how it was secured, and they didn't know what he meant, and when he tried to explain their incomprehension deepened.
5717_100145_000054_000005	It seemed that the Mastership issued money to finance itself, and individual Masters issued money on their personal credit, and it was handled through the Mastership Banks.	It seemed that the Mastership issued money to finance itself, and individual Masters issued money on their personal credit, and it was handled through the Mastership Banks.
5717_100145_000055_000001	"I can't explain it, myself."	"I can't explain it, myself."
