5717_100145_000000_000000	[Illustration]	[Illustration]	false	0	0.3	0
5717_100145_000022_000007	Jurgen, Prince Trevannion, had no intention whatever of attempting to answer the sixtifor.	Jurgen, Prince Trevannion, had no intention whatever of attempting to answer the sixtifor.	true	295.91	302.74	24.340805
5717_100145_000023_000000	"My dear Lord Javasan, that is the problem of the Adityan Mastership. They are your slaves; we have neither the intention nor the right to free them.	"My dear Lord Javasan, that is the problem of the Adityan Mastership. They are your slaves; we have neither the intention nor the right to free them.	true	303.74	314.5	20.925003
5717_100145_000023_000001	But let me remind you that slavery is specifically prohibited by the Imperial Constitution; if you do not abolish it immediately, the Empire will be forced to intervene.	But let me remind you that slavery is specifically prohibited by the Imperial Constitution; if you do not abolish it immediately, the Empire will be forced to intervene.	true	315.05	326.83	22.47979
5717_100145_000023_000002	I believe, toward the last of those audio-visuals, you saw some examples of Imperial intervention."	I believe, toward the last of those audio visuals, you saw some examples of Imperial intervention."	true	326.96	334.36	20
5717_100145_000024_000000	They had.	They had.	true	334.67	335.73	22.02548
5717_100145_000024_000001	A few looked apprehensively at the ceiling, as though expecting the hellburners and planet-busters and nega-matter-bombs at any moment.	A few looked apprehensively at the ceiling, as though expecting the hellburners and planet busters and nega matter bombs at any moment.	false	335.73	343.935	17
5717_100145_000024_000002	Then one of the members among the benches rose.	Then one of the members among the benches rose.	true	343.935	346.87	17.704071
5717_100145_000025_000000	"We don't know how we are going to do it, Prince Trevannion," he said. "We will do it, since this is the Empire law, but you will have to tell us how."	"We don't know how we are going to do it, Prince Trevannion," he said. "We will do it, since this is the Empire law, but you will have to tell us how."	false	348.05	358.39	20.601025
5717_100145_000026_000000	"Well, the first thing will have to be an Act of Convocation, outlawing the ownership of one being by another.	"Well, the first thing will have to be an Act of Convocation, outlawing the ownership of one being by another.	true	358.7	365.29	25.311417
5717_100145_000026_000001	Set some definite date on which the slaves must all be freed; that need not be too immediate.	Set some definite date on which the slaves must all be freed; that need not be too immediate.	false	365.48	371.44	23.116117
5717_100145_000026_000002	Then, I would suggest that you set up some agency to handle all the details. And, as soon as you have enacted the abolition of slavery, which should be this afternoon, appoint a committee, say a dozen of you, to confer with Count Erskyll and myself.	Then, I would suggest that you set up some agency to handle all the details. And, as soon as you have enacted the abolition of slavery, which should be this afternoon, appoint a committee, say a dozen of you, to confer with Count Erskyll and myself.	true	371.57	387.135	22.65468
5717_100145_000026_000003	Say you have your committee aboard the _Empress Eulalie_ in six hours.	Say you have your committee aboard the underscore Empress Eulalie underscore in six hours.	false	387.135	391.2	17
5717_100145_000026_000004	We'll have transportation arranged by then.	We'll have transportation arranged by then.	false	391.2	394.17	26.740383
5717_100145_000026_000005	And let me point out, I hope for the last time, that we discuss matters directly, without intermediaries.	And let me point out, I hope for the last time, that we discuss matters directly, without intermediaries.	true	394.17	402.22	27.365688
5717_100145_000026_000006	We don't want any more slaves, pardon, freedmen, coming aboard to talk for you, as happened yesterday."	We don't want any more slaves, pardon, freedmen, coming aboard to talk for you, as happened yesterday."	true	402.29	408.67	21.959593
5717_100145_000027_000000	Obray, Count Erskyll, was unhappy about it.	Obray, Count Erskyll, was unhappy about it.	true	409.34	412.36	26.24842
5717_100145_000027_000001	He did not think that the Lords-Master were to be trusted to abolish slavery; he said so, on the launch, returning to the ship.	He did not think that the Lords Master were to be trusted to abolish slavery; he said so, on the launch, returning to the ship.	true	412.37	419.83	26.436228
5717_100145_000027_000002	Jurgen, Prince Trevannion was inclined to agree.	Jurgen, Prince Trevannion was inclined to agree.	true	419.87	423.01	21
5717_100145_000027_000003	He doubted if any of the Lords-Master he had seen were to be trusted, unassisted, to fix a broken mouse-trap.	He doubted if any of the Lords Master he had seen were to be trusted, unassisted, to fix a broken mouse trap.	false	423.29	430.36	24.220686
5717_100145_000028_000000	Line-Commodore Vann Shatrak was also worried.	Line Commodore Vann Shatrak was also worried.	true	431	434.11	20.601664
5717_100145_000028_000001	He was wondering how long it would take for Pyairr Ravney to make useful troops out of the newly-surrendered slave soldiers, and where he was going to find contragravity to shift them expeditiously from trouble-spot to trouble-spot.	He was wondering how long it would take for Pyairr Ravney to make useful troops out of the newly surrendered slave soldiers, and where he was going to find contragravity to shift them expeditiously from trouble spot to trouble spot.	true	434.15	448.03	21
5717_100145_000028_000002	Erskyll thought he was anticipating resistance on the part of the Masters, and for once he approved the use of force.	Erskyll thought he was anticipating resistance on the part of the Masters, and for once he approved the use of force.	true	448.34	455.47	23.39035
5717_100145_000028_000003	Ordinarily, force was a Bad Thing, but this was a Good Cause, which justified any means.	Ordinarily, force was a Bad Thing, but this was a Good Cause, which justified any means.	true	456.26	463.87	23.639181
5717_100145_000029_000000	They entertained the committee from the Convocation for dinner, that evening.	They entertained the committee from the Convocation for dinner, that evening.	true	464.96	468.4	22.389801
5717_100145_000029_000001	They came aboard stiffly hostile--most understandably so, under the circumstances--and Prince Trevannion exerted all his copious charm to thaw them out, beginning with the pre-dinner cocktails and continuing through the meal.	They came aboard stiffly hostile-most understandably so, under the circumstances-and Prince Trevannion exerted all his copious charm to thaw them out, beginning with the pre dinner cocktails and continuing through the meal.	true	468.56	482.74	23.711336
5717_100145_000029_000002	By the time they retired for coffee and brandy to the parlor where the conference was to be held, the Lords-ex-Masters were almost friendly.	By the time they retired for coffee and brandy to the parlor where the conference was to be held, the Lords ex Masters were almost friendly.	true	482.75	491.2	24.317213
5717_100145_000030_000000	"We've enacted the Emancipation Act," Olvir Nikkolon, who was ex officio chairman of the committee, reported.	"We've enacted the Emancipation Act," Olvir Nikkolon, who was ex officio chairman of the committee, reported.	true	491.51	497.7	24.487772
5717_100145_000030_000001	"Every slave on the planet must be free before the opening of the next Midyear Feasts."	"Every slave on the planet must be free before the opening of the next Midyear Feasts."	false	497.7	503.08	23.54689
5717_100145_000031_000000	"And when will that be?"	"And when will that be?"	true	503.42	505.06	25.267971
5717_100145_000032_000000	Aditya, he knew, had a three hundred and fifty-eight day year; even if the Midyear Feasts were just past, they were giving themselves very little time.	Aditya, he knew, had a three hundred and fifty eight day year; even if the Midyear Feasts were just past, they were giving themselves very little time.	true	505.58	514.74	21
5717_100145_000032_000001	In about a hundred and fifty days, Nikkolon said.	In about a hundred and fifty days, Nikkolon said.	true	514.74	517.6	22.638721
5717_100145_000033_000000	"Good heavens!" Erskyll began, indignantly.	"Good heavens!" Erskyll began, indignantly.	true	517.67	520.69	21.822893
5717_100145_000034_000000	"I should say so, myself," he put in, cutting off anything else the new Proconsul might have said.	"I should say so, myself," he put in, cutting off anything else the new Proconsul might have said.	true	521.36	526.99	22.879974
5717_100145_000034_000001	"You gentlemen are allowing yourselves dangerously little time.	"You gentlemen are allowing yourselves dangerously little time.	true	527.21	531.06	18.868896
5717_100145_000034_000002	A hundred and fifty days will pass quite rapidly, and you have twenty million slaves to deal with.	A hundred and fifty days will pass quite rapidly, and you have twenty million slaves to deal with.	true	531.06	537.375	23.424255
5717_100145_000034_000003	If you start at this moment and work continuously, you'll have a little under a second apiece for each slave."	If you start at this moment and work continuously, you'll have a little under a second apiece for each slave."	true	537.375	544.33	21.79286
5717_100145_000035_000000	The Lords-Master looked dismayed.	The Lords Master looked dismayed.	true	545.36	547.92	26.595724
5717_100145_000035_000001	So, he was happy to observe, did Count Erskyll.	So, he was happy to observe, did Count Erskyll.	true	547.92	551.38	25.884312
5717_100145_000036_000000	"I assume you have some system of slave registration?" he continued.	"I assume you have some system of slave registration?" he continued.	true	551.57	555.63	19.012415
5717_100145_000037_000000	That was safe.	That was safe.	true	555.63	556.785	27.88431
5717_100145_000037_000001	They had a bureaucracy, and bureaucracies tend to have registrations of practically everything.	They had a bureaucracy, and bureaucracies tend to have registrations of practically everything.	true	556.785	562.6	22.606508
5717_100145_000038_000000	"Oh, yes, of course," Rovard Javasan assured him.	"Oh, yes, of course," Rovard Javasan assured him.	true	562.85	566.68	21.271738
5717_100145_000038_000001	"That's your Management, isn't it, Sesar; Servile Affairs?"	"That's your Management, isn't it, Sesar; Servile Affairs?"	true	566.93	570.4	22.09638
5717_100145_000039_000000	"Yes, we have complete data on every slave on the planet," Sesar Martwynn, the Chief of Servile Management, said.	"Yes, we have complete data on every slave on the planet," Sesar Martwynn, the Chief of Servile Management, said.	true	570.56	577.815	20.695517
5717_100145_000039_000001	"Of course, I'd have to ask Zhorzh about the details...."	"Of course, I'd have to ask Zhorzh about the details...."	false	577.815	580.92	24
5717_100145_000040_000000	Zhorzh was Zhorzh Khouzhik, Martwynn's chief-slave in office.	Zhorzh was Zhorzh Khouzhik, Martwynn's chief slave in office.	false	580.92	586.45	23.774548
5717_100145_000041_000000	"At least, he was my chief-slave; now you people have taken him away from me.	"At least, he was my chief slave; now you people have taken him away from me.	true	586.61	590.94	18
5717_100145_000041_000001	I don't know what I'm going to do without him.	I don't know what I'm going to do without him.	true	590.94	593.29	19.754759
5717_100145_000041_000002	For that matter, I don't know what poor Zhorzh will do, either."	For that matter, I don't know what poor Zhorzh will do, either."	false	593.3	596.44	25.789799
5717_100145_000042_000000	"Have you gentlemen informed your chief-slaves that they are free, yet?"	"Have you gentlemen informed your chief slaves that they are free, yet?"	true	596.51	600.61	24.864407
5717_100145_000043_000000	Nikkolon and Javasan looked at each other.	Nikkolon and Javasan looked at each other.	true	600.98	603.18	20
5717_100145_000043_000001	Sesar Martwynn laughed.	Sesar Martwynn laughed.	false	603.18	605.32	28.185682
5717_100145_000044_000000	"They know," Javasan said.	"They know," Javasan said.	true	605.45	607.86	25
5717_100145_000044_000001	"I must say they are much disturbed."	"I must say they are much disturbed."	true	607.86	610.18	21.447678
5717_100145_000045_000000	"Well, reassure them, as soon as you're back at the Citadel," he told them.	"Well, reassure them, as soon as you're back at the Citadel," he told them.	false	610.46	614.67	17.948298
5717_100145_000045_000001	"Tell them that while they are now free, they need not leave you unless they so desire; that you will provide for them as before."	"Tell them that while they are now free, they need not leave you unless they so desire; that you will provide for them as before."	true	614.67	622.21	17
5717_100145_000046_000000	"You mean, we can keep our chief-slaves?" somebody cried.	"You mean, we can keep our chief slaves?" somebody cried.	true	622.22	626.025	25.842413
5717_100145_000047_000000	"Yes, of course--chief-freedmen, you'll have to call them, now.	"Yes, of course-chief freedmen, you'll have to call them, now.	true	626.025	629.94	21
5717_100145_000047_000001	You'll have to pay them a salary...."	You'll have to pay them a salary...."	false	629.94	631.72	24.469185
5717_100145_000048_000000	"You mean, give them money?" Ranal Valdry, the Lord Provost-Marshal demanded, incredulously.	"You mean, give them money?" Ranal Valdry, the Lord Provost Marshal demanded, incredulously.	true	632.06	638.355	21.603945
5717_100145_000048_000001	"Pay our own slaves?"	"Pay our own slaves?"	true	638.355	640.12	25.969496
5717_100145_000049_000000	"You idiot," somebody told him, "they aren't our slaves any more.	"You idiot," somebody told him, "they aren't our slaves any more.	true	640.34	644.28	24.84596
5717_100145_000049_000001	That's the whole point of this discussion."	That's the whole point of this discussion."	true	644.28	646.42	26.93472
5717_100145_000050_000000	"But ... but how can we pay slaves?" one of the committeemen-at-large asked.	"But ... but how can we pay slaves?" one of the committeemen at large asked.	true	646.49	651.675	23.418873
5717_100145_000050_000001	"Freedmen, I mean?"	"Freedmen, I mean?"	true	651.675	652.96	24.113914
5717_100145_000051_000000	"With money.	"With money.	true	652.97	654.72	20.115183
5717_100145_000051_000001	You do have money, haven't you?"	You do have money, haven't you?"	true	654.72	656.62	20.05905
5717_100145_000052_000000	"Of course we have.	"Of course we have.	true	656.87	658.23	23.069763
5717_100145_000052_000001	What do you think we are, savages?"	What do you think we are, savages?"	true	658.23	660.04	18
5717_100145_000053_000000	"What kind of money?"	"What kind of money?"	true	660.08	661.41	31.92706
5717_100145_000054_000000	Why, money; what did he think?	Why, money; what did he think?	true	661.41	663.36	22.321007
5717_100145_000054_000001	The unit was the star-piece, the stelly. When he asked to see some of it, they were indignant.	The unit was the star piece, the stelly. When he asked to see some of it, they were indignant.	true	663.36	668.83	23.594557
5717_100145_000054_000002	Nobody carried money; wasn't Masterly.	Nobody carried money; wasn't Masterly.	true	668.84	672.615	27.799747
5717_100145_000054_000003	A Master never even touched the stuff; that was what slaves were for.	A Master never even touched the stuff; that was what slaves were for.	true	672.615	677.8	24.1709
5717_100145_000054_000004	He wanted to know how it was secured, and they didn't know what he meant, and when he tried to explain their incomprehension deepened.	He wanted to know how it was secured, and they didn't know what he meant, and when he tried to explain their incomprehension deepened.	true	677.81	685.87	21.484812
5717_100145_000054_000005	It seemed that the Mastership issued money to finance itself, and individual Masters issued money on their personal credit, and it was handled through the Mastership Banks.	It seemed that the Mastership issued money to finance itself, and individual Masters issued money on their personal credit, and it was handled through the Mastership Banks.	true	685.88	697.63	21
5717_100145_000055_000000	"That's Fedrig Daffysan's Management; he isn't here," Rovard Javasan said.	"That's Fedrig Daffysan's Management; he isn't here," Rovard Javasan said.	false	697.76	703.215	23.28703
5717_100145_000055_000001	"I can't explain it, myself."	"I can't explain it, myself."	true	703.215	705.19	26.079693
5717_100145_000056_000000	And without his chief-slave, Fedrig Daffysan probably would not be able to, either.	And without his chief slave, Fedrig Daffysan probably would not be able to, either.	false	705.32	711.66	23.23662
5717_100145_000057_000000	"Yes, gentlemen.	"Yes, gentlemen.	false	711.66	714.03	26.969065
5717_100145_000057_000001	I understand.	I understand.	false	714.03	714.48	24.614922
5717_100145_000057_000002	You have money.	You have money.	false	714.48	714.48	
5717_100145_000057_000003	Now, the first thing you will have to do is furnish us with a complete list of all the slave-owners on the planet, and a list of all the slaves held by each. This will be sent back to Odin, and will be the basis for the compensation to be paid for the destruction of your property-rights in these slaves.	Now, the first thing you will have to do is furnish us with a complete list of all the slave owners on the planet, and a list of all the slaves held by each. This will be sent back to Odin, and will be the basis for the compensation to be paid for the destruction of your property rights in these slaves.	false	714.48	714.48	
5717_100145_000057_000004	How much is a slave worth, by the way?"	How much is a slave worth, by the way?"	false	714.48	714.48	
