5261_19371_000001_000000	NOTES TO LECTURE XIII	NOTES TO LECTURE thirteen
5261_19371_000019_000002	It was very small, only of the eighth magnitude; and he wrote to two astronomers (one of them Bode himself) saying what he had observed.	It was very small, only of the eighth magnitude; and he wrote to two astronomers (one of them Bode himself) saying what he had observed.
5261_19371_000019_000003	He continued to observe till the 11th of February, when he was attacked by illness and compelled to cease.	He continued to observe till the eleventh of February, when he was attacked by illness and compelled to cease.
5261_19371_000020_000000	His letters did not reach their destination till the end of March. Directly Bode opened his letter he jumped to the conclusion that this must be the missing planet.	His letters did not reach their destination till the end of March. Directly Bode opened his letter he jumped to the conclusion that this must be the missing planet.
5261_19371_000020_000001	But unfortunately he was unable to verify the guess, for the object, whatever it was, had now got too near the sun to be seen.	But unfortunately he was unable to verify the guess, for the object, whatever it was, had now got too near the sun to be seen.
5261_19371_000020_000002	It would not be likely to be out again before September, and by that time it would be hopelessly lost again, and have just as much to be rediscovered as if it had never been seen.	It would not be likely to be out again before September, and by that time it would be hopelessly lost again, and have just as much to be rediscovered as if it had never been seen.
5261_19371_000021_000000	Mathematical astronomers tried to calculate a possible orbit for the body from the observations of Piazzi, but the observed places were so desperately few and close together.	Mathematical astronomers tried to calculate a possible orbit for the body from the observations of Piazzi, but the observed places were so desperately few and close together.
5261_19371_000021_000001	It was like having to determine a curve from three points close together.	It was like having to determine a curve from three points close together.
5261_19371_000021_000003	All the calculations gave different results, and none were of the slightest use.	All the calculations gave different results, and none were of the slightest use.
5261_19371_000022_000000	The difficulty as it turned out was most fortunate.	The difficulty as it turned out was most fortunate.
5261_19371_000022_000001	It resulted in the discovery of one of the greatest mathematicians, perhaps the greatest, that Germany has ever produced--Gauss.	It resulted in the discovery of one of the greatest mathematicians, perhaps the greatest, that Germany has ever produced-Gauss.
5261_19371_000022_000002	He was then a young man of twenty-five, eking out a living by tuition.	He was then a young man of twenty five, eking out a living by tuition.
5261_19371_000022_000003	He had invented but not published several powerful mathematical methods (one of them now known as "the method of least squares"), and he applied them to Piazzi's observations.	He had invented but not published several powerful mathematical methods (one of them now known as "the method of least squares"), and he applied them to Piazzi's observations.
5261_19371_000022_000004	He was thus able to calculate an orbit, and to predict a place where, by the end of the year, the planet should be visible.	He was thus able to calculate an orbit, and to predict a place where, by the end of the year, the planet should be visible.
5261_19371_000022_000006	Piazzi called it Ceres, after the tutelary goddess of Sicily.	Piazzi called it Ceres, after the tutelary goddess of Sicily.
5261_19371_000023_000000	Its distance from the sun as determined by Gauss was 2.767 times the earth's distance.	Its distance from the sun as determined by Gauss was two point seven six seven times the earth's distance.
5261_19371_000023_000002	It was undoubtedly the missing planet.	It was undoubtedly the missing planet.
5261_19371_000024_000000	Very soon, a more surprising discovery followed.	Very soon, a more surprising discovery followed.
5261_19371_000024_000001	Olbers, while searching for Ceres, had carefully mapped the part of the heavens where it was expected; and in March, 1802, he saw in this place a star he had not previously noticed.	Olbers, while searching for Ceres, had carefully mapped the part of the heavens where it was expected; and in March, eighteen o two, he saw in this place a star he had not previously noticed.
5261_19371_000024_000002	In two hours he detected its motion, and in a month he sent his observations to Gauss, who returned as answer the calculated orbit.	In two hours he detected its motion, and in a month he sent his observations to Gauss, who returned as answer the calculated orbit.
5261_19371_000024_000004	This was called Pallas.	This was called Pallas.
5261_19371_000025_000000	Olbers at once surmised that these two planets were fragments of a larger one, and kept an eager look out for other fragments.	Olbers at once surmised that these two planets were fragments of a larger one, and kept an eager look out for other fragments.
5261_19371_000026_000000	In two years another was seen, in the course of charting the region of the heavens traversed by Ceres and Pallas.	In two years another was seen, in the course of charting the region of the heavens traversed by Ceres and Pallas.
5261_19371_000026_000001	It was smaller than either, and was called Juno.	It was smaller than either, and was called Juno.
5261_19371_000027_000000	In 1807 the persevering search of Olbers resulted in the discovery of another, with a very oblique orbit, which Gauss named Vesta.	In eighteen o seven the persevering search of Olbers resulted in the discovery of another, with a very oblique orbit, which Gauss named Vesta.
5261_19371_000027_000001	Vesta is bigger than any of the others, being five hundred miles in diameter, and shines like a star of the sixth magnitude.	Vesta is bigger than any of the others, being five hundred miles in diameter, and shines like a star of the sixth magnitude.
5261_19371_000027_000002	Gauss by this time had become so practised in the difficult computations that he worked out the complete orbit of Vesta within ten hours of receiving the observational data from Olbers.	Gauss by this time had become so practised in the difficult computations that he worked out the complete orbit of Vesta within ten hours of receiving the observational data from Olbers.
5261_19371_000028_000000	For many weary years Olbers kept up a patient and unremitting search for more of these small bodies, or fragments of the large planet as he thought them; but his patience went unrewarded, and he died in 1840 without seeing or knowing of any more.	For many weary years Olbers kept up a patient and unremitting search for more of these small bodies, or fragments of the large planet as he thought them; but his patience went unrewarded, and he died in eighteen forty without seeing or knowing of any more.
5261_19371_000028_000001	In 1845 another was found, however, in Germany, and a few weeks later two others by Mr. Hind in England.	In eighteen forty five another was found, however, in Germany, and a few weeks later two others by mr Hind in England.
5261_19371_000028_000002	Since then there seems no end to them; numbers have been discovered in America, where Professors Peters and Watson have made a specialty of them, and have themselves found something like a hundred.	Since then there seems no end to them; numbers have been discovered in America, where Professors Peters and Watson have made a specialty of them, and have themselves found something like a hundred.
5261_19371_000029_000000	Vesta is the largest--its area being about the same as that of Central Europe, without Russia or Spain--and the smallest known is about twenty miles in diameter, or with a surface about the size of Kent.	Vesta is the largest-its area being about the same as that of Central Europe, without Russia or Spain-and the smallest known is about twenty miles in diameter, or with a surface about the size of Kent.
5261_19371_000029_000001	The whole of them together do not nearly equal the earth in bulk.	The whole of them together do not nearly equal the earth in bulk.
5261_19371_000030_000000	The main interest of these bodies to us lies in the question, What is their history?	The main interest of these bodies to us lies in the question, What is their history?
5261_19371_000030_000001	Can they have been once a single planet broken up? or are they rather an abortive attempt at a planet never yet formed into one?	Can they have been once a single planet broken up? or are they rather an abortive attempt at a planet never yet formed into one?
5261_19371_000032_000000	Imagine a shell travelling in an elliptic orbit round the earth to suddenly explode: the centre of gravity of all its fragments would continue moving along precisely the same path as had been traversed by the centre of the shell before explosion, and would complete its orbit quite undisturbed.	Imagine a shell travelling in an elliptic orbit round the earth to suddenly explode: the centre of gravity of all its fragments would continue moving along precisely the same path as had been traversed by the centre of the shell before explosion, and would complete its orbit quite undisturbed.
5261_19371_000032_000002	If the zone of asteroids had a common point through which they all successively passed, they could be unhesitatingly asserted to be the remains of an exploded planet.	If the zone of asteroids had a common point through which they all successively passed, they could be unhesitatingly asserted to be the remains of an exploded planet.
5261_19371_000032_000003	But they have nothing of the kind; their orbits are scattered within a certain broad zone--a zone everywhere as broad as the earth's distance from the sun, 92,000,000 miles--with no sort of law indicating an origin of this kind.	But they have nothing of the kind; their orbits are scattered within a certain broad zone-a zone everywhere as broad as the earth's distance from the sun, ninety two million miles--with no sort of law indicating an origin of this kind.
5261_19371_000033_000000	It must be admitted, however, that the fragments of our supposed shell might in the course of ages, if left to themselves, mutually perturb each other into a different arrangement of orbits from that with which they began.	It must be admitted, however, that the fragments of our supposed shell might in the course of ages, if left to themselves, mutually perturb each other into a different arrangement of orbits from that with which they began.
5261_19371_000033_000002	It is probable that the asteroids were at one time not rigid, and hence it is difficult to say what may have happened to them; but there is not the least reason to believe that their present arrangement is derivable in any way from an explosion, and it is certain that an enormous time must have elapsed since such an event if it ever occurred.	It is probable that the asteroids were at one time not rigid, and hence it is difficult to say what may have happened to them; but there is not the least reason to believe that their present arrangement is derivable in any way from an explosion, and it is certain that an enormous time must have elapsed since such an event if it ever occurred.
5261_19371_000034_000000	It is far more probable that they never constituted one body at all, but are the remains of a cloudy ring thrown off by the solar system in shrinking past that point: a small ring after the immense effort which produced Jupiter and his satellites: a ring which has aggregated into a multitude of little lumps instead of a few big ones.	It is far more probable that they never constituted one body at all, but are the remains of a cloudy ring thrown off by the solar system in shrinking past that point: a small ring after the immense effort which produced Jupiter and his satellites: a ring which has aggregated into a multitude of little lumps instead of a few big ones.
5261_19371_000034_000002	But it is easy to show from the theory of gravitation, that a solid ring could not possibly be stable, but would before long get precipitated excentrically upon the body of the planet.	But it is easy to show from the theory of gravitation, that a solid ring could not possibly be stable, but would before long get precipitated excentrically upon the body of the planet.
5261_19371_000034_000003	Devices have been invented, such as artfully distributed irregularities calculated to act as satellites and maintain stability; but none of these things really work. Nor will it do to imagine the rings fluid; they too would destroy each other.	Devices have been invented, such as artfully distributed irregularities calculated to act as satellites and maintain stability; but none of these things really work. Nor will it do to imagine the rings fluid; they too would destroy each other.
5261_19371_000034_000004	The mechanical behaviour of a system of rings, on different hypotheses as to their constitution, has been worked out with consummate skill by Clerk Maxwell; who finds that the only possible constitution for Saturn's assemblage of rings is a multitude of discrete particles each pursuing its independent orbit.	The mechanical behaviour of a system of rings, on different hypotheses as to their constitution, has been worked out with consummate skill by Clerk Maxwell; who finds that the only possible constitution for Saturn's assemblage of rings is a multitude of discrete particles each pursuing its independent orbit.
5261_19371_000034_000005	Saturn's ring is, in fact, a very concentrated zone of minor asteroids, and there is every reason to conclude that the origin of the solar asteroids cannot be very unlike the origin of the Saturnian ones.	Saturn's ring is, in fact, a very concentrated zone of minor asteroids, and there is every reason to conclude that the origin of the solar asteroids cannot be very unlike the origin of the Saturnian ones.
5261_19371_000034_000006	The nebular hypothesis lends itself readily to both.	The nebular hypothesis lends itself readily to both.
5261_19371_000035_000001	His paper constituted what is called "The Adams Prize Essay" for 1856.	His paper constituted what is called "The Adams Prize Essay" for eighteen fifty six.
5261_19371_000035_000002	Sir George Airy, one of the adjudicators (recently Astronomer-Royal), characterized it as "one of the most remarkable applications of mathematics to physics that I have ever seen."	Sir George Airy, one of the adjudicators (recently Astronomer Royal), characterized it as "one of the most remarkable applications of mathematics to physics that I have ever seen."
5261_19371_000036_000000	There are several distinct constituent rings in the entire Saturnian zone, and each perturbs the other, with the result that they ripple and pulse in concord.	There are several distinct constituent rings in the entire Saturnian zone, and each perturbs the other, with the result that they ripple and pulse in concord.
5261_19371_000036_000001	The waves thus formed absorb the effect of the mutual perturbations, and prevent an accumulation which would be dangerous to the persistence of the whole.	The waves thus formed absorb the effect of the mutual perturbations, and prevent an accumulation which would be dangerous to the persistence of the whole.
5261_19371_000037_000000	The only effect of gravitational perturbation and of collisions is gradually to broaden out the whole ring, enlarging its outer and diminishing its inner diameter.	The only effect of gravitational perturbation and of collisions is gradually to broaden out the whole ring, enlarging its outer and diminishing its inner diameter.
