4145_34497_000000_000000	"A man brought it from Princess Tverskaya."	"A man brought it from Princess Tverskaya."	false	4.47	7.05	24.90298
4145_34497_000010_000009	Her face was hidden by a veil, but he drank in with glad eyes the special movement in walking, peculiar to her alone, the slope of the shoulders, and the setting of the head, and at once a sort of electric shock ran all over him.	Her face was hidden by a veil, but he drank in with glad eyes the special movement in walking, peculiar to her alone, the slope of the shoulders, and the setting of the head, and at once a sort of electric shock ran all over him.	true	228.47	242.77	24.756163
4145_34497_000010_000010	With fresh force, he felt conscious of himself from the springy motions of his legs to the movements of his lungs as he breathed, and something set his lips twitching.	With fresh force, he felt conscious of himself from the springy motions of his legs to the movements of his lungs as he breathed, and something set his lips twitching.	false	243.32	252	22.574883
4145_34497_000011_000000	Joining him, she pressed his hand tightly.	Joining him, she pressed his hand tightly.	false	252	254.17	30.436317
4145_34497_000012_000000	"You're not angry that I sent for you?	"You're not angry that I sent for you?	true	254.54	256.57	25.603968
4145_34497_000012_000001	I absolutely had to see you," she said; and the serious and set line of her lips, which he saw under the veil, transformed his mood at once.	I absolutely had to see you," she said; and the serious and set line of her lips, which he saw under the veil, transformed his mood at once.	true	256.82	264.88	23.507524
4145_34497_000013_000000	"I angry!	"I angry!	true	265.85	267.19	33.768845
4145_34497_000013_000001	But how have you come, where from?"	But how have you come, where from?"	true	267.26	269.92	23.571999
4145_34497_000014_000000	"Never mind," she said, laying her hand on his, "come along, I must talk to you."	"Never mind," she said, laying her hand on his, "come along, I must talk to you."	true	270.08	275.95	22.03742
4145_34497_000015_000000	He saw that something had happened, and that the interview would not be a joyous one.	He saw that something had happened, and that the interview would not be a joyous one.	true	276.38	280.81	25.953209
4145_34497_000015_000001	In her presence he had no will of his own: without knowing the grounds of her distress, he already felt the same distress unconsciously passing over him.	In her presence he had no will of his own: without knowing the grounds of her distress, he already felt the same distress unconsciously passing over him.	true	281.42	290.98	23.906057
4145_34497_000016_000000	"What is it?	"What is it?	true	291.59	292.41	27.504896
4145_34497_000016_000001	what?" he asked her, squeezing her hand with his elbow, and trying to read her thoughts in her face.	what?" he asked her, squeezing her hand with his elbow, and trying to read her thoughts in her face.	true	292.41	297.61	25.86967
4145_34497_000017_000000	She walked on a few steps in silence, gathering up her courage; then suddenly she stopped.	She walked on a few steps in silence, gathering up her courage; then suddenly she stopped.	true	297.8	304	25.77093
4145_34497_000018_000000	"I did not tell you yesterday," she began, breathing quickly and painfully, "that coming home with Alexey Alexandrovitch I told him everything ... told him I could not be his wife, that ... and told him everything."	"I did not tell you yesterday," she began, breathing quickly and painfully, "that coming home with Alexey Alexandrovitch I told him everything ... told him I could not be his wife, that ... and told him everything."	false	304.46	317.74	24.960457
4145_34497_000019_000000	He heard her, unconsciously bending his whole figure down to her as though hoping in this way to soften the hardness of her position for her.	He heard her, unconsciously bending his whole figure down to her as though hoping in this way to soften the hardness of her position for her.	true	318.95	326.92	24.403158
4145_34497_000019_000001	But directly she had said this he suddenly drew himself up, and a proud and hard expression came over his face.	But directly she had said this he suddenly drew himself up, and a proud and hard expression came over his face.	true	327.02	333.76	24.376429
4145_34497_000020_000000	"Yes, yes, that's better, a thousand times better!	"Yes, yes, that's better, a thousand times better!	true	334.1	337.09	22.672152
4145_34497_000020_000001	I know how painful it was," he said.	I know how painful it was," he said.	true	337.55	340.03	22.774103
4145_34497_000020_000002	But she was not listening to his words, she was reading his thoughts from the expression of his face.	But she was not listening to his words, she was reading his thoughts from the expression of his face.	true	340.25	346.03	24.088528
4145_34497_000020_000003	She could not guess that that expression arose from the first idea that presented itself to Vronsky--that a duel was now inevitable.	She could not guess that that expression arose from the first idea that presented itself to Vronsky-that a duel was now inevitable.	true	346.46	353.89	24.189955
4145_34497_000020_000004	The idea of a duel had never crossed her mind, and so she put a different interpretation on this passing expression of hardness.	The idea of a duel had never crossed her mind, and so she put a different interpretation on this passing expression of hardness.	true	354.53	361.54	24.371233
4145_34497_000021_000000	When she got her husband's letter, she knew then at the bottom of her heart that everything would go on in the old way, that she would not have the strength of will to forego her position, to abandon her son, and to join her lover.	When she got her husband's letter, she knew then at the bottom of her heart that everything would go on in the old way, that she would not have the strength of will to forego her position, to abandon her son, and to join her lover.	true	362.15	374.74	22.874105
4145_34497_000021_000001	The morning spent at Princess Tverskaya's had confirmed her still more in this.	The morning spent at Princess Tverskaya's had confirmed her still more in this.	false	374.78	379.66	21.78325
4145_34497_000021_000002	But this interview was still of the utmost gravity for her.	But this interview was still of the utmost gravity for her.	true	379.79	383.29	25.66146
4145_34497_000021_000003	She hoped that this interview would transform her position, and save her.	She hoped that this interview would transform her position, and save her.	true	383.72	387.7	24.896656
4145_34497_000021_000004	If on hearing this news he were to say to her resolutely, passionately, without an instant's wavering: "Throw up everything and come with me!" she would give up her son and go away with him.	If on hearing this news he were to say to her resolutely, passionately, without an instant's wavering: "Throw up everything and come with me!" she would give up her son and go away with him.	false	388.19	399.28	22.501028
4145_34497_000021_000005	But this news had not produced what she had expected in him; he simply seemed as though he were resenting some affront.	But this news had not produced what she had expected in him; he simply seemed as though he were resenting some affront.	true	399.65	406.81	23.038689
4145_34497_000022_000000	"It was not in the least painful to me.	"It was not in the least painful to me.	true	407.21	409.54	22.204227
4145_34497_000022_000001	It happened of itself," she said irritably; "and see..." she pulled her husband's letter out of her glove.	It happened of itself," she said irritably; "and see..." she pulled her husband's letter out of her glove.	true	409.61	416.11	25.70261
4145_34497_000023_000000	"I understand, I understand," he interrupted her, taking the letter, but not reading it, and trying to soothe her.	"I understand, I understand," he interrupted her, taking the letter, but not reading it, and trying to soothe her.	true	416.42	422.77	22.348415
4145_34497_000023_000001	"The one thing I longed for, the one thing I prayed for, was to cut short this position, so as to devote my life to your happiness."	"The one thing I longed for, the one thing I prayed for, was to cut short this position, so as to devote my life to your happiness."	true	422.9	430.9	26.631138
4145_34497_000024_000000	"Why do you tell me that?" she said.	"Why do you tell me that?" she said.	true	431.69	433.74	32.212147
4145_34497_000024_000001	"Do you suppose I can doubt it?	"Do you suppose I can doubt it?	false	433.74	436.06	24.949202
4145_34497_000024_000002	If I doubted..."	If I doubted..."	true	436.31	437.65	25.368196
4145_34497_000025_000000	"Who's that coming?" said Vronsky suddenly, pointing to two ladies walking towards them.	"Who's that coming?" said Vronsky suddenly, pointing to two ladies walking towards them.	true	437.66	442.3	24.063131
4145_34497_000025_000001	"Perhaps they know us!" and he hurriedly turned off, drawing her after him into a side path.	"Perhaps they know us!" and he hurriedly turned off, drawing her after him into a side path.	true	442.79	448.6	25.902142
4145_34497_000026_000000	"Oh, I don't care!" she said.	"Oh, I don't care!" she said.	true	448.67	450.6	25.688152
4145_34497_000026_000001	Her lips were quivering.	Her lips were quivering.	true	450.6	452.2	27.42735
4145_34497_000026_000002	And he fancied that her eyes looked with strange fury at him from under the veil.	And he fancied that her eyes looked with strange fury at him from under the veil.	true	452.21	456.67	22.978346
4145_34497_000026_000003	"I tell you that's not the point--I can't doubt that; but see what he writes to me.	"I tell you that's not the point-I can't doubt that; but see what he writes to me.	true	457.46	462.795	27.327345
4145_34497_000026_000004	Read it." She stood still again.	Read it." She stood still again.	true	462.795	465.46	27.016474
4145_34497_000027_000000	Again, just as at the first moment of hearing of her rupture with her husband, Vronsky, on reading the letter, was unconsciously carried away by the natural sensation aroused in him by his own relation to the betrayed husband.	Again, just as at the first moment of hearing of her rupture with her husband, Vronsky, on reading the letter, was unconsciously carried away by the natural sensation aroused in him by his own relation to the betrayed husband.	true	466.04	479.41	23
4145_34497_000027_000001	Now while he held his letter in his hands, he could not help picturing the challenge, which he would most likely find at home today or tomorrow, and the duel itself, in which, with the same cold and haughty expression that his face was assuming at this moment he would await the injured husband's shot, after having himself fired into the air.	Now while he held his letter in his hands, he could not help picturing the challenge, which he would most likely find at home today or tomorrow, and the duel itself, in which, with the same cold and haughty expression that his face was assuming at this moment he would await the injured husband's shot, after having himself fired into the air.	false	479.51	499.06	23.850275
4145_34497_000027_000002	And at that instant there flashed across his mind the thought of what Serpuhovskoy had just said to him, and what he had himself been thinking in the morning--that it was better not to bind himself--and he knew that this thought he could not tell her.	And at that instant there flashed across his mind the thought of what Serpuhovskoy had just said to him, and what he had himself been thinking in the morning-that it was better not to bind himself-and he knew that this thought he could not tell her.	true	499.58	513.13	23.844864
4145_34497_000028_000000	Having read the letter, he raised his eyes to her, and there was no determination in them.	Having read the letter, he raised his eyes to her, and there was no determination in them.	true	513.47	518.41	21.13075
4145_34497_000028_000001	She saw at once that he had been thinking about it before by himself.	She saw at once that he had been thinking about it before by himself.	true	518.75	522.94	26.28117
4145_34497_000028_000002	She knew that whatever he might say to her, he would not say all he thought.	She knew that whatever he might say to her, he would not say all he thought.	true	522.98	527.2	23.178179
4145_34497_000028_000003	And she knew that her last hope had failed her.	And she knew that her last hope had failed her.	true	527.27	529.96	22.26545
4145_34497_000028_000004	This was not what she had been reckoning on.	This was not what she had been reckoning on.	false	530.42	532.93	20.734715
4145_34497_000029_000000	"You see the sort of man he is," she said, with a shaking voice; "he..."	"You see the sort of man he is," she said, with a shaking voice; "he..."	true	533.42	538	22.27153
4145_34497_000030_000000	"Forgive me, but I rejoice at it," Vronsky interrupted.	"Forgive me, but I rejoice at it," Vronsky interrupted.	false	538.73	542.44	25.425854
4145_34497_000030_000001	"For God's sake, let me finish!" he added, his eyes imploring her to give him time to explain his words.	"For God's sake, let me finish!" he added, his eyes imploring her to give him time to explain his words.	true	542.45	548.68	22.957253
4145_34497_000030_000002	"I rejoice, because things cannot, cannot possibly remain as he supposes."	"I rejoice, because things cannot, cannot possibly remain as he supposes."	true	549.32	554.74	25.002686
4145_34497_000031_000000	"Why can't they?" Anna said, restraining her tears, and obviously attaching no sort of consequence to what he said.	"Why can't they?" Anna said, restraining her tears, and obviously attaching no sort of consequence to what he said.	true	555.29	562.215	25.538662
4145_34497_000031_000001	She felt that her fate was sealed.	She felt that her fate was sealed.	true	562.215	564.49	25.52543
4145_34497_000032_000000	Vronsky meant that after the duel--inevitable, he thought--things could not go on as before, but he said something different.	Vronsky meant that after the duel-inevitable, he thought-things could not go on as before, but he said something different.	true	565.46	573.88	26.32951
4145_34497_000033_000000	"It can't go on.	"It can't go on.	true	574.34	575.73	24.082226
4145_34497_000033_000001	I hope that now you will leave him.	I hope that now you will leave him.	true	575.73	577.75	23.157682
4145_34497_000033_000002	I hope"--he was confused, and reddened--"that you will let me arrange and plan our life. Tomorrow..." he was beginning.	I hope"--he was confused, and reddened-"that you will let me arrange and plan our life. Tomorrow..." he was beginning.	true	577.76	585.85	22.467646
4145_34497_000034_000000	She did not let him go on.	She did not let him go on.	true	586.25	587.985	23.177557
4145_34497_000035_000000	"But my child!" she shrieked.	"But my child!" she shrieked.	true	587.985	589.99	22.988972
4145_34497_000035_000001	"You see what he writes!	"You see what he writes!	true	590	591.43	27.391476
4145_34497_000035_000002	I should have to leave him, and I can't and won't do that."	I should have to leave him, and I can't and won't do that."	true	591.62	595.54	24.563507
4145_34497_000036_000000	"But, for God's sake, which is better?--leave your child, or keep up this degrading position?"	"But, for God's sake, which is better?--leave your child, or keep up this degrading position?"	true	595.97	601.81	25.828999
4145_34497_000037_000000	"To whom is it degrading?"	"To whom is it degrading?"	true	602.48	604	22.69765
4145_34497_000038_000000	"To all, and most of all to you."	"To all, and most of all to you."	true	604.22	606.61	24.912386
4145_34497_000039_000000	"You say degrading ... don't say that.	"You say degrading ... don't say that.	true	607.37	609.88	24.796328
4145_34497_000039_000001	Those words have no meaning for me," she said in a shaking voice.	Those words have no meaning for me," she said in a shaking voice.	true	610.04	613.57	23.618286
4145_34497_000039_000002	She did not want him now to say what was untrue.	She did not want him now to say what was untrue.	true	613.88	616.9	24.331137
4145_34497_000039_000003	She had nothing left her but his love, and she wanted to love him.	She had nothing left her but his love, and she wanted to love him.	true	617.15	621.16	25.772709
4145_34497_000039_000004	"Don't you understand that from the day I loved you everything has changed for me?	"Don't you understand that from the day I loved you everything has changed for me?	true	621.8	626.23	22.896456
4145_34497_000039_000005	For me there is one thing, and one thing only--your love.	For me there is one thing, and one thing only-your love.	true	626.6	630.55	24.826265
4145_34497_000039_000006	If that's mine, I feel so exalted, so strong, that nothing can be humiliating to me.	If that's mine, I feel so exalted, so strong, that nothing can be humiliating to me.	true	630.83	637	22.991472
4145_34497_000039_000007	I am proud of my position, because ... proud of being ... proud...." She could not say what she was proud of.	I am proud of my position, because ... proud of being ... proud...." She could not say what she was proud of.	true	637.46	646.75	22.423763
4145_34497_000039_000008	Tears of shame and despair choked her utterance.	Tears of shame and despair choked her utterance.	true	647.03	650.02	26.461287
4145_34497_000039_000009	She stood still and sobbed.	She stood still and sobbed.	false	650.18	652.36	23.070023
4145_34497_000040_000000	He felt, too, something swelling in his throat and twitching in his nose, and for the first time in his life he felt on the point of weeping.	He felt, too, something swelling in his throat and twitching in his nose, and for the first time in his life he felt on the point of weeping.	true	653.06	661.12	23.162033
4145_34497_000040_000001	He could not have said exactly what it was touched him so.	He could not have said exactly what it was touched him so.	true	661.82	664.93	23.096088
4145_34497_000040_000002	He felt sorry for her, and he felt he could not help her, and with that he knew that he was to blame for her wretchedness, and that he had done something wrong.	He felt sorry for her, and he felt he could not help her, and with that he knew that he was to blame for her wretchedness, and that he had done something wrong.	true	665.81	675.31	24.598682
4145_34497_000041_000000	"Is not a divorce possible?" he said feebly.	"Is not a divorce possible?" he said feebly.	true	675.98	679.03	24.628979
4145_34497_000041_000001	She shook her head, not answering.	She shook her head, not answering.	true	679.4	681.67	22.245876
4145_34497_000041_000002	"Couldn't you take your son, and still leave him?"	"Couldn't you take your son, and still leave him?"	true	682.07	684.61	23.043285
4145_34497_000042_000000	"Yes; but it all depends on him.	"Yes; but it all depends on him.	true	684.92	687.3	24.247091
4145_34497_000042_000001	Now I must go to him," she said shortly.	Now I must go to him," she said shortly.	true	687.3	689.8	23.026455
4145_34497_000042_000002	Her presentiment that all would again go on in the old way had not deceived her.	Her presentiment that all would again go on in the old way had not deceived her.	true	690.2	695.14	24.435293
4145_34497_000043_000000	"On Tuesday I shall be in Petersburg, and everything can be settled."	"On Tuesday I shall be in Petersburg, and everything can be settled."	true	695.51	699.07	24.905304
4145_34497_000044_000000	"Yes," she said.	"Yes," she said.	true	699.23	700.69	24.301086
4145_34497_000044_000001	"But don't let us talk any more of it."	"But don't let us talk any more of it."	true	700.79	703.06	27.446684
4145_34497_000045_000000	Anna's carriage, which she had sent away, and ordered to come back to the little gate of the Vrede garden, drove up.	Anna's carriage, which she had sent away, and ordered to come back to the little gate of the v rede garden, drove up.	false	704	710.44	25.205528
4145_34497_000045_000001	Anna said good-bye to Vronsky, and drove home.	Anna said good bye to Vronsky, and drove home.	false	710.93	726.12	23.598742
