5985_300225_000000_000000	Yours very truly, ROWENA WALDEN.	Yours very truly, ROWENA WALDEN.	false	9.12	11.88	28.96777
5985_300225_000016_000003	He felt some dim realization of the tyranny of caste, when he found it not merely pressing upon an inferior people who had no right to expect anything better, but barring his own way to something that he desired.	He felt some dim realization of the tyranny of caste, when he found it not merely pressing upon an inferior people who had no right to expect anything better, but barring his own way to something that he desired.	true	503.66	515.98	22.70977
5985_300225_000016_000004	He meant her no harm--but he must see her.	He meant her no harm-but he must see her.	true	516.65	520.24	22.555252
5985_300225_000016_000005	He could never marry her now--but he must see her.	He could never marry her now-but he must see her.	true	520.49	524.5	19.85459
5985_300225_000016_000006	He was conscious of a certain relief at the thought that he had not asked Blanche Leary to be his wife.	He was conscious of a certain relief at the thought that he had not asked Blanche Leary to be his wife.	true	525.14	530.92	23.55968
5985_300225_000016_000007	His hand was unpledged.	His hand was unpledged.	true	531.38	533.44	19.40917
5985_300225_000016_000008	He could not marry the other girl, of course, but they must meet again.	He could not marry the other girl, of course, but they must meet again.	true	533.69	538.12	21.51393
5985_300225_000016_000009	The rest he would leave to Fate, which seemed reluctant to disentangle threads which it had woven so closely.	The rest he would leave to Fate, which seemed reluctant to disentangle threads which it had woven so closely.	true	538.55	546.34	24.48171
5985_300225_000017_000000	"I think, Plato, that I see an easier way out of the difficulty.	"I think, Plato, that I see an easier way out of the difficulty.	true	547.01	551.59	18.730658
5985_300225_000017_000001	Your teacher, I imagine, merely wants some one to see her safely home. Don't you think, if you should go part of the way, that I might take your place for the rest, while you did my errand?"	Your teacher, I imagine, merely wants some one to see her safely home. Don't you think, if you should go part of the way, that I might take your place for the rest, while you did my errand?"	true	551.87	562.9	23.114708
5985_300225_000018_000000	"Why, sho'ly, Mars Geo'ge, you could take keer er her better 'n I could--better 'n anybody could--co'se you could!"	"Why, sho'ly, Mars Geo'ge, you could take keer er her better 'n I could-better 'n anybody could-co'se you could!"	false	563.6	572.32	22.719055
5985_300225_000019_000000	Mars Geo'ge was white and rich, and could do anything.	Mars Geo'ge was white and rich, and could do anything.	false	572.9	577	24.505283
5985_300225_000019_000001	Plato was proud of the fact that he had once belonged to Mars Geo'ge.	Plato was proud of the fact that he had once belonged to Mars Geo'ge.	false	577.25	582.42	22.120222
5985_300225_000019_000002	He could not conceive of any one so powerful as Mars Geo'ge, unless it might be God, of whom Plato had heard more or less, and even here the comparison might not be quite fair to Mars Geo'ge, for Mars Geo'ge was the younger of the two.	He could not conceive of any one so powerful as Mars Geo'ge, unless it might be God, of whom Plato had heard more or less, and even here the comparison might not be quite fair to Mars Geo'ge, for Mars Geo'ge was the younger of the two.	false	582.42	596.7	20.320288
5985_300225_000019_000003	It would undoubtedly be a great honor for the teacher to be escorted home by Mars Geo'ge.	It would undoubtedly be a great honor for the teacher to be escorted home by Mars Geo'ge.	false	596.7	602.94	19.16678
5985_300225_000019_000004	The teacher was a great woman, no doubt, and looked white; but Mars Geo'ge was the real article.	The teacher was a great woman, no doubt, and looked white; but Mars Geo'ge was the real article.	false	602.94	609.69	20.65113
5985_300225_000019_000005	Mars Geo'ge had never been known to go with a black woman before, and the teacher would doubtless thank Plato for arranging that so great an honor should fall upon her.	Mars Geo'ge had never been known to go with a black woman before, and the teacher would doubtless thank Plato for arranging that so great an honor should fall upon her.	false	609.69	619.23	18.802528
5985_300225_000019_000006	Mars Geo'ge had given him fifty cents twice, and would now give him a dollar.	Mars Geo'ge had given him fifty cents twice, and would now give him a dollar.	false	619.23	624.88	20.179235
5985_300225_000019_000007	Noble Mars Geo'ge!	Noble Mars Geo'ge!	false	624.98	627.18	21.664598
5985_300225_000019_000008	Fortunate teacher!	Fortunate teacher!	true	627.18	628.78	25.223732
5985_300225_000019_000009	Happy Plato!	Happy Plato!	true	628.82	631.06	24.88642
5985_300225_000020_000000	"Very well, Plato.	"Very well, Plato.	true	631.31	632.65	33.18323
5985_300225_000020_000001	I think we can arrange it so that you can kill the two rabbits at one shot.	I think we can arrange it so that you can kill the two rabbits at one shot.	true	632.93	637.36	24.591806
5985_300225_000020_000002	Suppose that we go over the road that she will take to go home."	Suppose that we go over the road that she will take to go home."	true	637.49	641.14	17.768082
5985_300225_000021_000000	They soon arrived at the schoolhouse.	They soon arrived at the schoolhouse.	true	642.26	644.47	14.125204
5985_300225_000021_000001	School had been out an hour, and the clearing was deserted.	School had been out an hour, and the clearing was deserted.	true	644.87	648.73	19.13353
5985_300225_000021_000002	Plato led the way by the road through the woods to a point where, amid somewhat thick underbrush, another path intersected the road they were following.	Plato led the way by the road through the woods to a point where, amid somewhat thick underbrush, another path intersected the road they were following.	true	649.28	657.97	20.461256
5985_300225_000022_000000	"Now, Plato," said Tryon, pausing here, "this would be a good spot for you to leave the teacher and for me to take your place.	"Now, Plato," said Tryon, pausing here, "this would be a good spot for you to leave the teacher and for me to take your place.	true	658.61	666.82	23.28826
5985_300225_000022_000001	This path leads to the main road, and will take you to town very quickly.	This path leads to the main road, and will take you to town very quickly.	true	667.22	671.8	23.928593
5985_300225_000022_000002	I shouldn't say anything to the teacher about it at all; but when you and she get here, drop behind and run along this path until you meet me,--I'll be waiting a few yards down the road,--and then run to town as fast as your legs will carry you.	I shouldn't say anything to the teacher about it at all; but when you and she get here, drop behind and run along this path until you meet me,--I'll be waiting a few yards down the road,--and then run to town as fast as your legs will carry you.	true	672.38	686.86	20.853178
5985_300225_000022_000003	As soon as you are gone, I'll come out and tell the teacher that I've sent you away on an errand, and will myself take your place.	As soon as you are gone, I'll come out and tell the teacher that I've sent you away on an errand, and will myself take your place.	true	687.05	695.08	22.58171
5985_300225_000022_000004	You shall have a dollar, and I'll ask her to let you go home with her the next day.	You shall have a dollar, and I'll ask her to let you go home with her the next day.	true	695.42	699.88	20.783943
5985_300225_000022_000005	But you mustn't say a word about it, Plato, or you won't get the dollar, and I'll not ask the teacher to let you go home with her again."	But you mustn't say a word about it, Plato, or you won't get the dollar, and I'll not ask the teacher to let you go home with her again."	true	700.1	707.65	22.209208
5985_300225_000023_000000	"All right, Mars Geo'ge, I ain't gwine ter say no mo' d'n ef de cat had my tongue."	"All right, Mars Geo'ge, I ain't gwine ter say no mo' d'n e f de cat had my tongue."	false	708.08	713.01	21.919847
5985_300225_000024_000000	XXXI	thirty one	false	713.01	713.28	-20
5985_300225_000025_000000	IN DEEP WATERS	IN DEEP WATERS	false	713.28	713.7	-20
5985_300225_000026_000000	Rena was unusually fatigued at the close of her school on Wednesday afternoon.	Rena was unusually fatigued at the close of her school on Wednesday afternoon.	false	713.7	714.9	100
5985_300225_000026_000001	She had been troubled all day with a headache, which, beginning with a dull pain, had gradually increased in intensity until every nerve was throbbing like a trip-hammer.	She had been troubled all day with a headache, which, beginning with a dull pain, had gradually increased in intensity until every nerve was throbbing like a trip hammer.	false	714.9	715.26	10
5985_300225_000026_000002	The pupils seemed unusually stupid.	The pupils seemed unusually stupid.	false	715.26	715.32	3
5985_300225_000026_000003	A discouraging sense of the insignificance of any part she could perform towards the education of three million people with a school term of two months a year hung over her spirit like a pall.	A discouraging sense of the insignificance of any part she could perform towards the education of three million people with a school term of two months a year hung over her spirit like a pall.	false	715.32	715.77	17
5985_300225_000026_000004	As the object of Wain's attentions, she had begun to feel somewhat like a wild creature who hears the pursuers on its track, and has the fear of capture added to the fatigue of flight.	As the object of Wain's attentions, she had begun to feel somewhat like a wild creature who hears the pursuers on its track, and has the fear of capture added to the fatigue of flight.	false	715.77	716.22	-20
5985_300225_000026_000005	But when this excitement had gone too far and had neared the limit of exhaustion came Tryon's letter, with the resulting surprise and consternation.	But when this excitement had gone too far and had neared the limit of exhaustion came Tryon's letter, with the resulting surprise and consternation.	false	716.22	716.55	-20
5985_300225_000026_000006	Rena had keyed herself up to a heroic pitch to answer it; but when the inevitable reaction came, she was overwhelmed with a sickening sense of her own weakness.	Rena had keyed herself up to a heroic pitch to answer it; but when the inevitable reaction came, she was overwhelmed with a sickening sense of her own weakness.	false	716.55	716.91	28
5985_300225_000026_000007	The things which in another sphere had constituted her strength and shield were now her undoing, and exposed her to dangers from which they lent her no protection.	The things which in another sphere had constituted her strength and shield were now her undoing, and exposed her to dangers from which they lent her no protection.	false	716.91	717.33	-1
5985_300225_000026_000008	Not only was this her position in theory, but the pursuers were already at her heels.	Not only was this her position in theory, but the pursuers were already at her heels.	false	717.33	717.51	-20
5985_300225_000026_000009	As the day wore on, these dark thoughts took on an added gloom, until, when the hour to dismiss school arrived, she felt as though she had not a friend in the world.	As the day wore on, these dark thoughts took on an added gloom, until, when the hour to dismiss school arrived, she felt as though she had not a friend in the world.	false	717.51	718.98	29.398874
5985_300225_000026_000010	This feeling was accentuated by a letter which she had that morning received from her mother, in which Mis' Molly spoke very highly of Wain, and plainly expressed the hope that her daughter might like him so well that she would prefer to remain in Sampson County.	This feeling was accentuated by a letter which she had that morning received from her mother, in which Mis' Molly spoke very highly of Wain, and plainly expressed the hope that her daughter might like him so well that she would prefer to remain in Sampson County.	false	718.98	720.15	27.658657
