606_127691_000000_000000	Chapter 4	Chapter four	false	21.6	24.99	18.30866
606_127691_000004_000003	Rugged torrents and avalanches from the main wind-flood overhead were roaring down the side canyons and over the cliffs, arousing the rocks and the trees and the streams alike into glorious hurrahing enthusiasm, shaking the whole Valley into one huge song.	Rugged torrents and avalanches from the main wind flood overhead were roaring down the side canyons and over the cliffs, arousing the rocks and the trees and the streams alike into glorious hurrahing enthusiasm, shaking the whole Valley into one huge song.	true	247.58	270.34	18.374088
606_127691_000004_000004	Yet inconceivable as it must seem even to those who love all Nature's wildness, the storm was telling its story on the mountains in still grander characters.	Yet inconceivable as it must seem even to those who love all Nature's wildness, the storm was telling its story on the mountains in still grander characters.	true	270.89	282.76	19
606_127691_000005_000000	A Wonderful Winter Scene	A Wonderful Winter Scene	true	284.39	287.11	19.218674
606_127691_000006_000000	I had long been anxious to study some points in the structure of the ice-hill at the foot of the Upper Yosemite Fall, but, as I have already explained, blinding spray had hitherto prevented me from getting sufficiently near it.	I had long been anxious to study some points in the structure of the ice hill at the foot of the Upper Yosemite Fall, but, as I have already explained, blinding spray had hitherto prevented me from getting sufficiently near it.	true	288.68	305.23	19.313643
606_127691_000006_000001	This morning the entire body of the Fall was oftentimes torn into gauzy strips and blown horizontally along the face of the cliff, leaving the ice-hill dry; and while making my way to the top of Fern Ledge to seize so favorable an opportunity to look down its throat, the peaks of the Merced group came in sight over the shoulder of the South Dome, each waving a white glowing banner against the dark blue sky, as regular in form and firm and fine in texture as if it were made of silk.	This morning the entire body of the Fall was oftentimes torn into gauzy strips and blown horizontally along the face of the cliff, leaving the ice hill dry; and while making my way to the top of Fern Ledge to seize so favorable an opportunity to look down its throat, the peaks of the Merced group came in sight over the shoulder of the South Dome, each waving a white glowing banner against the dark blue sky, as regular in form and firm and fine in texture as if it were made of silk.	true	305.66	347.65	19.40452
606_127691_000006_000002	So rare and splendid a picture, of course, smothered everything else and I at once began to scramble and wallow up the snow-choked Indian Canyon to a ridge about 8000 feet high, commanding a general view of the main summits along the axis of the Range, feeling assured I should find them bannered still more gloriously; nor was I in the least disappointed.	So rare and splendid a picture, of course, smothered everything else and I at once began to scramble and wallow up the snow choked Indian Canyon to a ridge about eight thousand feet high, commanding a general view of the main summits along the axis of the Range, feeling assured I should find them bannered still more gloriously; nor was I in the least disappointed.	true	348.14	378.85	19.72479
606_127691_000006_000003	I reached the top of the ridge in four or five hours, and through an opening in the woods the most imposing wind-storm effect I ever beheld came full in sight; unnumbered mountains rising sharply into the cloudless sky, their bases solid white their sides plashed with snow, like ocean rocks with foam, and on every summit a magnificent silvery banner, from two thousand to six thousand feet in length, slender at the point of attachment, and widening gradually until about a thousand or fifteen hundred feet in breadth, and as shapely and as substantial looking in texture as the banners of the finest silk, all streaming and waving free and clear in the sun-glow with nothing to blur the sublime picture they made.	I reached the top of the ridge in four or five hours, and through an opening in the woods the most imposing wind storm effect I ever beheld came full in sight; unnumbered mountains rising sharply into the cloudless sky, their bases solid white their sides plashed with snow, like ocean rocks with foam, and on every summit a magnificent silvery banner, from two thousand to six thousand feet in length, slender at the point of attachment, and widening gradually until about a thousand or fifteen hundred feet in breadth, and as shapely and as substantial looking in texture as the banners of the finest silk, all streaming and waving free and clear in the sun glow with nothing to blur the sublime picture they made.	true	379.37	437.95	18.461582
606_127691_000007_000000	Fancy yourself standing beside me on this Yosemite Ridge.	Fancy yourself standing beside me on this Yosemite Ridge.	true	439.01	444.19	19.14498
606_127691_000007_000001	There is a strange garish glitter in the air and the gale drives wildly overhead, but you feel nothing of its violence, for you are looking out through a sheltered opening in the woods, as through a window.	There is a strange garish glitter in the air and the gale drives wildly overhead, but you feel nothing of its violence, for you are looking out through a sheltered opening in the woods, as through a window.	true	444.71	459.76	17.275694
606_127691_000007_000002	In the immediate foreground there is a forest of silver fir their foliage warm yellow-green, and the snow beneath them strewn with their plumes, plucked off by the storm; and beyond broad, ridgy, canyon-furrowed, dome-dotted middle ground, darkened here and there with belts of pines, you behold the lofty snow laden mountains in glorious array, waving their banners with jubilant enthusiasm as if shouting aloud for joy. They are twenty miles away, but you would not wish them nearer, for every feature is distinct and the whole wonderful show is seen in its right proportions, like a painting on the sky.	In the immediate foreground there is a forest of silver fir their foliage warm yellow green, and the snow beneath them strewn with their plumes, plucked off by the storm; and beyond broad, ridgy, canyon furrowed, dome dotted middle ground, darkened here and there with belts of pines, you behold the lofty snow laden mountains in glorious array, waving their banners with jubilant enthusiasm as if shouting aloud for joy. They are twenty miles away, but you would not wish them nearer, for every feature is distinct and the whole wonderful show is seen in its right proportions, like a painting on the sky.	false	460.28	513.91	19.481302
606_127691_000008_000000	And now after this general view, mark how sharply the ribs and buttresses and summits of the mountains are defined, excepting the portions veiled by the banners; how gracefully and nobly the banners are waving in accord with the throbbing of the wind flood; how trimly each is attached to the very summit of its peak like a streamer at a mast-head; how bright and glowing white they are, and how finely their fading fringes are penciled on the sky!	And now after this general view, mark how sharply the ribs and buttresses and summits of the mountains are defined, excepting the portions veiled by the banners; how gracefully and nobly the banners are waving in accord with the throbbing of the wind flood; how trimly each is attached to the very summit of its peak like a streamer at a mast head; how bright and glowing white they are, and how finely their fading fringes are penciled on the sky!	true	515.42	551.14	18.307013
606_127691_000008_000001	See how solid white and opaque they are at the point of attachment and how filmy and translucent toward the end, so that the parts of the peaks past which they are streaming look dim as if seen through a veil of ground glass.	See how solid white and opaque they are at the point of attachment and how filmy and translucent toward the end, so that the parts of the peaks past which they are streaming look dim as if seen through a veil of ground glass.	true	551.96	569.95	18.82315
606_127691_000008_000002	And see how some of the longest of the banners on the highest peaks are streaming perfectly free from peak to peak across intervening notches or passes, while others overlap and partly hide one another.	And see how some of the longest of the banners on the highest peaks are streaming perfectly free from peak to peak across intervening notches or passes, while others overlap and partly hide one another.	true	570.44	586.42	17.850836
606_127691_000009_000000	As to their formation, we find that the main causes of the wondrous beauty and perfection of those we are looking at are the favorable direction and force of the wind, the abundance of snow-dust, and the form of the north sides of the peaks.	As to their formation, we find that the main causes of the wondrous beauty and perfection of those we are looking at are the favorable direction and force of the wind, the abundance of snow dust, and the form of the north sides of the peaks.	true	587.48	604.84	19.644678
606_127691_000009_000001	In general, the north sides are concave in both their horizontal and vertical sections, having been sculptured into this shape by the residual glaciers that lingered in the protecting northern shadows, while the sun-beaten south sides, having never been subjected to this kind of glaciation, are convex or irregular.	In general, the north sides are concave in both their horizontal and vertical sections, having been sculptured into this shape by the residual glaciers that lingered in the protecting northern shadows, while the sun beaten south sides, having never been subjected to this kind of glaciation, are convex or irregular.	true	605.9	630.88	17.91921
606_127691_000009_000002	It is essential, therefore, not only that the wind should move with great velocity and steadiness to supply a sufficiently copious and continuous stream of snow-dust, but that it should come from the north.	It is essential, therefore, not only that the wind should move with great velocity and steadiness to supply a sufficiently copious and continuous stream of snow dust, but that it should come from the north.	true	631.28	646.09	18.629221
606_127691_000009_000003	No perfect banner is ever hung on the Sierra peaks by the south wind.	No perfect banner is ever hung on the Sierra peaks by the south wind.	true	646.46	651.97	16
606_127691_000009_000004	Had the gale today blown from the south, leaving the other conditions unchanged, only swirling, interfering, cloudy drifts would have been produced; for the snow, instead of being spouted straight up and over the tops of the peaks in condensed currents to be drawn out as streamers, would have been driven over the convex southern slopes from peak to peak like white pearly fog.	Had the gale today blown from the south, leaving the other conditions unchanged, only swirling, interfering, cloudy drifts would have been produced; for the snow, instead of being spouted straight up and over the tops of the peaks in condensed currents to be drawn out as streamers, would have been driven over the convex southern slopes from peak to peak like white pearly fog.	true	652.61	683.56	19.148766
606_127691_000010_000000	It appears, therefore, that shadows in great part determine not only the forms of lofty ice mountains, but also those of the snow banners that the wild winds hang upon them.	It appears, therefore, that shadows in great part determine not only the forms of lofty ice mountains, but also those of the snow banners that the wild winds hang upon them.	true	684.47	699.96	17.675926
606_127691_000011_000000	Earthquake Storms	Earthquake Storms	false	699.96	700.74	-20
606_127691_000012_000000	The avalanche taluses, leaning against the walls at intervals of a mile or two, are among the most striking and interesting of the secondary features of the Valley.	The avalanche taluses, leaning against the walls at intervals of a mile or two, are among the most striking and interesting of the secondary features of the Valley.	false	700.74	704.64	15.9849825
606_127691_000012_000001	They are from about three to five hundred feet high, made up of huge, angular, well-preserved, unshifting boulders, and instead of being slowly weathered from the cliffs like ordinary taluses, they were all formed suddenly and simultaneously by a great earthquake that occurred at least three centuries ago.	They are from about three to five hundred feet high, made up of huge, angular, well preserved, unshifting boulders, and instead of being slowly weathered from the cliffs like ordinary taluses, they were all formed suddenly and simultaneously by a great earthquake that occurred at least three centuries ago.	false	704.64	705.24	7
606_127691_000012_000002	And though thus hurled into existence in a few seconds or minutes, they are the least changeable of all the Sierra soil-beds.	And though thus hurled into existence in a few seconds or minutes, they are the least changeable of all the Sierra soil beds.	false	705.24	705.51	2
606_127691_000012_000003	Excepting those which were launched directly into the channels of swift rivers, scarcely one of their wedged and interlacing boulders has moved since the day of their creation; and though mostly made up of huge blocks of granite, many of them from ten to fifty feet cube, weighing thousands of tons with only a few small chips, trees and shrubs make out to live and thrive on them and even delicate herbaceous plants--draperia, collomia, zauschneria, etc., soothing and coloring their wild rugged slopes with gardens and groves.	Excepting those which were launched directly into the channels of swift rivers, scarcely one of their wedged and interlacing boulders has moved since the day of their creation; and though mostly made up of huge blocks of granite, many of them from ten to fifty feet cube, weighing thousands of tons with only a few small chips, trees and shrubs make out to live and thrive on them and even delicate herbaceous plants-draperia, collomia, zauschneria, etc, soothing and coloring their wild rugged slopes with gardens and groves.	false	705.51	710.64	12.137927
