3835_178029_000000_000000	CHAPTER III	CHAPTER three	false	3.15	9	23.819532
3835_178029_000011_000000	The Emperor listened in silence, not looking at Michaud.	The Emperor listened in silence, not looking at Michaud.	true	97.61	100.57	21.714027
3835_178029_000012_000000	"Has the enemy entered the city?" he asked.	"Has the enemy entered the city?" he asked.	true	101.18	103.57	22.109003
3835_178029_000013_000000	"Yes, sire, and Moscow is now in ashes.	"Yes, sire, and Moscow is now in ashes.	true	103.76	106.63	20.486233
3835_178029_000013_000001	I left it all in flames," replied Michaud in a decided tone, but glancing at the Emperor he was frightened by what he had done.	I left it all in flames," replied Michaud in a decided tone, but glancing at the Emperor he was frightened by what he had done.	true	106.76	113.83	26.298641
3835_178029_000014_000000	The Emperor began to breathe heavily and rapidly, his lower lip trembled, and tears instantly appeared in his fine blue eyes.	The Emperor began to breathe heavily and rapidly, his lower lip trembled, and tears instantly appeared in his fine blue eyes.	true	114.41	122.02	21.952356
3835_178029_000015_000000	But this lasted only a moment.	But this lasted only a moment.	true	122.3	124.29	18.50942
3835_178029_000015_000001	He suddenly frowned, as if blaming himself for his weakness, and raising his head addressed Michaud in a firm voice:	He suddenly frowned, as if blaming himself for his weakness, and raising his head addressed Michaud in a firm voice:	true	124.29	130.93	24.780073
3835_178029_000016_000000	"I see, Colonel, from all that is happening, that Providence requires great sacrifices of us...	"I see, Colonel, from all that is happening, that Providence requires great sacrifices of us...	true	131.39	136.81	23.731432
3835_178029_000016_000001	I am ready to submit myself in all things to His will; but tell me, Michaud, how did you leave the army when it saw my ancient capital abandoned without a battle?	I am ready to submit myself in all things to His will; but tell me, Michaud, how did you leave the army when it saw my ancient capital abandoned without a battle?	false	136.97	145.84	20.591963
3835_178029_000016_000002	Did you not notice discouragement?..."	Did you not notice discouragement?..."	true	146.06	148.24	33.156242
3835_178029_000017_000000	Seeing that his most gracious ruler was calm once more, Michaud also grew calm, but was not immediately ready to reply to the Emperor's direct and relevant question which required a direct answer.	Seeing that his most gracious ruler was calm once more, Michaud also grew calm, but was not immediately ready to reply to the Emperor's direct and relevant question which required a direct answer.	false	148.64	158.23	22
3835_178029_000018_000000	"Sire, will you allow me to speak frankly as befits a loyal soldier?" he asked to gain time.	"Sire, will you allow me to speak frankly as befits a loyal soldier?" he asked to gain time.	false	158.75	164.38	24.109436
3835_178029_000019_000000	"Colonel, I always require it," replied the Emperor.	"Colonel, I always require it," replied the Emperor.	true	164.42	167.34	24.483046
3835_178029_000019_000001	"Conceal nothing from me, I wish to know absolutely how things are."	"Conceal nothing from me, I wish to know absolutely how things are."	true	167.34	171.19	24.328106
3835_178029_000020_000000	"Sire!" said Michaud with a subtle, scarcely perceptible smile on his lips, having now prepared a well-phrased reply, "sire, I left the whole army, from its chiefs to the lowest soldier, without exception in desperate and agonized terror..."	"Sire!" said Michaud with a subtle, scarcely perceptible smile on his lips, having now prepared a well phrased reply, "sire, I left the whole army, from its chiefs to the lowest soldier, without exception in desperate and agonized terror..."	false	171.35	186.28	24.73902
3835_178029_000021_000000	"How is that?" the Emperor interrupted him, frowning sternly.	"How is that?" the Emperor interrupted him, frowning sternly.	true	186.29	189.31	22.923916
3835_178029_000021_000001	"Would misfortune make my Russians lose heart?...	"Would misfortune make my Russians lose heart?...	true	189.68	192.495	23.365303
3835_178029_000021_000002	Never!"	Never!"	true	192.495	193.36	22.532507
3835_178029_000022_000000	Michaud had only waited for this to bring out the phrase he had prepared.	Michaud had only waited for this to bring out the phrase he had prepared.	true	193.49	197.07	23.78996
3835_178029_000023_000000	"Sire," he said, with respectful playfulness, "they are only afraid lest Your Majesty, in the goodness of your heart, should allow yourself to be persuaded to make peace.	"Sire," he said, with respectful playfulness, "they are only afraid lest Your Majesty, in the goodness of your heart, should allow yourself to be persuaded to make peace.	true	197.07	206.56	24.68354
3835_178029_000023_000001	They are burning for the combat," declared this representative of the Russian nation, "and to prove to Your Majesty by the sacrifice of their lives how devoted they are...."	They are burning for the combat," declared this representative of the Russian nation, "and to prove to Your Majesty by the sacrifice of their lives how devoted they are...."	false	206.78	215.595	24
3835_178029_000024_000000	"Ah!" said the Emperor reassured, and with a kindly gleam in his eyes, he patted Michaud on the shoulder.	"Ah!" said the Emperor reassured, and with a kindly gleam in his eyes, he patted Michaud on the shoulder.	true	215.595	221.65	18.748611
3835_178029_000024_000001	"You set me at ease, Colonel."	"You set me at ease, Colonel."	true	221.72	223.12	25.772667
3835_178029_000025_000000	He bent his head and was silent for some time.	He bent his head and was silent for some time.	true	223.7	226.21	24.39176
3835_178029_000026_000000	"Well, then, go back to the army," he said, drawing himself up to his full height and addressing Michaud with a gracious and majestic gesture, "and tell our brave men and all my good subjects wherever you go that when I have not a soldier left I shall put myself at the head of my beloved nobility and my good peasants and so use the last resources of my empire.	"Well, then, go back to the army," he said, drawing himself up to his full height and addressing Michaud with a gracious and majestic gesture, "and tell our brave men and all my good subjects wherever you go that when I have not a soldier left I shall put myself at the head of my beloved nobility and my good peasants and so use the last resources of my empire.	true	226.55	247.84	23.691679
3835_178029_000026_000001	It still offers me more than my enemies suppose," said the Emperor growing more and more animated; "but should it ever be ordained by Divine Providence," he continued, raising to heaven his fine eyes shining with emotion, "that my dynasty should cease to reign on the throne of my ancestors, then after exhausting all the means at my command, I shall let my beard grow to here" (he pointed halfway down his chest) "and go and eat potatoes with the meanest of my peasants, rather than sign the disgrace of my country and of my beloved people whose sacrifices I know how to appreciate."	It still offers me more than my enemies suppose," said the Emperor growing more and more animated; "but should it ever be ordained by Divine Providence," he continued, raising to heaven his fine eyes shining with emotion, "that my dynasty should cease to reign on the throne of my ancestors, then after exhausting all the means at my command, I shall let my beard grow to here" (he pointed halfway down his chest) "and go and eat potatoes with the meanest of my peasants, rather than sign the disgrace of my country and of my beloved people whose sacrifices I know how to appreciate."	true	248.24	282.91	21
3835_178029_000027_000000	Having uttered these words in an agitated voice the Emperor suddenly turned away as if to hide from Michaud the tears that rose to his eyes, and went to the further end of his study.	Having uttered these words in an agitated voice the Emperor suddenly turned away as if to hide from Michaud the tears that rose to his eyes, and went to the further end of his study.	false	283.25	292.54	21
3835_178029_000027_000001	Having stood there a few moments, he strode back to Michaud and pressed his arm below the elbow with a vigorous movement.	Having stood there a few moments, he strode back to Michaud and pressed his arm below the elbow with a vigorous movement.	false	292.76	298.87	22.736832
3835_178029_000027_000002	The Emperor's mild and handsome face was flushed and his eyes gleamed with resolution and anger.	The Emperor's mild and handsome face was flushed and his eyes gleamed with resolution and anger.	true	298.88	304.24	21.750599
3835_178029_000028_000000	"Colonel Michaud, do not forget what I say to you here, perhaps we may recall it with pleasure someday... Napoleon or I," said the Emperor, touching his breast.	"Colonel Michaud, do not forget what I say to you here, perhaps we may recall it with pleasure someday... Napoleon or I," said the Emperor, touching his breast.	false	304.43	314.41	25.324993
3835_178029_000028_000001	"We can no longer both reign together.	"We can no longer both reign together.	true	314.69	317.07	25.176456
3835_178029_000028_000002	I have learned to know him, and he will not deceive me any more...."	I have learned to know him, and he will not deceive me any more...."	true	317.07	321.16	22.181955
3835_178029_000029_000000	And the Emperor paused, with a frown.	And the Emperor paused, with a frown.	true	321.32	323.35	26.369223
3835_178029_000030_000000	When he heard these words and saw the expression of firm resolution in the Emperor's eyes, Michaud--quoique etranger, russe de coeur et d'ame-- at that solemn moment felt himself enraptured by all that he had heard (as he used afterwards to say), and gave expression to his own feelings and those of the Russian people whose representative he considered himself to be, in the following words:	When he heard these words and saw the expression of firm resolution in the Emperor's eyes, Michaud-quoique etranger, russe de coeur et d'ame- at that solemn moment felt himself enraptured by all that he had heard (as he used afterwards to say), and gave expression to his own feelings and those of the Russian people whose representative he considered himself to be, in the following words:	false	323.63	344.88	23.507793
3835_178029_000031_000000	"Sire!" said he, "Your Majesty is at this moment signing the glory of the nation and the salvation of Europe!"	"Sire!" said he, "Your Majesty is at this moment signing the glory of the nation and the salvation of Europe!"	true	344.88	352.02	20.637981
3835_178029_000032_000000	With an inclination of the head the Emperor dismissed him.	With an inclination of the head the Emperor dismissed him.	true	352.02	355.23	23.376326
3835_178029_000033_000000	CHAPTER IV	CHAPTER four	false	355.23	355.26	-20
3835_178029_000034_000000	It is natural for us who were not living in those days to imagine that when half Russia had been conquered and the inhabitants were fleeing to distant provinces, and one levy after another was being raised for the defense of the fatherland, all Russians from the greatest to the least were solely engaged in sacrificing themselves, saving their fatherland, or weeping over its downfall.	It is natural for us who were not living in those days to imagine that when half Russia had been conquered and the inhabitants were fleeing to distant provinces, and one levy after another was being raised for the defense of the fatherland, all Russians from the greatest to the least were solely engaged in sacrificing themselves, saving their fatherland, or weeping over its downfall.	false	355.26	357.93	26.48153
3835_178029_000034_000001	The tales and descriptions of that time without exception speak only of the self-sacrifice, patriotic devotion, despair, grief, and the heroism of the Russians.	The tales and descriptions of that time without exception speak only of the self sacrifice, patriotic devotion, despair, grief, and the heroism of the Russians.	false	357.93	357.93	
3835_178029_000034_000002	But it was not really so.	But it was not really so.	false	357.93	357.93	
3835_178029_000034_000003	It appears so to us because we see only the general historic interest of that time and do not see all the personal human interests that people had.	It appears so to us because we see only the general historic interest of that time and do not see all the personal human interests that people had.	false	357.93	357.93	
3835_178029_000034_000004	Yet in reality those personal interests of the moment so much transcend the general interests that they always prevent the public interest from being felt or even noticed.	Yet in reality those personal interests of the moment so much transcend the general interests that they always prevent the public interest from being felt or even noticed.	false	357.93	357.93	
3835_178029_000034_000005	Most of the people at that time paid no attention to the general progress of events but were guided only by their private interests, and they were the very people whose activities at that period were most useful.	Most of the people at that time paid no attention to the general progress of events but were guided only by their private interests, and they were the very people whose activities at that period were most useful.	false	357.93	359.82	31.428638
