6294_86679_000000_000000	Conall Yellowclaw	Conall Yellowclaw
6294_86679_000007_000000	"If you will do me a kindness, and will put me in a way to get him, for certain I will pay ye for it."	"If you will do me a kindness, and will put me in a way to get him, for certain I will pay ye for it."
6294_86679_000008_000000	"The thing is silly that you are come to seek," said the miller; "for the king has laid his mind on him so greatly that you will not get him in any way unless you steal him; but if you can make out a way, I will keep it secret."	"The thing is silly that you are come to seek," said the miller; "for the king has laid his mind on him so greatly that you will not get him in any way unless you steal him; but if you can make out a way, I will keep it secret."
6294_86679_000009_000000	"This is what I am thinking," said Conall, "since you are working every day for the king, you and your gillies could put myself and my sons into four sacks of bran."	"This is what I am thinking," said Conall, "since you are working every day for the king, you and your gillies could put myself and my sons into four sacks of bran."
6294_86679_000010_000000	"The plan that has come into your head is not bad," said the miller.	"The plan that has come into your head is not bad," said the miller.
6294_86679_000011_000001	The king's gillies came to seek the bran, and they took the four sacks with them, and they emptied them before the horses.	The king's gillies came to seek the bran, and they took the four sacks with them, and they emptied them before the horses.
6294_86679_000011_000002	The servants locked the door, and they went away.	The servants locked the door, and they went away.
6294_86679_000012_000000	When they rose to lay hand on the brown horse, said Conall, "You shall not do that.	When they rose to lay hand on the brown horse, said Conall, "You shall not do that.
6294_86679_000012_000004	"It must be my brown horse," said he to his gillies; "find out what is wrong with him."	"It must be my brown horse," said he to his gillies; "find out what is wrong with him."
6294_86679_000013_000000	The servants went out, and when Conall and his sons saw them coming they went into the hiding holes.	The servants went out, and when Conall and his sons saw them coming they went into the hiding holes.
6294_86679_000013_000001	The servants looked amongst the horses, and they did not find anything wrong; and they returned and they told this to the king, and the king said to them that if nothing was wrong they should go to their places of rest.	The servants looked amongst the horses, and they did not find anything wrong; and they returned and they told this to the king, and the king said to them that if nothing was wrong they should go to their places of rest.
6294_86679_000013_000002	When the gillies had time to be gone, Conall and his sons laid their hands again on the horse.	When the gillies had time to be gone, Conall and his sons laid their hands again on the horse.
6294_86679_000013_000003	If the noise was great that he made before, the noise that he made now was seven times greater.	If the noise was great that he made before, the noise that he made now was seven times greater.
6294_86679_000013_000004	The king sent a message for his gillies again, and said for certain there was something troubling the brown horse.	The king sent a message for his gillies again, and said for certain there was something troubling the brown horse.
6294_86679_000013_000006	The servants rummaged well, and did not find a thing.	The servants rummaged well, and did not find a thing.
6294_86679_000015_000000	When Conall and his sons perceived that the gillies were gone, they laid hands again on the horse, and one of them caught him; and if the noise that the horse made on the two former times was great, he made more this time.	When Conall and his sons perceived that the gillies were gone, they laid hands again on the horse, and one of them caught him; and if the noise that the horse made on the two former times was great, he made more this time.
6294_86679_000016_000000	"Be this from me," said the king; "it must be that some one is troubling my brown horse." He sounded the bell hastily, and when his waiting-man came to him, he said to him to let the stable gillies know that something was wrong with the horse.	"Be this from me," said the king; "it must be that some one is troubling my brown horse." He sounded the bell hastily, and when his waiting man came to him, he said to him to let the stable gillies know that something was wrong with the horse.
6294_86679_000016_000001	The gillies came, and the king went with them.	The gillies came, and the king went with them.
6294_86679_000016_000002	When Conall and his sons perceived the company coming they went to the hiding holes.	When Conall and his sons perceived the company coming they went to the hiding holes.
6294_86679_000018_000000	"Be wary," said the king, "there are men within the stable, let us get at them somehow."	"Be wary," said the king, "there are men within the stable, let us get at them somehow."
6294_86679_000019_000000	The king followed the tracks of the men, and he found them.	The king followed the tracks of the men, and he found them.
6294_86679_000020_000001	I am under thy pardon, and under thine honour, and under thy grace." He told how it happened to him, and that he had to get the brown horse for the king of Erin, or that his sons were to be put to death.	I am under thy pardon, and under thine honour, and under thy grace." He told how it happened to him, and that he had to get the brown horse for the king of Erin, or that his sons were to be put to death.
6294_86679_000021_000000	"Yes, Conall, it is well enough, but come in," said the king.	"Yes, Conall, it is well enough, but come in," said the king.
6294_86679_000021_000002	And a double watch was set that night on the sons of Conall.	And a double watch was set that night on the sons of Conall.
6294_86679_000022_000000	"Now, O Conall," said the king, "were you ever in a harder place than to be seeing your lot of sons hanged to-morrow?	"Now, O Conall," said the king, "were you ever in a harder place than to be seeing your lot of sons hanged to morrow?
6294_86679_000022_000001	But you set it to my goodness and to my grace, and say that it was necessity brought it on you, so I must not hang you.	But you set it to my goodness and to my grace, and say that it was necessity brought it on you, so I must not hang you.
6294_86679_000022_000002	Tell me any case in which you were as hard as this, and if you tell that, you shall get the soul of your youngest son."	Tell me any case in which you were as hard as this, and if you tell that, you shall get the soul of your youngest son."
6294_86679_000023_000000	"I will tell a case as hard in which I was," said Conall.	"I will tell a case as hard in which I was," said Conall.
6294_86679_000023_000001	"I was once a young lad, and my father had much land, and he had parks of year-old cows, and one of them had just calved, and my father told me to bring her home.	"I was once a young lad, and my father had much land, and he had parks of year old cows, and one of them had just calved, and my father told me to bring her home.
6294_86679_000023_000002	I found the cow, and took her with us.	I found the cow, and took her with us.
6294_86679_000023_000003	There fell a shower of snow.	There fell a shower of snow.
6294_86679_000023_000005	Who should come in but one cat and ten, and one great one-eyed fox-coloured cat as head bard over them.	Who should come in but one cat and ten, and one great one eyed fox coloured cat as head bard over them.
6294_86679_000023_000008	'Play up with you, why should you be silent?	'Play up with you, why should you be silent?
6294_86679_000023_000009	Make a cronan to Conall Yellowclaw,' said the head bard.	Make a cronan to Conall Yellowclaw,' said the head bard.
6294_86679_000023_000011	'Pay them now their reward,' said the great fox-coloured cat.	'Pay them now their reward,' said the great fox coloured cat.
6294_86679_000023_000012	'I am tired myself of yourselves and your rewards,' said I. 'I have no reward for you unless you take that cow down there.' They betook themselves to the cow, and indeed she did not last them long.	'I am tired myself of yourselves and your rewards,' said i 'I have no reward for you unless you take that cow down there.' They betook themselves to the cow, and indeed she did not last them long.
6294_86679_000025_000001	Go up and sing a cronan to Conall Yellowclaw,' said the head bard.	Go up and sing a cronan to Conall Yellowclaw,' said the head bard.
6294_86679_000025_000002	And surely, O king, I had no care for them or for their cronan, for I began to see that they were not good comrades.	And surely, O king, I had no care for them or for their cronan, for I began to see that they were not good comrades.
6294_86679_000025_000004	'Pay now their reward,' said the head bard; and for sure, O king, I had no reward for them; and I said to them, 'I have no reward for you.' And surely, O king, there was a catterwauling between them.	'Pay now their reward,' said the head bard; and for sure, O king, I had no reward for them; and I said to them, 'I have no reward for you.' And surely, O king, there was a catterwauling between them.
6294_86679_000025_000008	The cats began to search for me through the wood, and they could not find me; and when they were tired, each one said to the other that they would turn back.	The cats began to search for me through the wood, and they could not find me; and when they were tired, each one said to the other that they would turn back.
6294_86679_000025_000012	'Certainly,' said the priest, 'it is a man in extremity--let us move.' They set themselves in order for moving.	'Certainly,' said the priest, 'it is a man in extremity-let us move.' They set themselves in order for moving.
6294_86679_000025_000014	Then I gave the third shout.	Then I gave the third shout.
6294_86679_000025_000016	And then I came home.	And then I came home.
6294_86679_000026_000001	Conall," said the king, "you are full of words.	Conall," said the king, "you are full of words.
6294_86679_000026_000002	You have freed the soul of your son with your tale; and if you tell me a harder case than that you will get your second youngest son, and then you will have two sons."	You have freed the soul of your son with your tale; and if you tell me a harder case than that you will get your second youngest son, and then you will have two sons."
6294_86679_000027_000000	"Well then," said Conall, "on condition that thou dost that, I will tell thee how I was once in a harder case than to be in thy power in prison to-night."	"Well then," said Conall, "on condition that thou dost that, I will tell thee how I was once in a harder case than to be in thy power in prison to night."
6294_86679_000028_000000	"Let's hear," said the king.	"Let's hear," said the king.
6294_86679_000029_000006	I heard a great clattering, coming, and what was there but a great giant and two dozen of goats with him, and a buck at their head.	I heard a great clattering, coming, and what was there but a great giant and two dozen of goats with him, and a buck at their head.
6294_86679_000029_000009	I am a good leech, and I will give you the sight of the other eye.' The giant went and he drew the great caldron on the site of the fire.	I am a good leech, and I will give you the sight of the other eye.' The giant went and he drew the great caldron on the site of the fire.
6294_86679_000029_000010	I myself was telling him how he should heat the water, so that I should give its sight to the other eye.	I myself was telling him how he should heat the water, so that I should give its sight to the other eye.
6294_86679_000029_000011	I got heather and I made a rubber of it, and I set him upright in the caldron.	I got heather and I made a rubber of it, and I set him upright in the caldron.
6294_86679_000029_000012	I began at the eye that was well, pretending to him that I would give its sight to the other one, till I left them as bad as each other; and surely it was easier to spoil the one that was well than to give sight to the other.	I began at the eye that was well, pretending to him that I would give its sight to the other one, till I left them as bad as each other; and surely it was easier to spoil the one that was well than to give sight to the other.
6294_86679_000032_000000	"When he felt the birds calling in the morning, and knew that the day was, he said--'Art thou sleeping?	"When he felt the birds calling in the morning, and knew that the day was, he said-'Art thou sleeping?
6294_86679_000032_000001	Awake and let out my lot of goats.' I killed the buck.	Awake and let out my lot of goats.' I killed the buck.
6294_86679_000033_000001	Then I went and I put my legs in place of his legs, and my hands in place of his forelegs, and my head in place of his head, and the horns on top of my head, so that the brute might think that it was the buck.	Then I went and I put my legs in place of his legs, and my hands in place of his forelegs, and my head in place of his head, and the horns on top of my head, so that the brute might think that it was the buck.
6294_86679_000033_000002	I went out.	I went out.
6294_86679_000034_000000	"'Aha!' said he, 'hast thou done this to me?	"'Aha!' said he, 'hast thou done this to me?
6294_86679_000035_000002	I drew a dirk.	I drew a dirk.
6294_86679_000035_000004	He shouted, 'Where art thou, ring?' And the ring said, 'I am here,' though it was on the bed of the ocean.	He shouted, 'Where art thou, ring?' And the ring said, 'I am here,' though it was on the bed of the ocean.
6294_86679_000035_000005	He gave a spring after the ring, and out he went in the sea.	He gave a spring after the ring, and out he went in the sea.
6294_86679_000036_000000	"When the giant was drowned I went in, and I took with me all he had of gold and silver, and I went home, and surely great joy was on my people when I arrived.	"When the giant was drowned I went in, and I took with me all he had of gold and silver, and I went home, and surely great joy was on my people when I arrived.
6294_86679_000037_000000	"Yes, indeed, Conall, you are wordy and wise," said the king.	"Yes, indeed, Conall, you are wordy and wise," said the king.
6294_86679_000037_000001	"I see the finger is off you.	"I see the finger is off you.
6294_86679_000038_000001	I went to hunt.	I went to hunt.
6294_86679_000038_000003	I looked myself on the boat to see how I might get part of them.	I looked myself on the boat to see how I might get part of them.
6294_86679_000038_000005	I did not know now what I should do.	I did not know now what I should do.
6294_86679_000038_000006	The place was without meat or clothing, without the appearance of a house on it.	The place was without meat or clothing, without the appearance of a house on it.
6294_86679_000038_000009	She tried to put the knife to the throat of the babe, and the babe began to laugh in her face, and she began to cry, and she threw the knife behind her.	She tried to put the knife to the throat of the babe, and the babe began to laugh in her face, and she began to cry, and she threw the knife behind her.
6294_86679_000038_000010	I thought to myself that I was near my foe and far from my friends, and I called to the woman, 'What are you doing here?' And she said to me 'What brought you here?' I told her myself word upon word how I came.	I thought to myself that I was near my foe and far from my friends, and I called to the woman, 'What are you doing here?' And she said to me 'What brought you here?' I told her myself word upon word how I came.
6294_86679_000038_000011	'Well, then,' said she, 'it was so I came also.' She showed me to the place where I should come in where she was.	'Well, then,' said she, 'it was so I came also.' She showed me to the place where I should come in where she was.
6294_86679_000038_000012	I went in, and I said to her, 'What was the matter that you were putting the knife on the neck of the child?' 'It is that he must be cooked for the giant who is here, or else no more of my world will be before me.' Just then we could be hearing the footsteps of the giant, 'What shall I do?	I went in, and I said to her, 'What was the matter that you were putting the knife on the neck of the child?' 'It is that he must be cooked for the giant who is here, or else no more of my world will be before me.' Just then we could be hearing the footsteps of the giant, 'What shall I do?
6294_86679_000038_000013	what shall I do?' cried the woman.	what shall I do?' cried the woman.
6294_86679_000038_000014	I went to the caldron, and by luck it was not hot, so in it I got just as the brute came in.	I went to the caldron, and by luck it was not hot, so in it I got just as the brute came in.
6294_86679_000039_000001	As fortune favoured me, the brute slept beside the caldron.	As fortune favoured me, the brute slept beside the caldron.
6294_86679_000039_000002	There I was scalded by the bottom of the caldron.	There I was scalded by the bottom of the caldron.
6294_86679_000039_000003	When she perceived that he was asleep, she set her mouth quietly to the hole that was in the lid, and she said to me 'was I alive?' I said I was.	When she perceived that he was asleep, she set her mouth quietly to the hole that was in the lid, and she said to me 'was I alive?' I said I was.
6294_86679_000039_000005	When I got out of the caldron I knew not what to do; and she said to me that there was no weapon that would kill him but his own weapon.	When I got out of the caldron I knew not what to do; and she said to me that there was no weapon that would kill him but his own weapon.
6294_86679_000039_000007	But with every ill that befell me I got the spear loosed from him.	But with every ill that befell me I got the spear loosed from him.
6294_86679_000039_000009	And it was fearful to look on the brute, who had but one eye in the midst of his face; and it was not agreeable for the like of me to attack him.	And it was fearful to look on the brute, who had but one eye in the midst of his face; and it was not agreeable for the like of me to attack him.
6294_86679_000039_000012	And he fell cold dead where he was; and you may be sure, O king, that joy was on me.	And he fell cold dead where he was; and you may be sure, O king, that joy was on me.
6294_86679_000040_000000	The king of Lochlann's mother was putting on a fire at this time, and listening to Conall telling the tale about the child.	The king of Lochlann's mother was putting on a fire at this time, and listening to Conall telling the tale about the child.
6294_86679_000041_000000	"Is it you," said she, "that were there?"	"Is it you," said she, "that were there?"
6294_86679_000044_000000	The king said, "O Conall, you came through great hardships.	The king said, "O Conall, you came through great hardships.
6294_86679_000045_000000	They lay down that night, and if it was early that Conall rose, it was earlier than that that the queen was on foot making ready.	They lay down that night, and if it was early that Conall rose, it was earlier than that that the queen was on foot making ready.
6294_86679_000045_000001	He got the brown horse and his sack full of gold and silver and stones of great price, and then Conall and his three sons went away, and they returned home to the Erin realm of gladness.	He got the brown horse and his sack full of gold and silver and stones of great price, and then Conall and his three sons went away, and they returned home to the Erin realm of gladness.
6294_86679_000045_000002	He left the gold and silver in his house, and he went with the horse to the king.	He left the gold and silver in his house, and he went with the horse to the king.
6294_86679_000045_000003	They were good friends evermore.	They were good friends evermore.
