6294_86679_000000_000000	Conall Yellowclaw	Conall Yellowclaw	true	23.88	25.78	21.665504
6294_86679_000029_000007	And when the giant had tied the goats, he came up and he said to me, 'Hao O! Conall, it's long since my knife has been rusting in my pouch waiting for thy tender flesh.' 'Och!' said I, 'it's not much you will be bettered by me, though you should tear me asunder; I will make but one meal for you.	And when the giant had tied the goats, he came up and he said to me, 'Hao O! Conall, it's long since my knife has been rusting in my pouch waiting for thy tender flesh.' 'Och!' said I, 'it's not much you will be bettered by me, though you should tear me asunder; I will make but one meal for you.	false	722.96	742.21	23.248291
6294_86679_000029_000008	But I see that you are one-eyed.	But I see that you are one eyed.	false	742.52	744.67	17.150793
6294_86679_000029_000009	I am a good leech, and I will give you the sight of the other eye.' The giant went and he drew the great caldron on the site of the fire.	I am a good leech, and I will give you the sight of the other eye.' The giant went and he drew the great caldron on the site of the fire.	true	744.77	752.41	20.65228
6294_86679_000029_000010	I myself was telling him how he should heat the water, so that I should give its sight to the other eye.	I myself was telling him how he should heat the water, so that I should give its sight to the other eye.	true	752.72	758.32	22.66906
6294_86679_000029_000011	I got heather and I made a rubber of it, and I set him upright in the caldron.	I got heather and I made a rubber of it, and I set him upright in the caldron.	true	758.42	763.09	23.343384
6294_86679_000029_000012	I began at the eye that was well, pretending to him that I would give its sight to the other one, till I left them as bad as each other; and surely it was easier to spoil the one that was well than to give sight to the other.	I began at the eye that was well, pretending to him that I would give its sight to the other one, till I left them as bad as each other; and surely it was easier to spoil the one that was well than to give sight to the other.	true	763.31	775.65	23.062376
6294_86679_000030_000000	[Illustration: There thou art thou pretty buck.	[Illustration: There thou art thou pretty buck.	false	775.65	775.8	-20
6294_86679_000030_000001	Thou seest me but I see thee not.]	Thou seest me but I see thee not.]	false	775.8	775.965	-3
6294_86679_000031_000000	"When he saw that he could not see a glimpse, and when I myself said to him that I would get out in spite of him, he gave a spring out of the water, and he stood in the mouth of the cave, and he said that he would have revenge for the sight of his eye.	"When he saw that he could not see a glimpse, and when I myself said to him that I would get out in spite of him, he gave a spring out of the water, and he stood in the mouth of the cave, and he said that he would have revenge for the sight of his eye.	false	775.965	788.56	18
6294_86679_000031_000001	I had but to stay there crouched the length of the night, holding in my breath in such a way that he might not find out where I was.	I had but to stay there crouched the length of the night, holding in my breath in such a way that he might not find out where I was.	false	788.63	795.52	14
6294_86679_000032_000000	"When he felt the birds calling in the morning, and knew that the day was, he said--'Art thou sleeping?	"When he felt the birds calling in the morning, and knew that the day was, he said-'Art thou sleeping?	true	795.62	801.88	22.738323
6294_86679_000032_000001	Awake and let out my lot of goats.' I killed the buck.	Awake and let out my lot of goats.' I killed the buck.	true	801.92	806.35	24.161829
6294_86679_000032_000002	He cried, 'I do believe that thou art killing my buck.'	He cried, 'I do believe that thou art killing my buck.'	false	806.6	810.34	24.187553
6294_86679_000033_000000	"'I am not,' said I, 'but the ropes are so tight that I take long to loose them.' I let out one of the goats, and there he was caressing her, and he said to her, 'There thou art, thou shaggy, hairy white goat, and thou seest me, but I see thee not.' I kept letting them out by the way of one and one, as I flayed the buck, and before the last one was out I had him flayed bag-wise.	"'I am not,' said I, 'but the ropes are so tight that I take long to loose them.' I let out one of the goats, and there he was caressing her, and he said to her, 'There thou art, thou shaggy, hairy white goat, and thou seest me, but I see thee not.' I kept letting them out by the way of one and one, as I flayed the buck, and before the last one was out I had him flayed bag wise.	false	810.86	835.24	22.40726
6294_86679_000033_000001	Then I went and I put my legs in place of his legs, and my hands in place of his forelegs, and my head in place of his head, and the horns on top of my head, so that the brute might think that it was the buck.	Then I went and I put my legs in place of his legs, and my hands in place of his forelegs, and my head in place of his head, and the horns on top of my head, so that the brute might think that it was the buck.	true	835.4	847.9	21.104763
6294_86679_000033_000002	I went out.	I went out.	true	847.97	849.22	24.80443
6294_86679_000033_000003	When I was going out the giant laid his hand on me, and he said, 'There thou art, thou pretty buck; thou seest me, but I see thee not.' When I myself got out, and I saw the world about me, surely, O king! joy was on me. When I was out and had shaken the skin off me, I said to the brute, 'I am out now in spite of you.'	When I was going out the giant laid his hand on me, and he said, 'There thou art, thou pretty buck; thou seest me, but I see thee not.' When I myself got out, and I saw the world about me, surely, O king! joy was on me. When I was out and had shaken the skin off me, I said to the brute, 'I am out now in spite of you.'	false	850.13	871.57	22.445946
6294_86679_000034_000000	"'Aha!' said he, 'hast thou done this to me?	"'Aha!' said he, 'hast thou done this to me?	true	871.73	875.2	25.66869
6294_86679_000034_000001	Since thou wert so stalwart that thou hast got out, I will give thee a ring that I have here; keep the ring, and it will do thee good.'	Since thou wert so stalwart that thou hast got out, I will give thee a ring that I have here; keep the ring, and it will do thee good.'	false	875.36	883.18	23.032398
6294_86679_000035_000000	"'I will not take the ring from you,' said I, 'but throw it and I will take it with me.' He threw the ring on the flat ground; I went myself and lifted the ring, and I put it on my finger.	"'I will not take the ring from you,' said I, 'but throw it and I will take it with me.' He threw the ring on the flat ground; I went myself and lifted the ring, and I put it on my finger.	false	883.85	893.715	25.034513
6294_86679_000035_000001	When he said to me then, 'Is the ring fitting thee?' I said to him, 'It is.' Then he said, 'Where art thou, ring?' And the ring said, 'I am here.' The brute went and went towards where the ring was speaking, and now I saw that I was in a harder case than ever I was.	When he said to me then, 'Is the ring fitting thee?' I said to him, 'It is.' Then he said, 'Where art thou, ring?' And the ring said, 'I am here.' The brute went and went towards where the ring was speaking, and now I saw that I was in a harder case than ever I was.	false	893.715	909.37	22.387644
6294_86679_000035_000002	I drew a dirk.	I drew a dirk.	true	909.56	910.755	28.49137
6294_86679_000035_000003	I cut the finger from off me, and I threw it from me as far as I could out on the loch, and there was a great depth in the place.	I cut the finger from off me, and I threw it from me as far as I could out on the loch, and there was a great depth in the place.	false	910.755	917.79	25.218475
6294_86679_000035_000004	He shouted, 'Where art thou, ring?' And the ring said, 'I am here,' though it was on the bed of the ocean.	He shouted, 'Where art thou, ring?' And the ring said, 'I am here,' though it was on the bed of the ocean.	true	917.79	924.465	20.906656
6294_86679_000035_000005	He gave a spring after the ring, and out he went in the sea.	He gave a spring after the ring, and out he went in the sea.	true	924.465	928.6	23.59392
6294_86679_000035_000006	And I was as pleased then when I saw him drowning, as though you should grant my own life and the life of my two sons with me, and not lay any more trouble on me.	And I was as pleased then when I saw him drowning, as though you should grant my own life and the life of my two sons with me, and not lay any more trouble on me.	true	928.61	937.93	18
6294_86679_000036_000000	"When the giant was drowned I went in, and I took with me all he had of gold and silver, and I went home, and surely great joy was on my people when I arrived.	"When the giant was drowned I went in, and I took with me all he had of gold and silver, and I went home, and surely great joy was on my people when I arrived.	true	938.6	948.6	21.818468
6294_86679_000036_000001	And as a sign now look, the finger is off me."	And as a sign now look, the finger is off me."	true	948.6	952.21	19.967995
6294_86679_000037_000000	"Yes, indeed, Conall, you are wordy and wise," said the king.	"Yes, indeed, Conall, you are wordy and wise," said the king.	true	952.82	957.96	23.495636
6294_86679_000037_000001	"I see the finger is off you.	"I see the finger is off you.	true	957.96	959.68	24.083815
6294_86679_000037_000002	You have freed your two sons, but tell me a case in which you ever were that is harder than to be looking on your son being hanged to-morrow, and you shall get the soul of your eldest son."	You have freed your two sons, but tell me a case in which you ever were that is harder than to be looking on your son being hanged to morrow, and you shall get the soul of your eldest son."	false	959.9	970.36	21
