7258_91905_000000_000000	A noteworthy instance occurs to me as I write.	A noteworthy instance occurs to me as I write.	false	0	0.06	-20
7258_91905_000006_000015	And again, in his incomparable "Gods in Exile," he tells us what became of these dispersed Olympians during the Dark Ages, in the thick night of the noontide of Christianity; how they were transformed from celestial to infernal by the monstrous superstition of that baleful era; as we find the hoofs and horns of Pan transferred to the Devil himself; as we find Venus in that legend of Tannhauser which has fascinated so many poets, as well as great Wagner,--	And again, in his incomparable "Gods in Exile," he tells us what became of these dispersed Olympians during the Dark Ages, in the thick night of the noontide of Christianity; how they were transformed from celestial to infernal by the monstrous superstition of that baleful era; as we find the hoofs and horns of Pan transferred to the Devil himself; as we find Venus in that legend of Tannhauser which has fascinated so many poets, as well as great Wagner,--	false	481.61	517.93	20.340635
7258_91905_000007_000000	Venus, ma belle deesse, Vous etes diablesse!	Venus, ma belle deesse, Vous etes diablesse!	false	518.57	525.18	18.139479
7258_91905_000008_000000	More than eighteen hundred years have passed since the death of the great god Pan was proclaimed; and now it is full time to proclaim the death of the great god Christ.	More than eighteen hundred years have passed since the death of the great god Pan was proclaimed; and now it is full time to proclaim the death of the great god Christ.	true	525.18	537.82	23.485798
7258_91905_000008_000001	Eighteen hundred years make a fairly long period even for a celestial dynasty; but this one in its perishing must differ from all that have perished before it, seeing that no other can succeed it; the throne shall remain void for ever, the royalty of the Heavens be abolished.	Eighteen hundred years make a fairly long period even for a celestial dynasty; but this one in its perishing must differ from all that have perished before it, seeing that no other can succeed it; the throne shall remain void for ever, the royalty of the Heavens be abolished.	false	538.46	562.3	20.870996
7258_91905_000008_000002	Fate, in the form of Science, has decreed the extinction of the gods.	Fate, in the form of Science, has decreed the extinction of the gods.	true	562.7	567.82	23.071024
7258_91905_000008_000003	Mary and her babe must join Venus and Love, Isis and Horus; living with them only in the world of art.	Mary and her babe must join Venus and Love, Isis and Horus; living with them only in the world of art.	true	567.95	576.31	21.502098
7258_91905_000008_000004	Jesus on his cross must dwindle to a point, even in the realms of legend under Prometheus on Caucasus.	Jesus on his cross must dwindle to a point, even in the realms of legend under Prometheus on Caucasus.	true	576.89	585.88	22.434523
7258_91905_000008_000005	For ages already the Father has been as spectral as Jupiter; for ages already the Holy Ghost has been but the shadow of a shade.	For ages already the Father has been as spectral as Jupiter; for ages already the Holy Ghost has been but the shadow of a shade.	true	586.79	597.79	21.859585
7258_91905_000008_000006	And the last, not least, member of the Divine Royal Family, Satan the Prince of Darkness, Prince of this World, and Prince of the Powers of the Air, is no more alive than Pluto, who also was born brother to the Monarch of Heaven.	And the last, not least, member of the Divine Royal Family, Satan the Prince of Darkness, Prince of this World, and Prince of the Powers of the Air, is no more alive than Pluto, who also was born brother to the Monarch of Heaven.	false	598.07	615.31	20.236637
7258_91905_000008_000007	The Hebrew dynasty of the gods is no more; it has done much evil in its long sovranty, which we will try to forget now it ceases to reign; it has done some little good, whose remembrance we will cherish when it is sepulchred, Christ the Great is dead, but Pan the Great lives again, as Mr. Maccall told us in some lines published in this paper several years ago.	The Hebrew dynasty of the gods is no more; it has done much evil in its long sovranty, which we will try to forget now it ceases to reign; it has done some little good, whose remembrance we will cherish when it is sepulchred, Christ the Great is dead, but Pan the Great lives again, as mr Maccall told us in some lines published in this paper several years ago.	true	616.49	645.64	22.27538
7258_91905_000008_000008	Pan lives, not as a God, but as the All, Nature, now that the oppression of the Supernatural is removed.	Pan lives, not as a God, but as the All, Nature, now that the oppression of the Supernatural is removed.	true	647.03	656.89	22.235384
7258_91905_000008_000009	I may be told that Christianity is yet alive and flourishing, that its priesthood and its churches hold possession of Europe and America and Australia.	I may be told that Christianity is yet alive and flourishing, that its priesthood and its churches hold possession of Europe and America and Australia.	true	657.8	668.53	21.242266
7258_91905_000008_000010	So the priesthood and the shrines of the Olympians kept possession of the Roman Empire centuries after the crucifixion of Jesus.	So the priesthood and the shrines of the Olympians kept possession of the Roman Empire centuries after the crucifixion of Jesus.	true	669.23	676.84	22
7258_91905_000008_000011	When the spirit of a faith has departed, that faith is dead, and its burial is only a question of time.	When the spirit of a faith has departed, that faith is dead, and its burial is only a question of time.	false	677.45	685.45	22.493212
7258_91905_000008_000012	When the noblest hearts worship not at its altars, when the most vigorous intellects abandon its creeds, the knell of its doom has rung.	When the noblest hearts worship not at its altars, when the most vigorous intellects abandon its creeds, the knell of its doom has rung.	true	686.12	696.25	20.797941
7258_91905_000008_000013	At the risk of being thought bigoted or prejudiced, I must avow that to my mind the decomposition of Christianity is so offensively manifest and advanced, that, with the exception of a very few persons whose transcendent genius could throw a glamor of glory over any creed however crude and mean, and whom I recognise as far above my judgment, I can no longer give my esteem to any educated man who has investigated and still professes this, religion, without grave deduction at the expense of his heart, his intellect, or his conscience, if not of all three.	At the risk of being thought bigoted or prejudiced, I must avow that to my mind the decomposition of Christianity is so offensively manifest and advanced, that, with the exception of a very few persons whose transcendent genius could throw a glamor of glory over any creed however crude and mean, and whom I recognise as far above my judgment, I can no longer give my esteem to any educated man who has investigated and still professes this, religion, without grave deduction at the expense of his heart, his intellect, or his conscience, if not of all three.	false	696.86	740.86	21.767063
7258_91905_000008_000014	Miraculous voices are not heard in these days; but everywhere myriads of natural voices are continually announcing to us, and enjoining us to announce to others, Great Christ is dead!	Miraculous voices are not heard in these days; but everywhere myriads of natural voices are continually announcing to us, and enjoining us to announce to others, Great Christ is dead!	false	741.77	770.52	20.908728
