2427_154697_000003_000000	MR VILLARS TO LADY HOWARD Berry Hill, May 2.	MR VILLARS TO LADY HOWARD Berry Hill, may second.
2427_154697_000011_000000	So much for the time past.	So much for the time past.
2427_154697_000011_000002	It now remains to speak of the time to come.	It now remains to speak of the time to come.
2427_154697_000012_000000	And here, indeed, I am sensible of difficulties which I almost despair of surmounting according to my wishes.	And here, indeed, I am sensible of difficulties which I almost despair of surmounting according to my wishes.
2427_154697_000012_000002	But why should I perplex your Ladyship with reasoning that can turn to so little account?	But why should I perplex your Ladyship with reasoning that can turn to so little account?
2427_154697_000012_000003	for, alas! what arguments, what persuasions, can I make use of, with any prospect of success, to such a woman as Madame Duval?	for, alas! what arguments, what persuasions, can I make use of, with any prospect of success, to such a woman as Madame Duval?
2427_154697_000012_000004	Her character and the violence of her disposition, intimidate me from making the attempt: she is too ignorant for instruction, too obstinate for intreaty, and too weak for reason.	Her character and the violence of her disposition, intimidate me from making the attempt: she is too ignorant for instruction, too obstinate for intreaty, and too weak for reason.
2427_154697_000013_000000	I will not, therefore, enter into a contest from which I have nothing to expect but altercation and impertinence.	I will not, therefore, enter into a contest from which I have nothing to expect but altercation and impertinence.
2427_154697_000013_000001	As soon would I discuss the effect of sound with the deaf, or the nature of colours with the blind, as aim at illuminating with conviction a mind so warped by prejudice, so much the slave of unruly and illiberal passions.	As soon would I discuss the effect of sound with the deaf, or the nature of colours with the blind, as aim at illuminating with conviction a mind so warped by prejudice, so much the slave of unruly and illiberal passions.
2427_154697_000013_000003	I yield, therefore, to the necessity which compels my reluctant acquiescence; and shall now turn all my thoughts upon considering of such methods for the conducting this enterprise, as may be most conducive to the happiness of my child and least liable to wound her sensibility.	I yield, therefore, to the necessity which compels my reluctant acquiescence; and shall now turn all my thoughts upon considering of such methods for the conducting this enterprise, as may be most conducive to the happiness of my child and least liable to wound her sensibility.
2427_154697_000014_000000	The law-suit, therefore, I wholly and absolutely disapprove.	The law suit, therefore, I wholly and absolutely disapprove.
2427_154697_000015_000001	I am satisfied your Ladyship has not weighed this project.	I am satisfied your Ladyship has not weighed this project.
2427_154697_000015_000002	There was a time, indeed, when to assert the innocence of Lady Belmont, and to blazon to the world the wrongs, not guilt, by which she suffered, I proposed, nay attempted, a similar plan: but then all assistance and encouragement was denied.	There was a time, indeed, when to assert the innocence of Lady Belmont, and to blazon to the world the wrongs, not guilt, by which she suffered, I proposed, nay attempted, a similar plan: but then all assistance and encouragement was denied.
2427_154697_000015_000004	She was deaf to the voice of Nature, though she has hearkened to that of Ambition.	She was deaf to the voice of Nature, though she has hearkened to that of Ambition.
2427_154697_000016_000000	Never can I consent to have this dear and timid girl brought forward to the notice of the world by such a method; a method which will subject her to all the impertinence of curiosity, the sneers of conjecture, and the stings of ridicule.	Never can I consent to have this dear and timid girl brought forward to the notice of the world by such a method; a method which will subject her to all the impertinence of curiosity, the sneers of conjecture, and the stings of ridicule.
2427_154697_000016_000001	And for what?-the attainment of wealth which she does not want, and the gratification of vanity which she does not feel.	And for what?-the attainment of wealth which she does not want, and the gratification of vanity which she does not feel.
2427_154697_000016_000002	A child to appear against a father!-no, Madam, old and infirm as I am, I would even yet sooner convey her myself to some remote part of the world, though I were sure of dying in the expedition.	A child to appear against a father!-no, Madam, old and infirm as I am, I would even yet sooner convey her myself to some remote part of the world, though I were sure of dying in the expedition.
2427_154697_000017_000001	But even this last consolation was withheld from her!	But even this last consolation was withheld from her!
2427_154697_000019_000001	I will not, therefore, talk of its impropriety, but endeavour to prove its inutility.	I will not, therefore, talk of its impropriety, but endeavour to prove its inutility.
2427_154697_000020_000000	She cannot do better herself than to remain quiet and inactive in the affair: the long and mutual animosity between her and Sir John will make her interference merely productive of debates and ill-will.	She cannot do better herself than to remain quiet and inactive in the affair: the long and mutual animosity between her and Sir john will make her interference merely productive of debates and ill will.
2427_154697_000020_000001	Neither would I have Evelina appear till summoned.	Neither would I have Evelina appear till summoned.
2427_154697_000021_000000	My opinion is, that he would pay more respect to a letter from your Ladyship upon this subject, than from any other person.	My opinion is, that he would pay more respect to a letter from your Ladyship upon this subject, than from any other person.
2427_154697_000021_000001	I, therefore, advise and hope, that you will yourself take the trouble of writing to him, in order to open the affair.	I, therefore, advise and hope, that you will yourself take the trouble of writing to him, in order to open the affair.
2427_154697_000022_000000	The views of the Branghtons, in suggesting this scheme, are obviously interested.	The views of the Branghtons, in suggesting this scheme, are obviously interested.
2427_154697_000022_000001	They hope, by securing to Evelina the fortune of her father, to induce Madame Duval to settle her own upon themselves.	They hope, by securing to Evelina the fortune of her father, to induce Madame Duval to settle her own upon themselves.
2427_154697_000023_000000	I have but one thing more to add, from which, however, I can by no means recede: my word so solemnly given to Lady Belmont, that her child should never be owned but with her self, must be inviolably adhered to.	I have but one thing more to add, from which, however, I can by no means recede: my word so solemnly given to Lady Belmont, that her child should never be owned but with her self, must be inviolably adhered to.
