30_4445_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
30_4445_000024_000006	You got Hannah that good place.	You got Hannah that good place.
30_4445_000024_000007	Nobody thought of Hannah till you mentioned her--James is so obliged to you!"	Nobody thought of Hannah till you mentioned her-james is so obliged to you!"
30_4445_000025_000000	"I am very glad I did think of her.	"I am very glad I did think of her.
30_4445_000025_000001	It was very lucky, for I would not have had poor James think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty-spoken girl; I have a great opinion of her.	It was very lucky, for I would not have had poor james think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty spoken girl; I have a great opinion of her.
30_4445_000026_000000	Emma spared no exertions to maintain this happier flow of ideas, and hoped, by the help of backgammon, to get her father tolerably through the evening, and be attacked by no regrets but her own.	Emma spared no exertions to maintain this happier flow of ideas, and hoped, by the help of backgammon, to get her father tolerably through the evening, and be attacked by no regrets but her own.
30_4445_000026_000001	The backgammon-table was placed; but a visitor immediately afterwards walked in and made it unnecessary.	The backgammon table was placed; but a visitor immediately afterwards walked in and made it unnecessary.
30_4445_000027_000000	Mr. Knightley, a sensible man about seven or eight-and-thirty, was not only a very old and intimate friend of the family, but particularly connected with it, as the elder brother of Isabella's husband.	mr Knightley, a sensible man about seven or eight and thirty, was not only a very old and intimate friend of the family, but particularly connected with it, as the elder brother of Isabella's husband.
30_4445_000027_000003	It was a happy circumstance, and animated Mr. Woodhouse for some time.	It was a happy circumstance, and animated mr Woodhouse for some time.
30_4445_000027_000004	Mr. Knightley had a cheerful manner, which always did him good; and his many inquiries after "poor Isabella" and her children were answered most satisfactorily.	mr Knightley had a cheerful manner, which always did him good; and his many inquiries after "poor Isabella" and her children were answered most satisfactorily.
30_4445_000027_000005	When this was over, Mr. Woodhouse gratefully observed, "It is very kind of you, Mr. Knightley, to come out at this late hour to call upon us.	When this was over, mr Woodhouse gratefully observed, "It is very kind of you, mr Knightley, to come out at this late hour to call upon us.
30_4445_000027_000006	I am afraid you must have had a shocking walk."	I am afraid you must have had a shocking walk."
30_4445_000028_000000	"Not at all, sir.	"Not at all, sir.
30_4445_000029_000001	I wish you may not catch cold."	I wish you may not catch cold."
30_4445_000030_000000	"Dirty, sir!	"Dirty, sir!
30_4445_000030_000002	Not a speck on them."	Not a speck on them."
30_4445_000031_000000	"Well! that is quite surprising, for we have had a vast deal of rain here.	"Well! that is quite surprising, for we have had a vast deal of rain here.
30_4445_000031_000001	It rained dreadfully hard for half an hour while we were at breakfast.	It rained dreadfully hard for half an hour while we were at breakfast.
30_4445_000031_000002	I wanted them to put off the wedding."	I wanted them to put off the wedding."
30_4445_000032_000001	Being pretty well aware of what sort of joy you must both be feeling, I have been in no hurry with my congratulations; but I hope it all went off tolerably well.	Being pretty well aware of what sort of joy you must both be feeling, I have been in no hurry with my congratulations; but I hope it all went off tolerably well.
30_4445_000032_000002	How did you all behave?	How did you all behave?
30_4445_000032_000003	Who cried most?"	Who cried most?"
30_4445_000033_000000	"Ah! poor Miss Taylor!	"Ah! poor Miss Taylor!
30_4445_000037_000000	"My dearest papa!	"My dearest papa!
30_4445_000037_000002	What a horrible idea!	What a horrible idea!
30_4445_000037_000004	Mr. Knightley loves to find fault with me, you know--in a joke--it is all a joke.	mr Knightley loves to find fault with me, you know-in a joke-it is all a joke.
30_4445_000037_000005	We always say what we like to one another."	We always say what we like to one another."
30_4445_000039_000000	"Emma knows I never flatter her," said Mr. Knightley, "but I meant no reflection on any body.	"Emma knows I never flatter her," said mr Knightley, "but I meant no reflection on any body.
30_4445_000039_000001	Miss Taylor has been used to have two persons to please; she will now have but one.	Miss Taylor has been used to have two persons to please; she will now have but one.
30_4445_000039_000002	The chances are that she must be a gainer."	The chances are that she must be a gainer."
30_4445_000040_000000	"Well," said Emma, willing to let it pass--"you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly.	"Well," said Emma, willing to let it pass-"you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly.
30_4445_000040_000001	Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen.	Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen.
30_4445_000043_000001	I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said Mr. Weston would never marry again, may comfort me for any thing."	I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said mr Weston would never marry again, may comfort me for any thing."
30_4445_000044_000000	Mr. Knightley shook his head at her.	mr Knightley shook his head at her.
30_4445_000044_000001	Her father fondly replied, "Ah! my dear, I wish you would not make matches and foretell things, for whatever you say always comes to pass.	Her father fondly replied, "Ah! my dear, I wish you would not make matches and foretell things, for whatever you say always comes to pass.
30_4445_000045_000000	"I promise you to make none for myself, papa; but I must, indeed, for other people.	"I promise you to make none for myself, papa; but I must, indeed, for other people.
30_4445_000045_000001	It is the greatest amusement in the world!	It is the greatest amusement in the world!
30_4445_000045_000002	And after such success, you know!--Every body said that Mr. Weston would never marry again.	And after such success, you know!--Every body said that mr Weston would never marry again.
30_4445_000045_000003	Oh dear, no! Mr. Weston, who had been a widower so long, and who seemed so perfectly comfortable without a wife, so constantly occupied either in his business in town or among his friends here, always acceptable wherever he went, always cheerful--Mr.	Oh dear, no! mr Weston, who had been a widower so long, and who seemed so perfectly comfortable without a wife, so constantly occupied either in his business in town or among his friends here, always acceptable wherever he went, always cheerful-mr
30_4445_000045_000006	Some people even talked of a promise to his wife on her deathbed, and others of the son and the uncle not letting him.	Some people even talked of a promise to his wife on her deathbed, and others of the son and the uncle not letting him.
30_4445_000045_000007	All manner of solemn nonsense was talked on the subject, but I believed none of it.	All manner of solemn nonsense was talked on the subject, but I believed none of it.
30_4445_000046_000001	I planned the match from that hour; and when such success has blessed me in this instance, dear papa, you cannot think that I shall leave off match-making."	I planned the match from that hour; and when such success has blessed me in this instance, dear papa, you cannot think that I shall leave off match making."
30_4445_000047_000000	"I do not understand what you mean by 'success,'" said Mr. Knightley. "Success supposes endeavour.	"I do not understand what you mean by 'success,'" said mr Knightley. "Success supposes endeavour.
30_4445_000047_000002	A worthy employment for a young lady's mind!	A worthy employment for a young lady's mind!
30_4445_000047_000003	But if, which I rather imagine, your making the match, as you call it, means only your planning it, your saying to yourself one idle day, 'I think it would be a very good thing for Miss Taylor if Mr. Weston were to marry her,' and saying it again to yourself every now and then afterwards, why do you talk of success?	But if, which I rather imagine, your making the match, as you call it, means only your planning it, your saying to yourself one idle day, 'I think it would be a very good thing for Miss Taylor if mr Weston were to marry her,' and saying it again to yourself every now and then afterwards, why do you talk of success?
30_4445_000047_000005	What are you proud of?	What are you proud of?
30_4445_000048_000001	There is always some talent in it.	There is always some talent in it.
30_4445_000048_000003	You have drawn two pretty pictures; but I think there may be a third--a something between the do-nothing and the do-all.	You have drawn two pretty pictures; but I think there may be a third-a something between the do nothing and the do all.
30_4445_000048_000004	If I had not promoted Mr. Weston's visits here, and given many little encouragements, and smoothed many little matters, it might not have come to any thing after all.	If I had not promoted mr Weston's visits here, and given many little encouragements, and smoothed many little matters, it might not have come to any thing after all.
30_4445_000048_000005	I think you must know Hartfield enough to comprehend that."	I think you must know Hartfield enough to comprehend that."
30_4445_000050_000000	"Emma never thinks of herself, if she can do good to others," rejoined Mr. Woodhouse, understanding but in part.	"Emma never thinks of herself, if she can do good to others," rejoined mr Woodhouse, understanding but in part.
30_4445_000051_000000	"Only one more, papa; only for Mr. Elton.	"Only one more, papa; only for mr Elton.
30_4445_000051_000001	Poor Mr. Elton!	Poor mr Elton!
30_4445_000051_000002	You like Mr. Elton, papa,--I must look about for a wife for him.	You like mr Elton, papa,--I must look about for a wife for him.
30_4445_000051_000004	I think very well of Mr. Elton, and this is the only way I have of doing him a service."	I think very well of mr Elton, and this is the only way I have of doing him a service."
30_4445_000052_000002	That will be a much better thing.	That will be a much better thing.
30_4445_000053_000000	"With a great deal of pleasure, sir, at any time," said Mr. Knightley, laughing, "and I agree with you entirely, that it will be a much better thing.	"With a great deal of pleasure, sir, at any time," said mr Knightley, laughing, "and I agree with you entirely, that it will be a much better thing.
30_4445_000053_000001	Invite him to dinner, Emma, and help him to the best of the fish and the chicken, but leave him to chuse his own wife.	Invite him to dinner, Emma, and help him to the best of the fish and the chicken, but leave him to chuse his own wife.
