7867_110528_000000_000000	The King and all the Court uttered loud cries of joy.	The King and all the Court uttered loud cries of joy.	false	0	3.24	21.88364
7867_110528_000014_000000	"While I am absent, my dear," said he, "invite your relations and friends and enjoy yourself just as you please in entertaining them. See here are my keys, the keys of the rooms and of the chests where I keep my money, my gold and silver plate, and my jewels.	"While I am absent, my dear," said he, "invite your relations and friends and enjoy yourself just as you please in entertaining them. See here are my keys, the keys of the rooms and of the chests where I keep my money, my gold and silver plate, and my jewels.	false	163.37	179.23	20.067726
7867_110528_000014_000001	Unlock rooms and chests and use freely what you will."	Unlock rooms and chests and use freely what you will."	true	179.48	183.36	30.053453
7867_110528_000015_000000	[Illustration]	[Illustration]	false	183.36	184.08	36.068863
7867_110528_000016_000000	"This small key," he added, pointing to quite a little one, "is the key of the door at the end of the lower landing, you will not need to use this at all.	"This small key," he added, pointing to quite a little one, "is the key of the door at the end of the lower landing, you will not need to use this at all.	false	184.08	193.57	21.339054
7867_110528_000016_000001	In fact, should you open that door, or even put this key into the lock, I should be dreadfully angry, indeed I should make you suffer for it in a terrible way."	In fact, should you open that door, or even put this key into the lock, I should be dreadfully angry, indeed I should make you suffer for it in a terrible way."	true	193.79	205.48	23.595482
7867_110528_000017_000000	Then Bluebeard bid his wife good-bye, and departed.	Then Bluebeard bid his wife good bye, and departed.	true	206.42	209.23	19.704266
7867_110528_000018_000000	As soon as Mrs. Bluebeard's friends and relations knew that her husband was away, they came flocking to visit her, for they longed to see all her splendid possessions, but had feared to come before.	As soon as mrs Bluebeard's friends and relations knew that her husband was away, they came flocking to visit her, for they longed to see all her splendid possessions, but had feared to come before.	true	209.84	220.75	21.939175
7867_110528_000019_000000	They could not enough admire the magnificent apartments, and ran from one to another praising everything they beheld.	They could not enough admire the magnificent apartments, and ran from one to another praising everything they beheld.	true	221.45	228.4	23.158169
7867_110528_000020_000000	But the young wife heeded nothing they said or did, all she thought of was that little key which she must not use, wondering more and more why she ought not to open that one particular door.	But the young wife heeded nothing they said or did, all she thought of was that little key which she must not use, wondering more and more why she ought not to open that one particular door.	false	228.65	240.76	22.515598
7867_110528_000021_000000	At last she could bear it no longer, but slipping away from her visitors, she ran along the passages and stairs, nearly falling down them, so great was her haste, until she came to that door at the end of the corridor.	At last she could bear it no longer, but slipping away from her visitors, she ran along the passages and stairs, nearly falling down them, so great was her haste, until she came to that door at the end of the corridor.	true	241.01	254.08	23.609493
7867_110528_000022_000000	Not pausing an instant, she thrust the key into the lock, and the door sprang open.	Not pausing an instant, she thrust the key into the lock, and the door sprang open.	true	254.63	259.63	29.718252
7867_110528_000023_000000	At first she could distinguish nothing, for the room was dark and gloomy, but then, all of a sudden, she knew what had become of Bluebeard's other wives, for there they lay, in a long, straight row, all dead.	At first she could distinguish nothing, for the room was dark and gloomy, but then, all of a sudden, she knew what had become of Bluebeard's other wives, for there they lay, in a long, straight row, all dead.	true	260.3	275.8	21.923223
7867_110528_000023_000001	She stood horrified for a moment or two, gazing at the pale faces, and long hair spread out around them, then picking up the little key which she had taken from the lock but dropped in her fright, she hastily quitted the room, shut and locked the door, and ran to her own chamber to calm herself before returning to her guests. But she was unable to rest for an instant, so dreadful were her feelings; then with terror she noticed that on the key there was a stain.	She stood horrified for a moment or two, gazing at the pale faces, and long hair spread out around them, then picking up the little key which she had taken from the lock but dropped in her fright, she hastily quitted the room, shut and locked the door, and ran to her own chamber to calm herself before returning to her guests. But she was unable to rest for an instant, so dreadful were her feelings; then with terror she noticed that on the key there was a stain.	true	276.26	306.67	24.245398
7867_110528_000023_000002	She wiped it with her handkerchief, but alas! it was blood that would not be wiped away.	She wiped it with her handkerchief, but alas! it was blood that would not be wiped away.	true	306.98	311.86	30.393904
7867_110528_000023_000003	She washed the key and rubbed it, and scraped it and polished it, but all to no purpose, if she succeeded in cleansing one side, the mark came out on the other.	She washed the key and rubbed it, and scraped it and polished it, but all to no purpose, if she succeeded in cleansing one side, the mark came out on the other.	true	312.05	322.24	24.722305
7867_110528_000023_000004	For the key was enchanted.	For the key was enchanted.	true	322.58	324.36	22.290361
7867_110528_000024_000000	[Illustration: _Painted by Jennie Harbour_ BLUEBEARD]	[Illustration: underscore Painted by Jennie Harbour underscore BLUEBEARD]	false	324.36	325.17	-20
7867_110528_000025_000000	That same evening Bluebeard returned saying he had met the man whom he was wanting to see, and so the long journey was unnecessary, and he was rejoiced to be at home again.	That same evening Bluebeard returned saying he had met the man whom he was wanting to see, and so the long journey was unnecessary, and he was rejoiced to be at home again.	true	325.17	335.47	19.802176
7867_110528_000026_000000	Next morning he called for the keys; his wife brought them to him, but not the little one; that she left behind.	Next morning he called for the keys; his wife brought them to him, but not the little one; that she left behind.	true	335.99	343.45	24.871878
7867_110528_000026_000001	Bluebeard noticed this directly and sent her to fetch it.	Bluebeard noticed this directly and sent her to fetch it.	true	343.7	346.78	21.45733
7867_110528_000026_000002	Trembling, and white as a sheet, she was forced to give it into his hand.	Trembling, and white as a sheet, she was forced to give it into his hand.	true	347.12	352.53	24.644596
7867_110528_000027_000000	"Ha! what is this?" he cried, "what is this stain that I see!"	"Ha! what is this?" he cried, "what is this stain that I see!"	false	352.53	358.48	22.385578
7867_110528_000028_000000	His poor wife trembled still more, and could not speak.	His poor wife trembled still more, and could not speak.	false	359.42	363.96	21.947615
7867_110528_000029_000000	"Wretched woman!" shouted Bluebeard, "you have used this key, you have unlocked the door of that room at the end of the passage.	"Wretched woman!" shouted Bluebeard, "you have used this key, you have unlocked the door of that room at the end of the passage.	true	363.96	372.34	24.216637
7867_110528_000029_000001	You shall die!!!"	You shall die!!!"	true	372.68	374.77	22.618488
7867_110528_000030_000000	In vain did his wife plead with him to spare her, kneeling before him with tears streaming from her eyes.	In vain did his wife plead with him to spare her, kneeling before him with tears streaming from her eyes.	true	375.71	381.91	20
7867_110528_000030_000001	"You shall die!" he cried again, more savagely than before.	"You shall die!" he cried again, more savagely than before.	true	382.34	386.89	20.056255
7867_110528_000031_000000	"Let me have a few moments alone, to prepare for death,"	"Let me have a few moments alone, to prepare for death,"	true	387.77	391.69	23.808016
7867_110528_000032_000000	"Half a quarter of an hour, but not a moment longer," he replied, and left her.	"Half a quarter of an hour, but not a moment longer," he replied, and left her.	true	392.45	397.36	18.931292
7867_110528_000033_000000	The poor young woman hastened to a room at the foot of the turret stairs where was her Sister Anne, and called to her.	The poor young woman hastened to a room at the foot of the turret stairs where was her Sister Anne, and called to her.	true	398.12	405.07	26.346687
7867_110528_000034_000000	"Sister Anne, Sister Anne, look from the tower window.	"Sister Anne, Sister Anne, look from the tower window.	true	405.26	409.45	28.768223
7867_110528_000034_000001	Can you see no one coming?" And Sister Anne, looking out, answered:	Can you see no one coming?" And Sister Anne, looking out, answered:	true	409.58	413.98	31.7292
7867_110528_000035_000000	"Alas!	"Alas!	true	414.38	414.99	20.642113
7867_110528_000035_000001	No!	No!	true	414.99	415.75	26.516363
7867_110528_000035_000002	Nothing but the green grass, and the sun which shines upon it."	Nothing but the green grass, and the sun which shines upon it."	true	415.91	419.44	23.39259
7867_110528_000036_000000	Bluebeard shouted from below that the time was almost up.	Bluebeard shouted from below that the time was almost up.	false	420.2	423.97	26.047232
7867_110528_000037_000000	"Sister Anne, Sister Anne, look once again, can you see no one coming?" whispered the young wife wringing her hands.	"Sister Anne, Sister Anne, look once again, can you see no one coming?" whispered the young wife wringing her hands.	true	424.43	431.26	24
7867_110528_000037_000001	Her brothers, she knew, were to visit her that day--if only they would come in time!	Her brothers, she knew, were to visit her that day-if only they would come in time!	true	431.48	436.51	21.546778
7867_110528_000038_000000	"Alas, No!" Sister Anne replied.	"Alas, No!" Sister Anne replied.	true	437.06	439.77	30.771027
7867_110528_000038_000001	"I see a cloud of dust, but it is only a flock of sheep on the road."	"I see a cloud of dust, but it is only a flock of sheep on the road."	true	439.77	444.28	22.87654
7867_110528_000039_000000	But now Bluebeard bawled out so loudly for his wife to come down, that the whole house shook.	But now Bluebeard bawled out so loudly for his wife to come down, that the whole house shook.	true	444.65	450.22	18
7867_110528_000040_000000	"Sister Anne, Sister Anne, tell me is no one coming?"	"Sister Anne, Sister Anne, tell me is no one coming?"	false	450.74	455.5	23.786613
7867_110528_000041_000000	"I see two horsemen afar off," cried Sister Anne.	"I see two horsemen afar off," cried Sister Anne.	true	456.47	460.68	21.726799
7867_110528_000041_000001	"I will beckon to them to hasten hither."	"I will beckon to them to hasten hither."	false	460.68	462.61	24.28457
7867_110528_000042_000000	But Bluebeard would wait not a moment longer, and nearly dead with terror his wife descended, still entreating him to spare her life.	But Bluebeard would wait not a moment longer, and nearly dead with terror his wife descended, still entreating him to spare her life.	false	463.85	472.12	19.51893
7867_110528_000043_000000	He would not, however, give heed to her prayers, and was just brandishing his sword, so that it might come down straight and true upon her slender neck, when the door burst open and two young army officers came rushing in, whom Bluebeard recognised as the brothers of his wife.	He would not, however, give heed to her prayers, and was just brandishing his sword, so that it might come down straight and true upon her slender neck, when the door burst open and two young army officers came rushing in, whom Bluebeard recognised as the brothers of his wife.	true	472.4	489.19	23
7867_110528_000043_000001	He swiftly fled, but they speedily followed, and for his many crimes slew him then and there.	He swiftly fled, but they speedily followed, and for his many crimes slew him then and there.	true	489.35	495.67	23.949896
7867_110528_000044_000000	All his wealth now belonged to his widow, and she gratefully rewarded her brothers by purchasing them commissions in the army; she settled a large sum of money upon her sister, and after a while she married again, and with a good husband lived a happy life.	All his wealth now belonged to his widow, and she gratefully rewarded her brothers by purchasing them commissions in the army; she settled a large sum of money upon her sister, and after a while she married again, and with a good husband lived a happy life.	false	497.03	525.03	20.118162
