7867_110528_000003_000000	BLUEBEARD	BLUEBEARD
7867_110528_000016_000001	In fact, should you open that door, or even put this key into the lock, I should be dreadfully angry, indeed I should make you suffer for it in a terrible way."	In fact, should you open that door, or even put this key into the lock, I should be dreadfully angry, indeed I should make you suffer for it in a terrible way."
7867_110528_000018_000000	As soon as Mrs. Bluebeard's friends and relations knew that her husband was away, they came flocking to visit her, for they longed to see all her splendid possessions, but had feared to come before.	As soon as mrs Bluebeard's friends and relations knew that her husband was away, they came flocking to visit her, for they longed to see all her splendid possessions, but had feared to come before.
7867_110528_000019_000000	They could not enough admire the magnificent apartments, and ran from one to another praising everything they beheld.	They could not enough admire the magnificent apartments, and ran from one to another praising everything they beheld.
7867_110528_000021_000000	At last she could bear it no longer, but slipping away from her visitors, she ran along the passages and stairs, nearly falling down them, so great was her haste, until she came to that door at the end of the corridor.	At last she could bear it no longer, but slipping away from her visitors, she ran along the passages and stairs, nearly falling down them, so great was her haste, until she came to that door at the end of the corridor.
7867_110528_000022_000000	Not pausing an instant, she thrust the key into the lock, and the door sprang open.	Not pausing an instant, she thrust the key into the lock, and the door sprang open.
7867_110528_000023_000000	At first she could distinguish nothing, for the room was dark and gloomy, but then, all of a sudden, she knew what had become of Bluebeard's other wives, for there they lay, in a long, straight row, all dead.	At first she could distinguish nothing, for the room was dark and gloomy, but then, all of a sudden, she knew what had become of Bluebeard's other wives, for there they lay, in a long, straight row, all dead.
7867_110528_000023_000002	She wiped it with her handkerchief, but alas! it was blood that would not be wiped away.	She wiped it with her handkerchief, but alas! it was blood that would not be wiped away.
7867_110528_000023_000003	She washed the key and rubbed it, and scraped it and polished it, but all to no purpose, if she succeeded in cleansing one side, the mark came out on the other.	She washed the key and rubbed it, and scraped it and polished it, but all to no purpose, if she succeeded in cleansing one side, the mark came out on the other.
7867_110528_000023_000004	For the key was enchanted.	For the key was enchanted.
7867_110528_000026_000000	Next morning he called for the keys; his wife brought them to him, but not the little one; that she left behind.	Next morning he called for the keys; his wife brought them to him, but not the little one; that she left behind.
7867_110528_000026_000001	Bluebeard noticed this directly and sent her to fetch it.	Bluebeard noticed this directly and sent her to fetch it.
7867_110528_000026_000002	Trembling, and white as a sheet, she was forced to give it into his hand.	Trembling, and white as a sheet, she was forced to give it into his hand.
7867_110528_000029_000000	"Wretched woman!" shouted Bluebeard, "you have used this key, you have unlocked the door of that room at the end of the passage.	"Wretched woman!" shouted Bluebeard, "you have used this key, you have unlocked the door of that room at the end of the passage.
7867_110528_000029_000001	You shall die!!!"	You shall die!!!"
7867_110528_000030_000000	In vain did his wife plead with him to spare her, kneeling before him with tears streaming from her eyes.	In vain did his wife plead with him to spare her, kneeling before him with tears streaming from her eyes.
7867_110528_000030_000001	"You shall die!" he cried again, more savagely than before.	"You shall die!" he cried again, more savagely than before.
7867_110528_000031_000000	"Let me have a few moments alone, to prepare for death,"	"Let me have a few moments alone, to prepare for death,"
7867_110528_000033_000000	The poor young woman hastened to a room at the foot of the turret stairs where was her Sister Anne, and called to her.	The poor young woman hastened to a room at the foot of the turret stairs where was her Sister Anne, and called to her.
7867_110528_000034_000000	"Sister Anne, Sister Anne, look from the tower window.	"Sister Anne, Sister Anne, look from the tower window.
7867_110528_000034_000001	Can you see no one coming?" And Sister Anne, looking out, answered:	Can you see no one coming?" And Sister Anne, looking out, answered:
7867_110528_000035_000000	"Alas!	"Alas!
7867_110528_000035_000001	No!	No!
7867_110528_000035_000002	Nothing but the green grass, and the sun which shines upon it."	Nothing but the green grass, and the sun which shines upon it."
7867_110528_000037_000000	"Sister Anne, Sister Anne, look once again, can you see no one coming?" whispered the young wife wringing her hands.	"Sister Anne, Sister Anne, look once again, can you see no one coming?" whispered the young wife wringing her hands.
7867_110528_000037_000001	Her brothers, she knew, were to visit her that day--if only they would come in time!	Her brothers, she knew, were to visit her that day-if only they would come in time!
7867_110528_000038_000000	"Alas, No!" Sister Anne replied.	"Alas, No!" Sister Anne replied.
7867_110528_000038_000001	"I see a cloud of dust, but it is only a flock of sheep on the road."	"I see a cloud of dust, but it is only a flock of sheep on the road."
7867_110528_000041_000000	"I see two horsemen afar off," cried Sister Anne.	"I see two horsemen afar off," cried Sister Anne.
7867_110528_000043_000000	He would not, however, give heed to her prayers, and was just brandishing his sword, so that it might come down straight and true upon her slender neck, when the door burst open and two young army officers came rushing in, whom Bluebeard recognised as the brothers of his wife.	He would not, however, give heed to her prayers, and was just brandishing his sword, so that it might come down straight and true upon her slender neck, when the door burst open and two young army officers came rushing in, whom Bluebeard recognised as the brothers of his wife.
7867_110528_000043_000001	He swiftly fled, but they speedily followed, and for his many crimes slew him then and there.	He swiftly fled, but they speedily followed, and for his many crimes slew him then and there.
