6395_86708_000000_000000	Chapter 4.	Chapter four.	true	18.69	19.66	27.157255
6395_86708_000016_000000	"Idiot!" muttered Danglars; "whether she kill herself or not, what matter, provided Dantes is not captain?"	"Idiot!" muttered Danglars; "whether she kill herself or not, what matter, provided Dantes is not captain?"	false	98.54	106.21	24.348114
6395_86708_000017_000000	"Before Mercedes should die," replied Fernand, with the accents of unshaken resolution, "I would die myself!"	"Before Mercedes should die," replied Fernand, with the accents of unshaken resolution, "I would die myself!"	true	106.7	114.34	21.937237
6395_86708_000018_000000	"That's what I call love!" said Caderousse with a voice more tipsy than ever.	"That's what I call love!" said Caderousse with a voice more tipsy than ever.	true	115.16	119.62	21.543488
6395_86708_000018_000001	"That's love, or I don't know what love is."	"That's love, or I don't know what love is."	true	119.69	122.23	20.974386
6395_86708_000019_000000	"Come," said Danglars, "you appear to me a good sort of fellow, and hang me, I should like to help you, but"--	"Come," said Danglars, "you appear to me a good sort of fellow, and hang me, I should like to help you, but"--	true	123.17	130.15	22.403479
6395_86708_000020_000000	"Yes," said Caderousse, "but how?"	"Yes," said Caderousse, "but how?"	true	130.79	132.82	22.237236
6395_86708_000021_000000	"My dear fellow," replied Danglars, "you are three parts drunk; finish the bottle, and you will be completely so.	"My dear fellow," replied Danglars, "you are three parts drunk; finish the bottle, and you will be completely so.	false	133.4	140.17	23.85626
6395_86708_000021_000001	Drink then, and do not meddle with what we are discussing, for that requires all one's wit and cool judgment."	Drink then, and do not meddle with what we are discussing, for that requires all one's wit and cool judgment."	true	140.6	147.28	22.188435
6395_86708_000022_000000	"I--drunk!" said Caderousse; "well that's a good one!	"I-drunk!" said Caderousse; "well that's a good one!	false	147.8	151.27	21.93722
6395_86708_000022_000001	I could drink four more such bottles; they are no bigger than cologne flasks.	I could drink four more such bottles; they are no bigger than cologne flasks.	true	151.46	155.71	25.434221
6395_86708_000022_000002	Pere Pamphile, more wine!" and Caderousse rattled his glass upon the table.	Pere Pamphile, more wine!" and Caderousse rattled his glass upon the table.	true	156.17	161.83	21.600702
6395_86708_000023_000000	"You were saying, sir"--said Fernand, awaiting with great anxiety the end of this interrupted remark.	"You were saying, sir"--said Fernand, awaiting with great anxiety the end of this interrupted remark.	true	162.98	169.15	22.535545
6395_86708_000024_000000	"What was I saying?	"What was I saying?	true	169.58	170.655	20.781467
6395_86708_000024_000001	I forget.	I forget.	true	170.655	171.405	27.159922
6395_86708_000024_000002	This drunken Caderousse has made me lose the thread of my sentence."	This drunken Caderousse has made me lose the thread of my sentence."	true	171.405	175.09	20.956787
6395_86708_000025_000000	"Drunk, if you like; so much the worse for those who fear wine, for it is because they have bad thoughts which they are afraid the liquor will extract from their hearts;" and Caderousse began to sing the two last lines of a song very popular at the time,--	"Drunk, if you like; so much the worse for those who fear wine, for it is because they have bad thoughts which they are afraid the liquor will extract from their hearts;" and Caderousse began to sing the two last lines of a song very popular at the time,--	false	175.76	189.36	22.991817
6395_86708_000026_000000	'Tous les mechants sont beuveurs d'eau; C'est bien prouve par le deluge.' [*]	'Tous les mechants sont beuveurs d'eau; C'est bien prouve par le deluge.' [asterisk]	false	189.36	189.75	2
6395_86708_000027_000000	* "The wicked are great drinkers of water; As the flood proved once for all."	asterisk "The wicked are great drinkers of water; As the flood proved once for all."	false	189.75	194.11	23.491556
6395_86708_000028_000000	"You said, sir, you would like to help me, but"--	"You said, sir, you would like to help me, but"--	true	194.63	197.74	17.991121
6395_86708_000029_000000	"Yes; but I added, to help you it would be sufficient that Dantes did not marry her you love; and the marriage may easily be thwarted, methinks, and yet Dantes need not die."	"Yes; but I added, to help you it would be sufficient that Dantes did not marry her you love; and the marriage may easily be thwarted, methinks, and yet Dantes need not die."	true	198.2	208.54	21.385983
6395_86708_000030_000000	"Death alone can separate them," remarked Fernand.	"Death alone can separate them," remarked Fernand.	true	209.12	212.02	25
6395_86708_000031_000000	"You talk like a noodle, my friend," said Caderousse; "and here is Danglars, who is a wide-awake, clever, deep fellow, who will prove to you that you are wrong.	"You talk like a noodle, my friend," said Caderousse; "and here is Danglars, who is a wide awake, clever, deep fellow, who will prove to you that you are wrong.	true	212.6	222.405	22.551022
6395_86708_000031_000001	Prove it, Danglars.	Prove it, Danglars.	false	222.405	223.59	17.23961
6395_86708_000031_000002	I have answered for you.	I have answered for you.	true	223.59	225.01	21.942371
6395_86708_000031_000003	Say there is no need why Dantes should die; it would, indeed, be a pity he should.	Say there is no need why Dantes should die; it would, indeed, be a pity he should.	true	225.02	230.47	23.069187
6395_86708_000031_000004	Dantes is a good fellow; I like Dantes.	Dantes is a good fellow; I like Dantes.	true	230.75	233.26	25.806267
6395_86708_000031_000005	Dantes, your health."	Dantes, your health."	true	233.54	234.97	23.136023
6395_86708_000032_000000	Fernand rose impatiently.	Fernand rose impatiently.	true	235.88	237.55	21.218533
6395_86708_000032_000001	"Let him run on," said Danglars, restraining the young man; "drunk as he is, he is not much out in what he says. Absence severs as well as death, and if the walls of a prison were between Edmond and Mercedes they would be as effectually separated as if he lay under a tombstone."	"Let him run on," said Danglars, restraining the young man; "drunk as he is, he is not much out in what he says. Absence severs as well as death, and if the walls of a prison were between Edmond and Mercedes they would be as effectually separated as if he lay under a tombstone."	true	237.95	256.36	22.258858
6395_86708_000033_000000	"Yes; but one gets out of prison," said Caderousse, who, with what sense was left him, listened eagerly to the conversation, "and when one gets out and one's name is Edmond Dantes, one seeks revenge"--	"Yes; but one gets out of prison," said Caderousse, who, with what sense was left him, listened eagerly to the conversation, "and when one gets out and one's name is Edmond Dantes, one seeks revenge"--	true	256.79	269.74	24.457224
6395_86708_000034_000000	"What matters that?" muttered Fernand.	"What matters that?" muttered Fernand.	true	270.29	272.38	19.214678
6395_86708_000035_000000	"And why, I should like to know," persisted Caderousse, "should they put Dantes in prison?	"And why, I should like to know," persisted Caderousse, "should they put Dantes in prison?	true	273.38	278.5	24.667923
6395_86708_000035_000001	he has not robbed or killed or murdered."	he has not robbed or killed or murdered."	true	278.69	281.08	25.144737
6395_86708_000036_000000	"Hold your tongue!" said Danglars.	"Hold your tongue!" said Danglars.	false	281.72	284.28	22.459139
6395_86708_000037_000000	"I won't hold my tongue!" replied Caderousse; "I say I want to know why they should put Dantes in prison; I like Dantes; Dantes, your health!" and he swallowed another glass of wine.	"I won't hold my tongue!" replied Caderousse; "I say I want to know why they should put Dantes in prison; I like Dantes; Dantes, your health!" and he swallowed another glass of wine.	true	284.28	294.64	22.257639
6395_86708_000038_000000	Danglars saw in the muddled look of the tailor the progress of his intoxication, and turning towards Fernand, said, "Well, you understand there is no need to kill him."	Danglars saw in the muddled look of the tailor the progress of his intoxication, and turning towards Fernand, said, "Well, you understand there is no need to kill him."	true	295.52	305.23	23.729055
6395_86708_000039_000000	"Certainly not, if, as you said just now, you have the means of having Dantes arrested.	"Certainly not, if, as you said just now, you have the means of having Dantes arrested.	true	305.78	311.145	22.808659
6395_86708_000039_000001	Have you that means?"	Have you that means?"	true	311.145	312.28	20.80558
6395_86708_000040_000000	"It is to be found for the searching.	"It is to be found for the searching.	true	313.1	314.95	24.561588
6395_86708_000040_000001	But why should I meddle in the matter?	But why should I meddle in the matter?	false	315.5	317.595	23.574036
6395_86708_000040_000002	it is no affair of mine."	it is no affair of mine."	true	317.595	319.15	20.582712
6395_86708_000041_000000	"I know not why you meddle," said Fernand, seizing his arm; "but this I know, you have some motive of personal hatred against Dantes, for he who himself hates is never mistaken in the sentiments of others."	"I know not why you meddle," said Fernand, seizing his arm; "but this I know, you have some motive of personal hatred against Dantes, for he who himself hates is never mistaken in the sentiments of others."	false	320.33	332.83	22.219193
6395_86708_000042_000000	"I!--motives of hatred against Dantes?	"I!--motives of hatred against Dantes?	true	333.65	336.13	19.767162
6395_86708_000042_000001	None, on my word!	None, on my word!	true	336.44	337.84	24.202347
6395_86708_000042_000002	I saw you were unhappy, and your unhappiness interested me; that's all; but since you believe I act for my own account, adieu, my dear friend, get out of the affair as best you may;" and Danglars rose as if he meant to depart.	I saw you were unhappy, and your unhappiness interested me; that's all; but since you believe I act for my own account, adieu, my dear friend, get out of the affair as best you may;" and Danglars rose as if he meant to depart.	true	338.09	352.3	22.551756
6395_86708_000043_000000	"No, no," said Fernand, restraining him, "stay!	"No, no," said Fernand, restraining him, "stay!	true	352.82	355.6	23.807796
6395_86708_000043_000001	It is of very little consequence to me at the end of the matter whether you have any angry feeling or not against Dantes.	It is of very little consequence to me at the end of the matter whether you have any angry feeling or not against Dantes.	false	355.85	362.05	22
6395_86708_000043_000002	I hate him!	I hate him!	true	362.15	363.09	22.471682
6395_86708_000043_000003	I confess it openly.	I confess it openly.	true	363.09	364.51	26.710178
6395_86708_000043_000004	Do you find the means, I will execute it, provided it is not to kill the man, for Mercedes has declared she will kill herself if Dantes is killed."	Do you find the means, I will execute it, provided it is not to kill the man, for Mercedes has declared she will kill herself if Dantes is killed."	false	364.79	374.38	23.218096
6395_86708_000044_000000	Caderousse, who had let his head drop on the table, now raised it, and looking at Fernand with his dull and fishy eyes, he said,--"Kill Dantes! who talks of killing Dantes?	Caderousse, who had let his head drop on the table, now raised it, and looking at Fernand with his dull and fishy eyes, he said,--"Kill Dantes! who talks of killing Dantes?	false	374.84	384.675	23.562447
6395_86708_000044_000001	I won't have him killed--I won't!	I won't have him killed-I won't!	true	384.675	386.74	24.631529
6395_86708_000044_000002	He's my friend, and this morning offered to share his money with me, as I shared mine with him.	He's my friend, and this morning offered to share his money with me, as I shared mine with him.	true	386.78	392.2	23.706707
6395_86708_000044_000003	I won't have Dantes killed--I won't!"	I won't have Dantes killed-I won't!"	true	392.21	394.48	24.593016
6395_86708_000045_000000	"And who has said a word about killing him, muddlehead?" replied Danglars.	"And who has said a word about killing him, muddlehead?" replied Danglars.	false	395.3	399.13	20
6395_86708_000045_000001	"We were merely joking; drink to his health," he added, filling Caderousse's glass, "and do not interfere with us."	"We were merely joking; drink to his health," he added, filling Caderousse's glass, "and do not interfere with us."	false	399.59	406.05	24.473894
6395_86708_000046_000000	"Yes, yes, Dantes' good health!" said Caderousse, emptying his glass, "here's to his health! his health--hurrah!"	"Yes, yes, Dantes' good health!" said Caderousse, emptying his glass, "here's to his health! his health-hurrah!"	false	406.05	413.53	22.94799
6395_86708_000047_000000	"But the means--the means?" said Fernand.	"But the means-the means?" said Fernand.	true	414.59	416.92	20.55096
6395_86708_000048_000000	"Have you not hit upon any?" asked Danglars.	"Have you not hit upon any?" asked Danglars.	false	417.59	420.51	20.527824
6395_86708_000049_000000	"No!--you undertook to do so."	"No!--you undertook to do so."	true	420.51	422.14	27.188822
6395_86708_000050_000000	"True," replied Danglars; "the French have the superiority over the Spaniards, that the Spaniards ruminate, while the French invent."	"True," replied Danglars; "the French have the superiority over the Spaniards, that the Spaniards ruminate, while the French invent."	false	422.3	429.13	22.417135
6395_86708_000051_000000	"Do you invent, then," said Fernand impatiently.	"Do you invent, then," said Fernand impatiently.	true	429.8	432.46	28.751083
6395_86708_000052_000000	"Waiter," said Danglars, "pen, ink, and paper."	"Waiter," said Danglars, "pen, ink, and paper."	false	433.01	436.93	22.674105
6395_86708_000053_000000	"Pen, ink, and paper," muttered Fernand.	"Pen, ink, and paper," muttered Fernand.	true	437.12	439.15	24.495667
6395_86708_000054_000000	"Yes; I am a supercargo; pen, ink, and paper are my tools, and without my tools I am fit for nothing."	"Yes; I am a supercargo; pen, ink, and paper are my tools, and without my tools I am fit for nothing."	true	439.58	445.54	24.108253
6395_86708_000055_000000	"Pen, ink, and paper, then," called Fernand loudly.	"Pen, ink, and paper, then," called Fernand loudly.	true	446.21	449.23	24.191393
6395_86708_000056_000000	"There's what you want on that table," said the waiter.	"There's what you want on that table," said the waiter.	true	449.69	452.05	20.600992
6395_86708_000057_000000	"Bring them here." The waiter did as he was desired.	"Bring them here." The waiter did as he was desired.	true	452.66	455.95	21.166115
6395_86708_000058_000000	"When one thinks," said Caderousse, letting his hand drop on the paper, "there is here wherewithal to kill a man more sure than if we waited at the corner of a wood to assassinate him!	"When one thinks," said Caderousse, letting his hand drop on the paper, "there is here wherewithal to kill a man more sure than if we waited at the corner of a wood to assassinate him!	true	456.83	467.5	23.211813
6395_86708_000058_000001	I have always had more dread of a pen, a bottle of ink, and a sheet of paper, than of a sword or pistol."	I have always had more dread of a pen, a bottle of ink, and a sheet of paper, than of a sword or pistol."	false	467.75	472.78	22.06682
6395_86708_000059_000000	"The fellow is not so drunk as he appears to be," said Danglars.	"The fellow is not so drunk as he appears to be," said Danglars.	false	473.51	477.33	20.877241
6395_86708_000059_000001	"Give him some more wine, Fernand." Fernand filled Caderousse's glass, who, like the confirmed toper he was, lifted his hand from the paper and seized the glass.	"Give him some more wine, Fernand." Fernand filled Caderousse's glass, who, like the confirmed toper he was, lifted his hand from the paper and seized the glass.	true	477.33	486.82	24.436407
6395_86708_000060_000000	The Catalan watched him until Caderousse, almost overcome by this fresh assault on his senses, rested, or rather dropped, his glass upon the table.	The Catalan watched him until Caderousse, almost overcome by this fresh assault on his senses, rested, or rather dropped, his glass upon the table.	true	487.64	496.6	22.953081
6395_86708_000061_000000	"Well!" resumed the Catalan, as he saw the final glimmer of Caderousse's reason vanishing before the last glass of wine.	"Well!" resumed the Catalan, as he saw the final glimmer of Caderousse's reason vanishing before the last glass of wine.	true	497.33	504.52	22.352602
6395_86708_000062_000000	"Well, then, I should say, for instance," resumed Danglars, "that if after a voyage such as Dantes has just made, in which he touched at the Island of Elba, some one were to denounce him to the king's procureur as a Bonapartist agent"--	"Well, then, I should say, for instance," resumed Danglars, "that if after a voyage such as Dantes has just made, in which he touched at the Island of Elba, some one were to denounce him to the king's procureur as a Bonapartist agent"--	true	505.04	519.73	23.755682
6395_86708_000063_000000	"I will denounce him!" exclaimed the young man hastily.	"I will denounce him!" exclaimed the young man hastily.	true	520.1	523.3	25.65001
6395_86708_000064_000000	"Yes, but they will make you then sign your declaration, and confront you with him you have denounced; I will supply you with the means of supporting your accusation, for I know the fact well.	"Yes, but they will make you then sign your declaration, and confront you with him you have denounced; I will supply you with the means of supporting your accusation, for I know the fact well.	false	524.18	535.72	25.271467
6395_86708_000064_000001	But Dantes cannot remain forever in prison, and one day or other he will leave it, and the day when he comes out, woe betide him who was the cause of his incarceration!"	But Dantes cannot remain forever in prison, and one day or other he will leave it, and the day when he comes out, woe betide him who was the cause of his incarceration!"	false	536.69	546.67	23.61689
6395_86708_000065_000000	"Oh, I should wish nothing better than that he would come and seek a quarrel with me."	"Oh, I should wish nothing better than that he would come and seek a quarrel with me."	true	547.46	552.25	20
6395_86708_000066_000000	"Yes, and Mercedes!	"Yes, and Mercedes!	false	552.98	554.68	22.859419
6395_86708_000066_000001	Mercedes, who will detest you if you have only the misfortune to scratch the skin of her dearly beloved Edmond!"	Mercedes, who will detest you if you have only the misfortune to scratch the skin of her dearly beloved Edmond!"	true	554.93	561.61	21.38689
6395_86708_000067_000000	"True!" said Fernand.	"True!" said Fernand.	false	562.28	564.51	23.647375
6395_86708_000068_000000	"No, no," continued Danglars; "if we resolve on such a step, it would be much better to take, as I now do, this pen, dip it into this ink, and write with the left hand (that the writing may not be recognized) the denunciation we propose." And Danglars, uniting practice with theory, wrote with his left hand, and in a writing reversed from his usual style, and totally unlike it, the following lines, which he handed to Fernand, and which Fernand read in an undertone:--	"No, no," continued Danglars; "if we resolve on such a step, it would be much better to take, as I now do, this pen, dip it into this ink, and write with the left hand (that the writing may not be recognized) the denunciation we propose." And Danglars, uniting practice with theory, wrote with his left hand, and in a writing reversed from his usual style, and totally unlike it, the following lines, which he handed to Fernand, and which Fernand read in an undertone:--	true	564.51	595.57	23.47831
6395_86708_000069_000000	"The honorable, the king's attorney, is informed by a friend of the throne and religion, that one Edmond Dantes, mate of the ship Pharaon, arrived this morning from Smyrna, after having touched at Naples and Porto-Ferrajo, has been intrusted by Murat with a letter for the usurper, and by the usurper with a letter for the Bonapartist committee in Paris.	"The honorable, the king's attorney, is informed by a friend of the throne and religion, that one Edmond Dantes, mate of the ship Pharaon, arrived this morning from Smyrna, after having touched at Naples and Porto Ferrajo, has been intrusted by Murat with a letter for the usurper, and by the usurper with a letter for the Bonapartist committee in Paris.	false	596.27	619.48	23.438986
6395_86708_000069_000001	Proof of this crime will be found on arresting him, for the letter will be found upon him, or at his father's, or in his cabin on board the Pharaon."	Proof of this crime will be found on arresting him, for the letter will be found upon him, or at his father's, or in his cabin on board the Pharaon."	true	620.33	628.45	24.099333
6395_86708_000070_000000	"Very good," resumed Danglars; "now your revenge looks like common-sense, for in no way can it revert to yourself, and the matter will thus work its own way; there is nothing to do now but fold the letter as I am doing, and write upon it, 'To the king's attorney,' and that's all settled." And Danglars wrote the address as he spoke.	"Very good," resumed Danglars; "now your revenge looks like common sense, for in no way can it revert to yourself, and the matter will thus work its own way; there is nothing to do now but fold the letter as I am doing, and write upon it, 'To the king's attorney,' and that's all settled." And Danglars wrote the address as he spoke.	false	628.97	648.7	22.360077
6395_86708_000071_000000	"Yes, and that's all settled!" exclaimed Caderousse, who, by a last effort of intellect, had followed the reading of the letter, and instinctively comprehended all the misery which such a denunciation must entail.	"Yes, and that's all settled!" exclaimed Caderousse, who, by a last effort of intellect, had followed the reading of the letter, and instinctively comprehended all the misery which such a denunciation must entail.	false	649.46	662.11	22.741268
6395_86708_000071_000001	"Yes, and that's all settled; only it will be an infamous shame;" and he stretched out his hand to reach the letter.	"Yes, and that's all settled; only it will be an infamous shame;" and he stretched out his hand to reach the letter.	true	662.36	669.1	22.46842
6395_86708_000072_000000	"Yes," said Danglars, taking it from beyond his reach; "and as what I say and do is merely in jest, and I, amongst the first and foremost, should be sorry if anything happened to Dantes--the worthy Dantes--look here!" And taking the letter, he squeezed it up in his hands and threw it into a corner of the arbor.	"Yes," said Danglars, taking it from beyond his reach; "and as what I say and do is merely in jest, and I, amongst the first and foremost, should be sorry if anything happened to Dantes-the worthy Dantes-look here!" And taking the letter, he squeezed it up in his hands and threw it into a corner of the arbor.	false	669.83	689.14	22.203161
6395_86708_000073_000000	"All right!" said Caderousse.	"All right!" said Caderousse.	true	690.17	691.455	23.103186
6395_86708_000073_000001	"Dantes is my friend, and I won't have him ill-used."	"Dantes is my friend, and I won't have him ill used."	true	691.455	694.48	21.09051
6395_86708_000074_000000	"And who thinks of using him ill?	"And who thinks of using him ill?	true	695.27	697.02	18.379303
6395_86708_000074_000001	Certainly neither I nor Fernand," said Danglars, rising and looking at the young man, who still remained seated, but whose eye was fixed on the denunciatory sheet of paper flung into the corner.	Certainly neither I nor Fernand," said Danglars, rising and looking at the young man, who still remained seated, but whose eye was fixed on the denunciatory sheet of paper flung into the corner.	false	697.02	708.13	21.018908
6395_86708_000075_000000	"In this case," replied Caderousse, "let's have some more wine.	"In this case," replied Caderousse, "let's have some more wine.	true	709.01	711.975	22
6395_86708_000075_000001	I wish to drink to the health of Edmond and the lovely Mercedes."	I wish to drink to the health of Edmond and the lovely Mercedes."	true	711.975	715.27	19
6395_86708_000076_000000	"You have had too much already, drunkard," said Danglars; "and if you continue, you will be compelled to sleep here, because unable to stand on your legs."	"You have had too much already, drunkard," said Danglars; "and if you continue, you will be compelled to sleep here, because unable to stand on your legs."	true	716	724.24	24.453545
6395_86708_000077_000000	"I?" said Caderousse, rising with all the offended dignity of a drunken man, "I can't keep on my legs?	"I?" said Caderousse, rising with all the offended dignity of a drunken man, "I can't keep on my legs?	true	724.64	731.085	21.646524
6395_86708_000077_000001	Why, I'll wager I can go up into the belfry of the Accoules, and without staggering, too!"	Why, I'll wager I can go up into the belfry of the Accoules, and without staggering, too!"	false	731.085	736.15	20
6395_86708_000078_000000	"Done!" said Danglars, "I'll take your bet; but to-morrow--to-day it is time to return.	"Done!" said Danglars, "I'll take your bet; but to morrow-to day it is time to return.	true	736.76	741.91	22.872467
6395_86708_000078_000001	Give me your arm, and let us go."	Give me your arm, and let us go."	true	742.1	744.25	24.29405
6395_86708_000079_000000	"Very well, let us go," said Caderousse; "but I don't want your arm at all.	"Very well, let us go," said Caderousse; "but I don't want your arm at all.	true	744.86	749.53	22.39865
6395_86708_000079_000001	Come, Fernand, won't you return to Marseilles with us?"	Come, Fernand, won't you return to Marseilles with us?"	true	749.54	753.1	23.608994
6395_86708_000080_000000	"No," said Fernand; "I shall return to the Catalans."	"No," said Fernand; "I shall return to the Catalans."	true	753.92	756.7	24.533024
6395_86708_000081_000000	"You're wrong.	"You're wrong.	true	757.49	758.205	23.097532
6395_86708_000081_000001	Come with us to Marseilles--come along."	Come with us to Marseilles-come along."	true	758.205	760.62	22.270052
6395_86708_000082_000000	"I will not."	"I will not."	true	760.62	761.59	24.029356
6395_86708_000083_000000	"What do you mean?	"What do you mean?	true	762.14	763.215	20.386408
6395_86708_000083_000001	you will not?	you will not?	true	763.215	764.17	26.214487
6395_86708_000083_000002	Well, just as you like, my prince; there's liberty for all the world.	Well, just as you like, my prince; there's liberty for all the world.	true	764.96	768.67	22.869793
6395_86708_000083_000003	Come along, Danglars, and let the young gentleman return to the Catalans if he chooses."	Come along, Danglars, and let the young gentleman return to the Catalans if he chooses."	true	769.16	774.07	22.533676
6395_86708_000084_000000	Danglars took advantage of Caderousse's temper at the moment, to take him off towards Marseilles by the Porte Saint-Victor, staggering as he went.	Danglars took advantage of Caderousse's temper at the moment, to take him off towards Marseilles by the Porte Saint Victor, staggering as he went.	true	775.01	783.1	22.502287
6395_86708_000085_000000	When they had advanced about twenty yards, Danglars looked back and saw Fernand stoop, pick up the crumpled paper, and putting it into his pocket then rush out of the arbor towards Pillon.	When they had advanced about twenty yards, Danglars looked back and saw Fernand stoop, pick up the crumpled paper, and putting it into his pocket then rush out of the arbor towards Pillon.	false	783.74	796.68	23.470724
6395_86708_000086_000000	"Well," said Caderousse, "why, what a lie he told!	"Well," said Caderousse, "why, what a lie he told!	true	796.68	799.56	23.265854
6395_86708_000086_000001	He said he was going to the Catalans, and he is going to the city.	He said he was going to the Catalans, and he is going to the city.	false	799.56	803.16	23.115807
6395_86708_000086_000002	Hallo, Fernand!"	Hallo, Fernand!"	false	803.16	804.55	22.38049
6395_86708_000087_000000	"Oh, you don't see straight," said Danglars; "he's gone right enough."	"Oh, you don't see straight," said Danglars; "he's gone right enough."	true	805.16	808.72	23.6079
6395_86708_000088_000000	"Well," said Caderousse, "I should have said not--how treacherous wine is!"	"Well," said Caderousse, "I should have said not-how treacherous wine is!"	true	809.45	813.43	24.467958
6395_86708_000089_000000	"Come, come," said Danglars to himself, "now the thing is at work and it will effect its purpose unassisted."	"Come, come," said Danglars to himself, "now the thing is at work and it will effect its purpose unassisted."	false	814.22	826.95	24.931662
