637_127579_000000_000000	CHAPTER FIFTEEN	CHAPTER FIFTEEN	false	0	0.99	-20
637_127579_000012_000000	The bread-fruit, however, is never used, and is indeed altogether unfit to be eaten, until submitted in one form or other to the action of fire.	The bread fruit, however, is never used, and is indeed altogether unfit to be eaten, until submitted in one form or other to the action of fire.	true	325.7	335.11	20.733683
637_127579_000013_000000	The most simple manner in which this operation is performed, and I think, the best, consists in placing any number of the freshly plucked fruit, when in a particular state of greenness, among the embers of a fire, in the same way that you would roast a potato.	The most simple manner in which this operation is performed, and I think, the best, consists in placing any number of the freshly plucked fruit, when in a particular state of greenness, among the embers of a fire, in the same way that you would roast a potato.	false	336.38	350.83	23.454483
637_127579_000013_000001	After the lapse of ten or fifteen minutes, the green rind embrowns and cracks, showing through the fissures in its sides the milk-white interior.	After the lapse of ten or fifteen minutes, the green rind embrowns and cracks, showing through the fissures in its sides the milk white interior.	true	351.5	361.18	23.101322
637_127579_000013_000002	As soon as it cools the rind drops off, and you then have the soft round pulp in its purest and most delicious state.	As soon as it cools the rind drops off, and you then have the soft round pulp in its purest and most delicious state.	true	361.7	370.51	22.74139
637_127579_000013_000003	Thus eaten, it has a mild and pleasing flavour.	Thus eaten, it has a mild and pleasing flavour.	true	371.12	374.65	23.989431
637_127579_000014_000000	Sometimes after having been roasted in the fire, the natives snatch it briskly from the embers, and permitting it to slip out of the yielding rind into a vessel of cold water, stir up the mixture, which they call 'bo-a-sho'.	Sometimes after having been roasted in the fire, the natives snatch it briskly from the embers, and permitting it to slip out of the yielding rind into a vessel of cold water, stir up the mixture, which they call 'bo a sho'.	true	375.95	390.1	21.791004
637_127579_000014_000001	I never could endure this compound, and indeed the preparation is not greatly in vogue among the more polite Typees.	I never could endure this compound, and indeed the preparation is not greatly in vogue among the more polite Typees.	true	390.83	398.35	21.733782
637_127579_000015_000000	There is one form, however, in which the fruit is occasionally served, that renders it a dish fit for a king.	There is one form, however, in which the fruit is occasionally served, that renders it a dish fit for a king.	true	398.6	404.65	21.005562
637_127579_000015_000001	As soon as it is taken from the fire the exterior is removed, the core extracted, and the remaining part is placed in a sort of shallow stone mortar, and briskly worked with a pestle of the same substance.	As soon as it is taken from the fire the exterior is removed, the core extracted, and the remaining part is placed in a sort of shallow stone mortar, and briskly worked with a pestle of the same substance.	true	405.2	417.67	23.351389
637_127579_000015_000002	While one person is performing this operation, another takes a ripe cocoanut, and breaking it in halves, which they also do very cleverly, proceeds to grate the juicy meat into fine particles.	While one person is performing this operation, another takes a ripe cocoanut, and breaking it in halves, which they also do very cleverly, proceeds to grate the juicy meat into fine particles.	false	418.49	431.2	22.953411
637_127579_000015_000003	This is done by means of a piece of mother-of-pearl shell, lashed firmly to the extreme end of a heavy stick, with its straight side accurately notched like a saw.	This is done by means of a piece of mother of pearl shell, lashed firmly to the extreme end of a heavy stick, with its straight side accurately notched like a saw.	true	431.6	442.09	22.594786
637_127579_000015_000004	The stick is sometimes a grotesquely-formed limb of a tree, with three or four branches twisting from its body like so many shapeless legs, and sustaining it two or three feet from the ground.	The stick is sometimes a grotesquely formed limb of a tree, with three or four branches twisting from its body like so many shapeless legs, and sustaining it two or three feet from the ground.	true	442.76	454.57	22.824743
637_127579_000016_000000	The native, first placing a calabash beneath the nose, as it were, of his curious-looking log-steed, for the purpose of receiving the grated fragments as they fall, mounts astride of it as if it were a hobby-horse, and twirling the inside of his hemispheres of cocoanut around the sharp teeth of the mother-of-pearl shell, the pure white meat falls in snowy showers into the receptacle provided.	The native, first placing a calabash beneath the nose, as it were, of his curious looking log steed, for the purpose of receiving the grated fragments as they fall, mounts astride of it as if it were a hobby horse, and twirling the inside of his hemispheres of cocoanut around the sharp teeth of the mother of pearl shell, the pure white meat falls in snowy showers into the receptacle provided.	false	455.9	480.49	21.800777
637_127579_000016_000001	Having obtained a quantity sufficient for his purpose, he places it in a bag made of the net-like fibrous substance attached to all cocoanut trees, and compressing it over the bread-fruit, which being now sufficiently pounded, is put into a wooden bowl--extracts a thick creamy milk.	Having obtained a quantity sufficient for his purpose, he places it in a bag made of the net like fibrous substance attached to all cocoanut trees, and compressing it over the bread fruit, which being now sufficiently pounded, is put into a wooden bowl-extracts a thick creamy milk.	true	481.13	499.72	23.550123
637_127579_000016_000002	The delicious liquid soon bubbles round the fruit, and leaves it at last just peeping above its surface.	The delicious liquid soon bubbles round the fruit, and leaves it at last just peeping above its surface.	true	500.33	506.95	22.038334
637_127579_000017_000000	This preparation is called 'kokoo', and a most luscious preparation it is.	This preparation is called 'kokoo', and a most luscious preparation it is.	false	508.46	513.76	22.515686
637_127579_000017_000001	The hobby-horse and the pestle and mortar were in great requisition during the time I remained in the house of Marheyo, and Kory-Kory had frequent occasion to show his skill in their use.	The hobby horse and the pestle and mortar were in great requisition during the time I remained in the house of Marheyo, and Kory Kory had frequent occasion to show his skill in their use.	true	514.43	525.07	21.083849
637_127579_000018_000000	But the great staple articles of food into which the bread-fruit is converted by these natives are known respectively by the names of Amar and Poee-Poee.	But the great staple articles of food into which the bread fruit is converted by these natives are known respectively by the names of Amar and p o e e p o e e.	false	526.58	537.03	23.019724
637_127579_000019_000000	At a certain season of the year, when the fruit of the hundred groves of the valley has reached its maturity, and hangs in golden spheres from every branch, the islanders assemble in harvest groups, and garner in the abundance which surrounds them.	At a certain season of the year, when the fruit of the hundred groves of the valley has reached its maturity, and hangs in golden spheres from every branch, the islanders assemble in harvest groups, and garner in the abundance which surrounds them.	false	537.03	552.13	20.282763
637_127579_000020_000000	The trees are stripped of their nodding burdens, which, easily freed from the rind and core, are gathered together in capacious wooden vessels, where the pulpy fruit is soon worked by a stone pestle, vigorously applied, into a blended mass of a doughy consistency, called by the natives 'Tutao'.	The trees are stripped of their nodding burdens, which, easily freed from the rind and core, are gathered together in capacious wooden vessels, where the pulpy fruit is soon worked by a stone pestle, vigorously applied, into a blended mass of a doughy consistency, called by the natives 'Tutao'.	true	552.59	572.68	22.47384
637_127579_000020_000001	This is then divided into separate parcels, which, after being made up into stout packages, enveloped in successive folds of leaves, and bound round with thongs of bark, are stored away in large receptacles hollowed in the earth, from whence they are drawn as occasion may require.	This is then divided into separate parcels, which, after being made up into stout packages, enveloped in successive folds of leaves, and bound round with thongs of bark, are stored away in large receptacles hollowed in the earth, from whence they are drawn as occasion may require.	true	573.47	591.31	23.55392
637_127579_000020_000002	In this condition the Tutao sometimes remains for years, and even is thought to improve by age.	In this condition the Tutao sometimes remains for years, and even is thought to improve by age.	true	592.73	599.5	22.40971
637_127579_000020_000003	Before it is fit to be eaten, however, it has to undergo an additional process.	Before it is fit to be eaten, however, it has to undergo an additional process.	true	600.11	604.03	20.84861
637_127579_000020_000004	A primitive oven is scooped in the ground, and its bottom being loosely covered with stones, a large fire is kindled within it.	A primitive oven is scooped in the ground, and its bottom being loosely covered with stones, a large fire is kindled within it.	true	604.58	612.1	22.650785
637_127579_000020_000005	As soon as the requisite degree of heat is attained, the embers are removed, and the surface of the stones being covered with thick layers of leaves, one of the large packages of Tutao is deposited upon them and overspread with another layer of leaves.	As soon as the requisite degree of heat is attained, the embers are removed, and the surface of the stones being covered with thick layers of leaves, one of the large packages of Tutao is deposited upon them and overspread with another layer of leaves.	true	612.5	627.34	22.330057
637_127579_000020_000006	The whole is then quickly heaped up with earth, and forms a sloping mound.	The whole is then quickly heaped up with earth, and forms a sloping mound.	true	627.71	632.65	23.807592
637_127579_000021_000000	The Tutao thus baked is called 'Amar'; the action of the oven having converted it into an amber-coloured caky substance, a little tart, but not at all disagreeable to the taste.	The Tutao thus baked is called 'Amar'; the action of the oven having converted it into an amber coloured caky substance, a little tart, but not at all disagreeable to the taste.	false	634.1	645.79	21.88667
637_127579_000022_000000	By another and final process the 'Amar' is changed into 'Poee-Poee'. This transition is rapidly effected.	By another and final process the 'Amar' is changed into 'p o e e p o e e'. This transition is rapidly effected.	false	647.06	654.19	24.203508
637_127579_000022_000001	The Amar is placed in a vessel, and mixed with water until it gains a proper pudding-like consistency, when, without further preparation, it is in readiness for use.	The Amar is placed in a vessel, and mixed with water until it gains a proper pudding like consistency, when, without further preparation, it is in readiness for use.	true	654.41	664.63	24.441786
637_127579_000022_000002	This is the form in which the 'Tutao' is generally consumed.	This is the form in which the 'Tutao' is generally consumed.	true	665.09	668.98	23.235224
637_127579_000022_000003	The singular mode of eating it I have already described.	The singular mode of eating it I have already described.	true	669.23	672.52	17.83109
637_127579_000023_000000	Were it not that the bread-fruit is thus capable of being preserved for a length of time, the natives might be reduced to a state of starvation; for owing to some unknown cause the trees sometimes fail to bear fruit; and on such occasions the islanders chiefly depend upon the supplies they have been enabled to store away.	Were it not that the bread fruit is thus capable of being preserved for a length of time, the natives might be reduced to a state of starvation; for owing to some unknown cause the trees sometimes fail to bear fruit; and on such occasions the islanders chiefly depend upon the supplies they have been enabled to store away.	true	673.7	692.44	23.764305
637_127579_000024_000000	This stately tree, which is rarely met with upon the Sandwich Islands, and then only of a very inferior quality, and at Tahiti does not abound to a degree that renders its fruit the principal article of food, attains its greatest excellence in the genial climate of the Marquesan group, where it grows to an enormous magnitude, and flourishes in the utmost abundance.	This stately tree, which is rarely met with upon the Sandwich Islands, and then only of a very inferior quality, and at Tahiti does not abound to a degree that renders its fruit the principal article of food, attains its greatest excellence in the genial climate of the Marquesan group, where it grows to an enormous magnitude, and flourishes in the utmost abundance.	true	693.65	717	23.045403
