4592_26872_000000_000000	CHAPTER X	CHAPTER ten	false	3.39	7.29	19.632565
4592_26872_000002_000001	The young Countess Bezukhova was not often seen in society, and those who met her there were not pleased with her and found her neither attractive nor amiable.	The young Countess Bezukhova was not often seen in society, and those who met her there were not pleased with her and found her neither attractive nor amiable.	true	96.59	105.4	17
4592_26872_000002_000002	Not that Natasha liked solitude--she did not know whether she liked it or not, she even thought that she did not--but with her pregnancies, her confinements, the nursing of her children, and sharing every moment of her husband's life, she had demands on her time which could be satisfied only by renouncing society.	Not that Natasha liked solitude-she did not know whether she liked it or not, she even thought that she did not-but with her pregnancies, her confinements, the nursing of her children, and sharing every moment of her husband's life, she had demands on her time which could be satisfied only by renouncing society.	true	105.68	123.885	18
4592_26872_000002_000003	All who had known Natasha before her marriage wondered at the change in her as at something extraordinary.	All who had known Natasha before her marriage wondered at the change in her as at something extraordinary.	true	123.885	129.16	19.112352
4592_26872_000002_000004	Only the old countess with her maternal instinct had realized that all Natasha's outbursts had been due to her need of children and a husband--as she herself had once exclaimed at Otradnoe not so much in fun as in earnest--and her mother was now surprised at the surprise expressed by those who had never understood Natasha, and she kept saying that she had always known that Natasha would make an exemplary wife and mother.	Only the old countess with her maternal instinct had realized that all Natasha's outbursts had been due to her need of children and a husband-as she herself had once exclaimed at Otradnoe not so much in fun as in earnest-and her mother was now surprised at the surprise expressed by those who had never understood Natasha, and she kept saying that she had always known that Natasha would make an exemplary wife and mother.	true	129.41	153.88	19
4592_26872_000003_000000	"Only she lets her love of her husband and children overflow all bounds," said the countess, "so that it even becomes absurd."	"Only she lets her love of her husband and children overflow all bounds," said the countess, "so that it even becomes absurd."	false	154.28	161.11	19.876661
4592_26872_000004_000000	Natasha did not follow the golden rule advocated by clever folk, especially by the French, which says that a girl should not let herself go when she marries, should not neglect her accomplishments, should be even more careful of her appearance than when she was unmarried, and should fascinate her husband as much as she did before he became her husband.	Natasha did not follow the golden rule advocated by clever folk, especially by the French, which says that a girl should not let herself go when she marries, should not neglect her accomplishments, should be even more careful of her appearance than when she was unmarried, and should fascinate her husband as much as she did before he became her husband.	false	161.81	181.57	19
4592_26872_000004_000001	Natasha on the contrary had at once abandoned all her witchery, of which her singing had been an unusually powerful part.	Natasha on the contrary had at once abandoned all her witchery, of which her singing had been an unusually powerful part.	true	181.82	189.82	19
4592_26872_000004_000002	She gave it up just because it was so powerfully seductive.	She gave it up just because it was so powerfully seductive.	true	190.01	193.63	23.576532
4592_26872_000004_000003	She took no pains with her manners or with delicacy of speech, or with her toilet, or to show herself to her husband in her most becoming attitudes, or to avoid inconveniencing him by being too exacting.	She took no pains with her manners or with delicacy of speech, or with her toilet, or to show herself to her husband in her most becoming attitudes, or to avoid inconveniencing him by being too exacting.	true	193.64	206.08	18
4592_26872_000004_000004	She acted in contradiction to all those rules.	She acted in contradiction to all those rules.	true	206.3	208.96	21
4592_26872_000004_000005	She felt that the allurements instinct had formerly taught her to use would now be merely ridiculous in the eyes of her husband, to whom she had from the first moment given herself up entirely--that is, with her whole soul, leaving no corner of it hidden from him.	She felt that the allurements instinct had formerly taught her to use would now be merely ridiculous in the eyes of her husband, to whom she had from the first moment given herself up entirely-that is, with her whole soul, leaving no corner of it hidden from him.	false	209	224.02	19
4592_26872_000004_000006	She felt that her unity with her husband was not maintained by the poetic feelings that had attracted him to her, but by something else--indefinite but firm as the bond between her own body and soul.	She felt that her unity with her husband was not maintained by the poetic feelings that had attracted him to her, but by something else-indefinite but firm as the bond between her own body and soul.	true	224.12	235.57	20
4592_26872_000005_000000	To fluff out her curls, put on fashionable dresses, and sing romantic songs to fascinate her husband would have seemed as strange as to adorn herself to attract herself.	To fluff out her curls, put on fashionable dresses, and sing romantic songs to fascinate her husband would have seemed as strange as to adorn herself to attract herself.	true	235.97	245.59	18
4592_26872_000005_000001	To adorn herself for others might perhaps have been agreeable--she did not know--but she had no time at all for it.	To adorn herself for others might perhaps have been agreeable-she did not know-but she had no time at all for it.	true	245.75	251.77	20
4592_26872_000005_000002	The chief reason for devoting no time either to singing, to dress, or to choosing her words was that she really had no time to spare for these things.	The chief reason for devoting no time either to singing, to dress, or to choosing her words was that she really had no time to spare for these things.	false	251.93	259.57	14
4592_26872_000006_000000	We know that man has the faculty of becoming completely absorbed in a subject however trivial it may be, and that there is no subject so trivial that it will not grow to infinite proportions if one's entire attention is devoted to it.	We know that man has the faculty of becoming completely absorbed in a subject however trivial it may be, and that there is no subject so trivial that it will not grow to infinite proportions if one's entire attention is devoted to it.	false	260.06	273.61	18
4592_26872_000007_000000	The subject which wholly engrossed Natasha's attention was her family: that is, her husband whom she had to keep so that he should belong entirely to her and to the home, and the children whom she had to bear, bring into the world, nurse, and bring up.	The subject which wholly engrossed Natasha's attention was her family: that is, her husband whom she had to keep so that he should belong entirely to her and to the home, and the children whom she had to bear, bring into the world, nurse, and bring up.	true	274.07	289.78	21
4592_26872_000008_000000	And the deeper she penetrated, not with her mind only but with her whole soul, her whole being, into the subject that absorbed her, the larger did that subject grow and the weaker and more inadequate did her powers appear, so that she concentrated them wholly on that one thing and yet was unable to accomplish all that she considered necessary.	And the deeper she penetrated, not with her mind only but with her whole soul, her whole being, into the subject that absorbed her, the larger did that subject grow and the weaker and more inadequate did her powers appear, so that she concentrated them wholly on that one thing and yet was unable to accomplish all that she considered necessary.	true	290.21	310.63	20
4592_26872_000009_000000	There were then as now conversations and discussions about women's rights, the relations of husband and wife and their freedom and rights, though these themes were not yet termed questions as they are now; but these topics were not merely uninteresting to Natasha, she positively did not understand them.	There were then as now conversations and discussions about women's rights, the relations of husband and wife and their freedom and rights, though these themes were not yet termed questions as they are now; but these topics were not merely uninteresting to Natasha, she positively did not understand them.	false	311.54	328.81	21.612877
4592_26872_000010_000000	These questions, then as now, existed only for those who see nothing in marriage but the pleasure married people get from one another, that is, only the beginnings of marriage and not its whole significance, which lies in the family.	These questions, then as now, existed only for those who see nothing in marriage but the pleasure married people get from one another, that is, only the beginnings of marriage and not its whole significance, which lies in the family.	true	329.18	343.09	20
4592_26872_000011_000000	Discussions and questions of that kind, which are like the question of how to get the greatest gratification from one's dinner, did not then and do not now exist for those for whom the purpose of a dinner is the nourishment it affords; and the purpose of marriage is the family.	Discussions and questions of that kind, which are like the question of how to get the greatest gratification from one's dinner, did not then and do not now exist for those for whom the purpose of a dinner is the nourishment it affords; and the purpose of marriage is the family.	true	343.43	358.84	21
4592_26872_000012_000000	If the purpose of dinner is to nourish the body, a man who eats two dinners at once may perhaps get more enjoyment but will not attain his purpose, for his stomach will not digest the two dinners.	If the purpose of dinner is to nourish the body, a man who eats two dinners at once may perhaps get more enjoyment but will not attain his purpose, for his stomach will not digest the two dinners.	true	359.57	370.72	19
4592_26872_000013_000000	If the purpose of marriage is the family, the person who wishes to have many wives or husbands may perhaps obtain much pleasure, but in that case will not have a family.	If the purpose of marriage is the family, the person who wishes to have many wives or husbands may perhaps obtain much pleasure, but in that case will not have a family.	true	370.94	380.86	20
4592_26872_000014_000000	If the purpose of food is nourishment and the purpose of marriage is the family, the whole question resolves itself into not eating more than one can digest, and not having more wives or husbands than are needed for the family--that is, one wife or one husband.	If the purpose of food is nourishment and the purpose of marriage is the family, the whole question resolves itself into not eating more than one can digest, and not having more wives or husbands than are needed for the family-that is, one wife or one husband.	true	381.38	396.88	21
4592_26872_000014_000001	Natasha needed a husband.	Natasha needed a husband.	true	397.19	398.91	17.286509
4592_26872_000014_000002	A husband was given her and he gave her a family.	A husband was given her and he gave her a family.	false	398.91	402.22	20
4592_26872_000014_000003	And she not only saw no need of any other or better husband, but as all the powers of her soul were intent on serving that husband and family, she could not imagine and saw no interest in imagining how it would be if things were different.	And she not only saw no need of any other or better husband, but as all the powers of her soul were intent on serving that husband and family, she could not imagine and saw no interest in imagining how it would be if things were different.	false	402.38	416.86	19.62612
4592_26872_000015_000000	Natasha did not care for society in general, but prized the more the society of her relatives--Countess Mary, and her brother, her mother, and Sonya.	Natasha did not care for society in general, but prized the more the society of her relatives-Countess Mary, and her brother, her mother, and Sonya.	false	417.32	426.85	20.270407
4592_26872_000015_000001	She valued the company of those to whom she could come striding disheveled from the nursery in her dressing gown, and with joyful face show a yellow instead of a green stain on baby's napkin, and from whom she could hear reassuring words to the effect that baby was much better.	She valued the company of those to whom she could come striding disheveled from the nursery in her dressing gown, and with joyful face show a yellow instead of a green stain on baby's napkin, and from whom she could hear reassuring words to the effect that baby was much better.	false	427.04	441.67	19.99466
4592_26872_000016_000000	To such an extent had Natasha let herself go that the way she dressed and did her hair, her ill-chosen words, and her jealousy--she was jealous of Sonya, of the governess, and of every woman, pretty or plain- -were habitual subjects of jest to those about her.	To such an extent had Natasha let herself go that the way she dressed and did her hair, her ill chosen words, and her jealousy-she was jealous of Sonya, of the governess, and of every woman, pretty or plain -were habitual subjects of jest to those about her.	false	442.16	457.21	20
4592_26872_000016_000001	The general opinion was that Pierre was under his wife's thumb, which was really true.	The general opinion was that Pierre was under his wife's thumb, which was really true.	false	457.52	462.16	22.12055
4592_26872_000016_000002	From the very first days of their married life Natasha had announced her demands.	From the very first days of their married life Natasha had announced her demands.	true	462.41	466.48	20
4592_26872_000016_000003	Pierre was greatly surprised by his wife's view, to him a perfectly novel one, that every moment of his life belonged to her and to the family.	Pierre was greatly surprised by his wife's view, to him a perfectly novel one, that every moment of his life belonged to her and to the family.	true	466.64	475.18	22.194197
4592_26872_000016_000004	His wife's demands astonished him, but they also flattered him, and he submitted to them.	His wife's demands astonished him, but they also flattered him, and he submitted to them.	true	475.37	480.58	19.636095
4592_26872_000017_000000	Pierre's subjection consisted in the fact that he not only dared not flirt with, but dared not even speak smilingly to, any other woman; did not dare dine at the club as a pastime, did not dare spend money on a whim, and did not dare absent himself for any length of time, except on business--in which his wife included his intellectual pursuits, which she did not in the least understand but to which she attributed great importance.	Pierre's subjection consisted in the fact that he not only dared not flirt with, but dared not even speak smilingly to, any other woman; did not dare dine at the club as a pastime, did not dare spend money on a whim, and did not dare absent himself for any length of time, except on business-in which his wife included his intellectual pursuits, which she did not in the least understand but to which she attributed great importance.	false	481.13	506.35	21.962013
4592_26872_000017_000001	To make up for this, at home Pierre had the right to regulate his life and that of the whole family exactly as he chose.	To make up for this, at home Pierre had the right to regulate his life and that of the whole family exactly as he chose.	true	506.84	513.64	19
4592_26872_000017_000002	At home Natasha placed herself in the position of a slave to her husband, and the whole household went on tiptoe when he was occupied--that is, was reading or writing in his study.	At home Natasha placed herself in the position of a slave to her husband, and the whole household went on tiptoe when he was occupied-that is, was reading or writing in his study.	true	514.01	524.14	21.628767
4592_26872_000017_000003	Pierre had but to show a partiality for anything to get just what he liked done always.	Pierre had but to show a partiality for anything to get just what he liked done always.	true	524.51	530.05	23.108402
4592_26872_000017_000004	He had only to express a wish and Natasha would jump up and run to fulfill it.	He had only to express a wish and Natasha would jump up and run to fulfill it.	true	530.24	534.52	24.100132
4592_26872_000018_000000	The entire household was governed according to Pierre's supposed orders, that is, by his wishes which Natasha tried to guess.	The entire household was governed according to Pierre's supposed orders, that is, by his wishes which Natasha tried to guess.	true	535.22	542.26	21.683056
4592_26872_000018_000001	Their way of life and place of residence, their acquaintances and ties, Natasha's occupations, the children's upbringing, were all selected not merely with regard to Pierre's expressed wishes, but to what Natasha from the thoughts he expressed in conversation supposed his wishes to be.	Their way of life and place of residence, their acquaintances and ties, Natasha's occupations, the children's upbringing, were all selected not merely with regard to Pierre's expressed wishes, but to what Natasha from the thoughts he expressed in conversation supposed his wishes to be.	false	542.66	559.06	22
4592_26872_000018_000002	And she deduced the essentials of his wishes quite correctly, and having once arrived at them clung to them tenaciously.	And she deduced the essentials of his wishes quite correctly, and having once arrived at them clung to them tenaciously.	true	559.34	565.69	22
4592_26872_000018_000003	When Pierre himself wanted to change his mind she would fight him with his own weapons.	When Pierre himself wanted to change his mind she would fight him with his own weapons.	false	565.82	570.04	21.270927
4592_26872_000019_000000	Thus in a time of trouble ever memorable to him after the birth of their first child who was delicate, when they had to change the wet nurse three times and Natasha fell ill from despair, Pierre one day told her of Rousseau's view, with which he quite agreed, that to have a wet nurse is unnatural and harmful.	Thus in a time of trouble ever memorable to him after the birth of their first child who was delicate, when they had to change the wet nurse three times and Natasha fell ill from despair, Pierre one day told her of Rousseau's view, with which he quite agreed, that to have a wet nurse is unnatural and harmful.	true	570.74	587.59	21
4592_26872_000019_000001	When her next baby was born, despite the opposition of her mother, the doctors, and even of her husband himself-- who were all vigorously opposed to her nursing her baby herself, a thing then unheard of and considered injurious--she insisted on having her own way, and after that nursed all her babies herself.	When her next baby was born, despite the opposition of her mother, the doctors, and even of her husband himself- who were all vigorously opposed to her nursing her baby herself, a thing then unheard of and considered injurious-she insisted on having her own way, and after that nursed all her babies herself.	false	587.81	605.17	21.777798
4592_26872_000020_000000	It very often happened that in a moment of irritation husband and wife would have a dispute, but long afterwards Pierre to his surprise and delight would find in his wife's ideas and actions the very thought against which she had argued, but divested of everything superfluous that in the excitement of the dispute he had added when expressing his opinion.	It very often happened that in a moment of irritation husband and wife would have a dispute, but long afterwards Pierre to his surprise and delight would find in his wife's ideas and actions the very thought against which she had argued, but divested of everything superfluous that in the excitement of the dispute he had added when expressing his opinion.	true	605.48	627.67	22.391937
4592_26872_000021_000000	After seven years of marriage Pierre had the joyous and firm consciousness that he was not a bad man, and he felt this because he saw himself reflected in his wife.	After seven years of marriage Pierre had the joyous and firm consciousness that he was not a bad man, and he felt this because he saw himself reflected in his wife.	true	628.37	639.4	23.91103
4592_26872_000021_000001	He felt the good and bad within himself inextricably mingled and overlapping.	He felt the good and bad within himself inextricably mingled and overlapping.	true	639.71	644.02	21.683723
4592_26872_000021_000002	But only what was really good in him was reflected in his wife, all that was not quite good was rejected.	But only what was really good in him was reflected in his wife, all that was not quite good was rejected.	true	644.36	650.38	20.744608
4592_26872_000021_000003	And this was not the result of logical reasoning but was a direct and mysterious reflection.	And this was not the result of logical reasoning but was a direct and mysterious reflection.	true	650.69	656.55	23.703737
4592_26872_000022_000000	CHAPTER XI	CHAPTER eleven	false	656.55	656.82	-20
4592_26872_000023_000000	Two months previously when Pierre was already staying with the Rostovs he had received a letter from Prince Theodore, asking him to come to Petersburg to confer on some important questions that were being discussed there by a society of which Pierre was one of the principal founders.	Two months previously when Pierre was already staying with the Rostovs he had received a letter from Prince Theodore, asking him to come to Petersburg to confer on some important questions that were being discussed there by a society of which Pierre was one of the principal founders.	false	656.82	670.08	20.250172
