5190_87791_000001_000000	THE PROBLEM OF DIVORCE	THE PROBLEM OF DIVORCE
5190_87791_000015_000005	Third, there is the question of venereal disease, which society has an unquestionable right to keep down, by every reasonable restriction upon sexual promiscuity.	Third, there is the question of venereal disease, which society has an unquestionable right to keep down, by every reasonable restriction upon sexual promiscuity.
5190_87791_000015_000006	And finally, there is the respect which all men and women owe to love.	And finally, there is the respect which all men and women owe to love.
5190_87791_000015_000007	It seems to me that society has the same right to protect love against extreme outrage, as it has to forbid indecent exposure of the person on the street.	It seems to me that society has the same right to protect love against extreme outrage, as it has to forbid indecent exposure of the person on the street.
5190_87791_000016_000000	There is in successful operation in Switzerland a wise and sane divorce law, based upon common sense and not upon superstition.	There is in successful operation in Switzerland a wise and sane divorce law, based upon common sense and not upon superstition.
5190_87791_000016_000001	A couple wish to break their marriage, and they go before a judge, and in private session, as to a friendly adviser, they tell their troubles.	A couple wish to break their marriage, and they go before a judge, and in private session, as to a friendly adviser, they tell their troubles.
5190_87791_000016_000002	He gives them advice about their disagreement, and sends them away for three months to think it over.	He gives them advice about their disagreement, and sends them away for three months to think it over.
5190_87791_000016_000007	In both cases, the parties directly interested have the right to decide their own fate, but the rest of the world requires them to think carefully about it, and to listen to counsel.	In both cases, the parties directly interested have the right to decide their own fate, but the rest of the world requires them to think carefully about it, and to listen to counsel.
5190_87791_000016_000008	Except for grave offenses, such as adultery, insanity, crime or venereal disease, I do not think that anyone should receive a divorce in less than six months, nor do I think that any personal right is contravened by the imposing of such a delay.	Except for grave offenses, such as adultery, insanity, crime or venereal disease, I do not think that anyone should receive a divorce in less than six months, nor do I think that any personal right is contravened by the imposing of such a delay.
5190_87791_000017_000001	In order to illustrate this problem, I will tell you about a certain man known to me.	In order to illustrate this problem, I will tell you about a certain man known to me.
5190_87791_000017_000003	He lays claim to extraordinary spiritual gifts, and uses the language of the highest idealism known.	He lays claim to extraordinary spiritual gifts, and uses the language of the highest idealism known.
5190_87791_000017_000005	To my knowledge he was three times married in six years, and each time he deserted the woman, and forced her to divorce him, and to take care of herself, and in one case of a child.	To my knowledge he was three times married in six years, and each time he deserted the woman, and forced her to divorce him, and to take care of herself, and in one case of a child.
5190_87791_000017_000006	In addition, he had begotten one child out of marriage, and left the mother and child to starve.	In addition, he had begotten one child out of marriage, and left the mother and child to starve.
5190_87791_000017_000007	For ten years or so I used to see him about once in six months, and invariably he had a new woman, a young girl of fine character, who had been ensnared by him, and was in the agonizing process of discovering his moral and mental derangement.	For ten years or so I used to see him about once in six months, and invariably he had a new woman, a young girl of fine character, who had been ensnared by him, and was in the agonizing process of discovering his moral and mental derangement.
5190_87791_000017_000008	Yet there was absolutely nothing in the law to place restraint upon this man; he could wander from state to state, or to the other side of the world, preying upon lovely young girls wherever he went.	Yet there was absolutely nothing in the law to place restraint upon this man; he could wander from state to state, or to the other side of the world, preying upon lovely young girls wherever he went.
5190_87791_000018_000000	This particular man happens to call himself a "radical"; but I could tell you of similar men in the highest social circles, or in the political world, the theatrical world, the "sporting" world; they are in every rank of life, and are just as definitely and certainly menaces to human welfare and progress as pirates on the high seas or highwaymen on the road.	This particular man happens to call himself a "radical"; but I could tell you of similar men in the highest social circles, or in the political world, the theatrical world, the "sporting" world; they are in every rank of life, and are just as definitely and certainly menaces to human welfare and progress as pirates on the high seas or highwaymen on the road.
5190_87791_000018_000002	But I think we might begin by refusing to let any man or woman have more than two divorces in one lifetime, in any state or part of the world.	But I think we might begin by refusing to let any man or woman have more than two divorces in one lifetime, in any state or part of the world.
5190_87791_000018_000003	If any man or woman tries three times to find happiness in love, and fails each time, we have a right to assume that the fault must lie with that person, and not with the three partners.	If any man or woman tries three times to find happiness in love, and fails each time, we have a right to assume that the fault must lie with that person, and not with the three partners.
5190_87791_000019_000001	At present the great mass of the public has sympathy for the law-breaker; just as, in old days, the peasants could not help admiring the outlaw who resisted unjust land laws and robbed the rich, or as today, under the capitalist regime, we can not withhold our sympathy from political prisoners, even though they have committed acts of violence which we deplore.	At present the great mass of the public has sympathy for the law breaker; just as, in old days, the peasants could not help admiring the outlaw who resisted unjust land laws and robbed the rich, or as today, under the capitalist regime, we can not withhold our sympathy from political prisoners, even though they have committed acts of violence which we deplore.
5190_87791_000020_000000	We clear out foul-smelling weeds from our garden, because we wish to raise beautiful flowers and useful herbs therein.	We clear out foul smelling weeds from our garden, because we wish to raise beautiful flowers and useful herbs therein.
5190_87791_000020_000001	There lives in California a student of plant life, who has shown us what we can do, not by magic or by superhuman efforts, but simply by loving plants, by watching them ceaselessly, understanding their ways, and guiding their sex-life to our own purposes.	There lives in California a student of plant life, who has shown us what we can do, not by magic or by superhuman efforts, but simply by loving plants, by watching them ceaselessly, understanding their ways, and guiding their sex life to our own purposes.
5190_87791_000020_000002	We can perform what to our ignorant ancestors would have seemed to be miracles; we can actually make all sorts of new plants, which will continue to breed their own kind, and survive forever if we give them proper care.	We can perform what to our ignorant ancestors would have seemed to be miracles; we can actually make all sorts of new plants, which will continue to breed their own kind, and survive forever if we give them proper care.
5190_87791_000020_000003	In other words, Luther Burbank has shown us that we can "change plant nature."	In other words, Luther Burbank has shown us that we can "change plant nature."
5190_87791_000022_000001	We have shown elsewhere how genius multiplies to infinity the joy and power of life by means of the arts; and one of the greatest of the arts is the art of love.	We have shown elsewhere how genius multiplies to infinity the joy and power of life by means of the arts; and one of the greatest of the arts is the art of love.
