7495_102612_000002_000000	Chapter XXX.	Chapter thirty.
7495_102612_000067_000001	She is a very good girl! but she might have been made something much better than a farmer's wife."	She is a very good girl! but she might have been made something much better than a farmer's wife."
7495_102612_000068_000000	"You may set your mind at rest on that subject, mamma," said Constance, still using her chop-sticks with great complacency;--"it's my opinion that the farmer is not in existence who is blessed with such a conjugal futurity.	"You may set your mind at rest on that subject, mamma," said Constance, still using her chop sticks with great complacency;--"it's my opinion that the farmer is not in existence who is blessed with such a conjugal futurity.
7495_102612_000068_000001	I think Fleda's strong pastoral tastes are likely to develope themselves in a new direction."	I think Fleda's strong pastoral tastes are likely to develope themselves in a new direction."
7495_102612_000070_000000	"I don't know,--" said Constance, intent upon her basket,--"I feel a friend's distress for Mr. Thorn--it's all your doing, mamma,--you won't be able to look him in the face when we have Fleda next fall--I am sure I shall not want to look at his!	"I don't know,--" said Constance, intent upon her basket,--"I feel a friend's distress for mr Thorn-it's all your doing, mamma,--you won't be able to look him in the face when we have Fleda next fall-I am sure I shall not want to look at his!
7495_102612_000070_000001	He'll be too savage for anything."	He'll be too savage for anything."
7495_102612_000071_000000	"Mr.	"mr
7495_102612_000071_000001	Thorn!" said Mr. Carleton.	Thorn!" said mr Carleton.
7495_102612_000072_000000	"Yes," said Mrs. Evelyn in an indulgent tone,--"he was very attentive to her last winter when she was with us, but she went away before anything was decided.	"Yes," said mrs Evelyn in an indulgent tone,--"he was very attentive to her last winter when she was with us, but she went away before anything was decided.
7495_102612_000072_000001	I don't think he has forgotten her."	I don't think he has forgotten her."
7495_102612_000073_000000	"I shouldn't think anybody could forget her," said Edith.	"I shouldn't think anybody could forget her," said Edith.
7495_102612_000074_000000	"I am confident he would be here at this moment," said Constance, "if he wasn't in London."	"I am confident he would be here at this moment," said Constance, "if he wasn't in London."
7495_102612_000075_000000	"But what is 'all mamma's doing,' Constance?" inquired her sister.	"But what is 'all mamma's doing,' Constance?" inquired her sister.
7495_102612_000076_000000	"The destruction of the peace of the whole family of Thorns--shouldn't sleep sound in my bed if I were she with such a reflection.	"The destruction of the peace of the whole family of Thorns-shouldn't sleep sound in my bed if I were she with such a reflection.
7495_102612_000076_000001	I look forward to heart-rending scenes,--with a very disturbed state of mind."	I look forward to heart rending scenes,--with a very disturbed state of mind."
7495_102612_000077_000000	"But what have I done, my child?" said Mrs. Evelyn.	"But what have I done, my child?" said mrs Evelyn.
7495_102612_000078_000000	"Didn't you introduce your favourite Mr. Olmney to Miss Ringgan last summer?	"Didn't you introduce your favourite mr Olmney to Miss Ringgan last summer?
7495_102612_000079_000000	"Did you see him?" said Mrs. Evelyn.	"Did you see him?" said mrs Evelyn.
7495_102612_000080_000000	"Only at that impracticable distance, mamma; but I introduced his name afterwards in my usual happy manner and I found that Miss Ringgan's cheeks were by no means indifferent to it.	"Only at that impracticable distance, mamma; but I introduced his name afterwards in my usual happy manner and I found that Miss Ringgan's cheeks were by no means indifferent to it.
7495_102612_000080_000001	I didn't dare go any further."	I didn't dare go any further."
7495_102612_000081_000000	"I am very glad of it!	"I am very glad of it!
7495_102612_000081_000002	He is a charming young man and would make her very happy."	He is a charming young man and would make her very happy."
7495_102612_000082_000001	Mr. Carleton, did your ears receive a faint announcement of ham and eggs which went quite through and through mine just now?"	mr Carleton, did your ears receive a faint announcement of ham and eggs which went quite through and through mine just now?"
7495_102612_000083_000000	He bowed and handed the young lady in; but Constance declared that though he sat beside her and took care of her at breakfast he had on one of his intangible fits which drove her to the last extreme of impatience, and captivation.	He bowed and handed the young lady in; but Constance declared that though he sat beside her and took care of her at breakfast he had on one of his intangible fits which drove her to the last extreme of impatience, and captivation.
7495_102612_000084_000000	The sun was not much more than two hours high the next morning when a rider was slowly approaching Mr. Rossitur's house from the bridge, walking his horse like a man who wished to look well at all he was passing.	The sun was not much more than two hours high the next morning when a rider was slowly approaching mr Rossitur's house from the bridge, walking his horse like a man who wished to look well at all he was passing.
7495_102612_000084_000001	He paused behind a clump of locusts and rose-acacias in the corner of the courtyard as a figure bonneted and gloved came out of the house and began to be busy among the rose-bushes.	He paused behind a clump of locusts and rose acacias in the corner of the courtyard as a figure bonneted and gloved came out of the house and began to be busy among the rose bushes.
7495_102612_000084_000002	Another figure presently appeared at the hall-door and called out,	Another figure presently appeared at the hall door and called out,
7495_102612_000085_000000	"Fleda!--"	"Fleda!--"
7495_102612_000086_000000	"Well, Barby--"	"Well, Barby-"
7495_102612_000087_000000	This second voice was hardly raised, but it came from so much nearer that the words could be distinctly heard.	This second voice was hardly raised, but it came from so much nearer that the words could be distinctly heard.
7495_102612_000088_000000	"Mr. Skillcorn wants to know if you're going to fix the flowers for him to carry?"	"mr Skillcorn wants to know if you're going to fix the flowers for him to carry?"
7495_102612_000089_000001	Sweet must send for them if he wants them.	Sweet must send for them if he wants them.
7495_102612_000089_000002	Philetus must make haste back, for you know Mr. Douglass wants him to help in the barn meadow.	Philetus must make haste back, for you know mr Douglass wants him to help in the barn meadow.
7495_102612_000089_000003	Lucas won't be here and now the weather is so fine I want to make haste with the hay."	Lucas won't be here and now the weather is so fine I want to make haste with the hay."
7495_102612_000090_000000	"Well, will you have the samp for breakfast?"	"Well, will you have the samp for breakfast?"
7495_102612_000091_000000	"No--we'll keep that for dinner.	"No-we'll keep that for dinner.
7495_102612_000091_000002	Thin, Barby."	Thin, Barby."
7495_102612_000092_000000	The gentleman turned his horse and galloped back to Montepoole.	The gentleman turned his horse and galloped back to Montepoole.
