7933_113273_000000_000000	One of these was Quilp, the ugly dwarf.	One of these was Quilp, the ugly dwarf.
7933_113273_000006_000001	When Kit learned that The Stranger had discovered where little Nell was he was overjoyed; but he knew he himself was not the one to go, because before they disappeared she had told him he must never come to the Old Curiosity Shop again and that her grandfather blamed him as the cause of their misfortune.	When Kit learned that The Stranger had discovered where little Nell was he was overjoyed; but he knew he himself was not the one to go, because before they disappeared she had told him he must never come to the Old Curiosity Shop again and that her grandfather blamed him as the cause of their misfortune.
7933_113273_000006_000002	But Kit promised the Stranger that his mother should go in his place, and went to tell her at once.	But Kit promised the Stranger that his mother should go in his place, and went to tell her at once.
7933_113273_000007_000001	Kit took her home, packed her box and bundled her into the coach which the Stranger brought, and away they went to find the wanderers.	Kit took her home, packed her box and bundled her into the coach which the Stranger brought, and away they went to find the wanderers.
7933_113273_000008_000000	Now Quilp had all along suspected that Kit and his mother knew something of their whereabouts, and he had made it his business to watch either one or the other.	Now Quilp had all along suspected that Kit and his mother knew something of their whereabouts, and he had made it his business to watch either one or the other.
7933_113273_000008_000001	The dwarf, in fact, was in the church when Kit came for his mother, and he followed.	The dwarf, in fact, was in the church when Kit came for his mother, and he followed.
7933_113273_000008_000002	When she left with the Stranger he took another coach and pursued, feeling certain he was on the right track.	When she left with the Stranger he took another coach and pursued, feeling certain he was on the right track.
7933_113273_000009_000000	But they were all too late.	But they were all too late.
7933_113273_000010_000000	The part Kit had played in this made the dwarf hate him, if possible, more than ever, and he agreed to pay Brass, his rascally lawyer, to ruin the lad by making a false charge of theft against him.	The part Kit had played in this made the dwarf hate him, if possible, more than ever, and he agreed to pay Brass, his rascally lawyer, to ruin the lad by making a false charge of theft against him.
7933_113273_000011_000000	One day, when Kit came to Brass's house to see the Stranger, who lodged up stairs, the lawyer cunningly hid a five-pound note in the lad's hat and as soon as he left ran after him, seized him in the street and accused him of taking it from his office desk.	One day, when Kit came to Brass's house to see the Stranger, who lodged up stairs, the lawyer cunningly hid a five pound note in the lad's hat and as soon as he left ran after him, seized him in the street and accused him of taking it from his office desk.
7933_113273_000012_000000	Kit was arrested, and the note, of course, was found on his person.	Kit was arrested, and the note, of course, was found on his person.
7933_113273_000012_000001	The evidence seemed so strong that the poor fellow was quickly tried, found guilty and sentenced to prison for a long time.	The evidence seemed so strong that the poor fellow was quickly tried, found guilty and sentenced to prison for a long time.
7933_113273_000013_000000	All might have gone wrong but for a little maid-servant of Brass's, whom the lawyer had starved and mistreated for years.	All might have gone wrong but for a little maid servant of Brass's, whom the lawyer had starved and mistreated for years.
7933_113273_000013_000001	He used to keep her locked in the moldy cellar and gave her so little to eat that she would creep into the office at night (she had found a key that fitted the door) to pick up the bits of bread that Dick Swiveller, Brass's clerk, had left when he ate his luncheon.	He used to keep her locked in the moldy cellar and gave her so little to eat that she would creep into the office at night (she had found a key that fitted the door) to pick up the bits of bread that Dick Swiveller, Brass's clerk, had left when he ate his luncheon.
7933_113273_000014_000000	One night, while this little drudge was prowling about above stairs, she overheard Brass telling his sister, Sally (who was his partner and colder and crueler and more wicked even than he was), the trick he was going to play.	One night, while this little drudge was prowling about above stairs, she overheard Brass telling his sister, Sally (who was his partner and colder and crueler and more wicked even than he was), the trick he was going to play.
7933_113273_000014_000001	After Kit was arrested she ran away from Brass's house and told her story to Kit's employer, who had all along believed in his innocence.	After Kit was arrested she ran away from Brass's house and told her story to Kit's employer, who had all along believed in his innocence.
7933_113273_000017_000000	Officers were sent at once to arrest Quilp at a dingy dwelling on a wharf in the river where he often slept with the object of terrifying his wife by his long absences.	Officers were sent at once to arrest Quilp at a dingy dwelling on a wharf in the river where he often slept with the object of terrifying his wife by his long absences.
7933_113273_000017_000001	Here he had set up the battered figurehead of a wrecked ship and, imagining that its face resembled that of Kit whom he so fiendishly hated, he used to amuse himself by screwing gimlets into its breast, sticking forks into its eyes and beating it with a poker.	Here he had set up the battered figurehead of a wrecked ship and, imagining that its face resembled that of Kit whom he so fiendishly hated, he used to amuse himself by screwing gimlets into its breast, sticking forks into its eyes and beating it with a poker.
7933_113273_000018_000000	A few minutes before the officers arrived the dwarf received warning from Sally Brass, but he had no time to get away.	A few minutes before the officers arrived the dwarf received warning from Sally Brass, but he had no time to get away.
7933_113273_000018_000002	He tried to cover the light of the fire, but only succeeded in upsetting the stove.	He tried to cover the light of the fire, but only succeeded in upsetting the stove.
7933_113273_000019_000000	It was a black, foggy night, and he could not see a foot before him.	It was a black, foggy night, and he could not see a foot before him.
7933_113273_000019_000001	He thought he could climb over the wall to the next wharf and so escape, but in his fright he missed his way and fell over the edge of the platform into the swift-flowing river.	He thought he could climb over the wall to the next wharf and so escape, but in his fright he missed his way and fell over the edge of the platform into the swift flowing river.
7933_113273_000020_000000	He screamed in terror, but the water filled his throat and the knocking on the gates was so loud that no one heard him.	He screamed in terror, but the water filled his throat and the knocking on the gates was so loud that no one heard him.
7933_113273_000020_000001	The water swept him close to a ship, but its keel was smooth and slippery and there was nothing to cling to.	The water swept him close to a ship, but its keel was smooth and slippery and there was nothing to cling to.
7933_113273_000020_000002	He had been so wicked that he was afraid to die and he fought desperately, but the rapid tide smothered his cries and dragged him down--to death.	He had been so wicked that he was afraid to die and he fought desperately, but the rapid tide smothered his cries and dragged him down-to death.
7933_113273_000021_000000	The waves threw his drowned body finally on the edge of a dismal swamp, in the red glare of the blazing ruin which the overturned stove that night made of the building in which he had framed his evil plots.	The waves threw his drowned body finally on the edge of a dismal swamp, in the red glare of the blazing ruin which the overturned stove that night made of the building in which he had framed his evil plots.
7933_113273_000021_000001	And this was the end of Quilp, the dwarf.	And this was the end of Quilp, the dwarf.
7933_113273_000022_000000	As for Kit, he found himself all at once not only free, but a hero.	As for Kit, he found himself all at once not only free, but a hero.
7933_113273_000024_000001	A gentleman who lived in the village to which they were now bound, who had himself been kind to the child and to the old man whom the new schoolmaster had brought with him, had written of the pair to Kit's employer, and the letter had been the lost clue, so long sought, to their hiding-place.	A gentleman who lived in the village to which they were now bound, who had himself been kind to the child and to the old man whom the new schoolmaster had brought with him, had written of the pair to Kit's employer, and the letter had been the lost clue, so long sought, to their hiding place.
7933_113273_000025_000000	Snow began falling as the daylight wore away, and the coach wheels made no noise.	Snow began falling as the daylight wore away, and the coach wheels made no noise.
7933_113273_000025_000001	All night and all the next day, they rode, and it was midnight before they came to the town where the two wanderers had taken refuge.	All night and all the next day, they rode, and it was midnight before they came to the town where the two wanderers had taken refuge.
7933_113273_000026_000000	The village was very still, and the air was frosty and cold.	The village was very still, and the air was frosty and cold.
7933_113273_000026_000001	Only a single light was to be seen, coming from a window beside a church.	Only a single light was to be seen, coming from a window beside a church.
7933_113273_000027_000000	They left the driver to take the horses to the inn and approached the building afoot.	They left the driver to take the horses to the inn and approached the building afoot.
7933_113273_000027_000001	They went quite close and looked through the window.	They went quite close and looked through the window.
7933_113273_000027_000002	In the room an old man bent low over a fire crooning to himself, and Kit, seeing that it was his old master, opened the door, ran in, knelt by him and caught his hand.	In the room an old man bent low over a fire crooning to himself, and Kit, seeing that it was his old master, opened the door, ran in, knelt by him and caught his hand.
7933_113273_000028_000000	The old grandfather did not recognize Kit.	The old grandfather did not recognize Kit.
7933_113273_000028_000002	He was much changed, and it seemed as if some great blow or grief had crazed him.	He was much changed, and it seemed as if some great blow or grief had crazed him.
7933_113273_000028_000003	He had a dress of little Nell's in his hand and smoothed and patted it as he muttered that she had been asleep--asleep a long time now, and was marble cold and would not wake.	He had a dress of little Nell's in his hand and smoothed and patted it as he muttered that she had been asleep-asleep a long time now, and was marble cold and would not wake.
7933_113273_000029_000001	"And see here--these shoes--how worn they are!	"And see here-these shoes-how worn they are!
7933_113273_000029_000002	You see where her feet went bare upon the ground.	You see where her feet went bare upon the ground.
7933_113273_000029_000003	They told me afterward that the stones had cut and bruised them.	They told me afterward that the stones had cut and bruised them.
7933_113273_000029_000004	She never told me that.	She never told me that.
7933_113273_000029_000005	No, no, God bless her!	No, no, God bless her!
7933_113273_000029_000006	And I have remembered since how she walked behind me, that I might not see how lame she was, but yet she had my hand in hers and seemed to lead me still."	And I have remembered since how she walked behind me, that I might not see how lame she was, but yet she had my hand in hers and seemed to lead me still."
7933_113273_000030_000000	So he muttered on, and the cheeks of the others were wet with tears, for they had begun to understand the sad truth.	So he muttered on, and the cheeks of the others were wet with tears, for they had begun to understand the sad truth.
7933_113273_000031_000002	Say that you had a brother, long forgotten, who now at last came back to you to be what you were then to him.	Say that you had a brother, long forgotten, who now at last came back to you to be what you were then to him.
7933_113273_000031_000003	Give me but one word, dear brother, to say you know me, and life will still be precious to us again."	Give me but one word, dear brother, to say you know me, and life will still be precious to us again."
7933_113273_000032_000001	Pushing them aside, he went into the next room, calling little Nell's name softly as he went.	Pushing them aside, he went into the next room, calling little Nell's name softly as he went.
7933_113273_000033_000000	They followed.	They followed.
7933_113273_000034_000001	The schoolmaster told them of her last hours.	The schoolmaster told them of her last hours.
7933_113273_000034_000002	They had read and talked to her a while, and then she had sunk peacefully to sleep.	They had read and talked to her a while, and then she had sunk peacefully to sleep.
7933_113273_000035_000000	Opening her eyes at last, she begged that they would kiss her once again.	Opening her eyes at last, she begged that they would kiss her once again.
7933_113273_000035_000001	That done, she turned to the old man with a lovely smile on her face--such, he said, as he had never seen--and threw both arms about his neck.	That done, she turned to the old man with a lovely smile on her face-such, he said, as he had never seen-and threw both arms about his neck.
7933_113273_000035_000002	They did not know at first that she was dead.	They did not know at first that she was dead.
7933_113273_000036_000000	They laid little Nell to rest the next day in the churchyard where she had so often sat.	They laid little Nell to rest the next day in the churchyard where she had so often sat
7933_113273_000037_000000	One day he did not return at the usual hour and they went to look for him.	One day he did not return at the usual hour and they went to look for him.
7933_113273_000037_000001	He was lying dead upon the stone.	He was lying dead upon the stone.
7933_113273_000038_000000	They buried him beside the child he had loved, and there in the churchyard where they had often talked together they both lie side by side.	They buried him beside the child he had loved, and there in the churchyard where they had often talked together they both lie side by side.
7933_113273_000039_000000	None of those who had known little Nell ever forgot her story.	None of those who had known little Nell ever forgot her story.
7933_113273_000039_000001	After the death of the old man, his brother, the Stranger who had sought them so long, traveled in the footsteps of the two wanderers to search out and reward all who had been kind to them--Mrs.	After the death of the old man, his brother, the Stranger who had sought them so long, traveled in the footsteps of the two wanderers to search out and reward all who had been kind to them-mrs
7933_113273_000039_000002	Jarley of the waxwork, the Punch-and-Judy showmen, he found them all.	Jarley of the waxwork, the Punch and Judy showmen, he found them all.
7933_113273_000039_000003	Even the rough canal boatmen were not forgotten.	Even the rough canal boatmen were not forgotten.
7933_113273_000040_000000	Kit's story got abroad and he found himself with hosts of friends, who gave him a good position and secured his mother from want.	Kit's story got abroad and he found himself with hosts of friends, who gave him a good position and secured his mother from want.
7933_113273_000040_000001	So that his greatest misfortune turned out, after all, to be his greatest good.	So that his greatest misfortune turned out, after all, to be his greatest good.
7933_113273_000041_000000	The little maid whose evidence cleared Kit of the terrible charge against him lived to marry Dick Swiveller, the clerk of Brass, the lawyer, while meek Mrs. Quilp, after her husband's drowning, married a clever young man and lived a pleasant life on the dead dwarf's money.	The little maid whose evidence cleared Kit of the terrible charge against him lived to marry Dick Swiveller, the clerk of Brass, the lawyer, while meek mrs Quilp, after her husband's drowning, married a clever young man and lived a pleasant life on the dead dwarf's money.
7933_113273_000042_000000	The fate of the others, whose wickedness has been a part of this story, was not so pleasant.	The fate of the others, whose wickedness has been a part of this story, was not so pleasant.
