1961_145733_000000_000000	THE SWINEHERD	THE SWINEHERD	true	18.69	19.72	18
1961_145733_000023_000001	That was indeed something quite different from the rose.	That was indeed something quite different from the rose.	true	239.9	242.59	19.655008
1961_145733_000024_000000	Now the Princess came walking past with all her ladies-in-waiting, and when she heard the tune she stood still and her face beamed with joy, for she also could play 'Where is Augustus dear?'	Now the Princess came walking past with all her ladies in waiting, and when she heard the tune she stood still and her face beamed with joy, for she also could play 'Where is Augustus dear?'	true	243.32	255.07	20
1961_145733_000025_000000	It was the only tune she knew, but that she could play with one finger.	It was the only tune she knew, but that she could play with one finger.	false	255.35	259.69	22.718473
1961_145733_000026_000000	'Why, that is what I play!' she said.	'Why, that is what I play!' she said.	true	259.82	262.185	20.71257
1961_145733_000026_000001	'He must be a most accomplished Swineherd!	'He must be a most accomplished Swineherd!	true	262.185	264.855	19.56279
1961_145733_000026_000002	Listen!	Listen!	true	264.855	265.51	22.613218
1961_145733_000026_000003	Go down and ask him what the instrument costs.'	Go down and ask him what the instrument costs.'	true	265.52	268.99	21
1961_145733_000027_000000	And one of the ladies-in-waiting had to go down; but she put on wooden clogs.	And one of the ladies in waiting had to go down; but she put on wooden clogs.	true	269.84	274.51	14
1961_145733_000027_000001	'What will you take for the pot?' asked the lady-in-waiting.	'What will you take for the pot?' asked the lady in waiting.	true	274.7	277.63	21
1961_145733_000028_000000	'I will have ten kisses from the Princess,' answered the Swineherd.	'I will have ten kisses from the Princess,' answered the Swineherd.	true	278.39	282.16	22.08384
1961_145733_000029_000000	'Heaven forbid!' said the lady-in-waiting.	'Heaven forbid!' said the lady in waiting.	true	282.56	284.98	21.103052
1961_145733_000030_000000	'Yes, I will sell it for nothing less,' replied the Swineherd.	'Yes, I will sell it for nothing less,' replied the Swineherd.	true	285.26	289	22.232618
1961_145733_000031_000000	'Well, what does he say?' asked the Princess.	'Well, what does he say?' asked the Princess.	true	289.37	292.51	20.833326
1961_145733_000032_000000	'I really hardly like to tell you,' answered the lady-in-waiting.	'I really hardly like to tell you,' answered the lady in waiting.	false	292.73	296.44	19
1961_145733_000033_000000	'Oh, then you can whisper it to me.'	'Oh, then you can whisper it to me.'	false	296.84	301.2	23.316385
1961_145733_000034_000000	'He is disobliging!' said the Princess, and went away.	'He is disobliging!' said the Princess, and went away.	true	301.2	304.27	19
1961_145733_000034_000001	But she had only gone a few steps when the bells rang out so prettily--	But she had only gone a few steps when the bells rang out so prettily-	true	304.46	308.41	16
1961_145733_000035_000000	'Where is Augustus dear? Alas! he's not here, here, here.'	'Where is Augustus dear? Alas! he's not here, here, here.'	true	308.48	312.82	20.568241
1961_145733_000036_000000	'Listen!' said the Princess.	'Listen!' said the Princess.	true	313.46	314.92	20.40415
1961_145733_000036_000001	'Ask him whether he will take ten kisses from my ladies-in-waiting.'	'Ask him whether he will take ten kisses from my ladies in waiting.'	true	315.02	319.03	19
1961_145733_000037_000000	'No, thank you,' said the Swineherd. 'Ten kisses from the Princess, or else I keep my pot.'	'No, thank you,' said the Swineherd. 'Ten kisses from the Princess, or else I keep my pot.'	true	319.49	324.64	21.098568
1961_145733_000038_000000	'That is very tiresome!' said the Princess. 'But you must put yourselves in front of me, so that no one can see.'	'That is very tiresome!' said the Princess. 'But you must put yourselves in front of me, so that no one can see.'	true	325.01	331.66	20.114946
1961_145733_000039_000000	And the ladies-in-waiting placed themselves in front and then spread out their dresses; so the Swineherd got his ten kisses, and she got the pot.	And the ladies in waiting placed themselves in front and then spread out their dresses; so the Swineherd got his ten kisses, and she got the pot.	true	332.27	340.63	20.082687
1961_145733_000040_000000	What happiness that was!	What happiness that was!	true	341.03	343.18	25.539602
1961_145733_000040_000001	The whole night and the whole day the pot was made to boil; there was not a fire-place in the whole town where they did not know what was being cooked, whether it was at the chancellor's or at the shoemaker's.	The whole night and the whole day the pot was made to boil; there was not a fire place in the whole town where they did not know what was being cooked, whether it was at the chancellor's or at the shoemaker's.	true	343.25	354.85	20.304224
1961_145733_000041_000000	The ladies-in-waiting danced and clapped their hands.	The ladies in waiting danced and clapped their hands.	true	355.28	358.33	19
1961_145733_000042_000000	'We know who is going to have soup and pancakes; we know who is going to have porridge and sausages--isn't it interesting?'	'We know who is going to have soup and pancakes; we know who is going to have porridge and sausages-isn't it interesting?'	true	358.58	365.08	19
1961_145733_000043_000000	'Yes, very interesting!' said the first lady-in-waiting.	'Yes, very interesting!' said the first lady in waiting.	true	365.27	368.71	18
1961_145733_000044_000000	'But don't say anything about it, for I am the Emperor's daughter.'	'But don't say anything about it, for I am the Emperor's daughter.'	true	369.08	372.61	20.851927
1961_145733_000045_000000	'Oh, no, of course we won't!' said everyone.	'Oh, no, of course we won't!' said everyone.	true	372.71	375.7	24.819397
1961_145733_000046_000000	The Swineherd--that is to say, the Prince (though they did not know he was anything but a true Swineherd)--let no day pass without making something, and one day he made a rattle which, when it was turned round, played all the waltzes, galops, and polkas which had ever been known since the world began.	The Swineherd-that is to say, the Prince (though they did not know he was anything but a true Swineherd)--let no day pass without making something, and one day he made a rattle which, when it was turned round, played all the waltzes, galops, and polkas which had ever been known since the world began.	false	375.95	393.1	20.637793
1961_145733_000047_000000	'But that is superbe!' said the Princess as she passed by.	'But that is superbe!' said the Princess as she passed by.	false	393.92	397.36	19
1961_145733_000047_000001	'I have never heard a more beautiful composition.	'I have never heard a more beautiful composition.	true	397.46	400	20.866255
1961_145733_000047_000002	Listen!	Listen!	true	400.01	400.65	21.51313
1961_145733_000047_000003	Go down and ask him what this instrument costs; but I won't kiss him again.'	Go down and ask him what this instrument costs; but I won't kiss him again.'	true	400.65	405.34	22.114016
1961_145733_000048_000000	'He wants a hundred kisses from the Princess,' said the lady-in-waiting who had gone down to ask him.	'He wants a hundred kisses from the Princess,' said the lady in waiting who had gone down to ask him.	false	405.95	411.22	18
1961_145733_000049_000000	'I believe he is mad!' said the Princess, and then she went on; but she had only gone a few steps when she stopped.	'I believe he is mad!' said the Princess, and then she went on; but she had only gone a few steps when she stopped.	true	411.23	418.75	18.904411
1961_145733_000050_000000	'One ought to encourage art,' she said.	'One ought to encourage art,' she said.	true	419.18	422.23	24.899546
1961_145733_000050_000001	'I am the Emperor's daughter! Tell him he shall have, as before, ten kisses; the rest he can take from my ladies-in-waiting.'	'I am the Emperor's daughter! Tell him he shall have, as before, ten kisses; the rest he can take from my ladies in waiting.'	true	422.63	430.66	20.10853
1961_145733_000051_000000	'But we don't at all like being kissed by him,' said the ladies-in-waiting.	'But we don't at all like being kissed by him,' said the ladies in waiting.	true	431.09	435.19	16
1961_145733_000052_000000	'That's nonsense,' said the Princess; 'and if I can kiss him, you can too.	'That's nonsense,' said the Princess; 'and if I can kiss him, you can too.	true	435.23	439.48	20.468391
1961_145733_000052_000001	Besides, remember that I give you board and lodging.'	Besides, remember that I give you board and lodging.'	false	439.58	442.72	19.71821
1961_145733_000053_000000	So the ladies-in-waiting had to go down to him again.	So the ladies in waiting had to go down to him again.	true	443.21	446.17	16
1961_145733_000054_000000	'A hundred kisses from the Princess,' said he, 'or each keeps his own.'	'A hundred kisses from the Princess,' said he, 'or each keeps his own.'	false	446.45	451.68	19.7047
1961_145733_000055_000000	'Put yourselves in front of us,' she said then; and so all the ladies-in-waiting put themselves in front, and he began to kiss the Princess.	'Put yourselves in front of us,' she said then; and so all the ladies in waiting put themselves in front, and he began to kiss the Princess.	false	451.68	458.56	19
1961_145733_000056_000000	'What can that commotion be by the pigsties?' asked the Emperor, who was standing on the balcony.	'What can that commotion be by the pigsties?' asked the Emperor, who was standing on the balcony.	false	459.26	464.44	19
1961_145733_000056_000001	He rubbed his eyes and put on his spectacles. 'Why those are the ladies-in-waiting playing their games; I must go down to them.'	He rubbed his eyes and put on his spectacles. 'Why those are the ladies in waiting playing their games; I must go down to them.'	true	464.72	473.23	22.174578
1961_145733_000057_000000	So he took off his shoes, which were shoes though he had trodden them down into slippers.	So he took off his shoes, which were shoes though he had trodden them down into slippers.	true	473.6	479.17	20.245705
1961_145733_000057_000001	What a hurry he was in, to be sure!	What a hurry he was in, to be sure!	true	479.51	481.84	18
1961_145733_000058_000000	As soon as he came into the yard he walked very softly, and the ladies-in-waiting were so busy counting the kisses and seeing fair play that they never noticed the Emperor.	As soon as he came into the yard he walked very softly, and the ladies in waiting were so busy counting the kisses and seeing fair play that they never noticed the Emperor.	true	482.3	492.43	18
1961_145733_000058_000001	He stood on tiptoe.	He stood on tiptoe.	true	492.53	494.02	20
1961_145733_000059_000000	'What is that?' he said, when he saw the kissing; and then he threw one of his slippers at their heads just as the Swineherd was taking his eighty-sixth kiss.	'What is that?' he said, when he saw the kissing; and then he threw one of his slippers at their heads just as the Swineherd was taking his eighty sixth kiss.	false	494.87	503.74	19.8513
1961_145733_000060_000000	'Be off with you!' said the Emperor, for he was very angry.	'Be off with you!' said the Emperor, for he was very angry.	true	504.05	507.67	20.65919
1961_145733_000060_000001	And the Princess and the Swineherd were driven out of the empire.	And the Princess and the Swineherd were driven out of the empire.	false	508.04	512.17	21.986996
1961_145733_000061_000000	Then she stood still and wept; the Swineherd was scolding, and the rain was streaming down.	Then she stood still and wept; the Swineherd was scolding, and the rain was streaming down.	true	512.87	519.04	16
1961_145733_000062_000000	'Alas, what an unhappy creature I am!' sobbed the Princess.	'Alas, what an unhappy creature I am!' sobbed the Princess.	true	519.32	523.51	21.252825
1961_145733_000063_000000	'If only I had taken the beautiful Prince!	'If only I had taken the beautiful Prince!	true	523.7	526.12	20.77997
1961_145733_000063_000001	Alas, how unfortunate I am!'	Alas, how unfortunate I am!'	true	526.25	528.88	18
1961_145733_000064_000000	And the Swineherd went behind a tree, washed the black and brown off his face, threw away his old clothes, and then stepped forward in his splendid dress, looking so beautiful that the Princess was obliged to courtesy.	And the Swineherd went behind a tree, washed the black and brown off his face, threw away his old clothes, and then stepped forward in his splendid dress, looking so beautiful that the Princess was obliged to courtesy.	true	529.43	541.9	20.05621
1961_145733_000065_000000	'I now come to this.	'I now come to this.	true	542.6	543.915	21.496891
1961_145733_000065_000001	I despise you!' he said.	I despise you!' he said.	true	543.915	545.89	19
1961_145733_000065_000002	'You would have nothing to do with a noble Prince; you did not understand the rose or the nightingale, but you could kiss the Swineherd for the sake of a toy. This is what you get for it!' And he went into his kingdom and shut the door in her face, and she had to stay outside singing--	'You would have nothing to do with a noble Prince; you did not understand the rose or the nightingale, but you could kiss the Swineherd for the sake of a toy. This is what you get for it!' And he went into his kingdom and shut the door in her face, and she had to stay outside singing-	false	546.11	571.95	19.94842
