1961_145733_000001_000000	There was once a poor Prince.	There was once a poor Prince.
1961_145733_000024_000000	Now the Princess came walking past with all her ladies-in-waiting, and when she heard the tune she stood still and her face beamed with joy, for she also could play 'Where is Augustus dear?'	Now the Princess came walking past with all her ladies in waiting, and when she heard the tune she stood still and her face beamed with joy, for she also could play 'Where is Augustus dear?'
1961_145733_000026_000000	'Why, that is what I play!' she said.	'Why, that is what I play!' she said.
1961_145733_000026_000002	Listen!	Listen!
1961_145733_000026_000003	Go down and ask him what the instrument costs.'	Go down and ask him what the instrument costs.'
1961_145733_000027_000001	'What will you take for the pot?' asked the lady-in-waiting.	'What will you take for the pot?' asked the lady in waiting.
1961_145733_000028_000000	'I will have ten kisses from the Princess,' answered the Swineherd.	'I will have ten kisses from the Princess,' answered the Swineherd.
1961_145733_000029_000000	'Heaven forbid!' said the lady-in-waiting.	'Heaven forbid!' said the lady in waiting.
1961_145733_000030_000000	'Yes, I will sell it for nothing less,' replied the Swineherd.	'Yes, I will sell it for nothing less,' replied the Swineherd.
1961_145733_000031_000000	'Well, what does he say?' asked the Princess.	'Well, what does he say?' asked the Princess.
1961_145733_000035_000000	'Where is Augustus dear? Alas! he's not here, here, here.'	'Where is Augustus dear? Alas! he's not here, here, here.'
1961_145733_000036_000000	'Listen!' said the Princess.	'Listen!' said the Princess.
1961_145733_000037_000000	'No, thank you,' said the Swineherd. 'Ten kisses from the Princess, or else I keep my pot.'	'No, thank you,' said the Swineherd. 'Ten kisses from the Princess, or else I keep my pot.'
1961_145733_000038_000000	'That is very tiresome!' said the Princess. 'But you must put yourselves in front of me, so that no one can see.'	'That is very tiresome!' said the Princess. 'But you must put yourselves in front of me, so that no one can see.'
1961_145733_000039_000000	And the ladies-in-waiting placed themselves in front and then spread out their dresses; so the Swineherd got his ten kisses, and she got the pot.	And the ladies in waiting placed themselves in front and then spread out their dresses; so the Swineherd got his ten kisses, and she got the pot.
1961_145733_000040_000000	What happiness that was!	What happiness that was!
1961_145733_000040_000001	The whole night and the whole day the pot was made to boil; there was not a fire-place in the whole town where they did not know what was being cooked, whether it was at the chancellor's or at the shoemaker's.	The whole night and the whole day the pot was made to boil; there was not a fire place in the whole town where they did not know what was being cooked, whether it was at the chancellor's or at the shoemaker's.
1961_145733_000044_000000	'But don't say anything about it, for I am the Emperor's daughter.'	'But don't say anything about it, for I am the Emperor's daughter.'
1961_145733_000045_000000	'Oh, no, of course we won't!' said everyone.	'Oh, no, of course we won't!' said everyone.
1961_145733_000047_000001	'I have never heard a more beautiful composition.	'I have never heard a more beautiful composition.
1961_145733_000047_000002	Listen!	Listen!
1961_145733_000047_000003	Go down and ask him what this instrument costs; but I won't kiss him again.'	Go down and ask him what this instrument costs; but I won't kiss him again.'
1961_145733_000050_000000	'One ought to encourage art,' she said.	'One ought to encourage art,' she said.
1961_145733_000050_000001	'I am the Emperor's daughter! Tell him he shall have, as before, ten kisses; the rest he can take from my ladies-in-waiting.'	'I am the Emperor's daughter! Tell him he shall have, as before, ten kisses; the rest he can take from my ladies in waiting.'
1961_145733_000052_000000	'That's nonsense,' said the Princess; 'and if I can kiss him, you can too.	'That's nonsense,' said the Princess; 'and if I can kiss him, you can too.
1961_145733_000056_000001	He rubbed his eyes and put on his spectacles. 'Why those are the ladies-in-waiting playing their games; I must go down to them.'	He rubbed his eyes and put on his spectacles. 'Why those are the ladies in waiting playing their games; I must go down to them.'
1961_145733_000057_000000	So he took off his shoes, which were shoes though he had trodden them down into slippers.	So he took off his shoes, which were shoes though he had trodden them down into slippers.
1961_145733_000058_000001	He stood on tiptoe.	He stood on tiptoe.
1961_145733_000060_000000	'Be off with you!' said the Emperor, for he was very angry.	'Be off with you!' said the Emperor, for he was very angry.
1961_145733_000062_000000	'Alas, what an unhappy creature I am!' sobbed the Princess.	'Alas, what an unhappy creature I am!' sobbed the Princess.
1961_145733_000063_000000	'If only I had taken the beautiful Prince!	'If only I had taken the beautiful Prince!
1961_145733_000064_000000	And the Swineherd went behind a tree, washed the black and brown off his face, threw away his old clothes, and then stepped forward in his splendid dress, looking so beautiful that the Princess was obliged to courtesy.	And the Swineherd went behind a tree, washed the black and brown off his face, threw away his old clothes, and then stepped forward in his splendid dress, looking so beautiful that the Princess was obliged to courtesy.
1961_145733_000065_000000	'I now come to this.	'I now come to this.
