8459_285173_000000_000000	"DEAR B.........	"DEAR b........	true	31.155	32.08	24.010063
8459_285173_000001_000007	_This neighbor's own opinion has, in like manner, been adopted from one above him, and so, ascendingly, to a few gifted individuals who kneel around the summit, beholding, face to face, the master spirit who stands upon the pinnacle.	underscore This neighbor's own opinion has, in like manner, been adopted from one above him, and so, ascendingly, to a few gifted individuals who kneel around the summit, beholding, face to face, the master spirit who stands upon the pinnacle.	false	149.04	163.06	24.033968
8459_285173_000002_000000	"You are aware of the great barrier in the path of an American writer. He is read, if at all, in preference to the combined and established wit of the world.	"You are aware of the great barrier in the path of an American writer. He is read, if at all, in preference to the combined and established wit of the world.	true	164.15	172.66	23.836178
8459_285173_000002_000001	I say established; for it is with literature as with law or empire-an established name is an estate in tenure, or a throne in possession.	I say established; for it is with literature as with law or empire an established name is an estate in tenure, or a throne in possession.	false	172.7	181.03	23.898327
8459_285173_000002_000002	Besides, one might suppose that books, like their authors, improve by travel-their having crossed the sea is, with us, so great a distinction.	Besides, one might suppose that books, like their authors, improve by travel their having crossed the sea is, with us, so great a distinction.	true	181.31	189.82	23.856415
8459_285173_000002_000003	Our antiquaries abandon time for distance; our very fops glance from the binding to the bottom of the title-page, where the mystic characters which spell London, Paris, or Genoa, are precisely so many letters of recommendation.	Our antiquaries abandon time for distance; our very fops glance from the binding to the bottom of the title page, where the mystic characters which spell London, Paris, or Genoa, are precisely so many letters of recommendation.	true	190.01	202.6	21.820248
8459_285173_000003_000000	"I mentioned just now a vulgar error as regards criticism.	"I mentioned just now a vulgar error as regards criticism.	true	203.15	206.62	19.704977
8459_285173_000003_000001	I think the notion that no poet can form a correct estimate of his own writings is another.	I think the notion that no poet can form a correct estimate of his own writings is another.	true	206.9	211.87	23.736532
8459_285173_000003_000002	I remarked before that in proportion to the poetical talent would be the justice of a critique upon poetry.	I remarked before that in proportion to the poetical talent would be the justice of a critique upon poetry.	true	212.3	218.35	24.797428
8459_285173_000003_000003	Therefore a bad poet would, I grant, make a false critique, and his self-love would infallibly bias his little judgment in his favor; but a poet, who is indeed a poet, could not, I think, fail of making-a just critique; whatever should be deducted on the score of self-love might be replaced on account of his intimate acquaintance with the subject; in short, we have more instances of false criticism than of just where one's own writings are the test, simply because we have more bad poets than good. There are, of course, many objections to what I say: Milton is a great example of the contrary; but his opinion with respect to the 'Paradise Regained' is by no means fairly ascertained.	Therefore a bad poet would, I grant, make a false critique, and his self love would infallibly bias his little judgment in his favor; but a poet, who is indeed a poet, could not, I think, fail of making a just critique; whatever should be deducted on the score of self love might be replaced on account of his intimate acquaintance with the subject; in short, we have more instances of false criticism than of just where one's own writings are the test, simply because we have more bad poets than good. There are, of course, many objections to what I say: Milton is a great example of the contrary; but his opinion with respect to the 'Paradise Regained' is by no means fairly ascertained.	true	218.72	259.87	22.68828
8459_285173_000003_000004	By what trivial circumstances men are often led to assert what they do not really believe!	By what trivial circumstances men are often led to assert what they do not really believe!	true	260.33	265.18	11
8459_285173_000003_000005	Perhaps an inadvertent word has descended to posterity.	Perhaps an inadvertent word has descended to posterity.	true	266.03	269.17	20.708084
8459_285173_000003_000006	But, in fact, the 'Paradise Regained' is little, if at all, inferior to the 'Paradise Lost,' and is only supposed so to be because men do not like epics, whatever they may say to the contrary, and, reading those of Milton in their natural order, are too much wearied with the first to derive any pleasure from the second.	But, in fact, the 'Paradise Regained' is little, if at all, inferior to the 'Paradise Lost,' and is only supposed so to be because men do not like epics, whatever they may say to the contrary, and, reading those of Milton in their natural order, are too much wearied with the first to derive any pleasure from the second.	true	269.6	285.55	21.302523
8459_285173_000004_000000	"I dare say Milton preferred 'Comus' to either-. if so-justly.	"I dare say Milton preferred 'Comus' to either . if so justly.	true	286.28	291.43	25.077839
8459_285173_000005_000000	"As I am speaking of poetry, it will not be amiss to touch slightly upon the most singular heresy in its modern history-the heresy of what is called, very foolishly, the Lake School.	"As I am speaking of poetry, it will not be amiss to touch slightly upon the most singular heresy in its modern history the heresy of what is called, very foolishly, the Lake School.	true	291.98	302.71	23.888327
8459_285173_000005_000001	Some years ago I might have been induced, by an occasion like the present, to attempt a formal refutation of their doctrine; at present it would be a work of supererogation.	Some years ago I might have been induced, by an occasion like the present, to attempt a formal refutation of their doctrine; at present it would be a work of supererogation.	true	302.84	312.1	22.813967
8459_285173_000005_000002	The wise must bow to the wisdom of such men as Coleridge and Southey, but, being wise, have laughed at poetical theories so prosaically exemplifled.	The wise must bow to the wisdom of such men as Coleridge and Southey, but, being wise, have laughed at poetical theories so prosaically exemplifled.	false	312.5	320.94	23.189293
8459_285173_000006_000000	"Aristotle, with singular assurance, has declared poetry the most philosophical of all writings*-but it required a Wordsworth to pronounce it the most metaphysical.	"Aristotle, with singular assurance, has declared poetry the most philosophical of all writings asterisk-but it required a Wordsworth to pronounce it the most metaphysical.	false	320.94	329.5	22.375896
8459_285173_000006_000001	He seems to think that the end of poetry is, or should be, instruction; yet it is a truism that the end of our existence is happiness; if so, the end of every separate part of our existence, everything connected with our existence, should be still happiness.	He seems to think that the end of poetry is, or should be, instruction; yet it is a truism that the end of our existence is happiness; if so, the end of every separate part of our existence, everything connected with our existence, should be still happiness.	false	329.69	345.37	22.554388
8459_285173_000006_000002	Therefore the end of instruction should be happiness; and happiness is another name for pleasure;-therefore the end of instruction should be pleasure: yet we see the above-mentioned opinion implies precisely the reverse.	Therefore the end of instruction should be happiness; and happiness is another name for pleasure;-therefore the end of instruction should be pleasure: yet we see the above mentioned opinion implies precisely the reverse.	true	346.22	359.89	22.825134
8459_285173_000007_000000	"To proceed: _ceteris paribus,_ he who pleases is of more importance to his fellow-men than he who instructs, since utility is happiness, and pleasure is the end already obtained which instruction is merely the means of obtaining.	"To proceed: underscore ceteris paribus,underscore he who pleases is of more importance to his fellow men than he who instructs, since utility is happiness, and pleasure is the end already obtained which instruction is merely the means of obtaining.	false	361.97	376.15	23.785397
8459_285173_000008_000000	"I see no reason, then, why our metaphysical poets should plume themselves so much on the utility of their works, unless indeed they refer to instruction with eternity in view; in which case, sincere respect for their piety would not allow me to express my contempt for their judgment; contempt which it would be difficult to conceal, since their writings are professedly to be understood by the few, and it is the many who stand in need of salvation.	"I see no reason, then, why our metaphysical poets should plume themselves so much on the utility of their works, unless indeed they refer to instruction with eternity in view; in which case, sincere respect for their piety would not allow me to express my contempt for their judgment; contempt which it would be difficult to conceal, since their writings are professedly to be understood by the few, and it is the many who stand in need of salvation.	false	377.03	400.09	21.679607
8459_285173_000008_000001	In such case I should no doubt be tempted to think of the devil in 'Melmoth.' who labors indefatigably, through three octavo volumes, to accomplish the destruction of one or two souls, while any common devil would have demolished one or two thousand.	In such case I should no doubt be tempted to think of the devil in 'Melmoth.' who labors indefatigably, through three octavo volumes, to accomplish the destruction of one or two souls, while any common devil would have demolished one or two thousand.	true	400.52	413.68	22.113117
8459_285173_000009_000000	"Against the subtleties which would make poetry a study-not a passion-it becomes the metaphysician to reason-but the poet to protest. Yet Wordsworth and Coleridge are men in years; the one imbued in contemplation from his childhood; the other a giant in intellect and learning.	"Against the subtleties which would make poetry a study not a passion it becomes the metaphysician to reason but the poet to protest. Yet Wordsworth and Coleridge are men in years; the one imbued in contemplation from his childhood; the other a giant in intellect and learning.	true	414.41	429.91	22.416914
8459_285173_000009_000001	The diffidence, then, with which I venture to dispute their authority would be overwhelming did I not feel, from the bottom of my heart, that learning has little to do with the imagination-intellect with the passions-or age with poetry.	The diffidence, then, with which I venture to dispute their authority would be overwhelming did I not feel, from the bottom of my heart, that learning has little to do with the imagination intellect with the passions or age with poetry.	true	430.22	443.71	23.803146
8459_285173_000010_000000	"'Trifles, like straws, upon the surface flow; He who would search for pearls must dive below,'	"'Trifles, like straws, upon the surface flow; He who would search for pearls must dive below,'	true	444.65	451.27	21.825296
8459_285173_000011_000000	are lines which have done much mischief.	are lines which have done much mischief.	false	451.73	454.3	23.24535
8459_285173_000011_000001	As regards the greater truths, men oftener err by seeking them at the bottom than at the top; Truth lies in the huge abysses where wisdom is sought-not in the palpable palaces where she is found.	As regards the greater truths, men oftener err by seeking them at the bottom than at the top; Truth lies in the huge abysses where wisdom is sought not in the palpable palaces where she is found.	true	454.46	465.97	22.721338
8459_285173_000011_000002	The ancients were not always right in hiding--the goddess in a well; witness the light which Bacon has thrown upon philosophy; witness the principles of our divine faith--that moral mechanism by which the simplicity of a child may overbalance the wisdom of a man.	The ancients were not always right in hiding-the goddess in a well; witness the light which Bacon has thrown upon philosophy; witness the principles of our divine faith-that moral mechanism by which the simplicity of a child may overbalance the wisdom of a man.	false	466.43	481.09	22.309189
8459_285173_000012_000000	"We see an instance of Coleridge's liability to err, in his 'Biographia Literaria'--professedly his literary life and opinions, but, in fact, a treatise _de omni scibili et quibusdam aliis.	"We see an instance of Coleridge's liability to err, in his 'Biographia Literaria'--professedly his literary life and opinions, but, in fact, a treatise underscore de omni scibili et quibusdam aliis.	false	481.28	492.63	22.327986
8459_285173_000012_000001	_He goes wrong by reason of his very profundity, and of his error we have a natural type in the contemplation of a star.	underscore He goes wrong by reason of his very profundity, and of his error we have a natural type in the contemplation of a star.	false	492.63	499.78	21.25052
8459_285173_000012_000002	He who regards it directly and intensely sees, it is true, the star, but it is the star without a ray-while he who surveys it less inquisitively is conscious of all for which the star is useful to us below-its brilliancy and its beauty.	He who regards it directly and intensely sees, it is true, the star, but it is the star without a ray while he who surveys it less inquisitively is conscious of all for which the star is useful to us below its brilliancy and its beauty.	true	499.94	515.53	22.979824
8459_285173_000013_000000	"As to Wordsworth, I have no faith in him.	"As to Wordsworth, I have no faith in him.	true	516.17	518.95	24.014837
8459_285173_000013_000001	That he had in youth the feelings of a poet I believe-for there are glimpses of extreme delicacy in his writings-(and delicacy is the poet's own kingdom-his _El Dorado)-but they _have the appearance of a better day recollected; and glimpses, at best, are little evidence of present poetic fire; we know that a few straggling flowers spring up daily in the crevices of the glacier.	That he had in youth the feelings of a poet I believe for there are glimpses of extreme delicacy in his writings (and delicacy is the poet's own kingdom his underscore El Dorado)-but they underscore have the appearance of a better day recollected; and glimpses, at best, are little evidence of present poetic fire; we know that a few straggling flowers spring up daily in the crevices of the glacier.	false	519.08	540.73	22.852144
8459_285173_000014_000000	"He was to blame in wearing away his youth in contemplation with the end of poetizing in his manhood.	"He was to blame in wearing away his youth in contemplation with the end of poetizing in his manhood.	true	541.13	546.75	21.108376
8459_285173_000014_000001	With the increase of his judgment the light which should make it apparent has faded away.	With the increase of his judgment the light which should make it apparent has faded away.	true	546.75	550.96	22.243431
8459_285173_000014_000002	His judgment consequently is too correct.	His judgment consequently is too correct.	true	551.27	553.9	23.981339
8459_285173_000014_000003	This may not be understood-but the old Goths of Germany would have understood it, who used to debate matters of importance to their State twice, once when drunk, and once when sober-sober that they might not be deficient in formality--drunk lest they should be destitute of vigor.	This may not be understood but the old Goths of Germany would have understood it, who used to debate matters of importance to their State twice, once when drunk, and once when sober sober that they might not be deficient in formality-drunk lest they should be destitute of vigor.	true	554.03	568.87	21.418129
8459_285173_000015_000000	"The long wordy discussions by which he tries to reason us into admiration of his poetry, speak very little in his favor: they are full of such assertions as this (I have opened one of his volumes at random)--'Of genius the only proof is the act of doing well what is worthy to be done, and what was never done before;'-indeed? then it follows that in doing what is unworthy to be done, or what _has _been done before, no genius can be evinced; yet the picking of pockets is an unworthy act, pockets have been picked time immemorial, and Barrington, the pickpocket, in point of genius, would have thought hard of a comparison with William Wordsworth, the poet.	"The long wordy discussions by which he tries to reason us into admiration of his poetry, speak very little in his favor: they are full of such assertions as this (I have opened one of his volumes at random)--'Of genius the only proof is the act of doing well what is worthy to be done, and what was never done before;'-indeed? then it follows that in doing what is unworthy to be done, or what underscore has underscore been done before, no genius can be evinced; yet the picking of pockets is an unworthy act, pockets have been picked time immemorial, and Barrington, the pickpocket, in point of genius, would have thought hard of a comparison with William Wordsworth, the poet.	false	569.09	604.93	21.821571
8459_285173_000016_000000	"Again, in estimating the merit of certain poems, whether they be Ossian's or Macpherson's can surely be of little consequence, yet, in order to prove their worthlessness, Mr. W. has expended many pages in the controversy.	"Again, in estimating the merit of certain poems, whether they be Ossian's or Macpherson's can surely be of little consequence, yet, in order to prove their worthlessness, mr w has expended many pages in the controversy.	true	605.84	618.51	22.351175
8459_285173_000016_000001	_Tantaene animis?	underscore Tantaene animis?	false	618.51	620.13	17.38168
8459_285173_000016_000002	_Can great minds descend to such absurdity?	underscore Can great minds descend to such absurdity?	false	620.13	623.35	22.736769
8459_285173_000016_000003	But worse still: that he may bear down every argument in favor of these poems, he triumphantly drags forward a passage, in his abomination with which he expects the reader to sympathize.	But worse still: that he may bear down every argument in favor of these poems, he triumphantly drags forward a passage, in his abomination with which he expects the reader to sympathize.	true	623.51	633.76	22.922209
8459_285173_000016_000004	It is the beginning of the epic poem 'Temora.' 'The blue waves of Ullin roll in light; the green hills are covered with day; trees shake their dusty heads in the breeze.' And this this gorgeous, yet simple imagery, where all is alive and panting with immortality-this, William Wordsworth, the author of 'Peter Bell,' has _selected _for his contempt.	It is the beginning of the epic poem 'Temora.' 'The blue waves of Ullin roll in light; the green hills are covered with day; trees shake their dusty heads in the breeze.' And this this gorgeous, yet simple imagery, where all is alive and panting with immortality this, William Wordsworth, the author of 'peter Bell,' has underscore selected underscore for his contempt.	false	633.95	654.91	22.74561
8459_285173_000016_000005	We shall see what better he, in his own person, has to offer.	We shall see what better he, in his own person, has to offer.	true	655.61	659.43	22.951012
8459_285173_000016_000006	Imprimis:	Imprimis:	true	659.43	660.43	25.18145
8459_285173_000017_000000	"'And now she's at the pony's tail, And now she's at the pony's head, On that side now, and now on this; And, almost stifled with her bliss,	"'And now she's at the pony's tail, And now she's at the pony's head, On that side now, and now on this; And, almost stifled with her bliss,	false	661.31	670.63	23.929417
8459_285173_000018_000000	A few sad tears does Betty shed.... She pats the pony, where or when She knows not.... happy Betty Foy! Oh, Johnny, never mind the doctor!'	A few sad tears does Betty shed.... She pats the pony, where or when She knows not.... happy Betty Foy! Oh, Johnny, never mind the doctor!'	true	670.82	680.65	26.089367
8459_285173_000019_000000	Secondly:	Secondly:	true	680.93	681.97	24.94099
8459_285173_000020_000000	"'The dew was falling fast, the-stars began to blink; I heard a voice: it said-"Drink, pretty creature, drink!" And, looking o'er the hedge, be-fore me I espied A snow-white mountain lamb, with a-maiden at its side. No other sheep was near,--the lamb was all alone, And by a slender cord was-tether'd to a stone.'	"'The dew was falling fast, the stars began to blink; I heard a voice: it said "Drink, pretty creature, drink!" And, looking o'er the hedge, be fore me I espied A snow white mountain lamb, with a maiden at its side. No other sheep was near,--the lamb was all alone, And by a slender cord was tether'd to a stone.'	false	682.4	702.88	22.988333
8459_285173_000021_000000	"Now, we have no doubt this is all true: we will believe it, indeed we will, Mr. W. Is it sympathy for the sheep you wish to excite?	"Now, we have no doubt this is all true: we will believe it, indeed we will, mr w Is it sympathy for the sheep you wish to excite?	true	703.13	710.95	20.325102
8459_285173_000021_000001	I love a sheep from the bottom of my heart.	I love a sheep from the bottom of my heart.	true	711.17	713.29	22.483871
8459_285173_000022_000000	"But there are occasions, dear B-, there are occasions when even Wordsworth is reasonable.	"But there are occasions, dear B, there are occasions when even Wordsworth is reasonable.	true	713.57	718.035	23.137232
8459_285173_000022_000001	Even Stamboul, it is said, shall have an end, and the most unlucky blunders must come to a conclusion.	Even Stamboul, it is said, shall have an end, and the most unlucky blunders must come to a conclusion.	true	718.035	723.46	22.041517
8459_285173_000022_000002	Here is an extract from his preface:-	Here is an extract from his preface:-	true	723.98	726.07	21.907616
8459_285173_000023_000000	"'Those who have been accustomed to the phraseology of modem writers, if they persist in reading this book to a conclusion _(impossible!) will, _no doubt, have to struggle with feelings of awkwardness; (ha! ha!	"'Those who have been accustomed to the phraseology of modem writers, if they persist in reading this book to a conclusion underscore(impossible!) will, underscore no doubt, have to struggle with feelings of awkwardness; (ha! ha!	false	727.73	739.26	21.808695
8459_285173_000023_000001	ha!) they will look round for poetry (ha! ha!	ha!) they will look round for poetry (ha! ha!	false	739.26	741.99	17
8459_285173_000023_000002	ha!	ha!	false	741.99	742.32	26.007357
8459_285173_000023_000003	ha!), and will be induced to inquire by what species of courtesy these attempts have been permitted to assume that title.' Ha! ha!	ha!), and will be induced to inquire by what species of courtesy these attempts have been permitted to assume that title.' Ha! ha!	false	742.32	749.85	12
8459_285173_000023_000004	ha!	ha!	false	749.85	750.24	28.404161
8459_285173_000023_000005	ha!	ha!	false	750.24	750.63	-20
8459_285173_000023_000006	ha!	ha!	false	750.63	751.02	4
8459_285173_000024_000000	"Yet, let not Mr. W. despair; he has given immortality to a wagon, and the bee Sophocles has transmitted to eternity a sore toe, and dignified a tragedy with a chorus of turkeys.	"Yet, let not mr w despair; he has given immortality to a wagon, and the bee Sophocles has transmitted to eternity a sore toe, and dignified a tragedy with a chorus of turkeys.	true	751.02	762.1	23.475557
8459_285173_000025_000000	"Of Coleridge, I can not speak but with reverence.	"Of Coleridge, I can not speak but with reverence.	true	762.47	765.18	24.640205
8459_285173_000025_000001	His towering intellect! his gigantic power!	His towering intellect! his gigantic power!	true	765.18	768.25	23.20531
8459_285173_000025_000002	To use an author quoted by himself, _'Tai trouve souvent que la plupart des sectes ont raison dans une bonne partie de ce qu'elles avancent, mais non pas en ce qu'elles nient,' and _to employ his own language, he has imprisoned his own conceptions by the barrier he has erected against those of others.	To use an author quoted by himself, underscore'Tai trouve souvent que la plupart des sectes o n t raison dans une bonne partie de c e qu'elles avancent, mais non pas en c e qu'elles nient,' and underscore to employ his own language, he has imprisoned his own conceptions by the barrier he has erected against those of others.	false	768.35	785.08	22.449673
8459_285173_000025_000003	It is lamentable to think that such a mind should be buried in metaphysics, and, like the Nyctanthes, waste its perfume upon the night alone.	It is lamentable to think that such a mind should be buried in metaphysics, and, like the Nyctanthes, waste its perfume upon the night alone.	false	785.33	792.94	22.398527
8459_285173_000025_000004	In reading that man's poetry, I tremble like one who stands upon a volcano, conscious from the very darkness bursting from the crater, of the fire and the light that are weltering below.	In reading that man's poetry, I tremble like one who stands upon a volcano, conscious from the very darkness bursting from the crater, of the fire and the light that are weltering below.	false	793.43	803.44	23.72447
8459_285173_000026_000000	"What is poetry?--Poetry! that Proteus-like idea, with as many appellations as the nine-titled Corcyra! 'Give me,' I demanded of a scholar some time ago, 'give me a definition of poetry.' _'Tresvolontiers;' _and he proceeded to his library, brought me a Dr. Johnson, and overwhelmed me with a definition.	"What is poetry?--Poetry! that Proteus like idea, with as many appellations as the nine titled Corcyra! 'Give me,' I demanded of a scholar some time ago, 'give me a definition of poetry.' underscore'Tresvolontiers;' underscore and he proceeded to his library, brought me a dr Johnson, and overwhelmed me with a definition.	false	803.93	824.38	22.852581
8459_285173_000026_000001	Shade of the immortal Shakespeare!	Shade of the immortal Shakespeare!	true	824.48	826.455	22.65464
8459_285173_000026_000002	I imagine to myself the scowl of your spiritual eye upon the profanity of that scurrilous Ursa Major.	I imagine to myself the scowl of your spiritual eye upon the profanity of that scurrilous Ursa Major.	true	826.455	832.09	22.287897
8459_285173_000026_000003	Think of poetry, dear B-, think of poetry, and then think of Dr. Samuel Johnson!	Think of poetry, dear B, think of poetry, and then think of dr Samuel Johnson!	true	832.67	838.09	24.79853
8459_285173_000026_000004	Think of all that is airy and fairy-like, and then of all that is hideous and unwieldy; think of his huge bulk, the Elephant! and then-and then think of the 'Tempest'--the 'Midsummer-Night's Dream'--Prospero Oberon--and Titania!	Think of all that is airy and fairy like, and then of all that is hideous and unwieldy; think of his huge bulk, the Elephant! and then and then think of the 'Tempest'--the 'Midsummer Night's Dream'--Prospero Oberon-and Titania!	true	838.58	853.66	23.14772
8459_285173_000027_000000	"A poem, in my opinion, is opposed to a work of science by having, for its _immediate _object, pleasure, not truth; to romance, by having, for its object, an _indefinite _instead of a _definite _pleasure, being a poem only so far as this object is attained; romance presenting perceptible images with definite, poetry with indefinite sensations, to which end music is an _essential, since _the comprehension of sweet sound is our most indefinite conception.	"A poem, in my opinion, is opposed to a work of science by having, for its underscore immediate underscore object, pleasure, not truth; to romance, by having, for its object, an underscore indefinite underscore instead of a underscore definite underscore pleasure, being a poem only so far as this object is attained; romance presenting perceptible images with definite, poetry with indefinite sensations, to which end music is an underscore essential, since underscore the comprehension of sweet sound is our most indefinite conception.	false	854.57	883.09	23.813198
8459_285173_000027_000001	Music, when combined with a pleasurable idea, is poetry; music, without the idea, is simply music; the idea, wi thout the music, is prose, from its very definitiveness.	Music, when combined with a pleasurable idea, is poetry; music, without the idea, is simply music; the idea, wi thout the music, is prose, from its very definitiveness.	false	883.37	894.91	24.73748
8459_285173_000028_000000	"What was meant by the invective against him who had no music in his soul?	"What was meant by the invective against him who had no music in his soul?	true	895.73	899.83	16
8459_285173_000029_000000	"To sum up this long rigmarole, I have, dear B--, what you, no doubt, perceive, for the metaphysical poets as poets, the most sovereign contempt.	"To sum up this long rigmarole, I have, dear B-, what you, no doubt, perceive, for the metaphysical poets as poets, the most sovereign contempt.	true	900.47	909.55	23.759806
8459_285173_000029_000001	That they have followers proves nothing-	That they have followers proves nothing	true	909.86	912.1	24.15389
8459_285173_000030_000000	"'No Indian prince has to his palace More followers than a thief to the gallows.	"'No Indian prince has to his palace More followers than a thief to the gallows.	false	912.65	928.02	21.414427
