3889_130125_000000_000000	And, after paying his bill, Fix left the tavern.	And, after paying his bill, Fix left the tavern.	false	1.62	21.78	13.617572
3889_130125_000018_000002	For three hours Phileas Fogg wandered about the docks, with the determination, if necessary, to charter a vessel to carry him to Yokohama; but he could only find vessels which were loading or unloading, and which could not therefore set sail.	For three hours Phileas Fogg wandered about the docks, with the determination, if necessary, to charter a vessel to carry him to Yokohama; but he could only find vessels which were loading or unloading, and which could not therefore set sail.	true	274.97	290.05	14.229841
3889_130125_000018_000003	Fix began to hope again.	Fix began to hope again.	true	290.15	292	10.158882
3889_130125_000019_000000	But Mr. Fogg, far from being discouraged, was continuing his search, resolved not to stop if he had to resort to Macao, when he was accosted by a sailor on one of the wharves.	But mr Fogg, far from being discouraged, was continuing his search, resolved not to stop if he had to resort to Macao, when he was accosted by a sailor on one of the wharves.	true	292.94	305.26	15.62547
3889_130125_000020_000000	"Is your honour looking for a boat?"	"Is your honour looking for a boat?"	true	306.2	307.9	17
3889_130125_000021_000000	"Have you a boat ready to sail?"	"Have you a boat ready to sail?"	false	308.69	310.69	17
3889_130125_000022_000000	"Yes, your honour; a pilot-boat--No. 43--the best in the harbour."	"Yes, your honour; a pilot boat-no forty three--the best in the harbour."	false	311.54	315.82	16.948936
3889_130125_000023_000000	"Does she go fast?"	"Does she go fast?"	true	316.67	318.19	18.55407
3889_130125_000024_000000	"Between eight and nine knots the hour.	"Between eight and nine knots the hour.	true	318.83	320.895	14
3889_130125_000024_000001	Will you look at her?"	Will you look at her?"	true	320.895	321.91	12
3889_130125_000025_000000	"Yes."	"Yes."	true	322.73	323.65	15.314371
3889_130125_000026_000000	"Your honour will be satisfied with her.	"Your honour will be satisfied with her.	true	324.32	326.31	19.438402
3889_130125_000026_000001	Is it for a sea excursion?"	Is it for a sea excursion?"	true	326.31	328.06	15
3889_130125_000027_000000	"No; for a voyage."	"No; for a voyage."	true	328.43	330.55	16.331772
3889_130125_000028_000000	"A voyage?"	"A voyage?"	true	330.89	332.02	12.407362
3889_130125_000029_000000	"Yes, will you agree to take me to Yokohama?"	"Yes, will you agree to take me to Yokohama?"	false	332.24	334.84	12.95732
3889_130125_000030_000000	The sailor leaned on the railing, opened his eyes wide, and said, "Is your honour joking?"	The sailor leaned on the railing, opened his eyes wide, and said, "Is your honour joking?"	true	335.75	341.29	15.657181
3889_130125_000031_000000	"No.	"no	true	341.9	342.42	26
3889_130125_000031_000001	I have missed the Carnatic, and I must get to Yokohama by the 14th at the latest, to take the boat for San Francisco."	I have missed the Carnatic, and I must get to Yokohama by the fourteenth at the latest, to take the boat for San Francisco."	false	342.42	350.38	14
3889_130125_000032_000000	"I am sorry," said the sailor; "but it is impossible."	"I am sorry," said the sailor; "but it is impossible."	true	351.92	356.14	16.072664
3889_130125_000033_000000	"I offer you a hundred pounds per day, and an additional reward of two hundred pounds if I reach Yokohama in time."	"I offer you a hundred pounds per day, and an additional reward of two hundred pounds if I reach Yokohama in time."	true	357.14	365.47	15.365372
3889_130125_000034_000000	"Are you in earnest?"	"Are you in earnest?"	true	366.5	367.84	15
3889_130125_000035_000000	"Very much so."	"Very much so."	true	368.21	369.58	15.670221
3889_130125_000036_000000	The pilot walked away a little distance, and gazed out to sea, evidently struggling between the anxiety to gain a large sum and the fear of venturing so far.	The pilot walked away a little distance, and gazed out to sea, evidently struggling between the anxiety to gain a large sum and the fear of venturing so far.	false	370.82	380.92	13.474013
3889_130125_000036_000001	Fix was in mortal suspense.	Fix was in mortal suspense.	true	381.47	383.65	8.968722
3889_130125_000037_000000	Mr. Fogg turned to Aouda and asked her, "You would not be afraid, would you, madam?"	mr Fogg turned to Aouda and asked her, "You would not be afraid, would you, madam?"	true	384.89	389.68	12.658523
3889_130125_000038_000000	"Not with you, Mr. Fogg," was her answer.	"Not with you, mr Fogg," was her answer.	true	390.26	392.83	7.719788
3889_130125_000039_000000	The pilot now returned, shuffling his hat in his hands.	The pilot now returned, shuffling his hat in his hands.	true	393.62	397.72	11.044809
3889_130125_000040_000000	"Well, pilot?" said Mr. Fogg.	"Well, pilot?" said mr Fogg.	true	397.73	400.51	12.460269
3889_130125_000041_000000	"Well, your honour," replied he, "I could not risk myself, my men, or my little boat of scarcely twenty tons on so long a voyage at this time of year.	"Well, your honour," replied he, "I could not risk myself, my men, or my little boat of scarcely twenty tons on so long a voyage at this time of year.	true	401.39	411.61	13.990604
3889_130125_000041_000001	Besides, we could not reach Yokohama in time, for it is sixteen hundred and sixty miles from Hong Kong."	Besides, we could not reach Yokohama in time, for it is sixteen hundred and sixty miles from Hong Kong."	true	412.04	419.92	13
3889_130125_000042_000000	"Only sixteen hundred," said Mr. Fogg.	"Only sixteen hundred," said mr Fogg.	true	420.02	423.31	11.898792
3889_130125_000043_000000	"It's the same thing."	"It's the same thing."	true	424.07	425.59	11.51886
3889_130125_000044_000000	Fix breathed more freely.	Fix breathed more freely.	false	425.84	428.28	5.601592
3889_130125_000045_000000	"But," added the pilot, "it might be arranged another way."	"But," added the pilot, "it might be arranged another way."	true	428.28	432.34	12.644567
3889_130125_000046_000000	Fix ceased to breathe at all.	Fix ceased to breathe at all.	true	433.07	435.49	10
3889_130125_000047_000000	"How?" asked Mr. Fogg.	"How?" asked mr Fogg.	true	436.82	438.97	12.02835
3889_130125_000048_000000	"By going to Nagasaki, at the extreme south of Japan, or even to Shanghai, which is only eight hundred miles from here.	"By going to Nagasaki, at the extreme south of Japan, or even to Shanghai, which is only eight hundred miles from here.	true	439.13	446.61	13
3889_130125_000048_000001	In going to Shanghai we should not be forced to sail wide of the Chinese coast, which would be a great advantage, as the currents run northward, and would aid us."	In going to Shanghai we should not be forced to sail wide of the Chinese coast, which would be a great advantage, as the currents run northward, and would aid us."	false	446.61	457.45	13.5399065
3889_130125_000049_000000	"Pilot," said Mr. Fogg, "I must take the American steamer at Yokohama, and not at Shanghai or Nagasaki."	"Pilot," said mr Fogg, "I must take the American steamer at Yokohama, and not at Shanghai or Nagasaki."	false	458.24	466.15	13.587125
3889_130125_000050_000000	"Why not?" returned the pilot.	"Why not?" returned the pilot.	false	466.7	468.76	11.645957
3889_130125_000050_000001	"The San Francisco steamer does not start from Yokohama.	"The San Francisco steamer does not start from Yokohama.	true	468.92	472.5	14.206971
3889_130125_000050_000002	It puts in at Yokohama and Nagasaki, but it starts from Shanghai."	It puts in at Yokohama and Nagasaki, but it starts from Shanghai."	true	472.5	477.63	14.676502
3889_130125_000051_000000	"You are sure of that?"	"You are sure of that?"	false	477.63	479.29	12.731593
3889_130125_000052_000000	"Perfectly."	"Perfectly."	true	479.63	480.67	10.451429
3889_130125_000053_000000	"And when does the boat leave Shanghai?"	"And when does the boat leave Shanghai?"	true	481.61	484.24	12.983947
3889_130125_000054_000000	"On the 11th, at seven in the evening.	"On the eleventh, at seven in the evening.	true	485.27	487.87	15.700726
3889_130125_000054_000001	We have, therefore, four days before us, that is ninety-six hours; and in that time, if we had good luck and a south-west wind, and the sea was calm, we could make those eight hundred miles to Shanghai."	We have, therefore, four days before us, that is ninety six hours; and in that time, if we had good luck and a south-west wind, and the sea was calm, we could make those eight hundred miles to Shanghai."	true	488.15	502.39	12
3889_130125_000055_000000	"And you could go--"	"And you could go-"	false	503.66	504.97	12.423664
3889_130125_000056_000000	"In an hour; as soon as provisions could be got aboard and the sails put up."	"In an hour; as soon as provisions could be got aboard and the sails put up."	false	506.12	511	12
3889_130125_000057_000000	"It is a bargain.	"It is a bargain.	true	512.3	513.58	10.510823
3889_130125_000057_000001	Are you the master of the boat?"	Are you the master of the boat?"	true	513.89	515.71	11
3889_130125_000058_000000	"Yes; John Bunsby, master of the Tankadere."	"Yes; john Bunsby, master of the Tankadere."	true	516.68	520.15	14.122621
3889_130125_000059_000000	"Would you like some earnest-money?"	"Would you like some earnest money?"	true	521.42	523.24	15.805424
3889_130125_000060_000000	"If it would not put your honour out--"	"If it would not put your honour out-"	true	524.93	527.23	14.945914
3889_130125_000061_000000	"Here are two hundred pounds on account sir," added Phileas Fogg, turning to Fix, "if you would like to take advantage--"	"Here are two hundred pounds on account sir," added Phileas Fogg, turning to Fix, "if you would like to take advantage-"	true	528.98	537.46	11.837896
3889_130125_000062_000000	"Thanks, sir; I was about to ask the favour."	"Thanks, sir; I was about to ask the favour."	true	538.67	541.48	15.026734
3889_130125_000063_000000	"Very well.	"Very well.	true	542.69	543.67	17.103283
3889_130125_000063_000001	In half an hour we shall go on board."	In half an hour we shall go on board."	true	543.71	546.19	14.827686
3889_130125_000064_000000	"But poor Passepartout?" urged Aouda, who was much disturbed by the servant's disappearance.	"But poor Passepartout?" urged Aouda, who was much disturbed by the servant's disappearance.	true	546.83	552.61	12.531755
3889_130125_000065_000000	"I shall do all I can to find him," replied Phileas Fogg.	"I shall do all I can to find him," replied Phileas Fogg.	true	553.37	558.22	11.723648
3889_130125_000066_000000	While Fix, in a feverish, nervous state, repaired to the pilot-boat, the others directed their course to the police-station at Hong Kong. Phileas Fogg there gave Passepartout's description, and left a sum of money to be spent in the search for him.	While Fix, in a feverish, nervous state, repaired to the pilot boat, the others directed their course to the police station at Hong Kong. Phileas Fogg there gave Passepartout's description, and left a sum of money to be spent in the search for him.	false	558.38	573.25	12.642873
3889_130125_000066_000001	The same formalities having been gone through at the French consulate, and the palanquin having stopped at the hotel for the luggage, which had been sent back there, they returned to the wharf.	The same formalities having been gone through at the French consulate, and the palanquin having stopped at the hotel for the luggage, which had been sent back there, they returned to the wharf.	false	573.53	584.56	11.707922
3889_130125_000067_000000	It was now three o'clock; and pilot-boat No. 43, with its crew on board, and its provisions stored away, was ready for departure.	It was now three o'clock; and pilot boat no forty three, with its crew on board, and its provisions stored away, was ready for departure.	false	585.41	594.01	11.883195
3889_130125_000068_000000	The Tankadere was a neat little craft of twenty tons, as gracefully built as if she were a racing yacht.	The Tankadere was a neat little craft of twenty tons, as gracefully built as if she were a racing yacht.	false	594.47	600.73	12
3889_130125_000068_000001	Her shining copper sheathing, her galvanised iron-work, her deck, white as ivory, betrayed the pride taken by John Bunsby in making her presentable.	Her shining copper sheathing, her galvanised iron work, her deck, white as ivory, betrayed the pride taken by john Bunsby in making her presentable.	false	601.07	611.68	12.12945
3889_130125_000068_000002	Her two masts leaned a trifle backward; she carried brigantine, foresail, storm-jib, and standing-jib, and was well rigged for running before the wind; and she seemed capable of brisk speed, which, indeed, she had already proved by gaining several prizes in pilot-boat races.	Her two masts leaned a trifle backward; she carried brigantine, foresail, storm jib, and standing jib, and was well rigged for running before the wind; and she seemed capable of brisk speed, which, indeed, she had already proved by gaining several prizes in pilot boat races.	false	611.93	630.52	12
3889_130125_000068_000003	The crew of the Tankadere was composed of John Bunsby, the master, and four hardy mariners, who were familiar with the Chinese seas.	The crew of the Tankadere was composed of john Bunsby, the master, and four hardy mariners, who were familiar with the Chinese seas.	true	630.8	639.16	13
3889_130125_000068_000004	John Bunsby, himself, a man of forty-five or thereabouts, vigorous, sunburnt, with a sprightly expression of the eye, and energetic and self-reliant countenance, would have inspired confidence in the most timid.	john Bunsby, himself, a man of forty five or thereabouts, vigorous, sunburnt, with a sprightly expression of the eye, and energetic and self reliant countenance, would have inspired confidence in the most timid.	true	639.5	653.95	13.642891
3889_130125_000069_000000	Phileas Fogg and Aouda went on board, where they found Fix already installed.	Phileas Fogg and Aouda went on board, where they found Fix already installed.	true	654.92	659.41	14
3889_130125_000069_000001	Below deck was a square cabin, of which the walls bulged out in the form of cots, above a circular divan; in the centre was a table provided with a swinging lamp.	Below deck was a square cabin, of which the walls bulged out in the form of cots, above a circular divan; in the centre was a table provided with a swinging lamp.	false	659.63	670.5	14.517842
3889_130125_000069_000002	The accommodation was confined, but neat.	The accommodation was confined, but neat.	true	670.5	673.24	11.186292
3889_130125_000070_000000	"I am sorry to have nothing better to offer you," said Mr. Fogg to Fix, who bowed without responding.	"I am sorry to have nothing better to offer you," said mr Fogg to Fix, who bowed without responding.	true	674.51	680.95	13.522225
3889_130125_000071_000000	The detective had a feeling akin to humiliation in profiting by the kindness of Mr. Fogg.	The detective had a feeling akin to humiliation in profiting by the kindness of mr Fogg.	true	681.77	688.21	11.469505
3889_130125_000072_000000	"It's certain," thought he, "though rascal as he is, he is a polite one!"	"It's certain," thought he, "though rascal as he is, he is a polite one!"	true	688.34	693.79	12.867966
3889_130125_000073_000000	The sails and the English flag were hoisted at ten minutes past three. Mr. Fogg and Aouda, who were seated on deck, cast a last glance at the quay, in the hope of espying Passepartout.	The sails and the English flag were hoisted at ten minutes past three. mr Fogg and Aouda, who were seated on deck, cast a last glance at the quay, in the hope of espying Passepartout.	true	694.73	705.91	14
3889_130125_000073_000001	Fix was not without his fears lest chance should direct the steps of the unfortunate servant, whom he had so badly treated, in this direction; in which case an explanation the reverse of satisfactory to the detective must have ensued.	Fix was not without his fears lest chance should direct the steps of the unfortunate servant, whom he had so badly treated, in this direction; in which case an explanation the reverse of satisfactory to the detective must have ensued.	true	706.52	722.44	12
3889_130125_000073_000002	But the Frenchman did not appear, and, without doubt, was still lying under the stupefying influence of the opium.	But the Frenchman did not appear, and, without doubt, was still lying under the stupefying influence of the opium.	true	722.6	730.48	13
3889_130125_000074_000000	John Bunsby, master, at length gave the order to start, and the Tankadere, taking the wind under her brigantine, foresail, and standing-jib, bounded briskly forward over the waves.	john Bunsby, master, at length gave the order to start, and the Tankadere, taking the wind under her brigantine, foresail, and standing jib, bounded briskly forward over the waves.	false	731.3	745.14	13
