7594_101832_000005_000000	As he was passing the house of Boo'koo, the big rat, that worthy gentleman invited him in.	As he was passing the house of Boo'koo, the big rat, that worthy gentleman invited him in.
7594_101832_000029_000000	So the lion, being deceived, took him by the tail and whirled him around, but just as he was going to knock him on the ground he slipped out of his grasp and ran away, and Simba had the mortification of losing him again.	So the lion, being deceived, took him by the tail and whirled him around, but just as he was going to knock him on the ground he slipped out of his grasp and ran away, and Simba had the mortification of losing him again.
7594_101832_000030_000000	Angry and disappointed, he turned to the tree and called to Kobay, "You come down, too."	Angry and disappointed, he turned to the tree and called to Kobay, "You come down, too."
7594_101832_000031_000000	When the tortoise reached the ground, the lion said, "You're pretty hard; what can I do to make you eatable?"	When the tortoise reached the ground, the lion said, "You're pretty hard; what can I do to make you eatable?"
7594_101832_000032_000000	"Oh, that's easy," laughed Kobay; "just put me in the mud and rub my back with your paw until my shell comes off."	"Oh, that's easy," laughed Kobay; "just put me in the mud and rub my back with your paw until my shell comes off."
7594_101832_000033_000000	Immediately on hearing this, Simba carried Kobay to the water, placed him in the mud, and began, as he supposed, to rub his back; but the tortoise had slipped away, and the lion continued rubbing on a piece of rock until his paws were raw.	Immediately on hearing this, Simba carried Kobay to the water, placed him in the mud, and began, as he supposed, to rub his back; but the tortoise had slipped away, and the lion continued rubbing on a piece of rock until his paws were raw.
7594_101832_000033_000001	When he glanced down at them he saw they were bleeding, and, realizing that he had again been outwitted, he said, "Well, the hare has done me to-day, but I'll go hunting now until I find him."	When he glanced down at them he saw they were bleeding, and, realizing that he had again been outwitted, he said, "Well, the hare has done me to day, but I'll go hunting now until I find him."
7594_101832_000035_000000	Without loss of time the lion climbed the mountain, and soon arrived at the place indicated, only to find that there was no one at home.	Without loss of time the lion climbed the mountain, and soon arrived at the place indicated, only to find that there was no one at home.
7594_101832_000036_000001	Stopping at once, he said to Mrs. Soongoora: "You go back, my dear.	Stopping at once, he said to mrs Soongoora: "You go back, my dear.
7594_101832_000036_000002	Simba, the lion, has passed this way, and I think he must be looking for me."	Simba, the lion, has passed this way, and I think he must be looking for me."
7594_101832_000037_000000	But she replied, "I will not go back; I will follow you, my husband."	But she replied, "I will not go back; I will follow you, my husband."
7594_101832_000038_000001	Go back."	Go back."
7594_101832_000039_000000	So he persuaded her, and she went back; but he kept on, following the footmarks, and saw--as he had suspected--that they went into his house.	So he persuaded her, and she went back; but he kept on, following the footmarks, and saw-as he had suspected-that they went into his house.
7594_101832_000040_000001	Lion is inside, is he?" Then, cautiously going back a little way, he called out: "How d'ye do, house?	Lion is inside, is he?" Then, cautiously going back a little way, he called out: "How d'ye do, house?
7594_101832_000042_000000	Then Soongoora burst out laughing, and shouted: "Oho, Mr. Simba!	Then Soongoora burst out laughing, and shouted: "Oho, mr Simba!
7594_101832_000044_000000	"Oh, I think you'll have to do the waiting," cried the hare; and then he ran away, the lion following.	"Oh, I think you'll have to do the waiting," cried the hare; and then he ran away, the lion following.
