7594_101832_000000_000000	"Of course the lion had to admit that what Soongoora, the hare, said was true.	"Of course the lion had to admit that what Soongoora, the hare, said was true.	false	1.35	5.52	21.328224
7594_101832_000023_000000	So, when the lion asked again, "Who are you?" he answered, "It's only us." The lion said, "Come down, then;" and the tortoise answered, "We're coming."	So, when the lion asked again, "Who are you?" he answered, "It's only us." The lion said, "Come down, then;" and the tortoise answered, "We're coming."	true	247.43	258.52	20.534782
7594_101832_000024_000000	Now, Simba had been keeping an eye open for Soongoora since the day he caught Bookoo, the big rat, and, suspecting that he was up there with Kobay, he said to himself, "I've got him this time, sure."	Now, Simba had been keeping an eye open for Soongoora since the day he caught Bookoo, the big rat, and, suspecting that he was up there with Kobay, he said to himself, "I've got him this time, sure."	false	259.37	273.4	22.83686
7594_101832_000025_000000	Seeing that they were caught again, Soongoora said to the tortoise: "Wrap me up in the straw, tell Simba to stand out of the way, and then throw me down.	Seeing that they were caught again, Soongoora said to the tortoise: "Wrap me up in the straw, tell Simba to stand out of the way, and then throw me down.	false	274.55	284.17	22.347775
7594_101832_000025_000001	I'll wait for you below.	I'll wait for you below.	true	284.27	285.765	23.182743
7594_101832_000025_000002	He can't hurt you, you know."	He can't hurt you, you know."	true	285.765	287.47	21.312126
7594_101832_000026_000000	"All right," said Kobay; but while he was wrapping the hare up he said to himself: "This fellow wants to run away, and leave me to bear the lion's anger.	"All right," said Kobay; but while he was wrapping the hare up he said to himself: "This fellow wants to run away, and leave me to bear the lion's anger.	true	288.41	298.63	21.11991
7594_101832_000026_000001	He shall get caught first." Therefore, when he had bundled him up, he called out, "Soongoora is coming!" and threw him down.	He shall get caught first." Therefore, when he had bundled him up, he called out, "Soongoora is coming!" and threw him down.	false	298.7	308.11	20.512577
7594_101832_000027_000000	So Simba caught the hare, and, holding him with his paw, said, "Now, what shall I do with you?" The hare replied, "It's of no use for you to try to eat me; I'm awfully tough." "What would be the best thing to do with you, then?" asked Simba.	So Simba caught the hare, and, holding him with his paw, said, "Now, what shall I do with you?" The hare replied, "It's of no use for you to try to eat me; I'm awfully tough." "What would be the best thing to do with you, then?" asked Simba.	false	308.63	325.21	21.374275
7594_101832_000028_000000	"I think," said Soongoora, "you should take me by the tail, whirl me around, and knock me against the ground.	"I think," said Soongoora, "you should take me by the tail, whirl me around, and knock me against the ground.	true	325.79	332.83	19.999763
7594_101832_000028_000001	Then you may be able to eat me."	Then you may be able to eat me."	true	332.9	334.69	18.939526
7594_101832_000029_000000	So the lion, being deceived, took him by the tail and whirled him around, but just as he was going to knock him on the ground he slipped out of his grasp and ran away, and Simba had the mortification of losing him again.	So the lion, being deceived, took him by the tail and whirled him around, but just as he was going to knock him on the ground he slipped out of his grasp and ran away, and Simba had the mortification of losing him again.	true	335.87	349.54	20
7594_101832_000030_000000	Angry and disappointed, he turned to the tree and called to Kobay, "You come down, too."	Angry and disappointed, he turned to the tree and called to Kobay, "You come down, too."	true	350	357.16	20.35524
7594_101832_000031_000000	When the tortoise reached the ground, the lion said, "You're pretty hard; what can I do to make you eatable?"	When the tortoise reached the ground, the lion said, "You're pretty hard; what can I do to make you eatable?"	true	357.65	364.39	20.682323
7594_101832_000032_000000	"Oh, that's easy," laughed Kobay; "just put me in the mud and rub my back with your paw until my shell comes off."	"Oh, that's easy," laughed Kobay; "just put me in the mud and rub my back with your paw until my shell comes off."	true	365.63	373.39	22.967735
7594_101832_000033_000000	Immediately on hearing this, Simba carried Kobay to the water, placed him in the mud, and began, as he supposed, to rub his back; but the tortoise had slipped away, and the lion continued rubbing on a piece of rock until his paws were raw.	Immediately on hearing this, Simba carried Kobay to the water, placed him in the mud, and began, as he supposed, to rub his back; but the tortoise had slipped away, and the lion continued rubbing on a piece of rock until his paws were raw.	true	374.39	390.46	20.214924
7594_101832_000033_000001	When he glanced down at them he saw they were bleeding, and, realizing that he had again been outwitted, he said, "Well, the hare has done me to-day, but I'll go hunting now until I find him."	When he glanced down at them he saw they were bleeding, and, realizing that he had again been outwitted, he said, "Well, the hare has done me to day, but I'll go hunting now until I find him."	true	391.34	404.86	21.284998
7594_101832_000034_000000	So Simba, the lion, set out immediately in search of Soongoora, the hare, and as he went along he inquired of every one he met, "Where is the house of Soongoora?" But each person he asked answered, "I do not know." For the hare had said to his wife, "Let us remove from this house." Therefore the folks in that neighborhood had no knowledge of his whereabouts.	So Simba, the lion, set out immediately in search of Soongoora, the hare, and as he went along he inquired of every one he met, "Where is the house of Soongoora?" But each person he asked answered, "I do not know." For the hare had said to his wife, "Let us remove from this house." Therefore the folks in that neighborhood had no knowledge of his whereabouts.	false	406.43	431.53	19.479141
7594_101832_000034_000001	Simba, however, went along, continuing his inquiries, until presently one answered, "That is his house on the top of the mountain."	Simba, however, went along, continuing his inquiries, until presently one answered, "That is his house on the top of the mountain."	true	431.78	441.55	19.570848
7594_101832_000035_000000	Without loss of time the lion climbed the mountain, and soon arrived at the place indicated, only to find that there was no one at home.	Without loss of time the lion climbed the mountain, and soon arrived at the place indicated, only to find that there was no one at home.	true	442.97	452.35	20.564886
7594_101832_000035_000001	This, however, did not trouble him; on the contrary, saying to himself, "I'll hide myself inside, and when Soongoora and his wife come home I'll eat them both," he entered the house and lay down, awaiting their arrival.	This, however, did not trouble him; on the contrary, saying to himself, "I'll hide myself inside, and when Soongoora and his wife come home I'll eat them both," he entered the house and lay down, awaiting their arrival.	false	452.87	468.7	20.316689
7594_101832_000036_000000	Pretty soon along came the hare with his wife, not thinking of any danger; but he very soon discovered the marks of the lion's paws on the steep path.	Pretty soon along came the hare with his wife, not thinking of any danger; but he very soon discovered the marks of the lion's paws on the steep path.	false	469.43	479.77	19.949518
7594_101832_000036_000001	Stopping at once, he said to Mrs. Soongoora: "You go back, my dear.	Stopping at once, he said to mrs Soongoora: "You go back, my dear.	true	479.93	484.905	21.01474
7594_101832_000036_000002	Simba, the lion, has passed this way, and I think he must be looking for me."	Simba, the lion, has passed this way, and I think he must be looking for me."	true	484.905	489.34	20.308176
7594_101832_000037_000000	But she replied, "I will not go back; I will follow you, my husband."	But she replied, "I will not go back; I will follow you, my husband."	true	490.07	495.04	21.69421
7594_101832_000038_000000	Although greatly pleased at this proof of his wife's affection, Soongoora said firmly: "No, no; you have friends to go to.	Although greatly pleased at this proof of his wife's affection, Soongoora said firmly: "No, no; you have friends to go to.	false	496.19	503.925	21.608177
7594_101832_000038_000001	Go back."	Go back."	true	503.925	505.03	24.441898
7594_101832_000039_000000	So he persuaded her, and she went back; but he kept on, following the footmarks, and saw--as he had suspected--that they went into his house.	So he persuaded her, and she went back; but he kept on, following the footmarks, and saw-as he had suspected-that they went into his house.	true	505.37	516.01	21.105888
7594_101832_000040_000000	"Ah!" said he to himself, "Mr.	"Ah!" said he to himself, "mr	false	516.47	518.88	18.956055
7594_101832_000040_000001	Lion is inside, is he?" Then, cautiously going back a little way, he called out: "How d'ye do, house?	Lion is inside, is he?" Then, cautiously going back a little way, he called out: "How d'ye do, house?	true	518.88	527.79	20.681347
7594_101832_000040_000002	How d'ye do?" Waiting a moment, he remarked loudly: "Well, this is very strange!	How d'ye do?" Waiting a moment, he remarked loudly: "Well, this is very strange!	false	527.79	535.035	20.516869
7594_101832_000040_000003	Every day, as I pass this place, I say, 'How d'ye do, house?' and the house always answers, 'How d'ye do?' There must be some one inside to-day."	Every day, as I pass this place, I say, 'How d'ye do, house?' and the house always answers, 'How d'ye do?' There must be some one inside to day."	false	535.035	545.11	21.237898
7594_101832_000041_000000	When the lion heard this he called out, "How d'ye do?"	When the lion heard this he called out, "How d'ye do?"	false	546.17	550.06	22.351648
7594_101832_000042_000000	Then Soongoora burst out laughing, and shouted: "Oho, Mr. Simba!	Then Soongoora burst out laughing, and shouted: "Oho, mr Simba!	true	550.64	555.31	20.864029
7594_101832_000042_000001	You're inside, and I'll bet you want to eat me; but first tell me where you ever heard of a house talking!"	You're inside, and I'll bet you want to eat me; but first tell me where you ever heard of a house talking!"	false	555.35	564.19	19.763584
7594_101832_000043_000000	Upon this the lion, seeing how he had been fooled, replied angrily, "You wait until I get hold of you; that's all."	Upon this the lion, seeing how he had been fooled, replied angrily, "You wait until I get hold of you; that's all."	false	565.25	573.16	19.792673
7594_101832_000044_000000	"Oh, I think you'll have to do the waiting," cried the hare; and then he ran away, the lion following.	"Oh, I think you'll have to do the waiting," cried the hare; and then he ran away, the lion following.	true	573.8	580.45	21.29046
7594_101832_000045_000000	But it was of no use.	But it was of no use.	false	580.97	583.02	18.80661
7594_101832_000045_000001	Soongoora completely tired out old Simba, who, saying, "That rascal has beaten me; I don't want to have anything more to do with him," returned to his home under the great calabash tree.	Soongoora completely tired out old Simba, who, saying, "That rascal has beaten me; I don't want to have anything more to do with him," returned to his home under the great calabash tree.	false	583.02	595.53	22.997446
7594_101832_000046_000000	III.	three.	false	595.53	596.13	-4
7594_101832_000047_000000	THE LION, THE HYENA, AND THE RABBIT.	THE LION, THE HYENA, AND THE RABBIT.	false	596.13	599.28	18.748833
7594_101832_000048_000000	Once upon a time Sim'ba, the lion, Fee'see, the hyena, and Keetee'tee, the rabbit, made up their minds to go in for a little farming.	Once upon a time Sim'ba, the lion, Fee'see, the hyena, and Keetee'tee, the rabbit, made up their minds to go in for a little farming.	false	599.28	604.29	19.869154
7594_101832_000048_000001	So they went into the country, made a garden, planted all kinds of seeds, and then came home and rested quite a while.	So they went into the country, made a garden, planted all kinds of seeds, and then came home and rested quite a while.	false	604.29	609.18	13.052296
