1789_137618_000001_000000	CHAPTER XXXIV.	CHAPTER thirty four.
1789_137618_000013_000004	So Sir Tristram made great moan and was ashamed that noble knights should defame him for the sake of his lady.	So Sir Tristram made great moan and was ashamed that noble knights should defame him for the sake of his lady.
1789_137618_000013_000007	But in the end, Queen Guenever said, it shall be thus, that he shall hate her, and love you better than ever he did to-fore.	But in the end, Queen Guenever said, it shall be thus, that he shall hate her, and love you better than ever he did to fore.
1789_137618_000015_000002	And these fishers told Sir Lamorak all the guise of Sir Nabon; how there came never knight of King Arthur's but he destroyed him.	And these fishers told Sir Lamorak all the guise of Sir Nabon; how there came never knight of King Arthur's but he destroyed him.
1789_137618_000015_000003	And at the last battle that he did was slain Sir Nanowne le Petite, the which he put to a shameful death in despite of King Arthur, for he was drawn limb-meal.	And at the last battle that he did was slain Sir Nanowne le Petite, the which he put to a shameful death in despite of King Arthur, for he was drawn limb meal.
1789_137618_000015_000004	That forthinketh me, said Sir Lamorak, for that knight's death, for he was my cousin; and if I were at mine ease as well as ever I was, I would revenge his death.	That forthinketh me, said Sir Lamorak, for that knight's death, for he was my cousin; and if I were at mine ease as well as ever I was, I would revenge his death.
1789_137618_000017_000002	And then either saluted other.	And then either saluted other.
1789_137618_000017_000004	And then Sir Segwarides brought Sir Tristram to a lady thereby that was born in Cornwall, and she told him all the perils of that valley, and how there came never knight there but he were taken prisoner or slain.	And then Sir Segwarides brought Sir Tristram to a lady thereby that was born in Cornwall, and she told him all the perils of that valley, and how there came never knight there but he were taken prisoner or slain.
1789_137618_000018_000000	Then one told him there was a knight of King Arthur's that was wrecked on the rocks.	Then one told him there was a knight of King Arthur's that was wrecked on the rocks.
1789_137618_000018_000001	What is his name? said Sir Tristram.	What is his name? said Sir Tristram.
1789_137618_000018_000002	We wot not, said the fishers, but he keepeth it no counsel but that he is a knight of King Arthur's, and by the mighty lord of this isle he setteth nought.	We wot not, said the fishers, but he keepeth it no counsel but that he is a knight of King Arthur's, and by the mighty lord of this isle he setteth nought.
1789_137618_000018_000004	Then the lady prayed the fishers to bring him to her place.	Then the lady prayed the fishers to bring him to her place.
1789_137618_000018_000005	So on the morrow they brought him thither in a fisher's raiment; and as soon as Sir Tristram saw him he smiled upon him and knew him well, but he knew not Sir Tristram.	So on the morrow they brought him thither in a fisher's raiment; and as soon as Sir Tristram saw him he smiled upon him and knew him well, but he knew not Sir Tristram.
1789_137618_000018_000006	Fair sir, said Sir Tristram, meseemeth by your cheer ye have been diseased but late, and also methinketh I should know you heretofore.	Fair sir, said Sir Tristram, meseemeth by your cheer ye have been diseased but late, and also methinketh I should know you heretofore.
1789_137618_000018_000007	I will well, said Sir Lamorak, that ye have seen me and met with me.	I will well, said Sir Lamorak, that ye have seen me and met with me.
1789_137618_000018_000010	Well, said Sir Lamorak, since ye have said so largely unto me, my name is Sir Lamorak de Galis, son unto King Pellinore.	Well, said Sir Lamorak, since ye have said so largely unto me, my name is Sir Lamorak de Galis, son unto King Pellinore.
1789_137618_000018_000012	What are ye, said Sir Lamorak, that knoweth me?	What are ye, said Sir Lamorak, that knoweth me?
1789_137618_000018_000013	I am Sir Tristram de Liones.	I am Sir Tristram de Liones.
1789_137618_000018_000014	Ah, sir, remember ye not of the fall ye did give me once, and after ye refused me to fight on foot.	Ah, sir, remember ye not of the fall ye did give me once, and after ye refused me to fight on foot.
1789_137618_000018_000016	Well, said he, an it were to do again, so would I do, for I had liefer strife and debate fell in King Mark's court rather than Arthur's court, for the honour of both courts be not alike.	Well, said he, an it were to do again, so would I do, for I had liefer strife and debate fell in King Mark's court rather than Arthur's court, for the honour of both courts be not alike.
1789_137618_000018_000018	Therefore, said Sir Tristram, ye shall leave all your malice, and so will I, and let us assay how we may win worship between you and me upon this giant Sir Nabon le Noire that is lord of this island, to destroy him.	Therefore, said Sir Tristram, ye shall leave all your malice, and so will I, and let us assay how we may win worship between you and me upon this giant Sir Nabon le Noire that is lord of this island, to destroy him.
