3654_171139_000001_000000	CHAPTER 7.	CHAPTER seven.
3654_171139_000009_000003	This mountain Josephus had encompassed with a wall when he fortified the city, that its top might not be capable of being seized upon by the enemies.	This mountain Josephus had encompassed with a wall when he fortified the city, that its top might not be capable of being seized upon by the enemies.
3654_171139_000009_000004	The city is covered all round with other mountains, and can no way be seen till a man comes just upon it. And this was the strong situation of Jotapata.	The city is covered all round with other mountains, and can no way be seen till a man comes just upon it. And this was the strong situation of Jotapata.
3654_171139_000010_000002	To that end he called the commanders that were under him to a council of war, and consulted with them which way the assault might be managed to the best advantage.	To that end he called the commanders that were under him to a council of war, and consulted with them which way the assault might be managed to the best advantage.
3654_171139_000010_000003	And when the resolution was there taken to raise a bank against that part of the wall which was practicable, he sent his whole army abroad to get the materials together.	And when the resolution was there taken to raise a bank against that part of the wall which was practicable, he sent his whole army abroad to get the materials together.
3654_171139_000010_000005	These hurdles they spread over their banks, under cover whereof they formed their bank, and so were little or nothing hurt by the darts that were thrown upon them from the wall, while others pulled the neighboring hillocks to pieces, and perpetually brought earth to them; so that while they were busy three sorts of ways, nobody was idle.	These hurdles they spread over their banks, under cover whereof they formed their bank, and so were little or nothing hurt by the darts that were thrown upon them from the wall, while others pulled the neighboring hillocks to pieces, and perpetually brought earth to them; so that while they were busy three sorts of ways, nobody was idle.
3654_171139_000010_000006	However, the Jews cast great stones from the walls upon the hurdles which protected the men, with all sorts of darts also; and the noise of what could not reach them was yet so terrible, that it was some impediment to the workmen.	However, the Jews cast great stones from the walls upon the hurdles which protected the men, with all sorts of darts also; and the noise of what could not reach them was yet so terrible, that it was some impediment to the workmen.
3654_171139_000011_000001	Vespasian then set the engines for throwing stones and darts round about the city.	Vespasian then set the engines for throwing stones and darts round about the city.
3654_171139_000012_000003	He also built a good number of towers upon the wall, and fitted it to strong battlements.	He also built a good number of towers upon the wall, and fitted it to strong battlements.
3654_171139_000012_000004	This greatly discouraged the Romans, who in their own opinions were already gotten within the walls, while they were now at once astonished at Josephus's contrivance, and at the fortitude of the citizens that were in the city.	This greatly discouraged the romans, who in their own opinions were already gotten within the walls, while they were now at once astonished at Josephus's contrivance, and at the fortitude of the citizens that were in the city.
3654_171139_000014_000002	Nor were the Romans unacquainted with the state they were in, for when they stood over against them, beyond the wall, they could see them running together, and taking their water by measure, which made them throw their javelins thither the place being within their reach, and kill a great many of them.	Nor were the romans unacquainted with the state they were in, for when they stood over against them, beyond the wall, they could see them running together, and taking their water by measure, which made them throw their javelins thither the place being within their reach, and kill a great many of them.
3654_171139_000015_000002	At this sight the Romans were discouraged, and under consternation, when they saw them able to throw away in sport so much water, when they supposed them not to have enough to drink themselves.	At this sight the romans were discouraged, and under consternation, when they saw them able to throw away in sport so much water, when they supposed them not to have enough to drink themselves.
3654_171139_000016_000001	However, Josephus contrived another stratagem besides the foregoing, to get plenty of what they wanted.	However, Josephus contrived another stratagem besides the foregoing, to get plenty of what they wanted.
3654_171139_000017_000005	Yet did not this plea move the people, but inflamed them the more to hang about him.	Yet did not this plea move the people, but inflamed them the more to hang about him.
3654_171139_000018_000001	Now Josephus thought, that if he resolved to stay, it would be ascribed to their entreaties; and if he resolved to go away by force, he should be put into custody.	Now Josephus thought, that if he resolved to stay, it would be ascribed to their entreaties; and if he resolved to go away by force, he should be put into custody.
3654_171139_000018_000002	His commiseration also of the people under their lamentations had much broken that his eagerness to leave them; so he resolved to stay, and arming himself with the common despair of the citizens, he said to them, "Now is the time to begin to fight in earnest, when there is no hope of deliverance left.	His commiseration also of the people under their lamentations had much broken that his eagerness to leave them; so he resolved to stay, and arming himself with the common despair of the citizens, he said to them, "Now is the time to begin to fight in earnest, when there is no hope of deliverance left.
3654_171139_000019_000002	So he repelled the Jews in great measure by the Arabian archers, and the Syrian slingers, and by those that threw stones at them, nor was there any intermission of the great number of their offensive engines.	So he repelled the Jews in great measure by the Arabian archers, and the Syrian slingers, and by those that threw stones at them, nor was there any intermission of the great number of their offensive engines.
3654_171139_000019_000003	Now the Jews suffered greatly by these engines, without being able to escape from them; and when these engines threw their stones or javelins a great way, and the Jews were within their reach, they pressed hard upon the Romans, and fought desperately, without sparing either soul or body, one part succoring another by turns, when it was tired down.	Now the Jews suffered greatly by these engines, without being able to escape from them; and when these engines threw their stones or javelins a great way, and the Jews were within their reach, they pressed hard upon the romans, and fought desperately, without sparing either soul or body, one part succoring another by turns, when it was tired down.
3654_171139_000020_000003	This was the experiment which the Roman general betook himself to, when he was eagerly bent upon taking the city; but found lying in the field so long to be to his disadvantage, because the Jews would never let him be quiet.	This was the experiment which the Roman general betook himself to, when he was eagerly bent upon taking the city; but found lying in the field so long to be to his disadvantage, because the Jews would never let him be quiet.
3654_171139_000020_000005	This brought matters to such a pass that none of the Jews durst mount the walls, and then it was that the other Romans brought the battering ram that was cased with hurdles all over, and in the tipper part was secured by skins that covered it, and this both for the security of themselves and of the engine.	This brought matters to such a pass that none of the Jews durst mount the walls, and then it was that the other romans brought the battering ram that was cased with hurdles all over, and in the tipper part was secured by skins that covered it, and this both for the security of themselves and of the engine.
3654_171139_000020_000006	Now, at the very first stroke of this engine, the wall was shaken, and a terrible clamor was raised by the people within the city, as if they were already taken.	Now, at the very first stroke of this engine, the wall was shaken, and a terrible clamor was raised by the people within the city, as if they were already taken.
3654_171139_000021_000001	And now, when Josephus saw this ram still battering the same place, and that the wall would quickly be thrown down by it, he resolved to elude for a while the force of the engine.	And now, when Josephus saw this ram still battering the same place, and that the wall would quickly be thrown down by it, he resolved to elude for a while the force of the engine.
3654_171139_000021_000002	With this design he gave orders to fill sacks with chaff, and to hang them down before that place where they saw the ram always battering, that the stroke might be turned aside, or that the place might feel less of the strokes by the yielding nature of the chaff.	With this design he gave orders to fill sacks with chaff, and to hang them down before that place where they saw the ram always battering, that the stroke might be turned aside, or that the place might feel less of the strokes by the yielding nature of the chaff.
