5570_73847_000000_000000	CHAPTER NINE	CHAPTER NINE	false	0	11.4	22.21375
5570_73847_000042_000000	'Why do you ask?' inquired the other curiously.	'Why do you ask?' inquired the other curiously.	true	539.63	542.98	17.214817
5570_73847_000043_000000	'I was only wondering,' said Lawford.	'I was only wondering,' said Lawford.	true	543.5	546.13	16.988047
5570_73847_000043_000001	He was cold and shivering.	He was cold and shivering.	true	546.38	548.02	21.323416
5570_73847_000043_000002	He felt instinctively it was madness to sit on here in the thin gliding mist that had gathered in swathes above the grass, milk-pale in the rising moon.	He felt instinctively it was madness to sit on here in the thin gliding mist that had gathered in swathes above the grass, milk pale in the rising moon.	true	548.09	557.65	23.264692
5570_73847_000043_000003	The stranger turned away from him.	The stranger turned away from him.	true	558.02	559.96	29.27368
5570_73847_000044_000000	'"For in that sleep of death what dreams may come must give us pause,"' he said slowly, with a little satirical catch on the last word.	'"For in that sleep of death what dreams may come must give us pause,"' he said slowly, with a little satirical catch on the last word.	true	560.84	569.32	27.209497
5570_73847_000044_000001	'What did you dream?'	'What did you dream?'	true	569.78	571.21	24.938171
5570_73847_000045_000000	Lawford glanced helplessly about him.	Lawford glanced helplessly about him.	true	572.03	574.39	25.219973
5570_73847_000045_000001	The moon cast lean grey beams of light between the cypresses.	The moon cast lean grey beams of light between the cypresses.	true	574.55	578.62	20.917007
5570_73847_000045_000002	But to his wide and wandering eyes it seemed that a radiance other than hers haunted these mounds and leaning stones.	But to his wide and wandering eyes it seemed that a radiance other than hers haunted these mounds and leaning stones.	true	578.72	586.24	20.479208
5570_73847_000045_000003	'Have you ever noticed it?' he said, putting out his hand towards his unknown companion; 'this stone is cracked from head to foot?...	'Have you ever noticed it?' he said, putting out his hand towards his unknown companion; 'this stone is cracked from head to foot?...	true	587.09	595.33	23.684978
5570_73847_000045_000004	But there'--he rose stiff and chilled--'I am afraid I have bored you with my company.	But there'--he rose stiff and chilled-'I am afraid I have bored you with my company.	true	596.21	601.39	24.846947
5570_73847_000045_000005	You came here for solitude, and I have been trying to convince you that we are surrounded with witnesses.	You came here for solitude, and I have been trying to convince you that we are surrounded with witnesses.	true	601.43	606.46	24.336077
5570_73847_000045_000006	You will forgive my intrusion?' There was a kind of old-fashioned courtesy in his manner that he himself was dimly aware of.	You will forgive my intrusion?' There was a kind of old-fashioned courtesy in his manner that he himself was dimly aware of.	true	606.53	614.32	24.084013
5570_73847_000045_000007	He held out his hand.	He held out his hand.	true	614.51	615.82	24.258047
5570_73847_000046_000000	'I hope you will think nothing of the kind,' said the other earnestly; 'how could it be in any sense an intrusion?	'I hope you will think nothing of the kind,' said the other earnestly; 'how could it be in any sense an intrusion?	false	616.55	622.96	22.333399
5570_73847_000046_000001	It's the old story of Bluebeard.	It's the old story of Bluebeard.	true	623.06	625.24	29.52991
5570_73847_000046_000002	And I confess I too should very much like a peep into his cupboard.	And I confess I too should very much like a peep into his cupboard.	true	625.28	628.965	25.287636
5570_73847_000046_000003	Who wouldn't?	Who wouldn't?	true	628.965	629.86	16.342289
5570_73847_000046_000004	But there, it's merely a matter of time, I suppose.' He paused, and together they slowly ascended the path already glimmering with a heavy dew.	But there, it's merely a matter of time, I suppose.' He paused, and together they slowly ascended the path already glimmering with a heavy dew.	true	630.05	639.07	25.240648
5570_73847_000046_000005	At the porch they paused once more.	At the porch they paused once more.	true	639.86	642.1	27.877079
5570_73847_000046_000006	And now it was the stranger that held out his hand.	And now it was the stranger that held out his hand.	true	642.35	645.22	19.52521
5570_73847_000047_000000	'Perhaps,' he said, 'you will give me the pleasure of some day continuing our talk.	'Perhaps,' he said, 'you will give me the pleasure of some day continuing our talk.	true	645.77	650.77	29.392487
5570_73847_000047_000001	As for our friend below, it so happens that I have managed to pick up a little more of his history than the sexton seems to have heard of--if you would care some time or other to share it.	As for our friend below, it so happens that I have managed to pick up a little more of his history than the sexton seems to have heard of-if you would care some time or other to share it.	false	650.99	661.54	23.68151
5570_73847_000047_000002	I live only at the foot of the hill, not half a mile distant.	I live only at the foot of the hill, not half a mile distant.	true	661.94	665.71	23.250172
5570_73847_000047_000003	Perhaps you could spare the time now?'	Perhaps you could spare the time now?'	true	665.84	668.14	30.274698
5570_73847_000048_000000	Lawford took out his watch, 'You are really very kind,' he said.	Lawford took out his watch, 'You are really very kind,' he said.	true	669.14	673.54	23.647509
5570_73847_000048_000001	'But, perhaps--well, whatever that history may be, I think you would agree that mine is even--but, there, I've talked too much about myself already.	'But, perhaps-well, whatever that history may be, I think you would agree that mine is even-but, there, I've talked too much about myself already.	true	673.76	683.65	24.870527
5570_73847_000048_000002	Perhaps to-morrow?'	Perhaps to morrow?'	true	683.84	685.33	27.261154
5570_73847_000049_000000	'Why, to-morrow, then,' said his companion.	'Why, to morrow, then,' said his companion.	true	685.67	688.3	24.991568
5570_73847_000049_000001	'It's a flat wooden house, on the left-hand side.	'It's a flat wooden house, on the left hand side.	true	688.46	691.33	21.014816
5570_73847_000049_000002	Come at any time of the evening'; he paused again and smiled--'the third house after the Rectory, which is marked up on the gate.	Come at any time of the evening'; he paused again and smiled-'the third house after the Rectory, which is marked up on the gate.	true	691.46	699.4	22.596622
5570_73847_000049_000003	My name is Herbert--Herbert Herbert to be precise.'	My name is Herbert-Herbert Herbert to be precise.'	true	699.47	702.97	24.50207
5570_73847_000050_000000	Lawford took out his pocket-book and a card.	Lawford took out his pocket book and a card.	true	703.61	706.27	28.772442
5570_73847_000050_000001	'Mine,' he said, handing it gravely to his companion.	'Mine,' he said, handing it gravely to his companion.	true	706.46	709.75	24.866976
5570_73847_000050_000002	'is Lawford--at least...' It was really the first time that either had seen the other's face at close quarters and clear-lit; and on Lawford's a moon almost at the full shone dazzlingly.	'is Lawford-at least...' It was really the first time that either had seen the other's face at close quarters and clear lit; and on Lawford's a moon almost at the full shone dazzlingly.	true	710.15	722.95	23.700315
5570_73847_000050_000003	He saw an expression--dismay, incredulity, overwhelming astonishment--start suddenly into the dark, rather indifferent eyes.	He saw an expression-dismay, incredulity, overwhelming astonishment-start suddenly into the dark, rather indifferent eyes.	true	723.32	732.43	22.48108
5570_73847_000051_000000	'What is it?' he cried, hastily stooping close.	'What is it?' he cried, hastily stooping close.	true	733.4	736.6	27.707941
5570_73847_000052_000000	'Why,' said the other, laughing and turning away, 'I think the moon must have bewitched me too.'	'Why,' said the other, laughing and turning away, 'I think the moon must have bewitched me too.'	true	737.63	743.79	22.89756
5570_73847_000053_000000	CHAPTER TEN	CHAPTER TEN	false	743.79	743.88	-20
5570_73847_000054_000000	Lawford listened awhile before opening his door.	Lawford listened awhile before opening his door.	false	743.88	744.18	-20
5570_73847_000054_000001	He heard voices in the dining-room.	He heard voices in the dining room.	false	744.18	744.51	-20
5570_73847_000054_000002	A light shone faintly between the blinds of his bedroom.	A light shone faintly between the blinds of his bedroom.	false	744.51	744.96	-20
5570_73847_000054_000003	He very gently let himself in, and unheard, unseen, mounted the stairs.	He very gently let himself in, and unheard, unseen, mounted the stairs.	false	744.96	745.5	100
5570_73847_000054_000004	He sat down in front of the fire, tired out and bitterly cold in spite of his long walk home.	He sat down in front of the fire, tired out and bitterly cold in spite of his long walk home.	false	745.5	746.25	13
5570_73847_000054_000005	But his mind was wearier even than his body.	But his mind was wearier even than his body.	false	746.25	746.7	29.561836
5570_73847_000054_000006	He tried in vain to catch up the thread of his thoughts.	He tried in vain to catch up the thread of his thoughts.	false	746.7	747.24	-20
5570_73847_000054_000007	He only knew for certain that so far as his first hope and motives had gone his errand had proved entirely futile.	He only knew for certain that so far as his first hope and motives had gone his errand had proved entirely futile.	false	747.24	748.29	-20
5570_73847_000054_000008	'How could I possibly fall asleep with that fellow talking there?' he had said to himself angrily; yet knew in his heart that their talk had driven every other idea out of his mind.	'How could I possibly fall asleep with that fellow talking there?' he had said to himself angrily; yet knew in his heart that their talk had driven every other idea out of his mind.	false	748.29	749.88	-20
5570_73847_000054_000009	He had not yet even glanced into the glass.	He had not yet even glanced into the glass.	false	749.88	750.3	-20
5570_73847_000054_000010	His every thought was vainly wandering round and round the one curious hint that had drifted in, but which he had not yet been able to put into words.	His every thought was vainly wandering round and round the one curious hint that had drifted in, but which he had not yet been able to put into words.	false	750.3	751.68	-20
