2638_10172_000000_000000	CHAPTER I.	CHAPTER one	true	21.12	22.15	19.171984
2638_10172_000005_000000	Outwardly speaking, the captain had not altered for the better since the memorable spring day when he had presented himself to Miss Garth at the lodge-gate at Combe-Raven.	Outwardly speaking, the captain had not altered for the better since the memorable spring day when he had presented himself to Miss Garth at the lodge gate at Combe Raven.	true	170.48	179.05	16
2638_10172_000005_000001	The railway mania of that famous year had attacked even the wary Wragge; had withdrawn him from his customary pursuits; and had left him prostrate in the end, like many a better man.	The railway mania of that famous year had attacked even the wary Wragge; had withdrawn him from his customary pursuits; and had left him prostrate in the end, like many a better man.	true	179.42	189.61	22
2638_10172_000005_000002	He had lost his clerical appearance--he had faded with the autumn leaves.	He had lost his clerical appearance-he had faded with the autumn leaves.	true	190.31	194.8	21.222534
2638_10172_000005_000003	His crape hat-band had put itself in brown mourning for its own bereavement of black.	His crape hat band had put itself in brown mourning for its own bereavement of black.	true	195.11	200.05	21
2638_10172_000005_000004	His dingy white collar and cravat had died the death of old linen, and had gone to their long home at the paper-maker's, to live again one day in quires at a stationer's shop. A gray shooting-jacket in the last stage of woolen atrophy replaced the black frockcoat of former times, and, like a faithful servant, kept the dark secret of its master's linen from the eyes of a prying world.	His dingy white collar and cravat had died the death of old linen, and had gone to their long home at the paper maker's, to live again one day in quires at a stationer's shop. A gray shooting jacket in the last stage of woolen atrophy replaced the black frockcoat of former times, and, like a faithful servant, kept the dark secret of its master's linen from the eyes of a prying world.	true	200.6	223.9	21.320461
2638_10172_000005_000005	From top to toe every square inch of the captain's clothing was altered for the worse; but the man himself remained unchanged--superior to all forms of moral mildew, impervious to the action of social rust.	From top to toe every square inch of the captain's clothing was altered for the worse; but the man himself remained unchanged-superior to all forms of moral mildew, impervious to the action of social rust.	true	224.69	237.73	19.916164
2638_10172_000005_000006	He was as courteous, as persuasive, as blandly dignified as ever.	He was as courteous, as persuasive, as blandly dignified as ever.	true	238.04	242.62	23.374733
2638_10172_000005_000007	He carried his head as high without a shirt-collar as ever he had carried it with one. The threadbare black handkerchief round his neck was perfectly tied; his rotten old shoes were neatly blacked; he might have compared chins, in the matter of smooth shaving, with the highest church dignitary in York. Time, change, and poverty had all attacked the captain together, and had all failed alike to get him down on the ground.	He carried his head as high without a shirt collar as ever he had carried it with one. The threadbare black handkerchief round his neck was perfectly tied; his rotten old shoes were neatly blacked; he might have compared chins, in the matter of smooth shaving, with the highest church dignitary in York. Time, change, and poverty had all attacked the captain together, and had all failed alike to get him down on the ground.	false	243.26	267.76	20.870443
2638_10172_000005_000008	He paced the streets of York, a man superior to clothes and circumstances--his vagabond varnish as bright on him as ever.	He paced the streets of York, a man superior to clothes and circumstances-his vagabond varnish as bright on him as ever.	true	268.34	275.53	22
2638_10172_000006_000000	Arrived at the bridge, Captain Wragge stopped and looked idly over the parapet at the barges in the river.	Arrived at the bridge, Captain Wragge stopped and looked idly over the parapet at the barges in the river.	true	276.32	281.77	18
2638_10172_000006_000001	It was plainly evident that he had no particular destination to reach and nothing whatever to do.	It was plainly evident that he had no particular destination to reach and nothing whatever to do.	true	282.26	287.56	19
2638_10172_000006_000002	While he was still loitering, the clock of York Minster chimed the half-hour past five.	While he was still loitering, the clock of York Minster chimed the half hour past five.	false	288.2	292.9	20
2638_10172_000006_000003	Cabs rattled by him over the bridge on their way to meet the train from London, at twenty minutes to six.	Cabs rattled by him over the bridge on their way to meet the train from London, at twenty minutes to six.	true	293.33	298.93	18
2638_10172_000006_000004	After a moment's hesitation, the captain sauntered after the cabs.	After a moment's hesitation, the captain sauntered after the cabs.	true	299.69	303.19	21.208332
2638_10172_000006_000005	When it is one of a man's regular habits to live upon his fellow-creatures, that man is always more or less fond of haunting large railway stations.	When it is one of a man's regular habits to live upon his fellow creatures, that man is always more or less fond of haunting large railway stations.	true	303.65	312.13	19
2638_10172_000006_000006	Captain Wragge gleaned the human field, and on that unoccupied afternoon the York terminus was as likely a corner to look about in as any other.	Captain Wragge gleaned the human field, and on that unoccupied afternoon the York terminus was as likely a corner to look about in as any other.	true	312.41	321.25	21
2638_10172_000007_000000	He reached the platform a few minutes after the train had arrived. That entire incapability of devising administrative measures for the management of large crowds, which is one of the characteristics of Englishmen in authority, is nowhere more strikingly exemplified than at York.	He reached the platform a few minutes after the train had arrived. That entire incapability of devising administrative measures for the management of large crowds, which is one of the characteristics of Englishmen in authority, is nowhere more strikingly exemplified than at York.	true	322.16	337.99	21
2638_10172_000007_000001	Three different lines of railway assemble three passenger mobs, from morning to night, under one roof; and leave them to raise a traveler's riot, with all the assistance which the bewildered servants of the company can render to increase the confusion.	Three different lines of railway assemble three passenger mobs, from morning to night, under one roof; and leave them to raise a traveler's riot, with all the assistance which the bewildered servants of the company can render to increase the confusion.	true	338.6	353.26	20.636883
2638_10172_000007_000002	The customary disturbance was rising to its climax as Captain Wragge approached the platform.	The customary disturbance was rising to its climax as Captain Wragge approached the platform.	true	353.9	359.11	21.49388
2638_10172_000007_000003	Dozens of different people were trying to attain dozens of different objects, in dozens of different directions, all starting from the same common point and all equally deprived of the means of information.	Dozens of different people were trying to attain dozens of different objects, in dozens of different directions, all starting from the same common point and all equally deprived of the means of information.	true	359.63	370.63	21
2638_10172_000007_000004	A sudden parting of the crowd, near the second-class carriages, attracted the captain's curiosity.	A sudden parting of the crowd, near the second class carriages, attracted the captain's curiosity.	true	371.15	375.85	19
2638_10172_000007_000005	He pushed his way in; and found a decently-dressed man--assisted by a porter and a policeman--attempting to pick up some printed bills scattered from a paper parcel, which his frenzied fellow-passengers had knocked out of his hand.	He pushed his way in; and found a decently dressed man-assisted by a porter and a policeman-attempting to pick up some printed bills scattered from a paper parcel, which his frenzied fellow passengers had knocked out of his hand.	true	376.4	388.42	19
2638_10172_000008_000000	Offering his assistance in this emergency, with the polite alacrity which marked his character, Captain Wragge observed the three startling words, "Fifty Pounds Reward," printed in capital letters on the bills which he assisted in recovering; and instantly secreted one of them, to be more closely examined at the first convenient opportunity.	Offering his assistance in this emergency, with the polite alacrity which marked his character, Captain Wragge observed the three startling words, "Fifty Pounds Reward," printed in capital letters on the bills which he assisted in recovering; and instantly secreted one of them, to be more closely examined at the first convenient opportunity.	true	389.63	408.88	20.85239
2638_10172_000008_000001	As he crumpled up the bill in the palm of his hand, his party-colored eyes fixed with hungry interest on the proprietor of the unlucky parcel.	As he crumpled up the bill in the palm of his hand, his party colored eyes fixed with hungry interest on the proprietor of the unlucky parcel.	true	409.46	417.1	19
2638_10172_000008_000002	When a man happens not to be possessed of fifty pence in his own pocket, if his heart is in the right place, it bounds; if his mouth is properly constituted, it waters, at the sight of another man who carries about with him a printed offer of fifty pounds sterling, addressed to his fellow-creatures.	When a man happens not to be possessed of fifty pence in his own pocket, if his heart is in the right place, it bounds; if his mouth is properly constituted, it waters, at the sight of another man who carries about with him a printed offer of fifty pounds sterling, addressed to his fellow creatures.	true	417.38	434.86	20
2638_10172_000009_000000	The unfortunate traveler wrapped up his parcel as he best might, and made his way off the platform, after addressing an inquiry to the first official victim of the day's passenger-traffic, who was sufficiently in possession of his senses to listen to it.	The unfortunate traveler wrapped up his parcel as he best might, and made his way off the platform, after addressing an inquiry to the first official victim of the day's passenger traffic, who was sufficiently in possession of his senses to listen to it.	true	435.77	448.06	17
2638_10172_000009_000001	Leaving the station for the river-side, which was close at hand, the stranger entered the ferryboat at the North Street Postern.	Leaving the station for the river side, which was close at hand, the stranger entered the ferryboat at the North Street Postern.	true	448.61	455.26	19.25763
2638_10172_000009_000002	The captain, who had carefully dogged his steps thus far, entered the boat also; and employed the short interval of transit to the opposite bank in a perusal of the handbill which he had kept for his own private enlightenment.	The captain, who had carefully dogged his steps thus far, entered the boat also; and employed the short interval of transit to the opposite bank in a perusal of the handbill which he had kept for his own private enlightenment.	false	455.66	467.86	21.438906
2638_10172_000009_000003	With his back carefully turned on the traveler, Captain Wragge now possessed his mind of the following lines:	With his back carefully turned on the traveler, Captain Wragge now possessed his mind of the following lines:	true	468.47	474.43	20.542212
2638_10172_000010_000000	"FIFTY POUNDS REWARD.	"FIFTY POUNDS REWARD.	true	474.86	476.65	21.486156
2638_10172_000011_000000	"Left her home, in London, early on the morning of September 23d, 1846, A YOUNG LADY.	"Left her home, in London, early on the morning of September twenty three d, eighteen forty six, A YOUNG LADY.	false	477.11	483.43	21.761278
2638_10172_000011_000001	Age--eighteen.	Age-eighteen.	true	483.56	485.29	23.75034
2638_10172_000011_000002	Dress--deep mourning.	Dress-deep mourning.	true	485.45	487.54	21.091368
2638_10172_000011_000003	Personal appearance--hair of a very light brown; eyebrows and eyelashes darker; eyes light gray; complexion strikingly pale; lower part of her face large and full; tall upright figure; walks with remarkable grace and ease; speaks with openness and resolution; has the manners and habits of a refined, cultivated lady.	Personal appearance-hair of a very light brown; eyebrows and eyelashes darker; eyes light gray; complexion strikingly pale; lower part of her face large and full; tall upright figure; walks with remarkable grace and ease; speaks with openness and resolution; has the manners and habits of a refined, cultivated lady.	true	487.76	509.47	21.002733
2638_10172_000011_000004	Personal marks--two little moles, close together, on the left side of the neck.	Personal marks-two little moles, close together, on the left side of the neck.	true	509.81	514.42	22.911213
2638_10172_000011_000005	Mark on the under-clothing--'Magdalen Vanstone.' Is supposed to have joined, or attempted to join, under an assumed name, a theatrical company now performing at York.	Mark on the under clothing-'Magdalen Vanstone.' Is supposed to have joined, or attempted to join, under an assumed name, a theatrical company now performing at York.	true	514.7	524.8	21.56716
2638_10172_000011_000006	Had, when she left London, one black box, and no other luggage.	Had, when she left London, one black box, and no other luggage.	true	525.05	528.82	20
2638_10172_000011_000007	Whoever will give such information as will restore her to her friends shall receive the above Reward.	Whoever will give such information as will restore her to her friends shall receive the above Reward.	true	528.86	534.12	19
2638_10172_000011_000008	Apply at the office of Mr. Harkness, solicitor, Coney Street, York.	Apply at the office of mr Harkness, solicitor, Coney Street, York.	false	534.12	538.9	23.703762
2638_10172_000011_000009	Or to Messrs.	Or to Messrs.	true	538.94	539.91	22.161024
2638_10172_000011_000010	Wyatt, Pendril, and Gwilt, Serle Street, Lincoln's Inn, London."	Wyatt, Pendril, and Gwilt, Serle Street, Lincoln's Inn, London."	true	539.91	544.39	25.022543
2638_10172_000012_000000	Accustomed as Captain Wragge was to keep the completest possession of himself in all hum an emergencies, his own profound astonishment, when the course of his reading brought him to the mark on the linen of the missing young lady, betrayed him into an exclamation of surprise which even startled the ferryman.	Accustomed as Captain Wragge was to keep the completest possession of himself in all hum an emergencies, his own profound astonishment, when the course of his reading brought him to the mark on the linen of the missing young lady, betrayed him into an exclamation of surprise which even startled the ferryman.	false	545.27	561.19	19
2638_10172_000012_000001	The traveler was less observant; his whole attention was fixed on the opposite bank of the river, and he left the boat hastily the moment it touched the landing-place.	The traveler was less observant; his whole attention was fixed on the opposite bank of the river, and he left the boat hastily the moment it touched the landing place.	true	561.65	569.95	21.532116
2638_10172_000012_000002	Captain Wragge recovered himself, pocketed the handbill, and followed his leader for the second time.	Captain Wragge recovered himself, pocketed the handbill, and followed his leader for the second time.	true	570.59	576.37	21.347479
2638_10172_000013_000000	The stranger directed his steps to the nearest street which ran down to the river, compared a note in his pocketbook with the numbers of the houses on the left-hand side, stopped at one of them, and rang the bell. The captain went on to the next house; affected to ring the bell, in his turn, and stood with his back to the traveler--in appearance, waiting to be let in; in reality, listening with all his might for any scraps of dialogue which might reach his ears on the opening of the door behind him.	The stranger directed his steps to the nearest street which ran down to the river, compared a note in his pocketbook with the numbers of the houses on the left hand side, stopped at one of them, and rang the bell. The captain went on to the next house; affected to ring the bell, in his turn, and stood with his back to the traveler-in appearance, waiting to be let in; in reality, listening with all his might for any scraps of dialogue which might reach his ears on the opening of the door behind him.	true	577.28	604.6	21.756681
2638_10172_000014_000000	The door was answered with all due alacrity, and a sufficiently instructive interchange of question and answer on the threshold rewarded the dexterity of Captain Wragge.	The door was answered with all due alacrity, and a sufficiently instructive interchange of question and answer on the threshold rewarded the dexterity of Captain Wragge.	true	605.45	614.08	18
2638_10172_000015_000000	"Does Mr. Huxtable live here?" asked the traveler.	"Does mr Huxtable live here?" asked the traveler.	true	614.9	618.43	22.244635
2638_10172_000016_000000	"Yes, sir," was the answer, in a woman's voice.	"Yes, sir," was the answer, in a woman's voice.	true	618.65	621.37	21.019407
2638_10172_000017_000000	"Is he at home?"	"Is he at home?"	false	621.44	622.63	27.26687
2638_10172_000018_000000	"Not at home now, sir; but he will be in again at eight to-night."	"Not at home now, sir; but he will be in again at eight to night."	true	623.03	626.56	19.753422
2638_10172_000019_000000	"I think a young lady called here early in the day, did she not?"	"I think a young lady called here early in the day, did she not?"	true	626.87	630.01	21
2638_10172_000020_000000	"Yes; a young lady came this afternoon."	"Yes; a young lady came this afternoon."	true	630.5	632.95	21.461388
2638_10172_000021_000000	"Exactly; I come on the same business.	"Exactly; I come on the same business.	true	633.29	635.77	24.077213
2638_10172_000021_000001	Did she see Mr. Huxtable?"	Did she see mr Huxtable?"	true	635.93	637.66	22.147831
2638_10172_000022_000000	"No, sir; he has been away all day.	"No, sir; he has been away all day.	true	637.85	639.795	20
2638_10172_000022_000001	The young lady told me she would come back at eight o'clock."	The young lady told me she would come back at eight o'clock."	true	639.795	642.37	21.66745
2638_10172_000023_000000	"Just so.	"Just so.	true	642.83	643.47	16.550621
2638_10172_000023_000001	I will call and see Mr. Huxtable at the same time."	I will call and see mr Huxtable at the same time."	true	643.47	646.15	17
2638_10172_000024_000000	"Any name, sir?"	"Any name, sir?"	true	646.52	647.56	22.481445
2638_10172_000025_000000	"No; say a gentleman called on theatrical business--that will be enough. Wait one minute, if you please.	"No; say a gentleman called on theatrical business-that will be enough. Wait one minute, if you please.	true	648.23	653.76	22.438921
2638_10172_000025_000001	I am a stranger in York; will you kindly tell me which is the way to Coney Street?"	I am a stranger in York; will you kindly tell me which is the way to Coney Street?"	true	653.76	657.97	22.956657
2638_10172_000026_000000	The woman gave the required information, the door closed, and the stranger hastened away in the direction of Coney Street.	The woman gave the required information, the door closed, and the stranger hastened away in the direction of Coney Street.	true	658.55	664.81	20.05132
2638_10172_000027_000000	On this occasion Captain Wragge made no attempt to follow him.	On this occasion Captain Wragge made no attempt to follow him.	true	665.27	668.59	20
2638_10172_000027_000001	The handbill revealed plainly enough that the man's next object was to complete the necessary arrangements with the local solicitor on the subject of the promised reward.	The handbill revealed plainly enough that the man's next object was to complete the necessary arrangements with the local solicitor on the subject of the promised reward.	true	668.87	676.99	19
2638_10172_000028_000000	Having seen and heard enough for his immediate purpose, the captain retraced his steps down the street, turned to the right, and entered on the Esplanade, which, in that quarter of the city, borders the river-side between the swimming-baths and Lendal Tower.	Having seen and heard enough for his immediate purpose, the captain retraced his steps down the street, turned to the right, and entered on the Esplanade, which, in that quarter of the city, borders the river side between the swimming baths and Lendal Tower.	false	677.6	691	19
2638_10172_000028_000001	"This is a family matter," said Captain Wragge to himself, persisting, from sheer force of habit, in the old assertion of his relationship to Magdalen's mother; "I must consider it in all its bearings." He tucked the umbrella under his arm, crossed his hands behind him, and lowered himself gently into the abyss of his own reflections.	"This is a family matter," said Captain Wragge to himself, persisting, from sheer force of habit, in the old assertion of his relationship to Magdalen's mother; "I must consider it in all its bearings." He tucked the umbrella under his arm, crossed his hands behind him, and lowered himself gently into the abyss of his own reflections.	true	691.85	713.41	19.840223
2638_10172_000028_000002	The order and propriety observable in the captain's shabby garments accurately typified the order and propriety which distinguished the operations of the captain's mind.	The order and propriety observable in the captain's shabby garments accurately typified the order and propriety which distinguished the operations of the captain's mind.	true	713.99	723.52	19
2638_10172_000028_000003	It was his habit always to see his way before him through a neat succession of alternatives--and so he saw it now.	It was his habit always to see his way before him through a neat succession of alternatives-and so he saw it now.	true	723.77	730.72	19.647066
2638_10172_000029_000000	Three courses were open to him in connection with the remarkable discovery which he had just made.	Three courses were open to him in connection with the remarkable discovery which he had just made.	true	731.54	736.24	17
2638_10172_000029_000001	The first course was to do nothing in the matter at all.	The first course was to do nothing in the matter at all.	true	736.4	739.21	21
2638_10172_000029_000002	Inadmissible, on family grounds: equally inadmissible on pecuniary grounds: rejected accordingly.	Inadmissible, on family grounds: equally inadmissible on pecuniary grounds: rejected accordingly.	true	739.88	746.56	18.823477
2638_10172_000029_000003	The second course was to deserve the gratitude of the young lady's friends, rated at fifty pounds.	The second course was to deserve the gratitude of the young lady's friends, rated at fifty pounds.	true	747.08	753.01	21.351284
2638_10172_000029_000004	The third course was, by a timely warning to deserve the gratitude of the young lady herself, rated--at an unknown figure. Between these two last alternatives the wary Wragge hesitated; not from doubt of Magdalen's pecuniary resources--for he was totally ignorant of the circumstances which had deprived the sisters of their inheritance--but from doubt whether an obstacle in the shape of an undiscovered gentleman might not be privately connected with her disappearance from home.	The third course was, by a timely warning to deserve the gratitude of the young lady herself, rated-at an unknown figure. Between these two last alternatives the wary Wragge hesitated; not from doubt of Magdalen's pecuniary resources-for he was totally ignorant of the circumstances which had deprived the sisters of their inheritance-but from doubt whether an obstacle in the shape of an undiscovered gentleman might not be privately connected with her disappearance from home.	true	753.68	780.52	21.43183
2638_10172_000029_000005	After mature reflection, he determined to pause, and be guided by circumstances.	After mature reflection, he determined to pause, and be guided by circumstances.	true	781.49	785.89	17
2638_10172_000029_000006	In the meantime, the first consideration was to be beforehand with the messenger from London, and to lay hands securely on the young lady herself.	In the meantime, the first consideration was to be beforehand with the messenger from London, and to lay hands securely on the young lady herself.	true	786.26	794.44	20.505873
2638_10172_000030_000000	"I feel for this misguided girl," mused the captain, solemnly strutting backward and forward by the lonely river-side.	"I feel for this misguided girl," mused the captain, solemnly strutting backward and forward by the lonely river side.	true	795.17	803.17	16
2638_10172_000030_000001	"I always have looked upon her--I always shall look upon her--in the light of a niece."	"I always have looked upon her-I always shall look upon her-in the light of a niece."	false	803.33	810.43	19.319279
2638_10172_000031_000000	Where was the adopted relative at that moment?	Where was the adopted relative at that moment?	true	811.07	814	21.541683
2638_10172_000031_000001	In other words, how was a young lady in Magdalen's critical position likely to while away the hours until Mr. Huxtable 's return?	In other words, how was a young lady in Magdalen's critical position likely to while away the hours until mr Huxtable 's return?	false	814.25	822.46	18.10987
2638_10172_000031_000002	If there was an obstructive gentleman in the background, it would be mere waste of time to pursue the question.	If there was an obstructive gentleman in the background, it would be mere waste of time to pursue the question.	true	822.86	827.89	19
2638_10172_000031_000003	But if the inference which the handbill suggested was correct--if she was really alone at that moment in the city of York--where was she likely to be?	But if the inference which the handbill suggested was correct-if she was really alone at that moment in the city of York-where was she likely to be?	true	828.2	838.21	21.301226
2638_10172_000032_000000	Not in the crowded thoroughfares, to begin with.	Not in the crowded thoroughfares, to begin with.	true	838.82	841.48	23.427685
2638_10172_000032_000001	Not viewing the objects of interest in the Minster, for it was now past the hour at which the cathedral could be seen.	Not viewing the objects of interest in the Minster, for it was now past the hour at which the cathedral could be seen.	true	841.49	847.29	17
2638_10172_000032_000002	Was she in the waiting-room at the railway? She would hardly run that risk.	Was she in the waiting room at the railway? She would hardly run that risk.	false	847.29	852.46	22.589817
2638_10172_000032_000003	Was she in one of the hotels?	Was she in one of the hotels?	true	852.65	854.29	19.76148
2638_10172_000032_000004	Doubtful, considering that she was entirely by herself.	Doubtful, considering that she was entirely by herself.	true	854.57	857.74	21.67742
2638_10172_000032_000005	In a pastry-cook's shop? Far more likely.	In a pastry cook's shop? Far more likely.	true	858.11	861.67	23.79002
2638_10172_000032_000006	Driving about in a cab?	Driving about in a cab?	true	862.31	864.07	25.096796
2638_10172_000032_000007	Possible, certainly; but no more.	Possible, certainly; but no more.	true	864.41	867.4	20.76385
2638_10172_000032_000008	Loitering away the time in some quiet locality, out-of-doors? Likely enough, again, on that fine autumn evening.	Loitering away the time in some quiet locality, out of doors? Likely enough, again, on that fine autumn evening.	true	867.65	874.36	20.592783
2638_10172_000032_000009	The captain paused, weighed the relative claims on his attention of the quiet locality and the pastry-cook's shop; and decided for the first of the two.	The captain paused, weighed the relative claims on his attention of the quiet locality and the pastry cook's shop; and decided for the first of the two.	false	874.91	883.35	21.626476
2638_10172_000032_000010	There was time enough to find her at the pastry-cook's, to inquire after her at the principal hotels, or, finally, to intercept her in Mr. Huxtable's immediate neighborhood from seven to eight.	There was time enough to find her at the pastry cook's, to inquire after her at the principal hotels, or, finally, to intercept her in mr Huxtable's immediate neighborhood from seven to eight.	false	883.35	893.44	21.966293
2638_10172_000032_000011	While the light lasted, the wise course was to use it in looking for her out-of-doors.	While the light lasted, the wise course was to use it in looking for her out of doors.	true	893.81	898.66	19
2638_10172_000032_000012	Where?	Where?	true	899.12	899.98	21.042025
2638_10172_000032_000013	The Esplanade was a quiet locality; but she was not there--not on the lonely road beyond, which ran back by the Abbey Wall.	The Esplanade was a quiet locality; but she was not there-not on the lonely road beyond, which ran back by the Abbey Wall.	false	900.35	907.84	17
2638_10172_000032_000014	Where next?	Where next?	true	908.48	909.73	21.721712
2638_10172_000032_000015	The captain stopped, looked across the river, brightened under the influence of a new idea, and suddenly hastened back to the ferry.	The captain stopped, looked across the river, brightened under the influence of a new idea, and suddenly hastened back to the ferry.	true	910.1	917.4	20
2638_10172_000033_000000	"The Walk on the Walls," thought this judicious man, with a twinkle of his party-colored eyes.	"The Walk on the Walls," thought this judicious man, with a twinkle of his party colored eyes.	false	917.4	924.58	18.955034
2638_10172_000033_000001	"The quietest place in York; and the place that every stranger goes to see."	"The quietest place in York; and the place that every stranger goes to see."	true	925.16	930.34	20.27914
2638_10172_000034_000000	In ten minutes more Captain Wragge was exploring the new field of search.	In ten minutes more Captain Wragge was exploring the new field of search.	true	931.04	934.84	20
2638_10172_000034_000001	He mounted to the walls (which inclose the whole western portion of the city) by the North Street Postern, from which the walk winds round until it ends again at its southernly extremity in the narrow passage of Rosemary Lane.	He mounted to the walls (which inclose the whole western portion of the city) by the North Street Postern, from which the walk winds round until it ends again at its southernly extremity in the narrow passage of Rosemary Lane.	true	935.27	947.83	18
2638_10172_000034_000002	It was then twenty minutes to seven.	It was then twenty minutes to seven.	true	948.47	950.74	19
2638_10172_000034_000003	The sun had set more than half an hour since; the red light lay broad and low in the cloudless western heaven; all visible objects were softening in the tender twilight, but were not darkening yet.	The sun had set more than half an hour since; the red light lay broad and low in the cloudless western heaven; all visible objects were softening in the tender twilight, but were not darkening yet.	true	951.38	963.49	20.480879
2638_10172_000034_000004	The first few lamps lit in the street below looked like faint little specks of yellow light, as the captain started on his walk through one of the most striking scenes which England can show.	The first few lamps lit in the street below looked like faint little specks of yellow light, as the captain started on his walk through one of the most striking scenes which England can show.	true	964.25	974.59	20
2638_10172_000035_000000	On his right hand, as he set forth, stretched the open country beyond the walls--the rich green meadows, the boundary-trees dividing them, the broad windings of the river in the distance, the scattered buildings nearer to view; all wrapped in the evening stillness, all made beautiful by the evening peace.	On his right hand, as he set forth, stretched the open country beyond the walls-the rich green meadows, the boundary trees dividing them, the broad windings of the river in the distance, the scattered buildings nearer to view; all wrapped in the evening stillness, all made beautiful by the evening peace.	true	975.59	994.12	21.333633
2638_10172_000035_000001	On his left hand, the majestic west front of York Minster soared over the city and caught the last brightest light of heaven on the summits of its lofty towers.	On his left hand, the majestic west front of York Minster soared over the city and caught the last brightest light of heaven on the summits of its lofty towers.	true	995.06	1004.59	20
2638_10172_000035_000002	Had this noble prospect tempted the lost girl to linger and look at it?	Had this noble prospect tempted the lost girl to linger and look at it?	true	1004.87	1008.76	21
2638_10172_000035_000003	No; thus far, not a sign of her.	No; thus far, not a sign of her.	true	1009.34	1012.21	20.798992
2638_10172_000035_000004	The captain looked round him attentively, and walked on.	The captain looked round him attentively, and walked on.	true	1012.67	1016.08	22.11697
2638_10172_000036_000000	He reached the spot where the iron course of the railroad strikes its way through arches in the old wall.	He reached the spot where the iron course of the railroad strikes its way through arches in the old wall.	true	1017.02	1022.2	15
