2589_22581_000001_000000	CHAPTER VI.	CHAPTER six.
2589_22581_000010_000001	But therein lies the comfort--it cannot last.	But therein lies the comfort-it cannot last.
2589_22581_000011_000000	'Were it not for villanous saltpetre, my lord, the castle would hold out well enough.'	'Were it not for villanous saltpetre, my lord, the castle would hold out well enough.'
2589_22581_000012_000001	Be sure, Herbert, I shall not render the keep for the taking of the outworks.'	Be sure, Herbert, I shall not render the keep for the taking of the outworks.'
2589_22581_000014_000001	'Do not let us forecast evil, only prepare for it.'	'Do not let us forecast evil, only prepare for it.'
2589_22581_000016_000000	'You shall lack nothing, Herbert, that either counsel or purse of mine may reach unto.'	'You shall lack nothing, Herbert, that either counsel or purse of mine may reach unto.'
2589_22581_000017_000000	'I thank your lordship, for much depends upon both.	'I thank your lordship, for much depends upon both.
2589_22581_000017_000001	And so I fear will his majesty find--if it conies to the worst.'	And so I fear will his majesty find-if it conies to the worst.'
2589_22581_000018_000000	A brief pause followed.	A brief pause followed.
2589_22581_000020_000000	'My father is pleased to say so.'	'My father is pleased to say so.'
2589_22581_000021_000001	Bethink thee, son--what man can be pleased to part with his money?	Bethink thee, son-what man can be pleased to part with his money?
2589_22581_000021_000002	And while my king is poor, I must be rich for him.	And while my king is poor, I must be rich for him.
2589_22581_000022_000000	'So long as you still keep wherewithal to give, I shall be content, my lord.'	'So long as you still keep wherewithal to give, I shall be content, my lord.'
2589_22581_000023_000002	I will to bed.	I will to bed.
2589_22581_000023_000003	We must go the round again to-morrow--with the sun to hold as a candle.'	We must go the round again to morrow-with the sun to hold as a candle.'
2589_22581_000024_000000	The next day the same party made a similar circuit three times--in the morning, at noon, and in the evening--that the full light might uncover what the shadows had hid, and that the shadows might show what a perpendicular light could not reveal.	The next day the same party made a similar circuit three times-in the morning, at noon, and in the evening-that the full light might uncover what the shadows had hid, and that the shadows might show what a perpendicular light could not reveal.
2589_22581_000025_000000	After this came a review of the outer fortifications--if, indeed, they were worthy of the name--enclosing the gardens, the old tilting yard, now used as a bowling-green, the home-farmyard, and other such outlying portions under the stewardship of sir Ralph Blackstone and the governorship of Charles Somerset, the earl's youngest son.	After this came a review of the outer fortifications-if, indeed, they were worthy of the name-enclosing the gardens, the old tilting yard, now used as a bowling green, the home farmyard, and other such outlying portions under the stewardship of sir Ralph Blackstone and the governorship of Charles Somerset, the earl's youngest son.
2589_22581_000025_000001	It was here that the most was wanted; and the next few days were chiefly spent in surveying these works, and drawing plans for their extension, strengthening, and connection--especially about the stables, armourer's shop, and smithy, where the building of new defences was almost immediately set on foot.	It was here that the most was wanted; and the next few days were chiefly spent in surveying these works, and drawing plans for their extension, strengthening, and connection-especially about the stables, armourer's shop, and smithy, where the building of new defences was almost immediately set on foot.
2589_22581_000026_000002	At length, to conclude the inspection, lord Herbert and the master of the armoury held consultation with the head armourer, and the mighty accumulation of weapons of all sorts was passed under the most rigid scrutiny; many of them were sent to the forge, and others carried to the ground-floor of the keep.	At length, to conclude the inspection, lord Herbert and the master of the armoury held consultation with the head armourer, and the mighty accumulation of weapons of all sorts was passed under the most rigid scrutiny; many of them were sent to the forge, and others carried to the ground floor of the keep.
2589_22581_000027_000001	Some of them drove into the paved court, for here and there a buttress was wanted inside, and of the battlements not a few were weather-beaten and out of repair.	Some of them drove into the paved court, for here and there a buttress was wanted inside, and of the battlements not a few were weather beaten and out of repair.
2589_22581_000027_000003	The earl, however, although he yielded, maintained that the flying of the wall when struck was a more than counterbalancing danger.	The earl, however, although he yielded, maintained that the flying of the wall when struck was a more than counterbalancing danger.
2589_22581_000028_000000	The stock of provisions began to increase.	The stock of provisions began to increase.
2589_22581_000028_000001	The dry larder, which lay under the court, between the kitchen and buttery, was by degrees filled with gammons and flitches of bacon, well dried and smoked. Wheat, barley, oats, and pease were stored in the granary, and potatoes in a pit dug in the orchard.	The dry larder, which lay under the court, between the kitchen and buttery, was by degrees filled with gammons and flitches of bacon, well dried and smoked. Wheat, barley, oats, and pease were stored in the granary, and potatoes in a pit dug in the orchard.
2589_22581_000029_000000	Strange faces in the guard-room caused wonderings and questions amongst the women.	Strange faces in the guard room caused wonderings and questions amongst the women.
