3118_5912_000000_000000	BOOK I. OF THE UNDERSTANDING	BOOK i OF THE UNDERSTANDING	false	14.58	17.38	21.075766
3118_5912_000007_000000	Upon a more accurate survey I find I have been carried away too far by the first appearance, and that I must make use of the distinction of perceptions into simple and complex, to limit this general decision, that all our ideas and impressions are resembling.	Upon a more accurate survey I find I have been carried away too far by the first appearance, and that I must make use of the distinction of perceptions into simple and complex, to limit this general decision, that all our ideas and impressions are resembling.	true	337.94	357.73	21
3118_5912_000007_000001	I observe, that many of our complex ideas never had impressions, that corresponded to them, and that many of our complex impressions never are exactly copied in ideas.	I observe, that many of our complex ideas never had impressions, that corresponded to them, and that many of our complex impressions never are exactly copied in ideas.	true	358.88	372.25	18
3118_5912_000007_000002	I can imagine to myself such a city as the New Jerusalem, whose pavement is gold and walls are rubies, though I never saw any such. I have seen Paris; but shall I affirm I can form such an idea of that city, as will perfectly represent all its streets and houses in their real and just proportions?	I can imagine to myself such a city as the New Jerusalem, whose pavement is gold and walls are rubies, though I never saw any such. I have seen Paris; but shall I affirm I can form such an idea of that city, as will perfectly represent all its streets and houses in their real and just proportions?	true	372.86	396.61	19
3118_5912_000008_000000	I perceive, therefore, that though there is in general a great, resemblance betwixt our complex impressions and ideas, yet the rule is not universally true, that they are exact copies of each other.	I perceive, therefore, that though there is in general a great, resemblance betwixt our complex impressions and ideas, yet the rule is not universally true, that they are exact copies of each other.	true	397.7	413.08	19
3118_5912_000008_000001	We may next consider how the case stands with our simple, perceptions.	We may next consider how the case stands with our simple, perceptions.	true	413.69	418.81	26
3118_5912_000008_000002	After the most accurate examination, of which I am capable, I venture to affirm, that the rule here holds without any exception, and that every simple idea has a simple impression, which resembles it, and every simple impression a correspondent idea.	After the most accurate examination, of which I am capable, I venture to affirm, that the rule here holds without any exception, and that every simple idea has a simple impression, which resembles it, and every simple impression a correspondent idea.	true	419.66	439.72	21.659298
3118_5912_000008_000003	That idea of red, which we form in the dark, and that impression which strikes our eyes in sun-shine, differ only in degree, not in nature.	That idea of red, which we form in the dark, and that impression which strikes our eyes in sun shine, differ only in degree, not in nature.	true	440.27	451.75	19.662634
3118_5912_000008_000004	That the case is the same with all our simple impressions and ideas, it is impossible to prove by a particular enumeration of them.	That the case is the same with all our simple impressions and ideas, it is impossible to prove by a particular enumeration of them.	true	452.42	462.88	22
3118_5912_000008_000005	Every one may satisfy himself in this point by running over as many as he pleases.	Every one may satisfy himself in this point by running over as many as he pleases.	true	465.05	471.79	19
3118_5912_000008_000006	But if any one should deny this universal resemblance, I know no way of convincing him, but by desiring him to shew a simple impression, that has not a correspondent idea, or a simple idea, that has not a correspondent impression.	But if any one should deny this universal resemblance, I know no way of convincing him, but by desiring him to shew a simple impression, that has not a correspondent idea, or a simple idea, that has not a correspondent impression.	true	472.19	490.3	18
3118_5912_000008_000007	If he does not answer this challenge, as it is certain he cannot, we may from his silence and our own observation establish our conclusion.	If he does not answer this challenge, as it is certain he cannot, we may from his silence and our own observation establish our conclusion.	true	490.82	501.46	19.70105
3118_5912_000009_000000	Thus we find, that all simple ideas and impressions resemble each other; and as the complex are formed from them, we may affirm in general, that these two species of perception are exactly correspondent.	Thus we find, that all simple ideas and impressions resemble each other; and as the complex are formed from them, we may affirm in general, that these two species of perception are exactly correspondent.	true	502.94	519.28	19
3118_5912_000009_000001	Having discovered this relation, which requires no farther examination, I am curious to find some other of their qualities.	Having discovered this relation, which requires no farther examination, I am curious to find some other of their qualities.	true	519.95	529.18	18
3118_5912_000009_000002	Let us consider how they stand with regard to their existence, and which of the impressions and ideas are causes, and which effects.	Let us consider how they stand with regard to their existence, and which of the impressions and ideas are causes, and which effects.	true	529.79	540.1	18
3118_5912_000010_000000	The full examination of this question is the subject of the present treatise; and therefore we shall here content ourselves with establishing one general proposition, THAT ALL OUR SIMPLE IDEAS IN THEIR FIRST APPEARANCE ARE DERIVED FROM SIMPLE IMPRESSIONS, WHICH ARE CORRESPONDENT TO THEM, AND WHICH THEY EXACTLY REPRESENT.	The full examination of this question is the subject of the present treatise; and therefore we shall here content ourselves with establishing one general proposition, THAT ALL OUR SIMPLE IDEAS IN THEIR FIRST APPEARANCE ARE DERIVED FROM SIMPLE IMPRESSIONS, WHICH ARE CORRESPONDENT TO THEM, AND WHICH THEY EXACTLY REPRESENT.	true	541.13	566.23	22.204763
3118_5912_000011_000000	In seeking for phenomena to prove this proposition, I find only those of two kinds; but in each kind the phenomena are obvious, numerous, and conclusive.	In seeking for phenomena to prove this proposition, I find only those of two kinds; but in each kind the phenomena are obvious, numerous, and conclusive.	true	567.95	581.23	20.77425
3118_5912_000011_000001	I first make myself certain, by a new, review, of what I have already asserted, that every simple impression is attended with a correspondent idea, and every simple idea with a correspondent impression.	I first make myself certain, by a new, review, of what I have already asserted, that every simple impression is attended with a correspondent idea, and every simple idea with a correspondent impression.	true	581.93	597.67	20
3118_5912_000011_000002	From this constant conjunction of resembling perceptions I immediately conclude, that there is a great connexion betwixt our correspondent impressions and ideas, and that the existence of the one has a considerable influence upon that of the other.	From this constant conjunction of resembling perceptions I immediately conclude, that there is a great connexion betwixt our correspondent impressions and ideas, and that the existence of the one has a considerable influence upon that of the other.	true	598.34	616.69	17
3118_5912_000011_000003	Such a constant conjunction, in such an infinite number of instances, can never arise from chance; but clearly proves a dependence of the impressions on the ideas, or of the ideas on the impressions.	Such a constant conjunction, in such an infinite number of instances, can never arise from chance; but clearly proves a dependence of the impressions on the ideas, or of the ideas on the impressions.	true	617.51	634.12	22.077225
3118_5912_000011_000004	That I may know on which side this dependence lies, I consider the order of their first appearance; and find by constant experience, that the simple impressions always take the precedence of their correspondent ideas, but never appear in the contrary order.	That I may know on which side this dependence lies, I consider the order of their first appearance; and find by constant experience, that the simple impressions always take the precedence of their correspondent ideas, but never appear in the contrary order.	true	634.88	654.22	22
3118_5912_000011_000005	To give a child an idea of scarlet or orange, of sweet or bitter, I present the objects, or in other words, convey to him these impressions; but proceed not so absurdly, as to endeavour to produce the impressions by exciting the ideas.	To give a child an idea of scarlet or orange, of sweet or bitter, I present the objects, or in other words, convey to him these impressions; but proceed not so absurdly, as to endeavour to produce the impressions by exciting the ideas.	true	655.55	674.89	22.044268
3118_5912_000011_000006	Our ideas upon their appearance produce not their correspondent impressions, nor do we perceive any colour, or feel any sensation merely upon thinking of them.	Our ideas upon their appearance produce not their correspondent impressions, nor do we perceive any colour, or feel any sensation merely upon thinking of them.	true	675.41	686.89	21
3118_5912_000011_000007	On the other hand we find, that any impression either of the mind or body is constantly followed by an idea, which resembles it, and is only different in the degrees of force and liveliness, The constant conjunction of our resembling perceptions, is a convincing proof, that the one are the causes of the other; and this priority of the impressions is an equal proof, that our impressions are the causes of our ideas, not our ideas of our impressions.	On the other hand we find, that any impression either of the mind or body is constantly followed by an idea, which resembles it, and is only different in the degrees of force and liveliness, The constant conjunction of our resembling perceptions, is a convincing proof, that the one are the causes of the other; and this priority of the impressions is an equal proof, that our impressions are the causes of our ideas, not our ideas of our impressions.	true	687.56	723.82	21
3118_5912_000012_000000	To confirm this I consider Another plain and convincing phaenomenon; which is, that, where-ever by any accident the faculties, which give rise to any impressions, are obstructed in their operations, as when one is born blind or deaf; not only the impressions are lost, but also their correspondent ideas; so that there never appear in the mind the least traces of either of them.	To confirm this I consider Another plain and convincing phaenomenon; which is, that, where ever by any accident the faculties, which give rise to any impressions, are obstructed in their operations, as when one is born blind or deaf; not only the impressions are lost, but also their correspondent ideas; so that there never appear in the mind the least traces of either of them.	true	725.3	755.86	20.693398
3118_5912_000012_000001	Nor is this only true, where the organs of sensation are entirely destroyed, but likewise where they have never been put in action to produce a particular impression.	Nor is this only true, where the organs of sensation are entirely destroyed, but likewise where they have never been put in action to produce a particular impression.	true	756.2	768.43	18
3118_5912_000012_000002	We cannot form to ourselves a just idea of the taste of a pine apple, without having actually tasted it.	We cannot form to ourselves a just idea of the taste of a pine apple, without having actually tasted it.	true	769.52	778.81	23.450714
3118_5912_000013_000000	There is however one contradictory phaenomenon, which may prove, that it is not absolutely impossible for ideas to go before their correspondent impressions.	There is however one contradictory phaenomenon, which may prove, that it is not absolutely impossible for ideas to go before their correspondent impressions.	true	780.68	792.07	18
3118_5912_000013_000001	I believe it will readily be allowed that the several distinct ideas of colours, which enter by the eyes, or those of sounds, which are conveyed by the hearing, are really different from each other, though at the same time resembling.	I believe it will readily be allowed that the several distinct ideas of colours, which enter by the eyes, or those of sounds, which are conveyed by the hearing, are really different from each other, though at the same time resembling.	true	792.53	808.6	18.192186
3118_5912_000013_000002	Now if this be true of different colours, it must be no less so of the different shades of the same colour, that each of them produces a distinct idea, independent of the rest.	Now if this be true of different colours, it must be no less so of the different shades of the same colour, that each of them produces a distinct idea, independent of the rest.	true	809.84	823.9	21
3118_5912_000013_000003	For if this should be denied, it is possible, by the continual gradation of shades, to run a colour insensibly into what is most remote from it; and if you will not allow any of the means to be different, you cannot without absurdity deny the extremes to be the same.	For if this should be denied, it is possible, by the continual gradation of shades, to run a colour insensibly into what is most remote from it; and if you will not allow any of the means to be different, you cannot without absurdity deny the extremes to be the same.	true	824.45	845.77	20.72313
3118_5912_000013_000004	Suppose therefore a person to have enjoyed his sight for thirty years, and to have become perfectly well acquainted with colours of all kinds, excepting one particular shade of blue, for instance, which it never has been his fortune to meet with.	Suppose therefore a person to have enjoyed his sight for thirty years, and to have become perfectly well acquainted with colours of all kinds, excepting one particular shade of blue, for instance, which it never has been his fortune to meet with.	true	846.41	865.06	20.656939
3118_5912_000013_000005	Let all the different shades of that colour, except that single one, be placed before him, descending gradually from the deepest to the lightest; it is plain, that he will perceive a blank, where that shade is wanting, said will be sensible, that there is a greater distance in that place betwixt the contiguous colours, than in any other.	Let all the different shades of that colour, except that single one, be placed before him, descending gradually from the deepest to the lightest; it is plain, that he will perceive a blank, where that shade is wanting, said will be sensible, that there is a greater distance in that place betwixt the contiguous colours, than in any other.	false	865.49	889.51	21.615541
3118_5912_000013_000006	Now I ask, whether it is possible for him, from his own imagination, to supply this deficiency, and raise up to himself the idea of that particular shade, though it had never been conveyed to him by his senses?	Now I ask, whether it is possible for him, from his own imagination, to supply this deficiency, and raise up to himself the idea of that particular shade, though it had never been conveyed to him by his senses?	false	890.93	905.95	15
3118_5912_000013_000007	I believe there are few but will be of opinion that he can; and this may serve as a proof, that the simple ideas are not always derived from the correspondent impressions; though the instance is so particular and singular, that it is scarce worth our observing, and does not merit that for it alone we should alter our general maxim.	I believe there are few but will be of opinion that he can; and this may serve as a proof, that the simple ideas are not always derived from the correspondent impressions; though the instance is so particular and singular, that it is scarce worth our observing, and does not merit that for it alone we should alter our general maxim.	false	906.41	931.36	21.4127
3118_5912_000014_000000	But besides this exception, it may not be amiss to remark on this head, that the principle of the priority of impressions to ideas must be understood with another limitation, viz., that as our ideas are images of our impressions, so we can form secondary ideas, which are images of the primary; as appears from this very reasoning concerning them. This is not, properly speaking, an exception to the rule so much as an explanation of it.	But besides this exception, it may not be amiss to remark on this head, that the principle of the priority of impressions to ideas must be understood with another limitation, viz., that as our ideas are images of our impressions, so we can form secondary ideas, which are images of the primary; as appears from this very reasoning concerning them. This is not, properly speaking, an exception to the rule so much as an explanation of it.	false	932.81	967.21	21.152458
3118_5912_000014_000001	Ideas produce the images of themselves in new ideas; but as the first ideas are supposed to be derived from impressions, it still remains true, that all our simple ideas proceed either mediately or immediately, from their correspondent impressions.	Ideas produce the images of themselves in new ideas; but as the first ideas are supposed to be derived from impressions, it still remains true, that all our simple ideas proceed either mediately or immediately, from their correspondent impressions.	true	967.76	988.06	20
3118_5912_000015_000000	This then is the first principle I establish in the science of human nature; nor ought we to despise it because of the simplicity of its appearance.	This then is the first principle I establish in the science of human nature; nor ought we to despise it because of the simplicity of its appearance.	true	989.84	999.91	22
3118_5912_000015_000001	For it is remarkable, that the present question concerning the precedency of our impressions or ideas, is the same with what has made so much noise in other terms, when it has been disputed whether there be any INNATE IDEAS, or whether all ideas be derived from sensation and reflexion.	For it is remarkable, that the present question concerning the precedency of our impressions or ideas, is the same with what has made so much noise in other terms, when it has been disputed whether there be any INNATE IDEAS, or whether all ideas be derived from sensation and reflexion.	true	1000.58	1023.52	17
3118_5912_000015_000002	We may observe, that in order to prove the ideas of extension and colour not to be innate, philosophers do nothing but shew that they are conveyed by our senses.	We may observe, that in order to prove the ideas of extension and colour not to be innate, philosophers do nothing but shew that they are conveyed by our senses.	true	1024.4	1037.86	21
3118_5912_000015_000003	To prove the ideas of passion and desire not to be innate, they observe that we have a preceding experience of these emotions in ourselves.	To prove the ideas of passion and desire not to be innate, they observe that we have a preceding experience of these emotions in ourselves.	true	1038.56	1050.04	15
3118_5912_000015_000004	Now if we carefully examine these arguments, we shall find that they prove nothing but that ideas are preceded by other more lively perceptions, from which the are derived, and which they represent.	Now if we carefully examine these arguments, we shall find that they prove nothing but that ideas are preceded by other more lively perceptions, from which the are derived, and which they represent.	false	1050.98	1066.72	19
3118_5912_000015_000005	I hope this clear stating of the question will remove all disputes concerning it, and win render this principle of more use in our reasonings, than it seems hitherto to have been.	I hope this clear stating of the question will remove all disputes concerning it, and win render this principle of more use in our reasonings, than it seems hitherto to have been.	false	1067.21	1079.94	19.61562
3118_5912_000016_000000	SECT.	SECT.	false	1079.94	1080.03	-20
3118_5912_000016_000001	II.	two.	false	1080.03	1080.12	-20
3118_5912_000016_000002	DIVISION OF THE SUBJECT.	DIVISION OF THE SUBJECT.	false	1080.12	1080.48	-20
3118_5912_000017_000000	Since it appears, that our simple impressions are prior to their correspondent ideas, and that the exceptions are very rare, method seems to require we should examine our impressions, before we consider our ideas.	Since it appears, that our simple impressions are prior to their correspondent ideas, and that the exceptions are very rare, method seems to require we should examine our impressions, before we consider our ideas.	false	1080.48	1082.16	17.558134
3118_5912_000017_000001	Impressions way be divided into two kinds, those Of SENSATION and those of REFLEXION.	Impressions way be divided into two kinds, those Of SENSATION and those of REFLEXION.	false	1082.16	1082.37	27
3118_5912_000017_000002	The first kind arises in the soul originally, from unknown causes.	The first kind arises in the soul originally, from unknown causes.	false	1082.37	1082.37	
3118_5912_000017_000003	The second is derived in a great measure from our ideas, and that in the following order.	The second is derived in a great measure from our ideas, and that in the following order.	false	1082.37	1082.4	-12
3118_5912_000017_000004	An impression first strikes upon the senses, and makes us perceive heat or cold, thirst or hunger, pleasure or pain of some kind or other.	An impression first strikes upon the senses, and makes us perceive heat or cold, thirst or hunger, pleasure or pain of some kind or other.	false	1082.4	1082.43	1
3118_5912_000017_000005	Of this impression there is a copy taken by the mind, which remains after the impression ceases; and this we call an idea.	Of this impression there is a copy taken by the mind, which remains after the impression ceases; and this we call an idea.	false	1082.43	1082.46	0
3118_5912_000017_000006	This idea of pleasure or pain, when it returns upon the soul, produces the new impressions of desire and aversion, hope and fear, which may properly be called impressions of reflexion, because derived from it.	This idea of pleasure or pain, when it returns upon the soul, produces the new impressions of desire and aversion, hope and fear, which may properly be called impressions of reflexion, because derived from it.	false	1082.46	1082.52	18
3118_5912_000017_000007	These again are copied by the memory and imagination, and become ideas; which perhaps in their turn give rise to other impressions and ideas.	These again are copied by the memory and imagination, and become ideas; which perhaps in their turn give rise to other impressions and ideas.	false	1082.52	1082.55	-20
3118_5912_000017_000008	So that the impressions of reflexion are only antecedent to their correspondent ideas; but posterior to those of sensation, and derived from them.	So that the impressions of reflexion are only antecedent to their correspondent ideas; but posterior to those of sensation, and derived from them.	false	1082.55	1082.58	-20
3118_5912_000017_000009	The examination of our sensations belongs more to anatomists and natural philosophers than to moral; and therefore shall not at present be entered upon.	The examination of our sensations belongs more to anatomists and natural philosophers than to moral; and therefore shall not at present be entered upon.	false	1082.58	1082.61	-20
3118_5912_000017_000010	And as the impressions of reflexion, viz.	And as the impressions of reflexion, viz.	false	1082.61	1082.64	-20
3118_5912_000017_000011	passions, desires, and emotions, which principally deserve our attention, arise mostly from ideas, it will be necessary to reverse that method, which at first sight seems most natural; and in order to explain the nature and principles of the human mind, give a particular account of ideas, before we proceed to impressions.	passions, desires, and emotions, which principally deserve our attention, arise mostly from ideas, it will be necessary to reverse that method, which at first sight seems most natural; and in order to explain the nature and principles of the human mind, give a particular account of ideas, before we proceed to impressions.	false	1082.64	1082.7	-20
3118_5912_000017_000012	For this reason I have here chosen to begin with ideas.	For this reason I have here chosen to begin with ideas.	false	1082.7	1082.73	-20
