1365_134804_000000_000000	"But," resumed the dowager, "you are wearing mourning for him."	"But," resumed the dowager, "you are wearing mourning for him."	false	0	3.6	19
1365_134804_000004_000006	It was like an epidemic of veneration, which in the course of six or seven years gradually took possession of the whole district.	It was like an epidemic of veneration, which in the course of six or seven years gradually took possession of the whole district.	true	87.53	95.89	21.341215
1365_134804_000005_000000	One single man in the town, in the arrondissement, absolutely escaped this contagion, and, whatever Father Madeleine did, remained his opponent as though a sort of incorruptible and imperturbable instinct kept him on the alert and uneasy.	One single man in the town, in the arrondissement, absolutely escaped this contagion, and, whatever Father Madeleine did, remained his opponent as though a sort of incorruptible and imperturbable instinct kept him on the alert and uneasy.	true	96.02	112.09	20.546297
1365_134804_000005_000001	It seems, in fact, as though there existed in certain men a veritable bestial instinct, though pure and upright, like all instincts, which creates antipathies and sympathies, which fatally separates one nature from another nature, which does not hesitate, which feels no disquiet, which does not hold its peace, and which never belies itself, clear in its obscurity, infallible, imperious, intractable, stubborn to all counsels of the intelligence and to all the dissolvents of reason, and which, in whatever manner destinies are arranged, secretly warns the man-dog of the presence of the man-cat, and the man-fox of the presence of the man-lion.	It seems, in fact, as though there existed in certain men a veritable bestial instinct, though pure and upright, like all instincts, which creates antipathies and sympathies, which fatally separates one nature from another nature, which does not hesitate, which feels no disquiet, which does not hold its peace, and which never belies itself, clear in its obscurity, infallible, imperious, intractable, stubborn to all counsels of the intelligence and to all the dissolvents of reason, and which, in whatever manner destinies are arranged, secretly warns the man dog of the presence of the man cat, and the man fox of the presence of the man lion.	false	112.61	154.45	20.549568
1365_134804_000006_000000	It frequently happened that when M. Madeleine was passing along a street, calm, affectionate, surrounded by the blessings of all, a man of lofty stature, clad in an iron-gray frock-coat, armed with a heavy cane, and wearing a battered hat, turned round abruptly behind him, and followed him with his eyes until he disappeared, with folded arms and a slow shake of the head, and his upper lip raised in company with his lower to his nose, a sort of significant grimace which might be translated by: "What is that man, after all?	It frequently happened that when m Madeleine was passing along a street, calm, affectionate, surrounded by the blessings of all, a man of lofty stature, clad in an iron gray frock coat, armed with a heavy cane, and wearing a battered hat, turned round abruptly behind him, and followed him with his eyes until he disappeared, with folded arms and a slow shake of the head, and his upper lip raised in company with his lower to his nose, a sort of significant grimace which might be translated by: "What is that man, after all?	false	155.93	189.315	18.770271
1365_134804_000006_000001	I certainly have seen him somewhere.	I certainly have seen him somewhere.	true	189.315	192.07	16
1365_134804_000006_000002	In any case, I am not his dupe."	In any case, I am not his dupe."	true	192.11	195.22	20.53642
1365_134804_000007_000000	This person, grave with a gravity which was almost menacing, was one of those men who, even when only seen by a rapid glimpse, arrest the spectator's attention.	This person, grave with a gravity which was almost menacing, was one of those men who, even when only seen by a rapid glimpse, arrest the spectator's attention.	true	195.5	205.48	19
1365_134804_000008_000000	His name was Javert, and he belonged to the police.	His name was Javert, and he belonged to the police.	true	206.33	210.79	20.006489
1365_134804_000009_000000	At M. sur M. he exercised the unpleasant but useful functions of an inspector.	At m sur m he exercised the unpleasant but useful functions of an inspector.	false	212.09	217.81	19
1365_134804_000009_000001	He had not seen Madeleine's beginnings.	He had not seen Madeleine's beginnings.	true	218.03	220.51	19
1365_134804_000009_000002	Javert owed the post which he occupied to the protection of M. Chabouillet, the secretary of the Minister of State, Comte Angeles, then prefect of police at Paris. When Javert arrived at M. sur M. the fortune of the great manufacturer was already made, and Father Madeleine had become Monsieur Madeleine.	Javert owed the post which he occupied to the protection of m Chabouillet, the secretary of the Minister of State, Comte Angeles, then prefect of police at Paris. When Javert arrived at m sur m the fortune of the great manufacturer was already made, and Father Madeleine had become Monsieur Madeleine.	false	221.15	242.35	20.442509
1365_134804_000010_000000	Certain police officers have a peculiar physiognomy, which is complicated with an air of baseness mingled with an air of authority. Javert possessed this physiognomy minus the baseness.	Certain police officers have a peculiar physiognomy, which is complicated with an air of baseness mingled with an air of authority. Javert possessed this physiognomy minus the baseness.	true	242.87	255.43	20.81884
1365_134804_000011_000000	It is our conviction that if souls were visible to the eyes, we should be able to see distinctly that strange thing that each one individual of the human race corresponds to some one of the species of the animal creation; and we could easily recognize this truth, hardly perceived by the thinker, that from the oyster to the eagle, from the pig to the tiger, all animals exist in man, and that each one of them is in a man. Sometimes even several of them at a time.	It is our conviction that if souls were visible to the eyes, we should be able to see distinctly that strange thing that each one individual of the human race corresponds to some one of the species of the animal creation; and we could easily recognize this truth, hardly perceived by the thinker, that from the oyster to the eagle, from the pig to the tiger, all animals exist in man, and that each one of them is in a man. Sometimes even several of them at a time.	false	256.22	285.73	20.735863
1365_134804_000012_000000	Animals are nothing else than the figures of our virtues and our vices, straying before our eyes, the visible phantoms of our souls.	Animals are nothing else than the figures of our virtues and our vices, straying before our eyes, the visible phantoms of our souls.	true	286.73	294.61	16
1365_134804_000012_000001	God shows them to us in order to induce us to reflect.	God shows them to us in order to induce us to reflect.	true	295.04	298.51	19
1365_134804_000012_000002	Only since animals are mere shadows, God has not made them capable of education in the full sense of the word; what is the use?	Only since animals are mere shadows, God has not made them capable of education in the full sense of the word; what is the use?	true	298.76	306.22	18
1365_134804_000012_000003	On the contrary, our souls being realities and having a goal which is appropriate to them, God has bestowed on them intelligence; that is to say, the possibility of education.	On the contrary, our souls being realities and having a goal which is appropriate to them, God has bestowed on them intelligence; that is to say, the possibility of education.	true	306.5	316.99	20.511862
1365_134804_000012_000004	Social education, when well done, can always draw from a soul, of whatever sort it may be, the utility which it contains.	Social education, when well done, can always draw from a soul, of whatever sort it may be, the utility which it contains.	true	317.36	325.24	19.810305
1365_134804_000013_000000	This, be it said, is of course from the restricted point of view of the terrestrial life which is apparent, and without prejudging the profound question of the anterior or ulterior personality of the beings which are not man.	This, be it said, is of course from the restricted point of view of the terrestrial life which is apparent, and without prejudging the profound question of the anterior or ulterior personality of the beings which are not man.	true	325.91	338.98	16
1365_134804_000013_000001	The visible _I_ in nowise authorizes the thinker to deny the latent _I_.	The visible underscore I underscore in nowise authorizes the thinker to deny the latent underscore I underscore.	false	339.65	345.57	20.479034
1365_134804_000013_000002	Having made this reservation, let us pass on.	Having made this reservation, let us pass on.	true	345.57	348.52	20.336246
1365_134804_000014_000000	Now, if the reader will admit, for a moment, with us, that in every man there is one of the animal species of creation, it will be easy for us to say what there was in Police Officer Javert.	Now, if the reader will admit, for a moment, with us, that in every man there is one of the animal species of creation, it will be easy for us to say what there was in Police Officer Javert.	false	349.31	359.95	19
1365_134804_000015_000000	The peasants of Asturias are convinced that in every litter of wolves there is one dog, which is killed by the mother because, otherwise, as he grew up, he would devour the other little ones.	The peasants of Asturias are convinced that in every litter of wolves there is one dog, which is killed by the mother because, otherwise, as he grew up, he would devour the other little ones.	false	361.13	372.28	16
1365_134804_000016_000000	Give to this dog-son of a wolf a human face, and the result will be Javert.	Give to this dog son of a wolf a human face, and the result will be Javert.	true	373.19	378.13	17
1365_134804_000017_000000	Javert had been born in prison, of a fortune-teller, whose husband was in the galleys.	Javert had been born in prison, of a fortune teller, whose husband was in the galleys.	true	378.65	383.65	17
1365_134804_000017_000001	As he grew up, he thought that he was outside the pale of society, and he despaired of ever re-entering it.	As he grew up, he thought that he was outside the pale of society, and he despaired of ever re entering it.	false	383.93	390.25	18
1365_134804_000017_000002	He observed that society unpardoningly excludes two classes of men,--those who attack it and those who guard it; he had no choice except between these two classes; at the same time, he was conscious of an indescribable foundation of rigidity, regularity, and probity, complicated with an inexpressible hatred for the race of bohemians whence he was sprung.	He observed that society unpardoningly excludes two classes of men,--those who attack it and those who guard it; he had no choice except between these two classes; at the same time, he was conscious of an indescribable foundation of rigidity, regularity, and probity, complicated with an inexpressible hatred for the race of bohemians whence he was sprung.	true	390.62	414.52	21.295305
1365_134804_000017_000003	He entered the police; he succeeded there.	He entered the police; he succeeded there.	true	414.98	417.7	21.29962
1365_134804_000017_000004	At forty years of age he was an inspector.	At forty years of age he was an inspector.	true	417.95	420.67	21.550915
1365_134804_000018_000000	During his youth he had been employed in the convict establishments of the South.	During his youth he had been employed in the convict establishments of the South.	true	421.22	425.65	21
1365_134804_000019_000000	Before proceeding further, let us come to an understanding as to the words, "human face," which we have just applied to Javert.	Before proceeding further, let us come to an understanding as to the words, "human face," which we have just applied to Javert.	false	425.87	433.63	22.862577
1365_134804_000020_000000	The human face of Javert consisted of a flat nose, with two deep nostrils, towards which enormous whiskers ascended on his cheeks.	The human face of Javert consisted of a flat nose, with two deep nostrils, towards which enormous whiskers ascended on his cheeks.	true	434.36	442.66	18
1365_134804_000020_000001	One felt ill at ease when he saw these two forests and these two caverns for the first time.	One felt ill at ease when he saw these two forests and these two caverns for the first time.	true	442.97	448.87	16
1365_134804_000020_000002	When Javert laughed,--and his laugh was rare and terrible,--his thin lips parted and revealed to view not only his teeth, but his gums, and around his nose there formed a flattened and savage fold, as on the muzzle of a wild beast.	When Javert laughed,--and his laugh was rare and terrible,--his thin lips parted and revealed to view not only his teeth, but his gums, and around his nose there formed a flattened and savage fold, as on the muzzle of a wild beast.	true	449.27	464.32	18
1365_134804_000020_000003	Javert, serious, was a watchdog; when he laughed, he was a tiger.	Javert, serious, was a watchdog; when he laughed, he was a tiger.	false	464.84	470.17	21.06251
1365_134804_000020_000004	As for the rest, he had very little skull and a great deal of jaw; his hair concealed his forehead and fell over his eyebrows; between his eyes there was a permanent, central frown, like an imprint of wrath; his gaze was obscure; his mouth pursed up and terrible; his air that of ferocious command.	As for the rest, he had very little skull and a great deal of jaw; his hair concealed his forehead and fell over his eyebrows; between his eyes there was a permanent, central frown, like an imprint of wrath; his gaze was obscure; his mouth pursed up and terrible; his air that of ferocious command.	true	470.42	490.21	20.976494
1365_134804_000021_000000	This man was composed of two very simple and two very good sentiments, comparatively; but he rendered them almost bad, by dint of exaggerating them,--respect for authority, hatred of rebellion; and in his eyes, murder, robbery, all crimes, are only forms of rebellion.	This man was composed of two very simple and two very good sentiments, comparatively; but he rendered them almost bad, by dint of exaggerating them,--respect for authority, hatred of rebellion; and in his eyes, murder, robbery, all crimes, are only forms of rebellion.	true	491.39	509.32	20.637007
1365_134804_000021_000001	He enveloped in a blind and profound faith every one who had a function in the state, from the prime minister to the rural policeman.	He enveloped in a blind and profound faith every one who had a function in the state, from the prime minister to the rural policeman.	true	509.96	517.84	17
1365_134804_000021_000002	He covered with scorn, aversion, and disgust every one who had once crossed the legal threshold of evil.	He covered with scorn, aversion, and disgust every one who had once crossed the legal threshold of evil.	true	518.18	525.4	19.52851
1365_134804_000021_000003	He was absolute, and admitted no exceptions.	He was absolute, and admitted no exceptions.	false	525.59	528.91	20
1365_134804_000021_000004	On the one hand, he said, "The functionary can make no mistake; the magistrate is never the wrong." On the other hand, he said, "These men are irremediably lost.	On the one hand, he said, "The functionary can make no mistake; the magistrate is never the wrong." On the other hand, he said, "These men are irremediably lost.	true	529.22	540.76	19.153955
1365_134804_000021_000005	Nothing good can come from them." He fully shared the opinion of those extreme minds which attribute to human law I know not what power of making, or, if the reader will have it so, of authenticating, demons, and who place a Styx at the base of society.	Nothing good can come from them." He fully shared the opinion of those extreme minds which attribute to human law I know not what power of making, or, if the reader will have it so, of authenticating, demons, and who place a Styx at the base of society.	true	540.83	556.72	19.577951
1365_134804_000021_000006	He was stoical, serious, austere; a melancholy dreamer, humble and haughty, like fanatics.	He was stoical, serious, austere; a melancholy dreamer, humble and haughty, like fanatics.	true	557.3	564.34	21.40116
1365_134804_000021_000007	His glance was like a gimlet, cold and piercing.	His glance was like a gimlet, cold and piercing.	true	564.65	568.21	20.093061
1365_134804_000021_000008	His whole life hung on these two words: watchfulness and supervision.	His whole life hung on these two words: watchfulness and supervision.	true	568.31	573.7	20.922363
1365_134804_000021_000009	He had introduced a straight line into what is the most crooked thing in the world; he possessed the conscience of his usefulness, the religion of his functions, and he was a spy as other men are priests.	He had introduced a straight line into what is the most crooked thing in the world; he possessed the conscience of his usefulness, the religion of his functions, and he was a spy as other men are priests.	true	574.07	586.06	20.674381
1365_134804_000021_000010	Woe to the man who fell into his hands!	Woe to the man who fell into his hands!	true	586.46	589.27	18.633684
1365_134804_000021_000011	He would have arrested his own father, if the latter had escaped from the galleys, and would have denounced his mother, if she had broken her ban.	He would have arrested his own father, if the latter had escaped from the galleys, and would have denounced his mother, if she had broken her ban.	true	589.55	596.77	17
1365_134804_000021_000012	And he would have done it with that sort of inward satisfaction which is conferred by virtue.	And he would have done it with that sort of inward satisfaction which is conferred by virtue.	true	597.44	602.56	21
1365_134804_000021_000013	And, withal, a life of privation, isolation, abnegation, chastity, with never a diversion.	And, withal, a life of privation, isolation, abnegation, chastity, with never a diversion.	true	602.69	609.91	19.164104
1365_134804_000021_000014	It was implacable duty; the police understood, as the Spartans understood Sparta, a pitiless lying in wait, a ferocious honesty, a marble informer, Brutus in Vidocq.	It was implacable duty; the police understood, as the Spartans understood Sparta, a pitiless lying in wait, a ferocious honesty, a marble informer, Brutus in Vidocq.	true	610.31	624.12	21.835241
1365_134804_000022_000000	Javert's whole person was expressive of the man who spies and who withdraws himself from observation.	Javert's whole person was expressive of the man who spies and who withdraws himself from observation.	false	624.12	631.27	18.764687
1365_134804_000022_000001	The mystical school of Joseph de Maistre, which at that epoch seasoned with lofty cosmogony those things which were called the ultra newspapers, would not have failed to declare that Javert was a symbol.	The mystical school of Joseph de Maistre, which at that epoch seasoned with lofty cosmogony those things which were called the ultra newspapers, would not have failed to declare that Javert was a symbol.	true	631.79	644.08	19
1365_134804_000022_000002	His brow was not visible; it disappeared beneath his hat: his eyes were not visible, since they were lost under his eyebrows: his chin was not visible, for it was plunged in his cravat: his hands were not visible; they were drawn up in his sleeves: and his cane was not visible; he carried it under his coat.	His brow was not visible; it disappeared beneath his hat: his eyes were not visible, since they were lost under his eyebrows: his chin was not visible, for it was plunged in his cravat: his hands were not visible; they were drawn up in his sleeves: and his cane was not visible; he carried it under his coat.	true	644.27	664	20.628857
1365_134804_000022_000003	But when the occasion presented itself, there was suddenly seen to emerge from all this shadow, as from an ambuscade, a narrow and angular forehead, a baleful glance, a threatening chin, enormous hands, and a monstrous cudgel.	But when the occasion presented itself, there was suddenly seen to emerge from all this shadow, as from an ambuscade, a narrow and angular forehead, a baleful glance, a threatening chin, enormous hands, and a monstrous cudgel.	true	664.34	679.09	17
1365_134804_000023_000000	In his leisure moments, which were far from frequent, he read, although he hated books; this caused him to be not wholly illiterate.	In his leisure moments, which were far from frequent, he read, although he hated books; this caused him to be not wholly illiterate.	true	680.09	688.63	20.475065
1365_134804_000023_000001	This could be recognized by some emphasis in his speech.	This could be recognized by some emphasis in his speech.	true	688.91	692.35	21
1365_134804_000024_000000	As we have said, he had no vices.	As we have said, he had no vices.	true	693.59	695.89	17.64321
1365_134804_000024_000001	When he was pleased with himself, he permitted himself a pinch of snuff.	When he was pleased with himself, he permitted himself a pinch of snuff.	true	696.17	700.63	19
1365_134804_000024_000002	Therein lay his connection with humanity.	Therein lay his connection with humanity.	true	700.73	704.205	15.825913
1365_134804_000025_000000	The reader will have no difficulty in understanding that Javert was the terror of that whole class which the annual statistics of the Ministry of Justice designates under the rubric, Vagrants.	The reader will have no difficulty in understanding that Javert was the terror of that whole class which the annual statistics of the Ministry of Justice designates under the rubric, Vagrants.	true	704.205	715.33	16
1365_134804_000025_000001	The name of Javert routed them by its mere utterance; the face of Javert petrified them at sight.	The name of Javert routed them by its mere utterance; the face of Javert petrified them at sight.	true	715.94	722.26	17
1365_134804_000026_000000	Such was this formidable man.	Such was this formidable man.	true	722.81	725.44	17
1365_134804_000027_000000	Javert was like an eye constantly fixed on M. Madeleine.	Javert was like an eye constantly fixed on m Madeleine.	false	726.41	730.66	17.821604
1365_134804_000027_000001	An eye full of suspicion and conjecture.	An eye full of suspicion and conjecture.	true	730.85	733.62	19.956676
1365_134804_000027_000002	M. Madeleine had finally perceived the fact; but it seemed to be of no importance to him.	M. Madeleine had finally perceived the fact; but it seemed to be of no importance to him.	false	733.62	739.63	18.64349
1365_134804_000027_000003	He did not even put a question to Javert; he neither sought nor avoided him; he bore that embarrassing and almost oppressive gaze without appearing to notice it. He treated Javert with ease and courtesy, as he did all the rest of the world.	He did not even put a question to Javert; he neither sought nor avoided him; he bore that embarrassing and almost oppressive gaze without appearing to notice it. He treated Javert with ease and courtesy, as he did all the rest of the world.	true	739.64	753.94	20.04422
1365_134804_000028_000000	It was divined, from some words which escaped Javert, that he had secretly investigated, with that curiosity which belongs to the race, and into which there enters as much instinct as will, all the anterior traces which Father Madeleine might have left elsewhere.	It was divined, from some words which escaped Javert, that he had secretly investigated, with that curiosity which belongs to the race, and into which there enters as much instinct as will, all the anterior traces which Father Madeleine might have left elsewhere.	true	755.24	770.5	19
1365_134804_000028_000001	He seemed to know, and he sometimes said in covert words, that some one had gleaned certain information in a certain district about a family which had disappeared.	He seemed to know, and he sometimes said in covert words, that some one had gleaned certain information in a certain district about a family which had disappeared.	true	770.96	780.28	17
1365_134804_000028_000002	Once he chanced to say, as he was talking to himself, "I think I have him!" Then he remained pensive for three days, and uttered not a word.	Once he chanced to say, as he was talking to himself, "I think I have him!" Then he remained pensive for three days, and uttered not a word.	true	780.77	790.18	19.203278
1365_134804_000028_000003	It seemed that the thread which he thought he held had broken.	It seemed that the thread which he thought he held had broken.	true	790.43	793.9	19.572681
1365_134804_000029_000000	Moreover, and this furnishes the necessary corrective for the too absolute sense which certain words might present, there can be nothing really infallible in a human creature, and the peculiarity of instinct is that it can become confused, thrown off the track, and defeated. Otherwise, it would be superior to intelligence, and the beast would be found to be provided with a better light than man.	Moreover, and this furnishes the necessary corrective for the too absolute sense which certain words might present, there can be nothing really infallible in a human creature, and the peculiarity of instinct is that it can become confused, thrown off the track, and defeated. Otherwise, it would be superior to intelligence, and the beast would be found to be provided with a better light than man.	false	794.75	818.14	20.923162
1365_134804_000030_000000	Javert was evidently somewhat disconcerted by the perfect naturalness and tranquillity of M. Madeleine.	Javert was evidently somewhat disconcerted by the perfect naturalness and tranquillity of m Madeleine.	false	819.71	826.33	17
1365_134804_000031_000000	One day, nevertheless, his strange manner appeared to produce an impression on M. Madeleine.	One day, nevertheless, his strange manner appeared to produce an impression on m Madeleine.	false	827	832.9	14
1365_134804_000031_000001	It was on the following occasion.	It was on the following occasion.	false	833.36	839.25	17.516853
