3989_182389_000001_000000	WHY PETER RABBIT CANNOT FOLD HIS HANDS	WHY peter RABBIT CANNOT FOLD HIS HANDS
3989_182389_000016_000003	The very sight of work scared old Mr. Rabbit.	The very sight of work scared old mr Rabbit.
3989_182389_000016_000004	You see, he was so busy minding other people's business that he didn't have time to attend to his own. So his brown and gray coat always was rumpled and tumbled and dirty. His house was a tumble-down affair in which no one but Mr. Rabbit would ever have thought of living, and his garden--oh, dear me, such a garden you never did see!	You see, he was so busy minding other people's business that he didn't have time to attend to his own. So his brown and gray coat always was rumpled and tumbled and dirty. His house was a tumble down affair in which no one but mr Rabbit would ever have thought of living, and his garden-oh, dear me, such a garden you never did see!
3989_182389_000016_000005	It was all weeds and brambles.	It was all weeds and brambles.
3989_182389_000017_000000	"Now when old Mr. Rabbit heard that Old Mother Nature was coming, his heart sank way, way down, for he knew just how angry she would be when she saw his house, his garden and his shabby suit.	"Now when old mr Rabbit heard that Old Mother Nature was coming, his heart sank way, way down, for he knew just how angry she would be when she saw his house, his garden and his shabby suit.
3989_182389_000018_000000	"'Oh, dear!	"'Oh, dear!
3989_182389_000018_000001	Oh, dear!	Oh, dear!
3989_182389_000020_000000	"Now Mr. Woodchuck was a worker and very, very neat.	"Now mr Woodchuck was a worker and very, very neat.
3989_182389_000020_000001	He meant to have his home looking just as fine as he could make it.	He meant to have his home looking just as fine as he could make it.
3989_182389_000020_000002	He brought up some clean yellow sand from deep down in the ground and sprinkled it smoothly over his doorstep.	He brought up some clean yellow sand from deep down in the ground and sprinkled it smoothly over his doorstep.
3989_182389_000022_000000	"That gave Mr. Rabbit an idea.	"That gave mr Rabbit an idea.
3989_182389_000022_000001	He would ask all his neighbors to help him, and perhaps then he could get his house and garden in order by the time Old Mother Nature arrived.	He would ask all his neighbors to help him, and perhaps then he could get his house and garden in order by the time Old Mother Nature arrived.
3989_182389_000022_000002	So Mr. Rabbit called on Mr. Skunk and Mr. Coon and Mr. Mink and Mr. Squirrel and Mr. Chipmunk, and all the rest of his neighbors, telling them of his trouble and asking them to help.	So mr Rabbit called on mr Skunk and mr Coon and mr Mink and mr Squirrel and mr Chipmunk, and all the rest of his neighbors, telling them of his trouble and asking them to help.
3989_182389_000023_000000	"Instead of hurrying home and getting to work himself, Mr. Rabbit stopped a while after each call and sat with his arms folded, watching the one he was calling on work.	"Instead of hurrying home and getting to work himself, mr Rabbit stopped a while after each call and sat with his arms folded, watching the one he was calling on work.
3989_182389_000023_000002	It was very comfortable.	It was very comfortable.
3989_182389_000024_000000	"'If you want the rest of us to help you, you'd better get things started yourself,' said old Mr. Skunk, carefully combing out his big, plumy tail.	"'If you want the rest of us to help you, you'd better get things started yourself,' said old mr Skunk, carefully combing out his big, plumy tail.
3989_182389_000025_000000	"'That's right, Mr. Skunk!	"'That's right, mr Skunk!
3989_182389_000027_000000	"Finally Mr. Rabbit had made the round of all his friends and neighbors, and he once more reached his tumble-down house.	"Finally mr Rabbit had made the round of all his friends and neighbors, and he once more reached his tumble down house.
3989_182389_000027_000002	It will be a lot easier to work when all my friends are here to help,' So he sighed once more and folded his arms, instead of beginning work as he should have done.	It will be a lot easier to work when all my friends are here to help,' So he sighed once more and folded his arms, instead of beginning work as he should have done.
3989_182389_000028_000000	"Now Old Mother Nature likes to take people by surprise, and it happened that she chose this very day to make her promised visit.	"Now Old Mother Nature likes to take people by surprise, and it happened that she chose this very day to make her promised visit.
3989_182389_000028_000001	She was greatly pleased with all she saw as she went along, until she came to the home of Mr. Rabbit.	She was greatly pleased with all she saw as she went along, until she came to the home of mr Rabbit.
3989_182389_000029_000000	"'Mercy me!' exclaimed Old Mother Nature, throwing up her hands as she saw the tumble-down house almost hidden by the brambles and weeds. 'Can it be possible that any one really lives here?'	"'Mercy me!' exclaimed Old Mother Nature, throwing up her hands as she saw the tumble down house almost hidden by the brambles and weeds. 'Can it be possible that any one really lives here?'
3989_182389_000030_000000	Then, peering through the tangle of brambles, she spied old Mr. Rabbit sitting on his broken-down doorstep with his arms folded and fast asleep.	Then, peering through the tangle of brambles, she spied old mr Rabbit sitting on his broken down doorstep with his arms folded and fast asleep.
3989_182389_000031_000002	But as she watched him sitting there, dreaming in the warm sunshine, her anger began to melt away.	But as she watched him sitting there, dreaming in the warm sunshine, her anger began to melt away.
3989_182389_000031_000003	The fact is, Old Mother Nature was like all the rest of Mr. Rabbit's neighbors--she just couldn't help loving happy-go-lucky Mr. Rabbit in spite of all his faults.	The fact is, Old Mother Nature was like all the rest of mr Rabbit's neighbors-she just couldn't help loving happy go lucky mr Rabbit in spite of all his faults.
