2769_169619_000000_000000	CHAPTER 4	CHAPTER four	true	9.33	10.27	26.4611
2769_169619_000007_000003	Why, here; I'm going to be in Rosemont, staying at the Fleming place, working on the collection, for the next week or so.	Why, here; I'm going to be in Rosemont, staying at the Fleming place, working on the collection, for the next week or so.	true	115.07	121.18	23.21996
2769_169619_000007_000004	I suppose your crowd wouldn't want to make an offer until I have everything listed, but I'd like to talk to your associates, in a group, as soon as possible."	I suppose your crowd wouldn't want to make an offer until I have everything listed, but I'd like to talk to your associates, in a group, as soon as possible."	true	121.55	129.61	24.03464
2769_169619_000008_000000	"Well, we all know pretty much what's in the collection," Gresham said. "We were neighbors of his, and collectors are a gregarious lot.	"Well, we all know pretty much what's in the collection," Gresham said. "We were neighbors of his, and collectors are a gregarious lot.	true	129.98	137.53	21.302465
2769_169619_000008_000001	But we aren't anxious to make any premature offers.	But we aren't anxious to make any premature offers.	true	137.69	140.5	27.621197
2769_169619_000008_000002	We don't want to offer more than we have to, and at the same time, we don't want to underbid and see the collection sold elsewhere."	We don't want to offer more than we have to, and at the same time, we don't want to underbid and see the collection sold elsewhere."	true	141.02	147.36	19
2769_169619_000009_000000	"No, of course not." Rand thought for a moment.	"No, of course not." Rand thought for a moment.	false	147.36	151.48	24.40802
2769_169619_000009_000001	"Tell you what; I'll give you and your friends the best break I can in fairness to my clients.	"Tell you what; I'll give you and your friends the best break I can in fairness to my clients.	false	151.91	156.94	24.365574
2769_169619_000009_000002	I'm not obliged to call for sealed bids, or anything like that, so when I've heard from everybody, I'll give you a chance to bid against the highest offer in hand.	I'm not obliged to call for sealed bids, or anything like that, so when I've heard from everybody, I'll give you a chance to bid against the highest offer in hand.	true	157.22	165.61	20
2769_169619_000009_000003	If you want to top it, you can have the collection for any kind of an overbid that doesn't look too suspiciously nominal."	If you want to top it, you can have the collection for any kind of an overbid that doesn't look too suspiciously nominal."	false	166.13	172.33	25.128164
2769_169619_000010_000000	"Why, Jeff, I appreciate that," Gresham said.	"Why, Jeff, I appreciate that," Gresham said.	true	172.76	175.6	27.249369
2769_169619_000010_000001	"I think you're entirely within your rights, but naturally, we won't mention this outside.	"I think you're entirely within your rights, but naturally, we won't mention this outside.	true	175.76	180.61	22.411728
2769_169619_000010_000002	I can imagine Arnold Rivers, for instance, taking a very righteous view of such an arrangement."	I can imagine Arnold Rivers, for instance, taking a very righteous view of such an arrangement."	true	180.68	185.8	22.215677
2769_169619_000011_000000	"Yes, so can I. Of course, if he'd call me a crook, I'd take that as a compliment," Rand said.	"Yes, so can i Of course, if he'd call me a crook, I'd take that as a compliment," Rand said.	true	186.38	193.54	25.176353
2769_169619_000011_000001	"I wonder if I could meet your group, say tomorrow evening?	"I wonder if I could meet your group, say tomorrow evening?	true	193.94	196.84	30.667585
2769_169619_000011_000002	I want to be in a position to assure the Fleming family and Humphrey Goode that you're all serious and responsible."	I want to be in a position to assure the Fleming family and Humphrey Goode that you're all serious and responsible."	true	197.33	203.26	21.551903
2769_169619_000012_000000	"Well, we're very serious about it," Gresham replied, "and I think we're all responsible.	"Well, we're very serious about it," Gresham replied, "and I think we're all responsible.	false	203.72	208.695	20.599901
2769_169619_000012_000001	You can look us up, if you wish.	You can look us up, if you wish.	true	208.695	210.79	29.889389
2769_169619_000012_000002	Besides myself, there is Philip Cabot, of Cabot, Joyner & Teale, whom you know, and Adam Trehearne, who's worth about a half-million in industrial shares, and Colin MacBride, who's vice president in charge of construction and maintenance for Edison-Public Power & Light, at about twenty thousand a year, and Pierre Jarrett and his fiancee, Karen Lawrence.	Besides myself, there is Philip Cabot, of Cabot, Joyner and Teale, whom you know, and Adam Trehearne, who's worth about a half million in industrial shares, and Colin MacBride, who's vice president in charge of construction and maintenance for Edison Public Power and Light, at about twenty thousand a year, and Pierre Jarrett and his fiancee, Karen Lawrence.	false	210.92	234.49	23.644318
2769_169619_000012_000003	Pierre was a Marine captain, invalided home after being wounded on Peleliu; he writes science-fiction for the pulps.	Pierre was a Marine captain, invalided home after being wounded on Peleliu; he writes science fiction for the pulps.	true	234.65	241.9	24.315113
2769_169619_000012_000004	Karen has a little general-antique business in Rosemont.	Karen has a little general antique business in Rosemont.	true	242.27	245.29	23.425358
2769_169619_000012_000005	They intend using their share of the collection, plus such culls and duplicates as the rest of us can consign to them, to go into the arms business, with a general-antique sideline, which Karen can manage while Pierre's writing....	They intend using their share of the collection, plus such culls and duplicates as the rest of us can consign to them, to go into the arms business, with a general antique sideline, which Karen can manage while Pierre's writing....	true	245.93	257.62	22.415
2769_169619_000012_000006	Tell you what; I'll call a meeting at my place tomorrow evening, say at eight thirty.	Tell you what; I'll call a meeting at my place tomorrow evening, say at eight thirty.	true	257.9	262.72	25.183165
2769_169619_000012_000007	That suit you?"	That suit you?"	true	262.88	263.8	35.3027
2769_169619_000013_000000	That, Rand agreed, would be all right.	That, Rand agreed, would be all right.	true	263.99	266.44	23.736506
2769_169619_000013_000001	Gresham asked him how recently he had seen the Fleming collection.	Gresham asked him how recently he had seen the Fleming collection.	false	266.66	269.86	21.058144
2769_169619_000014_000000	"About two years ago; right after I got back from Germany.	"About two years ago; right after I got back from Germany.	true	270.29	273.52	25.655508
2769_169619_000014_000001	You remember, we went there together, one evening in March."	You remember, we went there together, one evening in March."	true	273.71	276.76	26.840132
2769_169619_000015_000000	"Yes, that's right.	"Yes, that's right.	true	277.04	278.5	25.397095
2769_169619_000015_000001	We didn't have time to see everything," Gresham said. "My God, Jeff!	We didn't have time to see everything," Gresham said. "My God, Jeff!	true	278.66	283.08	25.397547
2769_169619_000015_000002	Twenty-five wheel locks!	Twenty five wheel locks!	true	283.08	284.76	27.887281
2769_169619_000015_000003	Ten snaphaunces.	Ten snaphaunces.	true	284.76	286.11	27.152586
2769_169619_000015_000004	And every imaginable kind of flintlock--over a hundred U.S. Martials, including the 1818 Springfield, all the S. North types, a couple of Virginia Manufactory models, and--he got this since the last time you saw the collection--a real Rappahannock Forge flintlock.	And every imaginable kind of flintlock-over a hundred u s Martials, including the eighteen eighteen Springfield, all the s North types, a couple of Virginia Manufactory models, and-he got this since the last time you saw the collection-a real Rappahannock Forge flintlock.	false	286.11	302.74	22.280603
2769_169619_000015_000005	And about a hundred and fifty Colts, all models and most variants.	And about a hundred and fifty Colts, all models and most variants.	true	303.29	307.21	22.975521
2769_169619_000015_000006	Remember that big Whitneyville Walker, in original condition?	Remember that big Whitneyville Walker, in original condition?	false	307.34	310.48	23.431658
2769_169619_000015_000007	He got that one in 1924, at the Fred Hines sale, at the old Walpole Galleries.	He got that one in nineteen twenty four, at the Fred Hines sale, at the old Walpole Galleries.	true	310.82	316.21	23
2769_169619_000015_000008	And seven Paterson Colts, including a couple of cased sets.	And seven Paterson Colts, including a couple of cased sets.	true	316.43	320.14	24.661327
2769_169619_000015_000009	And anything else you can think of.	And anything else you can think of.	false	320.45	323.07	23.465137
2769_169619_000015_000010	A Hall flintlock breech-loader; an Elisha Collier flintlock revolver; a pair of Forsythe detonator-lock pistols....	A Hall flintlock breech loader; an Elisha Collier flintlock revolver; a pair of Forsythe detonator lock pistols....	true	323.07	330.72	25.735107
2769_169619_000015_000011	Oh, that's a collection to end collections."	Oh, that's a collection to end collections."	true	330.72	333.07	24.506727
2769_169619_000016_000000	"By the way, Humphrey Goode showed me a pair of big ball-butt wheel locks, all covered with ivory inlay," Rand mentioned.	"By the way, Humphrey Goode showed me a pair of big ball butt wheel locks, all covered with ivory inlay," Rand mentioned.	true	333.2	340.03	21.425428
2769_169619_000017_000000	Gresham laughed heartily.	Gresham laughed heartily.	true	340.25	341.83	25.798645
2769_169619_000017_000001	"Aren't they the damnedest ever seen, though?" he asked.	"Aren't they the damnedest ever seen, though?" he asked.	true	341.96	345.1	24.017113
2769_169619_000017_000002	"Made in Germany, about 1870 or '80, about the time arms-collecting was just getting out of the family-heirloom stage, wouldn't you say?"	"Made in Germany, about eighteen seventy or 'eighty, about the time arms collecting was just getting out of the family heirloom stage, wouldn't you say?"	true	345.32	353.32	21
2769_169619_000018_000000	"I'd say made in Japan, about 1920," Rand replied.	"I'd say made in Japan, about nineteen twenty," Rand replied.	true	353.75	357.73	21.21972
2769_169619_000018_000001	"Remember, there were a couple of small human figures on each pistol, a knight and a huntsman? Did you notice that they had slant eyes?" He stopped laughing, and looked at Gresham seriously.	"Remember, there were a couple of small human figures on each pistol, a knight and a huntsman? Did you notice that they had slant eyes?" He stopped laughing, and looked at Gresham seriously.	true	358.01	369.16	22.882807
2769_169619_000018_000002	"Just how much more of that sort of thing do you think I'm going to have to weed out of the collection, before I can offer it for sale?" he asked.	"Just how much more of that sort of thing do you think I'm going to have to weed out of the collection, before I can offer it for sale?" he asked.	false	369.2	375.88	24.296068
2769_169619_000019_000000	Gresham shook his head.	Gresham shook his head.	true	376.1	377.5	24.169168
2769_169619_000019_000001	"They're all.	"They're all.	true	377.6	378.55	24.465866
2769_169619_000019_000002	They were Lane Fleming's one false step.	They were Lane Fleming's one false step.	true	379.46	382.24	24.586487
2769_169619_000019_000003	Ordinarily, Lane was a careful buyer; he must have let himself get hypnotized by all that ivory and gold, and all that documentation on crested notepaper.	Ordinarily, Lane was a careful buyer; he must have let himself get hypnotized by all that ivory and gold, and all that documentation on crested notepaper.	true	382.88	392.47	22.699472
2769_169619_000019_000004	You know, Fleming's death was an undeserved stroke of luck for Arnold Rivers.	You know, Fleming's death was an undeserved stroke of luck for Arnold Rivers.	true	392.72	397.06	23.059198
2769_169619_000019_000005	If he hadn't been killed just when he was, he'd have run Rivers out of the old-arms business."	If he hadn't been killed just when he was, he'd have run Rivers out of the old arms business."	true	397.34	402.28	20.378942
2769_169619_000020_000000	"I notice that Rivers isn't advertising in the _American Rifleman_ any more," Rand observed.	"I notice that Rivers isn't advertising in the underscore American Rifleman underscore any more," Rand observed.	false	402.92	408.28	21.601711
2769_169619_000021_000000	"No; the National Rifle Association stopped his ad, and lifted his membership card for good measure," Gresham said.	"No; the National Rifle Association stopped his ad, and lifted his membership card for good measure," Gresham said.	true	408.5	416.08	23.860535
2769_169619_000021_000001	"Rivers sold a rifle to a collector down in Virginia, about three years ago, while you were still occupying Germany.	"Rivers sold a rifle to a collector down in Virginia, about three years ago, while you were still occupying Germany.	true	416.15	422.05	22
2769_169619_000021_000002	A fine, early flintlock Kentuck, that had been made out of a fine, late percussion Kentuck by sawing off the breech-end of the barrel, rethreading it for the breech-plug, drilling a new vent, and fitting the lock with a flint hammer and a pan-and-frizzen assembly, and shortening the fore-end to fit.	A fine, early flintlock Kentuck, that had been made out of a fine, late percussion Kentuck by sawing off the breech end of the barrel, rethreading it for the breech plug, drilling a new vent, and fitting the lock with a flint hammer and a pan and frizzen assembly, and shortening the fore end to fit.	true	422.3	439.57	24.739157
2769_169619_000021_000003	Rivers has a gunsmith over at Kingsville, one Elmer Umholtz, who does all his fraudulent conversions for him.	Rivers has a gunsmith over at Kingsville, one Elmer Umholtz, who does all his fraudulent conversions for him.	false	439.76	447.87	22.51094
2769_169619_000021_000004	I have an example of Umholtz's craftsmanship, myself.	I have an example of Umholtz's craftsmanship, myself.	true	447.87	451.39	26.119307
2769_169619_000021_000005	The collector who bought this spurious flintlock spotted what had been done, and squawked to the Rifle Association, and to the postal authorities."	The collector who bought this spurious flintlock spotted what had been done, and squawked to the Rifle Association, and to the postal authorities."	true	451.91	459.16	23
2769_169619_000022_000000	"Rivers claimed, I suppose, that he had gotten it from a family that had owned it ever since it was made, and showed letters signed 'D.	"Rivers claimed, I suppose, that he had gotten it from a family that had owned it ever since it was made, and showed letters signed 'D.	true	459.59	466.32	20
2769_169619_000022_000001	Boone' and 'Davy Crockett' to prove it?"	Boone' and 'Davy Crockett' to prove it?"	true	466.32	468.28	23.534435
2769_169619_000023_000000	"No, he claimed to have gotten it in trade from some wayfaring collector," Gresham replied.	"No, he claimed to have gotten it in trade from some wayfaring collector," Gresham replied.	true	468.59	474.28	24.6613
2769_169619_000023_000001	"He convinced Uncle Whiskers, but the N.R.A. took a slightly dimmer view of the transaction, so Rivers doesn't advertise in the _Rifleman_ any more."	"He convinced Uncle Whiskers, but the n r a took a slightly dimmer view of the transaction, so Rivers doesn't advertise in the underscore Rifleman underscore any more."	false	474.59	482.41	21
2769_169619_000024_000000	"Wasn't there some talk about Whitneyville Walker Colts that had been made out of 1848 Model Colt Dragoons?" Rand asked.	"Wasn't there some talk about Whitneyville Walker Colts that had been made out of eighteen forty eight Model Colt Dragoons?" Rand asked.	true	483.11	491.05	25.855623
2769_169619_000025_000000	"Oh Lord, yes!	"Oh Lord, yes!	true	491.09	492.28	20.556164
2769_169619_000025_000001	This fellow Umholtz was practically turning them out on an assembly-line, for a while.	This fellow Umholtz was practically turning them out on an assembly line, for a while.	true	492.5	497.17	21.302387
2769_169619_000025_000002	Rivers must have sold about ten of them. You know, Umholtz is a really fine gunsmith; I had him build a deer-rifle for Dot, a couple of years ago--Mexican-Mauser action, Johnson barrel, chambered for .300 Savage; Umholtz made the stock and fitted a scope-sight--it's a beautiful little rifle.	Rivers must have sold about ten of them. You know, Umholtz is a really fine gunsmith; I had him build a deer rifle for Dot, a couple of years ago-Mexican Mauser action, Johnson barrel, chambered for point three zero zero Savage; Umholtz made the stock and fitted a scope sight-it's a beautiful little rifle.	false	497.3	515.32	22.964117
2769_169619_000025_000003	I hate to see him prostitute his talents the way he does by making these fake antiques for Rivers.	I hate to see him prostitute his talents the way he does by making these fake antiques for Rivers.	true	515.45	520.54	25.392843
2769_169619_000025_000004	You know, he made one of these mythical heavy .44 six-shooters of the sort Colt was supposed to have turned out at Paterson in 1839 for Colonel Walker's Texas Rangers--you know, the model he couldn't find any of in 1847, when he made the real Walker Colt.	You know, he made one of these mythical heavy point four four six shooters of the sort Colt was supposed to have turned out at Paterson in eighteen thirty nine for Colonel Walker's Texas Rangers-you know, the model he couldn't find any of in eighteen forty seven, when he made the real Walker Colt.	false	521.09	536.92	23.116776
2769_169619_000025_000005	That story you find in Sawyer's book."	That story you find in Sawyer's book."	true	537.35	539.62	24.070534
2769_169619_000026_000000	"Why, that story's been absolutely disproved," Rand said.	"Why, that story's been absolutely disproved," Rand said.	true	539.75	542.86	22.87551
2769_169619_000026_000001	"There never was any such revolver."	"There never was any such revolver."	true	543.26	545.35	18.187386
2769_169619_000027_000000	"Not till Umholtz made one," Gresham replied.	"Not till Umholtz made one," Gresham replied.	true	545.96	548.77	28.580772
2769_169619_000027_000001	"Rivers sold it to,"--he named a moving-picture bigshot--"for twenty-five hundred dollars.	"Rivers sold it to,"--he named a moving picture bigshot-"for twenty five hundred dollars.	false	549.14	554.77	26.172018
2769_169619_000027_000002	His story was that he picked it up in Mexico, in 1938; traded a .38-special to some halfbreed goat-herder for it."	His story was that he picked it up in Mexico, in nineteen thirty eight; traded a point three eight-special to some halfbreed goat herder for it."	false	555.32	562.81	25.244139
2769_169619_000028_000000	"This fellow who bought it, now; did he see Belden and Haven's Colt book, when it came out in 1940?"	"This fellow who bought it, now; did he see Belden and Haven's Colt book, when it came out in nineteen forty?"	true	563.03	569.17	23.927744
2769_169619_000029_000000	"Yes, and he was plenty burned up, but what could he do?	"Yes, and he was plenty burned up, but what could he do?	true	569.33	572.44	24.786873
2769_169619_000029_000001	Rivers was dug in behind this innocent-purchase-and-sale-in-good-faith Maginot Line of his.	Rivers was dug in behind this innocent purchase and sale in good faith Maginot Line of his.	true	572.51	578.02	22
2769_169619_000029_000002	You know, that bastard took me, once, just one-tenth as badly, with a fake U.S. North & Cheney Navy flintlock 1799 Model that had been made out of a French 1777 Model." The lawyer muttered obscenely.	You know, that bastard took me, once, just one tenth as badly, with a fake u s North and Cheney Navy flintlock seventeen ninety nine Model that had been made out of a French seventeen seventy seven Model." The lawyer muttered obscenely.	true	578.36	591.82	22.360788
2769_169619_000030_000000	"Why didn't you sue hell out of him?" Rand asked.	"Why didn't you sue hell out of him?" Rand asked.	false	592.04	594.46	19.855782
2769_169619_000030_000001	"You might not have gotten anything, but you'd have given him a lot of dirty publicity. That's all Fleming was expecting to do about those wheel locks."	"You might not have gotten anything, but you'd have given him a lot of dirty publicity. That's all Fleming was expecting to do about those wheel locks."	true	594.65	602.14	23.52361
2769_169619_000031_000000	"I'm not Fleming.	"I'm not Fleming.	true	602.84	604.03	28.769625
2769_169619_000031_000001	He could afford litigation like that; I can't.	He could afford litigation like that; I can't.	true	604.04	606.91	24.933989
2769_169619_000031_000002	I want my money, and if I don't get it in cash, I'm going to beat it out of that dirty little swindler's hide," Gresham replied, an ugly look appearing on his face.	I want my money, and if I don't get it in cash, I'm going to beat it out of that dirty little swindler's hide," Gresham replied, an ugly look appearing on his face.	true	607.34	615.82	24.553274
2769_169619_000032_000000	"I wouldn't blame you.	"I wouldn't blame you.	true	616.4	617.77	22.467556
2769_169619_000032_000001	You could find plenty of other collectors who'd hold your coat while you were doing it," Rand told him.	You could find plenty of other collectors who'd hold your coat while you were doing it," Rand told him.	false	618.23	623.52	19.542467
2769_169619_000032_000002	Then he inquired, idly: "What sort of a pistol was it that Lane Fleming is supposed to have shot himself with?"	Then he inquired, idly: "What sort of a pistol was it that Lane Fleming is supposed to have shot himself with?"	false	623.52	629.41	23.081602
2769_169619_000033_000000	Gresham frowned.	Gresham frowned.	true	629.69	630.76	27.313974
2769_169619_000033_000001	"I really don't know; I didn't see it.	"I really don't know; I didn't see it.	true	631.28	633.76	23.075418
2769_169619_000033_000002	It's supposed to have been a Confederate Leech & Rigdon .36; you know, one of those imitation Colt Navy Models that were made in the South during the Civil War."	It's supposed to have been a Confederate Leech and Rigdon point three six; you know, one of those imitation Colt Navy Models that were made in the South during the Civil War."	false	634.22	642.88	20.706741
2769_169619_000034_000000	Rand nodded.	Rand nodded.	true	643.55	644.67	20.367958
2769_169619_000034_000001	He was familiar with the type.	He was familiar with the type.	true	644.67	646.33	22.225468
2769_169619_000035_000000	"The story is that Fleming found it hanging back of the counter at some roadside lunch-stand, along with a lot of other old pistols, and talked the proprietor into letting it go for a few dollars," Gresham continued. "It was supposed to have been loaded at the time, and went off while Fleming was working on it, at home." He shook his head.	"The story is that Fleming found it hanging back of the counter at some roadside lunch stand, along with a lot of other old pistols, and talked the proprietor into letting it go for a few dollars," Gresham continued. "It was supposed to have been loaded at the time, and went off while Fleming was working on it, at home." He shook his head.	true	646.67	665.235	24.358189
2769_169619_000035_000001	"I can't believe that, Jeff.	"I can't believe that, Jeff.	true	665.235	666.76	26.403652
2769_169619_000035_000002	Lane Fleming would know a loaded revolver when he saw one.	Lane Fleming would know a loaded revolver when he saw one.	true	666.86	670.66	20.247051
2769_169619_000035_000003	I believe he deliberately shot himself, and the family faked the accident and fixed the authorities.	I believe he deliberately shot himself, and the family faked the accident and fixed the authorities.	true	670.7	675.85	21.777697
2769_169619_000035_000004	The police never made any investigation; it was handled by the coroner alone.	The police never made any investigation; it was handled by the coroner alone.	true	676.52	681.13	23.263924
2769_169619_000035_000005	And our coroner, out in Scott County, is eminently fixable, if you go about it right; a pitiful little nonentity with a tremendous inferiority complex."	And our coroner, out in Scott County, is eminently fixable, if you go about it right; a pitiful little nonentity with a tremendous inferiority complex."	true	681.53	691.63	22.281229
2769_169619_000036_000000	"But good Lord, why?" Rand demanded.	"But good Lord, why?" Rand demanded.	true	691.73	694.035	20.701763
2769_169619_000036_000001	"I never heard of Fleming having any troubles worth killing himself over."	"I never heard of Fleming having any troubles worth killing himself over."	true	694.035	697.9	23.077131
2769_169619_000037_000000	Gresham lowered his voice.	Gresham lowered his voice.	true	698.21	699.76	19.188526
2769_169619_000037_000001	"Jeff, I'm not supposed to talk about this, but the fact is that I believe Fleming was about to lose control of the Premix Company," he said.	"Jeff, I'm not supposed to talk about this, but the fact is that I believe Fleming was about to lose control of the Premix Company," he said.	true	700.28	708.01	23.783552
2769_169619_000037_000002	"I have, well, sources of inside information. This is in confidence, so don't quote me, but certain influences were at work, inside the company, toward that end." He inspected the tip of his cigar and knocked off the ash into the tray at his elbow.	"I have, well, sources of inside information. This is in confidence, so don't quote me, but certain influences were at work, inside the company, toward that end." He inspected the tip of his cigar and knocked off the ash into the tray at his elbow.	false	708.44	724.54	23.90566
2769_169619_000037_000003	"Lane Fleming's death is on record as accidental, Jeff.	"Lane Fleming's death is on record as accidental, Jeff.	true	724.82	728.2	25.563131
2769_169619_000037_000004	It's been written off as such.	It's been written off as such.	true	728.21	730.21	31.440098
2769_169619_000037_000005	It would be a great deal better for all concerned if it were left at that."	It would be a great deal better for all concerned if it were left at that."	false	730.73	742.26	22.358076
