2401_144485_000003_000000	CHAPTER 36.	CHAPTER thirty six.
2401_144485_000016_000001	'To be sure.	'To be sure.
2401_144485_000016_000002	He's pretty well, too.'	He's pretty well, too.'
2401_144485_000017_000000	'Has he come home, sir?' I inquired.	'Has he come home, sir?' I inquired.
2401_144485_000018_000000	'From India?' said the Doctor.	'From India?' said the Doctor.
2401_144485_000018_000001	'Yes.	'Yes.
2401_144485_000018_000002	Mr. Jack Maldon couldn't bear the climate, my dear.	mr Jack Maldon couldn't bear the climate, my dear.
2401_144485_000018_000003	Mrs. Markleham--you have not forgotten Mrs. Markleham?'	mrs Markleham-you have not forgotten mrs Markleham?'
2401_144485_000019_000000	Forgotten the Old Soldier!	Forgotten the Old Soldier!
2401_144485_000019_000001	And in that short time!	And in that short time!
2401_144485_000020_000001	Markleham,' said the Doctor, 'was quite vexed about him, poor thing; so we have got him at home again; and we have bought him a little Patent place, which agrees with him much better.' I knew enough of Mr. Jack Maldon to suspect from this account that it was a place where there was not much to do, and which was pretty well paid.	Markleham,' said the Doctor, 'was quite vexed about him, poor thing; so we have got him at home again; and we have bought him a little Patent place, which agrees with him much better.' I knew enough of mr Jack Maldon to suspect from this account that it was a place where there was not much to do, and which was pretty well paid.
2401_144485_000021_000000	'Now, my dear Copperfield, in reference to this proposal of yours.	'Now, my dear Copperfield, in reference to this proposal of yours.
2401_144485_000021_000001	It's very gratifying and agreeable to me, I am sure; but don't you think you could do better?	It's very gratifying and agreeable to me, I am sure; but don't you think you could do better?
2401_144485_000021_000003	You are qualified for many good things.	You are qualified for many good things.
2401_144485_000021_000004	You have laid a foundation that any edifice may be raised upon; and is it not a pity that you should devote the spring-time of your life to such a poor pursuit as I can offer?'	You have laid a foundation that any edifice may be raised upon; and is it not a pity that you should devote the spring time of your life to such a poor pursuit as I can offer?'
2401_144485_000022_000000	I became very glowing again, and, expressing myself in a rhapsodical style, I am afraid, urged my request strongly; reminding the Doctor that I had already a profession.	I became very glowing again, and, expressing myself in a rhapsodical style, I am afraid, urged my request strongly; reminding the Doctor that I had already a profession.
2401_144485_000023_000000	'Well, well,' said the Doctor, 'that's true.	'Well, well,' said the Doctor, 'that's true.
2401_144485_000023_000001	Certainly, your having a profession, and being actually engaged in studying it, makes a difference.	Certainly, your having a profession, and being actually engaged in studying it, makes a difference.
2401_144485_000023_000002	But, my good young friend, what's seventy pounds a year?'	But, my good young friend, what's seventy pounds a year?'
2401_144485_000024_000000	'It doubles our income, Doctor Strong,' said I.	'It doubles our income, Doctor Strong,' said i
2401_144485_000025_000000	'Dear me!' replied the Doctor.	'Dear me!' replied the Doctor.
2401_144485_000025_000001	'To think of that!	'To think of that!
2401_144485_000025_000002	Not that I mean to say it's rigidly limited to seventy pounds a-year, because I have always contemplated making any young friend I might thus employ, a present too. Undoubtedly,' said the Doctor, still walking me up and down with his hand on my shoulder.	Not that I mean to say it's rigidly limited to seventy pounds a year, because I have always contemplated making any young friend I might thus employ, a present too. Undoubtedly,' said the Doctor, still walking me up and down with his hand on my shoulder.
2401_144485_000027_000000	'No, no,' interposed the Doctor.	'No, no,' interposed the Doctor.
2401_144485_000027_000001	'Pardon me!'	'Pardon me!'
2401_144485_000028_000000	'If you will take such time as I have, and that is my mornings and evenings, and can think it worth seventy pounds a year, you will do me such a service as I cannot express.'	'If you will take such time as I have, and that is my mornings and evenings, and can think it worth seventy pounds a year, you will do me such a service as I cannot express.'
2401_144485_000029_000000	'Dear me!' said the Doctor, innocently.	'Dear me!' said the Doctor, innocently.
2401_144485_000029_000001	'To think that so little should go for so much!	'To think that so little should go for so much!
2401_144485_000029_000002	Dear, dear!	Dear, dear!
2401_144485_000029_000004	On your word, now?' said the Doctor,--which he had always made a very grave appeal to the honour of us boys.	On your word, now?' said the Doctor,--which he had always made a very grave appeal to the honour of us boys.
2401_144485_000030_000000	'On my word, sir!' I returned, answering in our old school manner.	'On my word, sir!' I returned, answering in our old school manner.
2401_144485_000031_000000	'Then be it so,' said the Doctor, clapping me on the shoulder, and still keeping his hand there, as we still walked up and down.	'Then be it so,' said the Doctor, clapping me on the shoulder, and still keeping his hand there, as we still walked up and down.
2401_144485_000033_000000	The Doctor stopped, smilingly clapped me on the shoulder again, and exclaimed, with a triumph most delightful to behold, as if I had penetrated to the profoundest depths of mortal sagacity, 'My dear young friend, you have hit it.	The Doctor stopped, smilingly clapped me on the shoulder again, and exclaimed, with a triumph most delightful to behold, as if I had penetrated to the profoundest depths of mortal sagacity, 'My dear young friend, you have hit it.
2401_144485_000034_000000	How could it be anything else!	How could it be anything else!
2401_144485_000034_000001	His pockets were as full of it as his head.	His pockets were as full of it as his head.
2401_144485_000034_000002	It was sticking out of him in all directions.	It was sticking out of him in all directions.
2401_144485_000034_000004	His papers were in a little confusion, in consequence of Mr. Jack Maldon having lately proffered his occasional services as an amanuensis, and not being accustomed to that occupation; but we should soon put right what was amiss, and go on swimmingly.	His papers were in a little confusion, in consequence of mr Jack Maldon having lately proffered his occasional services as an amanuensis, and not being accustomed to that occupation; but we should soon put right what was amiss, and go on swimmingly.
2401_144485_000035_000000	The Doctor was quite happy in the prospect of our going to work together on that wonderful performance, and we settled to begin next morning at seven o'clock.	The Doctor was quite happy in the prospect of our going to work together on that wonderful performance, and we settled to begin next morning at seven o'clock.
2401_144485_000035_000001	We were to work two hours every morning, and two or three hours every night, except on Saturdays, when I was to rest.	We were to work two hours every morning, and two or three hours every night, except on Saturdays, when I was to rest.
2401_144485_000036_000000	Our plans being thus arranged to our mutual satisfaction, the Doctor took me into the house to present me to Mrs. Strong, whom we found in the Doctor's new study, dusting his books,--a freedom which he never permitted anybody else to take with those sacred favourites.	Our plans being thus arranged to our mutual satisfaction, the Doctor took me into the house to present me to mrs Strong, whom we found in the Doctor's new study, dusting his books,--a freedom which he never permitted anybody else to take with those sacred favourites.
2401_144485_000037_000000	They had postponed their breakfast on my account, and we sat down to table together.	They had postponed their breakfast on my account, and we sat down to table together.
2401_144485_000037_000001	We had not been seated long, when I saw an approaching arrival in Mrs. Strong's face, before I heard any sound of it.	We had not been seated long, when I saw an approaching arrival in mrs Strong's face, before I heard any sound of it.
2401_144485_000037_000002	A gentleman on horseback came to the gate, and leading his horse into the little court, with the bridle over his arm, as if he were quite at home, tied him to a ring in the empty coach-house wall, and came into the breakfast parlour, whip in hand.	A gentleman on horseback came to the gate, and leading his horse into the little court, with the bridle over his arm, as if he were quite at home, tied him to a ring in the empty coach house wall, and came into the breakfast parlour, whip in hand.
2401_144485_000037_000003	It was Mr. Jack Maldon; and Mr. Jack Maldon was not at all improved by India, I thought.	It was mr Jack Maldon; and mr Jack Maldon was not at all improved by India, I thought.
2401_144485_000038_000000	'Mr. Jack!' said the Doctor.	'mr Jack!' said the Doctor.
2401_144485_000038_000001	'Copperfield!'	'Copperfield!'
2401_144485_000039_000000	Mr. Jack Maldon shook hands with me; but not very warmly, I believed; and with an air of languid patronage, at which I secretly took great umbrage.	mr Jack Maldon shook hands with me; but not very warmly, I believed; and with an air of languid patronage, at which I secretly took great umbrage.
2401_144485_000039_000001	But his languor altogether was quite a wonderful sight; except when he addressed himself to his cousin Annie. 'Have you breakfasted this morning, Mr. Jack?' said the Doctor.	But his languor altogether was quite a wonderful sight; except when he addressed himself to his cousin Annie. 'Have you breakfasted this morning, mr Jack?' said the Doctor.
2401_144485_000040_000000	'I hardly ever take breakfast, sir,' he replied, with his head thrown back in an easy-chair. 'I find it bores me.'	'I hardly ever take breakfast, sir,' he replied, with his head thrown back in an easy chair. 'I find it bores me.'
2401_144485_000041_000000	'Is there any news today?' inquired the Doctor.	'Is there any news today?' inquired the Doctor.
2401_144485_000042_000000	'Nothing at all, sir,' replied Mr. Maldon. 'There's an account about the people being hungry and discontented down in the North, but they are always being hungry and discontented somewhere.'	'Nothing at all, sir,' replied mr Maldon. 'There's an account about the people being hungry and discontented down in the North, but they are always being hungry and discontented somewhere.'
2401_144485_000043_000000	The Doctor looked grave, and said, as though he wished to change the subject, 'Then there's no news at all; and no news, they say, is good news.'	The Doctor looked grave, and said, as though he wished to change the subject, 'Then there's no news at all; and no news, they say, is good news.'
2401_144485_000045_000000	A display of indifference to all the actions and passions of mankind was not supposed to be such a distinguished quality at that time, I think, as I have observed it to be considered since.	A display of indifference to all the actions and passions of mankind was not supposed to be such a distinguished quality at that time, I think, as I have observed it to be considered since.
2401_144485_000045_000001	I have known it very fashionable indeed.	I have known it very fashionable indeed.
2401_144485_000045_000002	I have seen it displayed with such success, that I have encountered some fine ladies and gentlemen who might as well have been born caterpillars.	I have seen it displayed with such success, that I have encountered some fine ladies and gentlemen who might as well have been born caterpillars.
2401_144485_000045_000003	Perhaps it impressed me the more then, because it was new to me, but it certainly did not tend to exalt my opinion of, or to strengthen my confidence in, Mr. Jack Maldon.	Perhaps it impressed me the more then, because it was new to me, but it certainly did not tend to exalt my opinion of, or to strengthen my confidence in, mr Jack Maldon.
2401_144485_000046_000000	'I came out to inquire whether Annie would like to go to the opera tonight,' said Mr. Maldon, turning to her.	'I came out to inquire whether Annie would like to go to the opera tonight,' said mr Maldon, turning to her.
2401_144485_000046_000002	She is perfectly exquisite.	She is perfectly exquisite.
2401_144485_000047_000000	The Doctor, ever pleased with what was likely to please his young wife, turned to her and said:	The Doctor, ever pleased with what was likely to please his young wife, turned to her and said:
2401_144485_000048_000001	You must go.'	You must go.'
2401_144485_000049_000000	'I would rather not,' she said to the Doctor. 'I prefer to remain at home.	'I would rather not,' she said to the Doctor. 'I prefer to remain at home.
2401_144485_000049_000001	I would much rather remain at home.'	I would much rather remain at home.'
2401_144485_000051_000000	But he saw nothing.	But he saw nothing.
2401_144485_000051_000001	He told her, good-naturedly, that she was young and ought to be amused and entertained, and must not allow herself to be made dull by a dull old fellow.	He told her, good naturedly, that she was young and ought to be amused and entertained, and must not allow herself to be made dull by a dull old fellow.
2401_144485_000051_000003	So the Doctor persisted in making the engagement for her, and Mr. Jack Maldon was to come back to dinner.	So the Doctor persisted in making the engagement for her, and mr Jack Maldon was to come back to dinner.
2401_144485_000051_000004	This concluded, he went to his Patent place, I suppose; but at all events went away on his horse, looking very idle.	This concluded, he went to his Patent place, I suppose; but at all events went away on his horse, looking very idle.
2401_144485_000052_000000	I was curious to find out next morning, whether she had been.	I was curious to find out next morning, whether she had been.
2401_144485_000052_000001	She had not, but had sent into London to put her cousin off; and had gone out in the afternoon to see Agnes, and had prevailed upon the Doctor to go with her; and they had walked home by the fields, the Doctor told me, the evening being delightful.	She had not, but had sent into London to put her cousin off; and had gone out in the afternoon to see Agnes, and had prevailed upon the Doctor to go with her; and they had walked home by the fields, the Doctor told me, the evening being delightful.
2401_144485_000052_000002	I wondered then, whether she would have gone if Agnes had not been in town, and whether Agnes had some good influence over her too!	I wondered then, whether she would have gone if Agnes had not been in town, and whether Agnes had some good influence over her too!
2401_144485_000053_000000	She did not look very happy, I thought; but it was a good face, or a very false one.	She did not look very happy, I thought; but it was a good face, or a very false one.
2401_144485_000053_000001	I often glanced at it, for she sat in the window all the time we were at work; and made our breakfast, which we took by snatches as we were employed.	I often glanced at it, for she sat in the window all the time we were at work; and made our breakfast, which we took by snatches as we were employed.
2401_144485_000053_000002	When I left, at nine o'clock, she was kneeling on the ground at the Doctor's feet, putting on his shoes and gaiters for him.	When I left, at nine o'clock, she was kneeling on the ground at the Doctor's feet, putting on his shoes and gaiters for him.
2401_144485_000053_000003	There was a softened shade upon her face, thrown from some green leaves overhanging the open window of the low room; and I thought all the way to Doctors' Commons, of the night when I had seen it looking at him as he read.	There was a softened shade upon her face, thrown from some green leaves overhanging the open window of the low room; and I thought all the way to Doctors' Commons, of the night when I had seen it looking at him as he read.
2401_144485_000054_000000	I was pretty busy now; up at five in the morning, and home at nine or ten at night.	I was pretty busy now; up at five in the morning, and home at nine or ten at night.
2401_144485_000054_000001	But I had infinite satisfaction in being so closely engaged, and never walked slowly on any account, and felt enthusiastically that the more I tired myself, the more I was doing to deserve Dora.	But I had infinite satisfaction in being so closely engaged, and never walked slowly on any account, and felt enthusiastically that the more I tired myself, the more I was doing to deserve Dora.
2401_144485_000054_000002	I had not revealed myself in my altered character to Dora yet, because she was coming to see Miss Mills in a few days, and I deferred all I had to tell her until then; merely informing her in my letters (all our communications were secretly forwarded through Miss Mills), that I had much to tell her.	I had not revealed myself in my altered character to Dora yet, because she was coming to see Miss Mills in a few days, and I deferred all I had to tell her until then; merely informing her in my letters (all our communications were secretly forwarded through Miss Mills), that I had much to tell her.
2401_144485_000054_000003	In the meantime, I put myself on a short allowance of bear's grease, wholly abandoned scented soap and lavender water, and sold off three waistcoats at a prodigious sacrifice, as being too luxurious for my stern career.	In the meantime, I put myself on a short allowance of bear's grease, wholly abandoned scented soap and lavender water, and sold off three waistcoats at a prodigious sacrifice, as being too luxurious for my stern career.
2401_144485_000055_000000	Not satisfied with all these proceedings, but burning with impatience to do something more, I went to see Traddles, now lodging up behind the parapet of a house in Castle Street, Holborn.	Not satisfied with all these proceedings, but burning with impatience to do something more, I went to see Traddles, now lodging up behind the parapet of a house in Castle Street, Holborn.
2401_144485_000055_000001	Mr. Dick, who had been with me to Highgate twice already, and had resumed his companionship with the Doctor, I took with me.	mr Dick, who had been with me to Highgate twice already, and had resumed his companionship with the Doctor, I took with me.
2401_144485_000056_000000	I took Mr. Dick with me, because, acutely sensitive to my aunt's reverses, and sincerely believing that no galley-slave or convict worked as I did, he had begun to fret and worry himself out of spirits and appetite, as having nothing useful to do.	I took mr Dick with me, because, acutely sensitive to my aunt's reverses, and sincerely believing that no galley slave or convict worked as I did, he had begun to fret and worry himself out of spirits and appetite, as having nothing useful to do.
2401_144485_000056_000001	In this condition, he felt more incapable of finishing the Memorial than ever; and the harder he worked at it, the oftener that unlucky head of King Charles the First got into it.	In this condition, he felt more incapable of finishing the Memorial than ever; and the harder he worked at it, the oftener that unlucky head of King Charles the First got into it.
2401_144485_000056_000002	Seriously apprehending that his malady would increase, unless we put some innocent deception upon him and caused him to believe that he was useful, or unless we could put him in the way of being really useful (which would be better), I made up my mind to try if Traddles could help us.	Seriously apprehending that his malady would increase, unless we put some innocent deception upon him and caused him to believe that he was useful, or unless we could put him in the way of being really useful (which would be better), I made up my mind to try if Traddles could help us.
2401_144485_000056_000003	Before we went, I wrote Traddles a full statement of all that had happened, and Traddles wrote me back a capital answer, expressive of his sympathy and friendship.	Before we went, I wrote Traddles a full statement of all that had happened, and Traddles wrote me back a capital answer, expressive of his sympathy and friendship.
2401_144485_000057_000001	He received us cordially, and made friends with Mr. Dick in a moment.	He received us cordially, and made friends with mr Dick in a moment.
2401_144485_000057_000002	Mr. Dick professed an absolute certainty of having seen him before, and we both said, 'Very likely.'	mr Dick professed an absolute certainty of having seen him before, and we both said, 'Very likely.'
2401_144485_000058_000000	The first subject on which I had to consult Traddles was this,--I had heard that many men distinguished in various pursuits had begun life by reporting the debates in Parliament.	The first subject on which I had to consult Traddles was this,--I had heard that many men distinguished in various pursuits had begun life by reporting the debates in Parliament.
2401_144485_000058_000001	Traddles having mentioned newspapers to me, as one of his hopes, I had put the two things together, and told Traddles in my letter that I wished to know how I could qualify myself for this pursuit.	Traddles having mentioned newspapers to me, as one of his hopes, I had put the two things together, and told Traddles in my letter that I wished to know how I could qualify myself for this pursuit.
2401_144485_000058_000003	Traddles reasonably supposed that this would settle the business; but I, only feeling that here indeed were a few tall trees to be hewn down, immediately resolved to work my way on to Dora through this thicket, axe in hand.	Traddles reasonably supposed that this would settle the business; but I, only feeling that here indeed were a few tall trees to be hewn down, immediately resolved to work my way on to Dora through this thicket, axe in hand.
2401_144485_000060_000000	Traddles looked astonished, as he well might; but he had no notion as yet of my rapturous condition.	Traddles looked astonished, as he well might; but he had no notion as yet of my rapturous condition.
2401_144485_000062_000000	'Dear me,' said Traddles, opening his eyes, 'I had no idea you were such a determined character, Copperfield!'	'Dear me,' said Traddles, opening his eyes, 'I had no idea you were such a determined character, Copperfield!'
2401_144485_000063_000001	I passed that off, and brought Mr. Dick on the carpet.	I passed that off, and brought mr Dick on the carpet.
2401_144485_000064_000000	'You see,' said Mr. Dick, wistfully, 'if I could exert myself, Mr. Traddles--if I could beat a drum--or blow anything!'	'You see,' said mr Dick, wistfully, 'if I could exert myself, mr Traddles-if I could beat a drum-or blow anything!'
2401_144485_000065_000000	Poor fellow!	Poor fellow!
2401_144485_000066_000000	'But you are a very good penman, sir.	'But you are a very good penman, sir.
2401_144485_000066_000002	He wrote with extraordinary neatness.	He wrote with extraordinary neatness.
2401_144485_000067_000000	'Don't you think,' said Traddles, 'you could copy writings, sir, if I got them for you?'	'Don't you think,' said Traddles, 'you could copy writings, sir, if I got them for you?'
2401_144485_000068_000000	Mr. Dick looked doubtfully at me.	mr Dick looked doubtfully at me.
2401_144485_000068_000001	'Eh, Trotwood?'	'Eh, Trotwood?'
2401_144485_000069_000000	I shook my head.	I shook my head.
2401_144485_000069_000002	'Tell him about the Memorial,' said Mr. Dick.	'Tell him about the Memorial,' said mr Dick.
2401_144485_000070_000000	I explained to Traddles that there was a difficulty in keeping King Charles the First out of Mr. Dick's manuscripts; Mr. Dick in the meanwhile looking very deferentially and seriously at Traddles, and sucking his thumb.	I explained to Traddles that there was a difficulty in keeping King Charles the First out of mr Dick's manuscripts; mr Dick in the meanwhile looking very deferentially and seriously at Traddles, and sucking his thumb.
2401_144485_000071_000001	'Mr.	'mr
2401_144485_000071_000002	Dick has nothing to do with them.	Dick has nothing to do with them.
2401_144485_000071_000003	Wouldn't that make a difference, Copperfield? At all events, wouldn't it be well to try?'	Wouldn't that make a difference, Copperfield? At all events, wouldn't it be well to try?'
2401_144485_000072_000000	This gave us new hope.	This gave us new hope.
2401_144485_000072_000001	Traddles and I laying our heads together apart, while Mr. Dick anxiously watched us from his chair, we concocted a scheme in virtue of which we got him to work next day, with triumphant success.	Traddles and I laying our heads together apart, while mr Dick anxiously watched us from his chair, we concocted a scheme in virtue of which we got him to work next day, with triumphant success.
2401_144485_000073_000000	On a table by the window in Buckingham Street, we set out the work Traddles procured for him--which was to make, I forget how many copies of a legal document about some right of way--and on another table we spread the last unfinished original of the great Memorial.	On a table by the window in Buckingham Street, we set out the work Traddles procured for him-which was to make, I forget how many copies of a legal document about some right of way-and on another table we spread the last unfinished original of the great Memorial.
2401_144485_000073_000001	Our instructions to Mr. Dick were that he should copy exactly what he had before him, without the least departure from the original; and that when he felt it necessary to make the slightest allusion to King Charles the First, he should fly to the Memorial.	Our instructions to mr Dick were that he should copy exactly what he had before him, without the least departure from the original; and that when he felt it necessary to make the slightest allusion to King Charles the First, he should fly to the Memorial.
2401_144485_000073_000002	We exhorted him to be resolute in this, and left my aunt to observe him.	We exhorted him to be resolute in this, and left my aunt to observe him.
2401_144485_000074_000000	'No starving now, Trotwood,' said Mr. Dick, shaking hands with me in a corner.	'No starving now, Trotwood,' said mr Dick, shaking hands with me in a corner.
2401_144485_000074_000001	'I'll provide for her, Sir!' and he flourished his ten fingers in the air, as if they were ten banks.	'I'll provide for her, Sir!' and he flourished his ten fingers in the air, as if they were ten banks.
2401_144485_000075_000000	I hardly know which was the better pleased, Traddles or I. 'It really,' said Traddles, suddenly, taking a letter out of his pocket, and giving it to me, 'put Mr. Micawber quite out of my head!'	I hardly know which was the better pleased, Traddles or i 'It really,' said Traddles, suddenly, taking a letter out of his pocket, and giving it to me, 'put mr Micawber quite out of my head!'
2401_144485_000076_000001	Micawber never missed any possible opportunity of writing a letter) was addressed to me, 'By the kindness of T. Traddles, Esquire, of the Inner Temple.' It ran thus:--	Micawber never missed any possible opportunity of writing a letter) was addressed to me, 'By the kindness of t Traddles, Esquire, of the Inner Temple.' It ran thus:--
2401_144485_000077_000000	'MY DEAR COPPERFIELD,	'MY DEAR COPPERFIELD,
2401_144485_000078_000000	'You may possibly not be unprepared to receive the intimation that something has turned up.	'You may possibly not be unprepared to receive the intimation that something has turned up.
2401_144485_000078_000001	I may have mentioned to you on a former occasion that I was in expectation of such an event.	I may have mentioned to you on a former occasion that I was in expectation of such an event.
2401_144485_000079_000000	'I am about to establish myself in one of the provincial towns of our favoured island (where the society may be described as a happy admixture of the agricultural and the clerical), in immediate connexion with one of the learned professions.	'I am about to establish myself in one of the provincial towns of our favoured island (where the society may be described as a happy admixture of the agricultural and the clerical), in immediate connexion with one of the learned professions.
2401_144485_000079_000001	Mrs. Micawber and our offspring will accompany me.	mrs Micawber and our offspring will accompany me.
2401_144485_000079_000002	Our ashes, at a future period, will probably be found commingled in the cemetery attached to a venerable pile, for which the spot to which I refer has acquired a reputation, shall I say from China to Peru?	Our ashes, at a future period, will probably be found commingled in the cemetery attached to a venerable pile, for which the spot to which I refer has acquired a reputation, shall I say from China to Peru?
2401_144485_000080_000001	If, on the eve of such a departure, you will accompany our mutual friend, Mr. Thomas Traddles, to our present abode, and there reciprocate the wishes natural to the occasion, you will confer a Boon	If, on the eve of such a departure, you will accompany our mutual friend, mr Thomas Traddles, to our present abode, and there reciprocate the wishes natural to the occasion, you will confer a Boon
2401_144485_000081_000000	'On 'One 'Who 'Is 'Ever yours, 'WILKINS MICAWBER.'	'On 'One 'Who 'Is 'Ever yours, 'WILKINS MICAWBER.'
2401_144485_000082_000000	I was glad to find that Mr. Micawber had got rid of his dust and ashes, and that something really had turned up at last.	I was glad to find that mr Micawber had got rid of his dust and ashes, and that something really had turned up at last.
