4734_220952_000001_000000	4: ABRAHAM	four: ABRAHAM
4734_220952_000013_000004	How is it that a shepherd could acquire all of this knowledge?	How is it that a shepherd could acquire all of this knowledge?
4734_220952_000013_000005	It is beyond doubt that He must have been assisted by an omnipotent power.	It is beyond doubt that He must have been assisted by an omnipotent power.
4734_220952_000014_000000	Consider also what trials and difficulties arise for people.	Consider also what trials and difficulties arise for people.
4734_220952_000014_000001	To prevent an act of cruelty, Moses struck down an Egyptian and afterward became known among men as a murderer, more notably because the man He had killed was of the ruling nation.	To prevent an act of cruelty, Moses struck down an Egyptian and afterward became known among men as a murderer, more notably because the man He had killed was of the ruling nation.
4734_220952_000014_000002	Then He fled, and it was after that that He was raised to the rank of a Prophet!	Then He fled, and it was after that that He was raised to the rank of a Prophet!
4734_220952_000016_000000	6: CHRIST	six: CHRIST
4734_220952_000017_000000	Afterward Christ came, saying, "I am born of the Holy Spirit." Though it is now easy for the Christians to believe this assertion, at that time it was very difficult.	Afterward Christ came, saying, "I am born of the Holy Spirit." Though it is now easy for the Christians to believe this assertion, at that time it was very difficult.
4734_220952_000018_000000	Briefly, this Man, Who, apparently, and in the eyes of all, was lowly, arose with such great power that He abolished a religion that had lasted fifteen hundred years, at a time when the slightest deviation from it exposed the offender to danger or to death.	Briefly, this Man, Who, apparently, and in the eyes of all, was lowly, arose with such great power that He abolished a religion that had lasted fifteen hundred years, at a time when the slightest deviation from it exposed the offender to danger or to death.
4734_220952_000018_000001	Moreover, in the days of Christ the morals of the whole world and the condition of the Israelites had become completely confused and corrupted, and Israel had fallen into a state of the utmost degradation, misery and bondage.	Moreover, in the days of Christ the morals of the whole world and the condition of the Israelites had become completely confused and corrupted, and Israel had fallen into a state of the utmost degradation, misery and bondage.
4734_220952_000019_000000	This young Man, Christ, by the help of a supernatural power, abrogated the ancient Mosaic Law, reformed the general morals, and once again laid the foundation of eternal glory for the Israelites.	This young Man, Christ, by the help of a supernatural power, abrogated the ancient Mosaic Law, reformed the general morals, and once again laid the foundation of eternal glory for the Israelites.
4734_220952_000019_000001	Moreover, He brought to humanity the glad tidings of universal peace, and spread abroad teachings which were not for Israel alone but were for the general happiness of the whole human race.	Moreover, He brought to humanity the glad tidings of universal peace, and spread abroad teachings which were not for Israel alone but were for the general happiness of the whole human race.
4734_220952_000020_000001	To all outward appearances they overcame Him and brought Him into direst distress.	To all outward appearances they overcame Him and brought Him into direst distress.
4734_220952_000020_000002	At last they crowned Him with the crown of thorns and crucified Him.	At last they crowned Him with the crown of thorns and crucified Him.
4734_220952_000020_000004	Nay, all their standards have been overthrown, while the banner of that Oppressed One has been raised to the zenith.	Nay, all their standards have been overthrown, while the banner of that Oppressed One has been raised to the zenith.
4734_220952_000021_000000	But this is opposed to all the rules of human reason.	But this is opposed to all the rules of human reason.
