8591_284445_000000_000000	[Illustration]	[Illustration]	false	8.4	9.12	22.23601
8591_284445_000022_000000	"Why?" she asked.	"Why?" she asked.	true	295.43	296.62	18.76153
8591_284445_000023_000000	"One of them means to marry him," explained Tiggle.	"One of them means to marry him," explained Tiggle.	false	297.08	299.62	22.394316
8591_284445_000024_000000	"Oh, that's worse than being patched!" cried Trot.	"Oh, that's worse than being patched!" cried Trot.	true	300.02	302.98	24.872334
8591_284445_000025_000000	"Much worse," said Tiggle, with a groan.	"Much worse," said Tiggle, with a groan.	true	303.14	305.71	24.629585
8591_284445_000026_000000	But now an idea occurred to the girl.	But now an idea occurred to the girl.	true	306.5	308.71	23.934374
8591_284445_000027_000000	"Would you like to escape?" she asked the captive.	"Would you like to escape?" she asked the captive.	true	308.99	311.71	25.19214
8591_284445_000028_000000	"I would, indeed!" said he.	"I would, indeed!" said he.	true	311.87	313.69	25.177614
8591_284445_000029_000000	"If I get you out of the palace, can you hide yourself so that you won't be found?"	"If I get you out of the palace, can you hide yourself so that you won't be found?"	true	314.15	318.34	21.847546
8591_284445_000030_000000	"Certainly!" he declared.	"Certainly!" he declared.	true	318.68	320.055	19.602072
8591_284445_000030_000001	"I know a house where I can hide so snugly that all the Boolooroo's soldiers cannot find me."	"I know a house where I can hide so snugly that all the Boolooroo's soldiers cannot find me."	true	320.055	325.06	20
8591_284445_000031_000000	"All right," said Trot; "I'll do it; for when you're gone the Boolooroo will have no one to patch Cap'n Bill to."	"All right," said Trot; "I'll do it; for when you're gone the Boolooroo will have no one to patch Cap'n Bill to."	true	325.49	331.39	21.96896
8591_284445_000032_000000	"He may find some one else," suggested the prisoner.	"He may find some one else," suggested the prisoner.	true	331.73	334.51	20.189133
8591_284445_000033_000000	"But it will take him time to do that, and time is all I want," answered the child.	"But it will take him time to do that, and time is all I want," answered the child.	true	334.79	339.31	22.918499
8591_284445_000033_000001	Even while she spoke Trot was busy with the knots in the cords, and presently she had unbound Tiggle, who soon got upon his feet.	Even while she spoke Trot was busy with the knots in the cords, and presently she had unbound Tiggle, who soon got upon his feet.	true	339.68	347.56	23.576496
8591_284445_000034_000000	"Now, I'll go to one end of the passage and make a noise," said she; "and when the guard runs to see what it is you must run the other way. Outside the palace Jimfred and Fredjim are on guard, but if you tip over the bench they are seated on you can easily escape them."	"Now, I'll go to one end of the passage and make a noise," said she; "and when the guard runs to see what it is you must run the other way. Outside the palace Jimfred and Fredjim are on guard, but if you tip over the bench they are seated on you can easily escape them."	false	347.96	363.85	22.904495
8591_284445_000035_000000	"I'll do that, all right," promised the delighted Tiggle.	"I'll do that, all right," promised the delighted Tiggle.	true	364.16	366.94	25.328854
8591_284445_000035_000001	"You've made a friend of me, little girl, and if ever I can help you I'll do it with pleasure."	"You've made a friend of me, little girl, and if ever I can help you I'll do it with pleasure."	true	367.1	371.86	23.91047
8591_284445_000036_000000	Then Trot started for the door and Tiggle could no longer see her because she was not now touching him.	Then Trot started for the door and Tiggle could no longer see her because she was not now touching him.	true	372.62	378.25	22.430075
8591_284445_000036_000001	The man was much surprised at her disappearance, but listened carefully and when he heard the girl make a noise at one end of the corridor he opened the door and ran in the opposite direction, as he had been told to do.	The man was much surprised at her disappearance, but listened carefully and when he heard the girl make a noise at one end of the corridor he opened the door and ran in the opposite direction, as he had been told to do.	true	378.53	389.74	22.08749
8591_284445_000037_000000	Of course the guard could not discover what made the noise and Trot ran little risk, as she was careful not to let him touch her.	Of course the guard could not discover what made the noise and Trot ran little risk, as she was careful not to let him touch her.	false	390.68	397.72	21.913279
8591_284445_000037_000001	When Tiggle had safely escaped, the little girl wandered through the palace in search of Cap'n Bill, but soon decided such a quest in the dark was likely to fail and she must wait until morning.	When Tiggle had safely escaped, the little girl wandered through the palace in search of Cap'n Bill, but soon decided such a quest in the dark was likely to fail and she must wait until morning.	true	398.51	409.3	22.05517
8591_284445_000037_000002	She was tired, too, and thought she would find a vacant room--of which there were many in the big palace--and go to sleep until daylight.	She was tired, too, and thought she would find a vacant room-of which there were many in the big palace-and go to sleep until daylight.	true	409.67	417.52	22.847198
8591_284445_000037_000003	She remembered there was a comfortable vacant room just opposite the suite of the Six Snubnosed Princesses, so she stole softly up to it and tried the door.	She remembered there was a comfortable vacant room just opposite the suite of the Six Snubnosed Princesses, so she stole softly up to it and tried the door.	true	418.07	427.9	23.095007
8591_284445_000037_000004	It was locked, but the key was outside, as the Blueskins seldom took a door-key away from its place.	It was locked, but the key was outside, as the Blueskins seldom took a door key away from its place.	true	428.12	434.11	24.482477
8591_284445_000037_000005	So she turned the key, opened the door, and walked in.	So she turned the key, opened the door, and walked in.	true	434.42	437.71	26.154026
8591_284445_000038_000000	Now, this was the chamber in which Ghip-Ghisizzle had been confined by the Princesses, his arms being bound tight to his body but his legs left free.	Now, this was the chamber in which g h i p Ghisizzle had been confined by the Princesses, his arms being bound tight to his body but his legs left free.	false	438.71	447.58	24.219563
8591_284445_000038_000001	The Boolooroo in his search had failed to discover what had become of Ghip-Ghisizzle, but the poor man had been worried every minute for fear his retreat would be discovered or that the terrible Princesses would come for him and nag him until he went crazy.	The Boolooroo in his search had failed to discover what had become of g h i p Ghisizzle, but the poor man had been worried every minute for fear his retreat would be discovered or that the terrible Princesses would come for him and nag him until he went crazy.	false	447.98	461.68	23.002142
8591_284445_000038_000002	There was one window in his room and the prisoner had managed to push open the sash with his knees.	There was one window in his room and the prisoner had managed to push open the sash with his knees.	true	462.26	467.8	19
8591_284445_000038_000003	Looking out, he found that a few feet below the window was the broad wall that ran all around the palace gardens.	Looking out, he found that a few feet below the window was the broad wall that ran all around the palace gardens.	true	468.23	475.06	22.358564
8591_284445_000038_000004	A little way to the right the wall joined the wall of the City, being on the same level with it.	A little way to the right the wall joined the wall of the City, being on the same level with it.	true	475.43	480.81	22.737883
8591_284445_000039_000000	Ghip-Ghisizzle had been thinking deeply upon this discovery, and he decided that if anyone entered his room he would get through the window, leap down upon the wall and try in this way to escape.	g h i p Ghisizzle had been thinking deeply upon this discovery, and he decided that if anyone entered his room he would get through the window, leap down upon the wall and try in this way to escape.	false	480.81	493.06	23.9686
8591_284445_000039_000001	It would be a dangerous leap, for as his arms were bound he might topple off the wall into the garden; but he resolved to take this chance.	It would be a dangerous leap, for as his arms were bound he might topple off the wall into the garden; but he resolved to take this chance.	true	493.16	501.1	21.967337
8591_284445_000040_000000	Therefore, when Trot rattled at the door of his room Ghip-Ghisizzle ran and seated himself upon the window-sill, dangling his long legs over the edge.	Therefore, when Trot rattled at the door of his room g h i p Ghisizzle ran and seated himself upon the window sill, dangling his long legs over the edge.	false	501.47	510.82	22.253836
8591_284445_000040_000001	When she finally opened the door he slipped off and let himself fall to the wall, where he doubled up in a heap.	When she finally opened the door he slipped off and let himself fall to the wall, where he doubled up in a heap.	true	511.22	517.57	23.40457
8591_284445_000040_000002	The next minute, however, he had scrambled to his feet and was running swiftly along the garden wall.	The next minute, however, he had scrambled to his feet and was running swiftly along the garden wall.	true	517.85	523.09	23.129917
8591_284445_000041_000000	Trot, finding the window open, came and looked out, and she saw the Majordomo's tall form hastening along the top of the wall.	Trot, finding the window open, came and looked out, and she saw the Majordomo's tall form hastening along the top of the wall.	false	523.79	532.15	23.959051
8591_284445_000041_000001	The guards saw him, too, outlined against the sky in the moonlight, and they began yelling at him to stop; but Ghip-Ghisizzle kept right on until he reached the City Wall, when he began to follow that.	The guards saw him, too, outlined against the sky in the moonlight, and they began yelling at him to stop; but g h i p Ghisizzle kept right on until he reached the City Wall, when he began to follow that.	false	532.52	543.76	22.758736
8591_284445_000041_000002	More guards were yelling, now, running along the foot of the wall to keep the fugitive in sight, and people began to pour out of the houses and join in the chase.	More guards were yelling, now, running along the foot of the wall to keep the fugitive in sight, and people began to pour out of the houses and join in the chase.	true	544.31	552.64	23.716484
8591_284445_000042_000000	Poor Ghip realized that if he kept on the wall he would merely circle the city and finally be caught.	Poor g h i p realized that if he kept on the wall he would merely circle the city and finally be caught.	false	553.28	558.67	22.907833
8591_284445_000042_000001	If he leaped down into the City he would be seized at once.	If he leaped down into the City he would be seized at once.	true	559.01	562.45	21.787268
8591_284445_000042_000002	Just then he came opposite the camp of the Pinkies and decided to trust himself to the mercies of his Earth friends rather than be made a prisoner by his own people, who would obey the commands of their detested but greatly feared Boolooroo.	Just then he came opposite the camp of the Pinkies and decided to trust himself to the mercies of his Earth friends rather than be made a prisoner by his own people, who would obey the commands of their detested but greatly feared Boolooroo.	true	562.94	576.07	23.77541
8591_284445_000042_000003	So, suddenly he gave a mighty leap and came down into the field outside the City.	So, suddenly he gave a mighty leap and came down into the field outside the City.	true	576.71	582.1	23.198797
8591_284445_000042_000004	Again he fell in a heap and rolled over and over, for it was a high wall and the jump a dangerous one; but finally he recovered and got upon his feet, delighted to find he had broken none of his bones.	Again he fell in a heap and rolled over and over, for it was a high wall and the jump a dangerous one; but finally he recovered and got upon his feet, delighted to find he had broken none of his bones.	false	582.38	594.64	22.419071
8591_284445_000043_000000	Some of the Blueskins had by now opened a gate, and out rushed a crowd to capture the fugitive; but Ghip-Ghisizzle made straight for the camp of the Pinkies and his pursuers did not dare follow him far in that direction.	Some of the Blueskins had by now opened a gate, and out rushed a crowd to capture the fugitive; but g h i p Ghisizzle made straight for the camp of the Pinkies and his pursuers did not dare follow him far in that direction.	false	595.25	607.27	23.647156
8591_284445_000043_000001	They soon gave up the chase and returned to the City, while the runaway Majordomo was captured by Captain Coralie and marched away to the tent of Rosalie the Witch, a prisoner of the Pinkies.	They soon gave up the chase and returned to the City, while the runaway Majordomo was captured by Captain Coralie and marched away to the tent of Rosalie the Witch, a prisoner of the Pinkies.	true	607.52	618.72	21.7826
8591_284445_000044_000000	[Illustration]	[Illustration]	false	618.72	618.84	-20
8591_284445_000045_000000	[Illustration]	[Illustration]	false	618.84	618.96	-20
8591_284445_000046_000000	THE GIRL AND THE BOOLOOROO	THE GIRL AND THE b o o l o o r o o	false	618.96	620.64	15.164114
8591_284445_000047_000000	CHAPTER 23.	CHAPTER twenty three.	false	620.64	621.57	20
8591_284445_000048_000000	Trot watched from the window the escape of Ghip-Ghisizzle but did not know, of course, who it was.	Trot watched from the window the escape of g h i p Ghisizzle but did not know, of course, who it was.	false	621.57	624.21	17.995316
8591_284445_000048_000001	Then, after the City had quieted down again, she lay upon the bed without undressing and was sound asleep in a minute.	Then, after the City had quieted down again, she lay upon the bed without undressing and was sound asleep in a minute.	false	624.21	626.85	-20
