8591_284445_000004_000000	All the Blueskins except a few sentries had gone to bed and were sound asleep.	All the Blueskins except a few sentries had gone to bed and were sound asleep.
8591_284445_000015_000000	While they were tussling at the bench, dragging it first here and then there in the trial of strength, Trot opened the door of the palace and walked in.	While they were tussling at the bench, dragging it first here and then there in the trial of strength, Trot opened the door of the palace and walked in.
8591_284445_000015_000001	It was pretty dark in the hall and only a few dim blue lights showed at intervals down the long corridors.	It was pretty dark in the hall and only a few dim blue lights showed at intervals down the long corridors.
8591_284445_000015_000002	As the girl walked through these passages she could hear snores of various degrees coming from behind some of the closed doors and knew that all the regular inmates of the place were sound asleep.	As the girl walked through these passages she could hear snores of various degrees coming from behind some of the closed doors and knew that all the regular inmates of the place were sound asleep.
8591_284445_000015_000003	So she mounted to the upper floor, and thinking she would be likely to find Cap'n Bill in the Room of the Great Knife she went there and tried the door.	So she mounted to the upper floor, and thinking she would be likely to find Cap'n Bill in the Room of the Great Knife she went there and tried the door.
8591_284445_000015_000004	It was locked, but the key had been left on the outside.	It was locked, but the key had been left on the outside.
8591_284445_000015_000005	She waited until the sentry who was pacing the corridor had his back toward her and then she turned the key and slipped within, softly closing the door behind her.	She waited until the sentry who was pacing the corridor had his back toward her and then she turned the key and slipped within, softly closing the door behind her.
8591_284445_000016_000001	After a moment's thought she began feeling her way to the window, stumbling over objects as she went.	After a moment's thought she began feeling her way to the window, stumbling over objects as she went.
8591_284445_000016_000002	Every time she made a noise some one groaned, and that made the child uneasy.	Every time she made a noise some one groaned, and that made the child uneasy.
8591_284445_000017_000000	At last she found a window and managed to open the shutters and let the moonlight in.	At last she found a window and managed to open the shutters and let the moonlight in.
8591_284445_000017_000002	In the center stood the Great Knife which the Boolooroo used to split people in two when he patched them, and at one side was a dark form huddled upon the floor and securely bound.	In the center stood the Great Knife which the Boolooroo used to split people in two when he patched them, and at one side was a dark form huddled upon the floor and securely bound.
8591_284445_000018_000000	Trot hastened to this form and knelt beside it, but was disappointed to find it was only Tiggle.	Trot hastened to this form and knelt beside it, but was disappointed to find it was only Tiggle.
8591_284445_000019_000000	"Oh, it's the Earth Child," said he.	"Oh, it's the Earth Child," said he.
8591_284445_000019_000001	"Are you condemned to be patched, too, little one?"	"Are you condemned to be patched, too, little one?"
8591_284445_000020_000000	"No," answered Trot.	"No," answered Trot.
8591_284445_000020_000001	"Tell me where Cap'n Bill is."	"Tell me where Cap'n Bill is."
8591_284445_000021_000000	"I can't," said Tiggle.	"I can't," said Tiggle.
8591_284445_000021_000001	"The Boolooroo has hidden him until to-morrow morning, when he's to be patched to me.	"The Boolooroo has hidden him until to morrow morning, when he's to be patched to me.
8591_284445_000024_000000	"Oh, that's worse than being patched!" cried Trot.	"Oh, that's worse than being patched!" cried Trot.
8591_284445_000025_000000	"Much worse," said Tiggle, with a groan.	"Much worse," said Tiggle, with a groan.
8591_284445_000026_000000	But now an idea occurred to the girl.	But now an idea occurred to the girl.
8591_284445_000027_000000	"Would you like to escape?" she asked the captive.	"Would you like to escape?" she asked the captive.
8591_284445_000028_000000	"I would, indeed!" said he.	"I would, indeed!" said he.
8591_284445_000029_000000	"If I get you out of the palace, can you hide yourself so that you won't be found?"	"If I get you out of the palace, can you hide yourself so that you won't be found?"
8591_284445_000030_000001	"I know a house where I can hide so snugly that all the Boolooroo's soldiers cannot find me."	"I know a house where I can hide so snugly that all the Boolooroo's soldiers cannot find me."
8591_284445_000031_000000	"All right," said Trot; "I'll do it; for when you're gone the Boolooroo will have no one to patch Cap'n Bill to."	"All right," said Trot; "I'll do it; for when you're gone the Boolooroo will have no one to patch Cap'n Bill to."
8591_284445_000032_000000	"He may find some one else," suggested the prisoner.	"He may find some one else," suggested the prisoner.
8591_284445_000033_000000	"But it will take him time to do that, and time is all I want," answered the child.	"But it will take him time to do that, and time is all I want," answered the child.
8591_284445_000033_000001	Even while she spoke Trot was busy with the knots in the cords, and presently she had unbound Tiggle, who soon got upon his feet.	Even while she spoke Trot was busy with the knots in the cords, and presently she had unbound Tiggle, who soon got upon his feet.
8591_284445_000035_000000	"I'll do that, all right," promised the delighted Tiggle.	"I'll do that, all right," promised the delighted Tiggle.
8591_284445_000035_000001	"You've made a friend of me, little girl, and if ever I can help you I'll do it with pleasure."	"You've made a friend of me, little girl, and if ever I can help you I'll do it with pleasure."
8591_284445_000036_000000	Then Trot started for the door and Tiggle could no longer see her because she was not now touching him.	Then Trot started for the door and Tiggle could no longer see her because she was not now touching him.
8591_284445_000036_000001	The man was much surprised at her disappearance, but listened carefully and when he heard the girl make a noise at one end of the corridor he opened the door and ran in the opposite direction, as he had been told to do.	The man was much surprised at her disappearance, but listened carefully and when he heard the girl make a noise at one end of the corridor he opened the door and ran in the opposite direction, as he had been told to do.
8591_284445_000037_000001	When Tiggle had safely escaped, the little girl wandered through the palace in search of Cap'n Bill, but soon decided such a quest in the dark was likely to fail and she must wait until morning.	When Tiggle had safely escaped, the little girl wandered through the palace in search of Cap'n Bill, but soon decided such a quest in the dark was likely to fail and she must wait until morning.
8591_284445_000037_000002	She was tired, too, and thought she would find a vacant room--of which there were many in the big palace--and go to sleep until daylight.	She was tired, too, and thought she would find a vacant room-of which there were many in the big palace-and go to sleep until daylight.
8591_284445_000037_000003	She remembered there was a comfortable vacant room just opposite the suite of the Six Snubnosed Princesses, so she stole softly up to it and tried the door.	She remembered there was a comfortable vacant room just opposite the suite of the Six Snubnosed Princesses, so she stole softly up to it and tried the door.
8591_284445_000037_000004	It was locked, but the key was outside, as the Blueskins seldom took a door-key away from its place.	It was locked, but the key was outside, as the Blueskins seldom took a door key away from its place.
8591_284445_000037_000005	So she turned the key, opened the door, and walked in.	So she turned the key, opened the door, and walked in.
8591_284445_000038_000003	Looking out, he found that a few feet below the window was the broad wall that ran all around the palace gardens.	Looking out, he found that a few feet below the window was the broad wall that ran all around the palace gardens.
8591_284445_000038_000004	A little way to the right the wall joined the wall of the City, being on the same level with it.	A little way to the right the wall joined the wall of the City, being on the same level with it.
8591_284445_000039_000001	It would be a dangerous leap, for as his arms were bound he might topple off the wall into the garden; but he resolved to take this chance.	It would be a dangerous leap, for as his arms were bound he might topple off the wall into the garden; but he resolved to take this chance.
8591_284445_000040_000001	When she finally opened the door he slipped off and let himself fall to the wall, where he doubled up in a heap.	When she finally opened the door he slipped off and let himself fall to the wall, where he doubled up in a heap.
8591_284445_000040_000002	The next minute, however, he had scrambled to his feet and was running swiftly along the garden wall.	The next minute, however, he had scrambled to his feet and was running swiftly along the garden wall.
8591_284445_000041_000002	More guards were yelling, now, running along the foot of the wall to keep the fugitive in sight, and people began to pour out of the houses and join in the chase.	More guards were yelling, now, running along the foot of the wall to keep the fugitive in sight, and people began to pour out of the houses and join in the chase.
8591_284445_000042_000001	If he leaped down into the City he would be seized at once.	If he leaped down into the City he would be seized at once.
8591_284445_000042_000002	Just then he came opposite the camp of the Pinkies and decided to trust himself to the mercies of his Earth friends rather than be made a prisoner by his own people, who would obey the commands of their detested but greatly feared Boolooroo.	Just then he came opposite the camp of the Pinkies and decided to trust himself to the mercies of his Earth friends rather than be made a prisoner by his own people, who would obey the commands of their detested but greatly feared Boolooroo.
8591_284445_000042_000003	So, suddenly he gave a mighty leap and came down into the field outside the City.	So, suddenly he gave a mighty leap and came down into the field outside the City.
8591_284445_000043_000001	They soon gave up the chase and returned to the City, while the runaway Majordomo was captured by Captain Coralie and marched away to the tent of Rosalie the Witch, a prisoner of the Pinkies.	They soon gave up the chase and returned to the City, while the runaway Majordomo was captured by Captain Coralie and marched away to the tent of Rosalie the Witch, a prisoner of the Pinkies.
