1343_139681_000000_000000	CHAPTER VII--ENGLAND UNDER HAROLD THE SECOND, AND CONQUERED BY THE NORMANS	CHAPTER seven-ENGLAND UNDER HAROLD THE SECOND, AND CONQUERED BY THE NORMANS	false	4.02	30.76	19.942
1343_139681_000009_000000	'What will he give to my friend the King of Norway?' asked the brother.	'What will he give to my friend the King of Norway?' asked the brother.	false	178.67	183.07	19.655567
1343_139681_000010_000000	'Seven feet of earth for a grave,' replied the captain.	'Seven feet of earth for a grave,' replied the captain.	true	183.71	187.09	20.09115
1343_139681_000011_000000	'No more?' returned the brother, with a smile.	'No more?' returned the brother, with a smile.	true	187.7	190.69	20.237469
1343_139681_000012_000000	'The King of Norway being a tall man, perhaps a little more,' replied the captain.	'The King of Norway being a tall man, perhaps a little more,' replied the captain.	true	191.45	196.6	19.102827
1343_139681_000013_000000	'Ride back!' said the brother, 'and tell King Harold to make ready for the fight!'	'Ride back!' said the brother, 'and tell King Harold to make ready for the fight!'	true	197.36	202.51	20.094484
1343_139681_000014_000000	He did so, very soon.	He did so, very soon.	true	203.45	205.48	21.157463
1343_139681_000014_000001	And such a fight King Harold led against that force, that his brother, and the Norwegian King, and every chief of note in all their host, except the Norwegian King's son, Olave, to whom he gave honourable dismissal, were left dead upon the field.	And such a fight King Harold led against that force, that his brother, and the Norwegian King, and every chief of note in all their host, except the Norwegian King's son, Olave, to whom he gave honourable dismissal, were left dead upon the field.	false	205.76	223.57	21.459423
1343_139681_000014_000002	The victorious army marched to York.	The victorious army marched to York.	true	224.48	226.98	19
1343_139681_000014_000003	As King Harold sat there at the feast, in the midst of all his company, a stir was heard at the doors; and messengers all covered with mire from riding far and fast through broken ground came hurrying in, to report that the Normans had landed in England.	As King Harold sat there at the feast, in the midst of all his company, a stir was heard at the doors; and messengers all covered with mire from riding far and fast through broken ground came hurrying in, to report that the Normans had landed in England.	false	226.98	245.5	20.322922
1343_139681_000015_000000	The intelligence was true.	The intelligence was true.	true	247.19	249.01	18.958433
1343_139681_000015_000001	They had been tossed about by contrary winds, and some of their ships had been wrecked.	They had been tossed about by contrary winds, and some of their ships had been wrecked.	true	249.56	255.04	22
1343_139681_000015_000002	A part of their own shore, to which they had been driven back, was strewn with Norman bodies.	A part of their own shore, to which they had been driven back, was strewn with Norman bodies.	true	255.62	261.49	17
1343_139681_000015_000003	But they had once more made sail, led by the Duke's own galley, a present from his wife, upon the prow whereof the figure of a golden boy stood pointing towards England.	But they had once more made sail, led by the Duke's own galley, a present from his wife, upon the prow whereof the figure of a golden boy stood pointing towards England.	true	262.22	273.91	21.065277
1343_139681_000015_000004	By day, the banner of the three Lions of Normandy, the diverse coloured sails, the gilded vans, the many decorations of this gorgeous ship, had glittered in the sun and sunny water; by night, a light had sparkled like a star at her mast-head.	By day, the banner of the three Lions of Normandy, the diverse coloured sails, the gilded vans, the many decorations of this gorgeous ship, had glittered in the sun and sunny water; by night, a light had sparkled like a star at her mast head.	true	274.55	292.48	20.540155
1343_139681_000015_000005	And now, encamped near Hastings, with their leader lying in the old Roman castle of Pevensey, the English retiring in all directions, the land for miles around scorched and smoking, fired and pillaged, was the whole Norman power, hopeful and strong on English ground.	And now, encamped near Hastings, with their leader lying in the old Roman castle of Pevensey, the English retiring in all directions, the land for miles around scorched and smoking, fired and pillaged, was the whole Norman power, hopeful and strong on English ground.	true	293.03	313.33	19.882393
1343_139681_000016_000000	Harold broke up the feast and hurried to London.	Harold broke up the feast and hurried to London.	true	314.99	317.71	22
1343_139681_000016_000001	Within a week, his army was ready.	Within a week, his army was ready.	true	318.17	320.35	20.253214
1343_139681_000016_000002	He sent out spies to ascertain the Norman strength.	He sent out spies to ascertain the Norman strength.	true	320.93	324.49	20.831867
1343_139681_000016_000003	William took them, caused them to be led through his whole camp, and then dismissed.	William took them, caused them to be led through his whole camp, and then dismissed.	true	325.07	330.79	21.403593
1343_139681_000016_000004	'The Normans,' said these spies to Harold, 'are not bearded on the upper lip as we English are, but are shorn.	'The Normans,' said these spies to Harold, 'are not bearded on the upper lip as we English are, but are shorn.	true	331.61	338.98	20
1343_139681_000016_000005	They are priests.' 'My men,' replied Harold, with a laugh, 'will find those priests good soldiers!'	They are priests.' 'My men,' replied Harold, with a laugh, 'will find those priests good soldiers!'	true	339.47	347.02	20.177097
1343_139681_000017_000000	'The Saxons,' reported Duke William's outposts of Norman soldiers, who were instructed to retire as King Harold's army advanced, 'rush on us through their pillaged country with the fury of madmen.'	'The Saxons,' reported Duke William's outposts of Norman soldiers, who were instructed to retire as King Harold's army advanced, 'rush on us through their pillaged country with the fury of madmen.'	true	348.11	361.69	20
1343_139681_000018_000000	'Let them come, and come soon!' said Duke William.	'Let them come, and come soon!' said Duke William.	true	362.48	366.01	19.906498
1343_139681_000019_000000	Some proposals for a reconciliation were made, but were soon abandoned. In the middle of the month of October, in the year one thousand and sixty- six, the Normans and the English came front to front.	Some proposals for a reconciliation were made, but were soon abandoned. In the middle of the month of October, in the year one thousand and sixty six, the Normans and the English came front to front.	true	367.37	382.12	20.875257
1343_139681_000019_000001	All night the armies lay encamped before each other, in a part of the country then called Senlac, now called (in remembrance of them) Battle.	All night the armies lay encamped before each other, in a part of the country then called Senlac, now called (in remembrance of them) Battle.	true	382.88	393.55	21.329601
1343_139681_000019_000002	With the first dawn of day, they arose.	With the first dawn of day, they arose.	false	393.65	396.3	15
1343_139681_000019_000003	There, in the faint light, were the English on a hill; a wood behind them; in their midst, the Royal banner, representing a fighting warrior, woven in gold thread, adorned with precious stones; beneath the banner, as it rustled in the wind, stood King Harold on foot, with two of his remaining brothers by his side; around them, still and silent as the dead, clustered the whole English army--every soldier covered by his shield, and bearing in his hand his dreaded English battle-axe.	There, in the faint light, were the English on a hill; a wood behind them; in their midst, the Royal banner, representing a fighting warrior, woven in gold thread, adorned with precious stones; beneath the banner, as it rustled in the wind, stood King Harold on foot, with two of his remaining brothers by his side; around them, still and silent as the dead, clustered the whole English army-every soldier covered by his shield, and bearing in his hand his dreaded English battle axe.	false	396.3	432.37	19.99209
1343_139681_000020_000000	On an opposite hill, in three lines, archers, foot-soldiers, horsemen, was the Norman force.	On an opposite hill, in three lines, archers, foot soldiers, horsemen, was the Norman force.	true	434.21	441.88	22.18022
1343_139681_000020_000001	Of a sudden, a great battle-cry, 'God help us!' burst from the Norman lines.	Of a sudden, a great battle cry, 'God help us!' burst from the Norman lines.	true	442.79	448.57	19.822927
1343_139681_000020_000002	The English answered with their own battle- cry, 'God's Rood!	The English answered with their own battle cry, 'God's Rood!	true	449.3	453.465	20.739155
1343_139681_000020_000003	Holy Rood!' The Normans then came sweeping down the hill to attack the English.	Holy Rood!' The Normans then came sweeping down the hill to attack the English.	true	453.465	459.28	20.158081
1343_139681_000021_000000	There was one tall Norman Knight who rode before the Norman army on a prancing horse, throwing up his heavy sword and catching it, and singing of the bravery of his countrymen.	There was one tall Norman Knight who rode before the Norman army on a prancing horse, throwing up his heavy sword and catching it, and singing of the bravery of his countrymen.	true	461.09	472.05	20
1343_139681_000021_000001	An English Knight, who rode out from the English force to meet him, fell by this Knight's hand.	An English Knight, who rode out from the English force to meet him, fell by this Knight's hand.	false	472.05	478.87	19.702553
1343_139681_000021_000002	Another English Knight rode out, and he fell too.	Another English Knight rode out, and he fell too.	true	479.63	482.8	20
1343_139681_000021_000003	But then a third rode out, and killed the Norman.	But then a third rode out, and killed the Norman.	true	483.38	486.37	20
1343_139681_000021_000004	This was in the first beginning of the fight.	This was in the first beginning of the fight.	true	487.13	489.67	19
1343_139681_000021_000005	It soon raged everywhere.	It soon raged everywhere.	true	490.25	492.31	17
1343_139681_000022_000000	The English, keeping side by side in a great mass, cared no more for the showers of Norman arrows than if they had been showers of Norman rain. When the Norman horsemen rode against them, with their battle-axes they cut men and horses down.	The English, keeping side by side in a great mass, cared no more for the showers of Norman arrows than if they had been showers of Norman rain. When the Norman horsemen rode against them, with their battle axes they cut men and horses down.	true	493.88	510.49	20
1343_139681_000022_000001	The Normans gave way.	The Normans gave way.	true	510.98	512.53	21
1343_139681_000022_000002	The English pressed forward.	The English pressed forward.	true	512.87	514.63	21.075773
1343_139681_000022_000003	A cry went forth among the Norman troops that Duke William was killed.	A cry went forth among the Norman troops that Duke William was killed.	true	515.12	519.79	20
1343_139681_000022_000004	Duke William took off his helmet, in order that his face might be distinctly seen, and rode along the line before his men.	Duke William took off his helmet, in order that his face might be distinctly seen, and rode along the line before his men.	true	520.22	528.58	20.624207
1343_139681_000022_000005	This gave them courage.	This gave them courage.	true	529.16	530.65	20.77044
1343_139681_000022_000006	As they turned again to face the English, some of their Norman horse divided the pursuing body of the English from the rest, and thus all that foremost portion of the English army fell, fighting bravely.	As they turned again to face the English, some of their Norman horse divided the pursuing body of the English from the rest, and thus all that foremost portion of the English army fell, fighting bravely.	true	531.2	544.9	20
1343_139681_000022_000007	The main body still remaining firm, heedless of the Norman arrows, and with their battle-axes cutting down the crowds of horsemen when they rode up, like forests of young trees, Duke William pretended to retreat.	The main body still remaining firm, heedless of the Norman arrows, and with their battle axes cutting down the crowds of horsemen when they rode up, like forests of young trees, Duke William pretended to retreat.	true	545.66	559.63	20.619564
1343_139681_000022_000008	The eager English followed.	The eager English followed.	true	560.24	562.18	23.414164
1343_139681_000022_000009	The Norman army closed again, and fell upon them with great slaughter.	The Norman army closed again, and fell upon them with great slaughter.	true	562.88	567.4	21
1343_139681_000023_000000	'Still,' said Duke William, 'there are thousands of the English, firms as rocks around their King.	'Still,' said Duke William, 'there are thousands of the English, firms as rocks around their King.	false	568.91	576.4	20.555223
1343_139681_000023_000001	Shoot upward, Norman archers, that your arrows may fall down upon their faces!'	Shoot upward, Norman archers, that your arrows may fall down upon their faces!'	true	576.74	581.74	20
1343_139681_000024_000000	The sun rose high, and sank, and the battle still raged.	The sun rose high, and sank, and the battle still raged.	true	583.61	588.1	20.029438
1343_139681_000024_000001	Through all the wild October day, the clash and din resounded in the air.	Through all the wild October day, the clash and din resounded in the air.	true	588.44	594.01	20
1343_139681_000024_000002	In the red sunset, and in the white moonlight, heaps upon heaps of dead men lay strewn, a dreadful spectacle, all over the ground.	In the red sunset, and in the white moonlight, heaps upon heaps of dead men lay strewn, a dreadful spectacle, all over the ground.	true	594.56	605.02	20.618664
1343_139681_000025_000000	King Harold, wounded with an arrow in the eye, was nearly blind.	King Harold, wounded with an arrow in the eye, was nearly blind.	true	606.11	610.42	17.831099
1343_139681_000025_000001	His brothers were already killed.	His brothers were already killed.	true	610.76	612.85	22.584547
1343_139681_000025_000002	Twenty Norman Knights, whose battered armour had flashed fiery and golden in the sunshine all day long, and now looked silvery in the moonlight, dashed forward to seize the Royal banner from the English Knights and soldiers, still faithfully collected round their blinded King.	Twenty Norman Knights, whose battered armour had flashed fiery and golden in the sunshine all day long, and now looked silvery in the moonlight, dashed forward to seize the Royal banner from the English Knights and soldiers, still faithfully collected round their blinded King.	true	613.37	630.49	18
1343_139681_000025_000003	The King received a mortal wound, and dropped.	The King received a mortal wound, and dropped.	true	631.16	634.33	19
1343_139681_000025_000004	The English broke and fled.	The English broke and fled.	true	635.06	636.88	21.08196
1343_139681_000025_000005	The Normans rallied, and the day was lost.	The Normans rallied, and the day was lost.	true	637.37	640.63	21.66961
1343_139681_000026_000000	O what a sight beneath the moon and stars, when lights were shining in the tent of the victorious Duke William, which was pitched near the spot where Harold fell--and he and his knights were carousing, within--and soldiers with torches, going slowly to and fro, without, sought for the corpse of Harold among piles of dead--and the Warrior, worked in golden thread and precious stones, lay low, all torn and soiled with blood--and the three Norman Lions kept watch over the field!	O what a sight beneath the moon and stars, when lights were shining in the tent of the victorious Duke William, which was pitched near the spot where Harold fell-and he and his knights were carousing, within-and soldiers with torches, going slowly to and fro, without, sought for the corpse of Harold among piles of dead-and the Warrior, worked in golden thread and precious stones, lay low, all torn and soiled with blood-and the three Norman Lions kept watch over the field!	true	642.35	679.56	20.960266
1343_139681_000027_000000	CHAPTER VIII--ENGLAND UNDER WILLIAM THE FIRST, THE NORMAN CONQUEROR	CHAPTER eight-ENGLAND UNDER WILLIAM THE FIRST, THE NORMAN CONQUEROR	false	679.56	680.37	-20
1343_139681_000028_000000	Upon the ground where the brave Harold fell, William the Norman afterwards founded an abbey, which, under the name of Battle Abbey, was a rich and splendid place through many a troubled year, though now it is a grey ruin overgrown with ivy.	Upon the ground where the brave Harold fell, William the Norman afterwards founded an abbey, which, under the name of Battle Abbey, was a rich and splendid place through many a troubled year, though now it is a grey ruin overgrown with ivy.	false	680.37	683.37	21.76668
1343_139681_000028_000001	But the first work he had to do, was to conquer the English thoroughly; and that, as you know by this time, was hard work for any man.	But the first work he had to do, was to conquer the English thoroughly; and that, as you know by this time, was hard work for any man.	false	683.37	685.62	20.068758
