4110_11535_000002_000000	CHAPTER XXI	CHAPTER twenty one
4110_11535_000026_000000	Southward from the position in which they had formed they began to move, the squares and rectangles apparently sliding along the surface of the scarred and broken soil, the globes rolling.	Southward from the position in which they had formed they began to move, the squares and rectangles apparently sliding along the surface of the scarred and broken soil, the globes rolling.
4110_11535_000028_000000	Within a minute, Sarka was conscious of a trembling of all the laboratory, and the eyes of Jaska were wide with fear.	Within a minute, Sarka was conscious of a trembling of all the laboratory, and the eyes of Jaska were wide with fear.
4110_11535_000029_000000	The cube-army struck the dwellings, disappeared into them as though they had been composed of tissue paper, and continued on!	The cube army struck the dwellings, disappeared into them as though they had been composed of tissue paper, and continued on!
4110_11535_000030_000000	"God!" cried Sarka, his voice so tense that both his father and Jaska heard it above the roaring which shook and rocked the world.	"God!" cried Sarka, his voice so tense that both his father and Jaska heard it above the roaring which shook and rocked the world.
4110_11535_000030_000001	"Do you see?	"Do you see?
4110_11535_000030_000002	The Moon-cubes are destroying the dwelling of our people, and the Martians are to destroy the people who have fled!"	The Moon cubes are destroying the dwelling of our people, and the Martians are to destroy the people who have fled!"
4110_11535_000031_000000	"There must be a way," said Sarka the Second quietly, "to circumvent the cubes!	"There must be a way," said Sarka the Second quietly, "to circumvent the cubes!
4110_11535_000031_000001	But what?	But what?
4110_11535_000031_000002	Your will still rules the cubes which piloted you from the Moon?"	Your will still rules the cubes which piloted you from the Moon?"
4110_11535_000032_000000	"Yes," replied Sarka tersely, "but there are only a dozen of the cubes. What can they do against countless millions of them?	"Yes," replied Sarka tersely, "but there are only a dozen of the cubes. What can they do against countless millions of them?
4110_11535_000032_000001	Cubes which are Moon-cubes, brought to the Earth in the heart of that blue column, here reformed to create an army which is invincible, because it cannot be slain!	Cubes which are Moon cubes, brought to the Earth in the heart of that blue column, here reformed to create an army which is invincible, because it cannot be slain!
4110_11535_000032_000003	When they have laid waste the Earth, the Martians have but to finish the fight!"	When they have laid waste the Earth, the Martians have but to finish the fight!"
4110_11535_000034_000000	"Then what of the Spokesmen of the Gens, who will be out of contact with me?"	"Then what of the Spokesmen of the Gens, who will be out of contact with me?"
4110_11535_000035_000000	"They must stand on their own feet, must fight their own battle!	"They must stand on their own feet, must fight their own battle!
4110_11535_000035_000001	Call to you the people who have passed through the white flames, and fight with the distant will of Luar and of Dalis for control of the cube-army!"	Call to you the people who have passed through the white flames, and fight with the distant will of Luar and of Dalis for control of the cube army!"
4110_11535_000036_000000	Again that exaltation, which convinced him he could move mountains with his two hands, coursed through the being of Sarka.	Again that exaltation, which convinced him he could move mountains with his two hands, coursed through the being of Sarka.
4110_11535_000037_000000	Quietly be answered Jaska.	Quietly be answered Jaska.
4110_11535_000038_000000	"I believe you are right," he said softly.	"I believe you are right," he said softly.
4110_11535_000038_000001	"Those of us who have passed through the flames which bore these Moon-cubes will control the cubes, even bend them to our will.	"Those of us who have passed through the flames which bore these Moon cubes will control the cubes, even bend them to our will.
4110_11535_000038_000002	The Spokesmen must vanquish the Martians or perish!"	The Spokesmen must vanquish the Martians or perish!"
4110_11535_000039_000000	Then he sent his mental commands to the Spokesmen:	Then he sent his mental commands to the Spokesmen:
4110_11535_000040_000000	"Meet the Martians when they arrive and destroy or drive them back!	"Meet the Martians when they arrive and destroy or drive them back!
4110_11535_000040_000001	You live only if you win!	You live only if you win!
4110_11535_000040_000002	We speak no more until victory is ours!	We speak no more until victory is ours!
4110_11535_000041_000001	Jaska had thought-spoken them, before he could prevent.	Jaska had thought spoken them, before he could prevent.
4110_11535_000041_000002	He turned upon her, lips shaping a command that she remain behind.	He turned upon her, lips shaping a command that she remain behind.
4110_11535_000041_000003	But she forestalled him.	But she forestalled him.
4110_11535_000042_000000	"I, too, have been through the white flames!	"I, too, have been through the white flames!
