4110_11535_000000_000000	Then he dimmed the lights, indicating that for the moment there was nothing more to be said.	Then he dimmed the lights, indicating that for the moment there was nothing more to be said.	false	0	6.21	21
4110_11535_000008_000002	Since they must know this, we can expect to see the people of Mars themselves when, or soon after, those balls of fire strike the Earth!"	Since they must know this, we can expect to see the people of Mars themselves when, or soon after, those balls of fire strike the Earth!"	true	100.28	109.9	22.176117
4110_11535_000009_000000	Sarka raced back to the room of the Master Beryl as a strident humming came through to him.	Sarka raced back to the room of the Master Beryl as a strident humming came through to him.	true	110.51	117.81	22.70395
4110_11535_000010_000000	The Spokesmen of the Gens whose borders touched those of the devasted Dalis area, were reporting again, and their voices were high pitched with fear that threatened to break the bounds of sanity.	The Spokesmen of the Gens whose borders touched those of the devasted Dalis area, were reporting again, and their voices were high pitched with fear that threatened to break the bounds of sanity.	true	117.81	129.31	20
4110_11535_000011_000000	"The ferment in the devasted area," was the gist of their report, "is assuming myriads of shapes!	"The ferment in the devasted area," was the gist of their report, "is assuming myriads of shapes!	true	129.65	135.915	22.168388
4110_11535_000011_000001	The fused mass has broken up into isolated masses, and each mass of itself is assuming one of the many forms!"	The fused mass has broken up into isolated masses, and each mass of itself is assuming one of the many forms!"	true	135.915	142.72	19
4110_11535_000012_000000	"What forms?" snapped Sarka.	"What forms?" snapped Sarka.	true	143.36	145.14	27.06821
4110_11535_000012_000001	"Quickly!"	"Quickly!"	true	145.14	145.87	32.93139
4110_11535_000013_000000	"Cubes!	"Cubes!	true	146.18	147.255	19.484863
4110_11535_000013_000001	Thousands and millions of cubes, and the cubes themselves are forming into larger cubes, some square, some rectangular!	Thousands and millions of cubes, and the cubes themselves are forming into larger cubes, some square, some rectangular!	true	147.255	155.26	18
4110_11535_000013_000002	In the midst of these formations are others, mostly columnar, each column consisting of cubes which have coalesced into the larger form from the same small cubes!	In the midst of these formations are others, mostly columnar, each column consisting of cubes which have coalesced into the larger form from the same small cubes!	true	155.36	165.49	19
4110_11535_000013_000003	The columnar formations are topped by globes which emit an ethereal radiance!"	The columnar formations are topped by globes which emit an ethereal radiance!"	true	165.56	170.53	20.52134
4110_11535_000014_000000	"Listen!" Sarka's voice was vibrant with excitement.	"Listen!" Sarka's voice was vibrant with excitement.	true	170.9	174.27	24.251312
4110_11535_000014_000001	"Spokesmen of the Gens, make sure that every individual member of your Gens is fully equipped with flying clothing including belts and ovoids--prepared for an indefinite stay outside on the roof of the world!	"Spokesmen of the Gens, make sure that every individual member of your Gens is fully equipped with flying clothing including belts and ovoids-prepared for an indefinite stay outside on the roof of the world!	true	174.27	186.52	20
4110_11535_000014_000002	Get your people out swiftly, keeping them in formation!	Get your people out swiftly, keeping them in formation!	true	186.56	189.82	25.643456
4110_11535_000014_000003	Keep about you those people of Dalis whom I sent you, and understand before you break contact with your Beryls, that instructions received from these people come from me!	Keep about you those people of Dalis whom I sent you, and understand before you break contact with your Beryls, that instructions received from these people come from me!	false	189.98	199.21	19
4110_11535_000014_000004	In turn, after you have quitted the hives, anything you wish to say to me you can repeat to any one of the glowing people of Dalis!"	In turn, after you have quitted the hives, anything you wish to say to me you can repeat to any one of the glowing people of Dalis!"	false	199.4	207.31	22
4110_11535_000015_000000	The contacts were broken.	The contacts were broken.	true	208.46	209.98	30.61073
4110_11535_000015_000001	Sarka stared into the Beryl, glancing swiftly in all directions, to see whether his orders were obeyed.	Sarka stared into the Beryl, glancing swiftly in all directions, to see whether his orders were obeyed.	true	210.35	216.88	21.455767
4110_11535_000016_000000	Out of the myriads of hives were flying the people of all the Gens of Earth, their vast numbers already darkening the roof of the world.	Out of the myriads of hives were flying the people of all the Gens of Earth, their vast numbers already darkening the roof of the world.	true	217.88	226.54	19.99831
4110_11535_000016_000001	The advance fires from Mars seemed to have no effect on them, which Sarka had expected, since the fires seemed to consume nothing they had touched previously.	The advance fires from Mars seemed to have no effect on them, which Sarka had expected, since the fires seemed to consume nothing they had touched previously.	true	226.67	236.02	21.658564
4110_11535_000017_000000	By millions the people came forth.	By millions the people came forth.	true	237.32	239.805	19.22042
4110_11535_000017_000001	People dressed in the clothing of this Gens or that, wearing each the insignia of the house of his Spokesman.	People dressed in the clothing of this Gens or that, wearing each the insignia of the house of his Spokesman.	true	239.805	246.07	20.28747
4110_11535_000017_000002	A brave show.	A brave show.	true	246.2	247.66	21.925348
4110_11535_000017_000003	Sarka could see the faces of many, now in light, now in shadow, as the advance fires of Mars lighted them for a moment in passing, then left them in shadow as the bursting balls of fire faded and died.	Sarka could see the faces of many, now in light, now in shadow, as the advance fires of Mars lighted them for a moment in passing, then left them in shadow as the bursting balls of fire faded and died.	true	247.79	260.68	16
4110_11535_000018_000000	Strange, too, that the fireballs made no noise.	Strange, too, that the fireballs made no noise.	true	261.17	264.4	20.535463
4110_11535_000018_000001	Noiseless flame which rebounded from the surface of the Earth broke in silence, deluging the heavens with shooting stars of great brilliance.	Noiseless flame which rebounded from the surface of the Earth broke in silence, deluging the heavens with shooting stars of great brilliance.	true	264.44	273.91	20.80646
4110_11535_000018_000002	Through its display flew the people of the Gens, mustering in flight above flight, each to his own level, under command of the Spokesmen of the Gens.	Through its display flew the people of the Gens, mustering in flight above flight, each to his own level, under command of the Spokesmen of the Gens.	true	274.34	284.02	24
4110_11535_000019_000000	"How long, father," queried Sarka, "should it take to empty the Gens areas?"	"How long, father," queried Sarka, "should it take to empty the Gens areas?"	true	284.72	290.23	21.894043
4110_11535_000020_000000	"The people of Earth have been waiting for word to go into battle since we first sent the people of Dalis against the Moon-men.	"The people of Earth have been waiting for word to go into battle since we first sent the people of Dalis against the Moon men.	true	291.47	298.27	17
4110_11535_000020_000001	They still are ready!	They still are ready!	false	298.61	300.48	20.108788
4110_11535_000020_000002	The dwellings of our people, _all_ of them, can be emptied within an hour!"	The dwellings of our people, underscore all underscore of them, can be emptied within an hour!"	false	300.48	305.44	21.847103
4110_11535_000021_000000	"I wonder," mused Sarka, "if that is soon enough!"	"I wonder," mused Sarka, "if that is soon enough!"	true	306.53	311.41	23.45964
4110_11535_000022_000000	Perhaps yes, perhaps no.	Perhaps yes, perhaps no	true	312.38	314.76	25.06436
4110_11535_000022_000001	It would be a race, in any case.	It would be a race, in any case.	true	314.76	316.72	20.774776
4110_11535_000022_000002	Sarka divided his attention between the rapidly changing formations of the Moon-cubes in that devasted area and the onrushing charge of the fire-balls from Mars.	Sarka divided his attention between the rapidly changing formations of the Moon cubes in that devasted area and the onrushing charge of the fire balls from Mars.	true	316.73	327.28	14
4110_11535_000022_000003	All were visible to him through the Master Beryl, and from the Observatory, though the Martian fire-balls were now so close that the vanguard of them could even be seen in the Master Beryl, adjusted to view only activities on the surface of the Earth.	All were visible to him through the Master Beryl, and from the Observatory, though the Martian fire balls were now so close that the vanguard of them could even be seen in the Master Beryl, adjusted to view only activities on the surface of the Earth.	false	327.44	343.51	19
4110_11535_000023_000000	Even as the last flights of the Gens of Earth were slipping into the icy air from the roof of the world, the Moon-cubes began their terrifying, appalling attack, every detail of which could be seen by Sarka from the Master Beryl.	Even as the last flights of the Gens of Earth were slipping into the icy air from the roof of the world, the Moon cubes began their terrifying, appalling attack, every detail of which could be seen by Sarka from the Master Beryl.	true	344.27	359.14	22
4110_11535_000024_000000	Those columns, composed of cubes, seemed to be the leaders of a vast cube-army.	Those columns, composed of cubes, seemed to be the leaders of a vast cube army.	true	359.63	365.29	18.7463
4110_11535_000024_000001	The top of each of them was a gleaming globe whose eery light played over the country immediately surrounding each column, their weird light reflected in the squares, rectangles and globes that other cubes had formed.	The top of each of them was a gleaming globe whose eery light played over the country immediately surrounding each column, their weird light reflected in the squares, rectangles and globes that other cubes had formed.	true	365.48	379.27	21
4110_11535_000025_000000	Sarka sought swiftly among the columns for the one which might conceivably be in supreme command; but even as he sought the Moon-cubes moved to the attack.	Sarka sought swiftly among the columns for the one which might conceivably be in supreme command; but even as he sought the Moon cubes moved to the attack.	true	379.79	389.08	20
4110_11535_000025_000001	The globes on the tops of the columns dimmed their lights, and the squares, rectangles and globes got instantly into terrible motion.	The globes on the tops of the columns dimmed their lights, and the squares, rectangles and globes got instantly into terrible motion.	true	389.24	397.33	21.70011
4110_11535_000026_000000	Southward from the position in which they had formed they began to move, the squares and rectangles apparently sliding along the surface of the scarred and broken soil, the globes rolling.	Southward from the position in which they had formed they began to move, the squares and rectangles apparently sliding along the surface of the scarred and broken soil, the globes rolling.	true	397.94	409.63	21.27085
4110_11535_000027_000000	Southward there was the vast wall of the Gens that bordered the devasted area in that direction, and the cube-army was instantly at full charge toward this, in what Sarka realized was, to be a war of demolition!	Southward there was the vast wall of the Gens that bordered the devasted area in that direction, and the cube army was instantly at full charge toward this, in what Sarka realized was, to be a war of demolition!	false	410.45	424.39	21.139154
4110_11535_000028_000000	Within a minute, Sarka was conscious of a trembling of all the laboratory, and the eyes of Jaska were wide with fear.	Within a minute, Sarka was conscious of a trembling of all the laboratory, and the eyes of Jaska were wide with fear.	true	425.45	432.52	21.398466
4110_11535_000028_000001	Swiftly the trembling grew, until sound now was added to the vast, awesome tremor--a vast, roaring crescendo of sound that mounted and mounted as the speed of the cube-army increased.	Swiftly the trembling grew, until sound now was added to the vast, awesome tremor-a vast, roaring crescendo of sound that mounted and mounted as the speed of the cube army increased.	true	432.65	444.93	17
4110_11535_000028_000002	The vanguard of the cube-army struck the dwelling of the Gens southward of that of Dalis, and a mighty, rocketing roar sounded in the Master Beryl, was audible inside the laboratory, even without the aid of the Beryl, at whose surface Sarka stared as a man fascinated, hypnotized.	The vanguard of the cube army struck the dwelling of the Gens southward of that of Dalis, and a mighty, rocketing roar sounded in the Master Beryl, was audible inside the laboratory, even without the aid of the Beryl, at whose surface Sarka stared as a man fascinated, hypnotized.	false	444.93	463.45	22
4110_11535_000029_000000	The cube-army struck the dwellings, disappeared into them as though they had been composed of tissue paper, and continued on!	The cube army struck the dwellings, disappeared into them as though they had been composed of tissue paper, and continued on!	true	464.48	471.85	21.269867
4110_11535_000029_000001	Over the tops of the cube-army toppled the roofs of the dwellings, there, in the midst of the cubes, to be ground to powder, with a sound as of a million avalanches grinding together in some awesome, sun-size valley. Southward, in the wake of the chaotic charge, moved a mighty, gigantic crevasse, whose sides were the walls of the hives left standing.	Over the tops of the cube army toppled the roofs of the dwellings, there, in the midst of the cubes, to be ground to powder, with a sound as of a million avalanches grinding together in some awesome, sun size valley. Southward, in the wake of the chaotic charge, moved a mighty, gigantic crevasse, whose sides were the walls of the hives left standing.	true	471.98	493.9	19
4110_11535_000029_000002	And still the cube-army moved in, grinding everything it touched to dust, trampling buildings into nothingness, destroying utterly along a front hundreds of miles wide, and as deep as the dwellings of men!	And still the cube army moved in, grinding everything it touched to dust, trampling buildings into nothingness, destroying utterly along a front hundreds of miles wide, and as deep as the dwellings of men!	false	493.97	508.36	20
4110_11535_000030_000000	"God!" cried Sarka, his voice so tense that both his father and Jaska heard it above the roaring which shook and rocked the world.	"God!" cried Sarka, his voice so tense that both his father and Jaska heard it above the roaring which shook and rocked the world.	true	509.09	517.23	23.687845
4110_11535_000030_000001	"Do you see?	"Do you see?	true	517.23	518.32	21.044216
4110_11535_000030_000002	The Moon-cubes are destroying the dwelling of our people, and the Martians are to destroy the people who have fled!"	The Moon cubes are destroying the dwelling of our people, and the Martians are to destroy the people who have fled!"	true	518.6	524.74	20
4110_11535_000031_000000	"There must be a way," said Sarka the Second quietly, "to circumvent the cubes!	"There must be a way," said Sarka the Second quietly, "to circumvent the cubes!	true	525.8	531.3	26.911291
4110_11535_000031_000001	But what?	But what?	true	531.3	532.12	26.867558
4110_11535_000031_000002	Your will still rules the cubes which piloted you from the Moon?"	Your will still rules the cubes which piloted you from the Moon?"	true	532.43	536.56	20
4110_11535_000032_000000	"Yes," replied Sarka tersely, "but there are only a dozen of the cubes. What can they do against countless millions of them?	"Yes," replied Sarka tersely, "but there are only a dozen of the cubes. What can they do against countless millions of them?	true	537.02	544.05	24.227139
4110_11535_000032_000001	Cubes which are Moon-cubes, brought to the Earth in the heart of that blue column, here reformed to create an army which is invincible, because it cannot be slain!	Cubes which are Moon cubes, brought to the Earth in the heart of that blue column, here reformed to create an army which is invincible, because it cannot be slain!	true	544.05	553.18	22
4110_11535_000032_000002	It means that the Moon-people themselves, thousands of miles out of our reach, have but to sit in comfort and watch their cube-slaves destroy us!	It means that the Moon people themselves, thousands of miles out of our reach, have but to sit in comfort and watch their cube slaves destroy us!	false	553.43	561.61	20
4110_11535_000032_000003	When they have laid waste the Earth, the Martians have but to finish the fight!"	When they have laid waste the Earth, the Martians have but to finish the fight!"	true	561.77	567.01	23.213945
4110_11535_000033_000000	"If, beloved," said Jaska, "your will commands those twelve cubes, it can also command all the others, for they must be essentially the same. Call on the rebels of Dalis to help you!"	"If, beloved," said Jaska, "your will commands those twelve cubes, it can also command all the others, for they must be essentially the same. Call on the rebels of Dalis to help you!"	true	568.7	583.84	18.612362
4110_11535_000034_000000	"Then what of the Spokesmen of the Gens, who will be out of contact with me?"	"Then what of the Spokesmen of the Gens, who will be out of contact with me?"	true	584.54	588.31	22.763807
4110_11535_000035_000000	"They must stand on their own feet, must fight their own battle!	"They must stand on their own feet, must fight their own battle!	true	588.65	592.18	20.361225
4110_11535_000035_000001	Call to you the people who have passed through the white flames, and fight with the distant will of Luar and of Dalis for control of the cube-army!"	Call to you the people who have passed through the white flames, and fight with the distant will of Luar and of Dalis for control of the cube army!"	true	592.46	601.3	23.017904
4110_11535_000036_000000	Again that exaltation, which convinced him he could move mountains with his two hands, coursed through the being of Sarka.	Again that exaltation, which convinced him he could move mountains with his two hands, coursed through the being of Sarka.	true	602.36	610.51	25.466854
4110_11535_000037_000000	Quietly be answered Jaska.	Quietly be answered Jaska.	true	611.03	613.42	22.171553
4110_11535_000038_000000	"I believe you are right," he said softly.	"I believe you are right," he said softly.	true	613.91	616.81	20.884993
4110_11535_000038_000001	"Those of us who have passed through the flames which bore these Moon-cubes will control the cubes, even bend them to our will.	"Those of us who have passed through the flames which bore these Moon cubes will control the cubes, even bend them to our will.	true	617	626.59	21.52174
4110_11535_000038_000002	The Spokesmen must vanquish the Martians or perish!"	The Spokesmen must vanquish the Martians or perish!"	true	627.56	632.47	23.691675
4110_11535_000039_000000	Then he sent his mental commands to the Spokesmen:	Then he sent his mental commands to the Spokesmen:	true	632.75	635.65	21
4110_11535_000040_000000	"Meet the Martians when they arrive and destroy or drive them back!	"Meet the Martians when they arrive and destroy or drive them back!	true	636.08	640.51	20.022192
4110_11535_000040_000001	You live only if you win!	You live only if you win!	true	640.7	643.18	21.451147
4110_11535_000040_000002	We speak no more until victory is ours!	We speak no more until victory is ours!	true	643.88	646.74	26.293596
4110_11535_000040_000003	People of the Gens of Dalis, go to the areas being devasted by the cubes, taking your cubes and aircars with you, and I will join you there!	People of the Gens of Dalis, go to the areas being devasted by the cubes, taking your cubes and aircars with you, and I will join you there!	true	646.74	655.56	19
4110_11535_000040_000004	_And Jaska with me!_"	underscore And Jaska with me!underscore"	false	655.56	659.19	20.293558
4110_11535_000041_000000	Sarka had not himself mentally spoken the last four words.	Sarka had not himself mentally spoken the last four words.	true	659.19	662.86	19
4110_11535_000041_000001	Jaska had thought-spoken them, before he could prevent.	Jaska had thought spoken them, before he could prevent.	true	662.96	666.61	29.132677
4110_11535_000041_000002	He turned upon her, lips shaping a command that she remain behind.	He turned upon her, lips shaping a command that she remain behind.	true	666.74	671.71	22
4110_11535_000041_000003	But she forestalled him.	But she forestalled him.	true	671.78	673.48	21.40382
4110_11535_000042_000000	"I, too, have been through the white flames!	"I, too, have been through the white flames!	true	674.15	677.89	20
4110_11535_000042_000001	You may have need of all of us!"	You may have need of all of us!"	false	678.17	694.68	17.871468
