207_131203_000001_000000	CHAPTER XVII.	CHAPTER seventeen.
207_131203_000009_000000	And he laid himself down at full length on old Diamond's back.	And he laid himself down at full length on old Diamond's back.
207_131203_000010_000001	One of them lifted him down, and from that time he was a greater favourite than before.	One of them lifted him down, and from that time he was a greater favourite than before.
207_131203_000010_000002	And if ever there was a boy who had a chance of being a prodigy at cab-driving, Diamond was that boy, for the strife came to be who should have him out with him on the box.	And if ever there was a boy who had a chance of being a prodigy at cab driving, Diamond was that boy, for the strife came to be who should have him out with him on the box.
207_131203_000011_000000	His mother, however, was a little shy of the company for him, and besides she could not always spare him.	His mother, however, was a little shy of the company for him, and besides she could not always spare him.
207_131203_000011_000001	Also his father liked to have him himself when he could; so that he was more desired than enjoyed among the cabmen.	Also his father liked to have him himself when he could; so that he was more desired than enjoyed among the cabmen.
207_131203_000012_000001	Of course there was the man always on the box-seat beside him, but before long there was seldom the least occasion to take the reins from out of his hands.	Of course there was the man always on the box seat beside him, but before long there was seldom the least occasion to take the reins from out of his hands.
207_131203_000012_000002	For one thing he never got frightened, and consequently was never in too great a hurry.	For one thing he never got frightened, and consequently was never in too great a hurry.
207_131203_000013_000000	One day, which was neither washing-day, nor cleaning-day nor marketing-day, nor Saturday, nor Monday--upon which consequently Diamond could be spared from the baby--his father took him on his own cab.	One day, which was neither washing day, nor cleaning day nor marketing day, nor Saturday, nor Monday-upon which consequently Diamond could be spared from the baby-his father took him on his own cab.
207_131203_000013_000001	After a stray job or two by the way, they drew up in the row upon the stand between Cockspur Street and Pall Mall.	After a stray job or two by the way, they drew up in the row upon the stand between Cockspur Street and Pall Mall.
207_131203_000014_000000	"Though, to be sure," said Diamond's father--with what truth I cannot say, but he believed what he said--"some ladies is very hard, and keeps you to the bare sixpence a mile, when every one knows that ain't enough to keep a family and a cab upon.	"Though, to be sure," said Diamond's father-with what truth I cannot say, but he believed what he said-"some ladies is very hard, and keeps you to the bare sixpence a mile, when every one knows that ain't enough to keep a family and a cab upon.
207_131203_000014_000001	To be sure it's the law; but mayhap they may get more law than they like some day themselves."	To be sure it's the law; but mayhap they may get more law than they like some day themselves."
207_131203_000015_000000	As it was very hot, Diamond's father got down to have a glass of beer himself, and give another to the old waterman.	As it was very hot, Diamond's father got down to have a glass of beer himself, and give another to the old waterman.
207_131203_000015_000001	He left Diamond on the box.	He left Diamond on the box.
207_131203_000016_000000	A sudden noise got up, and Diamond looked round to see what was the matter.	A sudden noise got up, and Diamond looked round to see what was the matter.
207_131203_000017_000000	There was a crossing near the cab-stand, where a girl was sweeping.	There was a crossing near the cab stand, where a girl was sweeping.
207_131203_000017_000001	Some rough young imps had picked a quarrel with her, and were now hauling at her broom to get it away from her.	Some rough young imps had picked a quarrel with her, and were now hauling at her broom to get it away from her.
207_131203_000018_000000	Diamond was off his box in a moment, and running to the help of the girl.	Diamond was off his box in a moment, and running to the help of the girl.
207_131203_000018_000001	He got hold of the broom at her end and pulled along with her.	He got hold of the broom at her end and pulled along with her.
207_131203_000018_000003	But presently his father came back, and missing Diamond, looked about.	But presently his father came back, and missing Diamond, looked about.
207_131203_000018_000004	He had to look twice, however, before he could be sure that that was his boy in the middle of the tumult.	He had to look twice, however, before he could be sure that that was his boy in the middle of the tumult.
207_131203_000018_000006	The girl thanked Diamond, and began sweeping as if nothing had happened, while his father led him away.	The girl thanked Diamond, and began sweeping as if nothing had happened, while his father led him away.
207_131203_000018_000007	With the help of old Tom, the waterman, he was soon washed into decency, and his father set him on the box again, perfectly satisfied with the account he gave of the cause of his being in a fray.	With the help of old Tom, the waterman, he was soon washed into decency, and his father set him on the box again, perfectly satisfied with the account he gave of the cause of his being in a fray.
207_131203_000019_000000	"I couldn't let them behave so to a poor girl--could I, father?" he said.	"I couldn't let them behave so to a poor girl-could I, father?" he said.
207_131203_000020_000000	"Certainly not, Diamond," said his father, quite pleased, for Diamond's father was a gentleman.	"Certainly not, Diamond," said his father, quite pleased, for Diamond's father was a gentleman.
207_131203_000021_000001	cab!"	cab!"
207_131203_000022_000000	Diamond's father turned instantly, for he was the foremost in the rank, and followed the girl.	Diamond's father turned instantly, for he was the foremost in the rank, and followed the girl.
207_131203_000022_000002	When they reached the curbstone--who should it be waiting for the cab but Mrs. and Miss Coleman!	When they reached the curbstone-who should it be waiting for the cab but mrs and Miss Coleman!
207_131203_000022_000003	They did not look at the cabman, however.	They did not look at the cabman, however.
207_131203_000023_000000	When they reached the house, Diamond's father got down and rang the bell.	When they reached the house, Diamond's father got down and rang the bell.
207_131203_000023_000002	The ladies both stared for a moment, and then exclaimed together:	The ladies both stared for a moment, and then exclaimed together:
207_131203_000024_000000	"Why, Joseph! can it be you?"	"Why, Joseph! can it be you?"
207_131203_000025_000000	"Yes, ma'am; yes, miss," answered he, again touching his hat, with all the respect he could possibly put into the action.	"Yes, ma'am; yes, miss," answered he, again touching his hat, with all the respect he could possibly put into the action.
207_131203_000025_000001	"It's a lucky day which I see you once more upon it."	"It's a lucky day which I see you once more upon it."
207_131203_000026_000000	"Who would have thought it?" said Mrs. Coleman.	"Who would have thought it?" said mrs Coleman.
207_131203_000026_000001	"It's changed times for both of us, Joseph, and it's not very often we can have a cab even; but you see my daughter is still very poorly, and she can't bear the motion of the omnibuses.	"It's changed times for both of us, Joseph, and it's not very often we can have a cab even; but you see my daughter is still very poorly, and she can't bear the motion of the omnibuses.
207_131203_000026_000002	Indeed we meant to walk a bit first before we took a cab, but just at the corner, for as hot as the sun was, a cold wind came down the street, and I saw that Miss Coleman must not face it.	Indeed we meant to walk a bit first before we took a cab, but just at the corner, for as hot as the sun was, a cold wind came down the street, and I saw that Miss Coleman must not face it.
207_131203_000026_000003	But to think we should have fallen upon you, of all the cabmen in London!	But to think we should have fallen upon you, of all the cabmen in London!
207_131203_000026_000004	I didn't know you had got a cab."	I didn't know you had got a cab."
207_131203_000028_000000	The two ladies went near to pat the horse, and then they noticed Diamond on the box.	The two ladies went near to pat the horse, and then they noticed Diamond on the box.
207_131203_000029_000000	"Why, you've got both Diamonds with you," said Miss Coleman.	"Why, you've got both Diamonds with you," said Miss Coleman.
207_131203_000029_000001	"How do you do, Diamond?"	"How do you do, Diamond?"
207_131203_000030_000000	Diamond lifted his cap, and answered politely.	Diamond lifted his cap, and answered politely.
207_131203_000031_000000	"He'll be fit to drive himself before long," said his father, proudly. "The old horse is a-teaching of him."	"He'll be fit to drive himself before long," said his father, proudly. "The old horse is a teaching of him."
207_131203_000032_000000	"Well, he must come and see us, now you've found us out.	"Well, he must come and see us, now you've found us out.
207_131203_000032_000001	Where do you live?"	Where do you live?"
207_131203_000033_000000	Diamond's father gave the ladies a ticket with his name and address printed on it; and then Mrs. Coleman took out her purse, saying:	Diamond's father gave the ladies a ticket with his name and address printed on it; and then mrs Coleman took out her purse, saying:
207_131203_000034_000000	"And what's your fare, Joseph?"	"And what's your fare, Joseph?"
207_131203_000035_000000	"No, thank you, ma'am," said Joseph.	"No, thank you, ma'am," said Joseph.
207_131203_000035_000001	"It was your own old horse as took you; and me you paid long ago."	"It was your own old horse as took you; and me you paid long ago."
207_131203_000036_000000	He jumped on his box before she could say another word, and with a parting salute drove off, leaving them on the pavement, with the maid holding the door for them.	He jumped on his box before she could say another word, and with a parting salute drove off, leaving them on the pavement, with the maid holding the door for them.
207_131203_000037_000000	It was a long time now since Diamond had seen North Wind, or even thought much about her.	It was a long time now since Diamond had seen North Wind, or even thought much about her.
207_131203_000037_000004	Only he had been to the back of the north wind since--there could be no doubt of that; for when he woke every morning, he always knew that he had been there again.	Only he had been to the back of the north wind since-there could be no doubt of that; for when he woke every morning, he always knew that he had been there again.
207_131203_000037_000005	And as he thought and thought, he recalled another thing that had happened that morning, which, although it seemed a mere accident, might have something to do with what had happened since.	And as he thought and thought, he recalled another thing that had happened that morning, which, although it seemed a mere accident, might have something to do with what had happened since.
207_131203_000037_000006	His father had intended going on the stand at King's Cross that morning, and had turned into Gray's Inn Lane to drive there, when they found the way blocked up, and upon inquiry were informed that a stack of chimneys had been blown down in the night, and had fallen across the road.	His father had intended going on the stand at King's Cross that morning, and had turned into Gray's Inn Lane to drive there, when they found the way blocked up, and upon inquiry were informed that a stack of chimneys had been blown down in the night, and had fallen across the road.
207_131203_000037_000008	Diamond's father turned, and made for Charing Cross.	Diamond's father turned, and made for Charing Cross.
207_131203_000038_000000	That night the father and mother had a great deal to talk about.	That night the father and mother had a great deal to talk about.
207_131203_000039_000000	"Poor things!" said the mother.	"Poor things!" said the mother.
207_131203_000043_000001	What has that to do with it?"	What has that to do with it?"
207_131203_000045_000001	"Really, Diamond, a body would need to mind what they say to you."	"Really, Diamond, a body would need to mind what they say to you."
207_131203_000046_000000	"Why?" said Diamond.	"Why?" said Diamond.
207_131203_000049_000001	No, thank Heaven! she's not come to that."	No, thank Heaven! she's not come to that."
207_131203_000050_000000	"Is it a great disgrace to be poor?" asked Diamond, because of the tone in which his mother had spoken.	"Is it a great disgrace to be poor?" asked Diamond, because of the tone in which his mother had spoken.
