3046_148993_000000_000000	Chapter 19.	Chapter nineteen.	true	13.65	14.91	18
3046_148993_000015_000001	The arrival of his happy cousins had scattered all his wise plans and brave resolutions to wait still longer.	The arrival of his happy cousins had scattered all his wise plans and brave resolutions to wait still longer.	true	231.77	238.48	16
3046_148993_000015_000002	The Christmas play had given him courage to hope, and the oration today had filled him with tender pride; but the sight of those blooming brides and beaming grooms was too much for him, and he panted to secure his Alice without an hour's delay.	The Christmas play had given him courage to hope, and the oration today had filled him with tender pride; but the sight of those blooming brides and beaming grooms was too much for him, and he panted to secure his Alice without an hour's delay.	true	238.91	252.94	19
3046_148993_000015_000003	Daisy was his confidante in all things but this; a brotherly feeling of sympathy had kept him from telling her his hopes, because her own were forbidden.	Daisy was his confidante in all things but this; a brotherly feeling of sympathy had kept him from telling her his hopes, because her own were forbidden.	true	253.73	262.84	19.472647
3046_148993_000015_000004	His mother was rather jealous of any girl he admired; but knowing that she liked Alice, he loved on and enjoyed his secret alone, meaning soon to tell her all about it.	His mother was rather jealous of any girl he admired; but knowing that she liked Alice, he loved on and enjoyed his secret alone, meaning soon to tell her all about it.	true	263.27	273.61	18
3046_148993_000016_000000	Now suddenly Josie and the rose-bush seemed to suggest a speedy end to his tender perplexities; and he was moved to accept her aid as the netted lion did that of the mouse.	Now suddenly Josie and the rose bush seemed to suggest a speedy end to his tender perplexities; and he was moved to accept her aid as the netted lion did that of the mouse.	true	274.01	285.73	17
3046_148993_000017_000000	'I think I'll write,' he was slowly beginning, after a pause during which both were trying to strike out a new and brilliant idea.	'I think I'll write,' he was slowly beginning, after a pause during which both were trying to strike out a new and brilliant idea.	true	286.37	293.59	18.361645
3046_148993_000018_000000	'I've got it! perfectly lovely!	'I've got it! perfectly lovely!	true	293.81	296.59	22.482515
3046_148993_000018_000001	just suit her, and you too, being a poet!' cried Josie, with a skip.	just suit her, and you too, being a poet!' cried Josie, with a skip.	true	296.6	300.49	20
3046_148993_000019_000000	'What is it?	'What is it?	true	300.56	301.42	26.268362
3046_148993_000019_000001	Don't be ridiculous, please,' begged the bashful lover, eager, but afraid of this sharp-tongued bit of womanhood.	Don't be ridiculous, please,' begged the bashful lover, eager, but afraid of this sharp tongued bit of womanhood.	true	301.43	308.65	21.164906
3046_148993_000020_000000	'I read in one of Miss Edgeworth's stories about a man who offers three roses to his lady--a bud, a half-blown, and a full-blown rose.	'I read in one of Miss Edgeworth's stories about a man who offers three roses to his lady-a bud, a half blown, and a full blown rose.	true	309.2	318.37	19
3046_148993_000020_000001	I don't remember which she took; but it's a pretty way; and Alice knows about it because she was there when we read it.	I don't remember which she took; but it's a pretty way; and Alice knows about it because she was there when we read it.	true	318.83	324.97	19.635141
3046_148993_000020_000002	Here are all kinds; you've got the two buds, pick the sweetest rose you can find, and I'll tie them up and put them in her room.	Here are all kinds; you've got the two buds, pick the sweetest rose you can find, and I'll tie them up and put them in her room.	false	325.28	333.46	22.020554
3046_148993_000020_000003	She is coming to dress with Daisy, so I can do it nicely.'	She is coming to dress with Daisy, so I can do it nicely.'	true	333.59	336.85	20
3046_148993_000021_000000	Demi mused a moment with his eyes on the bridal bush, and a smile came over his face so unlike any it had ever worn before, that Josie was touched, and looked away as if she had no right to see the dawn of the great passion which, while it lasts, makes a young man as happy as a god.	Demi mused a moment with his eyes on the bridal bush, and a smile came over his face so unlike any it had ever worn before, that Josie was touched, and looked away as if she had no right to see the dawn of the great passion which, while it lasts, makes a young man as happy as a god.	false	337.55	355.03	20
3046_148993_000022_000000	'Do it,' was all he said, and gathered a full-blown rose to finish his floral love-message.	'Do it,' was all he said, and gathered a full blown rose to finish his floral love message.	true	355.31	361	18.55376
3046_148993_000023_000000	Charmed to have a finger in this romantic pie, Josie tied a graceful bow of ribbon about the stems, and finished her last nosegay with much content, while Demi wrote upon a card:	Charmed to have a finger in this romantic pie, Josie tied a graceful bow of ribbon about the stems, and finished her last nosegay with much content, while Demi wrote upon a card:	false	361.4	373.12	22
3046_148993_000024_000000	DEAR ALICE, You know what the flowers mean.	DEAR ALICE, You know what the flowers mean.	true	373.19	376.63	20.279993
3046_148993_000024_000001	Will you wear one, or all tonight, and make me still prouder, fonder, and happier than I am?	Will you wear one, or all tonight, and make me still prouder, fonder, and happier than I am?	false	376.64	383.43	19.214962
3046_148993_000025_000000	Yours entirely,	Yours entirely,	true	383.43	385.03	17
3046_148993_000026_000000	JOHN	john	true	385.1	385.96	15.267333
3046_148993_000027_000000	Offering this to his sister, he said in a tone that made her feel the deep importance of her mission:	Offering this to his sister, he said in a tone that made her feel the deep importance of her mission:	true	386.33	391.81	16
3046_148993_000028_000000	'I trust you, Jo.	'I trust you, Jo.	true	392.24	393.67	20.813316
3046_148993_000028_000001	This means everything to me.	This means everything to me.	true	393.8	395.56	19
3046_148993_000028_000002	No jokes, dear, if you love me.'	No jokes, dear, if you love me.'	true	395.84	398.02	20.030706
3046_148993_000029_000000	Josie's answer was a kiss that promised all things; and then she ran away to do her 'gentle spiriting', like Ariel, leaving Demi to dream among the roses like Ferdinand.	Josie's answer was a kiss that promised all things; and then she ran away to do her 'gentle spiriting', like Ariel, leaving Demi to dream among the roses like Ferdinand.	false	398.54	409.54	17
3046_148993_000030_000000	Mary and Ludmilla were charmed with their bouquets; and the giver had the delight of putting some of the flowers into the dark hair and the light as she played maid at the toilettes of 'our brides', which consoled her for a disappointment in the matter of veils.	Mary and Ludmilla were charmed with their bouquets; and the giver had the delight of putting some of the flowers into the dark hair and the light as she played maid at the toilettes of 'our brides', which consoled her for a disappointment in the matter of veils.	false	410.15	425.89	19
3046_148993_000031_000000	No one helped Alice dress; for Daisy was in the next room with her mother; and not even their loving eyes saw the welcome which the little posy received, nor the tears and smiles and blushes that came and went as she read the note and pondered what answer she should give.	No one helped Alice dress; for Daisy was in the next room with her mother; and not even their loving eyes saw the welcome which the little posy received, nor the tears and smiles and blushes that came and went as she read the note and pondered what answer she should give.	false	426.65	442.36	18
3046_148993_000031_000001	There was no doubt about the one she wished to give; but duty held her back; for at home there was an invalid mother and an old father.	There was no doubt about the one she wished to give; but duty held her back; for at home there was an invalid mother and an old father.	true	443.15	450.855	18
3046_148993_000031_000002	She was needed there, with all the help she could now bring by the acquirements four years of faithful study had given her.	She was needed there, with all the help she could now bring by the acquirements four years of faithful study had given her.	true	450.855	458.08	17
3046_148993_000031_000003	Love looked very sweet, and a home of her own with John a little heaven on earth; but not yet.	Love looked very sweet, and a home of her own with john a little heaven on earth; but not yet.	true	458.54	464.205	19
3046_148993_000031_000004	And she slowly laid away the full-blown rose as she sat before the mirror, thinking over the great question of her life.	And she slowly laid away the full blown rose as she sat before the mirror, thinking over the great question of her life.	true	464.205	471.25	19.86639
3046_148993_000032_000000	Was it wise and kind to ask him to wait, to bind him by any promise, or even to put into words the love and honour she felt for him?	Was it wise and kind to ask him to wait, to bind him by any promise, or even to put into words the love and honour she felt for him?	true	471.89	480.61	20.946625
3046_148993_000032_000001	No; it would be more generous to make the sacrifice alone, and spare him the pain of hope deferred.	No; it would be more generous to make the sacrifice alone, and spare him the pain of hope deferred.	true	480.95	487.96	21.406834
3046_148993_000032_000002	He was young; he would forget; and she would do her duty better, perhaps, if no impatient lover waited for her.	He was young; he would forget; and she would do her duty better, perhaps, if no impatient lover waited for her.	true	488.21	495.49	20.019293
3046_148993_000032_000003	With eyes that saw but dimly, and a hand that lingered on the stem he had stripped of thorns, she laid the half-blown flower by the rose, and asked herself if even the little bud might be worn.	With eyes that saw but dimly, and a hand that lingered on the stem he had stripped of thorns, she laid the half blown flower by the rose, and asked herself if even the little bud might be worn.	true	496.1	508.66	21.907564
3046_148993_000032_000004	It looked very poor and pale beside the others; yet being in the self-sacrificing mood which real love brings, she felt that even a small hope was too much to give, if she could not follow it up with more.	It looked very poor and pale beside the others; yet being in the self sacrificing mood which real love brings, she felt that even a small hope was too much to give, if she could not follow it up with more.	true	509.33	522.43	23.820997
3046_148993_000033_000000	As she sat looking sadly down on the symbols of an affection that grew dearer every moment, she listened half unconsciously to the murmur of voices in the adjoining room.	As she sat looking sadly down on the symbols of an affection that grew dearer every moment, she listened half unconsciously to the murmur of voices in the adjoining room.	true	523.07	533.65	21.646097
3046_148993_000033_000001	Open windows, thin partitions, and the stillness of summer twilight made it impossible to help hearing, and in a few moments more she could not refrain; for they were talking of John.	Open windows, thin partitions, and the stillness of summer twilight made it impossible to help hearing, and in a few moments more she could not refrain; for they were talking of john.	true	533.99	547.12	22.446194
3046_148993_000034_000000	'So nice of Ludmilla to bring us all bottles of real German cologne! Just what we need after this tiring day!	'So nice of Ludmilla to bring us all bottles of real German cologne! Just what we need after this tiring day!	true	547.88	555.64	19.542301
3046_148993_000034_000001	Be sure John has his!	Be sure john has his!	true	556.01	557.745	19
3046_148993_000034_000002	He likes it so!'	He likes it so!'	false	557.745	559.09	28.808437
3046_148993_000035_000000	'Yes, mother.	'Yes, mother.	true	559.73	560.77	24.033575
3046_148993_000035_000001	Did you see him jump up when Alice ended her oration? He'd have gone to her if I hadn't held him back.	Did you see him jump up when Alice ended her oration? He'd have gone to her if I hadn't held him back.	true	561.05	567.69	21.362032
3046_148993_000035_000002	I don't wonder he was pleased and proud.	I don't wonder he was pleased and proud.	true	567.69	570.105	26.977737
3046_148993_000035_000003	I spoilt my gloves clapping, and quite forgot my dislike of seeing women on platforms, she was so earnest and unconscious and sweet after the first moment.'	I spoilt my gloves clapping, and quite forgot my dislike of seeing women on platforms, she was so earnest and unconscious and sweet after the first moment.'	true	570.105	579.16	25.634836
3046_148993_000036_000000	'Has he said anything to you, dear?'	'Has he said anything to you, dear?'	true	579.62	581.47	18.864176
3046_148993_000037_000000	'No; and I guess why.	'No; and I guess why.	true	581.87	584.08	22.223564
3046_148993_000037_000001	The kind boy thinks it would make me unhappy.	The kind boy thinks it would make me unhappy.	true	584.3	587.14	21.540108
3046_148993_000037_000002	It wouldn't.	It wouldn't.	true	587.21	588.31	22.735323
3046_148993_000037_000003	But I know his ways; so I wait, and hope all will go well with him.'	But I know his ways; so I wait, and hope all will go well with him.'	true	588.32	592.33	19.897657
3046_148993_000038_000000	'It must.	'It must.	true	592.55	593.62	20.582813
3046_148993_000038_000001	No girl in her senses would refuse our John, though he isn't rich, and never will be.	No girl in her senses would refuse our john, though he isn't rich, and never will be.	false	593.81	599.17	21.223999
3046_148993_000038_000002	Daisy, I've been longing to tell you what he did with his money.	Daisy, I've been longing to tell you what he did with his money.	true	599.24	603.18	19.118458
3046_148993_000038_000003	He told me last night, and I've had no time since to tell you.	He told me last night, and I've had no time since to tell you.	true	603.18	607.69	20.756617
3046_148993_000038_000004	He sent poor young Barton to the hospital, and kept him there till his eyes were saved--a costly thing to do.	He sent poor young Barton to the hospital, and kept him there till his eyes were saved-a costly thing to do.	false	608.21	615.46	22.216894
3046_148993_000038_000005	But the man can work now and care for his old parents.	But the man can work now and care for his old parents.	false	616.31	619.45	25.369057
3046_148993_000038_000006	He was in despair, sick and poor, and too proud to beg; and our dear boy found it out, and took every penny he had, and never told even his mother till she made him.'	He was in despair, sick and poor, and too proud to beg; and our dear boy found it out, and took every penny he had, and never told even his mother till she made him.'	true	619.79	630.34	23.42609
3046_148993_000039_000000	Alice did not hear what Daisy answered, for she was busy with her own emotions--happy ones now, to judge from the smile that shone in her eyes and the decided gesture with which she put the little bud in her bosom, as if she said: 'He deserves some reward for that good deed, and he shall have it.'	Alice did not hear what Daisy answered, for she was busy with her own emotions-happy ones now, to judge from the smile that shone in her eyes and the decided gesture with which she put the little bud in her bosom, as if she said: 'He deserves some reward for that good deed, and he shall have it.'	true	630.98	649.84	20.787195
3046_148993_000040_000000	Mrs Meg was speaking, and still of John, when she could hear again:	Mrs Meg was speaking, and still of john, when she could hear again:	true	650.39	654.61	22.978674
3046_148993_000041_000000	'Some people would call it unwise and reckless, when John has so little; but I think his first investment a safe and good one, for "he who giveth to the poor lendeth to the Lord"; and I was so pleased and proud, I wouldn't spoil it by offering him a penny.'	'Some people would call it unwise and reckless, when john has so little; but I think his first investment a safe and good one, for "he who giveth to the poor lendeth to the Lord"; and I was so pleased and proud, I wouldn't spoil it by offering him a penny.'	false	654.95	672.94	22.481056
3046_148993_000042_000000	'It is his having nothing to offer that keeps him silent, I think.	'It is his having nothing to offer that keeps him silent, I think.	true	673.91	678.19	20.164333
3046_148993_000042_000001	He is so honest, he won't ask till he has much to give.	He is so honest, he won't ask till he has much to give.	false	678.2	682.03	21.39222
3046_148993_000042_000002	But he forgets that love is everything.	But he forgets that love is everything.	true	682.1	684.55	20.7204
3046_148993_000042_000003	I know he's rich in that; I see and feel it; and any woman should be glad to get it.'	I know he's rich in that; I see and feel it; and any woman should be glad to get it.'	true	684.74	690.97	20.764875
3046_148993_000043_000000	'Right, dear.	'Right, dear.	true	691.34	692.59	26.834805
3046_148993_000043_000001	I felt just so, and was willing to work and wait with and for my John.'	I felt just so, and was willing to work and wait with and for my john.'	false	692.93	698.35	24.495768
3046_148993_000044_000000	'So she will be, and I hope they will find it out.	'So she will be, and I hope they will find it out.	true	698.87	702.46	21.27857
3046_148993_000044_000001	But she is so dutiful and good, I'm afraid she won't let herself be happy.	But she is so dutiful and good, I'm afraid she won't let herself be happy.	true	702.62	707.14	22.617516
3046_148993_000044_000002	You would like it, mother?'	You would like it, mother?'	true	707.51	708.97	23.813576
3046_148993_000045_000000	'Heartily; for a better, nobler girl doesn't live.	'Heartily; for a better, nobler girl doesn't live.	true	709.31	713.47	22.740849
3046_148993_000045_000001	She is all I want for my son; and I don't mean to lose the dear, brave creature if I can help it.	She is all I want for my son; and I don't mean to lose the dear, brave creature if I can help it.	true	713.48	719.68	23.145727
3046_148993_000045_000002	Her heart is big enough for both love and duty; and they can wait more happily if they do it together--for wait they must, of course.'	Her heart is big enough for both love and duty; and they can wait more happily if they do it together-for wait they must, of course.'	true	720.26	728.77	25.395433
3046_148993_000046_000000	'I'm so glad his choice suits you, mother, and he is spared the saddest sort of disappointment.'	'I'm so glad his choice suits you, mother, and he is spared the saddest sort of disappointment.'	true	729.26	735.13	21.37668
3046_148993_000047_000000	Daisy's voice broke there; and a sudden rustle, followed by a soft murmur, seemed to tell that she was in her mother's arms, seeking and finding comfort there.	Daisy's voice broke there; and a sudden rustle, followed by a soft murmur, seemed to tell that she was in her mother's arms, seeking and finding comfort there.	true	735.83	746.14	21.950373
3046_148993_000048_000000	Alice heard no more, and shut her window with a guilty feeling but a shining face; for the proverb about listeners failed here, and she had learned more than she dared to hope.	Alice heard no more, and shut her window with a guilty feeling but a shining face; for the proverb about listeners failed here, and she had learned more than she dared to hope.	true	746.9	757.51	19.727198
3046_148993_000048_000001	Things seemed to change suddenly; she felt that her heart was large enough for both love and duty; she knew now that she would be welcomed by mother and sister; and the memory of Daisy's less happy fate, Nat's weary probation, the long delay, and possible separation for ever--all came before her so vividly that prudence seemed cruelty; self-sacrifice, sentimental folly; and anything but the whole truth, disloyalty to her lover.	Things seemed to change suddenly; she felt that her heart was large enough for both love and duty; she knew now that she would be welcomed by mother and sister; and the memory of Daisy's less happy fate, Nat's weary probation, the long delay, and possible separation for ever-all came before her so vividly that prudence seemed cruelty; self sacrifice, sentimental folly; and anything but the whole truth, disloyalty to her lover.	true	757.58	786.61	22.894072
3046_148993_000048_000002	As she thought thus, the half-blown rose went to join the bud; and then, after a pause, she slowly kissed the perfect rose, and added it to the tell-tale group, saying to herself with a sort of sweet solemnity, as if the words were a vow:	As she thought thus, the half blown rose went to join the bud; and then, after a pause, she slowly kissed the perfect rose, and added it to the tell tale group, saying to herself with a sort of sweet solemnity, as if the words were a vow:	true	787.19	802.98	22.873499
3046_148993_000049_000000	'I'll love and work and wait with and for my John.'	'I'll love and work and wait with and for my john.'	false	802.98	807.16	22.34737
3046_148993_000050_000000	It was well for her that Demi was absent when she stole down to join the guests who soon began to flow through the house in a steady stream. The new brightness which touched her usually thoughtful face was easily explained by the congratulations she received as orator, and the slight agitation observable, when a fresh batch of gentlemen approached soon passed, as none of them noticed the flowers she wore over a very happy heart.	It was well for her that Demi was absent when she stole down to join the guests who soon began to flow through the house in a steady stream. The new brightness which touched her usually thoughtful face was easily explained by the congratulations she received as orator, and the slight agitation observable, when a fresh batch of gentlemen approached soon passed, as none of them noticed the flowers she wore over a very happy heart.	true	808.22	835.3	21.67837
3046_148993_000050_000001	Demi meantime was escorting certain venerable personages about the college, and helping his grandfather entertain them with discussion of the Socratic method of instruction, Pythagoras, Pestalozzi, Froebel, and the rest, whom he devoutly wished at the bottom of the Red Sea, and no wonder, for his head and his heart were full of love and roses, hopes and fears.	Demi meantime was escorting certain venerable personages about the college, and helping his grandfather entertain them with discussion of the Socratic method of instruction, Pythagoras, Pestalozzi, Froebel, and the rest, whom he devoutly wished at the bottom of the Red Sea, and no wonder, for his head and his heart were full of love and roses, hopes and fears.	true	836.21	858.91	21.71949
3046_148993_000050_000002	He piloted the 'potent, grave, and reverend seigniors' safely down to Plumfield at last, and landed them before his uncle and aunt Bhaer, who were receiving in state, the one full of genuine delight in all men and things, the other suffering martyrdom with a smile, as she stood shaking hand after hand, and affecting utter unconsciousness of the sad fact that ponderous Professor Plock had camped upon the train of her state and festival velvet gown.	He piloted the 'potent, grave, and reverend seigniors' safely down to Plumfield at last, and landed them before his uncle and aunt Bhaer, who were receiving in state, the one full of genuine delight in all men and things, the other suffering martyrdom with a smile, as she stood shaking hand after hand, and affecting utter unconsciousness of the sad fact that ponderous Professor Plock had camped upon the train of her state and festival velvet gown.	false	859.04	890.44	22.666254
3046_148993_000051_000000	With a long sigh of relief Demi glanced about him for the beloved girl. Most persons would have looked some time before any particular angel could be discovered among the white-robed throng in parlours, hall, and study; but his eye went--like the needle to the pole--to the corner where a smooth dark head, with its braided crown, rose like a queen's, he thought, above the crowd which surrounded her.	With a long sigh of relief Demi glanced about him for the beloved girl. Most persons would have looked some time before any particular angel could be discovered among the white robed throng in parlours, hall, and study; but his eye went-like the needle to the pole-to the corner where a smooth dark head, with its braided crown, rose like a queen's, he thought, above the crowd which surrounded her.	false	891.29	917.2	21.319704
3046_148993_000051_000001	Yes, she has a flower at her throat; one, two, oh, blessed sight! he saw it all across the room, and gave a rapturous sigh which caused Miss Perry's frizzled crop to wave with a sudden gust.	Yes, she has a flower at her throat; one, two, oh, blessed sight! he saw it all across the room, and gave a rapturous sigh which caused Miss Perry's frizzled crop to wave with a sudden gust.	true	917.54	932.98	22.307426
3046_148993_000051_000002	He did not see the rose, for it was hidden by a fold of lace; and it was well, perhaps, that bliss came by instalments, or he might have electrified the assembled multitude by flying to his idol, there being no Daisy to clutch him by the coat-tail. A stout lady, thirsting for information, seized him at that thrilling moment, and he was forced to point out celebrities with a saintly patience which deserved a better reward than it received; for a certain absence of mind and incoherence of speech at times caused the ungrateful dowager to whisper to the first friend she met after he had escaped:	He did not see the rose, for it was hidden by a fold of lace; and it was well, perhaps, that bliss came by instalments, or he might have electrified the assembled multitude by flying to his idol, there being no Daisy to clutch him by the coat tail. A stout lady, thirsting for information, seized him at that thrilling moment, and he was forced to point out celebrities with a saintly patience which deserved a better reward than it received; for a certain absence of mind and incoherence of speech at times caused the ungrateful dowager to whisper to the first friend she met after he had escaped:	false	933.5	972.76	21.287638
3046_148993_000052_000000	'I saw no wine at any of the spreads; but it is plain that young Brooke has had too much.	'I saw no wine at any of the spreads; but it is plain that young Brooke has had too much.	true	972.92	978.82	21.68535
3046_148993_000052_000001	Quite gentlemanly, but evidently a trifle intoxicated, my dear.'	Quite gentlemanly, but evidently a trifle intoxicated, my dear.'	true	978.86	983.49	23.211655
3046_148993_000053_000000	Ah, so he was! but with a diviner wine than any that ever sparkled at a class-day lunch, though many collegians know the taste of it; and when the old lady was disposed of, he gladly turned to find the young one, bent on having a single word.	Ah, so he was! but with a diviner wine than any that ever sparkled at a class day lunch, though many collegians know the taste of it; and when the old lady was disposed of, he gladly turned to find the young one, bent on having a single word.	false	983.49	1000.69	20.70166
3046_148993_000053_000001	He saw her standing by the piano now, idly turning over music as she talked with several gentlemen.	He saw her standing by the piano now, idly turning over music as she talked with several gentlemen.	true	1000.88	1007.44	21.461689
3046_148993_000053_000002	Hiding his impatience under an air of scholastic repose, Demi hovered near, ready to advance when the happy moment came, wondering meantime why elderly persons persisted in absorbing young ones instead of sensibly sitting in corners with their contemporaries.	Hiding his impatience under an air of scholastic repose, Demi hovered near, ready to advance when the happy moment came, wondering meantime why elderly persons persisted in absorbing young ones instead of sensibly sitting in corners with their contemporaries.	true	1007.81	1026.04	20.750528
3046_148993_000053_000003	The elderly persons in question retired at length, but only to be replaced by two impetuous youths who begged Miss Heath to accompany them to Parnassus and join the dance. Demi thirsted for their blood, but was appeased by hearing George and Dolly say, as they lingered a moment after her refusal:	The elderly persons in question retired at length, but only to be replaced by two impetuous youths who begged Miss Heath to accompany them to Parnassus and join the dance. Demi thirsted for their blood, but was appeased by hearing George and Dolly say, as they lingered a moment after her refusal:	true	1026.53	1045.84	22.853354
3046_148993_000054_000000	'Really, you know, I'm quite converted to co-education and almost wish I'd remained here.	'Really, you know, I'm quite converted to co education and almost wish I'd remained here.	true	1046.03	1052.17	21.151072
3046_148993_000054_000001	It gives a grace to study, a sort of relish even to Greek to see charming girls at it,' said Stuffy, who found the feast of learning so dry, any sauce was welcome; and he felt as if he had discovered a new one.	It gives a grace to study, a sort of relish even to Greek to see charming girls at it,' said Stuffy, who found the feast of learning so dry, any sauce was welcome; and he felt as if he had discovered a new one.	false	1052.27	1064.95	21.689232
