7294_86026_000002_000000	The Sacred Milk of Koumongoe	The Sacred Milk of Koumongoe
7294_86026_000039_000000	Why do you give to the ogre Your child, so fair, so fair?	Why do you give to the ogre Your child, so fair, so fair?
7294_86026_000040_000000	'You had better ask her, replied the man, 'she is old enough to answer for herself.'	'You had better ask her, replied the man, 'she is old enough to answer for herself.'
7294_86026_000043_000000	And the gazelles all cried: 'Wretched man! it is you whom the ogre should eat, and not your beautiful daughter.'	And the gazelles all cried: 'Wretched man! it is you whom the ogre should eat, and not your beautiful daughter.'
7294_86026_000044_000000	At last they arrived at the village where the ogre lived, and they went straight to his hut.	At last they arrived at the village where the ogre lived, and they went straight to his hut.
7294_86026_000044_000002	He ordered his servants to bring a pile of skins for Thakane to sit on, but told her father he must sit on the ground.	He ordered his servants to bring a pile of skins for Thakane to sit on, but told her father he must sit on the ground.
7294_86026_000046_000001	At first he did not know what to make of this strange feeling, for all his life he had hated women, and had refused several brides whom his parents had chosen for him.	At first he did not know what to make of this strange feeling, for all his life he had hated women, and had refused several brides whom his parents had chosen for him.
7294_86026_000047_000001	But when her mother-in-law saw it was a girl, she wrung her hands and wept, saying:	But when her mother in law saw it was a girl, she wrung her hands and wept, saying:
7294_86026_000048_000000	'O miserable mother!	'O miserable mother!
7294_86026_000048_000001	Miserable child!	Miserable child!
7294_86026_000048_000002	Alas for you! why were you not a boy!'	Alas for you! why were you not a boy!'
7294_86026_000051_000000	'But it is not the customer in MY country!	'But it is not the customer in MY country!
7294_86026_000051_000001	There, when children die, they are buried in the earth.	There, when children die, they are buried in the earth.
7294_86026_000051_000002	No one shall take my baby from me.'	No one shall take my baby from me.'
7294_86026_000052_000001	Here, hidden from everyone, she sat down on a stone and began to think what she should do to save her child.	Here, hidden from everyone, she sat down on a stone and began to think what she should do to save her child.
7294_86026_000053_000000	Suddenly she heard a rustling among the willows, and an old woman appeared before her.	Suddenly she heard a rustling among the willows, and an old woman appeared before her.
7294_86026_000054_000000	'What are you crying for, my dear?' said she.	'What are you crying for, my dear?' said she.
7294_86026_000056_000000	'What you say is true,' replied the old woman.	'What you say is true,' replied the old woman.
7294_86026_000056_000001	'Give me your child, and let me take care of it.	'Give me your child, and let me take care of it.
7294_86026_000056_000002	And if you will fix a day to meet me here I will bring the baby.'	And if you will fix a day to meet me here I will bring the baby.'
7294_86026_000058_000001	As soon as she got there, she crouched down among the willows, and sang softly:	As soon as she got there, she crouched down among the willows, and sang softly:
7294_86026_000059_000000	Bring to me Dilah, Dilah the rejected one, Dilah, whom her father Masilo cast out!	Bring to me Dilah, Dilah the rejected one, Dilah, whom her father Masilo cast out!
7294_86026_000060_000001	At last she felt she must return to the village, lest she should be missed, and the child was handed back to the old woman, who vanished with her into the lake.	At last she felt she must return to the village, lest she should be missed, and the child was handed back to the old woman, who vanished with her into the lake.
7294_86026_000061_000001	Her mother came to visit her whenever she was able, and one day, when they were sitting talking together, they were spied out by a man who had come to cut willows to weave into baskets.	Her mother came to visit her whenever she was able, and one day, when they were sitting talking together, they were spied out by a man who had come to cut willows to weave into baskets.
7294_86026_000061_000002	He was so surprised to see how like the face of the girl was to Masilo, that he left his work and returned to the village.	He was so surprised to see how like the face of the girl was to Masilo, that he left his work and returned to the village.
7294_86026_000062_000000	'Masilo,' he said, as he entered the hut, 'I have just beheld your wife near the river with a girl who must be your daughter, she is so like you.	'Masilo,' he said, as he entered the hut, 'I have just beheld your wife near the river with a girl who must be your daughter, she is so like you.
7294_86026_000062_000001	We have been deceived, for we all thought she was dead.'	We have been deceived, for we all thought she was dead.'
7294_86026_000064_000000	'But what shall we do now?' asked he.	'But what shall we do now?' asked he.
7294_86026_000067_000000	'Well, you can go,' answered he.	'Well, you can go,' answered he.
7294_86026_000068_000000	Bring to me Dilah, Dilah the rejected one, Dilah, whom her father Masilo cast out!	Bring to me Dilah, Dilah the rejected one, Dilah, whom her father Masilo cast out!
7294_86026_000069_000000	Then the old woman came out of the water, holding the girl, now tall and slender, by the hand.	Then the old woman came out of the water, holding the girl, now tall and slender, by the hand.
7294_86026_000069_000001	And as Masilo looked, he saw that she was indeed his daughter, and he wept for joy that she was not lying dead in the bottom of the lake.	And as Masilo looked, he saw that she was indeed his daughter, and he wept for joy that she was not lying dead in the bottom of the lake.
7294_86026_000069_000003	I will not leave the girl to-day, but will take her back with me'; and sinking beneath the surface, she drew the girl after her.	I will not leave the girl to day, but will take her back with me'; and sinking beneath the surface, she drew the girl after her.
7294_86026_000070_000000	All the rest of the day he sat in a corner weeping, and his mother who came in asked: 'Why are you weeping so bitterly, my son?'	All the rest of the day he sat in a corner weeping, and his mother who came in asked: 'Why are you weeping so bitterly, my son?'
7294_86026_000071_000000	'My head aches,' he answered; 'it aches very badly.' And his mother passed on, and left him alone.	'My head aches,' he answered; 'it aches very badly.' And his mother passed on, and left him alone.
7294_86026_000072_000000	In the evening he said to his wife: 'I have seen my daughter, in the place where you told me you had drowned her.	In the evening he said to his wife: 'I have seen my daughter, in the place where you told me you had drowned her.
7294_86026_000073_000000	'I don't know what you are talking about,' replied Thakane. 'I buried my child under the sand on the beach.'	'I don't know what you are talking about,' replied Thakane. 'I buried my child under the sand on the beach.'
7294_86026_000074_000000	Then Masilo implored her to give the child back to him; but she would not listen, and only answered: 'If I were to give her back you would only obey the laws of your country and take her to your father, the ogre, and she would be eaten.'	Then Masilo implored her to give the child back to him; but she would not listen, and only answered: 'If I were to give her back you would only obey the laws of your country and take her to your father, the ogre, and she would be eaten.'
7294_86026_000075_000000	But Masilo promised that he would never let his father see her, and that now she was a woman no one would try to hurt her; so Thakane's heart melted, and she went down to the lake to consult the old woman.	But Masilo promised that he would never let his father see her, and that now she was a woman no one would try to hurt her; so Thakane's heart melted, and she went down to the lake to consult the old woman.
7294_86026_000076_000000	'What am I to do?' she asked, when, after clapping her hands, the old woman appeared before her.	'What am I to do?' she asked, when, after clapping her hands, the old woman appeared before her.
7294_86026_000077_000000	'If I let her go he must pay me a thousand head of cattle in exchange,' replied the old woman.	'If I let her go he must pay me a thousand head of cattle in exchange,' replied the old woman.
7294_86026_000078_000000	'Why, I would gladly give her two thousand!' cried he, 'for she has saved my daughter.' And he bade messengers hasten to all the neighbouring villages, and tell his people to send him at once all the cattle he possessed.	'Why, I would gladly give her two thousand!' cried he, 'for she has saved my daughter.' And he bade messengers hasten to all the neighbouring villages, and tell his people to send him at once all the cattle he possessed.
7294_86026_000078_000001	When they were all assembled he chose a thousand of the finest bulls and cows, and drove them down to the river, followed by a great crowd wondering what would happen.	When they were all assembled he chose a thousand of the finest bulls and cows, and drove them down to the river, followed by a great crowd wondering what would happen.
7294_86026_000080_000000	Bring to me Dilah, Dilah the rejected one, Dilah, whom her father Masilo cast out!	Bring to me Dilah, Dilah the rejected one, Dilah, whom her father Masilo cast out!
