4899_32658_000001_000000	XXIV.	twenty four.
4899_32658_000004_000007	Off came my apron, and up two pairs of stairs I ran; after a long search it came to light.	Off came my apron, and up two pairs of stairs I ran; after a long search it came to light.
4899_32658_000004_000008	Work resumed; door-bell again.	Work resumed; door bell again.
4899_32658_000004_000009	Aunty wanted the children to come to an early dinner.	Aunty wanted the children to come to an early dinner.
4899_32658_000004_000011	Bridget had let the milk I was going to use boil over, and finally burn up.	Bridget had let the milk I was going to use boil over, and finally burn up.
4899_32658_000004_000012	I was annoyed and irritated, and already tired,. and did not see how I was to get more, as Mary was cleaning the silver (to be sure, there is not much of it), and had other extra Saturday work to do.	I was annoyed and irritated, and already tired,. and did not see how I was to get more, as Mary was cleaning the silver (to be sure, there is not much of it), and had other extra Saturday work to do.
4899_32658_000004_000015	It isn't good for him, and how much precious time is wasted over just this one thing?" However, I reflected, that arbitrarily refusing to indulge him in this respect is not exactly my mission as his wife; he is perfectly well, and likes his little luxuries as well as other people do.	It isn't good for him, and how much precious time is wasted over just this one thing?" However, I reflected, that arbitrarily refusing to indulge him in this respect is not exactly my mission as his wife; he is perfectly well, and likes his little luxuries as well as other people do.
4899_32658_000004_000016	So I humbled my pride and asked Bridget to go for the milk, which she did, in a lofty way of her own.	So I humbled my pride and asked Bridget to go for the milk, which she did, in a lofty way of her own.
4899_32658_000004_000017	While she was gone the marketing came home, and I had everything to dispose of.	While she was gone the marketing came home, and I had everything to dispose of.
4899_32658_000004_000018	Ernest had sent home some apples, which plainly said, "I want some apple pie, Katy." I looked nervously at the clock, and undertook to gratify him.	Ernest had sent home some apples, which plainly said, "I want some apple pie, Katy." I looked nervously at the clock, and undertook to gratify him.
4899_32658_000005_000000	At last I got through with the kitchen, the Sunday dinner being well under way, and ran upstairs to put away the host of little garments the children had left when they took their flight, and to make myself presentable at lunch.	At last I got through with the kitchen, the Sunday dinner being well under way, and ran upstairs to put away the host of little garments the children had left when they took their flight, and to make myself presentable at lunch.
4899_32658_000005_000001	Then I began to be uneasy lest Ernest should not be punctual, and Mary be delayed; but he came just as the clock struck one.	Then I began to be uneasy lest Ernest should not be punctual, and Mary be delayed; but he came just as the clock struck one.
4899_32658_000005_000002	I ran joyfully to meet him, very glad now that I had something good to give him.	I ran joyfully to meet him, very glad now that I had something good to give him.
4899_32658_000005_000005	She had a fashionable young lady with her, a stranger to me, as well as a Miss Somebody else, from Albany, whose name I did not catch.	She had a fashionable young lady with her, a stranger to me, as well as a Miss Somebody else, from Albany, whose name I did not catch.
4899_32658_000006_000000	"Now be bright and animated, and like yourself," she whispered, "for I have brought these girls here on purpose to hear you talk, and they are prepared to fall in love with you on the spot"	"Now be bright and animated, and like yourself," she whispered, "for I have brought these girls here on purpose to hear you talk, and they are prepared to fall in love with you on the spot"
4899_32658_000007_000000	This speech sufficed to shut my mouth.	This speech sufficed to shut my mouth.
4899_32658_000008_000000	Mary had to get ready for these unexpected guests, whose appetites proved equal to a raid on a good many things besides bread and butter.	Mary had to get ready for these unexpected guests, whose appetites proved equal to a raid on a good many things besides bread and butter.
4899_32658_000008_000001	Mrs. Fry said, after she had devoured nearly half a loaf of cake, that she would really try to eat a morsel more, which Ernest remarked, dryly, was a great triumph of mind over matter.	mrs Fry said, after she had devoured nearly half a loaf of cake, that she would really try to eat a morsel more, which Ernest remarked, dryly, was a great triumph of mind over matter.
4899_32658_000008_000002	As they talked and 'laughed and ate leisurely on, Mary stood looking the picture of despair.	As they talked and 'laughed and ate leisurely on, Mary stood looking the picture of despair.
4899_32658_000008_000004	Winthrop, from Brooklyn, one of Ernest's patients a few years ago, when she lived here.	Winthrop, from Brooklyn, one of Ernest's patients a few years ago, when she lived here.
4899_32658_000008_000005	She professed herself greatly indebted to him, and said she had come at this hour because she should make sure of seeing him.	She professed herself greatly indebted to him, and said she had come at this hour because she should make sure of seeing him.
4899_32658_000009_000000	Ernest did not receive his "favorite" with any special warmth; but invited her out to lunch and gallanted her to the table we had just left.	Ernest did not receive his "favorite" with any special warmth; but invited her out to lunch and gallanted her to the table we had just left.
4899_32658_000009_000001	Just like a man!	Just like a man!
4899_32658_000009_000002	Poor Mary! she had to fly round and get up what she could; Mrs. Winthrop devoted herself to Ernest with a persistent ignoring of me that I thought rude and unwomanly.	Poor Mary! she had to fly round and get up what she could; mrs Winthrop devoted herself to Ernest with a persistent ignoring of me that I thought rude and unwomanly.
4899_32658_000009_000005	"But she contrives to read the reports of all the murders, of which the newspapers are full."	"But she contrives to read the reports of all the murders, of which the newspapers are full."
4899_32658_000010_000001	Helen came home, and Mary went.	Helen came home, and Mary went.
4899_32658_000010_000002	I gave Helen an account of my morning; she laughed heartily, and it did me good to hear that musical sound once more.	I gave Helen an account of my morning; she laughed heartily, and it did me good to hear that musical sound once more.
4899_32658_000011_000001	It isn't living to live so.	It isn't living to live so.
4899_32658_000011_000002	Who is the better for my being in the world since six o'clock this morning?"	Who is the better for my being in the world since six o'clock this morning?"
4899_32658_000012_000000	"I am for one," she said, kissing my hot cheeks; "and you have given a great deal of pleasure to several persons.	"I am for one," she said, kissing my hot cheeks; "and you have given a great deal of pleasure to several persons.
4899_32658_000012_000001	Your and Ernest's hospitality is always graceful.	Your and Ernest's hospitality is always graceful.
4899_32658_000013_000000	At the dinner-table Ernest complimented me on my good housekeeping.	At the dinner table Ernest complimented me on my good housekeeping.
4899_32658_000015_000000	"And yet you said that outrageous thing about my reading about nothing but murders!" I said.	"And yet you said that outrageous thing about my reading about nothing but murders!" I said.
4899_32658_000016_000000	"Oh, well, you understood it," he said, laughingly.	"Oh, well, you understood it," he said, laughingly.
4899_32658_000017_000000	"But that dreadful Mrs. Winthrop took it literally."	"But that dreadful mrs Winthrop took it literally."
4899_32658_000018_000000	"What do we care for Mrs. Winthrop?" he returned.	"What do we care for mrs Winthrop?" he returned.
4899_32658_000018_000001	"If you could have seen the contrast between you two in my eyes!"	"If you could have seen the contrast between you two in my eyes!"
4899_32658_000019_000000	After all, one must take life as it comes, its homely details are so mixed up with its sweet charities, and loves, and friendships that one is forced to believe that God has joined them together and does not will that they should be put asunder.	After all, one must take life as it comes, its homely details are so mixed up with its sweet charities, and loves, and friendships that one is forced to believe that God has joined them together and does not will that they should be put asunder.
4899_32658_000019_000001	It is something that my husband has been satisfied with his wife and his home to-day; that does me good.	It is something that my husband has been satisfied with his wife and his home to day; that does me good.
4899_32658_000020_000001	It must, be delightful to feel well and strong while one's children are young, there is so much to do for them.	It must, be delightful to feel well and strong while one's children are young, there is so much to do for them.
4899_32658_000020_000002	I do it; but no one can tell the effort, it costs me. What a contrast there is between their vitality and the languor under which I suffer!	I do it; but no one can tell the effort, it costs me. What a contrast there is between their vitality and the languor under which I suffer!
4899_32658_000020_000004	As I sat with this precious little group about me, Ernest opened the door, looked in, gravely and without a word, and instantly disappeared.	As I sat with this precious little group about me, Ernest opened the door, looked in, gravely and without a word, and instantly disappeared.
4899_32658_000020_000006	Was I indulging the children too much, or what was it?	Was I indulging the children too much, or what was it?
4899_32658_000022_000000	Oh, I am glad I have got this written down!	Oh, I am glad I have got this written down!
4899_32658_000023_000000	APRIL 1.-This has been a sad day to our church.	april first.-This has been a sad day to our church.
4899_32658_000023_000001	Our dear Dr. Cabot has gone to his eternal home, and left us as sheep without a shepherd.	Our dear dr Cabot has gone to his eternal home, and left us as sheep without a shepherd.
4899_32658_000024_000000	His death was sudden at the last and found us all unprepared for it. But my tears of sorrow are mingled with tears of joy.	His death was sudden at the last and found us all unprepared for it. But my tears of sorrow are mingled with tears of joy.
4899_32658_000024_000002	Poor Mrs. Cabot!	Poor mrs Cabot!
4899_32658_000024_000003	She is left very desolate, for all their children are married and settled at a distance.	She is left very desolate, for all their children are married and settled at a distance.
4899_32658_000024_000004	But she bears this sorrow like one who has long felt herself a pilgrim and a stranger on earth.	But she bears this sorrow like one who has long felt herself a pilgrim and a stranger on earth.
4899_32658_000024_000005	How strange that we ever forget that we are all such!	How strange that we ever forget that we are all such!
4899_32658_000025_000000	APRIL 16.-The desolate pilgrimage was not long.	april sixteenth.-The desolate pilgrimage was not long.
4899_32658_000026_000001	I find it hard not to wish and pray that I may as speedily follow my precious husband, should God call him away first.	I find it hard not to wish and pray that I may as speedily follow my precious husband, should God call him away first.
4899_32658_000026_000002	But it is not for me to choose.	But it is not for me to choose.
4899_32658_000027_000001	Almost all the disappointments and sorrows of my life have had their Christian sympathy, particularly the daily, wasting solicitude concerning my darling Una, for they to watched for years over as delicate a flower, and saw it fade and die.	Almost all the disappointments and sorrows of my life have had their Christian sympathy, particularly the daily, wasting solicitude concerning my darling Una, for they to watched for years over as delicate a flower, and saw it fade and die.
4899_32658_000027_000002	Only those who have suffered thus can appreciate the heart-soreness through which, no matter how outwardly cheerful I may be, I am always passing.	Only those who have suffered thus can appreciate the heart soreness through which, no matter how outwardly cheerful I may be, I am always passing.
4899_32658_000027_000003	But what then!	But what then!
4899_32658_000027_000004	Have I not ten thousand times made this my prayer, that in the words of Leighton, my will might become, identical with God's will."	Have I not ten thousand times made this my prayer, that in the words of Leighton, my will might become, identical with God's will."
4899_32658_000028_000001	Something seemed to say, this captive sings in his cage because it has never known liberty, and cannot regret a lost freedom.	Something seemed to say, this captive sings in his cage because it has never known liberty, and cannot regret a lost freedom.
4899_32658_000028_000003	Yes, and does sing them! What should we do without her gentle, loving presence, whose frailty calls forth our tenderest affections and whose sweet face makes sunshine in the shadiest places!	Yes, and does sing them! What should we do without her gentle, loving presence, whose frailty calls forth our tenderest affections and whose sweet face makes sunshine in the shadiest places!
4899_32658_000028_000004	I am sure that the boys are truly blessed by having a sister always at home to welcome them, and that their best manliness is appealed to by her helplessness.	I am sure that the boys are truly blessed by having a sister always at home to welcome them, and that their best manliness is appealed to by her helplessness.
4899_32658_000029_000000	What this child is to me I cannot tell And yet, if the skillful and kind Gardener should house this delicate plant before frosts come, should I dare to complain?	What this child is to me I cannot tell And yet, if the skillful and kind Gardener should house this delicate plant before frosts come, should I dare to complain?
