3482_170453_000009_000000	This is perhaps a fitting time to give some personal description of Miss Bronte.	This is perhaps a fitting time to give some personal description of Miss Bronte.
3482_170453_000013_000001	Take Oakwell Hall, for instance.	Take Oakwell Hall, for instance.
3482_170453_000013_000002	It stands in a pasture-field, about a quarter of a mile from the high road.	It stands in a pasture field, about a quarter of a mile from the high road.
3482_170453_000013_000005	From the "Bloody Lane," overshadowed by trees, you come into the field in which Oakwell Hall is situated.	From the "Bloody Lane," overshadowed by trees, you come into the field in which Oakwell Hall is situated.
3482_170453_000013_000006	It is known in the neighbourhood to be the place described as "Field Head," Shirley's residence.	It is known in the neighbourhood to be the place described as "Field Head," Shirley's residence.
3482_170453_000014_000000	They show a bloody footprint in a bed-chamber of Oakwell Hall, and tell a story connected with it, and with the lane by which the house is approached.	They show a bloody footprint in a bed chamber of Oakwell Hall, and tell a story connected with it, and with the lane by which the house is approached.
3482_170453_000016_000000	But the Oakwell property passed out of the hands of the Batts at the beginning of the last century; collateral descendants succeeded, and left this picturesque trace of their having been.	But the Oakwell property passed out of the hands of the Batts at the beginning of the last century; collateral descendants succeeded, and left this picturesque trace of their having been.
3482_170453_000016_000004	Lanes branch off for three or four miles to heaths and commons on the higher ground, which formed pleasant walks on holidays, and then comes the white gate into the field-path leading to Roe Head itself.	Lanes branch off for three or four miles to heaths and commons on the higher ground, which formed pleasant walks on holidays, and then comes the white gate into the field path leading to Roe Head itself.
3482_170453_000019_000000	The kind motherly nature of Miss W---, and the small number of the girls, made the establishment more like a private family than a school. Moreover, she was a native of the district immediately surrounding Roe Head, as were the majority of her pupils.	The kind motherly nature of Miss W---, and the small number of the girls, made the establishment more like a private family than a school. Moreover, she was a native of the district immediately surrounding Roe Head, as were the majority of her pupils.
3482_170453_000020_000001	The time referred to is her first appearance at Roe Head, on January 19th, 1831.	The time referred to is her first appearance at Roe Head, on january nineteenth eighteen thirty one.
3482_170453_000021_000000	"I first saw her coming out of a covered cart, in very old-fashioned clothes, and looking very cold and miserable.	"I first saw her coming out of a covered cart, in very old-fashioned clothes, and looking very cold and miserable.
3482_170453_000021_000001	She was coming to school at Miss W---'s.	She was coming to school at Miss W---'s.
3482_170453_000021_000002	When she appeared in the schoolroom, her dress was changed, but just as old.	When she appeared in the schoolroom, her dress was changed, but just as old.
3482_170453_000021_000003	She looked a little old woman, so short-sighted that she always appeared to be seeking something, and moving her head from side to side to catch a sight of it.	She looked a little old woman, so short sighted that she always appeared to be seeking something, and moving her head from side to side to catch a sight of it.
3482_170453_000021_000004	She was very shy and nervous, and spoke with a strong Irish accent.	She was very shy and nervous, and spoke with a strong Irish accent.
3482_170453_000022_000002	"E." was younger than she, and her tender heart was touched by the apparently desolate condition in which she found the oddly-dressed, odd-looking little girl that winter morning, as "sick for home she stood in tears," in a new strange place, among new strange people.	"E." was younger than she, and her tender heart was touched by the apparently desolate condition in which she found the oddly dressed, odd looking little girl that winter morning, as "sick for home she stood in tears," in a new strange place, among new strange people.
3482_170453_000023_000000	To quote again from "Mary's" letter:--	To quote again from "Mary's" letter:--
3482_170453_000024_000000	"We thought her very ignorant, for she had never learnt grammar at all, and very little geography."	"We thought her very ignorant, for she had never learnt grammar at all, and very little geography."
3482_170453_000025_000000	This account of her partial ignorance is confirmed by her other school- fellows.	This account of her partial ignorance is confirmed by her other school fellows.
3482_170453_000025_000001	But Miss W--- was a lady of remarkable intelligence and of delicate tender sympathy.	But Miss W--- was a lady of remarkable intelligence and of delicate tender sympathy.
3482_170453_000025_000002	She gave a proof of this in her first treatment of Charlotte.	She gave a proof of this in her first treatment of Charlotte.
3482_170453_000025_000003	The little girl was well-read, but not well-grounded.	The little girl was well read, but not well grounded.
3482_170453_000026_000000	"She would confound us by knowing things that were out of our range altogether.	"She would confound us by knowing things that were out of our range altogether.
3482_170453_000026_000002	She had a habit of writing in italics (printing characters), and said she had learnt it by writing in their magazine.	She had a habit of writing in italics (printing characters), and said she had learnt it by writing in their magazine.
3482_170453_000026_000004	No one wrote in it, and no one read it, but herself, her brother, and two sisters.	No one wrote in it, and no one read it, but herself, her brother, and two sisters.
3482_170453_000026_000005	She promised to show me some of these magazines, but retracted it afterwards, and would never be persuaded to do so.	She promised to show me some of these magazines, but retracted it afterwards, and would never be persuaded to do so.
3482_170453_000026_000006	In our play hours she sate, or stood still, with a book, if possible.	In our play hours she sate, or stood still, with a book, if possible.
3482_170453_000026_000008	She said she had never played, and could not play.	She said she had never played, and could not play.
3482_170453_000026_000009	We made her try, but soon found that she could not see the ball, so we put her out. She took all our proceedings with pliable indifference, and always seemed to need a previous resolution to say 'No' to anything.	We made her try, but soon found that she could not see the ball, so we put her out. She took all our proceedings with pliable indifference, and always seemed to need a previous resolution to say 'No' to anything.
3482_170453_000026_000011	We understood but little of it.	We understood but little of it.
3482_170453_000026_000012	She said that at Cowan Bridge she used to stand in the burn, on a stone, to watch the water flow by.	She said that at Cowan Bridge she used to stand in the burn, on a stone, to watch the water flow by.
3482_170453_000026_000014	She always showed physical feebleness in everything.	She always showed physical feebleness in everything.
3482_170453_000026_000015	She ate no animal food at school.	She ate no animal food at school.
3482_170453_000026_000016	It was about this time I told her she was very ugly.	It was about this time I told her she was very ugly.
3482_170453_000026_000019	Whenever an opportunity offered of examining a picture or cut of any kind, she went over it piecemeal, with her eyes close to the paper, looking so long that we used to ask her 'what she saw in it.' She could always see plenty, and explained it very well.	Whenever an opportunity offered of examining a picture or cut of any kind, she went over it piecemeal, with her eyes close to the paper, looking so long that we used to ask her 'what she saw in it.' She could always see plenty, and explained it very well.
3482_170453_000026_000020	She made poetry and drawing at least exceedingly interesting to me; and then I got the habit, which I have yet, of referring mentally to her opinion on all matters of that kind, along with many more, resolving to describe such and such things to her, until I start at the recollection that I never shall."	She made poetry and drawing at least exceedingly interesting to me; and then I got the habit, which I have yet, of referring mentally to her opinion on all matters of that kind, along with many more, resolving to describe such and such things to her, until I start at the recollection that I never shall."
3482_170453_000028_000000	"We used to be furious politicians, as one could hardly help being in 1832.	"We used to be furious politicians, as one could hardly help being in eighteen thirty two.
3482_170453_000028_000002	She worshipped the Duke of Wellington, but said that Sir Robert Peel was not to be trusted; he did not act from principle like the rest, but from expediency.	She worshipped the Duke of Wellington, but said that Sir Robert Peel was not to be trusted; he did not act from principle like the rest, but from expediency.
3482_170453_000031_000000	"She used to speak of her two elder sisters, Maria and Elizabeth, who died at Cowan Bridge.	"She used to speak of her two elder sisters, Maria and Elizabeth, who died at Cowan Bridge.
3482_170453_000031_000001	I used to believe them to have been wonders of talent and kindness.	I used to believe them to have been wonders of talent and kindness.
3482_170453_000031_000003	I was eager for her to go on, and when she said there was no more, I said, 'but go on!	I was eager for her to go on, and when she said there was no more, I said, 'but go on!
3482_170453_000032_000000	"This habit of 'making out' interests for themselves that most children get who have none in actual life, was very strong in her.	"This habit of 'making out' interests for themselves that most children get who have none in actual life, was very strong in her.
3482_170453_000032_000002	I told her sometimes they were like growing potatoes in a cellar.	I told her sometimes they were like growing potatoes in a cellar.
3482_170453_000032_000003	She said, sadly, 'Yes!	She said, sadly, 'Yes!
3482_170453_000032_000004	I know we are!'	I know we are!'
3482_170453_000034_000000	"This is the epitome of her life.	"This is the epitome of her life.
3482_170453_000034_000002	We had a rage for practicality, and laughed all poetry to scorn.	We had a rage for practicality, and laughed all poetry to scorn.
3482_170453_000034_000004	Charlotte, at school, had no plan of life beyond what circumstances made for her.	Charlotte, at school, had no plan of life beyond what circumstances made for her.
3482_170453_000034_000005	She knew that she must provide for herself, and chose her trade; at least chose to begin it once.	She knew that she must provide for herself, and chose her trade; at least chose to begin it once.
3482_170453_000034_000006	Her idea of self-improvement ruled her even at school.	Her idea of self improvement ruled her even at school.
3482_170453_000034_000007	It was to cultivate her tastes.	It was to cultivate her tastes.
3482_170453_000035_000000	What I have heard of her school days from other sources, confirms the accuracy of the details in this remarkable letter.	What I have heard of her school days from other sources, confirms the accuracy of the details in this remarkable letter.
3482_170453_000035_000001	She was an indefatigable student: constantly reading and learning; with a strong conviction of the necessity and value of education, very unusual in a girl of fifteen.	She was an indefatigable student: constantly reading and learning; with a strong conviction of the necessity and value of education, very unusual in a girl of fifteen.
3482_170453_000035_000002	She never lost a moment of time, and seemed almost to grudge the necessary leisure for relaxation and play-hours, which might be partly accounted for by the awkwardness in all games occasioned by her shortness of sight.	She never lost a moment of time, and seemed almost to grudge the necessary leisure for relaxation and play hours, which might be partly accounted for by the awkwardness in all games occasioned by her shortness of sight.
3482_170453_000035_000003	Yet, in spite of these unsociable habits, she was a great favourite with her school-fellows.	Yet, in spite of these unsociable habits, she was a great favourite with her school fellows.
