2194_141248_000000_000000	XVIII	eighteen
2194_141248_000023_000001	The beam passed over the two hidden men, and at the same instant Brion fired.	The beam passed over the two hidden men, and at the same instant Brion fired.
2194_141248_000024_000002	They waited for the attack.	They waited for the attack.
2194_141248_000025_000000	It was not long in coming.	It was not long in coming.
2194_141248_000025_000001	Two magter rushed in, and died.	Two magter rushed in, and died.
2194_141248_000026_000002	Then one of the magter came in the entrance, but Brion hesitated before shooting.	Then one of the magter came in the entrance, but Brion hesitated before shooting.
2194_141248_000028_000001	As the magter turned, Ulv's breath pulsed once and death stung the back of the other man's hand. He collapsed into a crumpled heap.	As the magter turned, Ulv's breath pulsed once and death stung the back of the other man's hand. He collapsed into a crumpled heap.
2194_141248_000029_000000	"Don't shoot," a voice called from outside the cave, and a man stepped through the swirling dust and smoke to stand in the beam from the light.	"Don't shoot," a voice called from outside the cave, and a man stepped through the swirling dust and smoke to stand in the beam from the light.
2194_141248_000031_000000	The man in the light wore a protective helmet, thick boots and a pouch-hung uniform.	The man in the light wore a protective helmet, thick boots and a pouch hung uniform.
2194_141248_000032_000000	He was a Nyjorder.	He was a Nyjorder.
2194_141248_000033_000000	The realization was almost impossible to accept.	The realization was almost impossible to accept.
2194_141248_000033_000001	Brion had heard the bombs fall.	Brion had heard the bombs fall.
2194_141248_000033_000003	The two facts couldn't be accepted together.	The two facts couldn't be accepted together.
2194_141248_000034_000000	"Would you keep a hold on his arm, sir, just in case," the soldier said, glancing warily at Ulv's blowpipe.	"Would you keep a hold on his arm, sir, just in case," the soldier said, glancing warily at Ulv's blowpipe.
2194_141248_000034_000001	"I know what those darts can do." He pulled a microphone from one of his pockets and spoke into it.	"I know what those darts can do." He pulled a microphone from one of his pockets and spoke into it.
2194_141248_000035_000000	More soldiers crowded into the cave, and Professor-Commander Krafft came in behind them.	More soldiers crowded into the cave, and Professor Commander Krafft came in behind them.
2194_141248_000037_000000	"Would you kindly explain what is going on?" Brion said thickly.	"Would you kindly explain what is going on?" Brion said thickly.
2194_141248_000039_000001	The bent form of the leader of the rebel Nyjord army pushed through the crowd of taller men until he stood next to Krafft.	The bent form of the leader of the rebel Nyjord army pushed through the crowd of taller men until he stood next to Krafft.
2194_141248_000039_000009	After that it was just a matter of following tracks--and the transmitter you planted."	After that it was just a matter of following tracks-and the transmitter you planted."
2194_141248_000041_000001	"Not only you, but the magter in this cave.	"Not only you, but the magter in this cave.
2194_141248_000041_000004	Enough to kill the guards without bringing the roof down.	Enough to kill the guards without bringing the roof down.
2194_141248_000041_000006	And they did.	And they did.
2194_141248_000041_000007	It worked like a charm.	It worked like a charm.
2194_141248_000041_000008	We came in quietly and took them by surprise. Made a clean sweep--killed the ones we couldn't capture."	We came in quietly and took them by surprise. Made a clean sweep-killed the ones we couldn't capture."
2194_141248_000046_000000	"Of course," Professor Krafft said, astonished at Brion's lack of understanding.	"Of course," Professor Krafft said, astonished at Brion's lack of understanding.
2194_141248_000046_000001	"What else could we do?	"What else could we do?
2194_141248_000046_000002	The magter are sick!"	The magter are sick!"
2194_141248_000047_000002	"When it was a matter of war and killing, my planet could never agree on an intelligent course. War is so alien to our philosophy that it couldn't even be considered correctly.	"When it was a matter of war and killing, my planet could never agree on an intelligent course. War is so alien to our philosophy that it couldn't even be considered correctly.
2194_141248_000047_000004	You're easy prey for the first one that lands on your back.	You're easy prey for the first one that lands on your back.
2194_141248_000047_000007	Your mind-parasite drew us back from the brink."	Your mind parasite drew us back from the brink."
2194_141248_000049_000000	"A simple matter of definition.	"A simple matter of definition.
2194_141248_000049_000005	Doctors and nurses are on the way here now. Plans were put under way to evacuate what part of the population we could until the bombs were found.	Doctors and nurses are on the way here now. Plans were put under way to evacuate what part of the population we could until the bombs were found.
2194_141248_000049_000006	The planet is united again, and working hard."	The planet is united again, and working hard."
2194_141248_000051_000000	"Exactly so," Professor Krafft said.	"Exactly so," Professor Krafft said.
2194_141248_000051_000001	"We are civilized, after all. You can't expect us to fight a war--and you surely can't expect us to ignore the plight of sick neighbors?"	"We are civilized, after all. You can't expect us to fight a war-and you surely can't expect us to ignore the plight of sick neighbors?"
