70_121127_000000_000000	Chapter 107.	Chapter one hundred seven.
70_121127_000041_000002	Come, speak, my worthy Corsican, speak!"	Come, speak, my worthy Corsican, speak!"
70_121127_000042_000000	"What do you wish me to say?"	"What do you wish me to say?"
70_121127_000044_000000	"Well?"	"Well?"
70_121127_000048_000000	"The Count of Monte Cristo?"	"The Count of Monte Cristo?"
70_121127_000050_000000	"Do not let us jest," gravely replied Bertuccio, "and dare not to utter that name again as you have pronounced it."	"Do not let us jest," gravely replied Bertuccio, "and dare not to utter that name again as you have pronounced it."
70_121127_000054_000000	"Oh, these are fine words."	"Oh, these are fine words."
70_121127_000057_000001	"Do you think you have to do with galley-slaves, or novices in the world?	"Do you think you have to do with galley slaves, or novices in the world?
70_121127_000057_000002	Benedetto, you are fallen into terrible hands; they are ready to open for you--make use of them.	Benedetto, you are fallen into terrible hands; they are ready to open for you-make use of them.
70_121127_000057_000003	Do not play with the thunderbolt they have laid aside for a moment, but which they can take up again instantly, if you attempt to intercept their movements."	Do not play with the thunderbolt they have laid aside for a moment, but which they can take up again instantly, if you attempt to intercept their movements."
70_121127_000058_000000	"My father--I will know who my father is," said the obstinate youth; "I will perish if I must, but I will know it.	"My father-I will know who my father is," said the obstinate youth; "I will perish if I must, but I will know it.
70_121127_000058_000001	What does scandal signify to me?	What does scandal signify to me?
70_121127_000058_000003	You great people always lose something by scandal, notwithstanding your millions.	You great people always lose something by scandal, notwithstanding your millions.
70_121127_000058_000004	Come, who is my father?"	Come, who is my father?"
70_121127_000060_000000	"Ah," cried Benedetto, his eyes sparkling with joy.	"Ah," cried Benedetto, his eyes sparkling with joy.
70_121127_000060_000001	Just then the door opened, and the jailer, addressing himself to Bertuccio, said,--"Excuse me, sir, but the examining magistrate is waiting for the prisoner."	Just then the door opened, and the jailer, addressing himself to Bertuccio, said,--"Excuse me, sir, but the examining magistrate is waiting for the prisoner."
70_121127_000062_000000	"I will return to-morrow," said Bertuccio.	"I will return to morrow," said Bertuccio.
70_121127_000063_000000	"Good!	"Good!
70_121127_000063_000001	Gendarmes, I am at your service.	Gendarmes, I am at your service.
70_121127_000064_000003	"Can I be deceived?" he murmured, as he stepped into the oblong and grated vehicle which they call "the salad basket." "Never mind, we shall see!	"Can I be deceived?" he murmured, as he stepped into the oblong and grated vehicle which they call "the salad basket." "Never mind, we shall see!
