340_124368_000000_000000	Yours as ever,	Yours as ever,	false	10.2	14.625	23.833885
340_124368_000020_000000	In 1789, by the first Congress which sat under the Constitution, an act was passed to enforce the Ordinance of '87, including the prohibition of slavery in the Northwestern Territory.	In seventeen eighty nine, by the first Congress which sat under the Constitution, an act was passed to enforce the Ordinance of 'eighty seven, including the prohibition of slavery in the Northwestern Territory.	false	310.58	322.84	19
340_124368_000020_000001	The bill for this act was reported by one of the "thirty-nine," Thomas Fitzsimmons, then a member of the House of Representatives from Pennsylvania.	The bill for this act was reported by one of the "thirty nine," Thomas Fitzsimmons, then a member of the House of Representatives from Pennsylvania.	true	323.51	331.42	16
340_124368_000020_000002	It went through all its stages without a word of opposition, and finally passed both branches without yeas and nays, which is equivalent to a unanimous passage.	It went through all its stages without a word of opposition, and finally passed both branches without yeas and nays, which is equivalent to a unanimous passage.	false	332.06	341.83	18
340_124368_000020_000003	In this Congress there were sixteen of the thirty-nine fathers who framed the original Constitution.	In this Congress there were sixteen of the thirty nine fathers who framed the original Constitution.	true	342.5	347.71	16
340_124368_000020_000004	They were John Langdon, Nicholas Gilman, Wm.	They were john Langdon, Nicholas Gilman, w m.	false	348.38	351.78	21.641184
340_124368_000020_000005	S. Johnnson, Roger Sherman, Robert Morris, Thos.	S. Johnnson, Roger Sherman, Robert Morris, t h o's.	false	351.78	356.145	21.251812
340_124368_000020_000006	Fitzsimmons, William Few, Abraham Baldwin, Rufus King, William Paterson, George Claimer, Richard Bassett, George Read, Pierce Butler, Daniel Carroll, James Madison.	Fitzsimmons, William Few, Abraham Baldwin, Rufus King, William Paterson, George Claimer, Richard Bassett, George Read, Pierce Butler, Daniel Carroll, james Madison.	true	356.145	371.32	20.38585
340_124368_000021_000000	This shows that, in their understanding, no line dividing local from Federal authority, nor anything in the Constitution, properly forbade Congress to prohibit slavery in the Federal territory; else both their fidelity to correct principles and their oath to support the Constitution would have constrained them to oppose the prohibition.	This shows that, in their understanding, no line dividing local from Federal authority, nor anything in the Constitution, properly forbade Congress to prohibit slavery in the Federal territory; else both their fidelity to correct principles and their oath to support the Constitution would have constrained them to oppose the prohibition.	false	372.62	393.7	20.06197
340_124368_000022_000000	Again: George Washington, another of the "thirty nine," was then President of the United States, and, as such, approved and signed the bill; thus completing its validity as a law, and thus showing that, in his understanding, no line dividing local from Federal authority, nor anything in the Constitution, forbade the Federal Government to control as to slavery in Federal territory.	Again: George Washington, another of the "thirty nine," was then President of the United States, and, as such, approved and signed the bill; thus completing its validity as a law, and thus showing that, in his understanding, no line dividing local from Federal authority, nor anything in the Constitution, forbade the Federal Government to control as to slavery in Federal territory.	false	394.49	419.44	19.186314
340_124368_000023_000000	No great while after the adoption of the original Constitution, North Carolina ceded to the Federal Government the country now constituting the State of Tennessee; and, a few years later, Georgia ceded that which now constitutes the States of Mississippi and Alabama.	No great while after the adoption of the original Constitution, North Carolina ceded to the Federal Government the country now constituting the State of Tennessee; and, a few years later, Georgia ceded that which now constitutes the States of Mississippi and Alabama.	false	421.04	436.09	17
340_124368_000023_000001	In both deeds of cession it was made a condition by the ceding States that the Federal Government should not prohibit slavery in the ceded country.	In both deeds of cession it was made a condition by the ceding States that the Federal Government should not prohibit slavery in the ceded country.	true	436.7	444.97	17
340_124368_000023_000002	Besides this, slavery was then actually in the ceded country.	Besides this, slavery was then actually in the ceded country.	true	445.79	450.19	19.810091
340_124368_000023_000003	Under these circumstances, Congress, on taking charge of these countries, did not absolutely prohibit slavery within them.	Under these circumstances, Congress, on taking charge of these countries, did not absolutely prohibit slavery within them.	true	450.53	458.62	20.396736
340_124368_000023_000004	But they did interfere with it--take control of it--even there, to a certain extent.	But they did interfere with it-take control of it-even there, to a certain extent.	true	459.23	464.98	19.900206
340_124368_000023_000005	In 1798, Congress organized the Territory of Mississippi: In the act of organization they prohibited the bringing of slaves into the Territory from any place without the United States, by fine and giving freedom to slaves so brought.	In seventeen ninety eight, Congress organized the Territory of Mississippi: In the act of organization they prohibited the bringing of slaves into the Territory from any place without the United States, by fine and giving freedom to slaves so brought.	false	465.92	482.41	18.681633
340_124368_000023_000006	This act passed both branches of Congress without yeas and nays.	This act passed both branches of Congress without yeas and nays.	true	483.35	487.27	17
340_124368_000023_000007	In that Congress were three of the "thirty-nine" who framed the original Constitution.	In that Congress were three of the "thirty nine" who framed the original Constitution.	true	487.85	492.76	18
340_124368_000023_000008	They were John Langdon, George Read, and Abraham Baldwin.	They were john Langdon, George Read, and Abraham Baldwin.	true	493.55	497.35	17
340_124368_000023_000009	They all, probably, voted for it.	They all, probably, voted for it.	true	497.96	500.59	21.568016
340_124368_000023_000010	Certainly they would have placed their opposition to it upon record, if, in their understanding, any line dividing local from Federal authority, or anything in the Constitution, properly forbade the Federal Government to control as to slavery in Federal territory.	Certainly they would have placed their opposition to it upon record, if, in their understanding, any line dividing local from Federal authority, or anything in the Constitution, properly forbade the Federal Government to control as to slavery in Federal territory.	false	501.29	516.34	18
340_124368_000024_000000	In 1803, the Federal Government purchased the Louisiana country.	In eighteen o three, the Federal Government purchased the Louisiana country.	true	517.73	521.8	20
340_124368_000024_000001	Our former territorial acquisitions came from certain of our own States; but this Louisiana country was acquired from a foreign nation.	Our former territorial acquisitions came from certain of our own States; but this Louisiana country was acquired from a foreign nation.	false	522.38	530.92	20
340_124368_000024_000002	In 1804, Congress gave a territorial organization to that part of it which now constitutes the State of Lousiana.	In eighteen o four, Congress gave a territorial organization to that part of it which now constitutes the State of Lousiana.	true	531.53	539.89	20
340_124368_000024_000003	New Orleans, lying within that part, was an old and comparatively large city.	New Orleans, lying within that part, was an old and comparatively large city.	true	540.5	546.25	21.016565
340_124368_000024_000004	There were other considerable towns and settlements, and slavery was extensively and thoroughly intermingled with the people.	There were other considerable towns and settlements, and slavery was extensively and thoroughly intermingled with the people.	true	546.83	553.39	18
340_124368_000024_000005	Congress did not, in the Territorial Act, prohibit slavery; but they did interfere with it take control of it--in a more marked and extensive way than they did in the case of Mississippi. The substance of the provision therein made in relation to slaves was:	Congress did not, in the Territorial Act, prohibit slavery; but they did interfere with it take control of it-in a more marked and extensive way than they did in the case of Mississippi. The substance of the provision therein made in relation to slaves was:	true	553.73	571.33	18.80327
340_124368_000025_000000	First.	First.	true	571.34	572.29	20.75049
340_124368_000025_000001	That no slave should be imported into the Territory from foreign parts.	That no slave should be imported into the Territory from foreign parts.	true	572.54	576.49	17
340_124368_000026_000000	Second.	Second.	true	576.92	577.75	23.421076
340_124368_000026_000001	That no slave should be carried into it who had been imported into the United States since the first day of May, 1798.	That no slave should be carried into it who had been imported into the United States since the first day of May, seventeen ninety eight.	true	578	585.34	15
340_124368_000027_000000	Third.	Third.	true	585.86	586.69	18.36403
340_124368_000027_000001	That no slave should be carried into it except by the owner, and for his own use as a settler; the penalty in all the cases being a fine upon the violator of the law, and freedom to the slave.	That no slave should be carried into it except by the owner, and for his own use as a settler; the penalty in all the cases being a fine upon the violator of the law, and freedom to the slave.	false	586.94	599.29	20.06813
340_124368_000028_000000	This act also was passed without yeas and nays.	This act also was passed without yeas and nays.	false	599.69	602.62	19
340_124368_000028_000001	In the Congress which passed it there were two of the "thirty-nine." They were Abraham Baldwin and Jonathan Dayton.	In the Congress which passed it there were two of the "thirty nine." They were Abraham Baldwin and Jonathan Dayton.	true	602.9	609.94	19.10385
340_124368_000028_000002	As stated in the case of Mississippi, it is probable they both voted for it.	As stated in the case of Mississippi, it is probable they both voted for it.	true	610.7	615.52	18.366276
340_124368_000028_000003	They would not have allowed it to pass without recording their opposition to it, if, in their understanding, it violated either the line properly dividing local from Federal authority, or any provision of the Constitution.	They would not have allowed it to pass without recording their opposition to it, if, in their understanding, it violated either the line properly dividing local from Federal authority, or any provision of the Constitution.	true	616.1	629.05	17
340_124368_000029_000000	In 1819-20 came and passed the Missouri question.	In eighteen nineteen to twenty came and passed the Missouri question.	false	629.57	634.06	21
340_124368_000029_000001	Many votes were taken, by yeas and nays, in both branches of Congress, upon the various phases of the general question.	Many votes were taken, by yeas and nays, in both branches of Congress, upon the various phases of the general question.	true	634.49	641.85	20
340_124368_000029_000002	Two of the "thirty-nine"--Rufus King and Charles Pinckney were members of that Congress.	Two of the "thirty nine"--Rufus King and Charles Pinckney were members of that Congress.	false	641.85	647.62	18.705915
340_124368_000029_000003	Mr. King steadily voted for slavery prohibition and against all compromises, while Mr. Pinckney as steadily voted against slavery prohibition, and against all compromises. By this, Mr. King showed that, in his understanding, no line dividing local from Federal authority, nor anything in the Constitution, was violated by Congress prohibiting slavery in Federal territory; while Mr. Pinckney, by his vote, showed that in his understanding there was some sufficient reason for opposing such prohibition in that case.	mr King steadily voted for slavery prohibition and against all compromises, while mr Pinckney as steadily voted against slavery prohibition, and against all compromises. By this, mr King showed that, in his understanding, no line dividing local from Federal authority, nor anything in the Constitution, was violated by Congress prohibiting slavery in Federal territory; while mr Pinckney, by his vote, showed that in his understanding there was some sufficient reason for opposing such prohibition in that case.	true	648.08	681.82	19
340_124368_000030_000000	The cases I have mentioned are the only acts of the "thirty-nine," or of any of them, upon the direct issue, which I have been able to discover.	The cases I have mentioned are the only acts of the "thirty nine," or of any of them, upon the direct issue, which I have been able to discover.	true	683.39	692.14	19.30995
340_124368_000031_000000	To enumerate the persons who thus acted, as being four in 1784, two in 1787, seventeen in 1789, three in 1798, two in 1804, and two in 1819-20--there would be thirty of them.	To enumerate the persons who thus acted, as being four in seventeen eighty four, two in seventeen eighty seven, seventeen in seventeen eighty nine, three in seventeen ninety eight, two in eighteen o four, and two in eighteen nineteen to twenty--there would be thirty of them.	false	692.63	710.47	19
340_124368_000031_000001	But this would be counting, John Langdon, Roger Sherman, William Few, Rufus King, and George Read, each twice, and Abraham Baldwin three times.	But this would be counting, john Langdon, Roger Sherman, William Few, Rufus King, and George Read, each twice, and Abraham Baldwin three times.	true	711.11	720.58	16
340_124368_000031_000002	The true number of those of the "thirty-nine" whom I have shown to have acted upon the question which, by the text, they understood better than we, is twenty-three, leaving sixteen not shown to have acted upon it in any way.	The true number of those of the "thirty nine" whom I have shown to have acted upon the question which, by the text, they understood better than we, is twenty three, leaving sixteen not shown to have acted upon it in any way.	true	721.52	735.13	19
340_124368_000032_000000	Here, then, we have twenty-three out of our thirty-nine fathers "who framed the Government under which we live," who have, upon their official responsibility and their corporal oaths, acted upon the very question which the text affirms they "understood just as well, and even better than we do now"; and twenty-one of them--a clear majority of the whole "thirty-nine"--so acting upon it as to make them guilty of gross political impropriety and wilful perjury, if, in their understanding, any proper division between local and Federal authority, or anything in the Constitution they had made themselves, and sworn to support, forbade the Federal Government to control as to slavery in the Federal Territories. Thus the twenty-one acted; and, as actions speak louder than words, so actions under such responsibilities speak still louder.	Here, then, we have twenty three out of our thirty nine fathers "who framed the Government under which we live," who have, upon their official responsibility and their corporal oaths, acted upon the very question which the text affirms they "understood just as well, and even better than we do now"; and twenty one of them-a clear majority of the whole "thirty nine"--so acting upon it as to make them guilty of gross political impropriety and wilful perjury, if, in their understanding, any proper division between local and Federal authority, or anything in the Constitution they had made themselves, and sworn to support, forbade the Federal Government to control as to slavery in the Federal Territories. Thus the twenty one acted; and, as actions speak louder than words, so actions under such responsibilities speak still louder.	true	735.95	791.13	18.511646
340_124368_000033_000000	Two of the twenty-three voted against Congressional prohibition of slavery in the Federal Territories, in the instances in which they acted upon the question.	Two of the twenty three voted against Congressional prohibition of slavery in the Federal Territories, in the instances in which they acted upon the question.	false	791.13	801.07	17.453812
340_124368_000033_000001	But for what reasons they so voted is not known.	But for what reasons they so voted is not known.	true	802.01	805.09	16.753347
340_124368_000033_000002	They may have done so because they thought a proper division of local from Federal authority, or some provision or principle of the Constitution, stood in the way; or they may, without any such question, have voted against the prohibition on what appeared to them to be sufficient grounds of expediency.	They may have done so because they thought a proper division of local from Federal authority, or some provision or principle of the Constitution, stood in the way; or they may, without any such question, have voted against the prohibition on what appeared to them to be sufficient grounds of expediency.	true	805.58	823.93	17.994085
340_124368_000033_000003	No one who has sworn to support the Constitution can conscientiously vote for what he understands to be an unconstitutional measure, however expedient he may think it; but one may and ought to vote against a measure which he deems constitutional, if, at the same time, he deems it inexpedient.	No one who has sworn to support the Constitution can conscientiously vote for what he understands to be an unconstitutional measure, however expedient he may think it; but one may and ought to vote against a measure which he deems constitutional, if, at the same time, he deems it inexpedient.	true	824.78	843.85	19.821497
340_124368_000033_000004	It therefore would be unsafe to set down even the two who voted against the prohibition as having done so because, in their understanding, any proper division of local from Federal authority, or anything in the Constitution, forbade the Federal Government to control as to slavery in Federal territory.	It therefore would be unsafe to set down even the two who voted against the prohibition as having done so because, in their understanding, any proper division of local from Federal authority, or anything in the Constitution, forbade the Federal Government to control as to slavery in Federal territory.	true	844.97	864.52	19
340_124368_000034_000000	The remaining sixteen of the "thirty-nine," so far as I have discovered, have left no record of their understanding upon the direct question of Federal control on slavery in the Federal Territories.	The remaining sixteen of the "thirty nine," so far as I have discovered, have left no record of their understanding upon the direct question of Federal control on slavery in the Federal Territories.	false	865.79	876.55	16
340_124368_000034_000001	But there is much reason to believe that their understanding upon that question would not have appeared different from that of their twenty-three compeers, had it been manifested at all.	But there is much reason to believe that their understanding upon that question would not have appeared different from that of their twenty three compeers, had it been manifested at all.	true	877.16	887.8	19
340_124368_000035_000000	For the purpose of adhering rigidly to the text, I have purposely omitted whatever understanding may have been manifested by any person, however distinguished, other than the thirty-nine fathers who framed the original Constitution; and, for the same reason, I have also omitted whatever understanding may have been manifested by any of the "thirty tine" even on any other phase of the general question of slavery.	For the purpose of adhering rigidly to the text, I have purposely omitted whatever understanding may have been manifested by any person, however distinguished, other than the thirty nine fathers who framed the original Constitution; and, for the same reason, I have also omitted whatever understanding may have been manifested by any of the "thirty tine" even on any other phase of the general question of slavery.	false	887.9	912.94	18
340_124368_000035_000001	If we should look into their acts and declarations on those other phases, as the foreign slave trade, and the morality and policy of slavery generally, it would appear to us that on the direct question of Federal control of slavery in Federal Territories, the sixteen, if they had acted at all, would probably have acted just as the twenty-three did.	If we should look into their acts and declarations on those other phases, as the foreign slave trade, and the morality and policy of slavery generally, it would appear to us that on the direct question of Federal control of slavery in Federal Territories, the sixteen, if they had acted at all, would probably have acted just as the twenty three did.	true	913.43	934.87	18
340_124368_000035_000002	Among that sixteen were several of the most noted anti-slavery men of those times--as Dr. Franklin, Alexander Hamilton, and Gouverneur Morris while there was not one now known to have been otherwise, unless it may be John Rutledge, of South Carolina.	Among that sixteen were several of the most noted anti slavery men of those times-as dr Franklin, Alexander Hamilton, and Gouverneur Morris while there was not one now known to have been otherwise, unless it may be john Rutledge, of South Carolina.	false	935.63	953.17	19.924347
340_124368_000036_000000	The sum of the whole is, that of our thirty-nine fathers who framed the original Constitution, twenty-one--a clear majority of the whole--certainly understood that no proper division of local from Federal authority, nor any part of the Constitution, forbade the Federal Government to control slavery in the Federal Territories; whilst all the rest probably had the same understanding.	The sum of the whole is, that of our thirty nine fathers who framed the original Constitution, twenty one-a clear majority of the whole-certainly understood that no proper division of local from Federal authority, nor any part of the Constitution, forbade the Federal Government to control slavery in the Federal Territories; whilst all the rest probably had the same understanding.	false	954.29	978.1	16.592964
340_124368_000036_000001	Such, unquestionably, was the understanding of our fathers who framed the original Constitution; and the text affirms that they understood the question "better than we."	Such, unquestionably, was the understanding of our fathers who framed the original Constitution; and the text affirms that they understood the question "better than we."	true	978.74	988.87	19.464804
340_124368_000037_000000	But, so far, I have been considering the understanding of the question manifested by the framers of the original Constitution.	But, so far, I have been considering the understanding of the question manifested by the framers of the original Constitution.	true	990.35	997.57	15
340_124368_000037_000001	In and by the original instrument, a mode was provided for amending it; and, as I have already stated, the present frame of "the Government under which we live" consists of that original, and twelve amendatory articles framed and adopted since.	In and by the original instrument, a mode was provided for amending it; and, as I have already stated, the present frame of "the Government under which we live" consists of that original, and twelve amendatory articles framed and adopted since.	true	998.39	1014.64	18.959707
340_124368_000037_000002	Those who now insist that Federal control of slavery in Federal Territories violates the Constitution, point us to the provisions which they suppose it thus violates; and, as I understand, they all fix upon provisions in these amendatory articles, and not in the original instrument.	Those who now insist that Federal control of slavery in Federal Territories violates the Constitution, point us to the provisions which they suppose it thus violates; and, as I understand, they all fix upon provisions in these amendatory articles, and not in the original instrument.	false	1014.98	1033.42	18
340_124368_000037_000003	The Supreme Court, in the Dred Scott case, plant themselves upon the fifth amendment, which provides that no person shall be deprived of "life, liberty, or property without due process of law"; while Senator Douglas and his peculiar adherents plant themselves upon the tenth amendment, providing that "the powers not delegated to the United States by the Constitution" "are reserved to the States respectively, or to the people."	The Supreme Court, in the Dred Scott case, plant themselves upon the fifth amendment, which provides that no person shall be deprived of "life, liberty, or property without due process of law"; while Senator Douglas and his peculiar adherents plant themselves upon the tenth amendment, providing that "the powers not delegated to the United States by the Constitution" "are reserved to the States respectively, or to the people."	true	1034.3	1059.73	20.082348
340_124368_000038_000000	Now, it so happens that these amendments were framed by the first Congress which sat under the Constitution--the identical Congress which passed the act already mentioned, enforcing the prohibition of slavery in the Northwestern Territory.	Now, it so happens that these amendments were framed by the first Congress which sat under the Constitution-the identical Congress which passed the act already mentioned, enforcing the prohibition of slavery in the Northwestern Territory.	true	1060.46	1073.65	17
340_124368_000038_000001	Not only was it the same Congress, but they were the identical same individual men who, at the same session, and at the same time within the session, had under consideration, and in progress toward maturity, these Constitutional amendments, and this act prohibiting slavery in all the territory the nation then owned.	Not only was it the same Congress, but they were the identical same individual men who, at the same session, and at the same time within the session, had under consideration, and in progress toward maturity, these Constitutional amendments, and this act prohibiting slavery in all the territory the nation then owned.	true	1073.87	1093.66	17.599684
340_124368_000038_000002	The Constitutional amendments were introduced before and passed after the act enforcing the Ordinance of '87; so that, during the whole pendency of the act to enforce the Ordinance, the Constitutional amendments were also pending.	The Constitutional amendments were introduced before and passed after the act enforcing the Ordinance of 'eighty seven; so that, during the whole pendency of the act to enforce the Ordinance, the Constitutional amendments were also pending.	true	1094.36	1108.27	19
340_124368_000039_000000	The seventy-six members of that Congress, including sixteen of the framers of the original Constitution, as before stated, were pre-eminently our fathers who framed that part of "the Government under which we live," which is now claimed as forbidding the Federal Government to control slavery in the Federal Territories.	The seventy six members of that Congress, including sixteen of the framers of the original Constitution, as before stated, were pre eminently our fathers who framed that part of "the Government under which we live," which is now claimed as forbidding the Federal Government to control slavery in the Federal Territories.	true	1108.85	1126.21	16
340_124368_000040_000000	Is it not a little presumptuous in any one at this day to affirm that the two things which that Congress deliberately framed, and carried to maturity at the same time, are absolutely inconsistent with each other? And does not such affirmation become impudently absurd when coupled with the other affirmation from the same mouth, that those who did the two things alleged to be inconsistent understood whether they really were inconsistent better than we--better than he who affirms that they are inconsistent?	Is it not a little presumptuous in any one at this day to affirm that the two things which that Congress deliberately framed, and carried to maturity at the same time, are absolutely inconsistent with each other? And does not such affirmation become impudently absurd when coupled with the other affirmation from the same mouth, that those who did the two things alleged to be inconsistent understood whether they really were inconsistent better than we-better than he who affirms that they are inconsistent?	false	1126.97	1160.98	18.611532
340_124368_000041_000000	It is surely safe to assume that the thirty-nine framers of the original Constitution, and the seventy-six members of the Congress which framed the amendments thereto, taken together, do certainly include those who may be fairly called "our fathers who framed the Government under which we live." And, so assuming, I defy any man to show that any one of them ever, in his whole life, declared that, in his understanding, any proper division of local from Federal authority, or any part of the Constitution, forbade the Federal Government to control as to slavery in the Federal Territories.	It is surely safe to assume that the thirty nine framers of the original Constitution, and the seventy six members of the Congress which framed the amendments thereto, taken together, do certainly include those who may be fairly called "our fathers who framed the Government under which we live." And, so assuming, I defy any man to show that any one of them ever, in his whole life, declared that, in his understanding, any proper division of local from Federal authority, or any part of the Constitution, forbade the Federal Government to control as to slavery in the Federal Territories.	true	1162.19	1200.01	18.223986
340_124368_000041_000001	I go a step further.	I go a step further.	true	1200.86	1202.41	19.323608
340_124368_000041_000002	I defy any one to show that any living man in the world ever did, prior to the beginning of the present century (and I might almost say prior to the beginning of the last half of the present century), declare that, in his understanding, any proper division of local from Federal authority, or any part of the Constitution, forbade the Federal Government to control as to slavery in the Federal Territories. To those who now so declare, I give not only "our fathers who framed the Government under which we live," but with them all other living men within the century in which it was framed, among whom to search, and they shall not be able to find the evidence of a single man agreeing with them.	I defy any one to show that any living man in the world ever did, prior to the beginning of the present century (and I might almost say prior to the beginning of the last half of the present century), declare that, in his understanding, any proper division of local from Federal authority, or any part of the Constitution, forbade the Federal Government to control as to slavery in the Federal Territories. To those who now so declare, I give not only "our fathers who framed the Government under which we live," but with them all other living men within the century in which it was framed, among whom to search, and they shall not be able to find the evidence of a single man agreeing with them.	false	1203.02	1247.05	17.326538
